-0.0303417+0.0672991j -0.391149-0.131855j 0.0274977-0.000137652j -0.206571-0.0305746j 0.786555-0.0966584j 0.013276-0.0022082j -0.0130265+0.0397782j 0.043229-0.0269914j 0.0492736+0.0545002j 0.0670844-0.0490882j 0.0811148+0.16058j 0.18138+0.178848j -0.162995-0.0371709j 0.127814-0.350627j 0.359658+0.00147283j -9.86269e-05+0.0124402j -0.0179315-0.017438j -0.0178136+0.0265391j -0.0375395+0.0336194j -0.0196831-0.00270722j 0.0174696+0.00356078j 0.103085-0.0470539j 0.0606557-0.0634482j 0.037155+0.00231789j 0.0899468+0.0932959j 0.116822+0.178774j -0.0307311+0.0154635j 0.0503959-0.0484619j 0.174894-0.170004j -0.0401706-0.0240189j 0.0219417-0.140695j 0.03553+0.0508799j 0.165452+0.0929832j -0.161385+0.00791853j 0.0626656+0.103826j -0.0548807+0.122107j 
-0.369214-0.0506094j 0.379554-0.0467253j 0.207033-0.03011j -0.656318+0.000307171j 0.190589+0.031668j -0.0320746-0.0820915j 0.2567+0.0107313j -0.193621-0.121216j -0.0364208-0.294161j 0.204643+0.125329j -0.206129+0.10868j 0.0378273-0.302369j 0.196216-0.123448j -0.253916+0.0205674j 0.022797-0.0814615j 0.0310886-0.0130559j 0.00123159+0.128298j 0.0471552-0.0526775j 0.124561-0.0258292j -0.116138-0.0683331j -0.0356819-0.0537881j -0.0498173+0.0888896j 0.0827305-0.0192116j 0.052653-0.128381j 0.0669121-0.0396273j -0.0798474-0.00442869j -0.0668345-0.0374279j 0.0503575+0.132123j -0.0834007-0.0119332j -0.0507385-0.0898373j 0.0348041-0.0482077j 0.116747-0.0683495j -0.126418-0.0249579j -0.0437446-0.0506506j -0.00313584-0.131613j 0.0328167+0.00808131j 
0.398283-0.130345j 0.0220601+0.0698281j 0.783623+0.0969462j -0.191096+0.0312005j 0.0203498-0.00014362j -0.360913+0.0053455j -0.138087-0.346453j 0.165482-0.0363358j -0.181086+0.193997j -0.0768527+0.153112j -0.0665427-0.0496984j -0.0464385+0.0623029j -0.0466152-0.02359j 0.0171942+0.0398801j -0.0139735-0.000503302j -0.0575354-0.119076j 0.0619522-0.108054j 0.160916+0.0103423j -0.168642+0.0934058j -0.0341477+0.0536442j -0.0195853-0.136464j -0.0527316+0.00738894j -0.172763-0.172989j 0.0462558+0.0513702j 0.029124+0.0145457j 0.120417-0.179697j -0.0877694+0.0926543j 0.035645-0.00718295j -0.0675362-0.0662281j 0.098714+0.044368j -0.0194017+0.00503375j 0.0167534-0.00245266j 0.0399034+0.0330156j 0.020039+0.0273614j -0.0171447+0.0210716j -0.0011841-0.0130118j 
-0.0380595-0.0229184j 0.217482-0.164432j 0.00314643+0.00264775j 0.0189577-0.0176259j -0.0873001-0.0306997j 0.00654345-0.00226378j 0.00809942-0.0100812j -0.0105919+0.00552795j 0.0317258+0.0462021j -0.0282152+0.0172095j 0.0137009-0.0127736j 0.0842541-0.0640486j -0.035969-0.445585j 0.0994742-0.41071j -0.425263-0.131853j 0.00776718+0.0102616j -0.0147983+0.00714275j 0.0056346+0.00372228j -0.0136985+0.0259973j -0.0216381+0.0313595j -0.0129059+0.00272998j 0.0337959-0.0547715j 0.0197482-0.0579109j -0.0144948+0.0213784j -0.0170532-0.0748012j -0.000500508+0.0214908j 0.0349924-0.0144803j 0.262369-0.0460419j 0.0571353+0.0106947j 0.114309-0.0906766j 0.194394+0.0758807j -0.147686-0.00339346j -0.0348133+0.0710916j 0.133582-0.0413947j 0.214097+0.0198472j 0.346062+0.143622j 
0.14646-0.189611j -0.173611-0.0242974j -0.00130933+0.0189288j 0.0746276+0.0236285j 0.0791241-0.00938366j -0.0187743+0.00760887j 0.0770845-0.00667842j -0.0675438+0.0900393j 0.0615134+0.151391j 0.0747418+0.0442491j 0.00303992-0.278389j 0.174411-0.336944j -0.193181-0.282053j 0.247592+0.00823685j -0.0669199-0.0600863j 0.0169032-0.017169j 0.0328+0.0680026j 0.0182669-0.0476743j 0.0985111+0.00848957j 0.120464-0.0230053j 0.030342+0.02913j -0.200262+0.0964185j -0.0762575+0.0319834j 0.0835763+0.0478793j 0.254103+0.000689603j 0.0812643-0.0308627j 0.0632892+0.00232496j -0.152298-0.076277j 0.0958502-0.0694224j -0.0618123+0.0469678j 0.056408-0.0475614j -0.260678+0.0130056j -0.0546462-0.0119557j -0.216082-0.0809397j -0.288725-0.109131j 0.0944616-0.0702222j 
0.0115616+0.288766j -0.0125485+0.286776j -0.00587534-0.0185114j 0.0821355+0.000181783j -0.00487076+0.0178905j -0.000233133-0.025898j -0.00601127-0.0295189j -0.0403176+0.0382791j 0.188279-0.037852j -0.234269+0.427217j 0.227957+0.42563j -0.199654-0.0521448j 0.0417283+0.0406719j 0.00595691-0.0276318j 0.00175281-0.0255714j 0.0355226+0.00675304j -0.0199673+0.0383035j 0.039856-0.031169j 0.114384-0.0144496j 0.232305-0.0463611j 0.0542399-0.0168428j 0.191054-0.0340865j 0.0338412-0.030821j 0.0450493+0.0329736j 0.206754+0.00818126j -0.00107012+4.43693e-05j -0.204848+0.00750773j 0.0451495-0.0335003j -0.0507295-0.0326978j 0.185487+0.0319141j -0.0527724-0.0164241j -0.232898-0.0447273j -0.115025-0.0141539j -0.0421674-0.0307843j -0.0233578-0.0391591j 0.0340662-0.00824767j 
-0.170237+0.0303368j 0.147609+0.190592j -0.0778052-0.0101048j -0.0745956+0.022979j -0.000414706+0.0184969j -0.0734929+0.0640008j 0.248793-0.000613676j -0.188852+0.290593j 0.176103+0.346885j -0.00621868+0.264955j 0.0784999-0.0454445j 0.0571428-0.143368j -0.0674156-0.0812783j 0.0744683+0.00865489j -0.015145-0.00537557j -0.104487-0.0651025j 0.28123-0.110208j -0.214957+0.0860211j -0.0554275+0.0128648j -0.269484-0.0133778j 0.0539642+0.0446848j 0.0699968+0.0502122j 0.0930894+0.0660499j 0.141541-0.0768898j 0.0611071-0.00235803j -0.0815892-0.0308887j 0.250889-0.000372428j -0.0868774+0.0494647j -0.0894423-0.0368024j 0.196907+0.0911561j 0.0241205-0.0297542j 0.1248+0.0197345j 0.100563-0.00918946j 0.0232515+0.0484074j -0.0282933+0.0712227j -0.0203592-0.0157575j 
0.217985+0.166794j -0.04215+0.0195447j 0.0850516-0.0306841j -0.0163109-0.0178825j -0.00313559+0.00246077j -0.422941+0.131889j 0.097256+0.410004j -0.0305973+0.445139j 0.0831559+0.0526461j 0.00885076+0.00549582j -0.0265798-0.0133039j 0.0304638-0.0407068j -0.00839186-0.00120398j 0.00522565+0.0106092j 0.00826692+0.00274663j -0.344317+0.144855j -0.222413+0.0257804j 0.140084+0.0423883j -0.0321879-0.0723354j -0.142829+0.0049191j 0.186853-0.0756196j -0.108337-0.0929739j 0.0671734-0.00562558j -0.266436-0.0435786j 0.0317997+0.0149671j -0.000180896+0.0213178j -0.0234555+0.0748935j 0.0179208+0.0207385j 0.0235329+0.0630826j -0.0361383-0.0516472j -0.0137419-0.000800128j -0.0239068-0.0306835j -0.0153225-0.0264341j 0.00530047-0.00530756j 0.0156669+0.00566063j -0.00769299+0.0109981j 
0.00163026+0.0273711j -0.0832133-0.132623j -0.0110733+0.00402835j 0.00275223+0.0243877j 0.140481-0.039951j 0.00432173-0.00813307j -0.0144425-0.00698555j 0.00791744-0.00191612j 0.0231555-0.0134911j -0.00663316+0.0199702j 0.00929539-0.0117125j -0.00149757-0.0722626j 0.0298985-0.143698j 0.22361-0.128865j -0.18357-0.22001j 0.000183018+0.00250764j -0.000923929-0.00252323j 0.00603963+0.00741411j 0.00447074+0.00401377j 0.00665097-0.000296086j -0.00719934+0.00517232j -0.00704594-0.000217508j 0.0121182-0.00394407j 0.0081926-0.00535253j 0.0171434-0.0265785j -0.0159573-0.00529556j -0.01671+0.00611951j -0.0105076+0.021845j 0.0140683+0.0136358j -0.0447343+0.0420692j -0.351956-0.0213652j 0.0945447+0.063962j -0.0214155+0.0289746j 0.0764234-0.294966j -0.0334613+0.14952j 0.0345642+0.0614958j 
-0.0868747-0.0629162j 0.0101919+0.0208799j -0.019024-0.0122904j -0.108855+0.0119721j -0.115701-0.121019j 0.011916+0.0042676j 0.0142519-0.0429725j 0.00871444+0.0411551j 0.0771919+0.0218107j -0.00238303+0.00610734j 0.0374607-0.0478814j 0.185416-0.0944846j -0.119878-0.100948j -0.0255266+0.192367j 0.125935+0.186192j 0.000808023+0.00280089j 0.00289091+0.00922073j 0.00208489+0.0059981j -0.00977915+0.0176453j 0.0157983+0.0415182j 0.00532968+0.00575134j -0.0264868-0.0357936j 0.00371182+0.00974227j 0.0453906-0.0319509j -0.0147185+0.0325125j -0.0371191+0.0154406j 0.00243587-0.00686124j 0.239817+0.0394417j 0.00528322-0.00664739j -0.0391638+0.0617609j -0.143236-0.0818763j -0.0459379+0.200732j 0.0163022-0.133186j 0.13714-0.0696848j -0.077441-0.0811138j -0.0171243+0.118563j 
-0.0126252-0.0194692j -0.117693+0.0991047j -0.0187219-0.021695j -0.0978185-0.00276377j 0.0427877+0.129256j 0.00998222+0.00712219j 0.0121783-0.0231027j 0.000377723+0.0216148j 0.0367856+0.0282617j -0.0159501-0.014494j 0.0322128+0.00485061j 0.139839+0.00287546j 0.0165014-0.0207175j 0.0233213+0.291632j 0.235416-0.092463j 0.00231901+0.00677614j -0.000154166-0.00279337j 0.00844657-0.00339673j 0.000998717+0.00625938j 0.00779161+0.0135197j 0.00713218+0.0104095j -0.0138676+0.00185189j 0.00741697-0.0203253j 0.00610287-0.0252672j -0.0232236-0.0019323j -0.0191842+0.0436311j 0.00629131+0.0134171j 0.111949-0.000416596j 0.0163361+0.000733153j 0.0493337+0.0680595j -0.0609946+0.305872j 0.0521439+0.00386034j 0.0409487-0.105893j -0.260122-0.160555j 0.0820047+0.121077j 0.0618829-0.24972j 
