0.0044565+0.00592306j 0.00945803-0.00271275j 0.00525543+0.0014411j 0.00204054-0.00305146j 0.0013209-0.000681059j -0.00503993+1.85515e-05j -0.000939176+0.0031084j 0.00470574+0.00197629j -0.00236065+0.0010662j -0.00150904-0.000514078j 0.00312294-0.000831316j -0.00324129-0.00331512j 0.00279331+0.000545352j 0.00160443-0.000663187j -0.00142113-0.000766221j 0.00114705+0.00025693j 0.00271933+0.000559341j 0.00230218+0.00258939j 0.00193388+6.31721e-06j -0.00171391-0.000884442j 0.00106844-0.00195367j -0.00140903-1.53901e-05j 0.00298355+0.000377202j -0.00148351-0.000631833j 0.00017972-0.000248936j 4.58489e-05-0.000836232j -0.000472965-0.0015388j 0.000278178+3.92274e-06j -0.00239069+0.000923344j -0.00265944-0.000311476j 0.00119956+0.00107025j 0.000237556+0.00251381j 0.000449985+0.000746818j 0.00209635+0.000342621j -0.000420757+0.0010261j 0.0033039+0.000457068j 0.00149095-1.01311e-05j 0.00221719-0.00143069j 0.00132671+0.00186969j -0.00220814+0.000172863j 0.00352883-0.00198916j 0.00280439+0.00197697j -0.00352681+0.00150766j 0.00442313+0.00307651j 0.00521858-0.00204621j 0.00124843+0.0043232j -0.00850857-0.00180684j -0.00452713-0.00333946j -0.00732421-0.0085172j 0.0198468-0.000213607j 0.0190102-0.0325337j 0.318068+0.0103801j 
0.00893297-0.00284844j -0.00718112-0.00585945j 0.00106831-0.00400715j -0.00642981-0.00177855j -0.00142047-0.00136851j 0.000863851+0.00329319j 0.00535636+0.00115975j 0.00183207-0.00297549j 0.00240373+0.00174178j -0.000396254+0.000766501j -0.00224692-0.00223621j -0.00466367+0.00186253j -0.000343353-0.00198161j -0.00150077-0.00127989j -0.000826373+0.000937164j 5.07933e-05-0.0008339j 0.000216318-0.00182612j 0.00366493-0.00138903j -0.000693373-0.00129133j -0.00101263+0.00102131j -0.00367089-0.00107043j 0.00063472+0.000828749j -0.000147588-0.00212773j -0.000587243+0.00088155j -0.000544721-0.000148403j -0.000994074-0.00045202j -0.00246745+0.000410175j -0.000191133-0.000192269j 0.00224391+0.00188205j 3.9942e-05+0.00175956j 0.00115498-0.000992925j 0.00414992+0.000107095j 0.0010454-0.000199991j -0.000196804-0.00151553j 0.00198701+0.000122101j 6.44672e-05-0.00221697j -0.000398104-0.00107002j -0.00305578-0.00160816j 0.00322502-0.000645278j 0.00168437+0.00143572j -0.00411302-0.00216645j 0.00263805-0.00213368j 0.00391823+0.00290763j 0.00499392-0.00262238j -0.00577848-0.00376061j 0.00843612-0.000870344j -0.00180222+0.00636084j -0.00664174+0.00153997j -0.0134567+0.00234301j -0.000455251-0.00945383j -0.322023-0.0109246j 0.0183484-0.0332633j 
-0.00580516-0.0019397j -0.00335309+0.00363128j 0.00342078-0.000802159j -0.00295319-0.00326748j 0.0044789+0.00250838j 0.00680359-0.00158199j 0.000486143+0.000351287j 0.00469571-0.00168236j 0.0042671-0.000109934j 0.00538493+0.00179615j -0.00122097+0.00202277j 0.000481106-5.40176e-05j 0.0052399-0.00217284j 0.0021104+0.000367136j -0.000405415+0.00131825j 0.00119109+0.00122148j -0.0018163+0.00016095j 0.00264084-0.00130053j -0.0020128-0.000763029j 0.000105921-0.000779893j 0.00135324+0.000920618j 0.00102411+0.000841546j -0.000204919+0.00117797j 0.00311211+0.00197619j -0.00125813-0.00155176j 0.00281722+0.00145953j -0.00359818+0.000139422j 0.000386767-0.00127388j -0.000700498+0.00188559j 0.00146868-0.000427451j 0.00133798+0.000879308j -0.000939364-0.000216407j -0.00085989+0.00199794j -0.000682518-0.0023705j 0.0038275-0.00334442j -0.000869211+0.000651115j 0.000745326+0.00319269j -0.00341708-0.00211164j -0.00437285+0.00149481j 0.00661333+6.92391e-05j -0.00319078+0.00369518j 0.000716784+0.00112455j -0.00323238+0.00534378j 0.00411497-0.00116341j -0.0248175-0.00209557j -0.00735933-0.00710056j -0.0020228+0.00028072j 0.00312287-0.00748499j -0.191865+0.010104j -0.194909-0.0253245j -0.0773707-0.00543787j -0.016634+0.0230252j 
0.00206128-0.00389966j -0.00697912-0.0016062j 0.00422378+0.00188624j 0.00504875-0.00260117j -0.0026164+0.00270781j 0.00509798+0.00359437j -0.000740689+9.53131e-05j 0.00508481+0.00395418j 0.00108073+0.00249856j -0.00174435+0.00329936j -0.00456662-0.00082548j -0.000746655-0.00011001j 0.00621141+0.00360369j 0.000235528+0.00186583j -0.00286089-0.000288606j -0.00120489+0.000894903j -0.00031523-0.000762492j 0.0038427+0.00258749j 0.000733389-0.00148907j 0.00137196-0.000364778j -0.00129253+0.000961369j -0.00114096+0.000499402j -0.0020707-7.4917e-05j -0.00246908+0.00202398j 0.0029651-0.000562392j 0.00101438+0.00363584j -0.0018969-0.0022715j 0.00184239+0.000123435j -0.00399595-0.000728416j 0.000651359+0.000480744j -0.000397278+0.000215854j 0.000258739-0.000847729j -0.00317355-0.000706171j 0.00516398-0.000300946j 0.00801695+0.00311688j -0.00184527-0.000222341j -0.00682188+0.000127228j 0.00240141-0.0013127j -0.00439826-0.00222173j 0.00300072+0.00540865j -0.00857318-0.00194023j -0.00116575+1.92759e-05j -0.0125682-0.00322118j 0.00309861+0.00240098j 0.000375049-0.0105764j 0.0180798-0.000803244j -0.00270793-0.00367364j 0.0191587+0.0020573j -0.211605-0.0204233j 0.219657-0.0050278j -0.0162275+0.0228307j 0.0633891+0.00559516j 
0.00182483-0.00255831j -0.00426283-0.00185542j -0.00360965-1.65686e-05j 0.00288463+0.00259409j -0.00349931-0.00288011j -0.00597019+0.00109402j 0.000862807+0.00146979j -0.00258507-0.000763515j 0.00215689+0.00138977j -0.00345207+0.00133982j 0.00174566+0.000128249j -0.000582307-0.00115489j -0.00354243-0.000631363j -0.00252183-0.00111418j -0.00115842+0.000322432j 0.00100556-0.003014j 0.00123566-0.000689791j 0.00300594+0.00246642j -0.00216851+0.000172892j 0.00222595+0.000550481j 0.000379723+0.00101342j 0.0030447+0.00114832j 0.00221381-1.15053e-05j -0.00175412-0.000137087j 1.40002e-05-0.000146135j -0.00458434-0.00916438j -0.00173365-0.00140046j 0.00127276+0.00100833j -0.000430126-0.000166406j 0.000706161+0.00267718j 0.00141438+0.00150912j -0.00168149-0.000682439j -0.000782648+0.00011696j 0.000215807-0.000101563j 0.00598878-0.000637656j -0.000700473-0.000175299j 0.00594651-0.00187791j 0.00581365-0.00165018j 0.00760331+0.00230876j -0.0101478-0.00119185j -0.0107322-0.00124269j -0.000652507-0.00439132j 0.000433898+0.00445393j -0.0114443+0.00410324j 0.0391908-0.00542834j 0.0253395+0.00435609j -0.0220819+0.013987j -0.274848-0.018008j 0.0214979-0.012366j -0.0408786-0.0182678j -0.00288838-0.00565402j 0.0179557-0.00595923j 
-0.00552862+0.000245968j 0.00255958+0.00346889j -0.000806918+0.00412934j 0.00983913+0.00128275j -0.0070583+0.00162959j 0.00366502+0.00404945j 0.00280694-0.0025329j -0.00231868+0.00127347j -0.00229539-0.0017946j 0.00299744+0.000626315j 0.000225198-0.000356271j -0.000331243+0.000868377j -0.000857397+0.00128832j -0.0011995+0.00171974j 0.00136254-0.00132083j -0.00874265-0.00200477j -0.000424402-0.000348046j 0.00179897-0.00334142j 0.00317678+0.00146045j 0.00227423+0.000268755j 0.00381406+0.00159358j -1.46914e-05-0.000671908j -0.00230681+0.000461304j -0.0019806+0.000594818j 0.00290465+0.000129846j -0.00664668+0.000569882j 0.00250911+0.000427201j 0.000813551-0.000349769j -0.00150134-0.000591979j 0.00512739+0.000931852j 0.00352325+0.000739147j -0.00390728-0.000824113j 0.00450887+0.00178364j 0.00412745+0.000251292j -0.00894643-0.00659746j -0.00210486+0.00112068j -0.0114212-0.00121142j -0.0034028-0.00376484j 0.00397317-0.00270662j -0.00560806+0.00186885j 0.00354721+0.0054001j -0.0159595+0.00153852j 0.00837668+0.00109017j 0.0075908+0.000506726j 0.00311732-0.00376371j 0.0124618-0.0112183j 0.270734+0.00712769j -0.0387235+0.0161631j 0.045559-0.00336018j -0.0337885-0.0100473j -0.0107148+0.0125253j -0.00735079-0.00286076j 
-0.00416504-0.00297872j -0.00474718+0.00201788j -0.000174787-0.00222447j -0.00401173-0.000982723j -0.00116967-0.000721225j -0.00319827+0.00168346j 0.00479982+0.00189879j 0.000623184+0.000440079j 0.00520772-0.00220056j 0.00543795+0.00328154j 0.000175196-0.00134144j -0.00398893-0.000962821j 0.00359366+0.00173302j -0.00287045+0.00080135j 0.00323877+0.00347435j 0.000852807-0.00107069j -0.00204157+4.4011e-06j 0.00918989+0.00289236j -0.000827916+0.00104423j -0.00129571-0.0017582j -0.00153195-0.000748659j -0.000336625-0.00249798j -0.00148523-0.00331778j 0.000501815-0.000102988j -0.00204134+0.0012061j -0.00572582-0.00210529j -0.00405707+0.00247236j 0.00164187-0.000889863j -0.00106406+0.000497547j -3.62969e-05-0.000742016j -0.000232189-0.00138956j 0.000560136+0.000845715j -0.0058843+0.000898083j 0.00446334+0.00226069j 0.0184978-0.000698913j -0.00263165-0.00133381j -0.0026871-0.00790891j 0.00383694-0.000400815j -0.00470447-0.00177976j 0.00402663+0.0045507j -0.0144384+0.00134205j -0.0118665-0.00271995j -0.0101274+0.00154417j 0.0121514-0.000815559j -0.0799995-0.00795989j 0.240466+0.0124089j -0.0183811+0.0126395j 0.0125958+0.0161833j -0.05248+0.0176887j 0.0547504+0.0135152j -0.00976448-0.000914947j 0.00328765-0.00591452j 
0.00384237-0.00214932j -0.00451287-0.00244019j 0.00640718+0.00204066j 0.00664196-0.00367688j -0.00268701+0.000181998j 0.000317215-3.60929e-05j -0.00176166+0.000379054j -0.00570268-0.00056703j 0.00273012+0.00260953j -0.00605465+0.0016365j 0.00289881-0.000672158j -0.000527645-0.00189527j -0.00497085+0.00107522j -0.0035299-0.00132206j -0.00774181+0.000583062j -0.0051318+0.000773255j -0.000514811-0.00131356j -0.00491418+0.0017661j 0.000561824-0.000454587j 0.00510808-0.000273741j 0.00294704-0.000208382j 0.00442356+9.54589e-05j 0.00641755-0.000143456j -0.00220865+0.00104471j -0.000910478-0.00052013j -0.00477907-0.00448964j -0.00544666-0.00216225j 0.0028927-1.74559e-05j -0.00307788-0.000924082j 0.00679535+0.000620101j 0.00570862-0.00142773j -0.0047208-0.00110664j 0.000814615-0.00327776j 0.00344722+0.00150187j 3.71704e-05+0.0086946j 0.000894848-0.000930727j 0.00995011-0.000816417j -0.00525498+0.00143617j 0.00258627-0.00431211j -0.0205088+0.00487297j -0.0124966-0.00491618j 0.00137433+0.000629783j 0.00335933-0.00604745j 0.00829294-0.000463427j 0.232649+0.00201188j 0.056165+0.0154864j -0.018284-0.0106699j 0.0356332+0.0164462j 0.0777889+0.0136862j 0.0674172-0.0155655j 0.00369528-0.00127932j 0.00310826-0.00184812j 
0.00159605-0.00111494j -0.00251451-0.0010689j 0.00585127-0.0031462j -0.00533309-0.00498891j -0.00126564+0.000927831j 0.00149116+0.00111528j 0.00543559+0.000359643j -0.00223145-0.00152143j 0.000566568-0.00221452j 0.00610321+7.43057e-05j 0.00609456-0.00240785j -0.00945212-0.00222098j 0.00226016+0.000363953j -0.00071676-0.000279034j -0.00400266+0.00188486j -0.00626223+0.00254365j 0.000227588-0.000991651j 0.00426655-0.000436631j -0.000517253-0.000225187j 0.00336696-0.00285986j 0.003303-0.00194098j 0.000923147-0.00216088j 0.00517157-0.00037619j -0.000973563+0.00134221j -0.00341911+0.000194737j -0.00503209-0.00202476j -0.00570232-0.000204379j 0.00101822-0.00266869j -0.00454018+0.00214096j 0.00545235-0.000169421j 0.00195591-0.00326709j -0.0028111+0.00320517j -0.00554529-0.00332585j 0.00955388-0.00322746j 0.011328+0.000387507j 0.00380682+0.00145152j -0.00145861-0.00017347j -0.0124714-0.000829955j -0.010798-0.000334945j -0.0072091+0.00453853j 0.00746507-0.000226591j -0.019302+0.0067789j -0.0288212+0.00829864j 0.203724+0.00413859j 0.0428621-0.0143197j 0.0017623-0.00880958j 0.00203091-0.0123397j -0.0842301-0.00928497j -0.0336155+0.00722376j 0.0255214-0.00177196j 0.00138739-0.0037421j 0.00860795+0.00229026j 
0.000342391-0.00173387j -0.00297791-0.000482344j -0.00576402-0.000936628j -0.00107136+0.00384337j 0.00054315-0.000319294j 0.00507876-0.000828403j -0.00183683-0.00359774j -0.00210773-0.00265411j -0.00669355+0.00119717j -0.0072831-0.00502114j -0.00346948-0.00330782j -0.00447742+0.00349452j -0.00188123-0.00347842j -0.0020085-0.00193988j -0.000588971+0.000348331j 0.000405056+0.000892439j -0.00197974-0.00223102j -0.00658625-0.00413267j 0.00323327+0.000725626j -0.00554693-0.00223669j -0.00481362-0.00166543j -0.0043667+0.000426264j 0.00131604-0.000963231j -0.000376103+0.000925781j 0.00343081+0.0011516j 0.00355077+0.00166997j 0.000356909+0.000165111j -0.00606899+0.000414301j 0.00216962+0.00344805j 0.00194113+0.00176005j -0.00514598+0.000552671j 0.0118435+0.00204617j -0.0121532+0.00246785j -0.0120788-0.00508335j -0.0139254-0.00621582j 0.0075218-0.00183374j -0.000922162+0.00315216j -0.00830763-0.000728414j -0.000651942+0.00387683j -0.00650769-0.00090385j 0.0101198-0.00711948j 0.0874344-0.00108151j 0.214544+0.0150217j 0.0521437-0.0119842j -0.0592069-0.00666885j -0.00878799+0.00923001j 0.024465+0.000826044j -0.030162+0.0035574j -0.000429782-0.00130946j -0.0236753+0.000112486j -0.00866629-0.00430666j 0.00438904-0.00341801j 
-0.00343161+0.000931352j 0.00336007+0.0025704j 0.00180996+0.00265072j 0.00691312-0.000138835j -0.00240397+0.000922039j 9.28771e-05-0.00288041j -0.00563768-0.00259228j -0.01231+0.0017313j 0.00414387-0.00083415j -0.0058774+0.00174976j -0.000305354-0.0014008j 0.00139641+0.00197677j -0.0053696+0.00289747j -0.00364345-0.00033345j -0.00269395+0.00281168j -0.00267728+0.00242557j -0.00397731+0.00128187j -0.00842168+0.000211971j -0.00182335+0.000376323j 0.000991172+0.00211899j 0.00576864-0.000111065j -8.89126e-05-7.58149e-05j 0.000135675-0.0039709j 0.00251659-0.00087837j -0.0013213+0.000421335j -0.00341487-0.000358387j -0.00110128+0.0031995j 0.00613145+0.00123687j 0.00234514+0.000268843j 0.0122852-0.00437226j 0.00291731+0.000146016j -0.00601397-0.00093407j 0.00557172+0.00404214j 0.000630369+0.000554512j -0.0163757-0.00145492j -0.000520221-0.00197746j 0.0134669-0.0019771j -0.0181395+0.00470569j -0.0284852-0.000535383j -0.0458741+0.00440896j -0.0172148+0.00621485j -0.163885-0.0119733j 0.103017-0.00163072j -0.0706023-0.0080012j 0.0152612-0.0141735j -0.0381518-0.000124732j 0.0759835-0.00113249j -0.0423303-0.00817515j 0.00381146+0.011709j -0.00155945+0.000304305j -0.00148958+0.00438767j -0.00599084-0.00129554j 
