0.0122886+0.012306j -0.0844347+0.0763621j -0.37813-0.137282j -0.010461-5.79705e-05j 0.0503253-0.000123931j -0.017662-0.0370889j 0.200392+0.0450781j 0.769078-0.121578j -0.00584212-0.00969993j -0.0189275+0.00724936j 0.00215939-0.00661977j 0.00552977-0.0283545j 0.041157-0.00748563j 0.0194042-0.046151j 0.0807857-0.0141543j 0.00130217-0.0842686j -0.0844404-0.0148446j 0.0308018+0.185779j -0.131745-0.186559j 0.0496671+0.230409j 0.233755-0.229837j -0.353266-0.0500343j 
0.00611857-0.0815301j 0.324518+0.106078j -0.354873+0.0405356j -0.0503177+0.000453135j -0.237301-0.000495062j -0.137098-0.0324935j -0.62487+0.0538529j -0.178733-0.0476208j 0.0131071-0.015473j -0.025861-0.0790298j 0.0267083-0.0246104j 0.114328+0.0011258j 0.0185731+0.069291j 0.0687774+0.0229348j 0.187165+0.0682574j -0.0261454-0.24823j 0.162017+0.174149j 0.214429-0.0319775j 0.11412-0.30035j 0.0462086-0.108283j 0.330263+0.0142651j 0.0813611-0.0979133j 
0.027711+0.0802784j 0.365029-0.000572425j 0.0200748-0.0815002j 0.017672-0.0372587j -0.13802+0.0320637j 0.754742-0.000294327j 0.13731+0.0316826j -0.0151123-0.0380448j 0.0302879+0.0157233j 0.0167418-0.0423078j -0.00151819+0.0117166j 0.141463+0.0304468j 0.196228+0.110636j 0.0352513-0.243607j -0.177506-0.0308271j -0.178608+0.0274849j 0.0344932+0.247035j 0.193833-0.109605j 0.143808-0.0364824j -0.00152421-0.0112591j 0.0205977+0.0407345j 0.02828-0.0170268j 
0.342386+0.0460303j -0.338573+0.100996j 0.00230847-0.0847804j -0.201104+0.0445133j -0.623347-0.0532274j 0.138229-0.0312434j -0.22291-0.000492426j -0.0397434+0.000443213j -0.0944891-0.0952388j -0.324547+0.0251169j -0.0476648-0.114397j -0.118006-0.289519j -0.217422-0.0500722j -0.164879+0.174058j 0.024597-0.251342j -0.183262+0.0755821j -0.0714503+0.0172771j -0.0185541+0.0730683j -0.117442+0.0102854j -0.0270492-0.0191829j 0.0182209-0.0812281j -0.0167293-0.0126264j 
-0.387807+0.135499j -0.0720963-0.0814359j 0.0156315-0.0103422j -0.765804-0.121516j -0.179537+0.047053j -0.0151483+0.038206j -0.0397445+0.000158481j 0.0140448+5.01439e-05j -0.352735+0.0527881j 0.246351+0.229465j 0.0509604-0.219932j -0.12824+0.20197j 0.0346806-0.180714j -0.0806924+0.00819539j -0.0019563+0.0914377j 0.0841348+0.0131398j 0.0204782+0.0454788j 0.0403281+0.00423194j 0.0093214+0.0294944j 0.00328916+0.00803968j -0.0194119-0.00491507j -0.00556709+0.0105259j 
-0.0169685+0.013919j -0.0171115-0.0520401j 0.213888-0.138807j 0.0023605-0.00219273j 0.00160597+0.00543815j 0.00823634-0.00164679j -0.0309703+0.0168972j -0.0872004-0.031256j -0.00877078+0.00206508j -0.00862464-0.000383854j -0.00112004+0.0153444j -0.00694936+0.00817478j -0.0157926+0.00988554j -0.0138036-0.0241048j -0.016457+0.024188j -0.024786-0.0591884j 0.0277157+0.00538892j -0.00329517-0.0429845j -0.0968338+0.0570077j 0.0321117+0.581276j 0.0748373-0.142302j 0.418747+0.0601697j 
-0.0454825-0.0136915j 0.178012-0.140774j -0.187688-0.0106617j 0.00417553+0.00410417j -0.0151798+0.0201335j -0.00334362+0.0104665j -0.0754914-0.0275109j 0.0761233-0.00852494j -0.00896289+0.000310931j 0.034393-0.0159973j 0.0102462-0.00115003j -0.0521135-0.0542069j -0.0459725+0.0573226j -0.0201972-0.00964013j -0.0562043+0.0945664j -0.0322283-0.125724j -0.1134+0.0173304j -0.0477698-0.326123j -0.100274+0.332567j 0.0514035+0.179337j 0.326017+0.0544213j 0.0652103+0.064522j 
-0.0154623-0.0567347j -0.145463-0.0811076j 0.0936707-0.20969j 0.00540366+0.0102216j -0.0126128-0.000424134j -0.0686197-0.0084665j 0.0835158+0.00114457j 0.0117887-0.017095j 0.0175471-0.0115902j 0.0394127-0.0271631j 0.000115742-0.047679j 0.00504917-0.0691312j 0.102312-0.0482621j 0.0844704+0.158492j -0.0503436-0.0886085j 0.115639-0.131203j -0.119913+0.371277j -0.202622-0.276599j -0.219114+0.0440291j 0.0480737+0.06895j 0.0526264+0.0591589j 0.0238733-0.02301j 
0.143643-0.225677j -0.12029+0.00587522j 0.143421+0.229825j 0.00833723+0.0238926j -0.0474242-0.0242827j 0.0527279-5.11967e-05j 0.0462845-0.0229844j -0.00898704+0.0232314j 0.0199481-0.0175739j 0.0889072-0.0150641j 0.00803696-0.053688j -0.035678-0.104513j 0.0370279+0.0702726j -0.0930906+0.214782j -0.244534+0.315567j -0.248712-0.310042j -0.09066-0.218828j 0.0415145-0.0631471j -0.0318343+0.0967971j 0.00599103+0.0442132j 0.0858657+0.0155574j 0.0153025+0.0164914j 
0.0877645+0.213017j -0.145282+0.0802679j -0.015327+0.0523561j -0.0145249-0.0179818j -0.0822416+0.000979687j -0.0675054+0.00803093j 0.0131231+0.000215383j -0.00525784+0.0096195j 0.0228076+0.0219603j 0.0539572-0.0599148j 0.0473057-0.0694126j -0.21468-0.0514333j -0.20688+0.279936j -0.119976-0.374392j 0.119842+0.125362j -0.0456801+0.0917381j 0.0861145-0.150651j 0.102225+0.0450867j 0.0067604+0.067804j 0.00065592+0.0440311j 0.0389091+0.0289702j 0.0159205+0.0103978j 
0.181957-0.0163154j -0.180141-0.143179j 0.0495927-0.00935142j 0.073017+0.00957111j -0.0736925+0.0266199j 0.00292163+0.0104626j -0.0126564-0.0199027j 0.00376794-0.0034988j -0.076328+0.0662014j -0.326958+0.0498033j -0.0543797+0.198666j 0.0996294+0.341439j 0.0470083-0.315782j 0.110551+0.0141748j 0.0299673-0.117489j 0.0548985+0.088632j 0.0195029-0.0143777j 0.0461988+0.0530113j 0.0527832-0.0468016j -0.00908779+0.00444306j -0.0301504-0.0150774j 0.0119029+0.00125669j 
