-0.198301+0.42171j 0.220709+0.0404726j -0.0153385+0.0367071j 0.0663103+0.018818j 0.00318747+0.105842j -0.0749362-0.073887j 0.000347434+0.000265107j 0.00628869-0.00720097j 0.0118713-0.00970134j 0.015937+0.00533299j 0.0469231-0.00556515j -0.0253205+0.0487411j 0.0392864+0.0437709j 0.0437136+0.0166514j -0.0121479-0.0431836j -0.00191592+0.00423448j 0.00631626-0.00464306j -0.00204738-0.00151223j 0.00630315-0.00275087j -0.0112867-0.00710313j 0.00545532+0.00592845j 0.00962985+0.000950081j -0.00655443-0.00332046j 0.00553907-0.00652996j -0.00212973+0.00938765j 0.0286917-0.00399333j 0.0216355-0.000399222j 0.00980334+0.0134128j -0.00141488+0.00217087j 0.00190448+0.00294379j 0.00509229-0.000252066j 0.00698787-0.00527369j -0.0219492-0.0135108j -0.00928964-0.0152005j 0.0123322+0.00882744j -0.0180398-0.0166193j -0.002613+0.014952j 0.00547076+0.0267635j -8.5121e-05+0.0127711j 0.00959501-0.0099137j 
-0.439256-0.250136j -0.0552603+0.209412j -0.0449255+0.00499228j -0.038946+0.057867j -0.0947886+0.0166734j 0.0624066-0.0609224j -0.0109074+0.00896455j 0.0267376-0.00837221j 0.0120465-0.00606689j -0.0347001+0.0185236j 0.0201807+0.041057j -0.0365276-0.0174849j -0.0462455+0.0214364j 0.00918927+0.0466833j 0.026863-0.0177876j 0.00275982-0.000168028j -0.0101123+0.00173939j -0.017226+0.00227637j -0.013823-0.00927379j -0.00863653-0.00369146j -0.0103872-0.00494846j 0.0142868+0.00287518j -0.0012079+0.00420509j -0.00329555-0.00742982j -0.000122362-0.00179028j 0.00246586+0.0258535j 0.00267626+0.0108511j 0.00892985+0.00238252j 0.0152134+0.0168493j 0.00218216+0.000545815j 0.00485515-0.000610371j -0.00426615-0.00654584j 0.0136146-0.016384j 0.00300827-0.00352161j -0.0120137+0.00059861j 0.00116864-0.0119448j 0.00444008+0.022886j -0.0141083-0.00479508j -0.00754315+0.0221968j 0.0111508-0.00411976j 
0.300908+0.0295361j 0.00388586+0.0615677j -0.025618-0.126627j 0.0969507-0.055078j -0.077301-0.0554921j 0.0110155-0.0618007j -0.00163663-0.0254336j 0.0184183+0.058891j 0.0407215+0.0560189j 0.0447203-0.0942174j 0.0107748+0.0309421j -0.0270452+0.00593043j 0.0573082+0.0131967j -0.0401822+0.058812j 0.031677-0.0351427j -0.00462279-0.00229432j -0.000680833-0.00640668j 0.00137576-0.0319372j 0.00501984-0.00679434j -0.00979428-0.0238754j 0.0293798-0.00259919j 0.011154+0.0337432j -0.0412009-0.0220936j 0.00459989-0.00846879j 0.0062606+0.013057j 0.0159353-0.0361173j 0.03833+0.0053371j 0.00341202+0.054654j -0.0197455+0.0305581j 0.000560767+0.0150062j -0.0064262+0.0170229j 0.00296031-0.0140853j -0.0400644-0.00202453j -0.0111916-0.0237654j 0.0443351-0.0024732j -0.0039969-0.0251984j -0.0236445+0.046915j 0.0195207+0.0309249j -0.026766+0.0221454j 0.0250038-0.00976683j 
0.239432-0.20338j 0.131705+0.0251154j -0.126415-0.00924553j -0.0435336-0.13401j -0.0531508+0.042882j -0.062365+0.0067773j 0.00495951+0.0283743j 0.0256564-0.0566997j 0.0244016-0.00771186j -0.0684567-0.00232124j 0.019791-0.0387691j 0.00998728-0.0271895j -0.0281512-0.04264j 0.0432131-0.00496108j -0.0291931+0.00391958j -0.0082345-0.0186577j 0.00109568+0.0362409j 0.0164896+0.0121217j -0.0154123+0.0445748j 0.031841+0.00974397j -0.0158992+0.00250633j -0.00627405+0.00401818j -0.00624933-0.00520237j -0.00963236+0.0405428j -0.0105892-0.0318684j -0.0159769+0.0142691j -0.00442229+0.0201285j -0.0267558-0.00524708j 0.0202896-0.0142252j -0.00285216-0.000517809j -0.0155001+0.0243885j -0.022275+0.0387731j 0.0169869-0.0170344j 0.0191968+0.00924552j -0.00577733+0.00499314j 0.0410709-0.00581853j 0.0232389-0.0305997j -0.0409605-0.0089424j 0.0180527-0.00947193j -0.00928396+0.00814546j 
-0.174014+0.0873839j -0.04709+0.125212j 0.0435112-0.0762819j 0.0798311-0.0465903j 0.0328453-0.0643403j -0.0150539+0.0164341j 0.0198051-0.0211015j -0.0516514-0.0129745j 0.010813-0.046581j -0.0165833+0.0397228j -0.0442112-0.0345935j -0.0116512+0.0244898j -0.00523447+0.000719789j 0.0078446-0.0459112j -0.0192918+0.0214868j -0.0118803+0.00121366j 0.0252877+0.0147287j 0.0106001+0.0168369j 0.0235041+0.0367988j 0.00909433+0.0357657j -0.00412543-0.0359493j -0.00686135+0.0282328j 0.0158774-0.0165961j -0.0294025+0.0610437j 0.0351809-0.0538613j 0.00804974+0.0156936j 0.0130503-0.00115011j -0.00175663-0.00657842j -0.0465737-0.00472006j 0.00496835+0.00393122j -0.0588001+0.0255811j -0.0475146+0.0342006j 0.0259314-0.00411043j -0.0307824-0.0239409j 0.0323574+0.0319575j 0.0308025-0.00109035j 0.0138185-0.0332795j -0.0251321+0.0189612j 0.0226134-0.0158788j -0.00966297+0.00345826j 
0.0188287+0.253811j -0.0819728-0.0357134j -0.00926767+0.00427831j 0.00999741-0.0420423j 0.0255098+0.0159063j -0.0424217+0.0158951j -0.0846436+0.019659j 0.0831072+0.021877j -0.074049-0.0646094j -0.0604558+0.0347388j 0.0162758+0.0771148j 0.0849472+0.0113234j -0.0430897-0.0621995j 0.0164978+0.0263759j -0.0069054+0.00889113j 0.0215092+0.000786373j -0.0300455-0.00730596j -0.020266+0.0266249j -0.0356598-0.0344085j -0.00187161+0.0163621j -0.0395265-0.00680708j -0.000508596+0.00863052j 0.0454731-0.0260312j -0.0207211-0.00754319j 0.00896298-0.0221373j 0.0503203+0.0670829j -0.0050691+0.02864j -0.0229737-0.0354689j 0.000115987+0.0341646j -0.0063775-0.00706048j -0.0275707-0.0153015j -0.0221455-0.0171978j 0.0410714-0.0667387j -0.00481741+0.00112681j -0.0138225+0.0453691j 0.0123515+0.00680677j -0.0113159+0.026215j -0.0380381-0.00612994j -0.0159334+0.0227612j 0.0178974+0.00518444j 
-0.024878+0.0688534j 0.0526893-0.00676888j -0.0188649-0.0150976j -0.0782933-0.0524049j -0.000636101-0.0669025j 0.0360528+0.0757693j -0.00222422-0.0191821j -0.0338797+0.0179552j -0.0268041-0.038077j 0.0461239+0.057854j 0.00627082+0.0158066j -0.0233381+0.0653347j 0.025164+0.068814j 0.0155642-0.0117239j 0.00189123-0.0198334j 0.00643469-0.00309672j -0.0208997+0.00128787j -0.023007-0.000498211j -0.0224447-0.0196826j 0.00851144-0.00633409j -0.0412872-0.00881061j 0.0500245+0.012851j -0.0288986-0.00690941j 0.0175656+0.0122542j -0.0288281-0.0328693j -0.0293999+0.00758559j -0.028729-0.00519004j 0.00786588+0.0173006j 0.0434983+0.0692144j 0.0065857+0.00243062j 0.019178+0.0505194j -0.00613659+0.0232524j 0.0253413-0.00229118j 0.0024238+0.0377177j 0.000199975-0.0584686j 0.0279732-0.018995j 0.0084228+0.0358364j -0.00228267-0.0358065j -0.0206073+0.0240276j 0.00981993-0.000309022j 
-0.0630268+0.0168335j 0.0913745-0.0154001j -0.00764478-0.0120904j -0.050894-0.0154049j -0.0110909-0.0480505j 0.0393044+0.0395083j 0.0166683-0.0268135j -0.0428484+0.0197283j 0.00986417-0.00547357j 0.00910537-0.00355625j -0.0573191-0.0114874j -0.00464527-0.00419722j -0.0004221-0.0108547j -0.0380954-0.0274346j 0.00576957+0.0287386j 0.00686382-0.00747523j -0.0256698-0.00134882j -0.00809212-0.0221343j -0.0193343-0.019858j 0.025125-0.00831624j -0.013528-0.0159804j -0.00876566-0.0143544j -0.00381272+0.0459532j 0.015454-0.0175313j -0.0202178-0.0030716j 0.0321068+0.00493888j 0.0797569-0.0178971j -0.00151436-0.0527056j 0.0273933+0.010406j -0.00161153-0.0167423j 0.0182071-0.015037j 0.0162975-0.00651794j -0.0435495-0.053695j -0.0317387+0.0194754j 0.0130863+0.0193941j -0.0579205+0.00657908j 0.0151644+0.0113725j 0.0277991+0.0373922j 0.0238749+0.0142624j -0.00043318-0.022961j 
-0.0867316+0.275163j -0.0499654+0.170533j -0.00138501-0.0303101j -0.00474195-0.00645289j -0.0207207-0.0375254j 0.0289915+0.00468544j -0.00959382+0.0469822j 0.0324581-0.0115653j -0.0679297+0.0643125j 0.0670203-0.0186561j 0.0537105-0.0164733j 0.0736068-0.0251865j 0.0329884-0.0113537j 0.00216353-0.0232931j -0.0166549+0.00394232j -0.0120022-0.00959696j 0.00729+0.0196162j 0.0106185-0.013053j 0.00819106+0.0272062j 0.034847-0.0119298j -0.0100953+0.000987075j -0.0123375-0.0107827j -0.00449243+0.0331347j 0.020467+0.0171885j -0.0289141-0.00717483j -0.0670857-0.0165272j -0.0255894-0.0294659j -0.0205324-0.0140306j 0.0213995-0.0253873j -0.00342383-0.0066142j 0.0218199+0.0152314j 0.0155105+0.0316783j 0.00216281+0.0415566j 0.0241752+0.0419291j -0.0152676-0.0436834j 0.0188373+0.0211869j 0.0109428-0.0518049j 0.0119663-0.035874j 0.0147128-0.041285j -0.0296192+0.0148996j 
-0.00680605+0.108606j -0.017829-0.0216828j 0.0776117+0.0178068j 0.0420113+0.0607459j 0.0599105-0.00276552j -0.000849421+0.00222994j 0.0488193+0.0283593j -0.00637881-0.0682199j 0.0580637+0.0505231j -0.0334674-0.0236216j 0.0165063-0.0603126j -0.0406626-0.0646516j -0.0291795-0.0053188j 0.018414-0.00226605j -0.00517909+0.00194712j -0.0144502-0.0254338j -0.0257045+0.0482128j -0.0430278-0.0289607j -0.0469981+0.0240956j 0.00490809-0.0441887j -0.0156395-0.0243933j 0.0094019+0.0554503j -0.00825854+0.0123405j -0.0246998-0.000778271j 0.00167007-0.00832976j -0.0269544+0.0133165j 0.0304024-0.0281574j -0.043242+0.0372766j 0.0273607+0.0301217j -0.010773+0.012154j -0.0231429+0.0160362j -0.0297547-0.00857227j -0.023778+0.000131085j 0.0242513+0.0119492j 0.0223749-0.0136505j 0.040272+0.00789722j 0.0113754+0.0428645j -0.00669359-0.0258271j -0.0157027+0.0268876j 0.0122921-0.00401965j 
0.194686-0.00641313j -0.0966022+0.0012477j -0.0155101+0.0407348j -0.0745404+0.000569497j 0.00685775+0.00189326j 0.0155948+0.0401477j 0.000273446+0.0231053j 0.0236097-0.0220754j -0.000465661+0.0204793j 0.00413965-0.0001986j 0.0463066-0.000568204j -0.00927051-0.00627214j 0.000857385+0.0202304j 0.0258535+0.0189733j -0.00025693-0.0228509j -0.0100461+0.029834j 0.0351558-0.00761869j -0.0486518+0.039216j 0.0272616-0.00492093j -0.0512409-0.00465554j -0.0442836-0.00160764j 0.0471484-0.00215702j 0.0583992+0.00781319j 0.00262002-0.000805807j -0.00288636-0.00208775j 0.0860174-0.00099183j 0.0137397-0.105298j 0.0204687+0.000798629j -0.000555932+0.00147737j 0.00512466+0.000186917j -0.00237278+0.00263061j -0.00209776-0.00110373j -0.05932+0.00875453j -0.0470988-0.00222992j 0.0437879-0.00209204j -0.0506626+0.00599402j 0.0258879+0.004941j 0.0482453+0.0395166j 0.0344104+0.00769168j -0.00940978-0.0293453j 
