0.0113208-0.00270756j 0.000472524-0.00524173j -0.00417541+0.00461206j 0.0120505-0.00112491j -0.00307709+0.00184932j -0.00121886+0.00302697j -0.00658871+0.00241974j -0.00781304-0.0012479j -0.00968851+0.00426282j -0.000958788-0.00104829j -0.00172329-0.000378172j 0.00283431-0.00299868j -0.0138861+0.00184057j 0.0096558-0.00245884j -0.00443737-0.000784777j 0.00130434-0.00273987j 0.00120694+0.000706913j 0.00521931-0.000698412j -0.00133423-0.000229334j 0.00739372-0.00243144j -0.00938994+0.00135881j 6.1558e-06-0.00120839j -0.000338764-0.00157876j 0.00648606-0.00114763j 0.00715608-0.00084671j 0.00576548+0.00149704j 0.000217579+0.00702774j -0.00277587+0.000397133j 0.00921517-0.000786012j -0.00176916+0.000862743j -0.0141129-0.000980411j 0.00508799-0.00142543j -0.00496576-0.000212362j -0.00164605-0.00103932j 0.0109348+4.59889e-05j 0.0034258+0.000113235j -0.0113355-0.00248012j -0.00151774-0.000325381j -0.0069402-0.00220687j 0.00176987+0.00190932j -0.00356613+0.00105718j 0.00441381+0.000207696j 0.00334358-0.00124818j 0.0108735+0.00344605j 0.00584323+0.00453171j 0.00497426-0.00045297j 0.00968984+7.08633e-05j -0.00247665-0.0029328j 0.00801725+0.00196114j 0.00395223+0.00496959j 0.008804-0.00219975j -0.00879632-0.00658378j 
0.0114784-0.00555919j -0.00598383-0.00375248j 0.00487662-0.00135518j 0.000216107-0.00108449j 0.00676347-0.00395323j -0.0122466+0.000983133j -0.00256183+0.00389128j -0.00217467-0.00145587j 0.00269827-0.00224633j 0.00428361-0.0010562j -0.00924803+0.00210825j -0.00467247-0.00045496j 0.00247703-0.00197581j -0.0042112-5.01833e-05j 0.00945444-0.00339184j 0.00620662+0.00034336j 0.00619753-0.00178019j 0.00503457-0.000938342j 0.0123988-1.98504e-05j 0.00478168+0.000862508j -0.0017087+0.00217544j 0.0147338-0.00229834j -0.00530696+0.000298728j -0.00247634+1.37154e-06j -0.00853534+0.000599207j -0.00343164-0.000101382j -0.00158772-0.00230532j 0.00676762-0.000218385j -0.00566363-0.00092284j 0.00580601-0.00142622j -0.0080848-0.00171964j -0.0095243-0.00151182j -0.00568569-0.00122979j 0.0122012+0.000342918j 0.00220386+0.00129977j 0.00495532+0.000661342j 0.0123241+0.00238343j -0.00701146-0.00352974j 0.00256238+0.000347916j -0.004724+0.00133765j -0.000257144-0.00018487j 0.0065935+0.00138295j -0.00489754-0.000350239j -0.00426103-0.00162723j -0.00826344-0.000651657j 0.00276612+0.00422995j 0.00759633+0.00254797j -0.0028737-0.00203909j -0.00890746-0.00204023j 0.000522562-0.00243808j 0.00254745-0.00530976j -0.0120254-0.00439687j 
0.00410057-0.00382366j -0.00634377-0.000374434j 0.00349539-0.00453019j -0.00961982+0.00190568j 0.000859552-0.00180415j -0.00546075-0.000571591j -0.00301127-0.00146028j 0.00837738-0.00410419j -0.0136331+0.00416575j -0.0060407-0.00152746j -0.000629623+0.000681168j -0.00317122-0.00111791j 0.00209427-0.000849663j 0.00883202-0.00222804j -0.00272681+0.00168551j -0.0158264+0.00345554j 0.000771208+0.00076725j 0.00942423+0.000623221j -0.00776187+0.000421776j 0.00285366-0.00030266j 0.00835014-3.85581e-05j 0.00855288-0.000301348j 0.00494977+0.00120975j -0.0100615+1.89265e-05j 0.00697563+0.000291647j -0.00562379-0.00165803j 9.19728e-05-0.00638254j -0.0112115-0.000340726j -0.00564089-0.00112392j -0.00334823-0.000810012j 0.00510037+0.000104528j -0.00624606-1.42658e-05j -0.00528844-0.00243657j -0.00751441+5.32616e-05j 0.00362562+0.000376573j -0.00179791-0.0013443j -0.00350919+0.00189127j 0.00809316+0.00121609j -0.0114316-0.00232163j -0.0126018-0.00225858j 0.00390635+0.00221189j -0.00243262-0.000854203j 0.00381643-0.000860664j 0.0112438+0.00518357j -0.00481449+0.000565025j 0.00460399+0.000349894j -0.00346001+0.00229838j 0.00559842+0.00276361j -0.00916152-0.000367488j -0.00514534-0.00390945j -0.00183485-0.00325693j -0.0057828-0.000695225j 
0.00194901-0.00392324j -0.00531824-0.0132174j 0.00166823+0.0142546j 0.00427608+0.00370881j -0.000550335+0.00587394j 0.00429214+0.0068275j 0.000528532+0.000696248j 0.000716548-0.00997566j 0.00155083+0.00540607j -0.00160761+0.000214226j 0.00112847+0.00333744j -0.00317903-0.0110089j -0.000210125-0.00105449j -0.00449201-0.00395586j -0.00181828-0.00453201j -0.0041445-0.0104659j 3.07673e-05+0.00029502j -0.00327041+0.00137631j 0.000471565-0.00187747j -0.006121-0.00375625j 0.00326453+0.00857015j -0.00135936-0.0132884j -0.00208675-0.00999522j -0.00550078-0.00353162j -0.00149938-0.00810326j -0.00092239+0.000126269j -0.00506924-0.00176659j -0.000534011-0.000766712j -0.00115212-0.00529541j 0.00243107+0.00894639j 0.00539217+0.00639704j -0.00165314-0.00497171j 0.00226533-0.00955144j 0.00229469-0.00504658j -0.00445611-0.00856854j -0.000985998+0.00150035j 0.00281376-0.00779719j 0.00352081-0.00755659j 0.00193668-0.00413011j 9.79948e-05+0.00703667j 0.00430674+0.00354568j 0.000252976+0.000601245j 0.00357747-0.009421j -0.00583367+0.00598194j -0.00330226+0.00452166j 0.00103859+0.00296924j -0.00215173-0.00433231j 0.00432038-0.00415045j 0.00128597+0.00905786j -0.00998366+0.00873522j 0.00781739-0.00304412j 0.00794308-0.0159281j 
0.00244754+0.0109271j 0.00584253+0.00690918j 0.000898227+0.000145548j 0.000887648+0.00225916j 0.00152926+0.00751724j 0.00183299+0.00281382j -0.00462607-0.0120417j 0.000360032-0.00132453j -0.000445469+0.0072622j -0.000459453+0.0016538j 0.0029982-0.000980115j 0.00116942+0.0127781j 0.0015571+0.00302398j 0.00221243+0.00740182j 0.0048399+0.00261735j -0.00257186-0.00803106j 0.00350033+0.00740175j 0.00416024+0.00778105j 0.00188671-0.00163376j 0.00166246-0.00850101j -0.00123325-0.00488218j 0.00390547-0.000538593j -0.00154431-0.0103134j 0.00157905+0.000365145j -0.00419483-0.0146304j 6.43811e-05-0.0167977j 0.00652732+0.000587541j 0.00133958+0.00302708j -0.00286858-0.00040866j 0.00230101+0.00149934j -0.00242796+0.00374371j -0.00093663+0.00786795j -0.00598474+0.00276062j 0.00305839-0.00740377j 0.00301103-0.0101373j -0.000562081+0.0149669j 0.000267297+0.000608153j -0.00198231+0.00249689j 0.00116804-0.000227388j 0.00164785-0.01024j -0.000686359-0.00525964j 0.00566513-0.00746375j -0.00249342-0.00608644j 0.0011039+0.00707176j -0.00485966+0.0032094j 0.008657-0.00740034j 0.000276574-0.00330936j -0.00307593+0.00659319j -0.00114623+0.00340227j -0.00360579+0.00883345j -0.00766996+0.0119048j 0.00106149+0.00757012j 
-0.00284385-0.00888796j -0.00379553-0.00326207j -0.00418848-0.00440035j 0.000408841+0.00467175j -0.00360233-0.0086827j -0.00164708+0.00258284j 0.00260608+0.0079912j -0.0040414-0.00795932j -0.000482365-0.00138529j -0.000638222-0.00172311j 0.00433854+0.00572488j 0.00213738+0.00654538j 0.00253879+0.00363932j 0.00211665+0.0107693j -0.00206066-0.010063j 0.00134185+0.00986581j 0.00166747+0.00883047j -0.000776519+0.00724098j 0.00141281-0.00254293j -0.0032187-0.01183j 0.00101976+0.00825746j -0.00299125+0.0100538j -0.0014028-0.00685167j -0.000643517-0.00412586j 0.00073601-0.0108184j 0.00287767+0.00970728j 0.00320926-0.00354476j -0.000816757+0.00291268j 0.00311799-0.0068738j -0.00110384-0.0145j 0.000968262-0.00553573j 0.00417692-0.00716415j 0.00222954+0.0044999j -0.000236431-0.00243767j -0.00229261-0.00125942j -0.00304213+0.0146831j -0.00290775+0.00241336j 0.00249724-0.00631261j 0.00322952+0.00365124j 0.00506287-0.0156312j -0.00234627+0.00584068j -0.00136426-0.00344452j -0.00316553+0.00383838j 0.000420915-0.00229084j -0.00351861+0.0123154j -0.00187505+0.00580916j -0.00115+0.00715315j 0.00232664+0.000910453j -0.00325636+0.00551727j -0.000643552-0.00778847j 0.00367692-0.00790504j -0.00114116-0.00285184j 
-0.00253577-0.00751756j -0.00313571-0.00188554j -0.00213713-0.00512277j -0.00154646+0.000315327j 0.000372259-0.000922953j 0.00125171-0.00509276j -0.000292637-0.0040148j 0.00200257+0.00550675j 0.00442542+0.0093733j -0.00671475-0.0103239j -0.00105922+0.00711478j -1.71385e-05-0.00107923j -0.00327038-0.0203965j -0.000992736-0.00945975j -0.000171329+0.00157681j 0.00244837+0.000842417j 0.00212099+0.012039j -0.00211633+0.00430527j 0.00121944-0.000674379j -0.000417509-0.0115061j -0.00122808-0.00175171j -0.00171918+0.00177164j -0.000321115+0.0155502j 0.00217621+0.0019524j -0.00209074-0.00636782j -0.00432027-0.00617306j -0.00379729+0.00798401j 0.000436296+0.00456028j 0.00122379+0.000348468j -0.000626534+0.00748755j 0.000324192-0.0128636j 0.00178152+0.00292427j 0.000308631+0.00277352j 0.000406674-0.00271207j -0.00249356+0.00155798j -0.00173296+0.0077155j -0.00123476+0.0105694j -5.20377e-05+0.00417857j 0.00568215-0.0152893j -0.00190964+0.00958581j -0.00378449+0.0124135j 0.00386168-0.000222858j 0.00380414-0.00483968j -0.00389491+0.00862343j 0.00326233-0.00129228j 0.000989389-0.00660174j -0.00414226-0.000540003j -0.00180039+0.00821758j -0.000876241+0.000730838j 0.00165137-0.00669687j 0.00285167-0.00629019j -0.00124012-0.00146742j 
-0.00318494-0.00473749j -0.000727423+0.00254301j -0.00573753-0.00845689j 0.00049616+0.00809119j -0.000509302+0.0029994j 0.00114657-0.00169737j -0.00413134-0.00442537j -0.00451599-0.008825j 0.00211631+0.0108447j -0.00202415-0.00953958j -0.00247357-0.00546004j -0.00046613-0.00146869j 0.00282336+0.00599054j -0.00337278-0.00471636j -0.000869773-0.00280049j 0.00102199+0.000882318j -0.00227192-0.0188248j 0.000182086+0.0128737j 0.00253927+0.00926161j 0.000973547-0.00183019j -0.000430881-0.00320071j -0.00128398+0.00195393j -0.00120119+0.00285863j 0.00204704-0.00510911j -0.00110735+0.00361335j 0.000519691-0.00851876j 0.00502084+0.00395305j 0.00385301-0.0202634j 0.00118558-0.00264859j 0.00223123-0.0110171j -0.000703985-0.00369058j 0.0013248-0.0035942j 0.00278009-0.0146392j 0.00213573+0.00309496j 0.00033794-0.00948972j 0.00341454-0.0112424j -0.00301939+0.00832701j -0.00183765-0.00280336j 0.00059653+0.00455991j 0.00184904+0.00136257j -0.00131373-0.00607805j -0.00334973+0.0056818j 0.00298743-0.00215951j -0.00171543+0.0100897j -0.000313618+0.00677743j 0.00152096-0.00708625j -0.00336678+0.00590971j 0.000151184+0.00544683j -0.00256825+0.00532792j -8.79931e-05-0.00512832j 0.000485999-0.0035081j -0.0014426+0.00164104j 
-0.00818752+0.0054024j 0.00451709-0.000410173j -0.000164442-0.00093344j -0.0106227+0.00606127j 0.00099508-0.00241595j -0.00189655+0.00485347j 0.00655254-0.00108501j -0.0011847+0.0024487j 0.00331561+0.00059241j -5.64073e-05-0.000890192j 0.000296108+0.00274732j 0.00121299-0.00282004j 0.00657569-0.000715162j 0.00216202-0.00270677j 0.00142514-0.00111647j 0.00074271-0.00409524j 0.000296042+1.1737e-05j 0.0023696-0.00213995j -0.00215428-0.000800484j 0.00606157-0.0033517j 0.00162877+0.00109828j -0.00383437-0.00252594j 0.00513321-0.00516547j 0.00899285-0.00402594j 0.00197356-0.00300291j -0.00688967+0.00383026j 0.00243362-0.00552805j 0.00431052-0.00126555j 0.000776538-0.000610657j -0.0063856+0.0068632j -0.00607079+0.00352127j 0.00638559-0.000178037j 0.000618209-0.00695147j -0.00307308+0.00065875j 0.00116512-0.0011124j -0.0015147+0.00242217j -0.000790349-0.00470366j -0.00474127-0.00189878j -0.000153721-0.0030868j -0.00359403+0.00309594j -0.00744835-0.0029067j -0.00270297+0.00636959j -0.00561874-0.0072331j 0.00129723+0.0036136j -0.000465291+0.00408102j -0.0016417+0.0042253j -0.000975829+0.00151043j 0.000816072-0.00570522j -0.00284477-0.00673347j 0.0103969+0.00466985j -0.00978451-0.0116565j -0.00931982-0.00044556j 
-0.00111406-0.00315226j -0.00781143+0.00810839j 0.00316367-0.000554509j -0.00104492-0.003512j 0.00311903-0.000329154j -0.00707171+0.00215979j 0.00397503-0.00124384j -0.00100932+0.00104172j 0.00186745-0.000931047j 0.00268856-0.00106458j -0.0103091+0.00390488j -0.00585038+0.00130781j 0.000750661+0.00404355j -1.83054e-05+0.00106262j -0.00526939+0.00509147j 0.00336963-0.00216187j 0.000162544+0.000237295j 0.000186333+0.00283262j -0.00183406+0.000987525j -0.00490182+0.00432672j -0.00169854-0.00172412j -0.0024222+0.00116469j 0.000342241-0.00178058j -0.00167253+0.00394621j 0.00493479-0.00480443j -0.00413179-0.000282045j 0.00939235+0.00578198j 0.00217361-0.000178889j -0.00258542+0.00044509j -0.00968931-0.00116705j 0.00365095+0.00122785j -0.00382847+0.00746849j 0.0135962-0.00116868j 0.00129224-0.00360755j 0.00380401-0.00177523j -0.00171766+0.00369888j 0.0049286+0.000693034j 0.0039906+0.00257385j -0.00604945+0.00171919j -0.00121621+0.00025048j -0.00297044-0.00704195j -0.00512808-0.00442036j 0.00289204+0.00328236j -0.0047267+0.00303799j 0.00626061+0.00016695j -0.00800818-0.00963778j 0.00373707+0.00202674j 0.0057316-0.00302796j 0.000446888-0.000937186j 0.0040239+0.00698849j 0.0124424+0.000280414j -0.00623636-0.00869872j 
-0.00169025-0.00348827j -0.0048325+0.00885632j -0.00322317+0.00360377j 0.00255842-0.00402076j -0.00273906+0.00206925j -0.00379014+0.00324713j 0.00100614-0.0013743j 2.92774e-05-0.000987835j -0.00631589+0.0017405j -0.00411877+0.00172061j 0.00318275+0.00203192j -0.000422861+0.00254144j -6.66166e-05+0.00198699j 0.000839437+0.0024026j -0.00139973+0.00485824j 0.00111271-0.000556886j 0.00221825-0.000696039j 0.00146478+0.0022877j 0.00748441-0.00437899j 0.00275408+0.00562555j 0.0105424-0.00550193j -0.00661469+0.00264843j 0.00315317+0.00160522j 0.00311602+0.00403697j 0.000836602+0.00148187j -0.00250169-0.00564546j -0.00182485-0.0078899j -0.000111666+0.00238709j 0.0129559-0.000604227j -0.00291002+0.00287049j -0.000349337-0.000439829j 0.0130317+0.00366005j -0.00572687-0.00162627j -0.00246786+0.000325726j -0.0112299-0.00206198j 0.00913392-0.00251424j 0.000859749-0.00231595j 0.00147469-0.000294893j 0.00607183+0.00129382j 0.00280675-0.000933244j -0.00468242-0.00513843j 0.00234229+0.00221906j 3.03474e-05-0.00441082j -0.00276406-0.00235613j -0.00629265-0.0074248j -4.05272e-05+0.00420873j 0.00117658-0.00270588j 0.000497229+0.00133407j -0.00766857+0.000417107j -0.00688124-0.00344824j 0.00917579-0.00470412j -0.00568139-0.00216093j 
