-0.0640008-0j -0.00649114-0j -0.00655841-0j -0.00372419-0j -0.00053754-0j -0.00460845-0j -0.00268826-0j -0.000665172-0j -0.000388017-0j -0.00261691-0j -0.000462608-0j -0.00305306-0j -3.85507e-05-0j -0.00186961-0j -0.00267142-0j -0.000539709-0j -0.000330503-0j -0.00110191-0j -4.49758e-05-0j -0.000472246-0j -2.75419e-05-0j -0.000194791-0j -3.93538e-05-0j -1.62326e-05-0j -0.00201435-0j -0.000335725-0j -0.00227545-0j -0.000205589-0j -4.19656e-05-0j -0.0018579-0j -2.47285e-06-0j -0.000379242-0j -0.00187715-0j -0.00162566-0j -0.000232237-0j -0.00030965-0j -0.0013411-0j -4.74052e-05-0j -0.000189621-0j -0.000312858-0j -0.000428488-0j -2.79338e-06-0j -0.000191586-0j -0.000270943-0j -3.87062e-05-0j -0.000165918-0j -0.000223517-0j -3.91073e-05-0j -2.28078e-06-0j -3.38679e-05-0j -0.000136876-0j -7.14147e-05-0j -2.30442e-06-0j -2.79396e-05-0j -4.37324e-05-0j -1.99569e-06-0j -8.92684e-06-0j -1.64636e-06-0j -5.26019e-07-0j 
0.0103281-0j -0.0495496-0j -0.0500631-0j 0.000600989-0j -0.00829328-0j 0.000743685-0j 0.000433816-0j -0.0102624-0j -0.00598641-0j 0.000422301-0j -0.00353128-0j 0.000492685-0j -0.000895262-0j 0.000301707-0j 0.000431099-0j -0.00411982-0j -0.00252287-0j 0.000177819-0j -0.00104447-0j -0.00360485-0j -0.000639606-0j -0.00148692-0j -0.000913913-0j -0.00037697-0j -0.0636758-0j -0.00256273-0j -0.0719294-0j 3.31767e-05-0j -0.000647454-0j -0.0587301-0j -7.67023e-05-0j -0.00289491-0j -0.0593387-0j -0.0513889-0j 3.74771e-05-0j -0.00236368-0j -0.0423936-0j -0.000731377-0j 3.05999e-05-0j -0.00238818-0j -0.013545-0j -8.66444e-05-0j 3.0917e-05-0j -0.00206822-0j -0.000597167-0j 2.67749e-05-0j -0.0017062-0j -0.000603355-0j -7.07449e-05-0j -0.000522521-0j 2.20882e-05-0j -0.000545138-0j -7.1478e-05-0j -0.000431058-0j 7.05729e-06-0j -6.19018e-05-0j -0.000137725-0j -5.10664e-05-0j -1.63159e-05-0j 
0.00843285-0j 0.000855283-0j 0.000864146-0j -0.0472127-0j 7.08272e-05-0j -0.0584227-0j -0.0340799-0j 8.76442e-05-0j 5.11258e-05-0j -0.0502523-0j -0.00586462-0j -0.0586277-0j 5.0795e-06-0j -0.035902-0j -0.0512992-0j -0.00684206-0j -0.00418989-0j -0.0211598-0j 5.92608e-06-0j -0.0059868-0j 3.62897e-06-0j -0.00246943-0j 5.18532e-06-0j 2.13883e-06-0j 0.000265414-0j -0.00644691-0j 0.000299817-0j -0.00523971-0j -0.000532011-0j 0.000244799-0j 3.25826e-07-0j -0.00728256-0j 0.000247336-0j 0.0002142-0j -0.00591888-0j -0.00594618-0j 0.000176706-0j -0.00060097-0j -0.00483275-0j -0.0060078-0j 5.64583e-05-0j 3.6806e-07-0j -0.00488283-0j -0.00520291-0j -0.00049069-0j -0.00422865-0j -0.00429218-0j -0.000495775-0j 3.0052e-07-0j -0.000429354-0j -0.00348846-0j -0.00137137-0j 3.03634e-07-0j -0.000354199-0j -0.00111458-0j 2.62955e-07-0j -0.000113168-0j 2.16927e-07-0j 6.93091e-08-0j 
-0.00121718-0j 0.0118024-0j 0.0119247-0j -7.08272e-05-0j -0.0457384-0j -8.76442e-05-0j -5.11258e-05-0j -0.0565984-0j -0.0330157-0j 0.00725329-0j 0.000841128-0j 0.00846217-0j -0.0100516-0j 0.005182-0j 0.0074044-0j 0.000981316-0j 0.000600931-0j 0.00305416-0j -0.0117269-0j 0.000858652-0j -0.00718125-0j 0.000354176-0j -0.0102611-0j -0.00423247-0j -3.83092e-05-0j -0.0889635-0j -4.32748e-05-0j -3.90992e-06-0j -0.00357079-0j -3.53338e-05-0j -0.00129857-0j -0.100495-0j -3.56999e-05-0j -3.0917e-05-0j -4.41672e-06-0j -0.0820538-0j -2.55053e-05-0j -0.00403363-0j -3.60624e-06-0j -0.0829041-0j -8.14905e-06-0j -0.0014669-0j -3.64361e-06-0j -0.0717971-0j -0.00329345-0j -3.15546e-06-0j -0.0592296-0j -0.00332758-0j -0.00119772-0j -0.00288177-0j -2.60312e-06-0j -0.0189241-0j -0.00121013-0j -0.00237733-0j -8.31709e-07-0j -0.001048-0j -0.00075957-0j -0.000864556-0j -0.00027623-0j 
-0.00105411-0j 0.00505713-0j 0.00510954-0j 0.0118645-0j 0.00084643-0j 0.0146816-0j 0.00856426-0j 0.0010474-0j 0.000610985-0j -4.31009e-05-0j -0.0697133-0j -5.02844e-05-0j 9.13723e-05-0j -3.07928e-05-0j -4.39989e-05-0j -0.0813322-0j -0.0498056-0j -1.81486e-05-0j 0.000106601-0j -0.0711656-0j 6.52795e-05-0j -0.0293543-0j 9.32759e-05-0j 3.84743e-05-0j -3.31767e-05-0j 0.000261557-0j -3.74771e-05-0j -0.0626875-0j -0.0127818-0j -3.05999e-05-0j 7.82839e-06-0j 0.00029546-0j -3.0917e-05-0j -2.67749e-05-0j -0.0708131-0j 0.000241242-0j -2.20882e-05-0j -0.0144386-0j -0.0578186-0j 0.000243742-0j -7.05729e-06-0j 8.84311e-06-0j -0.0584178-0j 0.000211087-0j -0.0117891-0j -0.0505913-0j 0.000174138-0j -0.0119112-0j 7.22037e-06-0j -0.0103154-0j -0.0417357-0j 5.56379e-05-0j 7.29519e-06-0j -0.0085098-0j -0.0133348-0j 6.31782e-06-0j -0.00271892-0j 5.21194e-06-0j 1.66524e-06-0j 
0.000124228-0j -0.00181317-0j -0.00183196-0j -0.000695509-0j 0.0143048-0j -0.000860648-0j -0.000502045-0j 0.0177013-0j 0.0103257-0j 5.0795e-06-0j 0.0124328-0j 5.92608e-06-0j -0.047487-0j 3.62897e-06-0j 5.18532e-06-0j 0.0145049-0j 0.00888239-0j 2.13883e-06-0j -0.0554015-0j 0.0126918-0j -0.0339264-0j 0.00523509-0j -0.0484763-0j -0.0199955-0j 3.90992e-06-0j -9.37778e-05-0j 4.41672e-06-0j -7.71882e-05-0j -0.107449-0j 3.60624e-06-0j -0.0125819-0j -0.000105933-0j 3.64361e-06-0j 3.15546e-06-0j -8.71934e-05-0j -8.64942e-05-0j 2.60312e-06-0j -0.121376-0j -7.11931e-05-0j -8.73905e-05-0j 8.31709e-07-0j -0.0142128-0j -7.19309e-05-0j -7.56824e-05-0j -0.0991034-0j -6.2294e-05-0j -6.24348e-05-0j -0.10013-0j -0.0116047-0j -0.0867155-0j -5.13899e-05-0j -1.99482e-05-0j -0.0117249-0j -0.0715366-0j -1.64193e-05-0j -0.0101541-0j -0.0228563-0j -0.0083767-0j -0.0026764-0j 
-5.67019e-06-0j 0.000138316-0j 0.000139749-0j -3.29947e-07-0j -0.00219929-0j -4.08288e-07-0j -2.38168e-07-0j -0.00272149-0j -0.00158753-0j -2.31846e-07-0j 9.85741e-06-0j -2.70487e-07-0j 0.0226187-0j -1.65639e-07-0j -2.36676e-07-0j 1.15003e-05-0j 7.04248e-06-0j -9.7624e-08-0j 0.0263884-0j 1.00628e-05-0j 0.0161596-0j 4.15068e-06-0j 0.0230899-0j 0.00952409-0j -1.78462e-07-0j 7.15375e-06-0j -2.01595e-07-0j -1.82142e-08-0j -0.000171698-0j -1.64601e-07-0j -0.137246-0j 8.08102e-06-0j -1.66307e-07-0j -1.44026e-07-0j -2.05752e-08-0j 6.59812e-06-0j -1.18816e-07-0j -0.000193954-0j -1.67996e-08-0j 6.6665e-06-0j -3.79622e-08-0j -0.155036-0j -1.69737e-08-0j 5.77336e-06-0j -0.000158363-0j -1.46996e-08-0j 4.76278e-06-0j -0.000160004-0j -0.126586-0j -0.000138567-0j -1.21266e-08-0j 1.52173e-06-0j -0.127898-0j -0.000114312-0j -3.8745e-09-0j -0.110763-0j -3.65233e-05-0j -0.0913746-0j -0.0291946-0j 
0.000834959-0j 0.00594948-0j -0.00584001-0j 0.00341342-0j 0.000492685-0j 6.01222e-05-0j -0.00482266-0j 8.67789e-06-0j -0.000696091-0j 0.00239854-0j 0.000424005-0j 3.98304e-05-0j 3.53338e-05-0j 0.0017136-0j -0.0023788-0j 7.04109e-06-0j 0.000302924-0j -0.00297237-0j 5.86757e-07-0j -0.000420517-0j 2.52437e-05-0j -0.000525445-0j -3.50431e-05-0j -4.37871e-05-0j 0.00184626-0j 0.00030771-0j 2.96857e-05-0j 0.000188433-0j 3.84638e-05-0j 0.00170286-0j 2.2665e-06-0j 4.94761e-06-0j -0.00167153-0j 2.12085e-05-0j 3.02978e-06-0j 0.000283811-0j -0.0024059-0j 6.18452e-07-0j 0.000173798-0j -0.000278589-0j -0.00154298-0j 3.64426e-08-0j -0.0001706-0j 3.53475e-06-0j 3.54763e-05-0j 2.16458e-06-0j -0.000400983-0j -3.48236e-05-0j 2.09046e-06-0j 4.41843e-07-0j -0.000245551-0j -0.000257163-0j -2.052e-06-0j -5.01228e-05-0j -0.00015748-0j 2.60359e-08-0j -3.21454e-05-0j -2.95352e-06-0j -1.89419e-06-0j 
-0.000132019-0j 0.0444973-0j -0.0436786-0j -0.000539709-0j 0.00744767-0j -9.50615e-06-0j 0.00076253-0j 0.000131179-0j -0.0105225-0j -0.000379242-0j 0.00317121-0j -6.29774e-06-0j 0.000803977-0j -0.000270943-0j 0.000376122-0j 5.26616e-05-0j 0.00226562-0j 0.000469973-0j 1.3351e-05-0j -0.00314512-0j 0.000574389-0j -0.0039299-0j -0.000797362-0j -0.000996323-0j -0.000291919-0j 0.00230142-0j -4.69372e-06-0j -2.97939e-05-0j 0.000581437-0j -0.000269246-0j 6.88814e-05-0j 3.70041e-05-0j 0.000264292-0j -3.35336e-06-0j -4.79051e-07-0j 0.00212267-0j 0.000380405-0j 9.34882e-06-0j -2.74798e-05-0j -0.00208362-0j 0.000243967-0j 1.10753e-06-0j 2.69742e-05-0j 2.6437e-05-0j 0.000536277-0j -3.4225e-07-0j -0.00299902-0j -0.00052641-0j 6.35314e-05-0j 6.67912e-06-0j 3.8825e-05-0j -0.00192337-0j -6.23625e-05-0j -0.000757681-0j 2.48997e-05-0j 7.91259e-07-0j -0.000485926-0j -8.97606e-05-0j -5.75664e-05-0j 
-0.00010437-0j -0.000743685-0j 0.000730002-0j 0.0410524-0j -6.15856e-05-0j 0.000723074-0j -0.0580009-0j -1.08474e-06-0j 8.70114e-05-0j -0.000299817-0j 0.0050994-0j -4.9788e-06-0j -4.41672e-06-0j -0.0002142-0j 0.00029735-0j 8.46814e-05-0j 0.00364319-0j 0.000371546-0j -7.33446e-08-0j -0.00505745-0j -3.15546e-06-0j -0.0063194-0j 4.38038e-06-0j 5.47339e-06-0j 0.0452072-0j -3.84638e-05-0j 0.000726879-0j 0.00455603-0j 0.000462594-0j 0.041696-0j -2.83312e-07-0j -6.18452e-07-0j -0.0409288-0j 0.000519307-0j 7.32556e-05-0j -3.54763e-05-0j -0.0589103-0j 7.43796e-06-0j 0.00420217-0j 3.48236e-05-0j -0.0377812-0j -4.55533e-09-0j -0.00412485-0j -4.41843e-07-0j 0.000426665-0j 5.23363e-05-0j 5.01228e-05-0j -0.000418814-0j -2.61308e-07-0j 5.31394e-06-0j -0.00593704-0j 3.21454e-05-0j 2.565e-07-0j -0.000602814-0j -0.00380762-0j -3.25448e-09-0j -0.000386605-0j 3.69189e-07-0j 2.36773e-07-0j 
-6.95799e-05-0j -0.00049579-0j 0.000486668-0j -0.000284452-0j -4.10571e-05-0j -5.01018e-06-0j 0.000401888-0j -7.23157e-07-0j 5.80076e-05-0j 0.0584603-0j -3.53338e-05-0j 0.0009708-0j -2.94448e-06-0j 0.0417661-0j -0.0579794-0j -5.86757e-07-0j -2.52437e-05-0j -0.0724465-0j -4.88964e-08-0j 3.50431e-05-0j -2.10364e-06-0j 4.37871e-05-0j 2.92025e-06-0j 3.64893e-06-0j -0.000153855-0j 0.00749992-0j -2.47381e-06-0j -1.57028e-05-0j -3.20531e-06-0j -0.000141905-0j -1.88875e-07-0j 0.00012059-0j 0.000139294-0j -1.76737e-06-0j -2.52482e-07-0j 0.00691741-0j 0.000200491-0j -5.15377e-08-0j -1.44831e-05-0j -0.00679013-0j 0.000128582-0j -3.03689e-09-0j 1.42167e-05-0j 8.61536e-05-0j -2.95636e-06-0j -1.80382e-07-0j -0.00977329-0j 2.90196e-06-0j -1.74205e-07-0j -3.68203e-08-0j 2.04626e-05-0j -0.00626793-0j 1.71e-07-0j 4.1769e-06-0j 1.31233e-05-0j -2.16966e-09-0j 2.67879e-06-0j 2.46126e-07-0j 1.57849e-07-0j 
