0.10298+0.0433661j 0.0363956-0.101177j 0.0758282+0.110199j -0.127693+0.0801116j -0.00188204+0.0397308j -0.00615076-0.041468j -0.0680393-0.0530098j 0.0380561-0.129599j -0.0953984+0.00415435j -0.0391358-0.00539714j 0.0983566-0.0438642j 0.0417303-0.0316009j 0.0599922+0.046194j 0.0443763+0.0514034j 0.00289754+0.0222434j 0.00255005-0.0368336j 0.016364+0.035501j 0.063638+0.0807927j -0.0131805+0.0632735j 0.0257919+0.0333871j 0.00897302+0.0856861j -0.00735734+0.0485482j -0.00443471-0.0776928j -0.00993481-0.0191785j 0.00651727+0.0401429j -0.0132563+0.0199006j -0.0431614+0.00650078j 0.0164768+0.00789641j 0.038144-0.0214362j -0.0757695-0.00945895j -0.0211637+0.00419563j -0.0236263+0.00119016j 0.0193606+0.0311882j 0.0419482-0.00251912j -0.0398747-0.00886586j 0.0223033+0.0322849j 0.0200451+0.0017865j -0.0302131-0.0134921j 0.0654461-0.0203522j 0.0340841-0.0219346j 0.0623607-0.0040079j 0.0269084-0.0259748j -0.0270903+0.0094813j 0.0545399-0.0259485j 0.00578803-0.0214371j 0.0230092+0.0163089j -0.0114247-0.0417815j -0.0250281-0.00656379j -0.0133873+0.056187j -0.00728384-0.018772j -0.0659865+0.0211111j -0.0100043-0.0288153j -0.0387445+0.00581728j 0.0300535+0.00402677j 0.0162466+0.0270915j 0.0199195+0.0141376j -0.0709768-0.0542364j -0.0381002+0.0350569j -0.0287935+0.00259207j -0.0184382+0.0433215j -0.0427162+0.0361081j -0.00678626+0.00177417j 0.000488461-0.0347j -0.005267+0.050911j 0.00604329+0.0117043j 0.0448808-0.010521j -0.0273589+0.00484308j 0.0261323+0.0118164j 0.037032-0.0424492j 0.0279361+0.104122j 0.019432+0.000687105j 0.0241589+0.0692486j 0.0887459-0.0232672j 0.077192+0.0902731j 0.0944084-0.0783893j 0.130301+0.037065j -0.0364029+0.131867j 
-0.00155214+0.109188j 0.106832+0.00613252j -0.0116614+0.0270914j -0.0274818+0.00240084j 0.160392-0.0317243j 0.0311033+0.0887313j 0.0146166-0.0392867j -0.0126104+0.0555647j 0.0290234+0.136441j 0.00224321+0.0183055j -0.0664716-0.147696j 0.101078+0.043089j -0.0608271+0.0655475j 0.104436-0.104028j 0.0739523-0.0096159j 0.0168223+0.0222396j -0.00382161-0.0279775j 0.0116672+0.00238401j -0.0635069-0.0158034j -0.00795373-0.0363843j 0.0184604-0.00182074j -0.00990174+0.0024529j 0.0188022-0.020841j 0.0698422-0.0123535j 0.0917931+0.041335j 0.0133737+0.013021j -0.0320421-0.0547412j -0.0346301-0.0121949j -0.0436601-0.0127429j 0.0100017-0.0686015j 0.00639229+0.0211322j 0.0647706-0.0477313j -0.0502978+0.0394148j -0.034228+0.098773j 0.0227109-0.0498916j 0.0195088-0.00784397j -0.0882707+0.0241937j 0.0299852+0.00770773j 0.0140232+0.0267256j -0.00850579-0.0313625j -0.00588685-0.00307295j 0.0069339-0.0469478j -0.0180886+0.022554j 0.0168211+0.00439248j 0.0274544-0.0180365j 0.00529649+0.0152831j -0.001718-0.0126979j -0.00415343-0.0100215j -0.0360371-0.0436326j 0.0223264-0.0147144j -0.03793-0.0460389j 0.00317074-0.0369474j -0.039683-0.0932481j 0.00227325+0.0260531j 0.0161785+0.0196676j -0.0593718-0.0574989j -0.0564328+0.0169417j 0.0832283+0.0484049j -0.00924185+0.02633j -0.0818799+0.0366149j 0.00734053-0.0259648j -0.0108245+0.012026j -0.0579763+0.0305033j 0.0242477+0.023126j -0.0509488-0.0209623j 0.0277324-0.01964j 0.041749+0.0217188j 0.0348863-0.110891j 0.0146125-0.0259606j 0.129097-0.0179294j 0.0259594-0.0621762j 0.0303761-0.0749554j -0.0716697-0.0754868j 0.067228-0.032272j -0.0384273-0.0703359j 0.00489758+0.136929j -0.135966+0.00492224j 
-0.031248+0.08044j 0.0787024+0.033475j 0.064482-0.0517968j 0.0562442+0.0696605j 0.0780428+0.116387j -0.155256+0.0516808j -0.0894396+0.0629653j -0.0150271-0.0877547j 0.121765-0.0431584j -0.00845484-0.169487j 0.10216+0.0988218j -0.15626-0.0606353j 0.107964-0.146191j -0.0521779-0.0982901j -0.11128-0.12911j 0.190315-0.0789017j -0.0679183+0.00523196j -0.14875+0.0650853j 0.111109-0.0354391j -0.0301692+0.206064j -0.0541971-0.00463151j 0.0200598-0.138265j -0.021894+0.0884341j -0.0252033+0.0635232j -0.0368295+0.0357886j 0.133848+0.110722j -0.036813+0.051137j 0.0442098-0.0760916j 0.0494989+0.0190598j 0.00761919-0.0104693j 0.0186141+0.0584833j 0.071046+0.0616354j -0.0301345-0.0709435j 0.0153524-0.0510903j -0.0514061+0.00287357j 0.0126843-0.072516j 0.0287661+0.0700416j -0.0715122-0.000268558j 0.00388437-0.0277974j 0.0690955+0.0682252j 0.0183222-0.016875j -0.0501032-0.0847553j 0.0308829+0.105929j 0.00261023+0.0994873j 0.132462+0.00349105j -0.139562-0.0552162j 0.0101059+0.0230258j 0.041569-0.0217607j 0.10438+0.0639236j 0.0567139-0.0515485j 0.00517284-0.0567698j 0.0102642-0.0135546j 0.111987+0.0575469j 0.126047-0.0641695j -0.0152081-0.0677872j 0.00455145-0.0366911j 0.0259596-0.0268308j 0.108058-0.00648443j 0.05021+0.0993434j 0.101536-0.148691j 0.0699199-0.127541j -0.0234889+0.00310426j -0.136964-0.0026471j -0.049881-0.117692j -0.081252+0.0993828j 0.0651091-0.12988j -0.0845739-0.128088j -0.158283-0.0503233j 0.0467688-0.0496675j -0.0671566-0.0592113j -0.062413-0.0166101j -0.117795+0.0249069j -0.0200359+0.141221j 0.143125+0.0594151j 0.0573387-0.132466j -0.0516939+0.0122287j -0.0120483-0.0513465j 
-0.0510829-0.00491284j -0.00516587+0.0518965j -0.0137501-0.0610802j 0.0626319-0.0142322j -0.0335702-0.187623j 0.186352-0.052962j -0.264707-0.0503853j 0.020075-0.250281j -0.0613686+0.0389656j 0.0104143-0.0529868j 0.0228442+0.0193936j -0.18774+0.0341674j -0.126087-0.0889652j 0.064585-0.00220196j 0.0313784+0.150483j 0.0558882+0.0254834j 0.0043445+0.0951566j -0.0212111-0.133373j -0.132184+0.0509569j -0.017959+0.0596671j 0.0959-0.00183035j 0.0171921-0.0050181j -0.0336992-0.0623562j -0.0170392+0.0379847j -0.0911339+0.0179081j 0.0229341-0.0679133j 0.104664+0.0275806j 0.0373684+0.00424836j 0.0113486+0.114681j 0.0787032-0.150231j 0.029809+0.0481101j -0.0538392+0.000790171j 0.0704791-0.0755141j 0.0578199+0.009653j -0.0029603+2.2311e-05j 0.0678537+0.0414653j 0.0406932+0.0246681j -0.0146274+0.165417j 0.0724017+0.0869768j -0.0384063-0.0235643j 0.0816618-0.0111543j -0.0584937-0.0238122j 0.109957-0.0495418j 0.023619+0.0323085j -0.0160573+0.0869827j -0.0218282-0.0411642j -0.032455+0.0424964j -0.0479823-0.0495882j -0.0896033-0.0210372j -0.0468642-0.0109957j -0.0513284+0.0157827j -0.0460146+0.0316204j 0.0568591+0.0625357j 0.0112852-0.0678374j 0.0301817-0.0351714j -0.0948811+0.0481096j 0.113915+0.00797127j 0.0432614-0.0262353j -0.0158806-0.0271786j 0.041955+0.0294918j 0.00869852+0.0120716j 0.0668789+0.0477904j 0.0261341+0.019964j 0.0378534-0.138662j 0.00852541-0.217499j -0.0599945-0.0780748j -0.166881+0.0931956j 0.183308+0.0636101j 0.0506697+0.0204306j 0.142429+0.104045j 0.0175575-0.273589j -0.244097+0.0599607j 0.074313+0.0906444j -0.0441102-0.00215387j 0.0021688+0.0435725j -0.0152111-0.0245199j 0.0244979-0.0151634j 
-0.0692851-0.0456503j -0.0470686+0.0719864j 0.110368+0.133969j -0.132189+0.110248j 0.0248145-0.100207j 0.0313584+0.0229497j -0.0437299+0.123205j -0.034712-0.0264226j 0.10656-0.141302j -0.211114-0.0929792j 0.0420379+0.0205505j -0.0168542-0.0301776j 0.0504025+0.0563622j -0.0552324+0.116243j -0.0426365-0.0347033j -0.134657+0.00270624j 0.11185-0.089347j -0.0622734-0.0507461j -0.0282875-0.00318713j -0.0639023-0.00397365j 0.0329068+0.1597j 0.0312051+0.0875859j 0.0366746+0.113472j -0.139689-0.118898j -0.173183+0.0712713j -0.0264543-0.0217382j -0.0397975+0.043957j 0.0285714-0.00284454j -0.0143962-0.109396j -0.0298434-0.0121227j -0.0402301-0.0267095j 0.0547079+0.0522546j 0.00880136-0.0135508j 0.0712303-0.0459163j 0.0163247+0.0637842j -0.00439189-0.047322j -0.0793619+0.0923974j -0.115743+0.076092j 0.0288206+0.0118937j 0.0262607+0.0132528j -0.0328388-0.0261626j 0.0228244+0.0883956j -0.0205858-0.155351j -0.00309127+0.0144599j -0.0922628+0.090687j 0.115799-0.0578789j 0.128423-0.0356548j -0.0215119-0.0530226j 0.0604305+0.00169361j -0.0883799-0.152776j -0.0233155+0.0588357j 0.0351731-0.0883914j 0.0418943+0.0787992j -0.0971998+0.0508442j -0.0555641-0.0580317j 0.0369816-0.0410899j 0.0282807+0.0883784j 0.00723633+0.0422181j -0.116846-0.112807j 0.108977-0.0279661j -0.142743+0.0429603j -0.0694016-0.0476114j 0.0609128-0.0143984j -0.146864+0.0416104j 0.0789287+0.146991j -0.15957+0.136806j 0.0864585+0.159922j -0.0121825+0.103932j -0.128546-0.0342211j 0.0183341-0.0487946j 0.0336101-0.0601471j -0.0903407-0.0859064j -0.0856248+0.0772541j 0.0916102+0.141011j 0.136922-0.0856477j -0.0136635-0.0191707j 0.0192449-0.0131517j 
0.106148-0.0704942j -0.0749903-0.110578j 0.0356182+0.0268871j -0.0506521+0.0194396j -0.169896+0.115196j -0.0486415-0.120212j -0.00600441-0.027298j 0.034876-0.125248j -0.150367-0.0904304j 0.0352551+0.0256426j 0.141421+0.0995821j -0.0241732-0.0587386j 0.0849391-0.0292586j -0.0272393+0.132665j -0.0631927+0.0486646j -0.0104733-0.0336129j -0.0154781+0.101402j 0.091326+0.0983373j 0.0763628+0.0939869j 0.0473354+0.028872j -0.0356817+0.0551295j 0.0036267+0.027311j -0.0421477-0.0869989j -0.058176+0.00531585j -0.028051-0.029095j -0.0339339+0.0224433j -0.00775915+0.0584825j 0.0418741+0.0292538j 0.0900401-0.0110837j -0.0879854+0.0837189j -0.028306-0.00595729j -0.119661+0.0352668j 0.067074+0.0099374j 0.0506214-0.0993473j -0.0673774+0.0329823j -0.0107242+0.0458777j 0.132664-0.0693186j -0.0207203-0.0592847j 0.0276163-0.0539287j 0.0187158-0.00686154j 0.0678262+0.00580866j 0.0131062+0.0148987j -0.00925283+0.0284645j 0.0259993-0.0624725j -0.0158493-0.0368748j 0.00311023+0.0234603j -0.0536329-0.0233051j -0.0188479+0.028695j 0.0248509+0.108717j -0.0174917+0.0525875j -0.00819455+0.0660304j -0.0259171+0.0399152j -0.0221564+0.0794909j 0.0393532-0.0221113j -0.00309901+0.044505j 0.0792237+0.0842661j -0.0308645-0.0784947j -0.145236-0.0432485j 0.0110173-0.00753249j 0.0246573+0.0136588j -0.0166335+0.0481366j 0.0258162+0.00524832j 0.0573413-0.0438945j 0.00926259+0.0311125j 0.0556303-0.00616506j 0.0421164+0.00256101j -0.0714458-0.0683855j -0.0265607+0.0870123j 0.0649478+0.00681698j -0.13194+0.100302j -0.0331447+0.109013j 0.0337505+0.143549j 0.142557+0.0304451j -0.0442366+0.0696998j 0.0764977+0.0520898j 0.114211-0.0832814j 0.0819283+0.114953j 
0.0957427+0.121236j 0.110511-0.0876941j 0.095148+0.112234j -0.136443+0.1179j 0.128946+0.0137296j 0.00754478+0.0124117j -0.0978159-0.0531126j 0.00119463-0.134896j -0.052197+0.103149j -0.0637821-0.0410414j 0.0826292-0.146953j 0.0703169-0.0372388j 0.0487318+0.0619898j 0.129245-0.0403803j 0.013846+0.00301562j 0.0482599-0.0441515j 0.0213827+0.0107441j 0.0643939+0.101084j -0.059688+0.0643464j -0.0111144+0.0578656j 0.0358454+0.102383j -0.0104987+0.0457642j -0.00222892-0.0850446j 0.0386126-0.0212184j 0.069198+0.0680486j 0.0263288+0.0400913j -0.0962461-0.0168856j 0.00250354-0.0194089j 0.0208825-0.0304731j -0.079206-0.0777179j -0.0172711+0.0360588j 0.0374822-0.0264783j -0.0108829+0.0510236j 0.0471911+0.0710084j -0.0326731-0.0457774j 0.0463084+0.0126421j -0.0366513+0.0465272j -0.0242567+0.0160744j 0.0906383-0.00319279j 0.0457967-0.050072j 0.0698882-0.0150326j 0.0201436-0.0822584j -0.0309178+0.0300701j 0.0765416-0.0134736j 0.0378868-0.0288049j 0.0060037+0.0218202j -0.00359903-0.060647j -0.0151334-0.0313319j -0.0418279+0.0491239j 0.0203471-0.0570563j -0.112684-0.0258395j -0.0120479-0.0672313j -0.0484951-0.040838j 0.0554038+0.0206865j 0.0243709+0.0365657j -0.0277297-0.0402248j -0.0969071-0.0655109j 0.0315735+0.0765107j -0.0509978+0.0350044j -0.0574842+0.0482612j -0.0480847-0.00625394j -0.0172094+0.00989502j -0.0556328-0.0225185j -0.0212583+0.0385124j -0.0501762+0.00219192j 0.0723523-0.0193314j -0.0234411+0.0288063j 0.0429143-0.0537927j 0.0587728-0.0842474j 0.099977+0.105503j 0.0417819-0.0505667j -0.00563795+0.0210456j 0.0449596-0.0189499j 0.140862+0.0981396j 0.105681-0.13806j 0.107087+0.13505j -0.134103+0.110248j 
0.00103708-0.000348552j 5.10059e-05-0.00297552j -0.00772431+0.0120788j -0.0133281-0.0123252j -0.012205+0.0219674j -0.00175435-0.00191715j 0.00689784-0.0160188j 0.00163785-0.0016198j -0.0390191-0.00253794j 0.0203928+0.0107476j 0.0247232+0.00337306j -0.00283375+0.0204571j -0.0125008-0.01537j -0.00451262+0.0258292j -2.22861e-05+0.00473408j -0.00738584+0.0132926j 0.0120095-0.0134349j 0.0141865-0.0138081j 0.00598056+0.0182991j -0.0301858-0.0120515j -0.0044523-0.0240861j -0.00264618+0.0152741j -0.017207-0.0120854j 0.0292764+0.016275j 0.0159508-0.0507049j -0.0238712-0.0119678j 0.010686-0.0222054j -0.00813065-0.00886116j -0.0135084-0.00428648j 0.00692415-0.00801444j 0.00336669-0.00169723j -0.00965624-0.0024186j 0.00406267+0.0177869j 0.0164868+0.0147652j 0.00956816+0.0144097j -0.002544+0.00686842j 0.007968+1.55001e-06j 0.0339184+0.00495214j -0.0323681-0.000744284j -0.026472-0.00107081j -0.0116889-0.00477085j -0.012512+0.00698929j -0.00476888+0.000286645j -0.00157821-0.0259546j -0.0168418-0.00984983j 0.00125258+0.00593241j -0.00587918+0.0045771j -0.000717818+0.0107753j -0.0313072+0.00452875j -0.00338321+0.0093367j 0.000546842-0.00226484j -0.0134487+0.0239223j -0.0291429+0.00296167j 0.00256846+0.0163503j -0.014814+0.0206944j 0.00289173+0.00571228j 0.00898623+0.000515389j -0.00648444-0.0247495j 0.0103046-0.000861352j 0.0174586+0.0253364j -0.0050285+0.0216135j 0.00931691+0.00823381j 0.0198331+0.0012093j 0.00918824-0.0136013j 0.0176289-0.0142934j -0.0100448+0.015996j -0.00567513-0.00910887j -0.0146326+0.0194544j 0.00296415-0.0269836j 0.00485395+0.00360948j -0.00227644+0.00670667j 0.0121212+0.0156102j 0.0167241-0.000424774j 0.0194659-0.016352j -0.0163951-0.0182363j 0.00381343+0.000993083j -0.00141245+0.00307978j 
-0.0130391+0.00450401j 0.00452914+0.0127749j 0.00731429+0.00672772j -0.00775471+0.00837481j -0.0036719+0.0194673j -0.0126013-0.0162991j -0.00970126-0.011106j -0.00392335+0.00774193j 0.0107566+0.0258526j 0.0398977-0.0126977j -0.00729185-0.00289866j 0.0107628-0.0182209j -0.000725972+0.00288127j 0.000296721-0.0166584j -0.00724494-0.00364529j 0.0134954-0.017304j 0.0360759+0.0100115j -0.00275476-0.00924541j -0.0133046-0.0277755j 0.0114645-0.00581726j 0.00764746-0.0374856j -0.00950652-0.00240916j 0.0200646+0.0069857j 0.00349608-0.0156519j 0.00235098+0.0106426j 0.0305537-0.022049j -0.00185405+0.000158128j -0.0183567+0.0017286j 0.0227408+0.0133418j 0.0137096-0.00700776j 0.0032497-0.0227497j -0.00134714-0.0248144j 0.0101125-0.00717363j -0.00960317-0.00419909j 0.00236467-0.00244344j -0.00882812+0.0153414j 0.0186695+0.0132532j 0.0139819+0.0098748j 0.00353023-0.0172827j 0.0113254-0.00684716j -0.00444222+0.0123702j 0.0311299-0.0149772j 0.00589784+0.000290309j -0.0130635+0.0218903j -0.00277116-0.0218796j -0.00818334-0.00875581j -0.000459303+0.0135088j 0.0111892+0.00355146j -0.0215373-0.0225289j -0.00323354+0.00301774j 0.00189882+0.00818233j -0.0118535-0.0090458j 0.00288887+0.00622129j -0.00716713-0.0152075j 0.0203299+0.0234665j -0.014584+0.00545916j -0.000409954-0.0335717j 0.016345-0.0102439j 0.0377683-0.00697265j -0.0209223-0.00764956j 0.000890458-0.0024859j 0.010842-0.000824372j 0.00929737+0.0171657j -0.0137168+0.0247409j -0.000320707-0.0201081j 0.0238631+0.0132953j 0.0113722-0.0032906j 0.00813415+0.00591571j -0.0313832-0.00702773j 0.0133262-0.0151157j 0.00520498-0.012778j -0.0012824-0.0150034j -0.0104812-0.00300479j 0.0191551+0.00707173j 0.00687385-0.0192569j -0.00390661-0.000383142j 0.000176942-0.00414746j 
0.00288293-0.00611027j -0.00556238-0.00314593j 0.00401926+0.00671088j -0.00529565+0.00421436j -0.0126247+0.00930733j -0.0161261-0.00431355j 0.004242-0.00207556j 0.0151195+0.0129258j 0.000740349-0.0436799j -0.0119985+0.00414432j -0.00228929-0.0180092j -0.0123273+0.0141523j -0.0596873-0.00992554j 0.00695772-0.0125414j -0.0167746+0.0243827j 0.00216772-0.00945691j 0.0151334+0.0328946j -0.0328895-0.000972718j 0.00056674+0.00700735j 0.0162358-0.0052798j 0.0127386-0.0119803j -0.0026792-0.014648j -0.0100322+0.0176489j -0.0144875+0.00299033j 0.00501682+0.0092676j -0.00471887-0.00782462j 0.000779461-0.0194952j 0.00499358+0.00251902j 0.00551506+0.0118514j 0.00282335-0.0340217j 0.0165094+0.0186325j -0.0245749+0.0207566j -0.00937556-0.0101922j 0.0112992-0.0136993j -0.0161822-0.00175923j 0.00138625-0.000738246j -0.00905919-0.000289261j -0.00253911+0.00186354j 0.00409465+0.00677677j -0.00502652+0.00152454j -0.00104169+0.000390305j 0.00500971-0.00898766j 0.0243598-0.000798841j 0.00646121+0.00565875j 0.0159447+0.00803992j -0.0123832-0.0212729j 0.00447883+0.00830918j -0.0267294+0.00856632j 0.00656329+0.0132254j 0.000843094-0.0191511j -0.00113197+0.0136341j -0.00418612-0.00424658j 0.000151402+0.00687838j 0.00853876-0.0215331j 0.0180473-0.00516367j -0.011502+0.016516j 0.0125963+0.0119097j -0.00327294-0.00704587j 0.0124453-0.00225565j 0.0292952+0.0177136j 0.00166312+0.0172941j 0.00391223-0.00509399j 0.00994863+0.0131465j 0.0182617-0.0237059j 0.0109803-0.0140021j -0.00416236+0.0174271j 0.0214086-0.00938856j 0.0141481-0.00824586j 0.0156827+0.0247789j -0.0157906+0.00804227j 0.0260983+0.0208763j 0.0184666-0.0360846j -0.0265605-0.00835164j 0.00692473-0.00792957j -0.00988393-0.00720049j 0.0073277-0.000977635j 0.00105886+0.00722192j 
-0.00725998-0.00920578j -0.0088458+0.00703012j 0.00781274-0.012237j 0.0127604+0.00714353j 0.013936-0.0219422j 0.024135+0.00598484j -0.0080685-0.032622j 0.0258036-0.00478147j 0.0176052-0.0128842j -0.00536924-0.0193624j 0.0276663-0.00636526j 0.0178077+0.0269744j 0.00148053-0.00680253j -0.0260547-0.00687816j -0.00402428-0.0154864j 0.0110064-0.0211581j -0.00178997+0.00520349j 0.014322+0.00835055j -0.000470754-0.0189629j 0.0174835-0.00662629j 0.00247325-0.0184719j 0.00150643+0.00955753j -0.012964-0.0167079j 0.00082204-0.000660561j 0.0100723-0.0139296j -0.00952977+0.00691948j -0.0112244-0.0155088j -0.0037008-0.00175705j 0.00908908+0.000674235j 0.00578372+0.0192948j 0.0281536-0.00904817j -0.0144578+0.000367472j -0.00805855-0.0173121j -0.0125615-0.0066351j 0.0028113-0.0250262j -0.0169573-0.0122239j -0.00661068+0.00379987j 0.0216011-0.0127685j -0.0153911-0.00973094j 0.00701925+0.00059831j 0.00350372-0.0156596j 0.00206126-0.00351035j -0.00614261-0.00582064j -0.0193853+0.0193723j 0.00941192-0.00882207j -0.0109477-0.0078923j -0.00281936+0.0167971j 0.0198339+0.0170896j -0.00752519+0.0112536j 0.0227483+0.000901433j -0.00798542+0.0145909j 0.0201741-0.00563254j 0.013146-0.0126183j -0.0161876+0.00183929j 0.0115498+0.0214521j 0.0110137-0.0179881j -0.0149516+0.0226954j 0.0153282+0.00205815j -0.00283366-0.0018965j 0.0249043+0.00803055j 0.00823183-0.0150764j 0.00343761+0.00940945j -0.00866203-0.0282778j 0.00429792-0.00602347j 0.0231143+0.0174248j -0.0108525+0.0372744j 0.0403546+0.000979035j 0.0185085-0.0100177j 0.0157323+0.0205516j 0.0116723+0.0182862j -0.00214951-0.024179j -0.0165625+0.0217644j 0.0251509+0.000291432j -0.00490228-0.00609362j -0.00466162+0.00353738j 0.000473417-0.00683347j 0.00679312+0.000286866j 
