0.000442275-0.0125284j 0.00687528-0.0222963j -0.0590384-0.020629j -0.0147952-0.0099149j 0.00770378+0.013694j 0.00250303-0.0202111j 0.0437353+0.00787499j -0.00727121+0.000711566j -0.0250183-0.0251306j -0.0313611-0.00522487j -0.000914935+0.0245737j 0.0186039-0.0047702j -0.0471617-0.0159409j -0.0158919+0.00863951j -0.0339832+0.0449491j 0.0239739+0.0196309j 0.035922-0.0295956j 0.00595441+0.0220599j 0.0224508+0.0181002j 0.0196043+0.0189184j -0.00441642-0.00813856j -0.00950636+0.00259024j 0.0101001+0.00424403j 0.0103048+6.47816e-05j -0.0227789-0.002316j -0.0228873+0.00401134j -0.00671186+0.00858312j 0.0232405+0.0481213j -0.00244016-0.0201284j 0.00463319-0.0106946j 0.0164918-0.00363986j 0.00668157-0.0178442j -0.00993651-0.00710621j -0.00280838-0.00765851j -0.00853047+0.00106403j -0.00918353-0.00888268j -0.00491745+0.0144479j -0.00233863+0.00283644j 0.010475-0.00709019j -0.00166692+0.00226804j -0.0013055-0.000905583j 0.000256502-0.00045103j -0.000761283-0.0013652j -0.00522186+0.00102944j 0.00243471+0.00177629j 0.00437052-0.00162853j 0.00142315+0.00297197j 0.00382494+0.00231763j 0.0052307+0.0059444j -0.00422601+0.000583314j -0.000543891+0.00196819j 0.00202598+0.00123652j 0.00417767+0.0022036j -0.000367886+0.000837106j 0.000310577+0.00344689j 0.0014402-0.000602981j -0.0104733-0.00608171j 0.0147668+0.0021566j 0.00116773-0.0060323j -0.0137512-0.00439238j 0.00165337-0.00272306j 0.00173338-0.00225124j -0.00324874-0.00353573j 0.00181089-0.00249236j -0.000106292+0.000168609j 0.000992272-0.000119044j -0.00535428-0.00426051j 0.000943744-0.000591924j 0.00225798-0.00105464j -0.00175915+0.000178112j 0.00169372+0.00247027j 0.0010471+0.00261246j -0.000372963+0.00093723j 0.00204602+0.00114738j -0.00518099+0.000897611j -0.00573905+0.00402542j 0.00350868-0.00419434j -0.00447616+0.00283249j 0.00353605-0.000568154j 0.00137783+0.00594366j -0.00188787+0.000976435j -0.0028106-0.00399811j 0.00189429+0.00814129j 0.00182228+0.00297246j -0.000255405+0.000162769j 0.0112092+0.00836896j 0.00387791+0.000919364j 0.000426626+0.0023323j 0.0231089+0.00582507j -0.00469396-0.00219884j -0.00148358-0.00410193j 0.00179038+0.00686482j 0.00462707+0.000686535j -0.00341043+0.00618998j -0.00867178-0.00260119j 
-0.031731-0.010372j 0.0265819+0.0116719j -0.0109511+0.00944029j -0.0257623+0.0262082j -0.0174298+0.0193869j -0.0281067+0.015894j 0.00639156-0.0556409j -0.0177796-0.0525353j -0.0160917+0.0464514j -0.00974154+0.00491258j 0.00116801+0.00955162j -0.00286543+0.00933644j 0.00511978+0.000472193j 0.00641386+0.0272074j 0.0363425+0.0216668j -0.0210433-0.0344605j 0.00466422+0.0443295j -0.0211453+0.018671j -0.00253997-0.0133048j -0.0286396+0.00291614j 0.007994+0.0214996j 0.00604785+0.00286477j 0.0172048-0.00198455j 0.013864+0.00122512j -0.0345983-0.00819799j -0.0203786-0.00919339j -0.0236882-0.0212772j 0.0240621-0.0318984j -0.0195456+0.000452973j 0.0035971-0.0105917j 0.0289479+0.00141018j -0.00598049+0.000783342j -0.000215529+0.00709934j -0.0253493-0.014704j -0.0168858-0.00926862j -0.00382715+0.0023874j 0.00208411-0.0104106j -0.00772946+0.00461202j 0.0124078+0.00487863j 0.00216327-0.00421204j -0.00897129+0.00139903j 0.00104435-0.00262331j 0.00976005-0.000886019j 0.00685604-0.00200513j 0.00675915-0.00427186j 0.0029491-0.00140575j -0.00306453-0.0050336j 0.00806319-0.00158422j 0.0105882-0.00231101j -0.00024365-0.00184281j -0.000641661-0.00165968j 0.00537013-0.00350132j 0.00534872-0.0024277j -0.00126655+0.00280402j -0.000964587-0.00121349j -0.00260715+0.00101723j -0.00178166+0.00633415j 0.00399762-0.00210192j -0.00109726+0.0033914j -0.0111251-0.00491602j -0.00197788+0.00229672j 0.00655261-0.00122683j 0.00482454-0.00159172j -0.000279067-0.00105877j -0.00119938+0.000536511j 0.00303424+0.0017308j 0.000720198+0.00211689j 0.00431018-0.00250931j 0.000394506+0.00369748j -0.00148797+0.00577749j 0.000995605-0.00170367j 0.00176273-0.00141579j 0.00259272+0.00277279j 0.00215768+0.000170646j -0.00055523+0.00325349j -0.00118684+0.00602506j 0.00241507-0.00233188j -0.000592014-0.000784323j -0.000806548-0.00348702j 0.000655502+0.00313749j 0.00168127-0.00464931j 0.00355382+0.00687655j 0.00374509-0.00728205j 0.00233609-0.00319456j -0.00298987+0.00135332j -0.00523171-0.00384878j 0.00260865-0.00125621j 0.0134374+0.00915955j 0.0050924+0.00773047j 0.000609139+0.00289043j 0.00145243+0.00212683j -0.00252234-0.00489168j 0.00746612+0.00276983j 0.00819455+0.00380265j -0.00393217+0.00237779j 
-0.0283913+0.00861463j 0.0940696+0.0255973j 0.00397553-0.00677556j -0.0504865-0.0246398j -0.0324572-0.00526998j 0.0399302-0.0286066j -0.00747683-0.00255594j 0.0205025+0.0360165j 0.0333099+0.0398167j -0.0337989-0.00109604j 0.0319046+0.0435214j 0.00746533-0.0401906j 0.0298538+0.0407663j 0.0592106+0.0387512j -0.0388925+0.0042757j 0.0128946+0.107169j 0.0977542-0.110443j -0.0655096+0.0838976j -0.048143-0.0340436j -0.0058856+0.0384235j -0.00495367-0.00278882j -0.0273992-0.00213553j -0.00551727-0.0137549j 0.00234232+0.00931658j -0.00190011+0.00615855j 0.00162815-0.00257178j -0.00999414-0.00331616j 1.33117e-06-0.0300398j -0.0167508+0.0160551j 0.015183-0.0120774j 0.00160747-0.00856645j -0.00594358+0.000488161j -0.0008249-0.00839774j 0.00141405+0.0214335j -0.00785357+0.00318664j -0.000100458-0.00222265j -0.0205453+0.00231877j -0.00301349+0.00407967j 0.0033019+0.00589555j -0.00459413-0.00322457j 0.00174946+0.00751418j -0.000439427+0.0027014j -0.00553643-0.00683044j -0.0103556-0.00832113j 0.00201484-0.000234811j 0.00545361-0.000372653j -0.00138704+0.00274661j 0.00217279-0.00688689j 0.0019436-0.00397375j 0.000457998+0.00650908j -0.00166938-0.00269271j -0.00320833-0.00266453j 0.00227578-0.001371j 0.000644501-0.00874792j -0.00161309+0.00266126j -0.00470308+0.00265936j -0.0189578+0.0060236j 0.00709187-0.0175496j -0.0037775+0.00667674j 0.00572939+0.00612721j -0.000669089+0.00155534j 0.00733607+0.00700835j 0.00825693+0.00506404j 0.00321518+0.000287877j -0.00401915+0.004703j 0.00310813-0.00128952j -0.000954585+8.85644e-05j 0.00920077-0.0057153j -0.000808197+0.00340864j -0.00329259+0.00175462j 0.00432392-0.00175192j 0.00455364+0.000651138j 0.00628497-0.00403083j 0.00675758+0.00037582j -0.00961322-0.00136666j -0.0121022-0.00352864j 0.00957516-0.00686112j 0.00215803+0.00846688j 0.0024421+0.00568365j 0.000416625-0.000715422j -0.00174478-0.00680361j -0.00138232+0.000647791j 0.00608098-0.010193j 0.00241329-0.00388021j 0.000532271+0.00104394j 0.025586+0.00119681j -0.00248932-0.00764665j -0.0246319-0.0183704j 0.00959782-0.0194993j -0.00962718+0.00414865j -0.00656498+0.0034465j 0.0124356-0.0027175j -0.00540699-0.00737993j -0.00882802-0.00985858j -0.0108078+0.00256412j 
0.00136842-0.00370341j 0.0190491+0.0308591j -0.0792903+0.0054754j 0.0368944-0.00448124j 0.00359581-0.0188019j -0.0404167-0.044841j 0.0538585+0.00281794j -0.0736632+0.00192249j 0.00423079+0.046633j -0.0472819-0.00713964j -0.0927129-0.0101748j 0.0310852-0.0173676j -0.070341+0.0551905j -0.0495283+0.0153029j -0.0856106+0.0191923j -0.0110878-0.0242173j 0.0319901-0.126771j 0.00809642+0.0544677j 0.0442963-0.0018875j 0.0387932-0.00250471j 0.00367042-0.0145738j -0.0102314+0.0187892j 0.0128446+0.00281453j 0.0181443-0.00395205j -0.0348548+0.0076012j -0.0286157+0.0106592j -0.00464146+0.000861793j 0.0265381+0.0123248j 0.0125971-0.00604542j 0.00106204-0.0101882j 0.0225012-0.0278971j 0.0175618-0.0134304j -0.00381433+0.0132286j -0.0038701+0.00346487j -0.00846037+0.0165049j -0.0115045+0.00960335j -0.00290837-0.00026085j 0.00616349-0.00420402j 0.0188759-0.00491585j -0.00159343-0.0014579j 0.00123627+0.00645183j -0.00361525-0.00123103j -0.00530526+0.00317882j -0.0129292+0.00522153j 0.00436473-0.00610671j 0.00548506+0.00122223j -0.0017639+0.00246836j -0.00323645+0.00202089j 4.49306e-05+0.00197201j -0.00597233+0.00460209j -0.00482572+0.00576683j 0.00282795+0.000411644j 0.00681786+0.0037665j -0.0043047-0.00431833j 0.00250954+0.00439235j 0.000479605+0.000437159j -0.0009686+0.0223811j 0.000218962-0.0113635j 0.00479097+0.00115925j -0.0116084+0.00563764j 0.00325307+0.00189446j 0.00277741-0.0087052j -0.000904763-0.00526765j 0.00182391-0.00125294j 0.000968744+0.00164915j 0.00463355-0.00341083j -0.00680793-0.00251417j 0.000278809-0.00506301j 0.00363419-0.0026931j 0.0059202+0.00464062j 8.46771e-05+0.00508142j -0.00291295+0.00513041j -0.00251698+0.00308261j -0.00260749+0.000268055j 0.00392366-0.00178546j 0.00831852+0.0111161j -2.42375e-05-0.0025041j -0.0111158-0.00298977j 0.00168463-0.0024052j -0.00592678+0.00255057j -0.0049332+0.00249933j 0.00700777+0.00130481j -0.0126844-0.00846957j -0.00433277-0.00241422j -0.00429518-0.00285632j 0.00159516-0.018696j -0.00529076-0.00115435j -0.0129256+0.010929j -0.0218208-0.019857j -0.00381881+0.00304798j 0.00280672+0.0103819j 0.00277329-0.00981603j -0.00819611-0.00046046j -0.00886707+0.0017082j -0.000255149+0.0131826j 
0.00978103-0.0772094j 0.0338067+0.0123788j 0.00330946+0.0365915j -0.0461224+0.00263542j -0.0166963+0.0133009j 0.109268-0.0958833j -0.0442406+0.0727263j -0.0187037-0.00884523j 0.0160349+0.103482j -0.0288727+0.0151165j 0.0784847+0.104872j -0.0508637-0.0502189j 0.0303901+0.0104583j -0.0282012-0.159715j -0.0707683+0.0212977j 0.0677777-0.0713962j -0.030719-0.0351378j 0.0435166-0.0952041j -0.0454493+0.053113j -0.0109903+0.0470482j 0.0140752+0.0110313j -0.0292013+0.0245134j -0.00179757-0.0194353j -0.0112716+0.00489224j 0.021871+0.0160552j 0.0183669-0.00265619j 0.0180443-0.0074022j -0.0207558-0.0603386j 0.00742532+0.00373255j 0.013654+0.0195409j -0.000180585-0.0269667j 0.0313152+0.0259847j 0.0047096+0.0106504j 0.00898658+0.00183478j 0.00567224+0.00689215j 0.00269893+0.0143898j -0.0143219-0.00146138j -0.00255187+0.0115026j -0.00373948-0.00722187j -0.00217434+0.00150981j -0.000405857-0.000341871j -0.00109953-0.0040151j 0.00184939-0.00729457j -0.00277702-0.00464659j 0.0100918-0.000571706j 0.00353405-0.00844301j 0.0108285-0.00205748j 0.0121484-0.0104038j -0.00441873+0.00176611j 0.0159283+0.00805595j -0.00932992-0.00339546j -0.00732244-0.00300492j -0.0093205+0.00107812j 0.00908755-0.000931757j -0.007534+0.00029395j 0.00445671+0.00524034j 0.00325982+0.00886111j 0.000453196+0.000875335j 0.00142833+0.00534305j 0.0167405-0.0139588j -0.00175802-0.00398845j -0.000271243+0.00584468j -0.000586041-0.00157627j 0.000614665-0.00144386j -0.0034655+0.00145955j 0.000991667-0.00120681j 0.00339263-0.00181823j 0.00735439-0.0128218j 0.00490821+0.00261739j -0.00899709-0.00371631j 0.00572543-0.00877316j 0.0165091+0.00562787j 0.00114588-0.00253886j 0.00398959+0.00560899j 0.00505571-0.00201506j 0.00420341+0.0107671j 0.0134315-0.00515352j -0.0102945+0.00509481j -0.001658-0.00295673j -0.0124302-0.0165807j -0.00174022+0.00200952j -0.0125382-0.00776984j -0.00574421-0.00338944j -0.00480691+0.00334191j 0.00329205-0.00243019j -0.0121745+0.00776075j -0.00220339+0.000274625j -0.00137188+0.00344551j -0.00714075-0.00132393j -0.00204851+0.00030874j 0.00634117+0.000242583j -0.00752268+0.00182424j -0.00019369-0.00404273j -0.000591921-0.00207285j 0.00575339+0.00479111j 
-0.0230206+0.0453735j 0.050819+0.00929709j -0.00283285-0.0722224j -0.0301792+0.0524099j 0.0201743+0.0560363j 0.0320074+0.00959868j 0.0130585-0.00143071j 0.0529154+0.0224861j 0.0471505+0.0620509j -0.00804534-0.0718404j 0.0315588+0.080729j 0.0500869+0.049895j 0.0578989+0.0875944j 0.0528844+0.0205404j -0.023964+0.0292234j 0.011882-0.027254j 0.11684+0.000606806j -0.0497876+0.0370146j -0.0236841+0.0424379j -0.00585445+0.0257294j -0.00826375-0.0188721j -0.0344823-0.0262109j 0.0107487+0.00856486j -0.00855382+0.00290349j -0.0156292+0.00887875j -0.0217941-0.00449998j 0.00139662+0.0124818j 0.0317969+0.0211552j -0.0189207+0.0272789j 0.0161964+0.00237235j 0.012641+0.0123807j -0.0240095+0.00701363j -0.0293429-0.00295818j -0.00502079+0.0309773j -0.0238844+0.0127039j -0.0261726-0.00352625j -0.0229058+0.00616469j -0.0158823-0.00448401j 0.0172119+0.00606395j -0.00136194-0.00462018j 0.00388665+0.00467869j 0.00133556+0.00352995j -0.00300454-0.00898325j -0.00719988-0.00967468j -0.00819919+0.00763377j 0.00110903+0.000784375j 0.00490681+0.00799196j -0.000372451+0.00297225j 0.000623537-0.0059041j -0.00622082+0.00127647j 0.00215854+0.00156248j -0.00263659-0.00632593j 0.00223171-0.00207972j 0.00275937-0.000644903j -0.00408684+0.0022903j -0.00617635+0.00725823j 0.00892894+0.00120029j 0.000630531+0.00300637j 0.000905769+0.00688369j -0.00333176-0.00137859j 0.00584671+0.00874477j -0.00472482-0.00257878j 0.00251156-0.00902928j 0.00261876+0.00474496j -0.00385273+0.00133575j -0.000103051-0.00768795j 0.011633-0.00165118j 0.00794416-0.00331083j 0.000666433+3.62007e-05j -0.000408733-0.00561867j 0.00341074+0.000999929j -0.00148386+0.00368448j 0.0107494+0.00148522j 0.00126249+0.00280237j -0.00702231-0.0102513j -0.000218434+0.000715623j 0.00323399-0.0025836j 0.0031899-0.00245435j -0.00172921-0.000382739j 0.00202313-0.000849408j 0.00200639+0.00791859j 0.0117047-0.00253664j 0.00662859+0.00413096j 0.00246769+0.00196446j -0.00239971+0.00165959j -0.00293585-0.0112138j 0.00398681+0.0031804j -0.00304988+0.00825757j 0.000560979+0.00113098j 0.00145683+0.00368165j 0.000521166+0.00515942j -0.00194475-0.00852286j 0.0100468-0.000823174j -0.00593769-0.00681654j -0.0102677+0.009611j 
-0.0042275+0.0330398j 0.0234842-0.00702635j -0.0136082-0.00518315j -0.00517376+0.0224564j 0.00293959-0.0662621j -0.0128811-0.0203303j 0.048826+0.0485078j 0.0429714-0.0543957j 0.0348441-0.101298j 0.167287-0.066907j 0.09688-0.076828j -0.0150085+0.0241147j 0.0228972-0.065424j 0.0480605-0.0156862j 0.130797+0.0393409j -0.0538618-0.0979297j 0.033181+0.0954662j -0.0634423-0.141292j -0.00215302-0.013062j -0.0415178-0.0259186j -0.00463028-0.0211167j 0.00195852+0.00579124j 0.0155143-0.0189016j 0.0180814-0.0189024j -0.00648008-0.0123553j -0.0117352+0.0313248j 0.015238+0.0215039j 0.0129181+0.0131358j 0.00815357-0.0325442j 0.00407317-0.00186112j -0.0108333+0.00873582j -0.00378629-0.00772661j -0.00297773-0.00565779j 0.0104495+0.00795948j -0.00115312+0.00573249j -0.00608353-0.00765432j 0.00276663+0.0142353j -0.00926253-0.00177239j -0.000125771-0.0072658j -0.00201729+0.000717848j -0.00197068-0.000402293j 0.00673505-0.000929513j 0.00309085+0.00757652j -0.011836+0.0020401j 0.00658354+0.0147642j 0.00524533-0.00897133j 0.00042483-0.000350891j -0.00132534-0.0108257j 0.0153391-0.000481963j 0.0132991+0.00134389j 0.0158402-0.0111321j -0.0187412-0.0015886j -0.0110736-0.00166626j 0.00635639+0.00386627j 4.01665e-05-0.000411843j -0.00721249+0.00345383j -0.00470359-0.00532666j 0.00327205+0.00587916j -0.00972986-0.00428912j 0.0107978+0.00457837j -0.00281465-0.00445804j -0.00483553-0.00167858j 0.00239337-0.00190218j 0.000430453+0.00213423j -0.00336629+0.000572671j -0.00310723+0.0109527j 0.00961231-0.0215814j 0.00145579+0.00706438j -0.0106989+0.0101684j -0.00223872-0.00326983j -0.0117286+0.00253227j -0.0204435+0.000651257j 0.00842587-0.00814027j 0.000680246-0.00120859j -0.00635844+0.00494656j 0.0040153-0.00944925j -0.0123374-0.000360745j -0.000770572+0.0112377j -0.00260264+0.00535166j 0.00407535+0.00488236j 0.00651546-0.0014909j -0.00615853+0.00569232j 0.0107107+0.0115206j 0.00422746-0.00197611j -0.0016176-0.00400151j 0.00292597+0.00193861j 0.00190437+0.00258575j -0.00124455-0.00174037j 0.000345265-0.00236817j -0.0047751+0.00529978j -0.000188906-0.00183769j 0.00352296+0.000403305j 0.0053065+0.00591118j 0.00137177-0.00151544j -0.0049228-0.0026518j 
0.00558907+0.0171818j -0.0832632-0.0211302j 0.0861634-0.0144201j 0.0791604+0.025956j 0.0476428+0.0375224j -0.0341512-0.00519586j -0.0812942-0.0821273j 0.0532064+0.00923575j 0.013337-0.0422136j 0.0141747-0.0231487j -0.130787+0.0267601j 0.0787705+0.000588752j 0.0156722-0.0431835j 0.129522-0.00156198j 0.00312712+0.0693754j 0.0133128+0.0629364j 0.0160287+0.110766j 0.031501-0.0380704j -0.0313149+0.00161024j 0.0501812+0.0330794j -0.0283884+0.00813473j -0.0235345-0.0217964j -0.020738-0.0261351j -0.0151863+0.0160846j 0.0186527-0.0204946j 0.00408847-0.0396683j 0.0447193-0.0111283j 0.000989681-0.0983751j 0.0315448+0.0305976j 0.027719+0.00425224j -0.0152654+0.0127168j -0.00239057+0.0274162j -0.00249495+0.000248605j 0.0348322+0.00329923j 0.0247351+0.00320049j 0.010129+0.00325436j -0.0019361-0.00647852j 0.00156638+0.00430706j -0.0175382+0.015777j 0.00260063-0.00595166j -0.00147532+0.000299654j -0.0020016+0.00322443j -0.0166763-0.00705512j 0.0124687+0.00774793j -0.00226478+0.00148335j -0.00729735+0.00663365j 0.00134629+0.00399282j 0.00434076+0.0114742j -0.0198231+0.00225626j -0.00136353-0.0159299j -0.00336607-0.00424552j -0.00131259-0.00245881j -0.00366653-0.00102932j -0.00175473-0.00248213j -0.00330539-0.00364867j 0.00353938+0.00257189j -0.00384316-0.0115546j -0.0010049-0.00380489j 0.00315751+0.0099195j 0.0044981-0.0053897j 0.00156724+0.00238886j 0.00470249+6.70946e-05j 0.00775588-0.00303984j 0.00263599-0.000620279j -0.000158975-0.00235287j -0.00369558-0.000404615j 0.00170289+0.00536282j 0.0109307+0.000807369j -0.00856669+0.000743337j -0.00603552-0.000979265j 0.000443318-0.000702241j 0.00134342-0.00297601j 0.00956377-0.00773966j 0.00348949-0.00256697j -0.00584885-0.000288714j -0.00876557-0.00607924j -0.00113918+0.0042406j -0.0039626-0.00931428j -0.00196327+0.00157835j 0.00796797+0.000106102j 0.00850566-0.00478237j 0.0109245-0.000640775j 0.00184523-0.00288999j 0.000488464-0.00283982j 0.00204711+0.000649512j 0.00328785+0.00207933j 0.000667784-0.00272987j 0.00193164-0.00443995j 0.0112016+0.0112488j -0.0103475+0.00793153j 0.00621252-0.0045906j 0.000169587+0.00149753j 3.40068e-05-0.00537416j -0.00249099-0.0053519j 0.00485439-0.00446859j 
-0.045111-0.0200346j -0.0617867+0.0275808j 0.0695203-0.0327877j -0.0855623-0.0633417j 0.0313493+0.0203204j -0.0196579-0.0123044j -0.0535147-0.0881493j 0.0669252-0.0160839j -0.0891389-0.0720334j -0.0228563+0.0476788j 0.0403913-0.0558778j 0.00900202+0.0149813j 0.0979142-0.164312j 0.000151982+0.0566578j 0.144408+0.0439143j 0.0280785+0.0781708j -0.00469701+0.0778563j -0.0111938+0.0430116j 0.0178933-0.0384235j -0.0456391+0.0176685j -0.0165783-0.00429171j 0.000398895-0.0046061j 0.00961764-0.0197501j 0.0239607+0.00740909j 0.0191073+0.00418437j 0.0185459-0.0356546j 0.0244442-0.00547935j 0.0763977+0.0123892j -0.023552+0.0097044j 0.00203073+0.0093907j 0.00836059+0.0176774j -0.0283158+0.00640174j 0.0036596-0.00589529j -0.00899409+0.000161671j -0.0130359-0.00109795j -0.00664998-0.0162463j -0.00260675-0.00340808j -0.0016984+0.00661505j -0.00602398+0.0113643j 0.00870623-0.00643785j 0.00109274+0.00406911j 0.00319358-0.00696939j -0.00940925-0.00963496j 0.00923382-0.000794072j 0.0036247+0.000104056j -0.00172275-0.000950933j 0.0020561+0.00300538j -0.00174245-0.00574835j 0.00666633-0.00160548j 0.0140808-0.010312j 0.00497657-0.0108729j -0.0103651+0.00599643j -0.00339486-0.00805041j -0.00469353+0.00143274j 0.000286918+0.00129058j -0.00511715+0.0096678j -0.0135732+0.00591218j -0.0201843+0.0053855j -0.00319874+0.00535474j 0.00381062-1.95738e-05j -0.00105082+0.00276393j 0.00193088+0.00147063j 0.00574071+0.00159825j 0.001309-0.00143386j 0.00396688-0.00418982j 0.000839363+0.00440869j -0.00480999+0.00158765j 0.00616481+0.00153951j -0.00685589+0.00438976j -0.000207797+0.00194215j -0.00361384-0.0060475j -0.0037545-0.00915166j -0.00334427-0.00125392j -0.00795653-0.00572059j 0.016098+0.0107023j 0.00152128+0.00029507j -0.00766358+0.000110603j -0.00567336-0.00870789j -0.000513411-0.0017505j 0.000960518+0.00248982j -0.0102749-0.00572364j -0.0111344+0.00396261j -0.00739861-0.0123133j 0.00184988-0.00708547j 0.00247446+0.00113788j -0.00196845-0.00308019j 0.00402951-0.0026552j -0.00388261-0.00907991j -0.00443646+0.00618555j -0.002183+0.00267322j 0.000974904-0.000385873j -0.00116644-0.00335812j 0.00854966-0.00305957j 0.00711111-0.0107313j -0.0019752-0.00430274j 
0.0817541+0.0402922j -0.0462014-0.0179745j 0.0164505-0.0019696j 0.131669+0.0701827j -0.0190567-0.0663686j -0.00489655-0.0227978j 0.00894862+0.0865771j -0.0186742-0.0419266j 0.0344655+0.0110725j 0.0648537+0.0174381j -0.054268+0.0565127j -0.0109925-0.0600111j -0.00912802-0.0409594j 0.0174051+0.0392533j -0.0181325+0.00636937j 0.0208209-0.0108202j 0.0324331+0.0438997j -0.04459-0.0600391j -0.0266117-0.0335975j 0.00849174+0.015101j 0.000998813-0.017594j -0.000714268+0.00102635j -0.0103394-0.00598836j -0.00428514+0.00329664j -0.0139466+0.000907936j 0.00420003+0.016441j 0.025563+0.0169915j -0.0620755+0.0528899j 0.0283657-0.0185733j 0.00978472+0.0231763j -0.00172188+0.00985437j 0.00859355-0.0270694j 0.00973194-0.0287598j -0.0187018+0.00760238j -0.0150927-0.0159092j -0.00125168-0.0327197j 0.00528693-0.0023354j -0.00727248-0.00625844j -0.00796964+0.00135081j -0.000109008+0.00443222j 0.0015385+0.01099j -0.00206629+0.00298274j 0.0141011+0.00113174j 0.00252101-0.00130988j -0.00157469+0.00215679j -0.00226374+0.00586771j 0.00284663+0.00144009j 0.00446521-0.000112869j -0.00375073+0.00431641j -0.00177584-0.00551624j -0.00929209+0.0108526j 0.0148978-8.84633e-05j -0.00019111+0.002745j 0.0176463+0.00755387j -0.00781239-0.00567352j -0.0080993-0.00780117j -0.0017691+0.00496953j -0.00782513+0.00187083j -0.00651662+0.00028124j 0.0103479-0.00618914j -0.000905491+0.00697197j 0.000753007-0.00224942j 0.00704964-0.000286995j -0.00470511+0.00139327j -0.000962674+0.00530552j -0.000363139-0.001913j 0.0166418+0.00403949j 0.00220306-0.00319685j 0.000638745-0.00502956j -0.00222109+0.0075282j 0.000524455+0.00943348j 0.00687828+0.00499189j 0.00773816+0.0030789j 0.00899496-0.000568752j -0.00207302-0.00694j -0.00547329+0.00760272j 0.00898953+0.00704966j 0.00546504-0.00576236j 0.00417838+0.00144587j -0.00673594-0.000885683j -0.00215761+0.000442897j -0.0155119+0.0071496j 0.00559903+0.00703512j 0.0038106+0.00527102j 0.00637885-0.00375625j 0.000671277+0.00233976j 0.00286108+0.00473972j -0.00916918-0.00853069j -0.005923-0.00137202j 0.00197976+0.00392988j -0.00135683-0.00513151j 0.00223408+0.00331099j 0.00680689+0.00721141j 0.00433294-0.00729151j -0.00508624-0.0112511j 
-0.0414986-0.039837j 0.00132347-0.0381301j -0.0136024+0.0291954j -0.0228495-0.0558444j 0.0544121+0.0277183j -0.0308127+0.101749j -0.0330096-0.0412354j 0.0451465-0.0237777j 0.0607964-0.0677908j -0.0462043+0.0786754j -0.00391783-0.0454078j 0.0219995+0.0487461j -0.133009+0.0450734j 0.0598619+0.0649584j -0.0782938-0.00690151j 0.0341415-0.043713j 0.0132688-0.04001j 0.0540322+0.119391j 0.0260135-0.0149762j 0.113665-0.101423j -0.0131083+0.0321728j 0.00290812+0.0159847j -0.0581599+0.029557j -0.0161462+0.0133087j 0.0585938-0.0263341j 0.0485749-0.022437j 0.0125853-0.00494768j -0.12781+0.0395435j 0.0295171+0.00752864j 0.00670263-0.00291785j -0.0781733+0.01453j 0.0103146-0.0230733j 0.0205734+0.00480114j 0.0422061-0.0268216j 0.0475801-0.00863364j 0.026704+9.4259e-05j 0.00362862+0.00676275j 0.0195224-0.0046615j -0.0179562+0.0152994j -0.00725766-0.00488849j 0.0097049-0.0136326j 0.00250518+0.00777234j -0.0148467+0.0119498j -0.00560848+0.00569243j -0.0100566+0.00181672j -0.00702907-0.00481855j 0.0101909-0.00898164j 0.00302141+0.00905929j -0.0164519+0.00955957j 0.00468842+0.0081089j 0.00274924-0.00226182j -0.00445914-0.0028586j 0.00213125+0.00500168j 0.000362391-0.00379198j 0.00253255-0.00131278j 0.00487215-0.00330496j -0.0100923-0.00782631j -0.0109569-0.00605904j 0.00539833-0.00206734j 0.0166555+0.00813063j 0.0018291+0.00153481j 0.00279303-0.00523048j -8.14876e-05+0.00663959j 0.00394935-0.00136525j -0.00300309+0.00728254j -0.00641121+0.00312421j -0.00934066+0.00600496j -0.00208698+0.00419067j -0.00285243-0.000503793j -0.00887807+0.00205989j -0.00605124-0.00179334j 0.00261093-0.00669148j -0.000721993+0.000589225j 0.0092651-0.000724589j -0.0111913+0.0122287j -0.00732927-0.000601731j 0.00358603+0.00548542j -0.00549527+0.00457729j 0.00252558-0.00727358j -0.00368024+0.00475424j 0.00751393-0.00336081j -0.00852367-0.00336071j 0.00139466+0.000592971j 0.000722308+0.00138808j 0.00520934+0.00913759j -0.00491532-0.0228795j 0.00227394+0.0122447j 0.00155869+0.0338813j -0.0170919+0.0164065j -0.00397584+0.00169558j 0.00929164+0.00309199j -0.0041034-0.00364367j -0.00548474+0.0111373j -0.0122003+0.0221948j 0.0141152+0.00474966j 
