0.00108-0.000794548j 0.0143885+0.00844176j -0.000503721-0.000171603j -0.0587811-0.00297574j -0.00303726+8.14322e-05j 0.0220139-0.0100759j -0.00169935-0.00265791j 0.000529098+0.00197359j -0.00666085+0.00182882j 0.00214196-0.00573301j 0.00568641-0.0267665j 0.00561723-0.0327073j -0.000120363-0.000614127j -0.00317554-0.0245043j -0.00567094-0.0328071j -0.001697-0.00531302j 0.00423087+0.00196025j -2.43847e-05-0.00133462j 
-0.00625689+0.00357042j 0.0105556-0.0350598j -0.00483779+0.03145j -0.00338346+0.00400664j 0.00300754+0.0335949j 0.0112694+0.0407788j 0.0100776+0.00502814j 0.00215727-0.00214614j -0.00239967+0.00306077j -9.34748e-05+0.000340984j -0.000339979-4.63354e-05j -0.000605646-0.00263925j 0.000774333-0.00107203j 0.000207269+0.00217294j 0.000327627+0.00048538j -0.000233904-0.000327958j -0.00296648-0.0022911j -0.0015403-0.000140566j 
0.0106963-0.00170441j -0.00592262+0.0048129j 0.0378287-0.0139011j -0.0126814+0.00701487j -0.000972856+0.00173637j -0.0236719+0.0228831j -0.00686849+0.0310838j 0.00176049-7.44757e-05j -0.00584657+0.00617231j -0.0200163+0.0124294j -0.00338723+0.00903487j 5.77634e-05+0.00255434j -0.0117371+0.0166887j 0.0144164-0.0190218j -0.00674784-0.000523222j -0.00815689+0.0126434j -0.00162861+0.0218707j 0.00559113-0.00140513j 
-0.00690082-0.0015537j 0.0139108-0.0128158j -0.00687337-0.0332631j 0.00464357+0.00802877j 0.0042388-0.0267264j 0.0129675+0.0243477j 0.0219118+0.00214208j -0.000574121+0.00295422j 0.00530257-0.00698711j -0.00911371-0.0191305j -0.00209814-0.00686861j -0.0155075+0.00135261j -0.0293069-0.00457748j 0.0175353+0.00544639j 0.00469061-0.00303325j 0.00235788-0.0144617j -0.0237096-0.00571622j -0.00820174+0.00391624j 
0.0120787-0.00612097j -0.0260008+0.0186487j -0.0129609-0.0185552j 0.00173334+0.00813514j -0.0249136+0.030864j 0.0143835+0.000988026j 0.0145153+0.010838j 0.000834266+0.00577872j -0.0177254+0.00281942j -0.0103687-0.00917749j -0.00896418+0.00298702j 0.0134869-0.0136982j 0.00505817-0.02671j 0.00417341+0.011978j -0.00451698+0.00327928j -0.010196+0.0128483j -0.0181231-0.00172968j -0.00531469+0.0038909j 
0.00501219+0.011994j -0.017885-0.0228897j 0.000284485+0.00119761j -0.0030243-0.00378426j -0.0393155-0.0211483j 0.00677631-0.000410565j -0.015142-0.00072528j 0.000959934-0.0119663j 0.0130257+0.0288623j 0.00674929+0.00709704j 0.00286615+0.00474336j -0.0102786-0.0152595j -0.0180251-0.0158015j 0.00371193+0.00310106j 0.00782425+0.00738692j 0.0228983+0.0125502j 0.0100504+0.00488208j 0.00759387-0.00236835j 
-0.00654198-0.00500369j -0.00166937-0.00432704j -0.00843623-0.0142816j 0.00179001-0.00341053j 0.0132832+0.0169921j 0.00434886-0.00165345j -0.0641327-0.000617389j -0.00589372-0.00186759j -0.00361476-0.00274676j 0.0224013+0.010616j -0.00382771-0.00412285j 4.31394e-05-0.00204281j -0.0149835-0.00526214j -0.0270978-0.00559016j 0.0186327+0.0077816j -0.0117394-0.0101356j -0.0287445+0.0136927j -0.0061368+0.0283754j 
0.0140956+0.000468084j 0.00552382-0.00183136j 0.0235169-0.0147j -0.00113976-0.00154532j -0.0113704+0.0315244j -0.012002+0.00173276j 0.00191575-0.077357j 0.000115012+0.00302417j -0.00603509-0.000357012j -0.0140117-0.00337582j -0.00891427-0.00375078j 0.00368393+0.000407574j 0.00373261+0.00135072j -0.013005+0.00175757j 0.010973+0.0028178j 0.0217827-0.00920181j -0.00435006+0.0108587j 0.00058839+0.015485j 
0.010749+0.00588609j -0.0112817+0.000227865j -0.00515539+0.00879335j -0.0200048-0.00363192j 0.0435808-0.00325091j -0.0395309-0.00338645j 0.00126624+0.0375957j 0.0083784+0.00196915j -0.00709888+0.00049347j -0.0227751-0.000900859j -0.0160683-0.00509779j 0.00493529+0.00546485j 0.00399028+0.000843492j -0.0297725-0.000683942j 0.0291637-0.00245598j 0.0302287-0.00807478j -0.00691354+0.00760201j 0.00635503-0.00857493j 
-0.00972704-0.00436884j 0.0323731-0.00352937j 0.0387462-0.0154536j 0.0078546+0.0106926j -0.00184049-0.0281036j 0.00492133+0.0309758j 0.0102053-0.00812991j -0.00544311-0.00147919j 0.0112148+0.002458j -0.00739089-0.00150218j -0.0377245-0.0041991j 0.0250289-0.000850799j -0.0086729+0.000209768j -0.021343+0.00195949j 0.0226159-0.00249239j 0.00565435+0.0031692j -0.00423745-0.00172961j -0.00694419+0.00533485j 
-0.0210478+0.00851414j 0.0137722+0.0056052j 0.0273323+0.0216453j 0.0066929-0.0148287j -0.0230224+0.0223441j -0.000163689-0.0379854j 0.0307455+0.0124916j 0.000343902-0.00865242j 0.00962184+0.00380692j 0.00460536+0.00343002j -0.0237725+0.00106275j 0.0160247+0.00284474j -0.0095504+0.00477556j -0.0229055-0.00268489j 0.017849-0.00379311j 0.00568228-0.000958037j -0.0109686+0.00713589j -0.0115164+0.00468857j 
