-0.00389975+0.00221668j 0.00931986-0.0438828j 0.000138337-0.00227072j 0.00659355+0.0578176j 0.00777002+0.0060473j -0.00100694+0.00191678j 0.0005056+0.00189074j -0.000480598+0.000158298j 0.001083-0.00116872j -0.000278384+6.8525e-05j 0.000478459+0.0014162j 0.00101441+0.00103673j 0.000660418+0.000680674j 0.00116693-0.000424574j 0.00371039-0.00365459j 0.00243199+0.00405549j 0.00119884-0.00440482j 0.00614139+0.0210775j 0.00710531+0.0130074j 0.00348302+0.0140436j -0.0181198+0.00348756j -0.0198581+0.00809286j 0.0104094-0.00679414j 0.00594085+0.00390663j -0.0164318-0.00451031j -0.023872-0.00202002j 0.00303608+0.00592015j 0.00337825-0.00624221j 0.00371877-0.0252308j -0.00121753-0.00365231j -0.00158013+0.00506749j -0.00317514-0.000784616j -0.0031085-0.000582219j -6.65898e-05+0.00125026j 
-0.0144487+0.00423585j 0.0290199-0.0180601j 0.0239202-0.0214315j 0.0170416-0.0187841j 0.00952751-0.0276469j 0.000201508+0.00103578j 0.0188512-0.00756281j 0.0175184-0.0124807j 0.00636348-0.00207776j 0.0155196-0.0186682j -0.0166025+0.0245361j 0.00336414+0.00679746j -0.00526889+0.00220541j 0.00169808+0.00188624j 0.00154457+0.009917j -0.0114637+0.00695507j -0.0022634-0.00166501j -0.0100917-0.00321996j -0.00254745-0.00546519j -0.00956497-0.00201602j 0.00291155-0.00612178j -0.00245081-0.0110955j -0.0204062+0.0054514j 0.00157446-0.0204901j -0.00780608-0.000694001j -0.00835582+0.00648846j 0.000574822+0.00649564j -0.00258558-0.00469353j -0.00757928-0.0133153j 0.00296139+0.00327165j -0.00286105+0.00918029j -0.00909945-0.00465089j -0.00699807-0.00251559j -0.000650018+0.00203767j 
0.00232204+0.0133844j -0.0165379-0.0269925j -0.0208304-0.0229275j -0.0176422-0.0156509j -0.0275492-0.00724703j -0.000101897+0.00707385j 0.010456+0.0248509j 0.0133556+0.0163827j 0.00378087+0.00630461j 0.0172757+0.0142592j -0.0281421-0.0179486j -0.0122046+0.00249856j -0.0021205-0.0053204j -0.00248699+0.00182265j -0.00966962+0.00245831j -0.00631706-0.0104573j 0.00149951-0.00371542j 0.00389348-0.00927049j 0.00622335-0.00111039j 0.00263513-0.0100374j 0.0051071+0.00234404j 0.010607-0.00150191j -0.00422478-0.0205714j 0.0198537+0.00148762j -0.000338136-0.00775916j -0.00595348-0.00772027j -0.00710542+3.80584e-05j 0.00390382-0.00327825j 0.0119823-0.00814905j -0.00372101+0.00247655j -0.00697125-0.00276021j 0.00599643-0.00818732j 0.00359167-0.00644656j -2.59488e-05-0.000829344j 
-0.0154558-0.0089024j 0.00342343-0.000716276j 0.0190568+0.0141689j 0.0102118+0.00284251j -0.0561785-0.00334278j 0.00772007+0.00381381j 0.0118184-0.000475461j 0.0396131+0.00906063j -0.011741-4.47903e-05j -0.0130809-0.00185249j 0.0249908-0.00384074j 0.0202792-0.0173381j -0.00283965-0.0014109j -0.000776437+0.00229016j 0.00165933+0.00126618j -0.000143289-0.00818275j -0.00951828-0.00334221j 0.00318777-0.00195927j -0.00392509+0.00895846j -0.00193963-0.00846269j -0.0006269-0.00575395j -0.0044861-0.00207884j -0.00407543-0.00223816j -0.00469978+0.00369665j 0.00610117+0.00791482j -0.00275134-0.00208409j -0.00163765+0.00901601j 0.01201-0.000422569j -0.00163266-0.00347242j -0.0049438+0.00697923j 0.0105684+0.0096396j 0.00269783-0.00462212j -0.00115595-0.00366818j -0.0022199+0.00278773j 
-0.021173-0.0051299j 0.0307492+0.0053458j -0.0574485-0.00671931j 0.023017-0.00124392j 0.00618379+0.00275315j 0.00464053+0.00394201j 0.0262811+0.00588923j -0.0122865-0.00491072j 0.00374541-0.000118674j -0.0422926+0.00871154j -0.0169933+0.00528135j 0.00064926+0.00152206j -0.00306921-0.000803436j -0.00153538+0.00121121j 0.00333326+0.00268114j 0.00306603-0.00987337j -0.000251505-0.00200796j 0.00441788-0.000265376j -0.0077924-0.00433756j -0.00973655-0.0043384j 0.00478051-0.00210283j -0.000153245+0.0124318j 0.0129159+0.00662878j 0.00809451-0.0121171j -0.00302512-0.00884108j -0.000252555-0.00366491j 0.00799825+0.00574029j -0.00197056+0.00689244j -0.00241091+0.00214238j -0.00674892+0.00421156j -0.000494268-0.000560627j 4.99705e-05+0.00079531j -0.0004278-0.00102697j 0.000768198-0.000281548j 
0.0138256-0.0114098j 0.00852033-0.00586718j -0.021373+0.045757j 0.00170075+0.00717694j -0.00572999-0.0744916j 0.00417578-0.00651254j -0.00190618-0.00452324j -0.00689044-0.00304311j 0.00158165+0.0043676j 0.000735336-0.00172879j -0.00402884-0.00582212j -0.00106483-0.00573812j 0.00358591-0.00198591j 0.00239428+0.00224892j 0.00234323-0.00714055j -0.00545715-0.00541668j -0.0074959+0.0181487j -0.00105812-0.0059869j 0.0143425+0.00411525j -0.0101906-0.00526066j -0.00640351+0.000815501j -0.0061327+0.00384987j -0.00515647+0.0106118j 0.00872249+0.0115979j 0.0153619-0.00654922j -0.00164184-0.000195961j 0.0103416+0.00426586j -0.00259025-0.0131384j -0.00301668-0.00233711j 0.00568391+0.00535258j 0.0134443-0.0117521j -0.0100437-0.0138786j -0.00535852-0.00164329j -0.00293575+0.00217982j 
0.0151382-0.0263007j 0.00197566+0.0370347j -0.0100572-0.0723067j 0.00525861+0.0297951j 0.00245363-0.0100124j 0.004212-0.0090308j -0.005063-0.0123833j 0.00614794+0.00449063j -0.0011997+0.00149753j 0.00730488-0.00010971j 0.00497146+9.36382e-05j 0.00360784-0.00265059j 0.00459763-0.00163088j 0.00216994+0.00303467j 0.00869447-0.0146902j -0.0146926-0.0100071j -0.000469057+0.00294544j -0.00124734-0.00399158j -0.00135257+0.00619598j -0.00922905+0.00939164j -0.00293011-0.00241444j 0.0173118+0.00271231j 0.0108899-0.0154843j -0.0127026-0.0148682j -0.00993049-0.00306664j -0.00602472-0.000530974j 0.0110209-0.0103881j 0.0070612-0.00154935j 0.00220275+0.00744308j 0.00763001+0.0123062j -0.00051033-0.00313668j -0.0023484-0.00173419j -0.00194039+0.000356633j -0.00124072+0.000244496j 
-0.00187299+0.0102283j 0.0113634+0.000199199j -0.0503667+0.00196156j 0.00023872-0.00318424j 0.0437839-0.00822201j 0.00168089+0.00560768j -0.00534618+0.000254932j 0.0378995+0.00818101j -0.0130119-0.00118825j 0.0199803-0.00404533j 0.026367-0.00579702j 0.0248425-0.0133606j -0.00440019-0.00180207j 0.00219091-0.00187281j -0.00274806+0.00276132j 0.00218578+0.000983887j 0.0133791+0.00584797j -0.00487251-0.000126712j 0.00285131-0.0101134j -0.00520129+0.00223938j 0.00153605+0.00392587j 0.000390354+0.00845264j 0.0121477+0.00764695j 0.0141931-0.0069392j 0.000707819-0.0129786j -1.62996e-05-0.00150357j 0.00171724-0.00145647j -0.00614399+0.00296813j -0.00395072+0.00141641j -0.00505358-0.00287512j -0.0110811-0.00745498j -0.0130143+0.00962376j -0.00354061+0.00430215j -0.00452391+0.00666082j 
-0.0181006-0.0177391j 0.0202699-0.00959466j -0.0313694+0.0106603j 0.0202704-0.00971306j -0.0237984+0.0113893j -0.0164863-0.0119481j -0.0314935-0.00366679j -0.00535405-0.00221455j 0.00555411-0.000293268j 0.0409433-0.00901846j 0.00414929-0.000912845j -0.019123+0.0100811j 0.0119792+0.00934738j -0.00759937+0.000478549j 0.0191303+0.010629j 0.0100937-0.0097014j -0.00555396-0.00525931j -0.000717154+0.00107529j -0.00657013+0.00312343j -0.00129913-0.0067087j -9.21455e-06-0.00409419j -0.000426577+0.0086003j 0.00736799+0.0049662j 0.00817441-0.00644758j -6.73507e-05-0.000821473j -0.00129317-0.00301127j 0.00682371+0.00831162j 0.00487566+0.00439779j -0.00582538+0.00109106j -0.00914326+0.00802826j 0.00903786+0.00294864j 0.00775194-0.00410076j 0.000604152-0.00203331j 0.00474966-0.0056052j 
-0.0141437-0.031247j -0.0160646-0.0292432j -0.00219757+0.00838104j -0.0158321-0.0274585j 0.0362325+0.0544152j 0.00247091+0.0111372j 0.00142198-0.0136691j 0.0102493+0.0222897j -0.00131276+0.00910389j -0.0132558-0.0244656j 0.00145654-0.00580595j -0.0460269-0.0225847j 0.00209977-0.00340111j -0.0070518-0.000453297j -0.00194972+0.00338602j -0.00203238-0.00121329j -0.0118998-0.0144946j -0.00181108-0.000920908j -0.011048-0.00178115j 0.0068682+0.00240986j -0.00222337-0.00100967j 0.00101301-5.54594e-05j 0.00394264+0.00759998j 0.010736+0.00160368j 0.000987446+0.00734172j 5.5169e-05-0.00305527j -0.0109997-0.0100466j 0.0197987+0.00556755j -0.00819696-0.00709515j 0.0114023+0.00515257j 0.00688973-0.0105489j -0.0195524-0.00457799j -0.0158602+0.00865801j -0.0120904+0.00833746j 
0.0401349+0.0466501j 0.0333375+0.0260687j -0.00239878+0.0173377j 0.0286164+0.0141943j -0.0178035+0.0368022j 0.000149527-0.0189229j -0.010186+0.00231496j -0.0060575+0.000532441j 0.0135394+0.0106198j -0.0253427-0.0368289j -0.0260475-0.0179485j -0.00489721-0.00604528j 0.00292415+0.00342802j 0.00766796+0.00361894j -0.00532036-0.00677121j -0.00570093+0.00268624j 0.01042+0.0123756j -0.00637005-0.00712792j 0.010288+0.00131246j -0.00405069+0.004138j -0.0109616-0.00201156j 0.0024759+0.002684j -6.16844e-05-0.00289221j -0.00245899-0.00238858j 0.000583766+0.010313j 0.000106583-0.00923306j -0.0252346+0.00462463j 0.022443+0.0131155j -0.0152648-0.00323476j -0.0287552-0.00567276j 0.00521159-0.00614806j -0.0103871+0.00574897j -0.00176149+0.000305165j 0.00255261+0.00363425j 
