-1.78715e-16-0.00889254j 7.91202e-16+0.0207406j -5.75646e-18-0.00606105j -9.36194e-19-0.00787991j 1.31259e-17-0.00814609j 7.07165e-18-0.004158j -1.79012e-17+0.00728726j -2.18553e-17+0.00495662j -1.45706e-17+0.00334534j 5.1945e-17-0.00935719j 3.36387e-17-0.00153877j -2.828e-17+0.000862615j 1.0178e-18+0.0133097j 1.98749e-17-0.00759461j 3.9049e-16+0.00320286j -4.90301e-15-0.0142237j 1.21745e-16-0.00809799j -5.5548e-17-0.000442243j -1.55372e-17-0.00139647j -6.89445e-17-0.0101301j -2.42268e-17-0.00959449j 4.61052e-18+0.00472299j 1.24294e-15-0.0115098j 1.10934e-16+0.000242356j 4.6719e-17+0.0119075j -1.66972e-17+0.00688649j 4.12682e-17+0.000698783j -6.65061e-16-0.00307254j -3.49206e-14+0.0104113j -1.58024e-16+0.000441843j -1.49413e-16+0.0151243j -8.6997e-17+0.00494478j -1.1761e-16+0.00445313j -4.23769e-17-9.69345e-05j 2.65328e-16-0.015572j 7.84089e-17+0.000552176j 3.40464e-17+0.0031823j 3.42831e-16+0.00393424j -1.13126e-16-0.00500442j -1.30293e-16-0.00974953j 2.59897e-16+0.00857088j 5.97688e-17-0.00382526j 5.81659e-17-0.0061001j 5.33523e-17-0.0120108j -4.41214e-17-0.00857787j -1.32407e-17-0.00171737j 1.37669e-17-0.00166513j 3.76532e-18-0.00181556j -1.91566e-17+0.00468523j -3.27555e-17+0.00821691j -1.24789e-17+0.00550766j 8.81462e-18+0.000548805j 2.41455e-17+0.00218924j 3.5828e-18+0.0143055j -4.17737e-15-0.0196089j -9.0345e-16+0.006681j 
-1.06462e-16+0.00619254j 4.76696e-16+0.0143278j -4.39083e-18+0.0112072j -1.11645e-18+0.00277363j -5.49208e-18-0.00245133j 2.38478e-18+0.00391376j 1.29709e-17+0.0074329j -4.51056e-18-0.00130842j 5.54488e-18-0.00457914j -2.33752e-17+0.00343437j -4.44261e-17+0.00418665j 7.33886e-17-0.00526373j 2.22637e-17+0.00875199j 8.10174e-18-0.00196292j 1.75682e-16-0.00174981j -2.34949e-15-0.00691198j 8.75833e-18+0.0049926j -7.54307e-17+0.00510929j -1.33154e-16+0.0104168j 2.30651e-17-0.00236305j -2.55335e-17+0.00231819j 5.66616e-17+0.0124592j -7.76548e-18+0.000336166j 8.56079e-17-0.00217434j 3.73432e-17+0.00158864j -8.29207e-17-0.0119518j 3.29468e-17+0.000972328j -8.10937e-16-0.00776369j -4.55658e-14+0.0136657j -2.59355e-16+0.00592792j 2.54651e-17-0.00603678j 5.51649e-18+0.00828456j 1.052e-16-0.00356008j 6.17852e-18-0.004385j -8.68491e-18-0.00292063j -3.15321e-17+0.00573793j -3.3095e-17+0.00597907j 1.21222e-16+0.000694766j -7.87142e-17-0.00258107j 9.23285e-17+0.00820222j 4.30857e-16+0.011875j 3.26384e-17+0.00561382j 4.21147e-17-0.00672772j 5.25146e-17-0.00865744j 2.01471e-17+0.00160134j 6.55393e-18+0.00213102j 2.17355e-17-0.00147825j -8.17057e-18+0.00104476j 2.60292e-19-0.00032427j -3.24198e-19+0.00718535j 4.96618e-18-0.00520012j 6.78358e-18-0.00842816j -4.56263e-18+0.00229575j 4.97893e-18-0.00557355j -3.84788e-15-0.0150889j -8.21101e-16-0.00691422j 
-1.20459e-16+0.0108445j 4.89756e-16+0.0182184j -1.4912e-17+0.0197468j 3.2365e-17-0.0013281j -7.24526e-19+0.00270391j -8.91481e-18+0.00819122j -2.36921e-17+0.00990539j -6.96721e-17+0.00623101j -9.19504e-18-0.00341627j 4.20002e-17+0.00147452j -6.69333e-17+0.00216488j 1.4968e-16-0.0104584j 5.10862e-18+0.00738655j 3.56968e-17-0.00400001j 2.11126e-16-0.00444094j -2.58262e-15-0.00785608j -4.06246e-17+0.0148296j -3.5775e-17+0.00596248j -5.96396e-17+0.00400375j 5.73579e-17-0.00141331j -1.79076e-17+0.000784659j 5.3825e-17+0.0179113j -1.13591e-16+0.00215602j 2.25871e-16-0.00490226j 3.03964e-17+0.00204606j -1.16084e-16-0.0237061j 4.8225e-17+0.00196691j -6.33661e-16-0.000406273j -3.2196e-14+0.00958354j -7.011e-17+0.00133788j 3.22615e-17-0.0108681j -8.89156e-17+0.012896j 1.14541e-16-0.0018901j 1.17683e-16-0.0161739j -3.97112e-17-0.00192244j -8.50223e-17+0.0122342j -1.10299e-16+0.0126576j -2.92274e-16-0.00367998j 5.01652e-17+0.00264951j 1.37847e-16+0.0126191j 5.2968e-16+0.0161973j 5.41301e-17+0.00467398j 6.92082e-17-0.00566069j 9.53853e-17-0.00942731j 5.02057e-17+0.00384245j 4.85866e-18+0.00163289j 1.04591e-16-0.0106483j -3.85125e-17+0.00424752j -6.27471e-17+0.00653264j -3.78643e-17+0.00842211j -4.9087e-18-0.00637182j 1.10248e-17-0.0108419j -3.50651e-17+0.00985737j -8.59232e-18-0.0114939j -5.18906e-15-0.0199595j -1.12224e-15-0.0129625j 
3.79588e-16+0.0125329j -1.84044e-15-0.0430794j -2.85288e-17+0.00614511j 6.74998e-17+0.00825679j 2.03851e-17+0.0181226j -2.549e-17+0.00672374j -7.68112e-17-0.0166384j -4.6451e-17-0.00265298j 5.49077e-18-0.00154229j 1.43665e-17+0.0107255j -3.39269e-17-0.000735029j 6.69687e-17-0.000137835j -1.23252e-16-0.0292534j 2.74598e-17+0.0139915j -7.74515e-16-0.00635083j 9.96126e-15+0.0284413j -2.41246e-16+0.014855j 1.43252e-16-0.00356276j 1.59265e-16-0.00835288j 1.74186e-16+0.0183172j 1.13326e-16+0.0132186j -1.41428e-16-0.0141394j -1.86658e-15+0.0180173j -1.04039e-16-0.0010523j -1.85128e-16-0.0207654j 1.19104e-16-0.00860646j -9.97227e-17-0.00308119j 1.8812e-15+0.0158991j 1.02351e-13-0.0306753j 5.47544e-16-0.0066675j 1.7889e-16-0.0226957j 1.41615e-17-0.0116474j 1.06158e-16-0.00402427j 1.90394e-16-0.00189006j -3.687e-16+0.0288047j -1.90742e-16-0.00118852j -1.25811e-16-0.00666535j -1.02701e-15-0.0115199j 3.97916e-16+0.0129942j 1.76258e-16+0.0115952j -7.98747e-16-0.0208416j -1.11455e-16+0.00196272j -5.78425e-17+0.0147819j -1.12797e-17+0.0265064j 1.10701e-16+0.0138307j 1.87132e-17+0.00217795j 5.26934e-17-0.00128962j -2.28871e-17+0.00464231j -5.31149e-17-0.00288965j -4.32012e-17-0.0183767j 3.14341e-18-0.00595453j 1.65286e-17+0.00487395j -9.70732e-17-0.000579644j -5.40933e-17-0.0225837j 9.29703e-15+0.0413463j 1.96722e-15-0.00920045j 
-1.12363e-16+0.0131304j 4.98353e-16+0.0142918j -7.35336e-18+0.0184474j -4.72248e-17+0.0128396j -2.60217e-18-0.00425273j 1.09829e-17+0.00636462j 3.97508e-17+0.00829607j 7.02343e-17-0.0113902j 4.65194e-17-0.0113431j -1.54368e-16+0.0129228j -9.67672e-17+0.0101042j 9.60903e-17-0.0069794j 6.70278e-17+0.0123765j -2.30453e-17+0.000818773j 9.4691e-17-0.00303338j -1.76684e-15-0.0051516j -7.74676e-19+0.00645562j -1.62798e-16+0.00981273j -3.38782e-16+0.0259929j 5.82381e-17+0.000316099j -4.97163e-17+0.010865j 9.56031e-17+0.0175493j -6.81928e-16+0.00616025j -6.88435e-18-0.0023738j 5.82875e-17-0.00317236j -1.03458e-16-0.0171485j 1.23126e-17+0.000852222j -1.34558e-15-0.0198473j -8.12164e-14+0.0244456j -5.83184e-16+0.0141357j 1.2408e-16-0.016838j 1.32905e-16+0.0101995j 2.65836e-16-0.0101369j -5.62607e-17+0.000634811j -1.22629e-16+0.00163171j -5.75954e-17+0.0056214j -3.06403e-17+0.00487974j 4.10426e-16+0.00350148j -2.02291e-16-0.00643807j 1.96241e-16+0.0178866j 5.96199e-16+0.0151186j -2.67837e-19+0.0132821j 3.13499e-17-0.0110535j 3.86846e-17-0.011409j 2.79307e-17+0.00576268j 2.60745e-17+0.00519678j -5.57862e-17+0.00459988j 1.84774e-17+0.000520482j 7.67221e-17-0.00892995j 2.34171e-17+0.00819661j 3.38133e-17-0.0120886j 2.94366e-17-0.0148487j 1.67071e-17-0.00270422j 2.23132e-17-0.0138404j -4.32291e-15-0.0156423j -9.04399e-16-0.0123204j 
-1.38073e-16-0.0179859j 8.67344e-16+0.0194222j 7.35642e-17-0.016468j 9.65346e-19-0.0193026j 2.30091e-17-0.00712098j 3.71693e-17-0.00728897j -1.25586e-17+0.00535634j -4.30634e-17+0.0157787j -5.27082e-17+0.0108002j 1.32135e-16-0.0212481j 1.07588e-16-0.00667471j -1.20954e-16+0.00428435j 4.77391e-17+0.00887909j 6.85708e-18-0.00869063j 4.15845e-16+0.00413028j -5.40003e-15-0.0156413j 2.0129e-16-0.0120472j 3.28792e-17-0.0073754j 2.16451e-16-0.0174309j -1.52224e-16-0.0143654j -2.02291e-17-0.0192895j 4.25262e-17-0.00239637j 2.26874e-15-0.021057j 2.00898e-16+0.000104723j 6.16974e-17+0.0169692j -5.20678e-17+0.0154778j 2.29441e-17-0.00158249j 2.6651e-17+0.0109659j 8.52401e-15-0.00272164j 1.67e-16-0.00668621j -3.08875e-16+0.029436j -1.38313e-16+0.00187084j -2.80998e-16+0.0113019j -4.20085e-17-0.00208797j 3.54288e-16-0.0205089j 1.72345e-16-2.52283e-05j 1.15932e-16+0.00227944j -1.42897e-16-0.00135815j 1.03932e-16-0.00164234j -2.4841e-16-0.0229632j 1.25665e-16+0.00365652j 8.60659e-17-0.0119792j 1.46914e-18-0.00225461j -4.10152e-17-0.00730489j -6.93841e-17-0.0142564j -1.3082e-17-0.00359309j -3.88346e-19-0.00682592j 1.52395e-17-0.00102506j -3.81863e-17+0.0145005j -2.60472e-17+0.00675258j -5.77126e-17+0.0136139j -3.99811e-17+0.00954634j 8.05216e-17+0.0072512j -3.29195e-17+0.0252517j -3.31693e-15-0.0172668j -7.56282e-16+0.0141843j 
-2.87374e-16+0.0132994j 1.53656e-15+0.0420705j 7.08006e-17+0.0292407j -3.32419e-17-0.00383007j -1.7864e-17-0.00203415j 3.24806e-17+0.0104237j 7.2003e-17+0.021722j -9.17444e-18+0.00998555j -1.11734e-17-0.00541565j -6.196e-18+0.000727691j -8.58658e-17+0.00349851j 1.54776e-16-0.0161505j 1.35457e-16+0.0195858j 5.08402e-18-0.0105478j 5.64987e-16-0.00400496j -7.46e-15-0.0216877j 6.82556e-17+0.0184063j -8.53739e-17+0.0112866j -1.5041e-16+0.00919348j -2.49138e-17-0.00763115j -1.14157e-16-0.00261911j 2.51558e-16+0.032714j 2.48787e-16-0.00140364j 2.80482e-16-0.00635911j 1.76385e-16+0.00933516j -3.32895e-16-0.0354104j 9.90809e-17+0.00567087j -1.65438e-15-0.00669558j -8.79278e-14+0.0262749j -3.03479e-16+0.00458094j 9.65955e-18-0.00959311j -3.99517e-17+0.0234378j 1.77276e-16-0.00229938j 2.30063e-17-0.0253445j -1.36536e-17-0.0122432j 1.90154e-17+0.0192083j -5.26079e-17+0.0222519j -7.52943e-17-0.000721587j -9.05237e-17-0.000244938j 1.81891e-16+0.0169938j 1.22319e-15+0.0324385j 1.25456e-16+0.00719483j 5.53893e-17-0.0125156j 5.80206e-17-0.0222341j 2.26363e-17+0.00228218j 1.77477e-17+0.00109987j 5.5257e-17-0.0150526j -2.03735e-17+0.00438882j 6.84061e-18+0.0103461j 3.63202e-17+0.0197998j -1.55812e-17-0.0083199j -2.95754e-17-0.019582j 6.16281e-17+0.0147966j 2.07116e-18-0.011133j -1.12625e-14-0.0443177j -2.42617e-15-0.0174443j 
2.06701e-16+0.0151652j -1.05533e-15-0.0234901j -1.73318e-17+0.0156769j -9.0275e-18+0.00175149j 1.84856e-17+0.0235438j -3.19241e-17+0.0100679j -6.43591e-17-0.0176593j -1.57029e-17+0.00228024j 1.96366e-17+0.00336159j -2.78537e-18-0.00129256j -7.24456e-17-0.00580114j 1.13948e-16-0.0105696j 4.47035e-17-0.0033217j -2.57155e-17-0.00237874j -6.48009e-16-0.0119571j 8.13993e-15+0.0228834j -1.97304e-16+0.0241949j 1.25794e-16-0.000386874j 1.00982e-16-0.0109585j 1.2424e-16+0.0174909j 5.08861e-17+0.0100325j -3.54791e-17-0.00374933j -2.37249e-15+0.0229815j 3.49639e-16-0.00911679j -8.99095e-17-0.0103171j 7.92237e-17-0.0101124j -6.80303e-17-0.00618735j 1.74365e-15+0.0140809j 9.74244e-14-0.0291364j 7.34363e-16-0.0179703j 2.75004e-16-0.0355925j 2.14842e-17+0.00153788j -2.33774e-17+0.0045971j 1.70249e-16-0.0116335j -4.07989e-16+0.022856j -1.62128e-16+0.00525839j -1.47561e-16+0.00226259j -9.76455e-16-0.00888529j 3.42392e-16+0.0159119j 1.3853e-16+0.0148576j -5.30293e-16-0.013155j -6.88226e-17-0.00411367j 6.24141e-18+0.00350795j 1.13833e-17-0.00186438j 3.87982e-17+0.00988048j 2.41346e-17+0.001934j 5.50198e-17-0.020369j -2.5098e-17+0.0101541j -3.32587e-18+0.00093209j -2.79132e-17-0.0207356j 2.34439e-17-0.00620302j 3.11795e-17+0.00314256j -2.48589e-17+0.00840147j -6.14126e-18-0.0249554j 4.15172e-15+0.0208401j 8.86922e-16-0.0151475j 
-2.63848e-16+0.0150581j 1.41217e-15+0.0390407j 6.95378e-17+0.0319874j -3.6489e-17-0.00591896j -8.84196e-18-0.00109028j 3.40045e-17+0.0115368j 4.93828e-17+0.0277507j -2.63442e-17+0.016651j 3.48411e-18-0.00601563j -2.99123e-17+0.00580546j -1.02769e-16+0.00190263j 1.59985e-16-0.0157216j 1.5337e-16+0.00367983j -4.12745e-18-0.00621447j 6.18022e-16-0.00109686j -8.00925e-15-0.0230178j 2.68968e-17+0.0226856j -2.84197e-17+0.0117364j -6.43635e-17+0.000857083j -3.01671e-17-0.00696971j -1.45625e-16-0.00481779j 2.5353e-16+0.0333578j 3.38372e-16-0.00193933j 3.30945e-17-0.00280825j 2.2653e-16+0.00622199j -3.50966e-16-0.0474395j 8.03212e-17+0.0124382j -1.55628e-15+0.0013909j -8.11156e-14+0.0241168j -2.58829e-16+0.00420466j -3.65129e-17-0.00393078j -9.16503e-17+0.021041j 2.99024e-16-0.00416004j 8.98834e-17-0.0356907j -3.46146e-17-0.0114964j 2.83807e-17+0.0221183j -8.12396e-17+0.0264142j -3.11483e-16-0.00295564j -3.24663e-17+0.0033781j 1.87232e-16+0.019127j 1.29112e-15+0.0347449j 9.78697e-17+0.00814873j -2.35246e-17-0.00323922j -3.71719e-17-0.00830034j 2.79352e-17+0.00619686j 1.59723e-17-0.00219404j 4.02771e-17-0.0140834j -1.91455e-17+0.00298877j -2.16359e-17+0.015966j 8.8875e-18+0.0248503j -1.39051e-17-0.00783482j -1.97638e-17-0.0225035j 6.29541e-17+0.0176264j 8.28365e-18-0.0134243j -1.07602e-14-0.041796j -2.31609e-15-0.0191045j 
2.30569e-16-0.00275245j -9.71464e-16-0.02902j 1.76468e-17-0.0101036j 2.59345e-17+0.000956064j -2.30812e-17+0.00780304j -1.557e-17-0.00370169j 1.14803e-17-0.0111134j -1.75413e-17-0.000298078j -9.00248e-18+0.00442591j 1.72868e-17+0.00402852j 3.90116e-17-0.00764122j -8.87668e-17+0.0056953j 2.66549e-17-0.0213233j -4.08831e-17+0.00422764j -3.63729e-16+0.0034119j 5.08656e-15+0.0152107j -1.00645e-16-0.000560044j 1.88707e-16-0.00381372j 2.45972e-16-0.0164969j 3.93772e-18+0.0103082j 4.62504e-17+0.00153534j -4.31766e-17-0.0182305j -1.08457e-15+0.0100722j -3.34922e-16+0.00530208j -3.3239e-17-0.00829222j 1.11198e-16+0.00846687j -3.57737e-17+0.00432103j 1.19775e-15+0.0109933j 7.04833e-14-0.0210722j 4.60137e-16-0.0109718j 4.35318e-17-0.000187432j 4.65465e-17-0.014031j -6.61989e-17+0.00276967j 2.13992e-17+0.000192136j -1.27508e-16+0.0110343j 1.89928e-17-0.00807733j 9.68172e-19-0.00669958j 7.75356e-18+0.00201438j -1.58755e-17+0.00707296j -2.17868e-17-0.00296338j -6.50165e-16-0.0187541j -5.61932e-17-0.00619451j -1.28632e-16+0.016099j -1.58942e-16+0.0183524j -1.49828e-17+0.00412776j -7.60229e-18-0.00575084j -2.10623e-17+0.00277147j -2.29643e-18-0.00229607j -2.75677e-17-0.00280489j 3.60405e-17-0.0122845j -7.10148e-18+0.00427039j -3.6554e-17+0.00791564j -3.45309e-17-0.00478988j -3.54234e-18-0.00112118j 6.91222e-15+0.0290098j 1.49085e-15+0.00501861j 
2.40456e-16-0.0188876j 2.65256e-16+0.011273j 4.53339e-16-0.0245223j -1.28068e-16+0.00416988j 4.3222e-16-0.0176095j 3.68373e-16-0.0173705j -9.3663e-17+0.00233396j 4.042e-16-0.014992j -1.28357e-17+0.00279951j -1.30604e-16+0.00240136j 1.82722e-16-0.00642453j -3.99676e-16+0.0105563j -4.11242e-16+0.0165312j 2.85086e-16-0.0131185j 4.59251e-17+0.0158447j -4.22842e-15-0.0122256j 7.80688e-16-0.0277389j -1.84437e-16+0.00465879j -3.2737e-16+0.00509879j 5.61092e-17-0.00501293j 1.19705e-16-0.00568553j 7.42983e-17-0.00936751j -1.39078e-16+0.000508025j -8.18052e-16+0.0121072j -2.28545e-16+0.012089j -5.22487e-16+0.0329684j -2.2347e-16+0.0120057j -7.44853e-16-0.0258555j -7.96467e-14+0.0239224j -5.03963e-16-0.000583383j -5.6486e-16+0.0205037j 2.03088e-16-0.00751089j -2.70287e-16+0.00433069j -6.34576e-16+0.0167907j 9.12424e-16-0.0192578j 5.86415e-16-0.0182557j 2.0225e-16-0.00738437j 1.69299e-15+0.0308418j -5.56548e-16-0.0146681j 5.72434e-17-0.0135881j -1.86725e-16-0.00229314j 1.39177e-16-0.0064321j 6.3906e-17-0.000482291j 4.1827e-16-0.0161782j 1.02858e-16-0.0106528j 2.095e-16-0.0108464j -5.22344e-16+0.0177044j 3.64795e-16-0.0137636j 4.49275e-16-0.0175731j -1.24373e-16+0.0034404j -1.68364e-16+0.00959436j 5.71886e-17+0.00107867j 4.26115e-16-0.0192874j -5.38635e-16+0.026087j -7.81223e-16-0.00886157j -6.33137e-16+0.0205156j 
