-0.00335473+0.00497721j 0.0106853+0.000900897j -0.00894407-0.00179256j 0.0056484-0.00489167j 0.00462985+0.00321139j 0.013985+0.00220597j -0.00702221+0.00292747j 0.0129281-0.00330515j -0.00903617+0.000276376j -0.00963415-0.000255315j 0.00592904-0.00857712j -0.00773975+0.00209213j -0.00796209-0.00365105j 0.00292901-0.00416411j -0.00622393+0.000123333j -0.0105781+0.00464247j -0.0229539-0.000338506j -0.0271223+0.0115874j -0.0413824-0.0104794j 0.0730896-0.0017036j -0.126385+0.0129644j -0.210301-0.0193255j 
-0.0106334-0.000907798j -0.00343109+0.00512228j 0.00477647-0.0038851j 0.012756+0.00159681j -0.00487124+0.00193441j -0.00567211+0.00560926j -0.00842517-0.00117938j 0.00679486+0.00325227j 0.00191728-0.00258577j 0.00347045-0.00344199j 0.0144941+0.00121027j -0.00163469-0.00268608j 0.00767686-0.00278717j 0.0124134+0.00408396j -0.0013301+0.000232698j -0.00348794-0.00403428j 0.0273032-0.0117711j -0.0119281+0.00270313j -0.0824172+0.00594651j -0.0570508-0.0166118j -0.207854-0.0197792j 0.127349-0.0117581j 
0.0095322-0.00167512j -0.00213164-0.00406776j 0.00236981+0.00245623j -0.00885377+0.00230057j -0.00100884-0.000681495j -0.0047572-0.00378879j 0.0147945-0.00227371j -0.0104312+0.00331404j -0.00472607-0.00180038j 0.00275286+0.00245127j 0.00450984+0.00748047j 0.003039+7.2918e-05j 0.00610878+0.00576113j 0.0475064-0.00561105j 0.047934-0.00329866j 0.023706+0.00402714j 0.042451-0.0112059j -0.0447195-0.00651408j 0.0601962-0.00595274j -0.225104-0.0208819j 0.0239033-0.00685017j 0.021889+0.00857933j 
0.00390899+0.00470115j 0.0114468-0.00303325j -0.00231256+0.0032659j -0.0123557+0.0020946j -0.0171446+0.00121041j -0.00194648-0.000486561j 0.0123424+0.00457152j -0.0145247+0.0034282j 0.00415004-0.011017j -0.0221776+0.0055853j 0.0196197+0.00403513j -0.0125431+0.00685842j -0.00429552+0.00371967j -0.00106667-0.00448594j 0.0430779-0.00474533j 0.0872822-0.00151644j -0.0972759-0.000478691j -0.0842609+0.00751244j 0.18036+0.00291997j -0.0204011-0.0107658j 0.0119839+0.00516512j -0.0114141+0.00496043j 
-0.00313212+0.000667585j 0.000833971+0.00139924j 0.000354302-0.00264149j 0.00903429-0.000919495j 0.000858077+0.0044107j 0.00695005+0.000612442j 0.00877396-0.000535427j 0.00719419+0.000194597j -0.00643475+0.000185689j 0.00745334-0.00450569j 0.00226079-0.00210506j -0.0451872+0.00794783j -0.0261639+0.00924028j 0.0250907-0.000990613j 0.00712772-0.00587623j -0.0584715+0.00596214j -0.117626-0.00549479j 0.12493+0.00708736j 0.00349452-0.00134829j 0.000902469+0.00238413j -0.00605856+0.0021125j -0.00561321-0.0026315j 
0.00972096+0.00140627j 0.00480529-0.00491077j -0.00427673+0.00112905j -0.00708849-0.00215301j 0.0196805+0.000690518j 0.00853578-0.0104024j 0.0190994-0.00619741j -0.0277275-0.00127659j 0.0183523+0.00221038j 0.0470872-0.00661861j -0.060287+0.00530443j 0.0622244-0.00839111j 0.0293343-0.00357644j 0.0799259-0.000748592j 0.117913+0.000124388j 0.080386+0.00864809j 0.105766+0.0121466j 0.0690524-0.00584397j 0.00372537-0.00437549j -0.0209531-0.00236413j 0.0157704-0.000131054j 0.00244643+0.00692527j 
0.00112876-0.00371936j -0.00799381+0.000232259j 0.00650249-0.00328004j 0.0100637+0.000564542j 0.00398651+0.0018839j 0.000547421+0.000550602j 0.00504952+0.00179138j 0.0185246-0.00371962j 0.00636447+0.00281525j 0.066605-0.00539075j -0.0664314+0.00190889j -0.0953155-0.000465643j 0.099838+0.00337414j 0.0666209+0.00693359j -0.0469536-0.0113958j -0.0809434+0.00542664j 0.00617258-0.00405247j 0.0152963-0.000485145j -0.0146108-0.00156979j 9.32214e-06+0.0034819j -0.00311384-0.0026541j 0.00516056-0.00118139j 
-0.00259454+0.00243102j 0.00547868+0.000464134j -0.00118872+0.0079875j -0.0206478+0.00458463j -0.0315524-0.00596225j -0.0313052-0.000263269j 0.0179679+0.00104603j -0.054727+0.000253085j 0.086127-0.0120384j -0.0223198-0.00162824j 0.152434+7.28326e-05j 0.0190761+7.43748e-05j 0.0204425-0.00167216j 0.0883014+0.011795j 0.0549497-0.000182804j 0.0199695-0.00101338j -0.0325852+0.000403949j -0.0304164+0.00620703j 0.0228272+0.00452219j -0.00169675-0.00810572j 0.00525005-0.000488964j 0.0029917+0.00245469j 
-0.00500497-0.00110701j -0.00275189+0.00264327j -0.000601837-0.0034314j 0.0137991-0.00165471j 0.0138836+0.000559394j 0.00798993+0.00396414j -0.0796146-0.00529949j 0.0446805-0.0112685j 0.0662315-0.00706917j -0.100242+0.00345634j -0.0689952-0.00191616j -0.0952681+0.000515838j -0.0659095-0.00544993j 0.00588672-0.00288148j -0.0191475-0.00363368j 0.00500275-0.00181383j 0.00152573-0.000518474j 0.00307662-0.0018979j -0.0100812+0.000590742j 0.00715389+0.00327416j -0.00824065-0.00016311j -0.00157243-0.00375421j 
0.00148198-0.00685098j -0.015156+4.86495e-05j 0.0201958-0.00251322j 0.00539673+0.00434988j -0.0697706-0.00540468j -0.100962+0.0122284j -0.0812424+0.00887267j 0.121329-0.000128873j -0.0784523-0.000749566j 0.0281269+0.00352179j 0.0605898+0.00520728j -0.0633441-0.0081494j 0.0458825+0.00657975j -0.0203248+0.00222266j -0.028866+0.00128378j -0.0201345-0.00615815j -0.0108822-0.0105734j -0.0197784+0.0009727j -0.00699484+0.00227022j 0.0048347+0.00114819j -0.00557198-0.00491511j 0.00997405-0.00158142j 
0.00487151-0.00264091j -0.00624492-0.0020426j 0.0010316-0.00233979j -0.00477066-0.0012277j 0.122125-0.00716652j -0.119963+0.00570975j -0.0606696-0.00574076j -0.00654531-0.00594044j 0.0256214+0.000762466j 0.0245581+0.00931937j 0.00396455+0.00208656j -0.046245-0.00807458j -0.00857885-0.00461663j -0.00679405-4.09927e-05j -0.00721004+0.000378042j 0.00855307+0.000338787j 0.00689317-0.000757496j 0.000168402-0.00444285j -0.00964463-0.000783889j 0.000610083+0.00265316j 0.000827696-0.00144578j 0.00333387+0.000638019j 
