-0.283468-0.0503186j -0.824407+0.00868822j 0.0285712-0.0226373j -0.0540057-0.0499546j -0.00851563-0.0194565j -0.140304-0.0191045j 0.0874648+0.0286047j 0.0184999+0.0132141j -0.0039024-0.0211928j -0.0627438-0.039375j -0.0250407+0.0312398j 0.0764175-0.000134786j 0.0918831-0.0206762j -0.0412454-0.00394394j 0.020351+0.00183306j 0.00124911+0.0259573j -0.0531662+0.0222192j 0.0339653-0.0191899j 0.0615404-0.00301305j 0.0287669-0.00646041j 0.043561-0.0571118j -0.00146274+0.0191501j 0.0254796-0.0163436j 0.0287166+0.0165449j 0.0107759-0.0316954j -0.0285632+0.00107545j -0.00240926-0.00122254j 0.0175075+0.0057489j -0.014126-0.0329608j -0.00412765+0.0103941j -0.000126027+0.0105135j -0.0225189+0.00633617j -0.00858055+0.0154036j 0.0105792+0.00382111j -0.0155902+0.00490456j 0.0458439-0.0380048j 0.0457992-0.0330091j -0.0247484-0.0444601j -0.0611796+0.0346357j 0.00506243-0.0246198j 
-0.116814+0.115589j -0.468572-0.02514j -0.0598636+0.0161918j 0.305237+0.10122j -0.0819614+0.025619j 0.035706+0.0275003j -0.0513749-0.0611167j -0.103714+0.0565797j 0.0528096-0.0389382j 0.0875078+0.0590625j 0.0296398-0.0567286j -0.00465877+0.00906904j -0.113454+0.0468689j 0.0196487+0.000538546j -0.0254274+0.0317629j 0.0540407-0.0515502j 0.108922-0.0421523j -0.0789915+0.0385544j -0.0854446-0.0126098j 0.0472537-0.0122016j -0.0411699+0.0822743j -0.0118811-0.0052287j -0.0240511+0.0120496j -0.000347146-0.0223155j -0.0552155+0.0475372j -0.0282898+0.000162432j -0.00650675-0.00795505j -0.0184248-0.00838347j 0.026093+0.042036j 0.0188425-0.0155341j -0.00499108+0.0166075j 0.00317092-0.00204863j -0.0276313-0.0238247j -0.0118211-0.0249579j -0.00186302-0.00515624j -0.02846+0.0251784j -0.0938593+0.0278749j -0.0247558+0.0634758j 0.090005-0.0936972j 0.0179351+0.0645106j 
0.118419-0.151976j -0.0812729-0.0333355j -0.0351208+0.0883932j 0.198141-0.420287j 0.0159651+0.0276722j 0.0272171-0.094102j -0.071437+0.118546j 0.0534017+0.138821j -0.0534808-0.0644432j 0.067314-0.0705024j 0.0569538-0.00197511j -0.00856052+0.0958121j -0.00954468+0.0730406j 0.0828858-0.051629j -0.00535053+0.12167j -0.0393599-0.0196725j 0.00613696-0.100202j -0.0615799+0.176634j -0.0521581+0.0754469j -0.0491124+6.27371e-05j 0.0284894+0.0348949j 0.0191404+0.0159192j 0.0450899-0.0102813j -0.071892+0.0599056j 0.0450371+0.0335724j 0.00480193-0.00754569j 0.0115344-0.00780593j -0.00459617+0.0547495j 0.0177361-0.0471012j -0.0175817+0.0218067j 0.00179214-0.0162785j 0.0110697+0.00242533j -0.000558883+0.0526085j -0.0295654-0.00123531j 0.00357034-0.0268354j 0.00290226+0.0497077j -0.026931+0.116768j 0.117546-0.0553629j -0.00514545-0.00647332j -0.0395651+0.0848351j 
0.141283+0.112066j -0.114207+0.0312152j -0.00481597+0.0273525j 0.27202+0.363879j 0.0217229-0.151361j 0.0754467+0.179932j -0.0311065+0.0583848j -0.0535858-0.106025j -0.10176-0.0752693j 0.0024377-0.0476496j -0.014004+0.0184088j 0.0228113-0.0360739j 0.111063+0.0281136j 0.0453795-0.00292379j 0.00130996+0.0438205j -0.0426321+0.0433722j -0.0542395-0.00152473j 0.0668338-0.0188419j 0.0240534+0.0040149j -0.0339371+0.00185252j 0.0709525-0.0229588j 0.00465854-0.00822702j 0.0335486-0.00399763j -0.0817514-0.0150912j 0.0703375-0.0151627j -0.00512225+0.00203072j -0.0126401-0.00539193j -0.00039046-0.0084597j -0.00816628-0.0762622j -0.0264898+0.00831551j -0.0239346-0.0120214j -0.0027863+0.0171398j -0.013914+0.0492986j -0.0359862+0.0362621j 0.014294+0.0392871j 0.0103426+0.0170297j 0.0563991+0.00768855j 0.122835-0.0553212j -0.0530458+0.0718184j -0.049297-0.0425028j 
-0.0722799+0.0696625j 0.0357544-0.00698934j -0.0300921+0.0885816j -0.381613+0.143016j 0.124925-0.0612603j -0.220179+0.166523j -0.0769316+0.106041j 0.122353-0.013932j 0.0926366-0.0767334j 0.0286259-0.0287743j 0.0177635+0.0279617j 0.0120548+0.0369708j -0.0471994+0.0775147j 0.0283719-0.0158895j 0.0132001+0.0860427j -0.0633216+0.00513286j 0.0123972-0.105085j -0.0601278+0.122777j -0.0347164+0.0473338j -0.0386946+0.0111828j 0.0305749+0.0196093j -0.00777706+0.00833765j 0.0785136-0.0296279j -0.0286287+0.0144459j 0.00298904+0.05712j 0.0095703-0.00540026j -0.00385165+0.0159406j -0.00785068+0.00700726j 0.00348621-0.0303533j -0.0116636+0.0205709j 0.0231239-0.015166j -0.00924448+0.0362501j -0.0223781+0.0103291j -0.0381678+0.0169212j -0.024034-0.00204535j 0.007618+0.0221298j -0.0379634+0.0588842j 0.0199018+0.00722658j 0.00744576-0.0432316j 0.00960273+0.0844858j 
-0.0121883-0.0953615j -0.0983143+0.0138351j -0.00977312+0.0132475j -0.0420729-0.0531735j -0.0497421+0.123793j -0.156975-0.0196855j -0.0818178-0.0143101j -0.212137-0.138945j -0.111068+0.242282j -2.67785e-05+0.0153423j 0.0287102+0.0193236j -0.00918662-0.000424912j 0.0344749-0.0543241j 0.161924-0.119636j -0.00726336-0.0578235j 0.118974-0.0221514j -0.0163378-0.00673457j 0.0376297-0.0494681j 0.0418028-0.0174723j -0.100664+0.0743224j -0.0141363+0.00418456j -0.00122764+0.0196362j 0.00832016-0.0111191j -0.00996094+0.012938j -0.0687243-0.0468166j -0.0144718-0.000649466j 0.00142182-0.0115735j -0.0134045-0.0030004j -0.0302583+0.0191459j 0.0381233-0.0162641j -0.0273614-0.027444j 0.0391783-0.0178095j 0.00729672+0.00374577j -0.0129212-0.0220997j 0.0283839+0.0082836j -0.00236467+0.0314981j -0.0013117-0.00449608j 0.0256019-0.0623272j -0.00243953+0.0368995j -0.00399423-0.0158488j 
-0.00663822-0.0809948j 0.0781661-0.0177547j 0.137147-0.0548164j 0.0701307+0.040641j 0.0614034+0.0388054j 0.215029+0.210845j 0.201604+0.163533j -0.112828+0.200089j 0.164924+0.0791821j -0.156536-0.0887097j 0.0144487+0.0416608j -0.0618331+0.106118j 0.00202464-0.0236812j -0.0310725-0.140724j 0.0796224+0.0494777j 0.0627099-0.0927269j -0.0788209-0.00926975j 0.00193347+0.0136412j 0.0980622-0.0206221j 0.0612076+0.075801j 0.0389833-0.0637468j -0.0551783-0.0165225j -0.0251087-0.0507015j 0.0206461+0.0264021j -0.0358565+0.0456224j 0.0256877-0.0115699j -0.000135722-0.00702981j 0.0189188+0.0439266j -0.0251019-0.0112716j 0.00528629-0.0226322j 0.0261753-0.00146731j -0.00494694-0.0128132j 0.00721786-0.0119627j 0.0218297+0.0179877j 0.00863233-0.0602737j 0.0834778-0.0973924j -0.00381503+0.0394022j -0.0198005-0.0234265j -0.00474912+0.0523814j 0.0264313+0.0169162j 
-0.0192562-0.0133818j 0.0288867+0.0573739j -0.0209104-0.075992j -0.0301197-0.00987549j -0.126682-0.112284j 0.122371-0.139729j 0.227104-0.11548j 0.218263-0.187694j -0.193987-0.145795j -0.16682+0.0762233j 0.0367089+0.00188017j 0.0413939+0.0700978j -0.0277608-0.000344632j 0.0428932+0.0271369j 0.149262-0.00408916j 0.0332709+0.048033j 0.000889493-0.023275j 0.0272152+0.14149j -0.0288138+0.0153643j -0.00854177-0.00484959j -0.0354453-0.00929574j 0.0280469+0.0147584j -0.0106333-0.0492662j 0.0654176+0.0190945j 0.0800378-0.0340696j 0.0149675+0.00517675j -0.01102+0.00322862j 0.0397697-0.0359093j -0.000318731+0.0173524j 0.0142563+0.0176073j 0.000941659+0.0169554j -0.0192863+0.0311451j 0.045279+0.00827922j 0.00984826-0.0197671j -0.0229707+0.0343423j -0.00340146-0.0437213j 0.0213766+0.0118854j 0.00849725-0.00710653j 0.0354055+0.0127732j 0.0527092+0.0416226j 
-0.0667988-0.0844307j 0.00620644+0.00261257j -0.0109113+0.0367836j -0.0721221-0.0381491j -0.0857397+0.0772688j -0.0464744+0.1264j 0.065576+0.109705j -0.166216-0.151859j -0.136462+0.1687j -0.0821451-0.0253694j 0.0243817-0.0490393j -0.044315-0.0489917j -0.0330357+0.0230645j 0.0622544+0.0120832j 0.0736114+0.0713284j 0.109764+0.0831233j -0.00515087-0.100603j 0.0474031+0.0496421j -0.00205633+0.0456079j -0.0643595+0.053554j 0.0249881+0.0422879j -0.0101084-0.00474308j 0.0140415+0.00222043j 0.00947832+0.0358283j -0.0287363-0.034296j -0.00507729-0.0026818j -0.0030624-0.0116964j -0.0101306+0.00173027j -0.0134559-0.00804134j -0.000548201+0.0552876j 0.00149452-0.0237644j -0.00664203+0.00457899j -0.00160262+0.0128885j -0.0126031-0.00419559j 0.0169199-0.00233502j 0.00673752+0.0221814j 0.00116219+0.00904799j 0.00862348-0.0336938j -0.015094-0.000769403j 0.028973+0.0176476j 
0.0219337-0.121297j 0.0124109+0.0519775j 0.090032+0.0478721j 0.111354+0.0408785j -0.228439-0.0573859j -0.0565602+0.101573j -0.0396013+0.228533j 0.0681094-0.21674j -0.165218-0.0678544j 0.0381216-0.241416j 0.0645426-0.0258925j 0.00928509-0.000424968j -0.096498-0.0305726j -0.0294593-0.0468985j -0.0347581+0.0376266j 0.0278781+0.0830743j 0.0483261-0.0539251j -0.0594526+0.0910239j 0.0451788+0.0366117j -0.0430539+0.00109567j -0.0415045-0.00199202j -0.0443772-0.00915653j -0.0325969+0.0171501j 0.0819972-0.00279109j -0.0402552+0.0283262j -0.00339035-0.00898983j -0.0119508-0.00487599j 0.00935183-0.0173021j -0.0187718+0.0376173j -0.00593786+0.00172249j 0.0188261-0.00553735j -0.00921613-0.0264684j 0.012405-0.025754j 0.0276129-0.0283778j -0.0113704+0.000743272j 0.0429731-0.0407937j -0.0635087-0.0215194j -0.0829109+0.0233144j 0.0508128-0.0724183j 0.0634482+0.0985147j 
-0.00890219-0.00535042j -0.01607-0.00459208j -0.00979575-0.0551111j -0.0526898-0.0459263j 0.0162662-0.0434877j 0.129215-0.0667717j 0.196577-0.0207878j 0.0870208+0.00947352j -0.023218-0.0250047j -0.16332-0.025048j -0.0129608-0.0920104j 0.00631408-0.0250052j -0.0139402-0.0058123j 0.218072-0.0771572j 0.0689442+0.013465j 0.0818376-0.0280325j -0.016521-0.000321181j -0.011129-0.0552725j -0.00390086-0.0251268j -0.0517983+0.0141254j -0.00985929+0.0255826j 0.0194617-0.0062932j 0.0300943+0.0204466j -0.0198768-0.0291924j 0.0705318-0.0443178j 0.00724208+0.0045724j 0.00630802+0.00843744j 0.00780747+0.00101908j -0.00325758+0.0113241j 0.0629259-0.00221593j -0.00437563+0.0330916j 0.0275122+0.0139568j 0.0128068-0.00143878j -0.0188307-0.00286306j 0.00196617+0.00952458j -0.0303824+0.0184747j -0.0532996+0.0275733j 0.0541852-0.0181023j 0.059132+0.0100292j 0.0109438+0.0722843j 
