-0.070726+0.00448849j -0.0667288-0.0517184j -0.0319071+0.0742924j -0.160218-0.129435j -0.164195-0.0179578j -0.0222168+0.103275j -0.00773785+0.0749608j 0.143061-0.0450821j -0.11357-0.00430475j -0.0311158-0.000513268j 0.0992471+0.0959934j 0.0270737+0.0831961j -0.0514057+0.0160982j 0.0206914+0.082893j 0.0370857+0.0268728j 0.180903-0.00872116j 0.0159553-0.105287j 0.110359+0.176789j 0.245298+0.173559j -0.117111-0.193398j 0.0426514+0.035889j -0.0643817+0.0348839j 
0.0342103+0.0221014j 0.00709628+0.0266219j -0.00235318-0.0681933j 0.117408+0.00822281j -0.00542408-0.0956182j 0.0281527-0.0550493j -0.0108227-0.00814122j 0.095418-0.0455653j -0.0491691+0.0169402j 0.0711409+0.0855026j -0.00878347-0.0473365j -0.15507-0.0552975j -0.014908-0.158948j -0.0887628+0.0328723j -0.115422-0.137167j -0.0113212+0.186942j -0.00901256-0.0158087j 0.0675536+0.130862j -0.141295-0.0304433j 0.107246+0.0190523j -0.000231318-0.083268j 0.0724531+0.000505905j 
-0.124097-0.0935744j -0.0289634+0.166601j -0.0462453+0.0450582j 0.0575577+0.0421255j 0.0767579+0.191343j -0.0490324+0.0167391j -0.0419117-0.185086j 0.187551-0.201074j 0.168193-0.0191605j -0.0428566+0.174314j -0.152589-0.321404j 0.156099+0.327177j 0.0102311-0.148603j -0.000301026-0.0672933j 0.0697897+0.0501642j 0.0713889-0.0180349j -0.0244333-0.0676789j 0.111495-0.0377193j 0.0830636+0.0716217j 0.053425-0.0379239j -0.0232763+0.0361044j 0.103545+0.0988057j 
-0.138431+0.013801j -0.19881+0.125487j -0.0580779+0.0582211j 0.0666631-0.0345777j -0.0630873+0.126289j 0.227065-0.205138j -0.0134717-0.195134j 0.249709-0.177052j -0.272266-0.307887j -0.240159+0.10425j 0.155796+0.0561946j 0.010888+0.0236135j -0.198105-0.0728643j -0.0362686+0.0209676j -0.0772833+0.00374744j 0.0141665+0.0236096j -0.0770738+0.0052352j 0.000167898-0.0601008j -0.0612979-0.0930057j -0.0215083+0.04801j 0.0274537+0.211706j -0.138059-0.0145422j 
0.0501948+0.0667763j 0.0282745+0.0181374j 0.0955793-0.023268j -0.0275377+0.0369441j -0.0275607-0.0163283j 0.238538+0.105702j 0.162959+0.130812j 0.0241484-0.164371j 0.0233533+0.175777j 0.0015718+0.0343517j 0.321405+0.0576881j -0.116694-0.00976896j -0.0347097+0.129553j -0.00491552+0.0385985j -0.18769-0.0526881j -0.028454-0.036588j 0.12816+0.0144513j -0.0210892+0.12404j 0.0212985+0.110465j -0.0197132+0.156814j -0.251152-0.0762959j -0.0129744-0.0159333j 
0.0925475+0.0418288j 0.00948193-0.120909j 0.0754811-0.00475368j -0.105177-0.00447827j -0.0229137-0.0615946j -0.08738-0.0431528j 0.0226481+0.0680684j -0.0476239+0.0723885j 0.060886+0.0727042j 0.161092-0.0414645j 0.0420291+0.0194953j 0.114897-0.0476214j 0.00888083-0.0837543j -0.0331735+0.137562j 0.00231779+0.0239502j 0.0457442+0.127405j -0.0916605+0.00195855j 0.132149+0.0615907j 0.0426488+0.0517607j -0.0807588-0.112528j 0.0559396-0.0144017j -0.0141902+0.0644137j 
0.0772109+0.022941j -0.0194747-0.0550597j 0.0154606-0.00788817j -0.0118538-0.0218679j -0.0628679-0.0541574j -0.0818733+0.018992j 0.0614427+0.0843295j 0.0560786+0.0438164j -0.0226899+0.0965567j 0.0832634-0.0638328j 0.0696181+0.0734628j -0.0706207-0.0187361j -0.0424809-0.0934334j -0.0988683-0.0140793j 0.0763732-0.0167278j 0.0555526+0.133939j -0.141161-0.0204336j 0.0708893-0.0489948j -0.00511513-0.144028j -0.0438334-0.167363j 0.106999+0.116429j -0.20858+0.0767329j 
-0.0797657-0.0443453j -0.0085165+0.00201057j -0.0314474-0.00961161j -0.0568195-0.0698292j -0.0578906-0.000412307j 0.00879438-0.0744001j -0.136024-0.073971j 0.0711114-0.0159923j -0.0643708-0.0160002j 0.0739248-0.0204078j -0.145455-0.0313641j 0.142013+0.0941239j 0.102328-0.0956674j 0.117646+0.0252041j -0.0213101-0.0457703j -0.0149745+0.0153861j 0.13763+0.127674j 0.139046+0.248549j 0.00548551+0.232974j -0.137992+0.054634j -0.158985-0.0623028j 0.056935-0.129741j 
0.122241-0.0552999j 0.14207-0.0575595j 0.0543448-0.0479789j 0.0184477-0.0223668j 0.0424411+0.051439j 0.0686917-0.165322j 0.147402-0.0272339j -0.164916-0.0422613j 0.198923-0.0234579j 0.144651-0.0533574j 0.192503+0.04843j 0.107891+0.0083212j -0.109142+0.11822j -0.197835+0.106591j -0.137798+0.103378j -0.000390261+0.0817352j -0.0571552-0.16785j 0.120696-0.0230095j -0.018065+0.0246703j 0.0172637+0.109298j -0.0827371+0.0709589j -0.153432+0.118154j 
0.072011+0.00780124j -0.0206083-0.0773539j -0.000858861+0.0373245j 0.0487225+0.011476j 0.0102462+0.0674603j 0.0167743-0.00617469j -0.112363-0.0291548j -0.00573804+0.0565812j -0.0543199+0.0312792j -0.0314475+0.0369678j -0.00970747+0.0491743j 0.0474218-0.0745206j 0.172138+0.0478265j -0.0759055+0.0575529j -0.310016-0.144806j 0.132847-0.274076j -0.0341415-0.101388j -0.10465-0.293852j -0.103947+0.151761j 0.160781+0.0916391j -0.0578305+0.0559106j -0.0381653-0.0702286j 
