-0.0115488+0.0139511j 0.00942212-0.003357j -0.00238481+0.00645454j 0.0146841-0.0104239j 0.00620301-0.00574353j 0.00761539-0.00152721j 0.00906024-0.000683844j -0.00192727+0.00109089j -0.00359205+0.00250267j -0.00956385+0.00763892j 0.00707253-0.00115425j -0.00952694-0.000539064j 0.0165947-0.01109j -0.00970521+0.000965086j -0.00651887+0.00634736j 0.00887518-0.00524755j 0.00324014-0.000621341j -0.0101169+0.000567861j -0.000391408-0.00597243j 0.00721032-0.00466512j 0.00603984-0.00362139j 0.00320687-0.00494015j -0.00364602-0.00362876j -0.000325648-0.00878429j 0.000629809+0.00664829j -0.00750333-0.00575654j 0.00604415+0.0194317j -0.0161875-0.00523935j -0.00719888-0.0204004j -0.0130854+0.00533051j -0.0059442-0.0387175j -0.0393559-0.00382954j -0.0056288+0.00716876j -0.0143331-0.00849207j -0.00107515-0.00182243j -0.0021465-0.00511071j -0.00269931+0.00382473j 0.00618989+0.00367565j -0.00114941-0.00182024j 0.0031705-0.000425456j -0.00162207-0.00113634j 0.00125472+0.00593263j -0.00479981-0.00984166j -0.00784979-0.0127461j 0.00260438+0.00555706j -0.00285291-0.0050851j -0.00769605-0.00655609j -0.00196587-0.0094441j 0.00242444+0.00720246j -0.00717101-0.00800076j 0.00329202+0.00740265j -0.0013058-0.00530309j -9.56895e-05+0.00371587j 0.0019461-0.00908396j -0.00532285-0.00475454j -0.000710922-0.00595311j -0.00269914+0.00267238j 0.00436592-0.0134878j -0.000519906-0.0020365j 0.00150739-0.00365138j -0.0057677-0.00204818j -0.00898707-0.000848576j -0.0095135+0.0145989j -0.00468153-0.00367984j 0.00435765-0.00163963j -0.00312993-0.00470393j 0.000708784+0.00348225j 0.00173142+0.00701746j 0.0018199+0.000710442j -0.00443666+0.00832413j 0.0204188+0.0181717j 0.00935241-0.0348935j 
-0.00916794+0.00787132j -0.00395457+0.00874804j 0.00812149-0.00240359j -0.00924873+0.00200916j -0.0148726+0.00571667j 0.00812439-0.0022685j 0.00514253-0.00716502j 0.0117782-0.00845732j 0.00862914-0.00307627j -0.00292984+0.00468273j 0.00732839-0.00285899j 0.000989365-0.00425955j -0.00556306+0.000783194j -0.00974367+0.00286119j 0.00649884-0.000269694j 0.0180729+0.0049829j -0.0167582-0.00318221j 0.00381906-0.00894385j -0.00361561+0.00333963j -0.00357122-0.0014234j 0.0171517-0.00229654j -0.00227412+0.000362986j 0.0184317+0.00196533j 0.0130829-0.00853099j -0.00694397-0.00501321j 0.0128504-0.00550417j -0.00101201+0.0105662j -0.01795-0.00747138j 0.00209741+0.0111423j 0.0104871+0.00862924j -0.0308078-0.00657322j -0.00139794+0.0270622j 0.0122353+0.00183426j 0.0019951+0.0153106j 0.00599841+0.00573388j -0.00675609-0.0130658j -0.00195855+0.00404513j 0.0072522+0.00137238j -0.00401351-0.012195j 0.0021082-0.000772111j -7.27156e-05-0.00766587j -0.00196227-6.41918e-05j -0.000922789+0.00128134j 0.000780252+0.0068972j 0.00548023+0.0126444j -0.00174853-0.000152594j 0.00509382+0.00262588j -0.00190024-0.00803863j 1.18359e-05+0.00822129j -0.00113637+0.0022116j -0.00161546-0.0156747j -0.0036515+0.00397115j -0.00650331-0.00773729j -0.00234263-0.0153902j -0.00190784+0.016132j 0.00237545+0.00164753j -0.00205677-0.00149783j 0.0022673-0.0034186j 0.00117673-0.0188307j 0.00364764+0.0025403j 0.00501744-0.00132654j -0.00547281+0.00226775j -0.00195853-0.0116669j 0.00534218+0.000294595j -0.00365463+0.00831667j -0.00778513+0.0106608j -0.00512172-0.00225125j -0.0044931-0.00711124j -0.00328429+0.0119987j -0.00124166-0.0165039j 0.00671689-0.0203699j -0.0138301-0.0145757j 
-0.00627339+0.00436035j -0.00119923+0.00629633j -0.00340475+0.0040696j -0.00990593+0.00225133j -0.000307247-0.00120038j 0.0116767-0.00541682j 0.00496787-0.00453j -0.00401263-0.00117115j -0.0148765+0.00472344j -0.00401961+0.00102444j -0.0206116+0.00507954j 0.0176875-0.00129967j -0.00185963-0.000688515j 0.0164458+0.000166284j 0.00883664-0.00452346j 0.00194233+0.00644871j 0.00469331-0.0045666j -0.020587+0.00109013j 0.0148741+0.00440482j 0.0171013-0.00200948j -0.0140345-0.0029631j -0.00155526-0.00438973j 0.00701228+0.00748952j 0.0147334+0.00169709j 0.00706297-0.00117314j 0.0164138+0.00352683j 0.0208684+0.0122711j -0.00318441+0.00765804j 0.00523558-0.00266788j -0.00700911-0.00354317j -0.0100105-0.00490684j -0.0020193+0.00640646j 0.00195758-0.00726347j 0.00680828+0.0074374j -0.00136637-0.00546718j -0.00639144-0.00676199j -0.000221528+0.00273789j 0.00372517+0.00144249j 0.0055686+0.00675061j 0.00469028+0.00902892j 0.00660174+0.0151797j 7.71925e-05-0.0062938j -0.0008065+0.00912535j -0.000122422+0.00991577j 0.00250732+0.00472631j 0.00331586+0.0096031j 0.00232536-0.00781886j 0.0011984+0.0118611j 0.00169803+0.0152061j 0.00115275-0.00981003j 0.00304484+0.00356677j -0.00111559+0.012806j -0.000107545+0.0176608j -0.000185927+0.0148588j -0.00463168+0.0053945j 0.0021841+0.00208903j 6.14219e-05+0.00292169j -0.000188066+0.000404581j 0.000275901+0.000736362j 0.00705925-0.0177298j 0.00222826+0.00106191j 0.000255367-0.00590333j 0.00436897-0.0109422j -0.000965487-0.00675592j 0.00382842-0.014377j 0.000610777-0.0057816j 0.000882276-0.00402846j 0.00264813-0.0054237j -0.000982209+0.0147401j -0.00381114+0.00341033j 0.0020153-0.00461488j -0.0029879-0.00677199j 
0.00306093-0.00163266j 0.000986615-0.00332108j -0.00175541-0.000137932j 0.00501636-0.0020154j 0.00250107-0.000744072j 0.0120898-0.00446439j 0.0176869-0.00564959j -0.00553255+0.004345j 0.0207728-0.00663303j 0.0216843-0.00546698j -0.00758728+0.00291184j 0.00434407-0.00366103j 0.00121699-0.0012359j 0.00153139+0.000285901j 0.00934008+0.000828907j 0.0184876-0.00316721j 0.0174672+0.000167658j 0.0084136-0.00307061j -0.00806197-0.00278961j -0.0059603-0.00289904j -0.0134555-0.00143401j 0.000162446-0.00153867j -0.0135647-0.00284754j 0.0222657+0.0129507j -0.0241151-0.00172766j -0.00598357-0.00884593j 0.00213934+9.19256e-05j 0.000302531+0.000342052j -0.00210304+0.000290897j 0.00201806+0.000900362j 0.00484206+0.00285486j 0.00137466-0.00306849j -0.00393253+0.000345751j -0.00215783-0.0058266j -0.00127653-0.00456551j -0.00537413-0.0100425j -0.00737033-0.00233419j 0.00106473+0.0132221j 0.00214788+0.00914919j -0.010091-0.0258659j 0.00336005+0.00254154j -0.00221118-0.00637579j 0.000457056+0.000456341j 0.0012474+0.00760489j 0.000766622-0.00109107j 0.00116104+0.00778326j -0.00142484+0.00664165j -0.000418307-0.0110092j -0.00084337+0.00164202j -0.00237817-0.0141665j 0.00175985+0.00113029j 0.00281955-0.0039996j -0.000943819+0.0105886j -0.00136535-0.0137708j 0.00136208+0.0013463j 0.00104839+0.000727213j -0.00206164+0.00825564j 0.00195799-0.00211953j -0.00156257+0.0143466j -0.000916402+0.0103994j -0.00451084+0.0140492j -0.00383079+0.0078466j 0.00553847-0.0187685j 0.000248763-0.00201737j 0.000309612-0.0064759j 0.00349017+0.00362461j -0.00526413+0.0167233j 2.25538e-05-0.00424029j 0.000376072-0.00333732j 0.000457447+0.00107989j -0.000930306+0.00248584j 0.00144519+0.00308744j 
0.00259538+0.00087254j 0.00333457-0.00512576j 0.00933371-0.00698841j 0.0102937-0.00279593j -0.0124583+0.0066437j 0.0106127-0.00226183j -0.00851234+0.00461521j -0.0131123+0.00428432j 0.00112182-0.00112303j -0.00834782+0.0001366j -0.0152844-0.000229677j -0.00929388-0.00224878j -0.0256472-0.00234018j -0.0130966+0.00180734j -0.00280497-0.00563023j 0.00636185+0.000311182j -0.0099741+0.000562681j 0.00770714+0.00096993j 0.020669-0.00725477j 0.024622+0.00501297j 0.0016343+0.00163816j -0.0167428-0.00671827j -0.0169331-0.00338725j 0.00556802+0.00421249j 0.00159196+0.00453661j -0.00538393-0.00019512j -0.0092891-0.00339456j -0.000513822-0.00296034j -0.00029688+0.00284522j 0.00708356+0.00172074j 0.00738086+0.000378485j -0.00321856-0.00589226j 0.00280783+0.0131883j -0.010667-0.00452853j 0.00823058+0.00333601j -0.00583127-0.0111525j 0.00270838+0.00862883j -0.00547405-0.0117911j -0.000523888-0.00193007j -0.000664877-0.00586888j 0.00102452+0.010517j 0.00177443+0.00352726j 0.00272677+0.0180929j 0.000625709-0.00940282j 0.00120527-0.00239907j 0.00121802-0.00369488j -0.000198894-0.000335866j 0.00142623-0.00660474j -0.00224297+0.0224659j -0.00388285+0.0148273j -0.00279425+0.0125435j 0.00108104+0.00256647j -0.00103623-0.00798813j -0.000808739+0.00585865j -0.00204375+0.0131206j -0.000162144+0.0103999j 0.00418466+0.00131088j 0.00163285-0.00657927j -0.000237814+0.00442156j -0.00272845-0.00430344j -0.00494975-0.00397455j 0.00211765-0.0160505j 0.000380695-0.00811906j -0.00354752+0.0142336j -0.00029551-0.000326074j 0.0021131+0.00143596j -0.000652225+0.00786635j -0.00193937+0.00878664j 9.13104e-05-0.00911496j 0.00195938-0.00468536j 0.00067163+0.00375876j 0.00169187+0.001083j 
-0.00641104-0.0125759j -0.00470971-0.0103057j 0.00856381+0.0145183j 0.00521487+0.00487247j 0.00118027-0.00425105j -0.00888261+0.0028628j 0.00777759+0.003874j 0.00192113+0.0104682j 0.004439+0.00167563j -0.00204687+0.00454888j 0.0040633-0.00182903j 0.0146114-0.00407617j -0.0111115-0.000920672j 0.0101013+0.00257965j 0.00953084-0.000101561j -0.00775003-0.0126792j -0.00829409+0.00772406j 0.0112936+0.00769829j 0.00912459-0.000737849j -0.0054355+0.000198548j -0.00441258-0.00477557j 0.0131826-0.000176394j 0.00920853-0.00223967j 0.00688421+0.00305752j 0.000449061+0.0103257j 0.00217849-0.0101019j -0.0227455+0.000197204j 0.00406591-0.0196844j 0.0365031-0.0149932j -0.0170709-0.0286278j 0.0399741-0.0272957j -0.0231898-0.0271908j -0.00457046+0.0152558j -0.00675281+0.00221325j 0.000917282+0.00933982j 0.00410887-0.00381684j -0.00457043+0.00100661j 0.00198416+0.00601602j 0.00142725-0.00607496j -0.00218878-0.00484227j -0.00156738-0.00234415j -0.000773285+0.00459174j 0.0028356+0.00193534j -0.000434939+0.0100759j -0.00209583-0.0025861j -0.00242825+0.000537296j 0.000554853+0.00131602j 0.00297879+0.000700068j 0.000707157+0.000197586j -0.000685103+0.000100297j -0.00013685-0.0039141j 0.00074136+0.00682574j 0.000786785-0.00462711j -0.00136242+0.00897918j -0.00360858-0.00433883j 0.00166978+0.00250464j 0.00010569+0.0020146j -0.00340187+0.00888543j -0.00360086-0.00504198j -0.00192318+0.00504526j -0.00763494+0.00501256j -0.00619566+0.00678358j -0.00548067-0.0036104j -0.00583036-0.00309425j 3.87932e-05-0.00369925j 0.00192351-0.00854281j -0.00262981-0.0148985j -0.00186964+0.0204892j -0.000488254-0.011266j 0.00727063+0.00106878j 0.0382102+0.0138936j 0.0278097-0.0315902j 
-0.00379367-0.00533958j 0.0122088+0.0131153j -0.00868737+0.00269807j -0.00206989+0.010342j -0.0011916-0.00222062j -0.00101127-0.00896164j 0.00242236+0.00977202j 0.00460436+0.00806967j -0.000377477-0.00256361j -0.0163223-0.003505j -0.00720117+0.00141139j 0.0112173+0.00936027j -0.000240532+0.00225694j 0.00258876+0.00791171j -0.00544634-0.00596076j 0.0184249-0.00383535j -0.0128095+4.85567e-05j -0.00184258+0.00893709j -0.00295883+0.00532445j -0.0149394-0.000795828j 0.0041219+0.00299478j -0.00595314-0.00399355j 0.000951724-0.00315633j -0.0108647+0.00561031j -0.00571398-0.0106281j -0.0112749+0.000318934j 0.0173026-0.0129863j -0.00367114+0.00472783j 0.0176506+0.021913j 0.0251675-0.0145448j 0.027274+0.0241607j 0.0342067-0.035696j -0.00909518-0.00738643j 0.00949478-0.0141542j -0.00143326-0.00114663j 0.00056813-0.0028515j -0.000115628-0.00735356j -0.00103216+0.00118136j -0.00249497-0.0048252j 0.000438552+0.00371933j -0.00131395-0.00493203j -0.00306438+0.00178166j 0.00154722-0.00100449j -0.000779128+0.000728033j 0.000350053+0.00656179j -0.00129401-0.000329728j -0.000457696-0.00248863j -0.00121844+0.000567057j 0.00250257+0.00312473j 0.000570474-0.000844239j -6.86978e-05-0.00244785j 0.00708053+0.00523214j 0.000369954+0.00233208j 0.00138902-0.00420959j -0.00355234+6.31288e-05j 0.000828195-0.00407515j -0.00167826-0.00448427j -0.00254917-6.26033e-05j 0.00244014-0.00392575j -0.001449+0.00142327j -0.00440366-0.00240083j 0.0104276+0.00107999j 0.00622411+0.00232756j -0.0111074+0.00755784j -0.00441624+0.000441653j -0.000763737-0.00648657j -0.000552848+0.0201425j 0.0113579+0.00290546j 0.00454799+0.000704561j 0.0112248+0.00659519j -0.0289355+0.0393425j 0.0387224+0.0145979j 
0.00171784+0.00700393j -0.00374179-0.00508524j 0.00146629-0.00128037j 0.00571755+0.0109403j 0.00380085+0.0106654j 0.00110333-0.00642456j -0.00246329-0.00502928j -0.00504782+0.00119554j -0.00467181+0.00122588j 0.00460311+0.00354887j -0.00179945-0.00247817j -0.00365192+0.00708426j -0.00361065-0.00537202j -0.00314534+0.00708811j -0.00615549-0.0178247j -0.000976819+0.0197079j 0.00202814-0.0165838j 0.00701674+0.0215114j -0.0110514+0.0160223j 0.000408036+0.0149273j 0.00570714-0.00737067j -0.0045862-0.0235029j -0.000389259+0.0293822j 0.00487043+0.00408373j 0.000334255+0.00611504j -0.000373806+0.00602971j -0.0167032+0.0310554j -0.0284008+0.00761388j 0.0195169-0.0135018j -0.00593926-0.0191538j -0.00707632+0.00462579j 0.00381018+0.00827159j 0.00145405-0.000598368j -0.0031063+0.00392573j -0.00134807+7.90255e-06j -0.00163371+0.00232607j 0.00083441+0.00540962j 0.00241547+0.00307167j 0.00138195-0.00342744j 0.00149744-0.00452722j 0.0024686+0.00026078j 0.000105735+0.00100792j -0.000127419+0.000171412j -0.00120482-0.000785386j 0.000106546-0.00102256j -0.00167969-0.00226438j -0.00088942-0.00101907j 0.000997234-0.00375961j -0.000331714+0.00073747j -0.00292255-0.000723848j 0.000127429+0.00106073j -0.00163164+0.00546561j -0.00079476-0.0021789j -0.000825813-0.00109539j -0.00152781-0.000865032j 0.000692543-0.00136079j -0.00188633-0.00434945j 0.00136472+0.000513798j 0.00232206+0.00042339j 0.00196454+0.00296657j 0.0019783+0.00446855j 0.00471375+0.00183001j 0.00342171-0.00254412j 0.00286671+0.0006044j -0.00245891+0.000779018j 0.00311653-0.000624275j 0.000757894+7.65044e-05j 0.00451969-0.00208804j 0.0162002-8.84377e-05j -0.00618318+0.0155576j 0.00360475-0.00249127j -0.00264428-0.000724518j 
0.000999175-0.000374464j 0.000104928+0.0020532j -0.000622111+0.00303426j 0.0024258+0.0102593j 0.00331405+0.00496797j 0.0031943-0.000190306j -0.00777633-0.020394j 0.00525585+0.0210119j -0.00626441-0.0102227j 0.00331006+0.0240945j 0.000557728+0.00537548j 0.00203716+0.00145868j 0.000451423+0.0165554j 0.00301261+0.00623095j -0.00355509+0.0152647j -0.00723877-0.00542194j 0.00136005-0.0170412j 0.00295599+0.000980027j 0.00324287-0.0141477j -0.000223683-0.0148355j -0.000963613+0.0235966j 0.00178247+0.00906368j 0.00246245-0.00707849j -0.0120765+0.015214j -0.0035648-0.0147851j 0.0209016-0.0327223j 0.00174329+0.0106395j -0.00462247+0.00407229j -0.00110654-0.00270217j -0.00185448+0.00407749j -0.000645095+0.00243868j 0.00249063+0.00161175j -0.00192144-0.000736613j -0.00111898-0.00406728j -0.00261543-0.000610506j -0.00024211+0.00326392j 0.00217697+0.00233147j 0.00193389+0.0034823j 0.00123898-0.000567315j 0.000174592-0.000190434j 0.00099924-0.000400573j -0.000903935+0.000485857j 0.00204264+0.00107256j 0.00101237+0.00135958j -9.7271e-05+0.00156053j 0.000236156+0.000255561j 0.000624931-0.00131925j 0.000228196-0.000193896j 0.000744388-0.00222174j 4.89053e-05+0.000428644j 0.000893271-0.00050528j 0.00114596+0.000115419j -3.00717e-06+6.58183e-05j -0.000358684-0.00178661j -0.00119397-0.00165075j -0.00112831+0.00212376j -4.8677e-05+0.00123488j 0.000547931+0.0014256j 0.000823042+0.000792898j 0.00268524-0.000838987j 0.00108673-0.000934467j 0.000477431+0.000671972j 0.000784157+0.000988056j -0.000588438-0.00160036j -0.00362554+0.00223911j 0.00386041-0.00252036j -0.0002795+0.00524661j -0.00413229+0.000412205j 0.00367681-0.00186978j 0.00114335+0.00210843j -0.00263708-0.00117403j -0.00103006+0.00256827j 
-0.00192931-0.00621829j 0.00216759-0.00108319j -0.00052455+0.00141891j -0.00289424-0.0113863j 0.00274527+0.00310307j 0.00019616+0.00855051j 0.00278345-0.00112605j 0.000319905+0.00226169j -0.00512934-0.0211762j 0.00101133+0.010276j 0.00330251-0.0278762j 0.000590915-0.0042548j 0.000762501-0.015398j 0.00253427-0.00279844j 0.00279802-0.0136016j -0.000248311-0.0136944j -0.00686613-0.0287506j 0.00259312-0.0126318j 0.00909659+0.0119682j 0.00230739+0.00990741j -0.00152501-0.00100322j -0.00986945+0.0170721j -0.000216232-0.0300123j -0.0101421+0.0231021j -0.00994708+0.01576j 0.00156715+0.00135579j -0.00424793+0.00395081j 0.00582039-0.00395268j -0.0021023+0.0172189j 0.0112964-0.00173831j 0.00412548-0.000912483j -0.00276327-0.00473104j -0.000481197+0.00344408j 0.0011573-0.00106685j 0.000379065-0.000412345j 0.000301956-0.00267435j -0.000957225-0.00146487j -0.00132842-0.000241324j 0.000771043+0.00293015j -0.00193967+0.00241262j -0.00308615+0.00140711j 0.000327514+0.00184061j 0.000542958+0.000249736j -0.000763258+0.0019195j -0.00116896-0.000787409j 0.000239975-0.00075089j -0.0011562-0.00106514j 0.000133539-0.000208104j 0.000302273-0.000153509j -0.00176009+0.000876944j -0.000695691+0.000432828j 0.00169305-0.00146067j -0.0003914+0.000710829j -0.000697754+0.00188609j -0.000415179+0.00012809j 0.000951423-0.00098321j -0.000626147-0.00117595j -0.00198192+0.00100741j -0.000646317+0.000461934j -0.00159992-0.00129608j -0.000237771-0.000839516j -0.00190439-0.00172346j -0.000580457+0.000393053j 0.000514849+0.000135527j 0.00103222-0.00440304j 0.00368673-0.00486769j 0.00159699+0.000741455j 0.00174563+0.00353345j -0.0052107+0.00245329j -0.000487317-0.00119376j -0.00147356+0.00583267j 0.0063933+0.000922703j 
0.00201341+0.0032398j -0.000799959+0.0017963j -0.00142854-0.00500432j -4.57711e-05+0.00847096j -0.00437-0.00642198j -0.00199844-0.00173093j 0.00537356+0.0272484j -0.00224252+0.00513054j -0.00787278-0.0167327j 0.00174138+0.0164743j -0.00759828-0.00344199j 0.00154201-0.00886845j 0.00145851+0.00976975j -0.00160177-0.0319915j 0.00261421+0.00699295j 0.000961096-0.00527658j 0.00272479-0.0242281j 0.00335195+0.0173242j -0.00600725+0.000919524j 0.00149358-0.0321571j -0.00214049-0.01672j -0.0134741+0.0313216j 0.0033618-0.00805387j 0.0046711-0.0144779j 0.00603964-0.00494215j -0.00339907+0.0031587j -0.00251302+0.0049077j -0.00257682-0.00335964j -0.000102199-0.00860961j -0.00461879+0.00356457j -0.00238411+0.000925719j 0.00259661+0.00530219j -0.000341794-0.00443792j 0.000949296+0.000366182j 0.000543503-9.23093e-05j 0.000346049+0.00123877j -0.00128951-0.00327489j -0.000959327+0.000903785j 0.00108995+0.00140893j 0.00192787-0.000455443j 0.0015112-0.000779409j -0.000101442+0.000720018j -0.00110469-0.00107804j -0.000226153-0.000708499j -0.000167331-0.000294528j 0.000502904-0.000413654j 0.000295628+0.00131274j -0.000468182-0.000112459j -0.00138195-3.17415e-05j -8.9901e-06-4.55668e-05j -0.00105844-0.000146775j 0.000536903+0.00126044j -0.000492109-0.00124249j -7.32886e-05-0.000170411j 9.39749e-05+0.00139947j 7.93174e-05-0.000217329j -0.000801875-0.00105937j 4.85638e-05-0.00097147j 0.000349194+0.00142265j -0.000221845+0.000572041j 0.0020936-0.00113345j 0.0019919+0.00129447j 0.00195885-0.000588792j 0.00307232-0.00199306j 0.000180988+0.000348653j -0.00169049+0.00332982j -0.0010263+0.000908904j 0.00117809-0.00292086j 0.0020811+0.000911754j -0.000534717+0.00067539j -0.0020687-0.00371757j -0.00348164+0.00263681j 
