0.07963-0.00834707j -0.106213-0.0267469j 0.0752568-0.0185367j 0.309511+0.00129521j -0.0530881-0.0982302j -0.0198944+0.0343449j -0.0505096-0.00572699j 0.0597192+0.0857134j -0.0640022-0.00354407j 0.0371332+0.00408939j 0.0247799+0.0416353j -0.0516714+0.0205513j -0.0105731-0.0130662j -0.039732-0.0218894j 0.0548174+0.00165021j 0.0480182+0.0336594j -0.00107577+0.0415185j 0.0218903-0.0317911j 0.0138564-0.0736423j -0.072454-0.0157586j 0.0119404+0.0195012j 0.0151133+0.00359127j -0.0497848+0.00841968j 0.0129542+0.0409119j -0.0189247+0.0252741j 0.0257988+0.0261014j -0.00704692-0.0376423j 0.0170103-0.00617346j -0.00695523+0.00416425j 0.0325254+0.0217462j 0.0142754-0.0125894j 0.0381441-0.0311229j -0.0386241-0.0139881j -0.0154816+0.0530534j -0.0519905+0.0135685j -0.0103966-0.0214223j 
-0.103186-0.0340383j 0.123435+0.0450934j -0.0196178+0.00112483j -0.368983+0.00904683j 0.0518016+0.045772j -0.0397993-0.0645407j 0.0111154-0.020429j -0.184517-0.0274201j 0.0714566+0.0283147j -0.054478-0.0555678j -0.0360947-0.0116392j 0.0250849-0.0867634j 0.0271634-0.031059j 0.0699249-0.0287293j -0.045782+0.0373984j -0.0463702+0.0584906j -0.0587164-0.0259654j -0.0452639+0.0646056j 0.0493537+0.0599124j 0.109203-0.0503288j -0.0597177-0.00417362j -0.00847026-0.00310308j 0.0554805-0.042691j -0.0301328-0.0601282j -0.0433043-0.0530479j -0.0456569-0.0532487j 0.0551557+0.0234995j -0.00137434+0.0140558j 0.00844198-0.040181j -0.0199577+0.00731767j -0.0494633+0.0109026j -0.0240345+0.0364138j 0.115752-0.035412j -0.0154862-0.0562987j 0.047931-0.0489573j 0.0385904-0.0102766j 
-0.159173-0.0627084j -0.0399039+0.0341191j -0.660162+0.00264595j 0.0953942+0.00206493j 0.0449884+0.00479314j 0.192394-0.0235851j -0.0935898-0.0530422j 0.0677681-0.0251885j 0.168426+0.0243193j -0.0337682-0.0193715j 0.122104+0.0313326j -0.0233764-0.0521668j 0.0335539-0.0276463j 0.0311797+0.0857787j -0.00801297-0.0817476j 0.0466856-0.0755937j 0.0778534-0.025233j -0.085486+0.051368j -0.0523072-0.054412j 0.0574609+0.0858991j 0.0834025-0.000631203j -0.0625593-0.0340934j 0.0550912+0.0214608j 0.0302181-0.00869765j 0.0238945-0.00357815j -0.00861679-0.011241j -0.0265839+0.000857955j -0.00529091+0.0117898j -0.0285117-0.00282628j -0.00546186-0.0131624j 0.00673145+0.00755647j -0.0556985-0.0374799j -0.0154467+0.0541655j 0.0783163-0.0547376j 0.0323986+0.0129627j -0.019074+0.058185j 
-0.0522207-0.017009j 0.115075-0.00181665j 0.297835-0.00345325j -0.663291-0.0172236j -0.183943-0.0163073j 0.00676454+0.00901184j 0.0823786-0.0362256j 0.16305-0.0165164j 0.0188373-0.00352172j -0.0884621-0.00193856j -0.0719984+0.0381356j -0.00501199+0.0720523j -0.0159065+0.000174092j 0.0343867+0.00544354j -0.0305801-0.0739445j -0.00406388-0.101256j 0.0547181-0.0428423j -0.0216519-0.0150722j -0.109863+0.051654j 0.0202065+0.0523224j 0.0347209-0.0519377j 0.02441-0.0209539j 0.0373639+0.0419574j 0.0287409+0.00596677j 0.0847547+0.000812682j 0.0656125+0.00874259j -0.0191227-0.0183906j 0.0125498+0.00789622j 0.00826735-0.00130596j -0.0110492+0.00689465j 0.00693005-0.0136184j -0.0178648-0.0185464j -0.0558723+0.0920807j -0.00749039+0.00999927j 0.0236053+0.018484j -0.00450542+0.065176j 
0.135072-0.0968508j -0.0785269+0.0852056j 0.538261+0.0272119j 0.34168+0.0119989j -0.239398+0.0601898j -0.0863256-0.0182582j -0.299046-0.0698129j -0.0488323-0.079485j -0.0095284+0.0713075j -0.0136288-0.071722j 0.0782352+0.00345522j 0.0147914+0.0025201j -0.0826484+0.0178913j 0.0319614+0.0122234j -0.0338424-0.0374153j 0.0582082-0.0466966j -0.0166719-0.0253817j -0.0874912+0.0525703j -0.0450106-0.0142293j 0.0066626+0.0185802j -0.0268774+0.0112051j -0.0638925-0.0470766j 0.0858502+0.0440262j 0.0242626-0.0487868j 0.026298-0.0174162j -0.0124129-0.030726j -0.00742763-0.00747465j -0.00450405-0.00026462j 0.0061069-0.0158762j 0.0130493-0.0136989j -0.0963539+0.0405826j -0.0375986-0.0271288j -0.00974571+0.0345762j 0.0534989-0.0750172j -0.00297557-0.00378748j -0.0046782+0.0501118j 
0.0711858-0.0288106j -0.0893318+0.102637j -0.0987236+0.0226815j 0.0966028-0.0416611j 0.0186109+0.19768j 0.00103994-0.143021j 0.112551+0.0162741j 0.0327973-0.456717j -0.105876+0.0168999j 0.139508+0.0554103j 0.0323635-0.0129322j 0.112653+0.122242j 0.0287481+0.0264315j -0.0369316+0.0514436j -0.0183483-0.0273573j -0.104357+0.0151249j -0.0493053-0.0618862j -0.0627827-0.106056j 0.0157592+0.100511j 0.0358619+0.0713021j -0.0247192-0.0966063j 0.00790516-0.0143059j 0.0592378+0.0458707j 0.0913336-0.0394722j 0.0320648-0.0238127j 0.0354004-0.0552497j -0.00181108+0.00744075j -0.0231043+0.0145638j 0.0118002-0.037392j 0.00686876-0.0307211j 0.0149632-0.0633005j 0.0098302+0.0124125j -0.00526342+0.113686j 0.0386505-0.00285539j -0.0253806-0.00388424j -0.0221165+0.108877j 
0.066939-0.186125j -0.0230502+0.051397j -0.0753196-0.0249911j -0.170358-0.0147467j -0.0022826-0.148258j -0.0839898+0.0941961j 0.169219-0.335882j -0.0349537+0.00321163j -0.0637216+0.206379j 0.0658095-0.153928j 0.00176576+0.109423j 0.0576046-0.055659j -0.000482487-0.0585502j -0.0249835+0.0748988j 0.102603-0.0223276j 0.0844776+0.130697j -0.0298472+0.0912745j -0.171067-0.0983208j 0.0590201-0.0966118j -0.0752258+0.0411246j -3.9726e-05+0.0602039j 0.0258899-0.0476393j -0.0159153+0.0578875j -0.0104064-0.0452505j -0.0330153+0.0388993j 0.0236019-0.0517082j -0.0127357-0.00431577j 0.0270271+0.00212403j 0.0148821-0.0142364j 0.00297917-0.0113274j -0.0586455+0.0341359j 0.0324455-0.132401j -0.0183593-0.0229019j 0.026834+0.0518883j -0.0187806+0.0969918j -0.0269476+0.0334848j 
-0.0182826-0.0879188j -0.0400075-0.145513j -0.0404582-0.0717547j -0.0196866+0.027855j -0.125663-0.177174j -0.247954-0.405167j 0.128446+0.248288j -0.0466745+0.0329243j 0.0976853+0.0929494j 0.0417055+0.120992j 0.0120748+0.0711179j 0.0393915+0.0655497j -0.140189-0.117897j 0.0323086+0.0213997j 0.0106213+0.0277238j -0.0280728-0.0173281j 0.014294-0.0332983j -0.054091+0.0162633j 0.00240899-0.0539427j -0.0672736-0.0310368j 0.024059+0.0614061j -0.00498484+0.00385883j 0.0229137-0.00243443j -0.0328499-0.0351943j -0.00748359+0.00363778j 0.00112069-0.0235937j 0.0171648-0.0478605j -0.00124468-0.035436j 0.00334916+0.0227792j 0.0144916+0.0366423j -0.00797365+0.0416953j 0.0113245+0.0159359j 0.00034515-0.00649267j 0.0251787+0.0173617j -9.00835e-05+0.00203073j -0.00807283-0.0197008j 
-0.0753393+0.103207j -0.10401+0.0475262j -0.0427606+0.0629477j 0.0412478+0.00678926j -0.0861355+0.135579j -0.374539+0.263229j 0.199749-0.0132787j -0.120029+0.0926373j 0.14303-0.174612j 0.151975-0.0223361j 0.0541466-0.00391016j 0.127144-0.0508235j -0.104072+0.178517j 0.000178002+0.0186096j -0.0364673-0.0340461j -0.0144853-0.00796968j -0.0204144-0.0453442j 0.00436323+0.0853633j -0.0454845-0.00558483j -0.00536088+0.0186409j 0.0664358-0.0590398j 0.020038-0.0181179j 0.0385969+0.00642057j 0.0335315-0.00349092j -0.0190301+0.00617984j -0.0126474+0.0365857j -0.0174557+0.0280526j -0.0137476+0.0139088j 0.0231714-0.0361484j 0.0215462-0.0221802j 0.0278442-0.00539799j -0.00357633-0.000421917j 0.00217071+0.0188003j 0.0280653-0.0315857j 0.0126141-0.025134j 0.000336832+0.00932306j 
-0.0466496+0.0300963j -0.0750344+0.0228602j -0.019375+0.0194739j -0.177139+0.0062926j -0.270574+0.0902506j 0.00719037+0.0134999j 0.0233905+0.0232044j 0.447321-0.0440876j 0.0895729-0.0303961j -0.0756868-0.0142633j 0.150455-0.0470473j -0.084757-0.0219668j -0.0990144+0.0719833j 0.0462025+0.0103328j 0.066126+0.0277547j 0.0588185+0.124129j -0.0623906+0.0468098j 0.0705721-0.000441085j 0.0864143-0.0290129j -0.0900339-0.0390836j 0.0528561+0.00343371j 0.00440244+0.00114257j -0.0131022-0.00939794j -0.0224004-0.0160534j 0.0195553-0.0302715j -0.0384996+0.0238758j 0.0109302-0.0102782j -0.000172383-0.033145j -0.0384251+0.0108948j 0.0127116-0.0418615j -0.00436471-0.00915284j -0.0115574+0.0101414j 0.0386136-0.0509442j 0.0368988-0.0425302j 0.0131717-0.00306751j -0.0461817-0.0559757j 
0.0944752+0.0187754j -0.084373-0.035125j -0.0422243-0.0200763j 0.0703756+0.0297678j -0.041054-0.10524j 0.133827+0.0296986j 0.112003+0.0301228j 0.15934+0.293939j -0.204041-0.0272022j 0.0763463-0.101534j 0.0878168+0.194928j 0.0833927-0.0211254j 0.029025-0.0780878j -0.0248892+0.0751594j -0.072116+0.0467787j -0.196875-0.047036j -0.0677676-0.165861j 0.00500115+0.0848881j -0.0603295+0.185207j 0.0757117-0.0218947j -0.00955709-0.0432937j -0.0357078-0.0355622j 0.104303-0.00251989j 0.0602105-0.0849647j 0.0452224-0.05747j 0.0552968-0.0957377j -0.0381644+0.0193843j -0.0494713+0.0203736j 0.0388616-0.037656j -0.0279261+0.00734922j -0.0459491-0.00846045j -0.0371612-0.00920269j 0.0595662+0.0216335j 0.0379664-0.0198255j 0.0240966-0.0442665j -0.0161464+0.00174233j 
