-0.0509698-0.0137719j 0.0664391-0.00247453j 0.239116+0.0163982j 0.0116284+0.0142348j 0.0156674-0.00773561j -0.10225+0.000990886j 0.0942821+0.0247424j -0.403245-0.00988492j 0.135464+0.0668019j 0.0213168-0.0352494j -0.0971564-0.0563875j -0.0644199-0.00405504j -0.112744-0.0477114j -0.0483105-0.0395894j -0.114701-0.10829j -0.0999518+0.059187j 0.137111+0.0869796j -0.0113334-0.063863j -0.0444184+0.0376563j 0.0360263-0.0566553j 0.00603478+0.0082351j 0.0918609+0.0380677j -0.130502-0.0430472j -0.0374245-0.0203863j -0.123724-0.0676114j 0.0261151+0.0168507j -0.0300572+0.00917062j -0.0431062-0.0480616j -0.0831205-0.0271702j 0.0607443-0.056244j -0.0942554-0.0496021j -0.034321-0.0136523j 0.0115101+0.0731483j 0.137779+0.0342245j 
0.0505857-0.00880584j 0.114822+0.0181289j 0.13894+0.0317373j -0.0236825+0.0133088j -0.147095+0.00190779j -0.00348135-0.0160864j -0.3775+0.0233026j 0.06512+0.00538391j 0.0221341-0.00793709j 0.0563875-0.0126124j -0.0713076-0.0612377j 0.121187+0.00742844j -0.106929-0.0189639j 0.0274867-0.0768044j 0.0945689-0.042883j -0.122646-0.0626643j -0.0614079+0.0127251j 0.220236+0.0727736j -0.0570277+0.000764505j 0.257154+0.0927636j -0.0664013-0.0139023j 0.0246971+0.00523002j -0.010071-0.0342196j 0.0400574+0.0236434j 0.0280814-0.0296793j -0.11394+0.00595648j 0.00918881+0.0178009j -0.017368+0.00321232j 0.0376569+0.0211817j 0.083004+0.0607925j 0.0755018-0.049794j 0.0481797-0.0299882j -0.132483-0.0143554j 0.0247517+0.0745662j 
-0.0395777-0.00555961j -0.00799024-0.00125038j 0.0421858+0.00857185j -0.0112349+0.00433396j 0.05967-0.00253133j 0.0134754-0.000256093j 0.0461374+0.00625844j -0.074096+0.0020772j 0.044969-0.010807j -0.00130567+0.00549692j -0.0388816+0.02637j -0.0364567+0.0179397j -0.0173031+0.0141649j -0.0611475-0.0365836j -0.130587-0.0543011j 0.0280947-0.0450609j 0.096095-0.0132201j -0.109047+0.0219922j 0.00708063-0.00735817j -0.129826+0.0410319j 0.0388162-0.0131851j 0.03967-0.0259689j -0.0789017-0.0283696j -0.0224669+0.0347472j -0.103188+0.0234726j 0.00531884+0.00729263j 0.00352192+0.0273883j -0.0188484-0.0482265j -0.0440939+0.004532j -0.0129736-0.0113766j -0.0643804+0.0576956j 0.00672324-0.0160618j 0.0746072-0.00127319j 0.0326578-0.0129178j 
-0.0236819+0.0103971j -0.0352447-0.0149939j -0.0111252-0.0129285j -0.029259+0.0146779j 0.112522-0.00682697j 0.0269755+0.0319739j -0.092045+0.00380072j 0.0961558+0.00624061j -0.00900704+0.0767271j 0.00643026-0.00925531j 0.0551282+0.0749001j -0.0683345-0.0223006j 0.0489999+0.00685774j -0.0248086+0.0343792j 0.0439522-0.0203867j -0.0653401-0.0254883j -0.0755445-0.0223213j 0.0705435+0.0124813j -0.0638517+0.000425812j 0.0387372-0.0763047j -0.00521121-0.0281407j -0.0215808+0.000564084j 0.0459712-0.010515j 0.0195507+0.0084831j 0.0618068+0.0392289j -0.0360572+0.00726909j 0.018508+0.00449675j 0.00694002+0.0171647j 0.0556694-0.0298806j 0.0122975-0.000445363j 0.0388661-0.0351122j -0.0236424-0.00621224j -0.0346719+0.0100662j -0.0225318-0.00389804j 
0.00672286+0.0153021j 0.0597093+0.0213166j 0.123415+0.0242271j -0.0502932+0.00489975j -0.013195-0.0118229j -0.0846528-0.00121975j -0.140246+0.000609124j -0.0249623+0.00736926j 0.0653727-0.000402493j 0.0124584+0.00352636j -0.107919-0.00461293j -0.00244046-0.0272333j -0.088347+0.00342549j -0.0591875+0.00901271j -0.0875551+0.0242088j -0.142856+0.037813j 0.0621083+0.00869589j 0.149891+0.0295441j 0.00222919+0.0199831j 0.17577+0.0151011j -0.0280502-0.00534512j 0.0610712-0.0135182j -0.073894+0.0308474j -0.000169695+0.00623778j -0.0294229+0.00999731j -0.0418558-0.022676j -0.00868121+0.0271533j -0.0264701-0.0102343j -0.00308845+0.0372263j 0.0712293-0.0404887j 0.00946608+0.000530843j -0.015064-0.0174199j -0.0257294+0.00800689j 0.0988745-0.000528526j 
-0.138568-0.0260777j -0.0567166-0.0302789j -0.0805624-0.0542589j -0.100649-0.0259119j 0.382211+0.00489479j -0.491152+0.0162582j -0.275679-0.016972j 0.127426-0.0165612j 0.144521-0.0243775j -0.000197804-0.0210323j 0.139126+0.0684565j -0.176688+0.0180346j 0.138886+0.00977949j -0.153626+0.0326586j -0.215272+0.00119269j -0.215109-0.0439147j -0.0479791-0.0378848j -0.0614381-0.0836949j -0.0643794-0.0354186j 0.0733856+0.00261693j 0.066507+0.0149106j 0.0344219-0.0403644j 0.0393339+0.00918339j 0.0316667+0.00239923j 0.052553+0.0220303j 0.0221746-0.0222454j 0.053987+0.0459873j -0.0278904+0.0446648j 0.00739995-0.0276239j 0.0310093-0.0145132j 0.005594+0.013719j -0.0979052-0.0356173j 0.0382254+0.0169368j -0.00130958-0.0308407j 
0.0984386+0.0122288j 0.0178002+0.0126155j -0.15627+0.0218605j 0.000267127+0.0183575j -0.445362-0.00179631j -0.684576-0.0227327j 0.323886+0.0130126j 0.0552696-0.000464323j -0.0102246-0.0302955j -0.0157411+0.0338286j 0.129009-0.0460729j 0.193483+0.00322451j 0.00294766+0.00350905j 0.0325742-0.0805724j -0.00626032-0.00694199j 0.0629688-0.0301811j -0.0286237+0.0283861j -0.00255712-0.0199076j 0.115382+0.054734j 0.0930061+0.0465509j 0.115712-0.03628j 0.00304769+0.0203289j 0.00278818-0.0150206j -0.00649457+0.0122136j -0.0200865-0.0205861j 0.0368352-0.0237652j 0.000365913+0.0370267j 0.0423279+0.0199725j 0.015409+0.00238488j 0.00300331+0.0163679j 0.0142043-0.00852775j 0.0281618+0.00458574j -0.021158-0.00488903j -0.000439768+0.0183494j 
0.0486529+0.00628239j 0.00882951+0.0126129j -0.0562592+0.0179468j 0.00819113+0.0147222j -0.15173+0.0003664j -0.0185237-0.00748722j -0.554196+0.0131338j 0.413697+0.0120488j 0.122534+0.00401723j -0.0515368+0.00458488j -0.145409-0.0434683j 0.164474-0.0128583j -0.107374-0.0170706j -0.0496912-0.0202709j -0.168227+0.0180708j 0.167056-0.05504j 0.121638+0.00229716j -0.158698+0.0804399j 0.117499-0.0064416j -0.134667+0.0643088j 0.036109-0.0254879j 0.00902209+0.0306001j -0.0602682+0.00688003j -0.00608036+0.0130879j -0.0413723+0.0109743j -0.0244694-0.0342522j -0.0406379+0.0226797j -0.00861179+0.0121892j -0.0420134+0.0346996j -0.0112447-0.00975247j 1.66611e-05+0.0601042j 0.0503912-0.0531881j 0.038644-0.0635842j -0.00308151+0.00579411j 
-0.0773409-0.0225624j 0.0627868-0.00215442j -0.176368-0.0192393j -0.598499-0.0156848j -0.162523-0.011306j 0.301349+0.0213244j 0.350109+0.00437375j 0.352052+0.000249274j 0.0680333+0.0140905j 0.22213-0.0653481j -0.125557+0.0606624j 0.0352813-0.0342438j -0.0150814-0.0299034j -0.104132-0.0188637j -0.187474-0.0298284j -0.102268-0.0729893j -0.0334896-0.00686987j 0.0500496-0.036066j 0.0626292-0.0179695j 0.0653313-0.00792829j 0.0136011-0.00708411j -0.0440249-0.00756498j -0.0164197+0.0130036j -0.0222626-0.011142j -0.0183123+0.0248644j -0.0263715+0.00158529j 0.00786029-0.00276741j -0.0139635-0.0168367j 0.00717352+0.0201576j 0.024374-0.0177957j 0.01332-0.0151247j -0.0351662-0.0373445j 0.0110267+0.00413555j 0.0229891-0.0249625j 
-0.0230844+0.0253898j -0.0332906+0.0444735j 0.0082626+0.0341195j 0.136667-0.00716227j 0.0959479+0.022377j 0.0207089-0.0165572j 0.236243-0.00962222j -0.113541+0.0542952j -0.0523337-0.117711j -0.0750413+0.0394327j -0.0280927+0.0309831j -0.0794264+0.0121594j 0.0268639+0.0369063j -0.0546022+0.0656321j -0.0473841+0.193745j -0.0677059-0.159426j 0.0559291-0.169007j 0.0424326+0.321509j -0.0148851-0.076656j 0.0383694+0.323759j -0.00140675-0.0760148j 0.0255151-0.0201638j -0.0433599+0.0735185j -0.0235045+0.0329j -0.0248624+0.102412j 0.00867418-0.0706706j 0.00682541+0.0377758j -0.0194007-0.0162606j -0.0268249+0.104232j -0.0399961+0.0494315j 0.0574131+0.0972347j -0.0485648-0.00133812j -0.00921409-0.139048j 0.0184604-0.0233533j 
0.0470747-0.000754237j -0.115485-0.0241812j -0.175126-0.00745004j 0.495525+0.00557899j 0.0434231+0.0177825j 0.134765-0.00759605j 0.125484-0.0109187j 0.345679-0.00845685j -0.278655-0.00807206j -0.291171+0.0683687j -0.138119+0.00533751j 0.0858157+0.0681159j 0.0777174+0.0308151j -0.153772+0.0448882j -0.128811+0.00724863j -0.053585+0.124797j 0.0653583+0.00411693j 0.110084-0.106139j 0.0613719+0.0188752j 0.129797-0.153537j -0.00473001+0.0177088j -0.0428394+0.011799j -0.0470322+0.0312292j -0.0316429-0.00310183j -0.028036+0.0120797j -0.00896843+0.0280981j 0.00812546+0.000295002j 0.00435494-0.0178957j -0.00804133+0.0217225j -0.00524164-0.0569205j 0.00175213-0.0519635j -0.0317665-0.0123596j 0.0139998+0.0351478j 0.0278222-0.0677623j 
