0.061153+0.114662j 0.0594232-0.070627j 0.0657317+0.0264654j -0.0138885+0.0150739j -0.0115271-0.0604058j -0.008399+0.000259571j -0.0324645-0.00915311j 0.00936761+0.0471322j -0.0298782+0.0213677j 0.0471055-0.0617866j 0.0211956+0.0146315j 0.0202877-0.00417018j 0.0243315+0.0373045j -0.00367767+0.0162534j -0.0442265+0.0809527j 0.0971027-0.0720274j 0.0802624-0.181494j 0.0733623-0.00322934j -0.131326+0.150294j -0.0612205-0.000681411j -0.0565121+0.0345075j 0.0240179-0.00879567j 0.0183387+0.0322138j -0.0163415+0.0281246j -0.00884327+0.0178505j 0.0643785-0.0600759j 0.00393631-0.0246221j -0.0465173+0.0221904j 0.122728-0.104593j -0.0387949+0.072221j -0.0746903+0.0718759j -0.115967+0.0789684j 0.0699756-0.110481j -0.191656+0.0696047j 0.107309+0.0644236j -0.0312325+0.154539j 0.0210866-0.0406722j -0.0246614-0.0269785j 0.0823065-0.0652674j -0.0306542+0.00389402j -0.03339+0.0958399j -0.0283248-0.0029184j -0.0347932-0.00746255j -0.0129358-0.00768091j -0.00223827-0.0135894j 0.0168948-0.0530895j -0.0339794+0.029989j 0.00161908+0.00138421j 0.0219864-0.0278792j -0.0336747+0.0154425j -0.046593-0.00383237j 0.0139056-0.0247099j 0.00129509-0.0303749j 0.00473767+0.0126042j -0.00935796-0.0092802j 0.061259-0.00854539j 0.0257497-0.0357377j 0.0229415-0.0292127j 0.0570759-0.0263993j 0.0166485-0.0059028j 0.0453292-0.0521716j -0.0284775+0.0376781j 0.00739837+0.023799j -0.0248615+0.0299161j 0.0318895-0.01321j 0.0218307-0.0125492j -0.00206619-0.00808648j 0.00296242+0.0130371j 0.0118341-0.00882023j 0.00549797-0.00367533j -0.00286252-0.00432435j 0.00546642+0.00145941j -0.00132983-0.000444059j -0.00745654+0.020364j -0.0253993+0.000935813j 0.0108743-0.0193313j 0.0127065-0.00620155j 0.013164+0.00191626j 0.000607849-0.00722142j -0.00760941+0.00627142j -0.00891268+0.0166153j 0.00429326+0.00732993j 0.0188588+0.00476181j -0.0213656-0.00730524j 0.00732657+0.00492024j 0.0146632-0.0267056j 0.0285134+0.00452487j -0.0744492+0.110513j -0.0299306+0.0702226j -0.000759968+0.0137014j -0.0256133-0.00941685j 0.0508152-0.0105544j 0.0541867+0.0145278j -0.098279+0.0784715j -0.00302155-0.0566448j 
0.0637873-0.0989282j 0.0176878-0.169879j 0.0270504-0.0369014j -0.0399875+0.0185165j -0.0507895+0.0887498j -0.00583937+0.0740596j 0.0461055-0.0954242j 0.017039-0.00932666j 0.0223735+0.00562615j -0.022904-0.0295303j 0.0180229-0.0223663j -0.00551271-0.0219077j 0.0241361-0.0802777j 0.0121198-0.0150951j -0.0202819+0.0244304j 0.0366328-0.082603j -0.143371+0.0314136j 0.0338399-0.0433413j 0.0269036+0.0771822j -0.0602597+0.113274j 0.0878032-0.0731643j -0.0501997+0.0754855j 0.0145239-0.0173204j 0.0617708-0.0685611j -0.0116179-0.0421558j -0.0324477-0.0246206j 0.0492842-0.148015j 0.0286877-0.0245794j 0.0468624-0.00173272j 0.0400359-0.0456271j 0.0687567-0.0190994j -0.0904188+0.113248j -0.119973+0.00234446j -0.0400306+0.112765j 0.114739-0.121712j 0.213261-0.0740694j -0.0198497-0.0171148j -0.0386112+0.0411299j -0.0324371-0.0296926j -0.00788506+0.0184342j 0.0903617-0.0193762j 0.00708191-0.00354859j -0.0277427+0.0399298j 0.00147439+0.0121999j -0.0108237-0.00413009j -0.042795+0.0132909j -0.00460606+0.016974j 0.010307+0.00126702j 0.00612162-0.0457101j 0.0287487+0.0045669j 0.00537482-0.00227233j 0.00285529-0.0110937j 0.0043264-0.00664827j -0.0036407+0.00396346j -0.0147862+0.00864207j 0.0469852-0.0623135j -0.0193271+0.0101233j -0.0292758+0.00382571j 0.033746-0.0540545j 0.0261118-0.0104289j -0.0550674-0.00440647j 0.0200018+0.0291581j 0.0185121-0.0280536j 0.0134082+0.00769123j 0.00459519-0.0497234j 0.00618205-0.0157694j -0.00830227-0.00200773j 0.0211276-0.0188437j 0.00340484-0.0119996j 0.00391692+0.00141398j -0.00849445+0.00560651j 7.69786e-05-0.000136961j 0.00235302+0.013842j 0.00506145+0.00437664j -0.00398469+0.0174973j 0.00577749+0.00400457j 0.00335174-0.00442286j -0.00334562+0.00304996j -0.00906356+0.00681343j 0.00775435+0.0160156j -0.013975+0.016497j 0.0255677+0.00124918j 0.0362277-0.0509759j -0.0388428+0.043152j 0.0141891-0.000411145j -0.0142217+0.00428596j 0.0400215-0.0637386j 0.0704807+0.0212374j 0.0358597+0.00977587j 0.00886654-0.00586965j -0.0282866+0.0297126j 0.0317096-0.0510493j 0.0689593-0.0959511j 0.0087399+0.0473208j -0.0926139+0.0603362j 
0.0420336-0.0315845j -0.0503154-0.0108532j 0.00246362+0.0132905j 0.0796596+0.0536531j -0.0114717-0.00614628j -0.0583338-0.063394j -0.0480694-0.0123058j 0.0125501+0.0533572j -0.0126473-0.00625987j 0.00895711+0.0213328j 0.0148309+0.0395296j -0.00843125-0.0568589j -0.0961557-0.0176429j -0.0743221+0.120816j -0.0699933+0.0112818j -0.0337604+0.0591501j 0.0292051-0.0912743j 0.0267293+0.0596908j 0.0879097-0.00773006j 0.00892143+0.0147159j -0.0255637-0.0404138j 0.00348194+0.00598238j 0.0534719+0.0493998j -0.0448797+0.0435507j -0.00514872+0.0587994j -0.0053219-0.00568944j -0.0544129+0.0675204j -0.0526834-0.0238483j 0.00494353-0.0150551j -0.0260275+0.0677834j -0.0420521-0.0377361j 0.0293985-0.0297326j -0.00165274-0.00108341j 0.085072-0.0585222j -0.0494162+0.0609267j -0.0916539+0.0382043j 0.00125092-0.00546134j 0.00607536-0.0170511j 0.00320802-0.00204655j 0.00802124-0.0140911j -0.0290517+0.0268289j 0.00371313+0.00189728j -0.000534878-0.0160151j -0.000387233-0.00549639j -0.00811198+0.00100987j 0.0408089-0.00833481j 0.00135414+0.00460453j 0.0283244+0.00388243j -0.0521866-0.00183286j -0.0222546-0.00195327j -0.0375591-0.0166924j -0.0433384-0.00471319j -0.00768589+0.0074404j -0.000228388-0.0126328j -0.00809084-0.0161932j -0.0361967+0.0207045j 0.00806435-0.00405443j -0.0157774-0.0151097j -0.0105874+0.00980336j -0.0175977+0.00717776j 0.0190163+0.0265576j -0.0110997-0.0230083j -0.00639374+0.0196141j -0.00676497+0.00681859j 0.00614547+0.0126174j -0.00599579+0.000852275j 0.00334972-0.000127393j -0.000184742-0.0034114j -0.00412579+0.00890066j -0.0151645+0.00204216j -0.00123398-0.00741373j 0.0119668-0.00307054j 0.0253414-0.00618319j -0.0010312+0.00813354j -0.00152798-0.0258122j -0.000975423-0.0115689j 0.0066369+0.0198611j 0.000576685-0.00344484j -0.0019589-0.00468189j 0.00989355+0.00795027j 0.00676023-0.000858961j 0.00115133+0.00329333j -0.00926481+0.0332058j -0.00381392+0.015293j 0.0138759+0.000647964j 0.0120113+0.00045899j 0.00625332+0.0166925j -0.00721761-0.0132813j 0.00116713-0.00634579j -0.0271801+0.00234161j 0.0145618-0.0239687j -0.00754295+0.00626929j -0.0199671+0.0381205j 0.0119694-0.0103373j 0.0158704-0.0323554j 
0.105458+0.0509807j -0.00406892+0.0164757j -0.101959+0.0118345j 0.0315666-0.0443547j -0.0159033-0.0452732j -0.0334567+0.000501775j -0.00206255+0.0801386j -0.0248471+0.0624497j 0.00190244-0.0732756j 0.0527951-0.040018j -0.033198+0.0845272j 0.0036845-0.0367949j 0.0296141+0.163394j -0.0630492+0.0531329j 0.0413004-0.065916j -0.077097+0.066214j 0.0117862+0.126628j -0.0584133+0.0262282j 0.084558+0.0144727j -0.0613517-0.0667576j 0.0307754-0.0297006j -0.0410411+0.01126j 0.025782-0.0369391j 0.0116227-0.024216j -0.0352519+0.0198138j -0.073487-0.0338203j -0.00160412+0.0668183j -0.041216+0.0612718j 0.0304989-0.0791147j 0.00078377+0.0715378j 0.0629955-0.00761071j 0.0795163-0.0337363j -0.0918313+0.0322738j 0.0485115-0.0422635j -0.000745181+0.00345113j 0.0758774-0.0885868j -0.000364229+0.0156569j -0.0174137-0.014758j -0.00766427+0.0485989j 0.0132153-0.0276597j 0.0334438-0.0410309j 8.18101e-06-0.0032997j -0.0208009-0.0243843j -0.0144328-0.000106615j -0.00775327+0.00220087j -0.000272306+0.017442j 0.0219727-0.0132875j 0.00990782+0.00799007j -0.0166667-0.00399161j -0.0289642-0.0270783j -0.028301-0.00148823j -0.0078393-0.00961318j -0.00224671+0.00115655j 0.00870944+0.00964051j -0.0025269-0.00155229j -0.0181413+0.00364221j -0.0210336+0.00626107j 0.00152426+0.0151631j -0.00648096+0.0330234j -0.00421102+0.00248502j -0.0184822+0.0255256j 0.0211476-0.0129335j -0.023489-0.00341434j 0.0046565+0.0023693j -0.0160719+0.00591568j 0.00258563+0.00129361j -0.0105585+0.00693558j 0.00131644+0.0111573j -0.0184351+0.0141072j -0.00360506+5.25959e-05j 0.00435409-0.000515772j 0.0106957-0.00266356j 0.00293702-0.0133948j 0.0028181+0.000497058j -0.000462267-0.0193419j 0.0241983+0.00769166j -0.00945313+0.00563902j 0.0109859-0.00656672j -0.0112759-0.00227712j -0.0129166-0.012805j -0.0140389+0.00897723j -0.000369199-0.0116926j -0.00311856+0.00561712j -0.000888703-0.0145528j 0.0136583+0.010126j -0.0328585-0.00203389j -0.00814078-0.0126975j 0.0254094-0.0302219j 0.0208636-0.00366909j 0.00466102-0.0100707j 0.00987314+0.00244634j -0.00089154-0.00578706j 0.00935311-0.0194919j 0.00328917-0.0545032j -0.0401515+0.0142061j 
0.04084+0.0290929j 0.0289231+0.0761438j -0.047506+0.0462284j -0.0383288-0.0511773j 0.0760592+0.0321557j -0.120901-0.0255568j -0.0278565+0.0401408j -0.0807567+0.0189341j -0.048401-0.00709775j 0.150915+0.0417762j 0.110465-0.0101734j -0.0996387+0.00768802j 0.0767418-0.105992j -0.108354-0.125482j -0.0437925-0.0648158j 0.116687+0.0352354j -0.149111+0.0565868j 0.0274073+0.0328363j -0.0511452-0.0392111j -0.0894369+0.00786363j -0.0221508+0.00272075j 0.00182669+0.0318123j -0.0133072+0.0655201j -0.00741787-0.00739154j -0.0330713+0.00486167j 0.0415059+0.0233786j 0.0201883+0.00605164j -0.0332433-0.014575j 0.0431855+0.0141971j 0.0586217-0.0547743j -0.0185362+0.00787586j 0.0493335-0.00628508j 0.0324962-0.00416898j 0.0285266+0.00860346j 0.00313473-0.0218325j 0.00243321+0.00303102j -0.00805492+0.00792373j -0.000436993+0.00276087j -0.0103222+0.00494784j 0.0079385+0.0146535j 0.00255654+0.00161917j 0.0086291-1.8683e-05j -0.00743391-0.0036844j 0.00971248-0.0122225j -0.0134084+0.000918989j 0.0065426+0.010052j 0.00903496+0.00453234j -0.00696874+0.0028687j 0.000569298+0.0137423j -0.00717046-0.0119257j -0.0266652-0.0107936j 0.0151784+0.00521522j 0.0110303-0.0010372j -0.0117073-0.0118328j -0.00489557+0.00756943j 0.00497416-0.0115817j -0.0144639+0.00272177j -0.0224882-0.0044167j 0.00356653-0.00444823j -0.0248286-0.0117563j -0.00250176+0.00115706j -0.00218093-0.00666477j 0.00330117-0.0043602j 0.0039141-0.00340315j -0.00653519+0.0111898j 0.0073269-0.00394483j 0.000644498+0.00362859j 0.0108134-0.000166978j -0.000200909+0.00640395j -0.00957176-0.0125985j 0.00815409+0.0159952j 0.00217169-5.50402e-05j 0.00445334-0.00727481j 0.00993474-0.0153262j -0.0243384-0.00890185j 0.00306393-0.00497568j -0.0140655+0.00590828j -0.00627235-0.00118258j 0.00637105+0.00141939j -0.0124958+0.00456411j 0.0107751-0.0106299j 0.00842355-0.00888151j 0.00828509+0.00568749j 0.00324387+0.00377349j 0.00826896+0.00118926j 0.00995233-0.0245811j 0.00975604+0.00729283j -0.00936149-0.00867531j 0.0179355-0.00247281j 0.00957087+0.00139555j -0.00571827+0.0162807j -0.00134691-0.00820006j 0.00676147+0.00292184j -0.00403355-0.00326502j -0.00549196+0.00708268j 
0.0169291+0.0137754j 0.00883803-0.000550715j 0.0171178-0.0220817j -0.098762+0.0271639j -0.0553525-0.0670256j -0.0497711+0.00317116j -0.0478163-0.00913155j 0.00336653-0.0562869j -0.0371292-0.0556113j -0.111833-0.170576j 0.0357263+0.0297794j 0.037166+0.0507193j 0.0465488-0.0176343j -0.0438638+0.0430296j -0.0267979-0.0663163j -0.0045625-0.109092j -0.059094-0.0401887j 0.0133958+0.0411794j -0.0355792-0.00843338j -0.0134737-0.091421j 0.0129568+0.104329j 0.0218876-0.07865j -0.0334023+0.00495008j -0.00067929-0.0123623j 0.0433439-0.102508j 0.0831262+0.0731807j -0.0533566-0.0143582j -0.0460209+0.0161173j -0.0525781+0.151945j -0.027719-0.0873586j 0.00193014+0.0662424j -0.0836116+0.0141687j 0.00795674+0.0421917j -0.0184263+0.00635848j -0.0160798-0.0465616j 0.0297756-0.0228529j -0.000436832-0.0028592j -0.0165628+0.00316747j -0.0412071-0.0197489j 0.0069838+0.0300699j 0.0260277-0.0474249j 0.0223314+0.00638346j -0.00361324+0.00284876j -0.00975838-0.00266148j 0.031762+0.00612347j -0.0361771+0.00843994j 0.0156156-0.0154324j -0.0548157+0.00137131j 0.0830738+0.0133749j 0.050623-0.00455477j 0.0909508-0.0164474j 0.0507829+0.00180618j 0.00423117+0.0145249j -0.0125189-0.00980452j 0.0318595+0.0100954j 0.0126912+0.00305012j -0.00237116+0.0036449j -0.00520762-0.00281858j 0.000542508-0.00363495j -0.00575875-0.00143815j -0.0316773-0.00367274j 0.00185093+0.0191517j 0.0141921-0.00918367j 0.0103802-0.0217371j -0.0109439+0.00170195j 0.00515112+0.00704681j 0.0110089+0.00664638j 0.00816953+0.00515118j -0.00113367-0.00143809j -0.00139771+0.00782562j 0.0125337+0.00760528j -0.00244755+0.00467761j 0.00689627+0.0127647j 0.0162864-0.00740645j -0.00489606+0.00556204j 0.00495909-0.00935647j 0.00346208+0.00440227j -0.00838074+0.00770605j 0.00633806-0.000711953j -0.0100783-0.0015216j -0.00736329+0.000122022j 0.0141296+0.0124601j 0.0122016-0.00585596j 8.383e-05-0.000497975j -0.000841436-0.00880606j -0.00074871+0.0242706j 0.00153368+0.00232434j -0.00159204-0.024279j 0.0130407-0.0048048j 0.0118324-0.00722517j -0.0032483-0.00197253j -0.0122159+0.0103373j -0.00317498+0.00344945j 0.0196338-0.0139977j -0.00431633+0.00213903j 
0.121089+0.100156j -0.0174002+0.0161285j -0.0484838-0.137898j -0.108791+0.00108924j -0.0501031+0.0123899j -0.0780795-0.0267925j 0.0527737+0.0697327j -0.114784-0.160967j 0.0839925-0.0102549j -0.0730135-0.0325626j -0.151781+0.080878j 0.055012-0.0147159j 0.259145+0.245347j 0.0627272-0.203427j 0.0963416-0.122207j 0.0355267+0.0349111j 0.0195638+0.19284j -7.19561e-05-0.19106j 0.0521319-0.088522j -0.0564239-0.0683031j -0.0282434+0.00349545j -0.02541-0.00868874j -0.0644576+0.00654164j -0.00382849+0.0115588j -0.0335011-0.0103199j -0.0412985+0.00193755j 0.000675119+0.0148587j 0.0619016-0.037754j 0.0276598-0.00932354j -0.00988173+0.00236505j 0.0375277-0.037176j -0.0195554+0.0031845j 0.000853836+0.0145482j -0.0518769-0.0352355j 0.057086+0.0128457j -0.0140512+0.02915j -0.00902027+0.0142319j -0.0202586-0.00304324j 0.00177944-0.00341422j 0.00038379+0.00812258j -0.0179755+0.0188971j 0.00565966-0.00755761j -0.0278758-0.0049492j 0.00137898+0.0186218j -0.00177045-0.0181253j 0.00991426-0.00185623j -0.0105078-0.00416465j -0.0109388-0.0174614j 0.0245849-0.0159546j 0.0187144-0.0325929j -0.00511314-0.0412817j 0.00813591-0.0123121j -8.98953e-05+0.0134609j -0.00267121+0.000502676j -0.00290165-0.000207672j 0.0109654+0.00155514j -0.0121765+0.00978919j 0.00148239-0.00792371j 0.016063+0.00660879j 0.00491732+0.00420384j 0.00502342-0.0107085j -0.0157012-0.0125569j 0.00281346-0.00896471j -0.00409041+0.00933814j 0.0046222+0.00318439j 0.0123228+0.00987698j -0.00534007+0.00137877j 0.0164479+0.0137655j -0.00772187+0.00420582j -0.0045299-0.00344338j -0.00970286+0.0101577j -0.00969914+0.0157455j -0.0107376-0.0142406j 0.000416839-0.000393821j -0.00511776-0.0114703j -0.00399341+0.0138391j 0.00270825+0.00730611j 0.00349269-0.000996268j 0.00517178-0.00474288j 0.000108278-0.00420179j -0.0133957+0.00830348j -0.00517746-0.00425567j -0.00274258-0.00124623j -0.000288773+0.00601106j 0.00150731-0.0102531j 0.00312791-0.0139619j 0.00665713+0.0104943j -0.0192096-0.00234158j 0.00960216-0.0120241j 0.0273351-4.22515e-05j 0.0048881-0.00223293j 0.0147999+0.0102813j 0.0106386+0.0225518j -0.0175971-0.00433206j -0.00654402-0.00898038j 
0.056328-0.0426662j -0.0256638-0.0406089j -0.0543622-0.0525667j -0.0173675+0.0681776j -0.0653129+0.112488j -0.0908634-0.0079383j 0.044501-0.0955866j 0.136255+0.00686546j 0.0136537-0.00147151j 0.198723+0.12561j -0.111464+0.199966j 0.058916-0.164549j -0.113261-0.0162735j 0.0665262-0.0246516j 0.0174487+0.0422115j 0.0533506+0.0659498j 0.0599402-0.0877309j -0.0466441-0.0141482j -0.0274716-0.0338249j -0.0844779-0.0892813j -0.0235026+0.0190489j 0.0521958-0.0308209j -0.0374399+0.0050466j 0.0100989-0.049001j 0.0470738-0.00366842j 0.0495924+0.0172946j 0.0207329-0.0223603j -0.0383957-0.0431186j -0.0588579+0.055465j 0.00385329-0.0533601j 0.0164889+0.0262079j 0.008256+0.000663731j 0.00491463+0.0371386j -0.0317138+0.0165399j 0.00338052-0.0504718j 0.0420298-0.0506935j -0.00145593+0.00185281j -0.0193175+0.016901j -0.00376673+0.00822943j -0.00589844+0.0219272j 0.0265367-0.0345083j 0.00119152-0.00260908j -0.00361229+0.00195527j -0.00774784+0.00527959j 0.00569753-4.77775e-05j -0.0251565+0.0200796j 0.0126096-0.00867991j -0.0208375-0.00874585j 0.0370837-0.00172772j 0.0388709-0.00612423j 0.0275381-0.0239316j 0.00464302+0.000553892j 0.00342812-0.000606913j -0.00495046-0.0177743j 0.015058+0.00773408j 0.00971173-0.0133593j -0.000189812+0.000738359j -0.0143802-0.0113641j 0.0132506+0.00313716j -0.00861812-0.00201151j -0.0139283-0.0052889j -0.00333709-0.000810041j 6.3765e-05-0.0213073j -0.00126307-0.00467612j -0.0115251-0.00238496j -0.0133223-0.00706006j -0.0178825-0.00240363j -0.00820075+0.00519696j 0.00641766+0.00588805j 0.00366748-0.00742706j 0.00441903+0.00388872j -0.00101595+8.25179e-05j 0.00260599+0.00953885j 0.00876691-0.00392771j -0.00865331-0.00723636j 0.00433067+0.00306j 0.0111363+0.00580744j 0.0115674-0.0118038j 0.00318066+0.0111987j 0.0202111+0.00904276j -0.00806545+0.0055578j -0.00915167+0.0102143j 0.0151683-0.0116715j 0.000792819+0.00326297j -0.0138859-0.00782631j -0.0159627+0.00741071j -0.0011611-0.00731679j 7.41485e-05-0.0131592j 0.0105919-0.0144992j 0.00301195-0.0110292j -0.00661252+0.00302409j -0.00822854+0.00138023j 0.0134187-0.0158361j -0.00245713-0.00789106j -0.0111204+0.0201101j 
0.0482663+0.0448168j -0.134495-0.0447669j -0.276498+0.034649j 0.0251621+0.0508413j 0.0426416-0.0614321j 0.0157351+0.079185j 0.0756808-0.0117966j 0.032475+0.171824j 0.0513987+0.0428251j -0.0629291-0.0734551j -0.0237193+0.2447j -0.114755-0.0234666j 0.00484292-0.105283j 0.253699-0.0839667j -0.0616546-0.192269j -0.0402558+0.0141378j -0.0914093+0.0920844j -0.0928618+0.0318601j -0.055386-0.050635j 0.0414483-0.0388871j 0.00559901+0.0390284j -0.0144183+0.0268707j -0.0319982+0.0420404j 0.00202299+0.00595149j -0.0340791-0.0147413j -0.0286776+0.00763108j -0.0206903+0.0039496j -0.00175811-0.0577224j 0.000340221-0.0447464j 0.030927+0.0495229j 0.0399868-0.00154457j 0.00696789+0.0263217j 0.0303301-0.0345345j -0.0181627-6.26263e-05j 0.0209612+0.0216235j -0.0313859+0.0441406j -0.00080149-0.00389921j -0.0164364-0.0125833j -0.0182174-0.0203939j 0.00703415-0.000604685j -0.0363204+0.0294017j -0.0126225+0.00398795j 0.000538605-0.0103892j 0.0290271-0.00256345j -0.00221689+0.00967102j 0.0032171-0.0091904j 0.0177751+0.00180113j 0.0254546+0.0016187j 0.0138402-0.00858843j -0.0026132+0.0114394j -0.0205207-0.00577871j 0.00682692-0.0144844j 0.00912879+0.00826931j 0.00356071+0.0110689j 0.000533193+0.00346476j -0.0020505+0.00708905j 0.00305736+0.0156706j -0.00240529-0.018161j -0.0116902+0.00418929j 0.0245325+0.000548277j 0.00255084-0.0100323j -0.01132+0.00570995j -0.00452655+0.0121738j 0.00568757+0.00746512j 0.014118-0.00219328j 0.00189329+0.00151448j 0.0127387-0.000947705j -0.00212668+0.0141738j -0.000815243+0.0032869j 0.00536075-1.92475e-05j -0.00716249-0.0118889j 0.0014057-0.00610525j -0.00840845-0.00409599j -0.00113042+0.00595111j -0.00121751+0.00221382j -0.00596656+0.0141483j -0.000739617+0.026518j -0.021201+0.0137197j 0.00190901-0.00765798j -0.00280869+0.00339166j 0.00629384-0.00600249j 0.0170006+0.0096182j -0.00754201-0.0131729j 0.00629225+0.000556931j 0.000570671+0.000486068j 0.0219581-0.00764846j -0.00428233+0.0139792j -0.0164587+0.0160767j -0.00678815+0.00878013j -0.00118901-0.00654118j -0.00719438-0.00861239j 0.0104189+0.00192519j -0.0135934+0.0244422j -0.00495532+0.0129739j 0.0151799-0.0208314j 
0.0683659-0.0436521j 0.153493+0.0401181j 0.0519548-0.037342j -0.0604438+0.0265272j -0.00787143-0.00552896j 0.00532286-0.117204j 0.0424993-0.0340034j 0.0993733-0.178151j -0.09734-0.124126j -0.0458039-0.126899j -0.130654-0.0368604j -0.0405229+0.0811858j -0.122021-0.125393j 0.0944389-0.291922j 0.0915059-0.0503512j 0.0318051-0.0267611j -0.01209+0.0429041j 0.00365609-0.0586081j -0.0191173-0.0633177j 0.0331194+0.0646609j 0.0161345-0.0673786j 0.0471435+0.0216046j 0.0350847-0.0251005j -0.014862+0.0217079j 0.0279255+0.0165919j 0.00387045-0.0400004j 0.026495-0.0092837j 0.0427007+0.0825943j 0.0714559+0.000323373j -0.0191093+0.00832701j -0.0219524-0.0314658j -0.0411761-0.0114037j -0.0173485-0.00400741j 0.00131844+0.00381574j -0.00391522-0.0215332j 0.00701101-0.0176078j 0.0433686+0.0046813j 0.00295308+0.0235564j 0.0224437-0.00641932j -0.00784695-0.00516731j 0.0136646+0.0158007j -0.00321561-0.00467945j 0.0224517-0.00442422j 0.00124814-0.00736167j -0.0301012-0.00557095j 0.00411168-0.00457196j -0.00238205-0.00959822j 0.0302619+0.00499028j -0.0228182-0.00231348j -0.0155047+0.0136662j -0.01673+0.00252434j -0.0129261+0.00188866j -0.00920148+0.00114372j -0.00589411-0.00355243j -0.0124498-0.00264501j 0.00169991-0.003557j 0.00392048+0.0162821j 0.0135686+0.00167804j 0.00841784-0.00828182j 0.0075213-0.00329024j 0.00513113+0.00598627j 0.00424226-0.00435575j 0.00325723-0.0060542j 0.000270479+0.00272848j 0.000657748-0.0156404j -0.00344791+0.0154173j 0.00632816+0.00534432j 0.00245652-0.00700459j 0.0121649-0.0201777j -0.00400789-0.0104833j 0.00240604+0.0114561j 0.00328989+0.0185956j -0.0114649+0.000730026j -0.0151771-0.00343404j 0.00511779+0.00123883j -0.00220407+0.00290104j 0.00237841-0.00153085j -0.00937862+0.00929598j 0.0030732-0.000965312j 0.0124566-0.00333632j -0.00547736-0.00408561j 0.000581136-0.00773368j 0.0033169-0.00385328j -0.00808892+0.013721j 0.00947903+0.00423496j -0.00880103-0.003552j 0.00986219-0.00808301j 0.00398631-0.00850504j -0.0123859+0.000263454j 0.0198506-0.000479988j 0.0155312+0.00716942j 0.00460476-0.00614047j 0.0116732-0.0135918j -0.00200243+0.0045265j -0.00011241+0.0120431j 
0.131215-0.0160945j -0.0149102+0.0289979j -0.0438214+0.0791402j -0.0742913+0.0413002j -0.0409974-0.055116j -0.0332765+0.0722283j -0.135239+0.0944946j 0.125313-0.0016233j -0.0892406-0.0392682j 0.0353828-0.104572j 0.0232685+0.00457553j 0.0301844+0.0100532j -0.137136+0.0603307j -0.110312+0.0824876j -0.0404445+0.0186084j -0.0928935+0.0207575j -0.0277656+0.134997j 0.0835858-0.0226488j 0.0352057+0.0193442j -0.0129981-0.0436246j -0.0063204+0.0456778j -0.0314584+0.02265j 0.0284755-0.0305175j 0.0575503-0.0348371j -0.00241358+0.00151062j -0.00885875+0.00321949j -0.00372307-0.035341j -0.0352224+0.0172382j 0.00494425+0.00105204j 0.00574224-0.0313356j 0.0424678+0.00355926j 0.00349425-0.0288884j 0.0200539-0.00645582j -0.0317916-0.00997089j -0.00498617+0.00749153j 0.0032007+0.00118525j -0.00260891+0.00962636j -0.0276809-0.0101342j -0.0194063+0.00455798j 0.00220154-0.0049655j -0.00108592-0.00983856j 0.010232-0.00381066j -0.0113785-0.0179451j -0.00616443-0.0228088j -0.00555112+0.00821347j 0.00668484+0.00493286j 0.00263349+0.00947256j -0.00781404-0.0157547j 0.0142645+0.0187043j 0.0104593-0.0119318j -0.0143155+0.00178257j 0.0214478-0.00183752j 0.010169-0.00102807j 0.00215577+0.0173837j -0.00891076+0.0138929j -0.00143771-0.0103813j -0.0117261+0.0115349j -0.0197334+0.016041j 0.00239883-0.00567354j 0.00456745+0.0136416j 0.00313865-6.1647e-05j -0.00717897+0.0111574j -0.00586815+0.000739489j 0.0040263-0.000212003j 0.00989488+0.0039816j -0.000772976-0.00146584j 0.00227184+0.00990209j -0.00592138-0.00941995j 0.00318158+0.00480192j 0.00723961-0.00091116j 0.00282997-0.00422091j 0.0103504-0.00553111j -0.00181502-0.00752845j -0.00265165-0.0088363j 0.00246084+0.00334673j -0.00362037+0.00566713j 0.00831725+5.00543e-05j -0.0110702+0.0162968j -0.00372542+0.00104506j 0.00288463+0.0176047j -0.00384307-0.00445855j -0.00510148+0.000581293j -0.0031778-0.00527661j 0.00421881-0.000947942j -0.00103168+0.00172265j 0.0129286+0.0059203j 0.00160091+0.00252306j 0.00780998-0.0102966j -0.00257331+0.0164759j 0.00833041-0.00566626j -0.00401307-0.00270639j 0.00843282-0.00242683j -0.00406931+0.00372497j 0.00134325-0.0081981j -0.00342096+0.000712004j 
