-0.0774636-0.0769725j -0.0702403-0.14942j -0.0428703+0.00734733j -0.0915752-0.20521j -0.175949+0.0564307j 0.0114659-0.0517785j -0.0805845-0.0149129j -0.022515-0.00245458j 0.0650116+0.0710125j 0.0560073-0.0232711j -0.138531-0.170371j -0.103162-0.0511734j -0.0320206-0.00713696j 0.00210608+0.00296285j 0.0413928+0.0446326j -0.000228167-0.00613372j -0.00539572-0.00854647j 0.00506861+0.0141536j 0.00746081+0.017373j 0.00180754+0.0136111j -0.00902095-0.00525907j -0.000585123-0.00313984j -0.00108991-0.000339328j -0.00549046+0.000564067j 0.00734189-0.000133498j 0.0102374+0.0146702j 0.0347127-0.0035149j 0.0103978-0.00748242j -0.0119926-0.0123954j -0.00735164+0.032379j 0.0159069+0.0113937j 0.0467381+0.0413776j 0.0734038+0.0312894j 0.0135784+0.0674405j 
0.0336399-0.227686j 0.114794-0.171027j -0.0426855-0.0175006j 0.240669+0.0773779j -0.121259-0.297756j 0.0754774-0.0387578j -0.0793279-0.105242j -0.0281141+0.00902519j 0.0342389+0.112454j 0.0238889+0.0195178j 0.105856+0.00912017j -0.0663889-0.126583j -0.0227819-0.0240868j -0.00318676-0.0149272j -0.00939288+0.0371794j -0.000904539-0.0149202j 0.00772745+0.000320966j -0.0126306-0.0136763j -0.0193283-0.0103483j -0.0145799-0.00073886j -0.0161929-0.00979872j -0.0105671-0.0006678j -0.0149363+0.00234371j 0.0170547+0.0220935j -0.0113704-0.0231269j -0.0116373-0.02991j 0.00946437+0.0366717j -0.00870246+0.0145173j -0.029737-0.0252967j -0.00472803+0.00604928j 0.0618435+0.0181065j -0.00634345-0.0100076j -0.0282717+0.0193301j 0.0139838+0.0405958j 
0.0243225+0.218513j -0.0947981+0.030641j 0.142991+0.0639757j 0.291359-0.0750195j 0.147156-0.152863j -0.017248+0.0843111j 0.0105979+0.0129526j 0.00559328-0.0288983j 0.00718282-0.0133404j 7.01068e-05+0.0142036j 0.107343+0.0303581j 0.035952+0.042748j 0.0221573-0.00821022j -0.00175376+0.00159428j -0.014641-0.0161145j -0.00612298+0.0140019j 0.00512977+0.00443506j -0.00413016-0.00473026j -1.81333e-05-0.0143142j 0.000735915+0.00170888j 0.00139031+0.00726097j -0.0156101-0.00343313j 0.00116821-0.0212842j 0.000571963+0.0158946j 0.00155521+0.00770121j 0.00378322-0.00336793j 0.0270335+0.0140092j 0.0197632+0.0130847j -0.00211046+0.00979076j 0.00380314+0.00931798j -0.0112359+0.0400514j -0.041436-0.0244901j 0.02478-0.00419313j -0.00175416-0.0134366j 
0.114617-0.103521j -0.0696551+0.23085j -0.162173-0.186934j -0.124168+0.254066j -0.103681-0.0112412j 0.0674055+0.0227676j -0.0113093-0.101987j -0.021305+0.0278542j -0.0328851+0.0172991j -0.0119056+0.013682j -0.00205762+0.0467501j -0.009749-0.0473898j -0.0176827-0.0262094j 0.0111778-0.0106805j -0.00410806+0.00894395j 0.014957+0.00620513j 0.000725452+0.00477878j -0.00430238-0.0197414j -0.00741596-0.029716j -0.00655008-0.0191209j -0.00104464-0.00150626j -0.00506077+0.0270193j 0.00255695-0.0221274j -0.00391304+0.0101751j -0.00181023+0.00842026j -0.0312322+0.0217042j -0.000147771+0.00439773j -0.00944366-0.00367899j 0.0151247-0.0162074j -0.00648845+0.0105135j -0.0130948+0.0350745j 0.0168536+0.00414706j -0.00844904-0.0186553j -0.0014837+0.0264752j 
-0.0547591-0.0232565j -0.395827+0.103428j -0.398604-0.440994j 0.082918+0.283009j -0.412669-0.106415j -0.0218952+0.0248475j 0.0295106-0.0140619j 0.00101801+0.0889921j 0.0618673+0.000945087j -0.061694+0.0229664j -0.00847796+0.0139479j -0.0349171+0.0122354j 0.00731511-0.00921242j -0.00243059-0.00198776j 0.00320973-0.0060587j 0.00464221-0.0100404j -0.00899277+0.00258227j 0.00812948+0.0107436j 0.0130262-0.00234785j -0.0120561-0.0121952j 0.00178573-0.0394453j -0.00115544+0.0168596j 0.0014696+0.00866588j -0.00525732-0.00125471j 0.0319532-0.0063763j -0.018858-0.0131583j 0.013738+0.0126517j -0.0186958+0.00248526j -0.0101022+0.00624113j 0.0130564-0.000238783j 0.0176763-0.00164057j -0.0113554-0.00532746j 0.0172166-0.00728172j 0.0110391-0.00419081j 
-0.263821+0.0819461j 0.0406333-0.282662j -0.252083-0.0534946j 0.00204429+0.392507j 0.259981+0.133282j -0.116705+0.0245963j -0.0153865+0.0530654j 0.0453726-0.00163757j -0.0901141+0.01858j -0.0295858+0.00114316j -0.00943096-0.0376731j 0.0332404-0.00190633j 0.0258576+0.00173734j -0.000761334+0.00541303j 0.0113883-0.0118756j -0.0257591+0.00542774j 0.000115397+0.00362995j -0.00155145+0.00131915j 0.00156851-0.0191934j -0.00614767+0.00686312j -0.00469577+0.00570807j -0.00421856+0.0103254j 0.00441937-0.0199911j -0.00601973+0.00941109j 0.00700307-0.00519411j -0.00138641-0.00754182j -0.00329109+0.0185383j -0.00233228+0.0153916j 0.00557816+0.0152584j -0.00132312+0.00869035j 0.0115746+0.00103636j 0.000877511-0.00550891j -0.00382511+0.0013631j -0.00631649-0.00404815j 
0.123854-0.0474197j 0.0754672+0.0472572j -0.0597386+0.0959198j -0.250713+0.0582167j 0.0646156+0.0902439j 0.0208799-0.0588507j 0.00637019+0.0280882j 0.0268679+0.0106157j 0.00969769+0.0257969j -0.00567844+0.0111431j 0.0255958-0.00754263j 0.0108469+0.0245623j 0.000432622+0.0315987j -0.0156138-0.00249873j 0.00692453-0.000558981j 0.000819686-0.0346991j 0.00194309-0.00214105j -0.00621735-0.00423285j -0.00240973-0.000425601j -0.00787304+0.00161288j 0.00579+0.0302079j 0.0210045+0.0285714j -0.00736189-0.00388321j 0.00311243-0.0175002j 0.00260396+0.021091j 0.00557582+0.0400305j 0.00367092-0.00621014j 0.00862543-0.00107364j 0.00714278-0.00558183j 0.00743442-0.00130663j 0.000575593+6.81162e-05j -0.00508967-0.00455728j -0.00170887+0.011334j -0.00112391-0.016771j 
-0.323992+0.125609j 0.133212+0.420005j 0.408204-0.455155j 0.374268+0.0292662j 0.0185876+0.149956j -0.131759+0.0677073j -0.0441111-0.0449278j -0.0668598+0.010782j 0.0158249-0.0027427j 0.00405356-0.0439847j 0.0168758+0.0193056j 0.00818641+0.000135618j 0.0358311-0.00434857j -0.00413374+0.00784922j 0.0054384-0.00438652j -0.00954889+0.000852886j -0.00546411-0.00291563j -0.0143544-0.00223716j -0.00504634-0.00532821j 0.0127484-0.0123345j 0.0361732+0.0167325j -0.0262633+0.0187667j 0.00157698-0.00684521j 0.00832491-0.0123739j 0.000454961+0.0312276j -0.00582955-0.0263933j -0.00482876+0.00924693j 0.00161132-0.0125558j -9.97225e-05+0.0116983j 0.00594582-0.000697169j 0.0124516+0.00399029j -0.0130025-0.00862859j 0.00278959-0.00496791j 0.00126345-0.00876077j 
0.121332+0.14394j -0.267455-0.0843567j -0.143754+0.102942j 0.152631+0.0613175j 0.0622714-0.243026j 0.0519664+0.115582j -0.013594+0.0315664j -0.00601321-0.0299679j -0.0036495-0.0142549j -0.00257495+0.00893875j 0.011176-0.0041718j -0.027903-0.0209534j -0.00487774-0.0537762j 0.0412694-0.00283115j 0.0181435-0.0102712j 0.00447485-0.0332723j 0.00262925-0.0212357j 0.00561779-0.0087884j -0.0192003+0.00238386j 0.0131481-0.0127756j -0.00664902-0.00412302j -0.00114571+0.00608233j 0.00452525+0.0149576j -0.000270518-0.010366j 0.0103629-0.00740551j 0.00119878+0.00355226j 0.00534211-0.0022237j -0.00624884-0.0061905j -0.00657383-0.00825912j 0.00163658-0.00218833j -0.00479664+0.00401512j 0.00358345-0.0027363j 0.00378816+0.00223136j -0.000293453+0.00924154j 
0.170536-0.195961j 0.230966+0.127215j -0.0128457-0.00874244j 0.0147702+0.300552j 0.118886-0.151218j 0.104775-0.0195357j -0.0465722-0.0906046j -0.0194743+0.000947051j 0.0370262+0.0556891j 0.0293675+0.00232833j -0.0167353-0.0603655j -0.052697-0.0379458j -0.0246928-0.0212905j 0.00923606+0.0243099j 0.0067121+0.0140753j -0.0414339-0.00739214j -0.00235665+0.00865339j -0.00823946-0.0166221j -0.00652184-0.0386461j -0.00164731+0.0115364j 0.0161923+0.0161639j 0.0178369+0.0179641j 0.00380223-0.0103718j -0.0139663+0.00274159j -0.00610787-0.00589015j -0.016776-0.00600192j 0.00271704+0.00513986j -0.00556555-0.00203222j 0.00457883-0.00526861j -0.0120165+0.00874784j 0.00706405-0.0108426j 0.026222+0.0119726j 0.00258214-0.00569401j 0.00149526+0.0413923j 
-0.0424898+0.185712j -0.070384+0.109611j 0.0611084-0.0166969j 0.0638532+0.0783231j 0.200693+0.0380692j 0.00313322+0.0772895j -0.0569627-0.0520545j -0.016529-0.00610326j 0.0406426+0.0584875j 0.0658447-0.0125077j -0.138724-0.182511j -0.0884876+0.0315743j -0.0212024-0.0278457j 0.000586983+0.00755917j 0.0320247+0.0411611j 0.0192082+0.0200649j -0.00121731-0.00946228j 0.00399754+0.0153327j 0.00684437+0.0224952j 0.00314524+0.0116723j 0.00348377+0.00583834j -0.00527001+0.0107822j -0.0050553-0.000417068j 0.00272609-0.00770725j -0.00597411+0.0039339j 0.00198528-0.00456397j -0.00943927-0.00990571j -0.00947951-0.0122851j 0.00260973+0.0108988j -0.0214972+0.0272841j 0.0211081-0.0184894j 0.0957487+0.0448871j 0.0225041+0.0217344j 0.00314889+0.0651758j 
