-0.0167993-0.0311509j 0.00788252+0.0281376j -0.0052999-0.085575j -3.09945e-05-0.00402447j -0.0193374+0.0749572j -0.0150708+0.0106403j -0.0161627-0.0100077j -0.0389908-0.00473142j 0.0529102-0.012241j -0.00654502-0.00437993j -0.02464-0.00881612j 0.0150117+0.0134593j -0.033064-0.0203988j -0.00173243+0.00626898j -0.00417607+0.00490267j 0.0103511-0.00135365j 0.0157484+0.0188996j -0.00308291+0.00945955j -0.0184175+0.0174959j 0.00966663+0.00397128j 0.0123625-0.00562382j -0.00982146-0.0134695j -0.00889742+0.00310982j -0.0251885-0.0147036j -0.0112587+0.0156631j 0.00381192+0.0009566j -0.00918957+0.0239875j -0.00602917+0.00270842j -0.00383029+0.0131841j -0.000301447+0.0111976j 0.0244771+0.00748909j -0.00223201-0.00587183j 0.0170531-0.017697j -0.00505277+0.000210727j 
0.0266937+0.0689443j 0.0040728+0.047183j 0.00960476-0.0860679j -0.00279188+0.026163j 0.00410276-0.0115199j 0.0133386-0.0203301j 0.0518433+2.18429e-05j -0.0141166+0.00403748j 0.00240132-0.000299968j -0.0596523-0.0153738j -0.0176314-0.00642606j -0.0171594-0.0107157j 0.00706334+0.00527152j -0.000874166-0.0111532j -0.00241539-0.0251726j -0.0251858+0.0147839j -0.00255557-0.00225446j -0.00887186-0.021181j 0.0113403+0.00723385j 0.0129872+0.00613452j -0.00240988+0.00390991j -0.0103553-0.0160244j -0.0211031+0.0108556j -0.00584592-0.003306j -0.0181534+0.0104933j 0.011949+0.00210769j -0.0038884-0.00020587j 0.0169463+0.015563j -0.00953354+0.0138425j 0.015253-0.0177566j -0.00719949-0.00192858j 0.00206198+0.00294012j -0.00806824+0.00644217j 0.00353808-7.56293e-05j 
0.054517+0.00278517j -0.111157-0.00117181j 0.0376621-0.00599191j -0.0958669-0.00026467j 0.143939+0.0287384j 0.0598829+0.00270468j -0.00328992-0.00626762j 0.0198506-0.00323251j 0.00138464-0.000251616j -0.00393241-0.000314151j 0.0363994-0.00287632j 0.0271089-0.00430632j -0.0447617-0.00230562j -3.29411e-05-0.00365553j -0.00408554+0.00126318j -0.00942201-0.00249098j 0.0234127-0.00250783j 0.00730431-0.00389841j -0.00167234-0.0247614j -0.00243563+0.00299025j -0.01135+0.00421089j 0.0120386+0.0127406j 0.00164727+0.00454441j -0.0181651-0.0230145j -0.0126717+0.019049j -0.0096855-0.00144274j 0.0271051-0.0233441j 0.000976959+0.00336611j 0.00947816-0.00726382j -0.00265332-0.0048006j 0.00802711-0.0286175j -0.010788+0.0261437j 0.0512823-0.00183404j -0.0175583-0.0121629j 
0.102557-0.000390286j -0.136905-0.00417895j -0.0635398-0.00516162j -0.0426278-0.00979206j -0.0587153+0.00567973j 0.0281182+0.00453724j 0.0364213-0.00595726j 0.0350873-0.00136718j 0.0153077-0.00160257j -0.00317622-0.00268221j 0.0317374+0.000138649j 0.00816824-0.00414845j -0.00617136-0.00686097j -0.00535996-0.00709913j 0.00524139-0.00010924j -0.0100019-0.000744064j 0.0183268+0.00597994j 0.0412487+0.00603146j -0.00360391-0.0241154j -0.00342194+0.00567133j -0.0201975+0.0322791j -0.0164386-0.00603698j -0.0109554+0.027727j 0.0163016+0.0408436j 0.00276188-0.0185193j 0.0093902+0.0204627j -0.035309+0.0123592j -0.0107681+0.02948j 0.0460225-0.0015542j -0.0213549-0.000558753j -0.0101864+0.0122811j -0.00102863+0.0078644j 0.0030816-0.00815715j -0.0141393+0.00120106j 
0.23725-0.00103985j 0.0221134-0.0088434j 0.0327194+0.0143386j 0.0258308-0.00607462j -0.0237462+0.00463294j 0.00125898+0.00813751j 0.0625832-0.0050004j 0.022098+0.00309431j 0.0120163-0.00165693j 0.00260321+0.000643373j 0.00903034+0.00267945j 0.0149156-0.0106033j 0.0123854-0.00812366j -0.0129493-0.0181073j 0.0463093-0.0040974j -0.00956018+0.0308454j -0.00730826+0.0104533j -0.0189748-0.021953j 0.0175353+0.00895298j 0.0214059+0.00277049j -0.00680801-0.0195443j 0.00726236+0.0220443j 0.0282025-0.0267434j -0.00652703-0.00196893j -0.0225427+0.0110748j 0.00378306-0.00525529j 0.0054386-0.0039308j -0.00435766+0.0172679j 0.0138152-0.00302875j -0.0211262-0.000505082j -0.00500901+0.008058j -0.000423609+0.00458284j -0.00600208-0.00298423j -0.0145778+0.00202717j 
-0.0305736-0.00809481j 0.0872925+0.0285629j -0.0164942-0.0080192j 0.14329+0.0343129j -0.596857-0.119038j -0.159156-0.00828842j 0.144623-0.000871164j 0.0714056-0.00462191j 0.023768-0.0072234j 0.0446775-0.00802378j 0.0150674-0.00802667j -0.121909+0.0119539j 0.105413+0.0164647j -0.0172437-0.00692373j 0.055733-0.0167844j -0.00244411-0.0150014j -0.00246492+0.0119397j 0.00966029-0.00405004j -0.00256702+6.86916e-06j 0.021492-0.0131815j 0.000130927-0.00238603j -0.00131617+0.0140395j -0.00184465+0.000551859j -0.00594763-0.00330401j -0.00654726-0.00759383j 0.0234217-0.0125251j 0.00720267-0.00453235j -0.0106811+0.00705875j -0.0134179-0.00516795j -0.0220054-0.0223693j -0.0289424+0.004337j 0.052464-0.0158713j -0.0575095-0.00956602j -0.0594067+0.0446j 
-0.0570923-0.0529368j 0.166299+0.0388131j 0.000886742+0.0069108j 0.326393+0.0276834j 0.0982954+0.492263j -0.117002+0.0530792j 0.0299503-0.0172081j -0.053765+0.0167214j -0.00421345+0.00220122j -0.0300838+0.0142538j -0.112974+0.0382061j -0.0711377+0.0327041j 0.205591-0.141974j -0.00467349-0.00293232j -0.0191824+0.0161694j 0.0303703-0.00603923j -0.00768914+0.00898309j -0.00774812+0.0170433j 0.00657439+0.00320325j 9.27131e-05+0.00332069j 0.0389594-0.00390065j -0.00572487-0.00482717j -0.0215687-0.000138684j 0.00274732+0.000403199j -0.000317669-0.0163706j 0.0150953+0.00613362j -0.0161168+0.0106957j 0.00681047-0.0310568j -0.0559037+0.00667122j 0.0174403+0.00848406j 0.0259806-0.0120754j -0.00454247+0.0264099j -0.0559996+0.0415263j -0.0290515-0.0222519j 
-0.0766406-0.00422605j 0.188966+0.067424j -0.0111011-0.00722062j 0.341654+0.148958j 0.267332-0.409853j -0.105435-0.0524054j 0.0183209-0.00165717j -0.055563-0.0326156j -0.0127698-0.00413409j -0.0477683+0.00921677j -0.0990587-0.0523272j -0.0400789-0.00307047j 0.0650888+0.137065j -0.0101477-0.0159193j -0.0167853-0.0346634j 0.0134407-0.00568447j 0.0117519+0.00514701j -0.00751781-0.00474468j 0.00631018-0.0118084j -0.0120693-0.0112345j 0.026514+0.0155171j 0.0165715+0.00885693j -0.0171663-0.000961075j -0.00199014+0.00467013j -0.0117575+0.0107033j -0.0060432+0.00591752j -0.018617-0.0136406j 0.0309738+0.00422096j -0.0464335-0.0218254j -0.00990304+0.0339292j 0.0445192-0.0182106j -0.00520083-0.0489261j -0.0594924+0.0168801j 0.0287699+0.0261334j 
-0.0114516+0.0127597j 0.0750615-0.185281j -0.00720868+0.0290539j 0.0917638-0.625992j 0.034741-0.118983j -0.0309772+0.0396702j -0.00812031+0.0684306j -0.0412058+0.0900648j -0.00752427+0.0213092j -0.00667123-0.0394959j -0.0672879+0.108517j -0.0122207-0.0395252j 0.0499261-0.00250668j 0.00796225+0.00439144j -0.00609205+0.0268814j 0.0192922-0.00309418j -0.0138174+0.00246773j -0.0115708+0.0089596j 0.00506619+0.0176775j 0.00824059+0.00594724j 0.0100943-0.0102432j -0.00721202-0.0121386j -0.00167534-0.0100448j -0.00559618-0.0109641j 0.0117899-0.0141571j 0.000358191-0.00621969j 0.00284035-0.00910707j 0.0194684+0.0175442j -0.00558849+0.0144956j -0.0294596+0.0201964j 0.0106847+0.0298937j 0.0076874+0.000764004j -0.047745-0.0127486j -0.00152547-0.0263497j 
0.00717505+0.00471772j -0.00403593-0.00507195j -0.510511-0.476136j -0.00611149-0.0154741j 0.0211861+0.0168117j -0.00168965+0.00226703j 0.00107496+0.00145452j -0.017231+0.00808337j 0.100076-0.0518848j 0.0383623-0.0558556j 0.000932879-0.000687069j 0.00172814+0.000921999j -0.00832057-0.00049782j -0.00158463-8.20266e-05j 0.00423013+0.00450959j -0.00376596+0.000293484j 0.0100852+0.0307217j -0.00636809-0.0440396j 0.0289095-0.000893947j 0.00498187+0.0121668j 0.0217326-0.00981135j 0.00214515-0.00295209j 0.0313693-0.0117223j -0.0212869+0.0332299j -0.00641812-0.00438762j -0.00601964+0.0152225j -0.0495768-0.0105667j 0.014721-0.0355632j 0.00737115+0.00228197j 0.0186855+0.0242861j -0.00175528-0.00119095j 0.00188369+0.00196662j -0.000225998-0.000275757j -0.000162699-0.0010352j 
-0.117154-0.0992576j 0.355078+0.401736j 0.00560681-0.0144448j -0.363265-0.137772j -0.00510059+0.00133489j -0.0963526+0.00245508j -0.0154254-0.0808018j -0.105388-0.0303746j -0.0616081+0.0214254j 0.0355384-0.0188149j -0.0660295-0.00629815j -0.0106237+0.0344169j 0.00446716+0.0151172j -0.00674554-0.0147889j -0.0392388-0.0268093j 0.0251971-0.000846452j 0.014083+0.0119633j -0.0131253-0.0107082j 0.014468-0.00645709j -0.0221091+0.025358j 0.0259195+0.0121087j 0.00797182-0.0226755j 0.00683253-0.00615704j 0.0218234-0.0145014j 0.0290135+0.00787266j -0.0188901+0.0205481j 0.00353474+0.0147806j 0.00384342+0.00230133j -0.0321758+0.0149436j 0.00416167+0.00194283j 0.007804-0.0206924j -0.00436562-0.00504359j -0.0118378+0.0169021j 0.00889987+0.011222j 
