-0.0100768-0.0126464j 0.0106464-0.0324446j -0.00886987-0.0495604j 0.00919501-0.0423143j 0.0311598+0.0104647j -0.0425066+0.0303256j 0.00731074-0.00929641j -0.0189504-0.00329432j -0.000341528-0.0084875j -0.00778353-0.0193167j 0.00238014+0.0390214j -0.00561154-0.0182773j -0.000473902-0.00498511j -0.016963-0.00216911j -0.00580113-0.0173492j -0.0143896+0.0196613j -0.0148539-0.00382188j 0.0342578+0.00682318j 0.0156355-0.00120183j 0.0111081-0.0160293j -0.0150329+0.0154352j -0.00716867+0.00583504j 0.0038136+0.00576903j -0.00113051-0.00241492j 9.89863e-05+0.000559337j 0.00292355-0.0012104j 0.00266424+0.00864767j 0.0216387-0.0235984j -0.00120001+0.00727281j 0.0164237-0.0190323j 0.00507207+0.0109374j 0.0120631-0.0124297j -0.0123289+0.00862796j -0.0167049-0.00991038j 0.0100032-0.00405874j -0.0165165+0.00799257j -0.0141307-0.00496098j 0.00813093+0.0223351j 0.0285924+0.00762032j -0.0387612-0.0147124j -0.00893527+0.0220932j -0.0109041-0.0271747j 0.0129641-0.00335421j 0.026436+0.0101898j -0.0399377+0.00810558j 0.028834-0.000274746j -0.00471994+0.0112729j -0.045976-0.0173749j -0.02803+0.0172398j -0.0270567-0.0376569j -0.0308349+0.0281932j 0.03386+0.0214296j 0.0415148-0.0335842j -0.0312323+0.0110805j 0.0158794+0.0422189j 0.00662394-0.027717j 0.0252359-0.0167382j 0.0296539+0.031109j -0.0198098-0.0470107j 0.0043436+0.0161917j 0.0346928+0.0255024j 0.0152592+0.0192978j 0.0413313+0.0267193j 0.0628162-0.0593857j 0.00827246+0.0701795j -0.0432568-0.0225544j -0.0116751-0.0577608j -0.0530899-0.0103387j 0.0157969-0.114654j -0.137932+0.00594566j 0.0262794-0.053482j 0.00739455-0.021396j 
-0.0106295+0.0315476j -0.0120532-0.0166571j 0.0121631-0.050951j 0.0113008+0.0360212j -0.0212393+0.0313454j -0.0408502+0.00410654j -0.0228252+0.0169792j 0.0135366+0.0231835j 0.0195705+0.00892368j 0.0127904+0.00594065j -0.0135741+0.00952177j 0.0243239-0.00364474j -0.0143793+0.00779028j 0.00925361-0.015074j -0.00768025+0.0164956j -0.00871986-0.0137442j 0.0194389+0.00584471j 0.0108681-0.0075305j 0.00912249+0.00376425j -0.000243685-0.0281599j -0.0140336-0.0135361j 0.0126196+0.00729485j -0.00686428+0.00129191j -0.00520289-0.00297597j -0.00299041+0.022716j 0.0151525-0.00216013j -0.00302843-0.00496101j -0.00491962+0.00104938j -0.0175626-0.00597657j -0.000419579-0.0112526j 0.00630461-0.0130307j 0.00677863-0.0142197j 0.00906925-0.00773841j 0.00261046-0.00718554j -0.00905922-0.0313928j 0.00968159+0.0014197j 0.0190637+0.00103996j -0.00908571-0.00618515j -0.0217716-0.0247351j -0.0374145+0.0102398j 0.0311486-0.00444241j -0.0347992-0.000208768j 0.000677607+0.0294022j 0.0280194-0.00135335j 0.0133783+0.0113731j -0.0181293-0.0126851j -0.00466315-0.014592j -0.0301439-0.00193266j -0.0119401-0.0209617j 0.00183988+0.0522223j -0.0041578+0.023487j -0.00297361-0.0281586j -0.0304083-0.0514931j 0.0663938+0.0231541j 0.0599274-0.0179482j 0.0105285+0.000504561j -0.0117109+0.00464292j 0.043631-0.0356636j -0.00511561-0.0142423j 0.00911921+0.0013859j 0.00234555+0.0210562j 0.00576892+0.05387j -0.00931398+0.0206862j 0.0238355+0.0520603j -0.0803423+0.00806813j 0.0411833+0.0204542j 0.0347347-0.0319985j -0.0179036-0.0610986j 0.123894-0.00892028j 0.0107916-0.128577j 0.00496131-0.021402j -0.0279575+0.0598465j 
-0.00625791-0.0284367j 0.0098911-0.00515935j -0.0585852+0.0362644j -0.0300164-0.0291361j 0.0469633-0.0653378j 0.0258712+0.0168775j -0.0340169+0.00151846j 0.00509134-0.0264646j -0.0549431-0.00346397j -0.0288682+0.00609512j 0.0450178-0.00577152j -0.0255123+0.0194628j 0.0167306-0.00264436j -0.0221064+0.012697j -0.00691276+0.0109609j -0.0151704-0.0029243j 0.000164724-0.0159959j -0.0450938+0.00259051j -0.0286801+0.0290437j 0.0257801+0.0464457j 0.0126833-0.0202196j -0.0617846-0.0147775j 0.0158292+0.00737586j 0.0130201+0.0018615j 0.00157806-0.0110829j -0.00976659-0.00460646j -0.0398566-0.00768178j 0.0280703+0.00704495j 0.0253638-0.00765878j -0.0336635+0.0410909j 0.00479522+0.0223461j -0.0284371-0.0154552j -0.0243663+0.0106549j -0.0136279-0.0200982j 0.00150218-0.0189361j -0.0373629-0.0161206j -0.0263589+0.0151313j 0.0381775-0.0343223j -0.00168309-0.00206157j 0.0414119-0.0118728j 0.0032071-0.0222731j -0.00201385-0.0436765j -0.019644-0.0133162j -0.0456551+0.0441151j -0.00287043+0.00172007j -0.00263967-0.0180757j 0.0513272+0.0228151j 0.0187501+0.0210376j 0.0568806+0.021543j 0.0216461+0.0386678j -0.0159451+0.0141022j -0.0308385+0.0293913j 0.120359+0.0236207j 0.00858287+0.0379087j -0.000635119+0.0244776j -0.0247061-0.010726j -0.035551+0.0685637j 0.00910352+0.036572j -0.0146983-0.00981959j 0.0281061+0.0581538j 0.00217132-0.0193813j -0.0318113+0.0446681j -0.112858-0.0201296j 0.0253958+0.0105414j -0.0332908+0.00777944j 0.0609033-0.0848018j -0.115596-0.0927291j 0.0328068+0.0669115j -0.00669199-0.0267253j -0.00557057+0.0324393j 0.0246412-0.0187868j -0.0182185-0.012047j 
0.0155219-0.010655j 0.00487621+0.0365043j 0.0373551+0.044785j -0.0322827+0.00829152j -0.0208431-0.018141j 0.0501888-0.00574823j 0.0522621-0.0216561j -0.0348051+0.0431963j 0.0103534+0.0212498j 0.0134092+0.000615198j 0.00433964-0.030636j -0.0163611-0.029036j 0.00291059-0.00885809j 0.00348111+0.0159848j -0.0165775+0.000479383j 0.0157663-0.0146163j -0.00588458+0.0101523j -0.00949037-0.00773456j -0.0173343+0.0159906j -0.0220992-8.07184e-05j -0.00890551+0.0367471j 0.0252863-0.00369573j -0.0307501-0.00482645j 0.0239157+0.0117499j -0.00884842-0.0216803j -0.00963523+0.018797j -0.00593157+0.012904j -0.0151212+0.0362416j 0.00927806+0.0078109j 0.0318466-0.00140599j -0.0440514+0.00583715j 0.0221648+0.0589674j 0.017231+0.0285648j 0.00407161+0.0275693j 0.0114443+0.0233909j -0.00182169+0.017327j 0.0197047+0.0173235j -0.0118874+0.0202616j 0.0188259-0.01159j 0.0492126-0.00868663j -0.0248267-0.00661015j 0.0625177+0.0241045j -0.0268411-0.0582347j 0.0268905-0.0377757j 0.07143+0.00312813j 0.0301408-0.0193208j -0.0103621+0.0168019j 0.0508323-0.00208412j 0.00269475-0.00445703j 0.00110458-0.0149123j 0.00625975-0.0548065j -0.0410769+0.00662686j -0.0311575+0.0953636j -0.0436374-0.0216497j -0.0414357+0.0213895j 0.0206098+0.0711402j 0.00432242+0.0279411j -0.0569688+0.00654119j 0.0780172+0.06824j -0.0336858-0.0159892j -0.0331806-0.00112853j 0.0284829-0.0616363j -0.0192188+0.0528296j 0.0170113-0.0277316j 0.057746+0.00142532j -0.084207-0.040675j -0.0405784+0.111227j 0.0664619+0.0373054j -0.0582167+0.0327171j 0.0514119+0.0307729j 0.0297265+0.0186985j 0.0314283+0.00372031j 
-0.00383137+0.0217913j -0.0166861+0.00394927j -0.0066982+0.0272202j -0.0186852+0.042859j -0.0268226-0.0161908j 0.0247601-0.0291474j -0.0534358-0.0173264j 0.0462117+0.00392362j -0.00575632+0.0117183j -0.015172+0.0306762j 0.0121651-0.00619482j 0.0106022+0.0476508j 0.0185357-0.018668j 0.0298014-0.00786393j -0.01901+0.059178j 0.0111619-0.0420908j 0.0299016+0.0169503j -0.0198937-0.0725296j -0.0806538+0.0141492j -0.0244357-0.00210882j 0.0555085-0.00329332j -0.00513494-0.0149127j -0.0409697-0.0137197j 0.0139284+0.0279651j -0.0241604+0.017769j 0.0626538-0.00544251j -0.00482807-0.0433819j -0.0214848+0.0825213j -0.00885141-0.0276164j -0.0305406+0.0112989j -0.0174904+0.0157036j -0.0237622+0.0203979j 0.0205466-0.00504264j 0.049612+0.0359248j 0.015051-0.0325193j -0.0176109+0.0171207j 0.0188034-0.0394719j -0.000294868-0.0368939j -0.044068+0.00839682j 0.0467918-0.00532676j -0.0362283-0.0124275j -0.0296719+0.0305456j -0.0313978+0.0651471j -0.0325601-0.0142962j 0.0255901-0.0344656j -0.133307-0.0125697j 0.0468206-0.0511711j 0.0550374-0.00171068j -0.0186001-0.0374273j 0.0532105+0.0667687j 0.0256958+0.0555424j 0.00139053-0.0280034j -0.0482286+0.00213356j 0.0867141+0.0135772j 0.024338-0.0724948j -0.0143992-0.0296602j -0.0309236+0.0414847j 0.036419-0.0164954j -0.0126728+0.0318291j 0.00165663-0.0361407j -0.00573296-0.0187399j -0.0552584+0.0350185j -0.0165165-0.0497941j -0.0359209+0.0880332j -0.0311304-0.0751804j 0.0684135+0.0488901j 0.0425576-0.00636456j 0.0563794-0.0130739j 0.0584188+0.0410911j 0.0716436-0.0493529j -0.00744041-0.0334791j 0.0256215+0.0296192j 
0.00841117+0.0030906j -0.00501806+0.00530045j -0.0479224+0.0290421j 0.00199392-0.0191634j 0.0229603-0.0252506j 0.0481372+0.0107794j -0.0113498-0.0208349j 0.0115568-0.0199423j -0.00542568-0.0294518j -0.01521+0.0183127j 0.0181745+0.00417282j -0.0288703+0.00337817j 0.0367804+0.0362215j -0.00201054+0.00818166j -0.00668107+0.0406132j 0.0292017-0.00159988j -0.0277353-0.0441085j -0.0593346+0.0103734j -0.0164391+0.0124593j 0.0490221+0.0350382j -0.0180654+0.0439012j -0.016332-0.00252004j -0.00385284+0.0311845j 0.0341785-0.00630159j -0.00745762-0.0451789j -0.0317143+0.00545951j -0.0118643+0.0354663j 0.0132714+0.0175666j 0.0210944+0.00894356j 0.0284726+0.0253555j -0.0371925+0.025628j -0.00881306+0.0115332j 0.0237922+0.0140596j -0.0249157-0.00573756j 0.0123845+0.0280577j -0.0259239+0.0238633j -0.0212772+0.00925522j -0.00111494+0.0214543j 0.0209066+0.0257027j 0.0653892-0.0225226j -0.0473701-0.0238656j -0.0130868+0.0327523j -0.0328677-0.0393522j -0.007849-0.0187433j 0.0305293+0.0327376j 0.0212487-0.026131j 0.0195324+0.00744285j 0.03772+0.0328228j -0.000134418-0.0398131j 0.0373625-0.00863134j 0.00479458-0.0213909j 0.0478289+0.0265147j -0.0441008+0.0301352j -0.00411266+0.00145836j -0.0339622-0.0421013j -0.0281487+0.00302849j 0.0429883-0.0159543j -0.0312371+0.00978009j -0.000333852-0.0265754j -0.0180897-0.0635385j 0.0334401-0.0294101j -0.0324999-0.0249433j 0.0704147-0.0407272j -0.0580383-0.0168926j 0.0530864-0.0244881j -0.0110645+0.0597142j 0.00888428+0.0361397j -0.00216103+0.0435908j -0.0337183+0.0389402j 0.0377666+0.0501531j 0.0198453+0.022629j -0.0138721+0.0286476j 
0.00701937+0.0204401j -0.00235306+0.0157124j 0.0494251+0.00131423j 0.0291519+0.0365645j -0.0437347-0.0155159j -0.0245294-0.0888964j 0.0284971-0.0371584j 0.00317792+0.0375693j 0.0260884-0.0197905j 0.0132679-0.0129774j -0.0446327-0.0347447j 0.0426407+0.0727918j 0.0574546+0.0389822j -0.0128444-0.0736497j 0.0118725+0.00677383j -0.0076571-0.0168059j -0.0685919-0.0461457j 0.00733171+0.0082299j 0.0285818-0.0373666j 0.0164644-0.0172637j -0.0197769+0.0572408j 0.183078-0.025258j 0.0680457+0.0680936j 0.0341458+0.0116771j 0.0580842-0.00229788j -0.0203141+0.0188365j 0.0598266+0.0209164j 0.0193313+0.00250329j 0.00198625-0.0448132j 0.101483-0.0171009j -0.0436558+0.0645364j 0.000621757-0.0437765j 0.0718355-0.0446019j -0.0211054-0.0571119j 0.00181284-0.0243118j 0.0305286+0.0270811j -0.0824083+0.0253117j 0.0589585-0.0421378j -0.00376369+0.0269137j -0.0742787-0.0125601j -0.073441-0.0844565j -0.0436526+0.0853802j 0.0345224-0.025922j -0.00992796-0.0485544j 0.06133-0.00866627j 0.0327661+0.00590597j 0.0134094-0.0489302j -0.0167344+0.0716674j -0.0366675-0.0433439j -0.0475326+0.0106448j 0.0576394-0.00642926j 0.12143+0.0767726j -0.0908094+0.01863j 0.00592564+0.0145798j -0.0440851-0.0949438j -0.0681818-0.00498512j -0.0249389+0.0241848j -0.0517603+0.0978315j 0.0568513-0.0239298j -0.0206553-0.0640543j -0.0238229-0.0306759j -0.0418099+0.0178612j 0.119045-0.0288946j 0.0118224+0.0290127j 0.0935526-0.0293619j -0.0134083+0.0423952j 0.0680088+0.0526907j 0.0460487+0.0557702j -0.0318799+0.0180592j 0.0553428+0.0205421j -0.0353105+0.0175891j 0.00376578-0.000113542j 
0.00770414+0.0169163j -0.010949-0.0112059j -0.00491002-0.0258851j 0.0539878-0.0194401j -0.00752245+0.0938037j -8.77656e-05-0.00337697j -0.045538+0.00846787j 0.0467113-0.0431915j 0.0442563-0.017268j -0.0233883+0.0347824j 0.0110642+0.0319658j -0.077109-0.00495821j -0.0795033-0.0823398j 0.0377897+0.0530792j 0.0108806+0.0228433j -0.00307809+0.0551348j -0.0159666+0.0958792j 0.0301394+0.0485953j 0.0593037-0.0684477j -0.0528511-0.0150548j 0.0564878-0.0466878j 0.0357272+0.0479883j -0.00179776+0.019483j -0.0204247-0.02122j -0.0129985-0.11521j -0.107799-0.039665j 0.00800711+0.0777504j 0.00246307-0.0359322j -0.0571631+0.134191j -0.00703827-0.0736012j 0.0156873-0.0811175j 0.0812368+0.061623j -0.0218634-0.0318376j -0.0763974+0.0120559j 0.00801534+0.0829713j 0.112085+0.0170341j -0.0104976-0.0125796j -0.00571737+0.0278365j -0.0591656-0.0991612j -0.0612679-0.041602j 0.0310275+0.0555371j 0.0202064+0.0303617j 0.0169358+0.0386856j -0.100604-0.0633386j -0.0932191-0.0335756j -0.0175407-0.0296039j -0.0264742+0.0183115j 0.0189722-0.102574j 0.0591005-0.111513j -0.0242059-0.0564917j 0.0245963+0.00250794j 0.0102664-0.101837j -0.0759728-0.0170675j 0.0684972-0.0268343j -0.0697119-0.0828708j 0.0114331-0.0527715j 0.0926849-0.0385622j 0.0396441-0.104876j 0.0562918-0.0554376j 0.0901128-0.092341j 0.027128+0.0402084j 0.0619069-0.0599269j 0.0563055+0.00387402j -0.118369-0.0519186j -0.0657476-0.0517799j 0.00687986+0.104105j 0.0585273+0.0457342j -0.0526606-0.0829927j 0.0368339+0.0287536j -0.0102647-0.0249247j -0.00357046+0.00790554j -0.00260147+0.00461133j 
-0.00131609-0.0145627j 0.00199976-0.00133679j 0.0432234+0.0136813j -0.0175551-0.0144114j -0.0325998-0.00439387j 0.00820334+0.0219928j 0.0574998+0.00737423j -0.067371+0.0437432j 0.0325052+0.0421336j 0.00923533-0.0147406j 0.0119526-0.00998085j -0.0416473-0.0683167j -0.00158188-0.0493112j 0.0440597+0.00560033j -0.0211759-0.000438712j -0.0800555+0.0525365j -0.0800826+0.0413848j 0.0283527+0.0706729j 0.10466-0.0401953j -0.039331-0.00158213j -0.0362511+0.0657127j 0.169975+0.0437696j -0.0135928+0.0475847j 0.00144748+0.00921326j 0.0316977-0.103092j -0.124031+0.0645299j -0.00682618+0.0920123j 0.0388759-0.0295761j -0.0463175+0.0477454j 0.138724-0.047475j -0.0916602-0.0393118j 0.0680618+0.100305j -0.0183275+0.0825907j -0.0779815-0.0383589j -0.0294418+0.0287601j 0.076727+0.0294304j -0.0843385+0.0487411j 0.0675814+0.0669277j 0.0421157-0.133234j -0.100342-0.0587233j 0.0478971-0.0444572j 0.0232501+0.0390356j 0.0141224-0.0938558j 0.00729007-0.108676j 0.053992-0.0188168j 0.110875-0.10589j -0.0239926+0.0381122j 0.0293338-0.0383538j 0.0857399-0.0497726j -0.0545465-0.0345174j -0.0457678-0.0358486j -0.0348276+0.0124435j -0.0280197+0.0394634j -0.0267439+0.0319917j -0.037382+0.00553412j 0.0176053+0.0494615j -0.00234323-0.00657406j -0.0156181+0.0341981j 0.0513627+0.0300481j 0.0153556-0.0137673j -0.00354854+0.0499348j 0.0181531-0.0399767j -0.00273056+0.0498036j 0.01115-0.0350863j 0.0386505+0.0327399j -0.038821+0.00823307j -0.00485103+0.0149207j -0.0193707+0.0142573j -0.0211857+0.00429923j -0.0341859+0.0194077j 0.00819363-0.0112155j 0.0212664-0.00105712j 
0.00539688+0.0133386j 0.00119916-0.0026312j 0.00314403-0.0216918j 0.0108392-0.00559948j -0.0330126+0.0705318j -0.0128636+0.00571871j -0.0394568+0.00178035j 0.0751982+0.0167355j -0.0301838+0.0255129j 0.0133962+0.0349593j 0.0775291-0.0233261j 0.0225215-0.0306405j 0.0121125-0.0800693j 0.0422009+0.00344055j 0.0141208+0.104517j 0.0175083-0.020739j -0.0113111+0.142699j -0.0068228-0.0147711j -0.0597392+0.0216591j -0.10339+0.0412243j -0.0106152+0.0176749j 0.00868169-0.0917684j -0.0887019+0.0402989j 0.0190971+0.0762292j -0.0038203-0.088944j -0.0227852+0.124106j -0.0378605+0.0438971j 0.0775252+0.0549662j -0.00647525+0.121753j 0.0368262-0.0439371j 0.000760133+0.0613473j 0.0495729+0.0780463j 0.0125077+0.132166j 0.0833198+0.0474879j 0.0321678-0.0127945j 0.0341665+0.0403267j 0.0141505-0.0661058j 0.0272085-0.0490814j -0.0183217-0.00897273j 0.0197428-0.0552336j -0.0564819-0.00605558j -0.0614571+0.00504468j -0.0717469+0.0399378j 0.0316998-0.0202864j -0.0246363-0.0896493j -0.13528-0.00805257j 0.0656729-0.0167623j 0.0605708+0.0333588j 0.00789948-0.10327j 0.00205177-0.0319728j 0.0140775+0.0821536j 0.0853601-0.0414069j -0.0339667+0.0257171j 0.0160251-0.0113532j -0.0102345-0.0246792j 0.07484+0.042187j 0.0164169+0.0113321j 0.0400926-0.00362375j 0.0259604-0.0154301j -0.157779+0.000784986j 0.0234918-0.0420443j 0.0532447+0.0723984j -0.0361778-0.0265815j 0.0387921-0.0132143j 0.00367366-0.0738499j 0.0392789-0.00771878j 0.0224781+0.0209343j 0.0470595-0.0470674j 0.0374655+0.0275973j 0.0456846-0.0418466j -0.00683227-0.000906273j -0.0398987+0.0101943j 
-0.001184-0.00493801j -0.00909274-0.00586937j -0.0834995-0.0182811j 0.0396092-0.0216984j 0.0853782-0.00401969j -0.0294947-0.0148635j -0.0166092+0.010995j 0.0260267-0.0531247j -0.0290032-0.0500152j -0.0208117+0.0370851j 0.029265-0.0175524j 0.0300676+0.0983122j -0.0352943+0.0962815j -0.105701+0.00348166j 0.0274854+0.0599719j 0.106656+0.00500945j -0.0297111-0.14829j -0.136048+0.0403033j -0.0406091+0.0121973j 0.0827511+0.0295744j -0.115016+0.0462167j -0.0147956-0.11053j 0.149168+0.155344j 0.154566-0.00976229j 0.0423857-0.105654j -0.173126-0.0638576j -0.0357651+0.111997j 0.0967749+0.000190353j 0.062879+0.0985298j 0.0686394-0.0168574j -0.00508238+0.201051j 0.103986-0.158454j 0.133827-0.0811516j -0.124313-0.155676j 0.060392+0.0276424j 0.0545806+0.0476402j -0.0677901+0.116322j 0.0374455-0.0667655j 0.027039+0.128606j 0.0316649-0.071258j -0.0661505+0.0222596j -0.0040043+0.0232451j -0.0921961-0.108249j -0.0582841+0.0603475j -0.0539014+0.122528j 0.0677606-0.0348785j 0.0130414+0.0204423j 0.00562704-0.0181447j 0.0561739-0.0578414j -0.00195622+0.00546795j -0.0773067-0.0465729j 0.117929+0.0228863j -0.0396616-0.0890119j 0.0132403-0.0260132j -0.0734996+0.00367375j -0.0178537-0.0209134j 0.0325981-0.0497583j 0.0484351+0.0549663j -0.0360081-0.0617015j 0.00143545-0.081232j 0.0305665-0.00393055j -0.0424224-0.000334473j 0.0550315-0.0534835j -0.0347167-0.0064525j -0.0172805-0.0153521j 0.0438731-0.00935585j -0.00478769-0.00986507j -0.00100055+0.0320916j -0.0459905+0.00353521j -0.00475374+0.0326665j -0.0123721-0.0208685j 0.000284047+0.0103823j 
