0.969224-0j 0.00120469-0j -0.0025539-0j -0.00825826-0j 0.20074-0j 0.0010475-0j -0.0206795-0j -0.000247169-0j -0.00843259-0j -0.00507754-0j 0.100239-0j -0.00120944-0j 0.0178768-0j -0.0083461-0j -0.00502546-0j 0.0992109-0j -0.00119703-0j 0.0176934-0j 0.00065835-0j 0.000665172-0j -1.41737e-05-0j -1.40284e-05-0j 
-0.00120469-0j 0.993185-0j -0.000100391-0j 0.143932-0j -0.000123449-0j -0.00592558-0j -0.000604777-0j -7.27433e-06-0j 0.0722565-0j -0.000607217-0j -6.19738e-05-0j 0.0104293-0j -7.30368e-06-0j 0.0715154-0j -0.000600989-0j -6.13381e-05-0j 0.0103224-0j -7.22877e-06-0j -0.00372419-0j -0.00376278-0j -3.33366e-07-0j -3.29947e-07-0j 
0.0025539-0j -0.000100391-0j 0.938533-0j 0.00209366-0j -0.0249328-0j -8.7292e-05-0j -8.9092e-06-0j 0.280901-0j -7.30368e-06-0j 0.00128727-0j 0.000131382-0j -0.014453-0j 0.0682804-0j -7.22877e-06-0j 0.00127407-0j 0.000130034-0j -0.0143048-0j 0.0675801-0j -5.48625e-05-0j -5.5431e-05-0j 0.0325228-0j 0.0321892-0j 
0.00825826-0j 0.143932-0j 0.00209366-0j -0.0140441-0j 2.43456e-05-0j -1.22231e-05-0j -1.24751e-06-0j 2.88416e-06-0j -0.0101733-0j -0.00404402-0j -0.000412741-0j 0.140386-0j -0.000147983-0j 0.010364-0j 0.00411982-0j 0.000420478-0j -0.143017-0j 0.000150757-0j -0.000539709-0j 0.000529779-0j -1.12887e-05-0j 1.15003e-05-0j 
0.20074-0j 0.000123449-0j 0.0249328-0j -2.43456e-05-0j -0.0137022-0j 1.52788e-06-0j -3.0163e-05-0j 5.1791e-05-0j 0.000839521-0j 0.00102169-0j -0.0201699-0j -0.00563475-0j 0.169556-0j -0.000855257-0j -0.00104084-0j 0.020548-0j 0.00574037-0j -0.172734-0j 6.74637e-05-0j -6.62223e-05-0j -0.000270942-0j 0.000276021-0j 
0.0010475-0j 0.00592558-0j 8.7292e-05-0j 1.22231e-05-0j 1.52788e-06-0j -0.014366-0j 7.48507e-06-0j 9.00314e-08-0j -0.000418827-0j 0.100481-0j -5.23534e-05-0j -6.04525e-05-0j -6.1699e-06-0j 0.000426678-0j -0.102365-0j 5.33347e-05-0j 6.15856e-05-0j 6.28555e-06-0j 0.00323826-0j -0.00317867-0j -2.81616e-07-0j 2.86895e-07-0j 
0.0206795-0j -0.000604777-0j -8.9092e-06-0j -1.24751e-06-0j 3.0163e-05-0j -7.48507e-06-0j -0.0141431-0j -9.18879e-09-0j -0.00826834-0j 5.23534e-05-0j 0.0989218-0j 6.1699e-06-0j -0.000121804-0j 0.00842332-0j -5.33347e-05-0j -0.100776-0j -6.28555e-06-0j 0.000124087-0j -0.000330503-0j 0.000324422-0j 2.87423e-08-0j -2.92811e-08-0j 
0.000247169-0j -7.27433e-06-0j 0.280901-0j 2.88416e-06-0j -5.1791e-05-0j -9.00314e-08-0j -9.18879e-09-0j -0.0132621-0j 5.14159e-07-0j -0.000121037-0j -1.23533e-05-0j 0.00204917-0j -0.0198544-0j -5.23796e-07-0j 0.000123306-0j 1.25849e-05-0j -0.00208758-0j 0.0202266-0j -3.97533e-06-0j 3.90219e-06-0j 0.216576-0j -0.220635-0j 
-0.00843259-0j -0.0722565-0j 7.30368e-06-0j 0.0101733-0j 0.000839521-0j -0.000418827-0j 0.00826834-0j -5.14159e-07-0j -0.505575-0j -4.41585e-05-0j 0.000871762-0j 0.00075845-0j 5.11035e-05-0j 0.500593-0j 4.37233e-05-0j -0.00086317-0j -0.000750975-0j -5.05999e-05-0j 0.000270943-0j -0.00027364-0j -2.42433e-08-0j 2.40044e-08-0j 
-0.00507754-0j 0.000607217-0j -0.00128727-0j 0.00404402-0j 0.00102169-0j 0.100481-0j -5.23534e-05-0j 0.000121037-0j -4.41585e-05-0j -0.501129-0j 0.000261101-0j 0.000609361-0j 9.36142e-05-0j 4.37233e-05-0j 0.49619-0j -0.000258528-0j -0.000603355-0j -9.26916e-05-0j 0.000331836-0j -0.000335139-0j 7.14127e-06-0j -7.07089e-06-0j 
-0.100239-0j -6.19738e-05-0j 0.000131382-0j -0.000412741-0j 0.0201699-0j 5.23534e-05-0j 0.0989218-0j -1.23533e-05-0j -0.000871762-0j -0.000261101-0j -0.493351-0j -6.21927e-05-0j 0.0018481-0j 0.00086317-0j 0.000258528-0j 0.488489-0j 6.15797e-05-0j -0.00182989-0j -3.38679e-05-0j 3.4205e-05-0j -7.28853e-07-0j 7.2167e-07-0j 
