-0.00896659-0.0262564j 0.0187989+0.0611083j 0.0210854+0.00972883j 0.0642178+0.0191161j 0.0142915-0.00390049j 0.0196531+0.0108131j 0.0563059-0.016631j -0.00751338-0.00218835j 0.0377704-0.0151759j 0.00263565+0.00800827j -0.0120159-0.00180065j -0.0270057+0.0260699j 0.0186929-0.00287366j -0.00499096-0.0189733j -0.00955958-0.0127388j 0.00240272-0.00154667j 0.00360151-0.00900777j 0.00994033+0.00261375j -0.0276806+0.0184436j 0.00900555-0.0144467j -0.0154789+0.0163024j 0.00397895-0.0356463j 0.00551825+0.00954999j 0.0160422+0.00729686j 0.00645803+0.00641316j 0.0120339-0.0101161j 0.00169187-0.050973j -0.012394-0.026875j -0.00187005-0.00535009j -0.00731562-0.0295765j 0.00296396+0.0321188j 0.0037969+0.000241297j 0.00466554-0.00606733j 0.0126388-0.0004146j -0.0158946-0.0450225j -0.00584543-0.000554181j 0.00109209-0.0298038j -0.0731515-0.00718254j 0.00216174-0.0195038j 0.00338893-0.017502j -0.00410921+0.0159072j -0.0280932+0.0442356j -0.038891-0.00932048j 0.0369075+0.0566298j 0.00424891+0.0971431j -0.0875157+0.0897187j -0.0786047-0.0404504j -0.0543405+0.0403683j -0.0725478+0.0150899j 0.0167059-0.0925581j 0.0603257-0.0360418j 0.0119568+0.053116j 0.0284808-0.0481841j -0.0919859+0.091491j -0.167428-0.211324j -0.124118-0.0208026j 
-0.019505-0.0624032j -0.00846046-0.0268837j -0.0586876-0.0208227j 0.0246443+0.0142759j -0.019829+0.000145202j -0.0217918+0.00543643j 0.00957729+0.0101897j 0.0523956-0.0242142j -0.000305587-0.00499806j 0.00461538-0.0131874j -0.00028909-0.00175218j -0.0196087-0.00616665j -0.0321427+0.0364194j 0.0295252-0.0477023j -0.00961639+0.0158015j -0.0259264+0.0236627j -0.00797482+0.00956694j -0.0134231-0.00655504j -0.00612744-0.0103076j -0.00733446+0.00033853j -0.00404103+0.00481836j 0.00221237-0.00444277j -0.0133059+0.0089243j -0.0167721+0.0136352j 0.00617271+0.00241036j 0.0149432-0.0254052j -0.0215036-0.00066773j 0.00199412-0.012462j 0.0065233-0.00353213j 0.00764643-0.0075009j -0.000378019+0.0358837j 0.0023456+0.00184876j -0.00142363+0.0294531j -0.0201671+0.0180476j 0.0521511+0.0208341j -0.022335+0.00933734j -0.000837391-0.00192122j 0.0113691-0.03576j 0.0167498-0.0271433j 0.0384464-0.00157583j 0.0029077+0.0399932j -0.0315797-0.0199603j 0.00514936+0.00578568j -0.0896075+0.0335976j -0.0915218+0.0477552j -0.0583248-0.109673j 0.0296925-0.0535979j -0.0826646-0.0403343j 0.0154026-0.0628963j 0.0771612-0.0154114j 0.0066922+0.0881925j -0.0296024+0.0383098j -0.0785299+0.0901236j -0.0290306+0.0352721j -0.12844-0.0188156j 0.169466+0.215173j 
-0.0133514+0.0306742j -0.00301889+0.0603758j 0.0233619+0.0131341j 0.00858307-0.00550255j -0.0272394-0.0240316j 0.0512279+0.0198559j -3.14811e-05-0.0122007j 0.00359314-0.0080974j -0.00572102-0.0313217j 0.0146306+0.0101441j -0.0466334-0.00285126j 0.0104952-0.0014097j 0.0609659-0.00968619j 0.0464276+0.0169132j -0.0334704-0.00829529j 0.00441884-0.0125759j -0.00678661+0.0239242j 0.00232919-0.00634898j -0.00292611-0.0295553j -0.0142626+0.0176476j 0.0150082-0.0419429j -0.0234142+0.0380961j 0.0382013-0.00802356j 0.012634-0.0344565j 0.00620239-0.0108231j -0.0442877+0.0347851j 0.0391202+0.0043487j -0.0102559+0.0364637j -0.0100354+0.024607j -0.0302482-0.00223384j -0.00443604+0.0197593j -0.0531535-0.0181849j 0.0174523-0.00442381j 0.0441932-0.0438434j 0.0218639+0.0778149j 0.0222178+0.039591j -0.0347163+0.0170789j 0.00374441+0.0305864j -0.0958325+0.0436027j 0.0243012+0.00620521j -0.0319031+0.0258591j -0.00840729+0.0393007j -0.103763+0.081765j 0.0439729+0.000390241j 0.0810077+0.000998862j -0.0180738-0.0465202j 0.0297489-0.176285j -0.0194399-0.049033j 0.0200633-0.0793611j -0.0918445+0.0347049j 0.0341423+0.0616155j 0.0076789+0.125066j -0.0623953-0.0180933j 0.0167056-0.0987228j -0.128371-0.192453j -0.126701+0.0293237j 
-0.00260152+0.0596338j 0.0225329-0.0342304j 0.023626+0.00838468j -0.0310073+0.00534879j 0.034913+0.0431762j 0.00393145+0.0155082j -0.0426612-0.0324408j 0.0213364+0.0116813j 0.0164935+0.0197653j 0.0128034+0.000382344j -0.0276198+0.0177247j 0.0428443+0.0223107j -0.0663777-0.000609214j 0.0133801+0.00130643j 0.0119062-0.0185863j -0.00860231+0.00698508j 0.00709075-0.0129238j -0.0240909-0.0164572j 0.0261983-0.0004854j 0.0191739+0.001205j 0.00076874+0.0326144j 0.0160572+0.0121205j -0.0431464-0.00525884j -0.04392-0.00265167j -0.0353184+0.0195096j -0.0356339+0.0106971j 0.0405401-0.051278j 0.0421284-0.0224519j 0.0160361+0.00424562j 0.0294081-0.00178527j 0.0273254+0.0349627j 0.0271694+0.0301546j -0.0369728+0.0304252j -0.0542838-0.0152585j 0.0356014-0.00334607j 0.0641488+0.0242435j 0.00309313+0.0995843j -0.00972017+0.00809381j 0.0467197+0.0582714j 0.0756203+0.00179799j -0.0236177-0.00745521j 0.04993+0.0109932j 0.0532391+0.0768049j -0.0366248-0.00339912j 0.036689-0.0758029j -0.0253305+0.0504908j -0.165713-0.0388953j -0.027799+0.0100016j -0.0195386-0.0881949j 0.0022268-0.0291319j -0.0469168-0.0675928j 0.0489526+0.021609j 0.0262132+0.0714583j -0.0964012-0.0644596j 0.115934-0.0222863j -0.129502-0.191708j 
0.0152044+0.00023262j -0.00618364-0.0507359j -0.0155636-0.000867113j -0.00860399-0.0482904j -0.00727882-0.0369331j -0.00552855-0.0623866j 0.0125161+0.0683811j -0.0562596+0.000175367j -0.0283187-0.0101322j 0.0239226+0.0124133j 0.0524128-0.0155575j -0.0145104-0.0465647j 0.0610915+0.0182357j -0.0258973+0.0305877j 0.00446981-0.0207123j 0.00978109-0.0182852j -0.0303829+0.0137158j 0.0198467+0.00254067j 0.0395356-0.0217384j -0.0432919-0.0309214j 0.0274189-0.0167458j -0.0597269-0.0201485j -0.0104697-0.0179868j 0.032984-0.00678114j 0.00421075+0.043825j -0.00275395-0.00121473j 0.0017875+0.0515093j -0.020569-0.038021j -0.0406784+0.0117069j -0.0589722+0.00696811j -0.0391951-0.0175634j -0.0456194+0.0102031j -0.00707346+0.00206408j -0.0210221+0.106794j 0.0148395-0.00070685j -0.0529448+0.034626j 0.0831921+0.0362014j -0.0292437-0.0349793j 0.0193018+0.0162358j 0.0212265-0.124696j -0.0485414+0.0684258j 0.0446352-0.0210233j 0.0666842-0.0239758j 0.0874842-0.0515352j -0.0244169-0.0329485j 0.0621761-0.000103649j -0.0494549-0.0697623j 0.179067+0.0438708j -0.0825888-0.120987j -0.182174+0.0508638j -0.0215281+0.164074j 0.0679145+0.199426j 0.107023+0.0837259j 0.0876902-0.0663336j 0.074622+0.0887934j -0.0150034-0.0047896j 
0.00938211-0.0540903j 0.00958772-0.043267j -0.0348747-0.0501741j -0.0314867+0.00386839j -0.036395-0.0288469j -0.00380986+0.0681872j -0.0544472-0.00857832j 0.0455805-0.00413744j -0.0166257+0.0224618j 0.00535832+0.00860263j 0.00640751-0.00764724j -0.00669048-0.0162669j 0.0497563+0.0161298j 0.0302006+0.00240047j 0.0113332+0.0179045j -0.0341063+0.00409518j -0.000851575+0.0578838j 0.00206454+0.00139751j -0.013059-0.0351158j 0.0301461+0.0569992j 0.00274659-0.02031j -0.077967+0.056115j -0.00315061-0.0347542j -0.0106436+0.00405083j 0.0745838-0.0647412j -0.0646229+0.0193737j 0.029486+0.0661086j -0.0842239+0.00928172j 0.0706408+0.0589496j 0.0532343+0.00676712j -0.0429858+0.101163j 0.0922846-0.0247913j 0.00583569+0.0529855j 0.0139632+0.0263985j 0.0778701-0.0260939j -0.00723213+0.0610035j 0.0473167-0.0208533j -0.0280537+0.00446173j 0.037622-0.0689032j -0.0724672+0.0838152j 0.111898+0.00697151j 0.14542+0.0461796j -0.00183763+0.0199245j -0.0109258-0.103146j -0.0735704-0.0515797j -0.0279377-0.0149643j 0.0372899+0.0266654j 0.0791283-0.0374313j 0.0517972-0.101189j -0.0958994-0.0737773j -0.0912152-0.0901262j 0.0603119+0.0625222j -0.0758766+0.075391j 0.0269383-0.0302188j 0.0627902+0.0551144j 0.0817942+0.0821352j 
0.0321354-0.0719116j -0.028374+0.0412003j -0.0465673+0.00928962j 0.0397035+0.018022j -0.0163552+0.0112754j -0.0197653-0.028947j 0.0364572-0.0316146j 0.049352-0.0087848j 0.0437298-0.0109745j -0.033257-0.044965j -0.0251625+0.0241443j -0.024264-0.00124279j -0.0313082+0.00915692j -0.0208947-0.00407713j 0.00369537+0.0227925j 0.0111571-0.0122992j 0.0129146-0.00327701j 0.0416333+0.0198467j -0.00865193+0.0224611j -0.0236828-0.0530476j -0.0533736+0.0233031j -0.0266068+0.0465764j 0.0733393-0.0157898j -0.0121064-0.0188249j 0.00489119-0.047463j 0.0201734+0.0120772j 0.0724035-0.0521338j -0.0637227+0.0246929j 0.023907-0.0728793j -0.063419-0.0361933j 0.074381-0.0229789j 1.07834e-05-0.0300745j 0.127111+0.0778573j -0.0190257-0.0165153j -0.0632813-0.077786j -0.00117009+0.021207j -0.0156868+0.0928113j 0.0149359+0.0193346j -0.0507419-0.0375174j 0.0902457-0.0212724j 0.0473571+0.0303065j 0.000902811-0.163746j 0.0238107+0.0238111j -0.0882376-0.103765j -0.0691781+0.011333j -0.0877253-0.0444091j -0.00134397-0.0251607j 0.0102609+0.0175195j 0.0606692-0.0695494j -0.0313645-0.00879306j -0.148502+0.000783309j -0.0292085+0.0346043j 0.0485903+0.106007j -0.0153167+0.0998524j -0.0544587-0.0498112j 0.0636987+0.0839589j 
-0.0241126-0.0141579j -0.0265321+0.0539851j 0.0543532-0.0143278j -0.0161458-0.000321362j -0.0187518-0.058248j -0.0212758+0.057697j -0.0283885-0.029629j -0.0043628-0.0147488j -0.0353156-0.039059j -0.0446222-0.0424791j 0.00254555-0.0174898j -0.0066078+0.0249156j -0.0136539-0.0723914j 0.0211087+0.0167816j -0.0218939+0.0305183j 0.0184385-0.0282825j 0.0174223-0.0427084j -0.0096085-0.00759114j -0.0251957+0.0119726j 0.073659+0.0261743j -0.00675253+0.0833608j 0.0441279+0.0646279j 0.0397332-0.00477359j 0.0142673+0.0384734j 0.0418198+0.0450395j 0.0216976-0.016235j -0.0161009+0.00120153j -0.0182864+0.00160126j -0.0326983+0.063142j -0.0291538+0.0250394j -0.016571-0.0403935j 0.0087825-0.101537j -0.00218807-0.0934557j 0.0316337+0.0598891j -0.0634462+0.0384246j -0.0456616-0.00944507j 0.0823207-0.0717051j -0.00374589+0.0111938j -0.019366+0.106371j -0.0934611-0.0293477j 0.115038+0.0262187j -0.124783-0.0423869j 0.107295-0.0861827j -0.0142558-0.0725753j 0.0242601+0.0782715j -0.0587076-0.0063484j -0.128936+0.00759247j 0.0562925-0.0754236j 0.104579-0.0506137j 0.103017-0.157669j -0.0964716-0.110875j 0.0188863+0.040559j 0.00484192-0.0889314j 0.0940753+0.110039j 0.0142669-0.0473986j -0.0357004-0.00437154j 
0.00648136+0.015575j 0.0301159+0.00431043j 0.0490472+0.0333933j 0.0479728-0.0123536j 0.0248507-0.0106161j 0.0286052-0.0261165j 0.101308-0.000570325j -0.0642052+0.0347022j 0.0672731+0.0510966j 0.010403-0.0148067j 0.00623221+0.0604437j -0.105097-0.0122945j 0.0885859-0.0548504j -0.0103999+0.0621004j 0.0691316-0.00589674j -0.0227483-0.0599906j 0.00243786-0.0538582j 0.0318723+0.00429197j -0.056178+0.0119985j 0.0590626-0.0235686j -3.71072e-05+0.0540489j -0.0242507-0.0630269j 0.0457292+0.013452j 0.00124045-0.028368j 0.0229948+0.0800866j 0.00686402+0.0311571j 0.0336789-0.0578431j 0.034646-0.0388482j 0.0354586+0.0105009j 0.0583601+0.0411172j 0.00755144+0.0296996j 0.159134-0.0247049j -0.0517011+0.0447257j 0.0239451-0.0468461j -0.0708503-0.064924j -0.0380168+0.0300442j 0.0853737+0.111339j -0.125189+0.0657936j 0.0655751-0.0127861j 0.0617451-0.00669384j -0.0780224+0.014552j -0.00928632+0.0476667j 0.0121929-0.0134493j 0.107739+0.0496804j 0.16099+0.128874j -0.121362+0.121769j -0.220884+0.0393481j -0.035527-0.068761j -0.077235+0.0237046j -0.137078-0.108526j -0.068607-0.0245713j 0.0554603+0.0328637j 0.0576113-0.0052638j -0.00991937+0.0723112j -0.0334036-0.131826j -0.286432-0.124928j 
-0.0392248-0.030495j -0.0212812+0.0312853j -0.0320439-0.0166053j 0.0864174+0.0240969j -0.0117284-0.0118121j -0.0177238-0.002756j 0.0762876-0.00616218j 0.0719995-0.0263494j 0.0372722-0.0478307j 0.04249+0.0506434j 0.0105868+0.0555082j -0.0382182+0.0427735j -0.066347+0.0351796j 0.0955067-0.0774949j -0.0397826+0.0172746j -0.0499399+0.0169213j -0.0482664-0.00406724j 0.0203694-0.0163618j 0.0271786+0.00579016j 0.0439592+0.0299751j 0.00741909+0.0348536j 0.00269342-0.0421736j -0.0838665+0.0187753j -0.0193988-0.0331651j -0.07941+0.0574711j 0.00955733-0.0362946j -0.112046-0.0519807j 0.0324992+0.0135036j -0.0235679+0.0601864j -0.111885-0.0615422j -0.0366242+0.146556j 0.039248+0.0384433j -0.0216863+0.0130036j 0.0381312+0.0363363j 0.0372972-0.00781025j -0.081444+0.0176198j -0.0964677+0.00915209j -0.0110028-0.0269173j 0.0113116-0.0334287j 0.0281069-0.0572338j -0.052879+0.138744j -0.0380838+0.0318179j -0.127853+0.0414572j -0.0975293+0.116521j -0.139354+0.104114j -0.224932-0.157346j 0.0293926-0.0932185j -0.172347-0.0234309j -0.0376906-0.0477485j -0.023205-0.0626113j 0.104874+0.0947664j 0.0487877+0.0869496j 0.00459818+0.0592652j -0.0431889+0.0557103j -0.339768-0.157715j 0.0493814+0.185096j 
-0.0540669+0.030569j 0.0111131+0.061699j 0.0674605-0.010284j 0.0346458+0.0350658j 0.0297395-0.0248795j 0.0741956+0.0284785j 0.0251445+0.00664038j -0.0450565+0.0340883j 0.0319064-0.0443523j 0.00866346+0.0173282j 3.96359e-06-0.0590997j 0.0337555-0.0132028j 0.0514914+0.0173434j 0.0708635+0.0270009j -0.0190706-0.0525546j 3.37236e-07+0.00716498j -0.0166397+0.0348324j 0.0345782-0.00616903j 0.0255435+0.0101556j -0.0207857-0.0230405j -0.0370456-0.0410821j 0.0541338-0.0426386j -0.0370204-0.0464833j -0.0455949-0.0568578j 0.0577982-0.0117395j 0.0188617+0.0385271j 0.0382012-0.0346108j 0.00243942-0.0488011j 0.00155872-0.0444778j -0.00146037-0.0195188j -0.0304725+0.076629j -0.178284-0.0320178j 0.052513-0.049543j -0.0383465+0.0245095j 0.0222254-0.0533922j -0.0231397-0.0286419j -0.065808-0.166555j -0.0627344+0.0252476j -0.043175-0.0315332j -0.0680276+0.00319367j -0.00994411-0.00380439j 0.00704932+0.0930462j -0.143811+0.0371287j 0.122109-0.0128858j -0.0662278+0.0146062j -0.123829+0.290029j -0.0968239-0.130033j 0.0178242+0.157982j -0.00780325+0.0891715j -0.00118031+0.0653694j -0.018547-0.0644336j 0.0297595+0.129847j -0.00593304-0.115563j -0.0146388-0.0333854j -0.0553182-0.176974j -0.203325-0.105868j 
