-3.20047e-16+0.0144506j 1.39623e-15+0.0410662j -8.00483e-18-0.0280313j 3.01568e-17+0.00172809j 1.28716e-17+0.004719j 7.42496e-18-0.0139738j -1.50208e-17+0.00352988j 7.88356e-18-0.000119992j -1.9172e-17+0.00650691j 1.51437e-16-0.0257139j 1.89364e-16-0.0151003j -3.27915e-16+0.0211546j 1.61297e-17-0.00813478j 2.10327e-17-0.00157929j 6.42307e-16-0.00229497j -7.64023e-15-0.0224048j 1.07035e-16+0.00502555j -9.75116e-17-0.0157198j 1.10061e-16-0.00138915j -1.73603e-16-0.0366749j -1.30359e-16+0.0181577j -6.27071e-17+0.00478105j -1.83588e-15+0.0164183j -2.57069e-16+0.00354619j 6.42302e-17-0.000746648j 2.73271e-17-0.00310861j -7.31789e-17+0.0222723j 1.72001e-15-0.0163244j 8.54474e-14-0.0250997j -1.58404e-16+0.014457j 1.83037e-16-0.02911j 2.02961e-16-0.0113339j 2.67962e-17-0.00453918j 1.07926e-16+0.00950299j 1.02767e-16-0.000485272j 9.68331e-17-0.0209459j 9.25558e-17-0.00703874j -1.18766e-15-0.0101446j 4.35134e-16+0.0212457j -3.59454e-18+0.00145745j -4.93942e-16-0.0142905j -6.65405e-17+0.00618164j -6.13222e-17+0.00384134j -5.07921e-17+0.018812j 3.52948e-17+0.0072912j 3.44668e-17-0.00673243j 1.68927e-17-0.00646817j 1.00504e-17+0.00571245j 1.07857e-18+0.00915902j -1.24345e-17+0.00507336j 1.03839e-18-0.00796048j -5.83315e-19+0.0166828j -1.38335e-16-0.0357157j -5.82941e-17-0.00413466j -4.54721e-15-0.0122763j -9.56122e-16-0.0339159j 
-3.4525e-18-0.0382866j 2.10752e-16-0.00335421j -2.10989e-17-0.0138993j 4.2469e-17+0.0125985j -1.27867e-17+0.0148233j -3.05508e-17+0.0149786j 1.34843e-17-0.00640884j -1.96019e-17+0.0213176j 2.64176e-17-0.00610494j -1.23756e-17+0.00107191j 4.85633e-17+0.00010028j -7.70775e-17+0.00793921j -3.89623e-17-0.0144876j 8.24827e-18-0.0172336j -4.53041e-16+0.00301956j 5.543e-15+0.0164246j -1.16614e-16+0.0034681j 4.61313e-17-0.0186838j 2.26775e-16+0.000209026j 7.57167e-17+0.0264257j 2.15606e-16+0.0296396j -2.59211e-16-0.00932556j 9.53808e-16-0.0110715j -1.4122e-15+0.0230142j 4.90518e-17-0.022468j 1.61151e-16+0.00115835j -9.37379e-17-0.00495383j 2.70874e-16-0.00682545j 1.16474e-14-0.00335002j -1.37041e-16+0.0073822j -7.17503e-18-0.0113456j 3.98644e-17+0.00813007j 2.52179e-17-0.00336699j 2.40503e-17+0.0119226j 2.05137e-16-0.0193278j 5.28448e-18+0.000178947j -8.36007e-17+0.0333052j -9.64104e-17-0.000745337j -2.54667e-17-0.00622859j -3.00487e-17+0.00189173j 6.78619e-16+0.0202771j 1.13669e-16-0.0126388j -6.25677e-18+0.0111303j 1.375e-17-0.00562843j 1.2267e-16+0.0116821j 4.45637e-17+0.0113663j 1.54114e-17-0.00127009j -1.72624e-17+0.021981j 3.89242e-17-0.00290121j 2.13372e-18+0.00513815j 1.75827e-17-0.0219932j 1.2114e-17+0.00530036j -4.78595e-18+0.00195468j -4.69873e-18-0.00127268j -4.79347e-15-0.0265435j -1.07517e-15+0.0275622j 
-6.2716e-17-0.0440851j 2.98639e-16-0.00165267j -5.29775e-17+0.00538309j 9.75972e-17+0.0452694j 1.89232e-17+0.015615j 6.96341e-18+0.00899753j 7.73104e-18+0.00198468j 2.61759e-17-0.00602945j 2.15587e-17-0.00674583j 3.94058e-17-0.0101432j -1.15829e-17+0.0128242j 1.63882e-17+0.00862708j -2.57289e-17-0.0110046j -4.53423e-17+0.0092302j -4.26524e-16+0.00459551j 5.55119e-15+0.016673j -1.11072e-16+0.00616603j 1.80124e-16-0.0125035j 4.74908e-16-0.0313059j -1.70819e-17+0.0122759j 7.78561e-17+0.0157509j -2.12893e-16-0.0221714j -9.79879e-16+0.00808475j 1.62878e-16-0.00631102j -3.32709e-16-0.0294722j 2.60136e-16+0.0302512j -1.67619e-16+0.0166716j 1.78358e-15-0.011953j 8.91151e-14-0.0262882j -4.02663e-16+0.0256704j -2.8832e-16+0.0141935j -1.27799e-16+0.0133494j -3.82466e-16+0.0105274j -3.96338e-17+0.0184417j 3.19173e-16-0.0285276j 8.45858e-17+0.000204935j -1.37179e-17+0.0367974j -5.46103e-16+0.00462468j 3.15097e-19+0.0209121j -1.57984e-16-0.00124479j 8.84173e-16+0.0262699j 1.07558e-16+0.00499642j -3.21794e-17-0.00639204j -1.32951e-17+0.000805856j 1.90249e-16+0.0141598j 9.58442e-17+0.0143343j 5.29763e-17-0.0153442j 1.08123e-17+0.00140314j 5.41481e-17-0.00361301j -3.76811e-18+0.00540494j 9.60231e-18-0.0264303j 3.82239e-17-0.00997287j 9.35266e-18+0.0114159j 3.82158e-18-0.0285256j -7.84339e-15-0.0404575j -1.69148e-15+0.0315482j 
1.97128e-16-0.0362162j -1.17381e-15-0.0375862j 3.59143e-17-0.00893615j -5.24369e-17-0.0189355j -1.28781e-17-0.00275383j 3.21242e-17+0.0267038j -2.21448e-17-0.0151034j 1.13119e-17+0.0339352j 7.12042e-18-0.0234471j -9.02486e-17+0.0269668j -6.83869e-17+0.010169j 1.07739e-16-0.00795117j -2.81783e-17-0.00357273j -6.5801e-17-0.0345625j -8.16964e-16+0.00685091j 1.00595e-14+0.0295528j -1.68875e-16-0.00135802j 9.49518e-17-0.00683785j 1.64107e-17+0.0111654j 4.30039e-16+0.056932j 4.32493e-16+0.0239675j -2.34108e-16-0.00904321j 3.44649e-15-0.0348883j -1.32624e-15+0.0248156j 1.80786e-16-0.0137457j -8.50229e-17-0.0329664j -5.52447e-17-0.0309019j -1.86975e-15+0.013152j -9.692e-14+0.0285821j 1.74311e-16-0.0143315j 1.61508e-16-0.0146047j 9.6779e-17+0.00863203j 3.94041e-17+0.00145527j -1.59966e-16+0.00173529j -8.08201e-17-0.0161501j -1.34414e-16+0.0375372j -1.31803e-16+0.0264788j 9.38869e-16+0.00158675j -3.66636e-16-0.0385699j 5.178e-17+0.000862795j 8.92013e-16+0.0242851j 7.9719e-17-0.0241125j 7.96731e-17+0.0229589j -2.03503e-17-0.028767j 8.5628e-20-0.00230928j 8.49646e-18+0.0140962j 4.14292e-17+0.0169455j 2.49159e-17+0.0278749j 1.29764e-17-0.0219878j 2.31652e-17+0.0016092j -1.15808e-17-0.0067642j -1.15467e-17+0.00105218j 1.72451e-16+0.0165659j 7.63614e-17+0.0313581j 2.98375e-15+0.00252621j 6.98401e-16+0.04779j 
-5.97084e-16-0.00929956j 2.73724e-15+0.0722134j -1.93511e-17-0.0785885j 7.92772e-17-0.000206674j -1.07606e-17+0.0167293j -6.9541e-18-0.0123619j -4.02831e-17-0.00315851j -4.95584e-17+0.0346316j -5.27302e-17-0.00129984j 2.80285e-16-0.0426346j 4.09245e-16-0.0265427j -6.74532e-16+0.0475183j 3.41065e-17-0.0310249j 2.15681e-17-0.0331916j 7.2288e-16+0.00124465j -8.13789e-15-0.0235509j 1.04504e-16+0.0106809j -1.57281e-16-0.0510927j 3.13591e-16+0.00439994j -1.43564e-16-0.0373443j 4.34728e-17+0.0755594j -3.9574e-16+0.00214009j -1.73114e-15+0.0119605j -2.19783e-15+0.0354689j 2.87458e-16-0.017741j 8.68806e-17-0.0261227j -1.92899e-16+0.0308548j 3.05705e-15-0.0347403j 1.48684e-13-0.0435779j -2.8863e-16+0.0291305j 5.39222e-16-0.0840986j 5.05534e-16-0.0182768j 2.02451e-16-0.0138204j 1.83057e-16+0.0299575j 2.52311e-16-0.0181852j 1.38356e-16-0.0263667j 4.51866e-17+0.0188227j -2.18112e-15-0.0207734j 7.69673e-16+0.0230888j -4.07783e-17+0.00372517j -2.11021e-16-0.00640107j -6.83395e-18-0.00789268j -1.17087e-16+0.0290973j -1.44815e-16+0.0250388j 1.90002e-16+0.0223359j 9.03938e-17+0.00169219j 9.15463e-17-0.00951607j -3.03301e-17+0.0431727j -9.28103e-20+0.005478j -1.7246e-17+0.0153916j 1.29246e-17-0.0316416j -1.76512e-17+0.0445004j -2.71737e-16-0.0729377j -1.05366e-16+0.0076374j -1.17518e-14-0.0429175j -2.51178e-15-0.0357795j 
-9.97918e-17+0.0614801j 6.6506e-16+0.0305168j 2.3828e-17-0.00323644j -5.55756e-17-0.0178588j 2.41918e-17-0.02373j -1.8347e-17-0.0312087j -1.11533e-17+0.0104798j 3.42366e-18-0.0298097j 4.83136e-18+0.00360422j 6.53306e-17-0.0185077j 2.02806e-17-0.00408958j -9.51653e-17+0.00496397j 8.07696e-17+0.0167656j 2.95429e-17+0.0204246j 1.03267e-15-0.00284637j -1.25428e-14-0.0366158j 2.23573e-16-0.000839877j -3.49828e-17+0.0147622j -1.56921e-16-0.0103477j -3.22159e-16-0.0613229j -3.77477e-16-0.0243869j 3.24309e-16+0.0123035j -2.49815e-15+0.026256j 2.16815e-15-0.0368288j 3.15398e-17+0.0294597j -2.39805e-16-0.0130727j 1.09108e-16+0.0254595j 9.75079e-16-0.00036571j 5.21516e-14-0.0154867j 7.70232e-17+0.00256324j 1.79935e-16-0.0100869j 1.06714e-16-0.0219252j -1.93987e-16+0.00769358j -6.84344e-17-0.00702399j -1.82568e-16+0.0213061j -5.26303e-17-0.000285304j 8.18658e-17-0.0509246j -8.00504e-16-0.00675286j 4.35163e-16+0.0244505j 1.83881e-18-0.00361091j -1.23498e-15-0.0347866j -1.68278e-16+0.0229052j -6.52981e-17-0.0100382j -1.36335e-18+0.0165618j -1.58297e-16-0.0126927j -5.03857e-17-0.0170644j -1.96484e-17-0.0017713j 1.04672e-17-0.0258992j 4.04086e-18+0.000818941j -1.00046e-17-0.00289457j 1.99153e-17+0.0265588j 1.83071e-17+0.00370816j -1.34292e-16-0.0299706j -5.69944e-17+0.00436217j 4.01608e-15+0.0295809j 8.18348e-16-0.0578227j 
1.18601e-16+0.0251998j -6.01236e-16-0.0117942j 2.85004e-17+0.00603153j -6.00877e-17-0.038094j -1.61408e-19+0.0141822j -7.80318e-18+0.0299621j 3.99018e-17-0.0117609j 1.53035e-17+0.00402962j 1.5719e-17+0.0234024j -3.28533e-21+0.0139981j 1.01513e-16-0.0409605j -1.48778e-16-0.0066838j -1.74395e-17+0.0105009j 1.0013e-16-0.0156469j 2.86846e-16-0.0172816j -5.12712e-15-0.0164931j 1.9176e-17+0.00460019j -4.01255e-16+0.0113567j -5.73716e-16+0.0543042j 2.42111e-17+0.014524j -1.00246e-17-0.0289662j 1.50914e-16+0.015707j 2.5976e-15-0.0239511j -2.37879e-15+0.0436942j 1.49587e-16-0.00498596j 5.60576e-17-0.00558541j 1.54188e-16-0.0394413j -3.10497e-15+0.0147938j -1.55871e-13+0.0460982j 3.9465e-16-0.037542j -2.64779e-17+0.0106269j -1.60381e-16+0.0126429j 5.72343e-16-0.0190442j 2.74306e-16-0.0264208j 6.47692e-17+0.0122617j 1.18942e-16-0.0328602j 1.2664e-16-0.0256244j 6.94062e-16-0.00894736j -4.35773e-17-0.0360143j 4.19044e-16+0.0155066j -9.55298e-16-0.0280412j -9.52087e-17-0.0126074j 5.68105e-17+0.00144486j 8.68482e-17-0.00600086j -1.92373e-16-0.00921268j -8.60094e-17-0.029918j -1.30958e-16+0.0388941j 2.11781e-17+0.00350215j -2.62174e-17+0.0347574j -2.21205e-17-0.00526779j -3.4899e-17-0.00446102j -1.87184e-17-0.00140231j 7.14779e-17+0.0134775j -6.87475e-18+0.0200398j 7.42844e-15+0.0351159j 1.5912e-15-0.0140056j 
-1.08465e-16+0.0405562j 5.31209e-16+0.0236494j 4.8023e-17+0.0115668j 2.6426e-18-0.00649487j -1.65608e-17-0.0193658j -1.20541e-17-0.0735392j -5.14656e-17+0.0238786j -1.03303e-16+0.014727j -4.28351e-17+0.0282952j -7.31208e-17+0.00619558j -1.71992e-16+0.0267404j 4.09714e-16-0.022375j -1.57394e-18-0.0109626j 3.68701e-17+0.02984j -2.79611e-17+0.00450176j 9.78385e-16+0.00330583j 1.61884e-16-0.0314356j 7.52394e-17+0.0161349j -3.58546e-16+0.01271j -2.7637e-17-0.0405836j -1.8719e-16+0.00116613j 2.85281e-16+0.0388157j -2.41578e-15+0.0244146j 1.70805e-15-0.023848j 4.03944e-16+0.0825175j -2.06192e-16+0.0120905j 1.30313e-16+0.00980244j 2.64404e-16-0.00752391j 1.41903e-14-0.00409834j 1.70703e-16-0.0074177j 2.69977e-16-0.00138701j 1.63328e-16-0.0344408j 8.16723e-16-0.0334968j 6.43157e-17-0.0118791j -7.10208e-16+0.0666265j -2.16019e-16-0.0181975j -1.72259e-16-0.0229806j 1.76069e-15+0.0282133j -6.32905e-16+0.0134087j -3.70816e-16-0.0189734j -2.77739e-16-0.00780498j 2.33032e-17+0.00102127j -7.35879e-17-0.0136195j -7.47897e-17+0.0304079j 1.08801e-16-0.0016795j -4.48541e-17+0.022617j 9.8043e-17-0.0514388j -1.26191e-16-0.0111201j -8.22308e-17-0.00258226j -6.26216e-18-0.0101071j 9.9786e-18+0.0639025j -8.67921e-17+0.0253025j -8.81911e-17-0.0136746j -5.64703e-17-0.0182111j -4.93277e-16+0.00745011j -9.0256e-17-0.0449146j 
-6.42345e-16+0.00686601j -2.40875e-16+0.0205176j 2.49437e-15-0.0553259j 2.22917e-15-0.0476519j 1.10202e-16-0.0019124j -2.67384e-16+0.00847931j 4.50709e-16-0.0109288j -2.06685e-15+0.043677j 1.83538e-16-0.00678712j 6.35566e-16-0.0141016j 1.25094e-15-0.023143j -6.04375e-16+0.00876496j 8.68598e-16-0.0201342j 2.03101e-15-0.0444626j 1.78894e-16+0.00181546j -2.33908e-15-0.00801372j 6.95689e-17+0.000173534j 6.3898e-16-0.0222374j -2.55898e-15+0.0476047j 1.38666e-16+0.00118551j -1.65995e-15+0.0448566j -4.36401e-16+0.00129177j 2.6435e-15-0.0193636j -4.40887e-15+0.0446373j -1.04346e-16+0.0119989j 2.39242e-15-0.0565024j 7.77177e-16-0.0158589j -7.23168e-16-0.00400596j -4.69451e-14+0.0138117j 9.61961e-16-0.0127555j 3.67949e-15-0.0693802j 2.75397e-16+0.00366502j 1.03902e-15-0.0130268j -1.18504e-16+0.00675648j -6.50833e-16+0.0063473j -1.85423e-16+0.00292564j -1.47112e-17+0.00134834j 7.08757e-16-0.00633741j 1.4029e-15-0.0310526j -1.71995e-16+0.0105703j 2.69501e-16-0.0156387j 8.92734e-16-0.0202289j -1.87492e-15+0.0414839j -3.25496e-16+0.00508554j 2.96317e-16-0.00926856j 3.28779e-16-0.009432j -4.87488e-16+0.0114162j -1.9631e-15+0.0438149j 4.42596e-17-0.0022063j -4.04163e-16+0.0103253j 2.53967e-16-0.00995581j -1.48271e-15+0.0307213j 1.73623e-15-0.0401507j -2.21183e-15+0.0476242j 7.09937e-16+0.0084859j 1.09844e-15-0.0151773j 
-2.49551e-19-0.0615452j 2.62573e-16-0.00705841j -1.72441e-16+0.0154536j 5.83665e-17+0.0774434j -4.09951e-17+0.0172053j 6.85295e-18+0.0346881j 5.23999e-17+0.00324417j 1.00671e-16-0.045019j -3.8727e-17-0.0254202j 6.55357e-17-0.0423151j 1.01265e-17+0.0179485j -5.7582e-17+0.0133945j -5.62131e-17-0.00883137j -1.30002e-16+0.0279533j -2.21266e-16+0.00734829j 4.40814e-15+0.0136702j -2.07603e-16+0.0216747j 2.15746e-16-0.00888868j 8.83327e-16-0.0657431j -1.9588e-16+0.0035018j 6.46325e-17+0.00426177j -3.29192e-16-0.0689154j -2.39346e-15+0.0223559j 1.49386e-15-0.0343458j -6.53004e-16-0.0593005j 2.36259e-16+0.045706j -2.57301e-16+0.0399955j 3.48744e-15-0.0147285j 1.77492e-13-0.0525254j -6.82378e-16+0.0500651j -7.83453e-16+0.0310486j -3.75071e-16+0.0491249j -1.28134e-15+0.0475061j -1.36646e-16+0.0358392j 7.70826e-16-0.0647214j 2.7265e-16+0.0188942j 6.84556e-17+0.0468685j -1.08334e-15+0.00842957j -3.41615e-17+0.0437482j -1.73469e-17+0.00851254j 8.70648e-16+0.0279757j 8.9761e-17+0.0302354j 2.79122e-17-0.0109407j -5.09492e-18+0.0033553j -1.25772e-17+0.00301184j 3.18262e-17+0.00229293j -1.58086e-17-0.0145514j 9.32428e-17-0.0129876j 9.7041e-18-0.00738651j 4.4454e-17+0.0157417j 2.15442e-17-0.0614902j 1.07012e-16-0.03881j -6.30598e-17+0.0206015j 1.40297e-16-0.0409121j -9.86308e-15-0.0537121j -2.16159e-15+0.0519825j 
-5.37267e-16-0.0558456j 2.70236e-15+0.057807j -2.42196e-16-0.00141745j 2.18341e-16+0.093131j -7.95287e-17+0.0838799j -5.17485e-17+0.0179375j 5.63966e-17+0.00886048j 2.85388e-17-0.0114725j -1.21104e-16+0.0601781j 3.54512e-16-0.0484347j 4.074e-16-0.0496705j -4.53891e-16+0.0333859j -5.10077e-17-0.0418678j 4.48231e-17+0.0234623j 1.78824e-16-0.0155443j -2.86712e-15-0.00912117j -4.39495e-17+0.0185394j -4.40143e-16-0.0446515j 3.70892e-16+0.0104144j -4.38623e-16-0.0138744j -2.59436e-16+0.0126533j -2.33588e-16-0.00274114j -3.52636e-15+0.030762j -3.53285e-15+0.0522597j -5.87207e-16-0.0601011j 8.1214e-16+0.116784j -2.30937e-16+0.028549j 3.69839e-15-0.0484046j 1.81964e-13-0.053251j -8.38721e-16+0.042814j -8.42294e-16+0.0360169j -5.3027e-16+0.0315325j 3.67129e-16-0.0251004j 7.8453e-16+0.0229904j 8.78181e-16-0.0202068j 7.64039e-16-0.130108j 2.44438e-16+0.061825j -2.32326e-15-0.0108034j 5.23684e-16+0.0476042j -1.82885e-17+0.0157279j 3.15021e-16+0.00908143j 8.74403e-17+0.00496791j -4.52955e-17-0.023952j -5.79077e-17+0.0451705j 4.57767e-16+0.0489798j 1.61501e-16-0.0125507j -3.18863e-18-0.0313241j -5.68359e-17+0.00399479j -1.23988e-16+0.0733091j -7.84019e-17+0.0104306j 3.59995e-17-0.0767025j 2.87327e-17+0.000424319j -2.93221e-16-7.95572e-05j -1.7167e-17-0.0916956j -2.23631e-14-0.0951146j -4.8545e-15-0.0040419j 
