3.00183e-17-0.0382433j 1.33289e-17+0.0738574j 1.16027e-17-0.0311427j -1.26802e-17-0.0113399j -2.00496e-16+0.0158113j -1.74169e-17-0.0397914j 2.26869e-17+0.00197384j -1.0398e-17-0.00696056j 4.13144e-17+0.00683552j 1.74801e-16-0.0180212j 1.69449e-17-0.0070919j 7.74642e-17-0.0461815j -1.06155e-16-0.00596157j 5.38833e-17-0.026882j 2.38164e-17+0.00726753j 2.18532e-17+0.0106297j 2.83119e-17-0.011211j -3.66069e-17+0.00674409j -9.07918e-17+0.00600716j 5.16522e-17-0.00193856j 4.37486e-17+0.0437001j -1.61627e-16-0.020141j 8.78183e-16-0.0190876j -9.22374e-17-0.00412593j -1.34206e-17+0.00163865j 1.88563e-16+0.0315528j 4.11146e-16-0.00479285j -5.01366e-16+0.00760242j 1.05306e-15+0.013575j -8.29958e-16-0.0111976j -6.33793e-15-0.0169946j -3.30578e-16-0.00480525j 8.21699e-20+0.0203296j -1.0547e-16-0.0192025j -8.74649e-16-0.0140155j -2.21839e-16+0.0210742j -1.28297e-16+0.0259571j 7.38138e-16-0.0321355j -4.93196e-16-0.0147445j -3.48351e-15-0.0171489j -2.84009e-15+0.00434019j 3.0343e-14-0.0198894j 3.64071e-17+0.000349419j -2.15698e-17-0.0190636j 1.72194e-16-0.00427024j 9.89694e-18+0.0187815j 4.16329e-16+0.0309852j 9.92196e-17+0.00689683j 7.19715e-17+0.00679251j 7.51889e-17+0.00823249j 1.19428e-16+0.0224637j 1.73741e-16+0.0223056j 1.18921e-15+0.011856j -3.52714e-17-0.0127813j 4.96341e-17+0.00206184j -1.26769e-16-0.00896559j -1.63057e-16-0.010469j 4.85142e-17-0.0505464j -1.04022e-16-0.042955j -1.98218e-16+0.00163071j -2.07201e-16-0.0295961j -5.9802e-17+0.00851608j -1.80661e-17-0.0106323j 2.14931e-18+0.0101428j -6.50688e-18+0.0059933j 2.67639e-18+0.0125178j 2.05436e-18-0.00628366j -8.07419e-17-0.0229317j -2.27095e-17+0.0528381j -4.07095e-17+0.0206169j 4.31783e-17-0.0291103j -7.69358e-17-0.068982j 
-2.81858e-16-0.0485263j -1.61948e-16+0.00518147j -2.0172e-17+0.0377507j 1.65281e-18-0.0253777j -1.87184e-16+0.0144122j 5.98103e-18-0.00614895j -1.3711e-17-0.0257449j -1.45323e-17+0.0163068j 1.01586e-17-0.00332676j 1.79294e-17-0.00673968j -2.04232e-17+0.01082j -1.15945e-17+0.0161819j 3.40859e-17-0.00321217j -1.39506e-17-0.000257937j 6.44617e-18+0.0342298j -2.53193e-17+0.0077983j -8.41033e-17-0.00537791j -8.23629e-17-0.00665091j 1.12437e-17+0.0280976j 6.05164e-17-0.00341479j -1.28365e-16+0.0205267j -7.64306e-18+0.00306878j 2.16721e-16-0.00826096j -1.73585e-16+0.00242286j 1.31437e-17+0.0176448j -4.40421e-16-0.0204285j -8.83353e-16-0.0198882j 1.38443e-15+0.0198748j -1.38232e-15-0.0103301j 2.76803e-16-0.00121554j -5.46798e-15-0.0165839j -5.6111e-16+0.0183714j -6.4153e-17-0.013527j 8.78749e-17-0.00455396j -4.09973e-17-0.00349675j 9.60438e-17-0.00218546j 1.10522e-16-0.00178686j -3.44492e-16+0.0127306j 1.47666e-16+0.00314254j -3.55032e-15-0.0258703j -2.39967e-15+0.0156251j -1.62546e-14+0.0108113j -3.82051e-16-0.0156867j 5.45397e-17-0.00867486j 1.37019e-16+0.0338654j -2.18424e-16-0.0140722j -1.10014e-16-0.00925886j 3.06722e-16+0.0162227j 3.35168e-16+0.0312925j -3.87368e-19+0.0156367j 2.32469e-16+0.0303571j 1.339e-16-0.00185841j 7.48656e-16+0.0074739j -7.59802e-17-0.0101072j -9.2587e-18+0.014684j -2.99045e-16-0.0376674j -1.18601e-16-0.00732867j 2.29471e-17+0.00320798j -1.52119e-16-0.00278625j -1.3429e-16-0.0184162j -1.77281e-16-0.00996052j -6.81478e-17-0.0303623j -1.6667e-17-0.020848j 2.12466e-17-0.0197089j -8.35741e-18-0.00359392j 6.78127e-18+0.00530977j 3.88228e-18-0.0417572j -7.00466e-18-0.000328322j 4.99074e-18-0.0143548j 3.07163e-17-0.0183868j -1.11007e-17-0.0508663j 2.16798e-17-0.0163233j 
-2.51396e-16-0.0457716j -1.78823e-16+0.000907447j -1.78412e-17+0.0246779j 2.26984e-17-0.0503813j -2.16929e-16+0.0148628j 2.88554e-17+0.00804965j -7.57248e-18-0.00996272j 1.00826e-17-0.0161249j -3.13601e-17+0.0100482j -3.37545e-17+0.00194245j -6.07458e-17+0.0136078j -6.38024e-17+0.0206843j 1.02005e-16-0.0109398j -5.65059e-17-0.0104086j 7.48563e-18+0.0182628j -4.29439e-17-0.00872232j -3.82542e-17+0.00567946j -9.8311e-17-0.0245444j 7.04778e-17+0.0292717j 9.60716e-17+0.0163797j -7.96562e-17+0.0158895j -1.29934e-16+0.00286849j -2.25509e-16+0.00517411j -7.96752e-17+0.0143137j -5.4585e-17+0.000596779j -1.80393e-16-0.00480445j -7.46977e-17-0.00108107j 1.0642e-15+0.00679885j -1.38878e-15-0.02088j 3.33545e-16-0.00625856j -4.66456e-15-0.0142006j -4.06125e-16+0.0128531j 1.05689e-17-0.00895367j 1.77962e-16-0.0127912j 5.05178e-16+0.0101866j 2.51582e-16-0.016028j 2.51351e-16-0.0164793j -4.3892e-16+0.00993512j 9.73829e-18-0.00745343j 2.47993e-15-0.00823516j 2.33272e-15+0.0209394j -4.90546e-15+0.00325588j -6.96921e-16-0.0254497j 1.81044e-16-0.00986865j 3.58019e-17+0.0112915j 3.31157e-17+0.0209071j -3.66088e-16-0.0193288j 2.5769e-16+0.0128468j 2.9656e-16+0.0469766j -7.84533e-17+0.0264404j 2.00877e-16+0.0184353j -6.89124e-17-0.0136631j -2.92463e-15-0.0301719j -6.49755e-17-0.0163319j -1.15421e-17+0.0130588j -1.83404e-16-0.026592j -2.40134e-16-0.015218j -1.48971e-17+0.0139503j -5.12296e-17+0.0098032j -1.00253e-17-0.011078j -5.83332e-17-0.00011776j -5.5775e-17-0.0165823j -1.83597e-17-0.0366977j 5.47144e-18+0.0105291j -1.94085e-17+0.0114295j -5.04893e-18-0.0104224j 3.50932e-17-0.033385j -4.65179e-17-0.0133929j 3.69201e-18-0.00280881j 5.82954e-17-0.0425459j 9.06185e-18-0.0552912j 5.68279e-17-0.00971579j 
-7.57077e-17-0.0568165j -6.31319e-17+0.0807407j 2.87503e-17-0.0140948j -1.83099e-17-0.00542913j -2.30941e-16+0.0213859j 6.21665e-18-0.0567602j -4.20027e-18-0.0161047j 1.42409e-17-0.0017396j 1.01757e-16+0.0163131j 1.77788e-16-0.0311381j -6.60404e-17+0.0176547j 1.35072e-16-0.0434554j 6.03575e-19-0.00651983j 6.69265e-17-0.0176354j 6.76299e-17+0.0233192j 4.75633e-17+0.0146099j -1.05684e-17-0.0240504j -7.76758e-17+0.0178124j -2.301e-16+0.00751052j 1.24975e-17-0.021499j -3.79006e-17+0.0734957j -3.3778e-16-0.0120293j 8.64809e-16-0.0200211j -2.00926e-16-0.00336804j 3.96785e-17+0.0175369j 1.41084e-17+0.0214597j 3.0941e-16-0.00914147j -3.09996e-17+0.0253658j 1.56535e-15+0.0232225j -1.45124e-15-0.0278349j -4.95833e-15-0.0122349j -1.73277e-16-0.00500575j -1.17166e-16+0.00288744j 5.02374e-17-0.014574j -1.0014e-15-0.0184253j -3.09386e-16+0.029828j -1.88694e-16+0.0370434j 3.21227e-17-0.00600483j -3.22677e-16-0.0181063j -1.69704e-15-0.0181899j -1.14338e-15+0.0140493j 3.46266e-14-0.0226842j 4.1281e-16+0.0124377j -2.36059e-16-0.0212917j 3.82559e-16+0.0185185j -2.90274e-16-0.0139694j 5.11145e-16+0.0328171j 2.13956e-16+0.00177712j 2.26399e-16+0.0153407j 5.61993e-17+0.016019j 1.57212e-16+0.0404265j 2.60133e-16+0.0304846j 1.7991e-15+0.0171995j -5.67851e-17-0.00348319j 5.15108e-17+0.00714038j -2.82586e-16-0.0289313j -2.48934e-16-0.01053j 1.08797e-16-0.0431965j -1.4738e-16-0.0547986j -2.328e-16+0.0124002j -3.89442e-16-0.045348j -1.80406e-16+0.00394333j 7.53652e-18-0.0139893j -2.9217e-17-0.000488583j 3.38424e-17+0.00433595j -1.99692e-17+0.0254421j -8.478e-19-0.0284376j -2.91263e-17-0.0194754j -3.43009e-17+0.0397323j -6.865e-17+0.0265045j 3.00474e-17-0.0454943j -5.11903e-17-0.079225j 
-4.81658e-17-0.00800059j -1.50142e-17+0.00144271j -1.3158e-17+0.0181158j 7.0547e-18+0.016948j 3.49201e-17-0.00111917j -6.45754e-19-0.0117034j -1.2883e-17-0.0194428j 4.81736e-18+0.0209835j 3.27103e-17-0.00189579j 5.34786e-18-0.0066926j -5.38494e-17+0.0138914j 3.25959e-17-0.00519029j -2.88582e-17+0.0101452j 3.84682e-17+0.00864973j 2.39468e-17+0.019471j 5.94504e-18+0.00587222j -3.95433e-17-0.0022486j -3.90121e-18+0.0170335j -7.79894e-17+0.00695872j -1.71893e-18-0.0155546j -1.2545e-16+0.0160796j 5.00594e-17+0.0106008j 4.58267e-16-0.0160346j -1.89302e-16-0.00186428j 9.13061e-17+0.0140279j -2.34601e-16-0.0138784j -4.29619e-16-0.0116614j 4.9064e-16+0.0133401j 1.41812e-16+0.0045352j -3.191e-16-0.0121825j 8.0974e-16+0.00274692j -9.38382e-17+0.00645097j -1.44503e-16-0.0163945j -2.4256e-17+0.0147475j -4.46985e-16-0.01052j -1.97268e-16+0.00261073j -5.06549e-17+0.017892j -2.03398e-16+0.00859819j 5.83271e-17+0.00092497j -1.34056e-15-0.0020098j -9.93446e-16-0.00335186j -4.58987e-15+0.00302674j 1.67068e-16+0.00479197j -1.73516e-16-0.0049117j 1.00805e-16+0.0211405j -3.38988e-16-0.0383891j 2.17005e-16+0.00617764j 1.08433e-16+0.00133881j 6.88416e-17-0.00309782j -1.43278e-19-0.00306898j -3.48742e-17+0.00589609j 1.4147e-16+0.00330236j 2.81626e-15+0.0284262j -2.88752e-19+0.01404j -1.10859e-17+0.00317201j -9.79404e-17-0.0118413j 8.3288e-17+0.00594937j 3.62334e-17+0.00170094j -1.32751e-16-0.0172922j -1.42978e-16-0.00120545j -1.71113e-16-0.014934j -6.24426e-17-0.0100312j 2.86396e-17+0.0050017j -7.33966e-18-0.0195806j 1.50607e-17-0.00915083j -2.21031e-18+0.0110026j 4.71495e-18-0.0116909j 5.17415e-17+0.00985823j 1.00317e-17-0.0158886j -5.90489e-19+0.0133409j 8.76593e-18-0.00319954j -6.14008e-18-0.00388258j 
-3.77555e-16-0.0363511j -1.91184e-16-0.0416368j -6.09567e-17+0.0845785j 2.53978e-17-0.00706122j 8.92066e-17-0.00610531j 1.70849e-17+0.0122637j -1.58501e-17-0.0510374j -1.91122e-17+0.0506713j 4.56739e-18-0.0325336j -1.95064e-16+0.0164584j -8.35893e-17+0.0211964j -5.94811e-17+0.0333399j 2.99883e-17+0.00285097j 9.63291e-18+0.0161641j 9.25725e-18+0.055848j -4.76146e-17+5.98115e-05j -1.78433e-16+0.0068293j -1.0291e-16+0.0014598j 7.85664e-17+0.0523632j 4.58128e-17+0.000433614j -3.69754e-16-0.00140769j 3.62503e-16+0.0296722j 7.10229e-16-0.028694j -5.22166e-16+0.0153569j 1.69407e-16+0.0299635j -9.0792e-16-0.0519391j -1.87857e-15-0.0375125j 2.69789e-15+0.0185397j -3.52201e-15-0.0396124j 1.49576e-15+0.00104719j -1.78747e-15-0.00711408j -7.51659e-16+0.0338621j -2.5095e-16-0.0332174j -4.17909e-17+0.0314055j 4.54091e-16+0.0029983j 1.89532e-16-0.0354333j 2.77026e-16+0.00504264j -7.08365e-16+0.0341285j 4.70345e-16+0.010157j -6.14234e-15-0.0215561j -4.56321e-15-0.000789275j -6.11872e-14+0.0403251j -6.73805e-16-0.0307891j 6.69444e-17-0.0192505j 2.36645e-17+0.0438765j -5.42667e-16-0.0533864j -1.92671e-16-0.0233007j 3.30023e-16+0.0188481j 2.91466e-16+0.0196928j -1.3933e-17+0.0192598j 1.91867e-16+0.0348028j 2.53415e-16-0.0250661j 3.88686e-15+0.0407015j -9.12733e-17+0.00880594j -4.69596e-17+0.0173609j -3.67438e-16-0.0511053j 3.00003e-16+0.0186063j 2.70321e-17+0.0220492j -2.2659e-16+0.0128397j -1.72645e-16-0.0297818j -1.32349e-16+0.00644787j -5.41438e-17-0.0460825j 1.58305e-17-0.0178122j 3.06506e-17-0.0492714j -5.23969e-18-0.0358226j 2.16825e-17+0.00982611j 9.33548e-18-0.0515843j 7.80673e-17+0.0198042j 3.02803e-17-0.0681094j 7.54829e-17-0.0184013j -2.59047e-17-0.0393393j 5.57576e-17+0.0213104j 
6.85403e-16+0.0798042j 5.39802e-17-0.0401059j -6.80719e-17-0.0153904j 3.07446e-16+0.0704497j 2.74028e-16-0.0311257j 6.18075e-17+0.0226755j 1.03747e-16+0.0177357j 2.26024e-16+0.0480346j -1.93095e-16-0.0374883j 4.836e-17+0.00946915j -5.62739e-17-0.041178j -1.07061e-17-0.00979535j -8.312e-17+0.012463j 1.66804e-16+0.0189374j -1.73128e-16-0.0255473j 1.2565e-16+0.0168809j 3.41442e-17-0.00195597j 2.73066e-16+0.0196172j -9.24355e-17-0.0323096j -2.72348e-16-0.0223399j -2.20169e-16-0.0643315j 4.36837e-16-0.0049081j 1.03573e-16-0.00425416j 2.93966e-17-0.0248159j 5.28325e-18-0.00231846j 1.88967e-17-0.0108988j -7.6549e-16-0.00617307j -1.08563e-15-0.0264326j -2.83016e-16+0.00325611j 1.43143e-15+0.0422734j 6.44191e-15+0.016868j 2.57497e-16-0.000564126j 1.25492e-16+0.0177097j -2.25655e-16+0.0244368j 3.71261e-16+0.00170361j 1.10903e-16+0.0157001j -3.06366e-16+0.000308437j 7.49767e-16-0.0139786j 6.43975e-16+0.0372937j -8.40823e-15-0.00197922j -7.3307e-15-0.0345315j -2.36876e-14+0.0156273j 6.01963e-16+0.0198408j 9.21502e-17+0.0209262j -2.66029e-16-0.0144557j -8.17929e-17-0.0280706j 2.84283e-16+0.00871607j -4.47414e-16-0.0106575j -9.24265e-16-0.0824811j -7.57213e-17-0.0393469j -4.49948e-16-0.0346604j 1.16822e-16+0.00738476j 4.75595e-15+0.0473259j 1.33185e-16+0.0122651j -7.3432e-17-0.0150055j 4.7701e-16+0.0384653j 5.94826e-16+0.0279047j -1.17909e-16-0.0165726j 2.38e-16+0.0228912j 5.04376e-17-0.00396162j 2.77548e-16+0.0196609j 1.206e-16-0.00059869j 2.57305e-16+0.0488269j -1.46189e-16-0.0314296j -1.57827e-16-0.03491j 5.2217e-17+0.00560932j 2.06399e-16+0.0560203j 2.69016e-16+0.034513j -7.90902e-17-0.0204929j 1.84157e-16+0.0479252j 3.80894e-16+0.0879109j 1.63647e-16+0.0468434j 
-2.99914e-16+0.000417718j -1.19224e-16-0.0598229j 3.60927e-17+0.0318409j -7.33538e-17-0.047706j 2.48544e-16-0.019228j 7.4178e-17+0.0839552j -5.82955e-17+0.0178185j 1.73556e-17-0.0157892j -2.77049e-18+0.0106362j -1.31034e-16+0.0163157j -8.15591e-17+0.0157808j -8.65185e-17+0.00712102j 5.12437e-17-0.0167201j -6.25111e-17-0.0281728j 4.66846e-17+0.00706371j -4.33866e-17+0.00710886j 6.26401e-17+0.0417837j -7.4414e-17-0.040667j 3.13206e-16+0.0288023j 9.5879e-17+0.0366263j -1.29168e-16-0.0346333j 1.16937e-16+0.0335382j -8.13609e-16+0.0155812j 5.70317e-17+0.0393601j -1.71797e-16-0.00982696j 4.97641e-17-0.0266169j 2.63143e-16+0.0255496j 6.24292e-16-0.0425956j -2.64198e-15-0.0536515j 1.81803e-15+0.0192146j 3.37031e-16-0.0019241j -2.05629e-16+0.019331j 1.18945e-16+0.00151924j 1.47662e-16-0.00392665j 2.09313e-15+0.0424961j 6.40361e-16-0.0606991j 4.43815e-16-0.0601267j -4.32486e-16+0.00303521j -4.29236e-17-0.00549569j 6.32431e-15+0.0182194j 5.28355e-15+0.00660648j -3.99779e-14+0.0262038j -1.1201e-15-0.0357928j 3.77523e-16+0.00771931j -2.90631e-16-0.0214394j -5.11211e-17-0.000196515j -7.91355e-16-0.0444075j -7.81313e-18-0.0113632j 4.33077e-17+0.0255342j -1.29845e-16+0.0315241j -1.15342e-16-0.031816j -3.30853e-16-0.0570958j -3.66395e-15-0.0355326j -4.30334e-17-0.0127071j -3.49679e-17+0.02002j 8.55036e-17+0.00790161j 8.51824e-17+0.00686828j -3.21992e-17+0.020044j 1.74124e-16+0.0589026j 2.34214e-16-0.00673127j -1.72435e-16-0.000758033j -1.47156e-16-0.029254j -1.25253e-16-0.0759405j 1.48507e-17+0.0287031j 2.84007e-17-0.0115072j -3.63791e-17-0.0428578j -3.35551e-17+0.0231607j 9.33594e-18+0.00672479j 3.03343e-17-0.0366241j -2.9719e-18-0.0668805j -1.73726e-16-0.0203503j 7.306e-17+0.0517349j 
2.05404e-16+0.0478559j 4.17927e-17-0.0458039j -9.47005e-18-0.0099108j 8.91884e-17+0.0211445j 1.24154e-16-0.0117641j 2.39522e-17+0.0618476j 9.64397e-18+0.0351149j 9.64809e-17+0.0308071j 2.60821e-17+0.00594057j 1.40318e-16-0.0211275j 1.29002e-16-0.0331557j -7.47317e-19-0.00202101j -5.5934e-17+0.00970714j 8.0063e-17-0.000551833j -9.00107e-17-0.0182211j 9.89746e-17+0.0413531j 9.47235e-17+0.00874317j 2.37318e-16-0.0124207j 2.125e-17-0.0292805j -2.44728e-16-0.0311512j 1.24445e-16-0.0558724j 1.58811e-16-0.00645404j -9.4736e-16+0.0245517j 4.33775e-16-0.0276504j -2.56477e-16-0.0067786j 1.80092e-16-0.0238472j -3.70524e-16+0.0145364j -1.00578e-15-0.0347147j -2.382e-16+0.00102764j 1.16797e-15+0.052279j 1.36904e-15+0.00061052j -4.79785e-17+0.0179906j 2.02506e-16+0.0122007j 1.82138e-17-0.00944625j 1.16412e-15+0.0151635j 4.71126e-16+0.0287818j -2.87422e-16-0.0493796j 6.01629e-16-0.0198764j 6.27577e-16+0.0484384j -3.40885e-15-0.0103811j -2.51898e-15-0.00171024j -7.52788e-15+0.00496939j 1.05799e-16+0.0111951j 2.42573e-16+0.0458866j -9.38023e-17+0.00666286j -1.05922e-16-0.025725j -1.82381e-16-0.0157477j -2.39247e-16-0.00813756j -4.13979e-16-0.0438067j -9.16676e-17-0.0293282j -4.27523e-16-0.0621248j -1.22726e-16-0.000188422j 4.36011e-16+0.00381707j 1.06099e-16-0.0138337j -3.14568e-17+0.00572611j 3.71641e-16+0.0387396j -9.13424e-17-0.00627342j -6.26863e-17-0.00378404j 1.84282e-16+0.0437917j 1.79942e-16-0.0124339j -2.70636e-16-0.0144412j -7.91674e-17-0.0400311j 1.27324e-17-0.00484483j -3.84222e-17-0.00982893j 6.06323e-18-0.00716502j -2.1893e-18-0.0254063j 5.65279e-17+0.059294j 1.87018e-16+0.0362765j -3.82832e-18-0.0135189j 4.88562e-17-0.00495384j 4.73539e-17+0.0417238j 7.40049e-17+0.0500611j 
-5.44395e-16+0.0132402j 8.54251e-16-0.0904486j -5.92581e-16+0.0683959j 3.10549e-16-0.0320617j 3.53483e-16-0.0160441j -4.24751e-16+0.0382964j 1.58354e-16-0.0292468j -1.25675e-16+0.0271545j 6.53544e-16-0.08563j -1.4503e-15+0.0902094j 5.8548e-16-0.0449596j -1.22628e-15+0.0910648j 1.35912e-16+0.00755736j -3.5573e-16+0.0242677j 4.75383e-17+0.0132296j 3.7845e-16-0.0527572j -3.36379e-16+0.0381573j 2.87305e-16-0.0299611j 2.28575e-16+0.0596714j -6.62603e-16+0.0857467j 8.70123e-16-0.100932j 9.72889e-16+0.00967624j 5.9751e-16-0.024141j -7.2392e-16+0.0198942j 3.77381e-16-0.0133691j -7.53589e-16-0.0338972j -2.06867e-15-0.0480142j 2.82435e-15-0.000386187j -5.29674e-15-0.0698735j 2.78426e-15+0.0354059j -5.36542e-15-0.0187701j -1.06385e-15+0.0261722j -2.43316e-16-0.0033148j -6.91793e-16+0.0323928j -2.63606e-16+0.00293987j 1.18341e-15-0.0867362j 9.90053e-16-0.0141187j 4.11368e-16-0.00790211j 7.70572e-17+0.00828504j -1.16054e-14-0.0183454j -9.60297e-15-0.0309694j -1.0072e-13+0.0658535j -1.35236e-15-0.0767973j 8.99293e-16-0.0246755j -1.2823e-16-0.0135241j -3.36167e-16+0.0692084j -2.65116e-16-0.0430491j -5.89167e-17+0.0510912j 7.97214e-17+0.0242892j -1.10242e-16-0.00465243j -7.82563e-17+0.020085j 5.32549e-16-0.0566769j 1.35897e-15+0.0157887j 7.87936e-17-0.0082352j 9.63164e-17-0.00849724j 5.76779e-17-0.0182615j 2.85858e-16+0.0245421j -5.32992e-16+0.0503007j -1.0449e-15+0.0529473j 2.42277e-16-0.0731007j -3.57719e-16+0.109268j 2.86265e-16-0.0142425j -3.26628e-16+0.0324217j 2.97263e-16-0.0352505j 1.93329e-16-0.0226668j 1.6421e-16-0.0154722j 2.92107e-16-0.0398585j -3.69842e-17+0.00117818j 5.89266e-16-0.0578911j 5.52978e-16-0.047342j -2.17427e-16+0.00210399j -7.0865e-16+0.0710457j 
2.10561e-16+0.0621492j 2.91922e-16-0.0182965j 2.07893e-17-0.0635242j -7.27553e-17-0.0067623j 2.07133e-16-0.0148917j -4.61643e-17+0.0390454j -1.89813e-18+0.0674854j 1.55391e-17-0.0693951j 1.23407e-17+0.0213621j -1.99051e-17+0.00539196j 4.64865e-17-0.0129094j -1.54824e-16-0.00265383j 1.84855e-16-0.0364673j -1.84616e-16-0.0183876j -1.10977e-17-0.0704523j 1.03595e-16+0.00908641j 1.79407e-16-0.00426382j 7.19699e-17-0.0266651j 8.62913e-17-0.0628426j -1.08206e-16+0.0301517j 4.4985e-16-0.0428197j -3.93439e-16-0.00961038j -2.23008e-15+0.0686542j 7.54351e-16+0.0143344j -2.75671e-16-0.026612j 1.0302e-15+0.0254512j 1.87248e-15+0.0547226j -2.63554e-15-0.0442424j 2.08485e-15+0.0194154j -1.17216e-16+0.0321329j 5.36037e-15+0.0158927j 1.34354e-15-0.0478336j 5.73368e-16+0.0511277j 2.70777e-16-0.0434977j 1.14142e-15+0.0314126j 4.4358e-16-0.00864745j 1.12883e-16-0.0591239j -4.14951e-16+0.00372781j -3.30306e-16-0.0181711j 8.69555e-15+0.0276215j 6.70297e-15+0.00585133j 8.79964e-15-0.00583301j 8.20841e-16+0.0332947j 7.65574e-17+0.0396773j -2.97642e-16-0.071496j 7.25555e-16+0.0573136j -4.13699e-16-0.0119561j -6.32623e-16-0.0473282j -4.11482e-16-0.0175981j 2.0813e-17+0.00270264j -8.95438e-17-0.0249208j -4.3448e-16-0.00819435j -7.56859e-15-0.0770181j 3.16426e-17-0.0193618j 2.09531e-17-0.0121516j 4.42867e-16+0.0530278j 8.93248e-18+0.00565j -1.86304e-16-0.00243659j 5.03871e-16+0.056563j 6.78648e-16+0.0437256j 2.95721e-16+0.0269513j 1.10516e-16+0.0493966j -1.119e-16-0.0105827j 2.37269e-18+0.0614161j 1.99938e-17+0.0156001j -1.07086e-17-0.0240775j -3.26403e-17+0.0628056j -1.10025e-16-0.0142028j 7.47856e-17+0.0271055j -3.42361e-17-0.0114844j -1.40764e-16+0.0513615j -1.3342e-16+0.0313892j 
