-0.184388+0.0713621j 0.128743-0.115915j 0.224163-0.227854j -0.0599242+0.120247j 0.199494-0.195417j 0.255252-0.251308j -0.0603457+0.0644085j 0.444744-0.373871j -0.180955+0.0294345j 0.0247925+0.0926925j -0.488134+0.262936j -0.239042+0.230925j 0.04858-0.14947j -0.132983-0.0769077j 0.0324378+0.0707188j 0.142321+0.200076j -0.14476+0.177291j -0.475895+0.106113j -0.408388+0.0902295j -0.0340202+0.0989415j 0.0623329-0.384842j 0.259826-0.905877j 0.295166+0.079613j -0.21276-0.57349j -0.00596253-0.222904j 0.338211+0.932023j 0.116534-0.937084j -0.700942-1.57224j -0.129976+0.423664j -3.13408-0.187004j 0.0443441-0.753125j -0.256745-0.50092j -0.0632171+3.4172j -0.0518741+1.5151j -0.378584+6.71846j -0.585047-1.3712j 0.316515-2.93303j 0.900171-8.27381j 0.564129-4.9186j 1.23061-11.6661j 0.112415-0.712281j -1.54772+13.5636j -0.727357+6.38641j -1.32549+10.458j -1.02315+8.7671j -0.14995+0.453765j 1.09554-8.83869j 0.77463-6.63108j 2.50623-17.7636j 1.45947-11.2331j 1.05195-7.60716j -1.18497+7.3869j 0.501402-3.2189j -1.37191+8.30051j 1.39463-9.98504j 1.02738-5.39881j -2.2113+15.6903j -0.231966-0.627906j 1.04674-11.1725j 0.380568-3.32166j -0.281413+9.21281j 0.219862-3.46441j -0.09451+0.146215j 0.105848-5.36j 0.245784+2.03935j 0.350015-3.10527j 1.4092+0.823817j 1.76245-1.70163j 1.56854-3.13631j 
0.157847+0.324929j -0.420611-0.48799j -0.293946-0.0351136j -1.18786+0.0352778j 0.314695-0.192753j 1.11322-0.276073j -0.954513+0.106483j 2.715-0.630818j -1.56587+0.29101j -0.815235+0.00676452j -0.742121+0.501243j -1.19107+0.639527j 2.72284-0.36604j 2.12688-0.50751j -0.312869+0.0314151j -2.06858+0.35735j 2.02207-0.540878j 0.254714+0.0607382j 0.295419-0.145697j 0.444967-0.0224638j -1.15092+0.207178j -1.33386+0.798556j -0.257928-0.168632j -0.499344+0.455451j -1.05654+0.346995j -0.59764-0.2072j 0.0727721+0.411691j 0.177832-0.768927j -0.595585-0.475721j -0.244742+1.94199j 1.44855+1.19222j 0.0518224+0.848034j -5.65658-5.79052j -2.66788-2.20841j -12.0113-12.351j 0.838085+1.24426j 5.57774+5.60447j 15.9813+16.6428j 8.96297+9.36309j 22.2726+22.835j 1.74943+1.83466j -25.8915-26.7307j -12.1418-14.0147j -20.0616-20.7236j -16.6161-16.8661j -0.349221-0.0582323j 17.0139+17.7978j 13.5011+14.0282j 34.177+35.1266j 21.2836+22.4399j 14.5498+15.1815j -13.9601-13.9686j 5.72297+6.30697j -15.299-15.5178j 18.905+18.9063j 8.20226+9.47409j -28.2445-29.274j 0.672946+0.659068j 20.8409+20.9161j 4.72569+5.81231j -17.5902-17.9999j 6.4938+6.37793j -0.14063-0.719527j 11.4289+10.9231j -3.05605-2.24688j 6.14108+7.08852j -0.261983-0.366622j 3.00813+3.46293j -2.05843-1.85333j 
-0.692389+0.321559j -0.583584-0.148879j -0.961315+1.10598j -3.94426+2.24962j 1.19269+0.411102j 3.9891-2.01688j -3.34186+0.693719j 9.07044-2.71118j -5.4349+0.922239j -2.81707+0.247817j -1.50942+1.10548j -3.04613+0.544704j 9.17474-0.881308j 7.63686-0.0135662j -1.40189-0.043901j -7.69694+0.148412j 7.66109+0.199621j 2.26375+0.744544j 0.918024+1.52188j 1.80487+0.162778j -4.71169-0.379033j -6.38897-1.68577j -0.139218+0.26844j -2.5028-0.958827j -0.0774403-0.648279j 1.99587+1.64233j -1.61798-1.73823j 0.982033+2.14955j -1.45323-0.098816j -0.4391+0.035844j 5.12916+1.13497j 2.75985+0.672265j -20.4664-1.58571j -8.30708-0.781857j -42.5752-3.54059j 3.77686+0.494247j 19.8131+1.67912j 56.4928+4.41243j 32.2537+2.11106j 79.6728+6.89129j 6.06176+0.281148j -92.8614-7.61197j -45.5282-3.4921j -71.6498-6.36394j -58.8618-5.09759j -2.06675-0.469038j 60.1473+5.55136j 47.0581+4.10322j 119.686+11.3298j 75.8638+6.68764j 49.825+5.20456j -48.5309-4.41418j 18.2991+2.52527j -55.111-5.44124j 66.2145+6.52519j 28.9732+2.56721j -99.3803-10.4447j 3.62359+0.264549j 72.7383+7.92796j 19.8707+2.07601j -60.8118-6.52753j 22.7261+2.43011j -2.65355+0.932327j 37.557+4.00624j -9.90064-2.28727j 20.8943+3.96063j 3.55642-2.12035j 2.94629+1.25042j -0.476482-0.572887j 
0.0946965-0.0321968j -0.138808-0.222634j 0.0865475+0.144818j -0.0329632+0.386806j 0.282757-0.314006j 0.577694-0.255163j -0.580031+0.284811j 1.58777-0.468157j -0.553082+0.0872571j -0.35861-0.0297795j -0.698258+0.103564j -0.650063+0.3581j 1.39326+0.409248j 1.25067+0.411541j -0.244287-0.0528661j -1.66939-0.494019j 1.50671+0.683185j 0.927272+0.859658j 0.27372+0.00237786j 0.452718-0.136829j -0.767978-0.701345j -1.22282-1.37818j 0.286762-1.36006j -0.407103-0.693612j -0.323533-0.877039j 1.20962+1.05752j 0.957052-1.04643j -0.963922+0.201724j -0.78436+1.09673j -0.959024+1.33238j 0.220529-3.65077j -0.233955-1.43251j -1.63561+13.7239j -0.733571+6.15431j -3.47891+28.9404j -0.0970651-4.38124j 1.76727-12.5715j 4.83396-37.4246j 2.71366-20.7924j 6.8288-50.7164j 0.462941-3.49445j -7.96074+59.2348j -3.35846+29.7637j -6.18316+45.4338j -5.04605+36.0225j -0.0991787+0.479035j 5.25675-38.1642j 3.83396-30.4803j 10.6445-75.5094j 6.40787-47.7534j 4.33786-31.8533j -4.63018+30.4804j 1.36788-13.1783j -5.17376+34.1971j 6.27231-40.902j 2.2133-19.0226j -9.72945+61.5804j -1.04519-1.83786j 7.29512-45.0225j 3.3128-11.827j -6.00469+37.8779j 2.43049-14.2765j 1.70102+1.90255j 3.54999-24.4648j 0.0103082+5.71851j 2.09175-12.2726j -0.648115+0.876848j 0.173451-5.69274j 0.583359-1.54201j 
0.0648327-0.014392j -0.165647-0.17481j 0.0842369-0.0209104j -0.502749-0.085364j 0.440903-0.00455083j 0.573245+0.0207189j -0.263872+0.482246j 0.810008-0.468495j -0.527335+0.100084j 0.198147+0.0379761j -0.478153-0.405215j -0.379634+0.354314j 0.64613-0.170388j 0.368057+0.152321j -0.315774+0.00434917j -0.888007+0.234903j 0.319606+0.126019j 0.580955+0.278945j 0.903123-0.402851j -0.402723+0.68843j -0.147252-0.0250165j -0.544055+0.21713j 0.491064+0.731612j -0.182971-0.255746j 0.840515-1.15909j -1.31823-0.382119j -0.445878-2.20134j -0.608747+0.174546j -0.343799+0.0866656j -0.295709+0.325592j 0.345398-0.0498692j -0.189834+0.0266927j -1.61595+0.172792j -0.815596-0.332615j -3.30602-0.459808j 0.398333-0.46752j 1.88458+0.363431j 4.47923+1.0124j 2.53028+0.363334j 7.38461+1.14812j 0.356462+0.733681j -7.61496-1.39986j -3.40235-0.50837j -6.13322-0.737775j -5.69523-0.976102j -0.727418+0.284243j 5.08442+0.606995j 3.81998+1.21193j 10.7162+1.45532j 6.02275+1.12161j 4.17627+0.160844j -4.3011-0.908709j 1.31142+0.379391j -4.60945-0.430426j 5.78839+0.828564j 2.48079+1.51527j -8.1472-1.98898j -0.152165-0.610577j 6.26818+1.52823j 1.2934-0.778755j -6.22054-0.767605j 1.98695+0.381489j -1.46513+0.39328j 3.2707+1.06896j -3.55228-0.334773j 1.38474-2.21331j 0.89806+0.117715j 1.59673-0.0541318j -0.477715+0.475858j 
-0.575966+0.307327j -1.86171-0.667216j -1.9369+2.39979j -7.95332+3.55711j 2.60319+0.887412j 8.55419-3.15487j -6.68256+0.980267j 18.6061-4.30009j -10.5912+1.95099j -5.74992+0.0873866j -4.0377+1.87466j -6.37819+1.46294j 18.457-1.45809j 15.443-1.04464j -2.54943+0.416198j -15.3022+0.306186j 15.5502+1.14712j 4.64717-0.143765j 1.43007+0.0448389j 3.22193+0.645418j -9.55642-0.927507j -14.3597-3.10619j -1.10619+1.02917j -5.44795-1.65487j -2.45718+1.00647j 3.16736+0.913026j -0.386266-2.55196j 1.34079-0.571272j -3.63241-1.66827j -0.0180703+0.00467974j 10.5365+6.08573j 5.52266+2.98598j -44.0091-23.6474j -18.7359-10.295j -90.9886-48.6529j 9.12206+5.81226j 41.98+22.0611j 119.694+64.0902j 68.4726+36.66j 167.983+89.0132j 13.2533+6.83557j -195.567-103.877j -93.9925-53.8185j -150.751-80.3769j -124.287-65.4351j -4.33054-1.11092j 126.854+68.91j 99.0054+53.3438j 252.498+135.368j 160.155+86.5467j 105.167+58.4314j -101.941-54.7128j 40.7231+25.376j -115.501-60.8386j 138.337+74.1959j 62.9569+36.7975j -206.124-115.034j 7.93091+3.89481j 151.751+83.9276j 40.0138+22.4815j -123.392-72.9561j 47.7237+26.7237j -6.94833+1.20176j 77.5753+44.3892j -21.9897-13.6975j 45.1177+30.0857j 8.19743+2.76356j 12.5684+7.21911j 3.06196+2.42658j 
0.122579-0.28243j 0.274984+0.170996j 0.458284-0.304391j 1.46227-0.406819j -0.0968333-0.502428j -1.33738+0.252664j 1.08403+0.149146j -3.03919+0.553878j 1.68389-0.137287j 0.709595+0.172852j 0.328684-0.569511j 1.39458-0.548503j -2.94043+0.00372027j -2.60752+0.187943j 0.595871-0.236353j 2.79496-0.266099j -2.60072-0.387655j -0.729869+0.696003j -0.713012+0.0736246j -0.926694+0.857371j 2.04198-0.151448j 1.99686+0.0374391j 1.2889-0.627083j -0.377746-0.27655j -1.1951-0.163871j -1.48109-0.84515j 0.233946-0.138734j -0.808673+0.265854j 0.343062+1.33963j -0.307829-0.986148j -2.00239-3.99931j -1.007-1.64909j 8.25362+16.0814j 2.89256+6.8649j 16.8913+32.798j -1.51878-4.62365j -7.71307-14.6843j -21.7418-43.1442j -12.4225-24.536j -30.8535-59.2225j -1.77942-4.26399j 35.8497+68.9226j 17.2116+35.8115j 27.4764+52.2927j 22.4223+42.5451j 0.469516+0.11978j -22.7998-44.3191j -17.9316-35.5832j -45.4814-88.6285j -28.4669-55.925j -18.522-37.6298j 18.2677+35.5924j -7.13787-16.2385j 20.9075+40.1812j -24.0855-48.1508j -11.6223-24.0591j 35.9331+74.2024j -1.67226-2.0844j -27.1807-53.9354j -8.49757-15.5819j 21.859+43.9212j -8.66777-16.4368j 2.72311-0.106459j -12.3408-26.0392j 4.26303+11.6985j -6.41592-16.1049j -2.08374-1.63035j -3.55854-3.43759j -0.305564-1.63176j 
0.396072-0.294907j 1.26213+0.152607j 1.5053-1.55457j 5.99968-3.15274j -1.91523-0.554188j -6.12761+2.598j 5.27072-0.943745j -14.1706+3.50097j 8.07946-1.74092j 4.23418-0.418383j 2.79766-1.31809j 4.37424-1.02277j -13.8541+1.75652j -11.2792+0.444039j 2.37731+0.0305961j 11.881+0.164715j -11.4796-0.886679j -3.11343-0.812902j -1.02056-0.482871j -2.49954-0.727442j 8.89906+1.25583j 9.92078+3.34318j -0.0145717-2.17728j 5.09926+0.02171j 1.85989+0.649349j -2.94169-3.85368j 0.0746491+0.689674j -0.392286+0.943479j 2.25766+0.356847j -0.646607+0.252108j -7.50903-1.29559j -3.77848-1.36051j 30.3276+2.94296j 12.8224+1.07508j 63.6013+6.67683j -6.09499-0.307211j -29.4523-3.49246j -84.1037-9.17765j -47.5577-5.4264j -118.147-14.1356j -9.73207-1.39045j 137.463+16.7361j 66.6207+8.4964j 106.554+13.4183j 87.3651+10.2944j 3.20142+0.924166j -89.6535-11.4735j -70.2632-7.92988j -178.439-22.6815j -113.449-14.8696j -75.4211-9.89484j 72.1794+8.60034j -28.9028-4.61615j 81.877+10.4855j -97.1364-13.206j -44.1932-6.30515j 147.198+19.8191j -5.15852-0.599832j -107.094-18.4491j -28.2287-4.39736j 88.1755+13.469j -33.1285-3.81221j 4.7181-0.145853j -55.3252-9.26003j 15.8232+2.48901j -31.7631-7.02176j -5.74158+0.0758057j -8.78686-2.4718j -1.38696-0.676116j 
-0.644244+0.400848j -2.0711-0.736213j -2.32977+2.47562j -8.43246+3.63328j 2.17745+1.05084j 8.60106-3.35017j -6.91821+0.670328j 19.7349-3.74455j -11.4306+1.51213j -5.74754+0.0855394j -3.96023+2.60147j -6.81712+1.42476j 20.1161-1.64835j 16.6762-0.272125j -3.20897-0.00462858j -17.0186+1.08865j 16.6535-0.139501j 5.84261+0.636815j 1.69776+0.562043j 4.37864+1.21827j -10.2871-0.801412j -13.8912-2.16747j -0.664049+1.61321j -7.79528-1.33563j -1.22884+1.98139j 4.90624+0.472875j 0.371422-1.82236j 0.73699-0.327182j -3.79431-2.57165j -0.343905+0.336767j 11.2599+8.72012j 6.01344+4.2916j -48.1097-35.4512j -20.0779-14.6915j -99.4253-72.3597j 9.64469+9.40656j 45.8477+32.3487j 130.466+93.9501j 74.3481+53.5353j 182.298+130.976j 13.9886+9.48649j -211.569-153.562j -102.417-78.6178j -163.998-118.002j -133.75-95.9861j -5.02008-1.47296j 137.157+100.221j 107.678+79.194j 272.638+199.337j 173.393+127.405j 113.366+85.1377j -111.023-80.8421j 42.0671+35.5731j -125.655-90.5891j 150.201+109.313j 66.8503+53.9035j -224.238-169.276j 8.06487+6.09862j 163.9+121.118j 40.6885+35.0494j -133.47-102.028j 50.4382+36.9892j -8.68788-0.524716j 81.7987+68.982j -22.6982-21.1513j 49.4761+41.3486j 9.24607+2.47982j 14.6672+10.4172j 2.61955+3.85122j 
0.628658-0.7087j 2.75486+1.43774j 2.73795-3.319j 12.1851-5.4061j -4.19561-1.40211j -12.3761+4.77469j 10.4864-1.25482j -27.766+6.23852j 16.1515-2.56559j 9.23101-0.716975j 5.48167-1.94019j 9.11122-2.07547j -28.4639+2.1412j -23.3799+1.62226j 4.04082-0.598655j 24.3145-0.996562j -24.4283-0.615891j -7.31547-0.675629j -3.36516-1.78938j -6.52994-0.717729j 14.4885+1.58183j 19.9197+2.5804j 0.882212-1.02419j 8.77821+1.51538j 2.59623-1.67818j -5.82197-4.2319j 0.962982+2.47605j -1.08377+1.10433j 5.4392+3.06241j -1.09508-1.06478j -16.6231-9.81524j -7.57077-4.72787j 66.407+39.3199j 28.7477+17.0619j 138.228+81.862j -14.5361-9.88888j -63.0727-37.2778j -181.921-107.554j -103.373-61.2074j -254.221-150.055j -19.5992-12.1542j 296.511+174.354j 142.97+88.715j 228.515+135.167j 188.467+110.808j 6.30631+2.20683j -192.568-115.737j -149.811-88.8497j -381.747-227.739j -241.554-145.479j -158.64-97.7885j 155.88+92.0377j -60.4507-40.9892j 175.585+105.161j -209.98-124.902j -93.2601-61.7068j 313.098+194.886j -13.2274-5.8432j -229.087-140.075j -59.1726-40.9481j 188.821+119.051j -72.0964-42.3418j 10.5581-0.305289j -117.146-77.6784j 32.75+23.4104j -66.734-48.0841j -13.5424-3.11314j -18.7972-11.1445j -2.37018-2.81271j 
-0.0573044+0.144586j -0.529639-0.562569j -0.304952+0.475085j -1.96172+0.495637j 0.816003+0.288805j 2.16624-0.481428j -1.77143+0.0787667j 4.66893-0.751738j -2.76591+0.399491j -1.6152+0.0667267j -0.817245+0.401965j -1.16935-0.0100703j 4.70488-0.351653j 3.98609-0.22333j -0.841554+0.0901765j -4.29749-0.00809486j 4.28686-0.378091j 0.618506+0.258618j 0.598426-0.259547j 1.09204+0.547125j -2.90004+1.01196j -3.14855-0.575423j -1.68609-0.862217j -2.27903+0.0626791j 0.574234-0.175997j -0.184263+0.35365j -0.0688413+0.925779j -0.67649-0.483431j -0.997133-1.02968j 0.230318-0.263108j 3.10671+3.43495j 1.02413+1.41126j -12.1419-15.0959j -5.44972-6.69423j -24.8222-31.0928j 2.93186+3.82551j 11.0942+14.0209j 32.2051+40.6999j 18.3577+23.2949j 44.8875+56.3609j 3.80254+4.19536j -52.7111-66.0679j -25.575-33.2958j -40.583-50.5775j -33.2034-41.1267j -1.29951-0.843069j 34.2298+43.0291j 26.7169+33.3566j 67.7258+84.7406j 41.6841+54.3743j 28.1337+36.4435j -26.1798-34.5387j 10.7744+14.9089j -30.9157-37.6759j 37.33+47.1334j 17.0936+22.9574j -54.6613-71.8819j 2.99823+2.53029j 39.3752+50.443j 10.1564+14.9874j -34.0622-42.0163j 9.26581+19.0032j -1.43401+1.58168j 20.3212+27.1431j -5.73646-7.69897j 12.9283+17.7936j 3.56837+0.627049j 3.90295+4.57999j 0.214128+1.50535j 
