-0.130971+0.0310587j 0.0809742+0.0187379j -0.0277067-0.382929j -0.111161-0.187067j 0.231513-0.0476285j 0.449675-0.22878j -0.0772197+0.309138j -0.0515236+0.181179j 0.0292268+0.314881j 0.187098+0.649971j 0.427048+0.229346j 0.00726377+0.115399j -1.0644-0.178756j -1.39508+0.0879555j -0.764679+2.16455j -0.174603-0.226886j -0.0236384+0.0822404j 0.395292-0.280932j 0.0886426-0.170722j -0.354969-0.126267j 0.646173+0.0191335j -0.016366-0.0757785j -0.0224361+0.446633j 0.438806-0.118026j 0.141478+0.430828j 0.427809+0.63222j -0.270583-0.0948789j -0.450906-0.141137j -0.276756-0.0932549j -0.653827+0.2315j 0.7107-0.077953j 0.230379-0.177161j -0.490792+0.693187j 0.0473571+0.723124j 0.512574-1.04751j 0.202186-2.76951j 3.80581+0.584731j 0.18131-0.161028j 0.028283-0.225207j 0.408531+0.179975j -0.380891+0.276011j -0.0516902+0.0873734j 0.069096-0.0250408j 0.011672-0.266941j -0.25554-0.309803j -0.327483-0.122938j 0.400478-0.0656744j 0.177086-0.000978073j -0.00178821-0.265049j 0.0309989-0.0404315j -0.210841-0.206405j 0.18337-0.319998j 0.00242479-0.290319j -0.128235-0.387927j 0.204803-0.281738j 0.183054-0.266923j -0.109359-0.144906j -0.108744-0.243686j 0.420308-0.373729j 0.132114+0.439104j 0.168197+0.364903j 0.116933+0.774138j -0.159895+0.120133j -0.327598-0.513267j -0.0105172-0.0649172j -0.353298-0.251321j -0.534328-0.350694j -0.194775-0.0899129j 0.383019+0.23544j -0.742772+0.232065j -0.370854-0.091081j -0.0419559-0.140523j 0.49799-0.420304j 0.169746+0.161824j -0.427458-0.0484034j -0.443906+0.535897j -0.418406+0.125605j 0.0830291+0.134881j 0.330403-0.585773j -0.273997+0.294402j 0.0996135-0.247223j 0.343136+0.485221j -0.205333-0.385499j 0.051299+0.137649j 0.384645+0.192758j -0.0160465-0.0664238j 0.396381+0.216522j 0.172676-0.301122j -0.957005+0.761238j 0.477563-0.335123j -0.505996-2.05241j -0.750262+0.608096j 3.07121+1.0027j 0.267394+1.03766j 1.66828-2.85535j 
-0.0646964-0.00496489j -0.435118-0.0587508j 0.093083+0.444936j 0.261852+0.217615j -0.0856261-0.364844j -0.282449-0.337935j 0.581013+0.204656j -0.204888-0.0948244j 0.538483+0.119638j 1.05767-0.261177j 0.607679-0.033703j 0.368625-0.802336j -0.658254+0.66617j 0.640571-0.25815j -2.38576-0.541756j 0.075667-0.0118071j 0.240141+0.52846j -0.30228+0.794185j 0.095231+0.611579j 0.36151+0.299428j -0.658138+0.103777j -0.394014-0.161065j 1.31366+0.139206j 0.368867+0.748789j 0.582351+0.0225447j 0.877081-0.0542303j -0.697627+0.354161j -0.676858+0.550675j -0.61861+1.12692j -0.900814+0.328349j 0.100661-1.28329j 0.156106-0.436564j -0.215156+0.781773j -1.3533-0.720427j -0.471765-0.742579j 0.739525+0.620601j -0.751745+2.28649j -0.314237+0.414169j 0.152856+0.365143j -0.550361-0.00228351j 0.267934-0.355501j -0.264172-0.196028j 0.189765-0.154879j 0.0280058+0.363316j 0.183423+0.0228222j 0.2402+0.183347j -0.167301-0.0662302j 0.281468+0.527316j 0.250496+0.321503j -0.375225-0.0331923j 0.442891+0.014834j -0.524429-0.587464j -0.440043+0.00255986j -0.903381-0.151821j -0.0724822+0.122733j -0.0451386-0.000318362j -0.149173+0.32237j 0.132931-0.107502j 0.19578+0.30709j 0.710893+0.0385685j 0.211113-0.0512652j -0.381095-0.00945652j 0.25068+0.335089j -0.740473+0.537604j -0.0365495-0.0557067j -0.0811956+0.903608j -0.410081-0.230296j -0.0861325+0.17379j 0.520841-0.110113j -0.51989+0.31877j -0.294226-0.474824j -0.207427+0.0751767j -0.0666636-0.669756j 0.0694664+0.0700336j -0.356465+0.227029j -0.803492+0.214486j 0.0193527+0.535451j 0.339109+0.0885363j -0.178155-0.47959j -0.345344+0.709709j 0.0655237+0.167131j 0.974671+1.02867j -0.296963+0.332014j -1.08023-0.218867j 0.52316-0.137365j 1.31134-0.0776792j 0.347303-0.417377j -0.801227+1.41279j -0.341132+0.949902j 0.82029-1.1366j -2.12212-1.09546j -0.399224-1.00392j -0.67322-0.0600493j -0.654231+2.27119j 3.37189+2.06374j 
0.164241-0.281697j 0.331829-0.1323j 0.198023-0.15232j -0.103364-0.139249j 0.0917052+0.35946j 0.299928+0.274862j -0.256635-0.183022j -0.509977+0.14373j -0.0351625-0.0567703j -0.0209518+0.0474716j -0.308298-0.45683j 1.00627+0.806167j 0.525126-0.775143j -1.5444+0.0756483j -0.400917-0.258791j 0.442015+0.0548465j -0.576257-0.23257j -0.02781-0.0876682j -0.288127-0.264196j 0.340519-0.611052j -0.0660982+0.223538j 0.117358+0.0771257j -0.224844-0.132956j 0.108578+0.0583985j 0.0923221-0.0901413j 0.10167+0.268761j 0.131307+0.203679j 0.325244-0.0882458j 0.174954+1.41018j -0.25723-0.524354j -0.00177996+0.0237042j -0.350835-0.0667569j 0.991746-0.961655j 0.992263-2.3184j 2.67185+0.806988j -0.518253-2.42261j -2.00739+0.173124j -0.133499-0.00874706j -0.0613644-0.0119225j -0.117944+0.197735j -0.123265-0.131937j 0.121213-0.164272j -0.0360881+0.159803j 0.577476-0.386789j 0.067825-0.273073j 0.112506-0.587027j 0.159155+0.424683j -0.102744-0.405978j -0.119377+0.164067j 0.229958+0.0871671j 0.0675676+0.109823j 0.563099+0.734127j 0.527058-0.0693365j 0.602822+0.252912j -0.137341+0.217554j 0.447381-0.291934j 0.134458+0.133604j 0.0077223+0.276648j -0.171036+0.0764941j -0.112605-0.36891j -0.187287+0.572906j 0.132322-0.0516203j 0.173007+0.181753j 0.032669+0.152724j -0.0823061-0.071685j -0.208204+0.259854j 0.068274+0.181627j -0.0970159+0.130254j -0.281475-0.566221j 0.133004+0.323756j -0.263462-0.0444461j -0.305885-0.322497j -0.555738-0.279593j -0.388703+0.0368119j 0.511933+0.543546j 0.16379+0.541933j -1.00448+0.389276j 0.364898-2.7028e-05j -0.740564+0.378971j 0.65302+0.705781j -0.516136+0.107761j 1.42251-0.0513055j 0.00997541-0.0318013j 0.853274-0.10165j 0.0931973-1.01633j 0.44139-1.36284j 0.575839+0.247829j -0.48798-1.5679j -1.079-0.124296j -0.471263+0.182702j 0.942703-2.19265j 0.350355+0.371992j 2.10422+0.347183j -1.19062-0.215644j 0.455495+0.386732j 
0.0251248-0.242475j -0.021121+0.103654j 0.644585-0.0822461j 0.0183002+0.0195056j -0.189273+0.439917j -0.485675+0.676886j -0.273779-0.401536j 0.0489458+0.293214j 0.0331671-0.422812j -0.770725-0.672225j 0.199978+0.128174j 0.352526-1.13908j -0.897193-0.672455j 0.79467+1.47931j -0.535744+0.214053j 0.400461-0.161177j 0.0132745+0.0375719j 0.948471+0.323184j -0.117437+0.0974983j 0.939988-0.776332j -1.14745+0.294528j -0.416387+0.19628j 1.35806-0.923335j 0.284447-0.307904j 0.768196-0.451105j 0.493298-1.02264j -0.333578+0.0207127j 0.0536287-0.606573j -0.820464+0.110494j -1.34408+0.379812j 0.195307+1.49542j 0.883297-0.326194j -0.251078+1.31188j -1.09856-0.886187j 0.680571-0.251637j -1.62948+0.347682j -0.359952-1.01237j 0.169045+0.284379j 0.191002-0.0338845j -0.0144719+0.22709j -0.214373-0.060393j 0.310977+0.527358j -0.446397-0.127421j 1.56072-0.25509j -0.638129+0.0508808j 0.0717613-0.470416j -0.446115-0.276035j 1.39174+0.0257264j 0.127906+0.102875j -0.332419-0.0364007j -0.00294514-0.120916j -2.4993-0.709281j -0.442384-0.257575j -1.94995-0.23371j -1.19813-0.333834j -0.565509-0.198626j -0.315321-0.0645098j 0.0491599+0.0479744j -0.881944-0.322843j 2.31065-0.0209109j 0.482675-0.124908j 0.653292-0.243442j 0.407712-0.359692j -1.59437-0.0526958j -0.119206+0.277097j -0.0344156-0.628184j -1.70991-0.325091j 0.0966724-0.0401598j 1.38776+0.926439j -1.5021-0.513225j 0.949104+0.369107j 0.484182-0.497518j 2.13842+1.20419j -0.102042+0.931254j -1.43797-0.80979j 0.760296-1.76391j -0.243631-1.31772j -0.286949+0.379043j 2.34677+1.16159j -1.43507+0.312252j 0.473144-1.41667j -1.0237-0.383566j -0.0491355+0.196769j -0.182871+0.143359j 1.54267+0.453897j -1.69713-0.137567j -0.839173+0.596403j -0.137983+0.577105j -1.48579-0.883575j 0.28591-2.83059j -0.852423-1.66662j 0.746015-1.35909j 0.240085-1.79271j 1.19338+0.332159j -0.326523-1.45245j 
-0.0760419+0.171636j -0.494348+0.0348888j -0.114795+0.26122j -0.13038+0.0935819j 0.23287+0.266208j 0.0888567-0.803684j -0.690406-0.302452j 0.58491+1.08807j 0.0371851+0.177462j -0.0978398-0.0243896j 0.0799357-0.610263j 0.946643-0.0729149j 1.42431+0.944889j 0.476441-0.946456j -0.251101+0.754215j -0.206415+0.0821241j 0.630656+0.546801j -0.0606117+0.637058j 0.280515+0.236479j 0.025072-0.113869j -0.191916-0.609733j 0.449682-0.0315265j 0.00804239+0.40084j 0.280098-0.132234j 0.859451+0.424246j 1.84132+0.421091j 0.33371-0.453434j 0.251954-0.577783j 0.497227-0.340446j -2.09376+0.376882j -0.128653+0.310892j 0.203816-0.299384j 1.32196+1.29347j 0.559699-1.07102j -0.67883+2.16493j -0.169262-0.0304932j 0.136739+1.97362j -0.227341+0.338699j 0.174923+0.273978j -0.3283-0.36656j 0.3005-0.0200178j -0.534493+0.075775j 0.184143-0.461223j 0.523559+0.455272j -0.399599+0.263705j 0.174567+0.146192j 0.011317-0.339052j 0.333905-0.0405464j 0.618702+0.430945j 0.1501-0.366044j 0.448122-0.132381j -0.96313-0.623008j -0.531189-0.260853j -0.395707-0.996425j -0.66613-0.365432j -0.686968-0.222898j -0.562629-0.750604j -0.143681+0.347965j -0.359298-0.276483j 0.732094+0.671019j 0.767895-0.176432j 0.6886+0.134014j -0.116684-0.0325189j -1.06466-1.26202j -0.26851+0.159356j -1.14904-0.988573j -1.16412-0.662701j -0.278935+0.103645j 0.754997+0.869054j -1.25451-0.319585j -0.859333-0.103782j -0.956181-0.247823j 2.00845+0.531955j -0.701808+0.22984j -0.28912-0.230805j -0.108345+0.527369j -0.835551+1.18184j -0.294993+0.145862j 0.460345+0.992618j -0.838168+0.203313j 0.235184-1.18907j -0.229777-0.368427j -0.0607095-1.37488j 1.42797-0.911831j 0.600448+0.440337j -2.24007-1.02866j -0.51844-0.740139j -1.13676-1.97812j 1.38387-0.653648j 0.0651155-0.61477j 1.05257+1.71531j -0.895538+0.388903j -1.45285+1.28415j 0.489158-0.583572j 0.286545-0.277448j 
0.00908426-0.280158j 0.113116-0.123797j -0.0493116-0.0838347j 0.357954-0.603646j -0.0499063-0.509392j 0.420837-0.00831842j -0.0429528+0.0988911j -0.397845-0.147243j -1.24231+0.820075j -0.272123-0.886228j 0.115403+1.91329j -0.410706+0.108673j 0.829108-0.217348j 0.0169749+0.271465j -0.056822-0.00146358j 0.404172-0.241966j -0.340476+0.268774j 0.39432-0.0475702j 0.771842-0.202811j 1.00408+0.431225j -0.588491+0.513195j -0.828476-0.124965j 2.26321+0.359828j 1.09594+0.624273j 0.520873+0.471681j 2.02701-0.827783j -0.997964-1.21602j -1.05294+0.136017j -1.34677-1.07746j -1.80692-1.93205j -0.825826+0.806301j 0.139764+0.195401j -1.87777-0.527145j 0.980583+0.608231j 0.950736+0.532973j -1.83831+1.3286j 1.12131+1.26459j 0.11216+0.20088j 0.162336+0.00209094j 0.130342+0.356312j -0.364083+0.0961749j 0.141988-0.618286j 0.343708-0.0542037j 1.70236+0.227735j -0.115754-0.603495j 0.45353+0.190996j -0.623903+0.086965j 2.60885+0.814435j 0.282848-0.711051j -0.88554-0.202606j -0.39284-0.251092j -3.81705-1.2803j -1.05503-0.779986j -3.59229-1.22846j -1.27884-0.443474j -0.522669+0.142676j -1.09003-0.511897j 0.297475-0.324692j -1.15019-0.553816j 3.94615+1.41831j 0.065586+0.0841707j 1.04881+0.117843j 0.240787-0.642828j -4.77042-1.0859j -0.120748+0.654789j -2.62116-0.291001j -2.31282-0.461441j -0.147992+0.103119j 2.61339+1.71306j -2.62496-2.06886j -0.334175+0.791783j -0.069138-0.514859j 4.91302+1.55556j 0.285813+0.150171j -1.23827+0.499355j 0.558673-0.405661j -0.876098-1.08785j 0.110853+0.021776j 0.717608+0.455306j -1.55888-1.20538j -0.373615+0.841552j -3.09488-1.44448j 2.91403+0.412782j -1.10898+0.427553j -1.90934-3.06252j -1.60016-2.06273j 0.668971-0.953543j -0.526127+0.86038j -0.734487-0.482144j -1.0346+0.72456j 0.730736-0.0433614j 1.59337+0.43958j 0.625588-0.426232j -0.1703+1.34289j 1.1951-0.27923j 
0.0649242+0.324938j -0.0524135-0.084187j -0.213346+0.329633j -0.106656+0.253314j -0.0438509+0.164183j -0.138492+0.314262j 0.105279-0.444531j 1.05591-0.610972j -0.453511+0.398512j 0.297695-0.149792j 1.0964+0.750057j 0.687556-0.235229j 0.395008+1.34536j -0.761943+0.0885847j 1.10674+0.69528j -0.336628+0.373384j 0.0122294-0.26733j -0.185514-0.005615j -0.0289227-0.204048j 0.346652-0.107516j -0.19951+0.0663848j 0.0680727-0.120422j 0.108405+0.0361125j -1.20978-0.503567j -0.333989+0.110751j 0.168655-0.422104j 0.406519-0.176552j 0.840677+0.324059j -1.61528-1.92072j -0.331982+0.458636j 0.373405-1.53196j -0.231322-0.887965j -0.131512+1.45636j -1.52064-1.68755j -0.355524+0.340391j 0.418336-1.44831j 0.218051-0.468546j -0.0919253-0.36226j -0.22252-0.0179143j -0.144688-0.19102j 0.170182+0.00209466j -0.205543-0.00135223j 0.0517407-0.143043j 0.316889+0.204671j 0.042123+0.286313j 0.383817-0.0385935j -0.0599394-0.04209j -0.14631-0.435107j 0.389622-0.401673j 0.128412-0.131197j -0.126094-0.409837j 0.146856+0.638929j 0.219751+0.0401054j -0.161664+0.480394j 0.086221+0.0508382j -0.377275+0.154822j 0.0175708+0.224829j 0.0318753-0.199761j -0.168949-0.14371j -0.354297-0.451167j 0.254506-0.558901j 0.234426-0.202269j -0.0236165-0.394806j 0.402229+0.399416j 0.0167537+0.305365j 0.283621+0.132724j 0.944585-0.264376j 0.348568+0.165457j -0.547733+0.12619j -0.420069-1.13761j -0.129326-0.210292j -0.0247499+1.07802j 0.928956+0.865202j -1.00287+0.412128j 0.73339+0.488988j -0.567487-0.218898j 1.12545+0.621653j 0.633514+0.392172j -0.187212+1.70969j -1.46971+0.778897j -0.981027+0.310028j 0.0675965+2.85234j 0.820578-0.960508j -0.904178+0.213363j 0.0667001-1.5501j 1.02876+0.505656j 0.516528-1.02478j 0.0419373+1.26469j 1.34338-0.173116j 0.680682+0.692147j -0.0272975+0.667603j 0.363862+1.07928j 0.722965-0.491934j -1.043+0.14505j -0.384412+0.716289j 
-0.206453-0.00507099j -0.0873868+0.236599j 0.502419+0.307351j -0.154809-0.088896j -0.719292+0.193751j -0.257173+0.879049j 0.238044+0.202043j 0.443899+0.368485j -0.220011+0.747275j -0.732139-0.169007j -1.40155-0.492058j 0.936546+0.111795j -0.456511+1.21382j 0.221465-0.611218j 0.650324-0.613775j -0.276511-0.264444j 0.43956-0.0422833j -0.385482+0.288341j -0.285964-0.012977j -1.22768+0.0422938j 1.48535+0.595604j 0.924862+0.298299j -3.9534-0.634353j -1.48793-0.556077j -3.16666+0.615401j -4.13243-1.18673j 1.37016-0.494828j 1.37215+1.09552j 4.11373+0.239569j 1.44429-0.000565737j -1.90333-1.67942j -2.81038+1.46397j 3.39763-0.0614613j -0.194585+0.928774j -0.250085-1.40518j -0.448124+1.50212j 0.803708-1.19742j -0.0186918-0.121159j -0.044996-0.178179j 0.357267-0.30301j 0.250878+0.0133645j -0.56388+0.508087j -0.294026+0.0225334j -3.33583+0.112407j 0.844011+0.525151j -0.643752-0.25606j 0.934087-0.0117771j -4.18424-0.83434j -0.580856+0.047796j 1.38335+0.918991j 0.00605849-0.140602j 7.71572+1.38448j 2.1245+1.60556j 6.73225+1.23925j 3.79688+0.745881j 0.775875+0.287537j 2.22189+0.780872j 0.784334-0.482966j 1.36439+1.78526j -8.0996-0.359015j -0.91722-0.178237j -2.92245-1.79575j -0.139395-0.492505j 8.35705+1.58081j 0.367268-0.06032j 5.87877+1.81225j 5.51552+0.218852j 1.67728+0.333108j -4.26466-0.175606j 5.70782+1.44215j 1.29429+0.286671j 0.0234848+0.0299391j -6.21594-2.14063j -0.0510783-1.00238j 3.85214+0.49974j 2.68633+0.4766j 1.63085+1.23848j 1.2454-0.612608j -4.65626-0.142947j 3.92589+1.47378j -2.90997-0.344149j 7.60396+1.71951j -3.53501-2.11833j 0.639721-0.908302j 3.09047-0.851285j 1.0608+0.763414j -0.243301+0.307571j -0.0878885-0.692077j 1.43405+0.412975j 1.42087+0.258232j -1.52899+0.114198j -0.20816+0.509516j 0.373553-0.438652j 0.46563+0.491271j -0.222248-0.592124j 
-0.0972754+0.026598j 0.00838687+0.137763j 0.399917+0.0632011j 0.0843389+0.241951j -0.375386+0.260732j -0.426007+0.417818j 0.133045-0.0101106j -0.0868594+0.822091j -0.453125-0.456025j 0.339658+0.627414j 0.512359-0.195238j 0.0360659-0.0405979j 0.764234-0.425899j 0.693089+0.935803j -0.29206-0.271684j -0.134733-0.0984686j 0.194675-0.117634j 0.14723+0.151974j -0.213939+0.434905j 0.284242-0.299957j -0.257485+0.256643j 0.0953369+0.217129j -0.667231-0.280613j 0.30192-0.706386j -0.192576-0.430425j -0.935342+0.652118j 0.549701-0.0959419j -0.259832+0.589553j -0.167795-0.217539j -0.176505+0.190298j -1.23914+0.787855j -0.390177-3.60551j 0.204093-2.969j -0.0475599-0.0305825j -1.94452-0.987666j -0.208987-0.323034j -0.0915728-0.678228j 0.03563-0.0710716j -0.0410986-0.0446789j -0.0728028-0.0277431j 0.0996736-0.104637j 0.156575+0.263929j -0.234068+0.168245j -0.573222+0.109128j -0.397288+0.233935j -0.0180661-0.100463j 0.1332-0.240791j -0.337747-0.466375j 0.135065+0.441409j 0.260209+0.505994j 0.363151-0.17742j 1.20817+0.479319j 0.479069+0.665764j 1.15103+0.414296j 0.308347+0.18679j 0.504714+0.359097j 0.241284+0.404303j -0.0453033+0.313942j 0.457769+0.0877855j -1.29669-0.173553j -0.520747+0.0802393j -0.584776-0.126333j -0.208037+0.298178j 1.80281+0.46757j -0.257295-0.0183357j 1.22687+0.238135j 0.941395-0.271357j 0.21282+0.384311j -0.58909+0.285168j 0.80748+0.317883j 1.09098-0.408183j 0.230664+0.515144j -0.677864-0.514379j -1.62319+0.517357j -0.748807+1.55312j 0.338582-0.972188j 1.07941+0.398772j 0.687492+3.50372j -1.51367-0.469568j 1.76187+0.308109j -0.147315+0.902236j 1.60229-0.27291j -0.304263-0.490262j 0.869773-1.01858j -0.0374275-0.159542j 0.558692-0.589904j -1.20483-0.380407j -1.04667-0.926511j 0.671114+0.688304j 0.119485-1.12476j -0.875509+0.213942j -0.895074+0.685132j 0.507673-0.0133148j 0.0932572-0.302956j -0.295136-0.223637j 
-0.153023-0.219782j 0.549021+0.0467473j 0.238158-0.216622j 0.244567-0.182041j 0.385631+0.25858j -0.0576105+0.667622j 0.197352+0.0298459j -0.0617747-0.159157j 0.0647329-0.822547j -0.808366-0.824227j 1.62718+0.231174j 0.379578+1.72302j -0.39332+0.944096j 0.221821-0.192849j 0.369855-0.109169j 0.00838135-0.445502j -0.612806-0.336496j 0.24029-0.352522j 0.354276-0.147087j -0.0806868-0.0912744j -0.333456+0.672112j 0.423488-0.366402j -0.495242+0.492098j -0.141198+0.17408j -0.396111-1.50908j -1.56486-0.610588j 0.0521833+0.144985j -0.54202+0.896923j 0.918939+0.763212j 0.47682-0.180111j -1.3853+1.83322j 0.762351+0.238324j -0.451718+2.43577j -0.280265-0.547207j -0.764815-1.19935j 0.364893-0.702166j 0.219745-0.344593j 0.400736-0.43329j -0.172265-0.323229j 0.616819+0.504726j -0.428952+0.0976472j 0.345999-0.475398j 0.166559+0.405642j -0.209219-0.0172859j 0.304196-0.382962j 0.18633-0.118201j 0.286145+0.294508j -0.462265+0.0295952j 0.347105-0.386192j 0.17577-0.0150495j 0.0674842-0.351363j 1.00016+0.128099j 0.204446+0.443118j 0.527271-0.690667j -0.332019+0.411542j -0.219466+0.49076j -0.553459+0.17309j 0.135549+0.693115j 0.293053+1.04904j -0.821144-0.594247j -0.430284-0.623408j -1.35691-0.880498j 0.412016+0.517453j 0.603959-0.0215128j -0.250004+0.725268j -0.735812+0.550136j 1.578+1.48731j 0.688126+0.950285j 0.522625-0.85319j 2.51904-0.217615j 0.638034-1.14242j 0.561465+0.306552j -1.16177-1.4649j -1.18124-0.449827j 1.21563+0.0588255j -0.554835-1.1739j 0.910807-0.646657j -0.54588+0.0432201j -1.30102+1.26482j 0.788133+0.847669j 0.888119-0.38777j 1.69136-0.167995j -0.0138416-0.229999j 0.681126-0.0398253j 0.164006+1.04416j -0.47029-1.27113j 1.4304-1.37376j 0.389828-0.949006j 0.849785+1.35759j 0.938221+2.07069j 0.00677559+0.285468j -0.937056+0.0760524j 0.00574323+0.592037j 0.0663327-0.0864365j 0.0824769+0.0308032j 
0.0790816+0.147106j 0.153526-0.0740358j 0.567749-0.210942j 0.0939948+0.681378j -0.0713936+0.287309j -0.0363597-0.448252j 0.385102-0.0451998j -0.216801-0.0879559j 0.764652-0.156582j 0.107498-0.507461j -0.823605+0.799249j 0.607045+0.712576j -0.555596+1.34369j -1.42983+0.0515026j -0.411187-1.52791j 0.0604463+0.210731j -0.17398-0.14264j 1.27676+0.054438j -0.269629+0.911819j 2.99782-0.517618j -2.39281-0.0701898j -1.21607-0.0105023j 4.64369+0.580862j 1.48919+0.118474j 4.91003-0.378158j 3.03814+0.439858j -2.82362-0.325112j -1.6439-0.453249j -1.74502+0.0404332j -2.51143-0.554673j 4.42956-0.247701j 0.00550484-1.64237j -1.82289-0.150204j 0.65064+1.27569j 1.54794-0.417764j 0.828376+0.0871715j -0.681275-0.805515j 0.0485102-0.0854565j -0.0903394+0.187633j -0.919658+0.263115j -0.0308267-0.297655j 1.43306-0.0834769j -0.33917+0.318994j 4.64402+0.255223j -1.96915-0.261712j 1.44029+0.0967654j -1.34428-0.521768j 6.07517+0.113473j 0.960621+0.293131j -1.73496-0.220557j 0.465724-0.143676j -9.63567-0.865731j -2.40443-1.02648j -8.39754-0.669911j -4.52696-1.2531j -1.31364-0.177971j -2.85526-0.306102j -1.47752-0.215032j -1.42617-0.243403j 10.5717+0.779259j 1.85757+0.0887262j 1.58593+1.15333j -1.32872+0.43613j -10.1204-0.335365j 0.151153+0.740311j -6.30115-1.83291j -6.26046+0.840866j -1.00892-0.375083j 5.76884+0.869006j -5.6369-0.96847j -2.54099-0.902835j -0.782345-0.998197j 8.8483+1.03276j 0.143727+0.192029j -2.8471-0.0410576j -4.04456+0.154925j -3.55792-0.882341j -1.33942-0.911788j 3.97749+1.0016j -5.33357+0.0532617j 0.0919846-1.65166j -6.98527-0.768066j 3.4903-0.189868j -0.976015+0.639831j -1.45106-2.6913j -4.01876-0.69257j 0.912075-1.20356j -0.392075+0.854934j -1.67412-0.352109j -1.70342+0.490368j 1.1444+0.133539j 0.883237-0.578113j -0.0421097-0.0946384j 0.474507-0.553609j -0.271531-0.13697j 
