-0.00217082-0.0145508j -0.0144726+0.016309j -0.00208-0.00860866j -0.00161047-0.0502135j 0.00942515-0.0160824j 0.00301745+0.00572112j 0.00936824-0.0122652j -0.0163478-0.00467211j 0.00960952+0.00968299j 0.00423517-0.00488098j -0.00807455-0.0112128j -0.00989242-0.0154403j -0.015071+0.00657707j -0.0110533+0.0151885j -0.00864691-0.00794119j 0.00725778+0.0154091j 0.00330861-0.0187482j -0.00324102-0.00768025j -0.000271027-0.0123766j -0.0404944-0.00758793j -0.0343381+0.00599295j 0.00138418+0.00532515j -0.00937814-0.00834462j 0.00385808+0.00694691j -0.00125021+0.00123423j 0.00274698+0.00561299j 0.00665601+0.000918392j -0.00856944-0.00204154j -0.00420008-0.00739331j 0.0100292+0.0103673j -0.000994592-0.00766715j 0.00488558+0.00564294j 0.0079175-0.00337777j 0.00243339-0.00255076j -0.00451878+0.00462429j 0.00285884+0.0151899j 0.00292287+0.00171564j -0.00345214-0.00243313j 0.00173259-0.00418121j 0.00179944+0.000349252j -0.0111201+0.00378248j 0.00534607+0.00204187j -0.00870189+0.000748183j 0.00112041+0.000431504j -0.00138255+0.00140098j 0.00278575-0.000300592j 0.00230693-0.00902386j 0.0104947-0.00176849j -0.000707104-0.00230136j 0.00964819+0.00405791j 0.00657567-0.0130404j -0.00540433-0.0191198j 0.00143627+0.0202906j 0.00285325-0.00521594j 0.00410034+0.0140326j 0.00779423-0.0136296j -0.00470105+0.0207041j -0.0105646-0.0142358j 0.00728301+0.00274296j -0.000897134-0.00303928j -0.00858012+0.00154269j 0.00522273-0.00411634j 0.00232335-0.00553227j 0.00109597-0.00609521j 0.000800165+0.00957836j 0.00116293-0.000709496j -0.000478125-0.000727918j -0.00165385-0.00265674j 0.0020541-0.00348439j -0.000554473-0.000758054j 0.0049634+0.00032041j -0.000457755+0.000501546j 0.00121712+0.000423474j 0.00206855-0.000346724j 0.00604221+0.00218021j -0.000866566-0.00110624j -0.00183442+0.00379902j -0.00546985+0.0126581j -0.00305813-0.0133078j -0.00714752+0.00467668j -0.00638492+0.00112164j 0.00884885+0.00445822j 0.00299802-0.00629207j 0.00199498+0.00607313j -0.00272201+3.91032e-05j 0.000512609-0.000723805j 0.00057723+0.00175171j -0.00123747+0.0103686j -0.00201427-0.00509954j 0.00733257-0.00338528j -0.000251462-0.00441951j 0.00489023+0.00106139j 
-0.00485789-0.0167533j 0.00563984-0.000724441j 0.00476806-0.0230995j 0.00574158+0.00182642j -0.00812981-0.0102014j 0.000483199-0.00632669j -0.0071229-0.015599j -0.00714614-0.00654274j -0.00473738+0.0186179j -0.00796544-0.0133964j 0.00185964-0.0189661j -0.00472692-0.0139815j 0.0101011-0.00174468j 0.001729+0.0232732j 0.00049293-0.0109676j -0.00531753+0.0234537j 0.0210346-0.0307869j -0.0362341+0.0101679j -0.0120723-0.0212843j 0.0148162+0.0210041j 0.0124007+0.0140691j 0.00414409-0.00284114j -0.00385443-0.00802911j 0.00803166+0.00806774j 0.00102099+0.00852638j -0.00310876-0.0125173j 0.00401605+0.0014213j -0.00581303+0.0130134j 0.00243002+0.00310332j -0.00441208-7.72746e-05j 0.0029677-0.000578395j 0.00196096+0.00427416j -0.00510759-0.00542905j -0.00306597-0.00356461j 0.0118647-0.0037747j 0.00634921+0.00158482j 0.00171111-0.00500685j 0.00257686+0.00457078j -0.000167914-0.00749531j -0.00261817-0.000940771j 0.0189835+0.00261533j 0.000590063+0.000386686j 0.00689252+0.0133595j -0.00546151+0.00546559j 0.00700474-0.00401j -0.00137201-0.00188936j 0.0025531-0.006885j -0.0142368+0.00155804j -0.00869846+0.0245429j -0.00325418-0.0137306j 0.000724192+0.00410487j -0.000977216+0.00273744j -0.00852123-0.022254j -0.00467562-0.0069045j 0.00219513-0.0136148j -0.0150545+0.0288377j 0.0114121-0.00587177j -0.0100949+0.00173046j -0.0107815-0.0220709j -0.00370084+0.000273506j 0.00340162-0.00386694j -0.00143775-0.00469286j -0.0047104-0.000391781j -0.000234598+0.00181674j 0.00374892-0.00263827j -0.00344183+0.00383727j 0.000143795+0.00164413j -0.000889657+0.000400837j 0.000275556-0.000736301j -0.000568886+0.00250772j -0.000285833-0.00377094j 0.00143422+0.00475447j -0.00242085-0.00737873j -0.000401134-0.00207839j -0.00411445+0.000589362j -0.00444904-0.0056685j -0.000935026+0.00350747j 0.00401926+0.00156184j -0.00129947-0.00659147j -0.00719133+0.00445334j 0.00580425-0.0151793j 0.00231558-0.013341j -0.000757361-0.00158255j 0.00687596-0.00199484j 0.00267515-0.00311648j 0.00369415+0.00393185j -0.00157187+0.00221955j 0.00119218-0.00446605j 0.00182242-0.00286896j -0.000694532-0.0079218j -0.006768+0.000939559j 0.000739026-0.00218002j 
0.000806454+0.00642122j -0.00314781+0.00449303j -0.00233704+0.0220368j -0.000378406-0.0167503j 0.00296692+1.59685e-05j -0.00127122+0.00231522j 0.00707229+0.00839018j 0.00809893+0.00244054j 0.00353266-0.00674114j -0.00374422+0.0122825j -0.0075051+0.0135873j -0.00379954+0.0126702j -0.00533067-0.00144017j -0.000838321-0.0174125j 0.027854+0.000989466j 0.0363996-0.0111746j 0.0391731+0.0203876j -0.00200988+0.00201735j -0.0276643+0.00828503j 0.00660506+0.00279496j 0.000285385+0.00236269j 0.000278489+0.00205378j 0.00481025+0.00612425j 0.00361217+0.000581934j -0.000126222+0.00279258j -0.000775176+0.00676108j -0.00121177-0.00732408j -0.00426794-0.00820739j 0.0021252+0.00010814j -0.00445846-9.32722e-05j 0.00093942-0.0070585j 0.0031396-0.0110338j -0.000287084+0.00731953j -0.0013339+0.00616587j 0.000903956-0.0106467j 0.00113262+0.0106451j 0.000960188-0.00260711j 0.00267976-0.000200036j -0.000200376-0.000464111j -0.000162848-0.00631617j 0.00947627+0.00592956j 0.0013726+0.00021284j 0.00513638+0.016994j -0.00218301+0.00190194j 0.00481906-0.00556271j -0.00171579-0.00732285j 0.00273073-0.00759646j -0.00882629-0.0057274j -0.00120885+0.0161244j -0.000943055+0.0136744j -0.000143405-0.00439902j 0.00182441-0.0095721j -0.00500508+0.00222696j 0.00152215+0.0190162j 0.00113518-0.0154863j 0.00136903+0.0161005j -0.000435504+0.0119711j 0.00305561-0.00767318j -0.00019735-0.00415556j 0.000390045+0.000951567j 0.000600239-0.00143187j 5.49576e-05+0.000478608j 0.00131288-0.000484629j 0.00142238+0.000903079j 0.00241703-0.00173271j 0.00198429+0.000986924j -0.00106046+0.000411485j 0.000414635-0.00125122j 0.00110278+0.000645801j -0.000766772+0.00218343j -0.00018252+0.000859582j 1.66829e-05-0.000592685j -0.000953874-0.00285124j -0.00161587-0.00314619j -0.0033224+0.00207521j -0.0013195+0.00588135j 0.00202728-0.0004523j -0.000909742-0.000818801j 0.00253009+0.00314535j 0.00101074+0.000262691j -0.000213561+0.00391081j -0.00142333+0.00414953j 0.000354953-0.000808238j -0.00201121+0.0014684j -0.000470493+0.00159555j -0.000659701-0.000953216j -0.000545121-0.000378721j -0.00142028+0.000903506j 0.000425574+0.0010835j -0.000297833+0.0020593j 0.0017856-0.000346526j -0.000777305+0.000530199j 
-0.00383545-0.00181448j 0.0031602-0.00576334j 0.00208032-0.0144351j 0.00418472+0.0316119j -0.00420077+0.00412716j 8.11808e-05-0.000745067j -0.00671213-0.00406709j -0.00965353+0.00142982j -0.0009254+0.000131767j 0.00581142-0.00634316j 0.00846911-0.00676607j 0.0143603-0.00813771j 0.0103731+0.00119504j -0.0371932+0.00916653j 0.00433753+0.000835722j 0.0423282+0.00204578j -0.0124719-0.007509j -0.00698644-0.00539946j -0.00863041+0.00148997j -0.0146945-0.00995591j -0.0039465-0.00199489j -0.000969364+0.000751757j -0.00740047-0.00921362j -0.00286349-0.00531601j -0.0027431+0.000744924j 0.000715525-0.00757012j 0.00312124+0.0112057j 0.00677899+0.00238393j -0.00435755-0.0044222j 0.00979061+0.00570659j -0.00376427+0.00247937j 0.0051004+0.0270109j -0.000531855-0.0113273j 0.00469692+0.00250385j -0.0108519-0.000263246j -0.0021561+0.00382984j 0.000648406-0.00859388j -0.00205739-0.016396j -0.000177394+0.00370727j 0.00287836+0.00265946j -0.0141876+0.0139903j 0.00183444+0.0128236j -0.00784966+0.0122759j 0.00472881+0.00286667j 0.000849252-0.0249069j 0.00197177+0.0195974j -0.00327187-0.019344j 0.0111407-0.000344488j 0.00427683+0.0068087j 0.00259897-0.0142871j -0.00522851-0.00312485j -0.003234-0.00769723j 0.00648906-0.00137196j -0.00383922+0.0121831j -8.31381e-05-0.00268213j -0.000386244+0.000164362j -0.00159503+0.00311969j -0.000351061-0.000310267j 0.00135326+0.0075192j 0.000132313-0.0015465j -0.000779735+0.00116691j 0.00186484-0.00592688j -0.00133318+0.00103758j 9.11095e-05-0.00328153j 0.00394186-0.00122825j 0.000937782+0.00109j -0.0004266-2.37816e-05j 0.000207347-0.000380987j 0.000450817-5.5265e-05j 0.00111897-0.000225742j -0.000918693+0.00122026j 0.00108907+0.000304017j 0.000639085+0.000153925j -0.00302733-0.00153386j 0.00360693-0.00213372j -0.00516663+0.00136462j -0.000405576+0.00418235j -0.00102559-0.000788203j 0.0020591-0.0026555j 0.0007057-0.000805519j 0.000966505-0.00144715j -0.000826987+0.00168064j -0.000454941+5.17621e-05j -0.000459575-4.43083e-05j -0.000360623-0.000714267j 0.000679778-0.000643494j -0.000995067+0.000137244j -0.000667634+3.7441e-05j -0.000132539+0.000193051j -0.000747076+0.00141161j 0.000510088+0.000307813j -0.000374201+0.000373438j 
-0.00519847-0.01261j 0.00203468+0.00262356j 0.00173447-0.0297151j 0.00176949+0.0227508j -0.0021236+0.0027169j 0.00426664-0.000474567j 0.0127654+0.00787106j -0.013504+0.0121097j 0.0148744-0.00942201j -0.0154868+0.0138411j -0.00539321+0.0118973j -0.0029998+0.0136259j -0.0151524+0.00538593j -0.0172056-0.0131415j -0.0176535-0.0012199j -0.00857742-0.0173194j 0.000334375+0.0285447j 0.0100123-0.00316461j -0.0119874+0.0189835j -0.0196763+0.000618603j -0.0165085+0.00889038j 0.00288146+0.00351801j 0.00227695-0.00314819j 0.00925258+0.00208527j 0.00309413-0.0025783j -0.00464312+0.0107784j 0.00386562+0.00199597j -0.0090079+0.0109191j -0.0017335-0.00854341j -0.0105015+0.0226709j 0.0043971-0.0143031j 0.0112239+0.00818414j -0.00985136-0.000949097j -0.00949987+0.00247885j 0.0302287+0.00257697j 0.0117008-0.000760404j 0.002762+0.0071043j 0.0022771+0.00986852j 0.00656794-0.00941915j -0.00388149-0.000135647j 0.0394059-0.00207455j 0.00117953-0.0123459j 0.0150645-0.005857j -0.0144219-0.000121185j 0.0133566+0.00324938j -0.00572894-0.0174893j 0.0153554+0.00579813j -0.0222468-0.0136138j -0.0140922-0.00480328j 0.0132027-0.00593648j 0.00265291-0.00161289j 0.00491108+0.00388974j -0.0122139-0.00449166j 0.00730467+0.00249806j 0.00929673+0.0079057j 0.00901299+0.0029031j -0.00287626+0.0176913j -0.000656934-0.00914209j -0.00782375+0.00272977j -0.00343848-0.000463988j -0.000225186+0.000387363j 0.0021231-0.00409973j -0.000944354-0.000400988j 0.000619101-0.00157064j -0.000974096+0.0031897j 0.00119417-0.000320665j 0.000806408-0.000695541j -0.00150492-0.00206463j 0.000534804-0.00149575j -0.00471158+0.00288462j 0.00788682-0.00229506j 0.000373082-0.0012544j -0.00432435+0.00157321j 0.00482014-0.00234661j -0.00597647+0.00189627j 0.00025387+0.00114917j 0.00115121+0.00217012j 0.000364512+0.00120986j -0.000115544+0.00131661j -0.00175272+4.79301e-05j -0.00269672+0.00264504j 0.00029408+0.00535972j 0.00125417-0.00266504j -0.00140483+0.00337948j -0.000996551+0.000969399j 0.000172881-0.00136363j 0.000546941-0.000975838j -0.00172232+0.0026108j -0.000891292-0.0002698j 0.000659609+0.00168316j 0.00125409-0.00126808j 0.000540736+0.00104556j 
-0.00439949-0.0104926j -0.00112928+0.0035922j 0.00186072-0.020268j 0.00238321+0.0187198j -0.00529863+0.00251391j 0.00849715-0.00286406j 0.0082036+0.00775881j -0.0229664+0.00429895j -0.00290468-0.00590525j -0.00137806+0.0132548j -0.00810149+0.0108416j -0.0180913+0.0113817j -0.020642-0.0115569j -0.00624025-0.01564j 0.00433542+0.000489299j -0.0239161-0.0117245j 0.00987349+0.0130944j -0.00584466+0.0128345j -0.0291095+0.00355208j -0.00181172-0.00734064j -0.0017111-0.00390108j -0.000380234-0.00367087j -0.0130665-0.0076439j 0.0061647+0.0184651j -0.00743823-0.00457314j 0.0071073+0.00197904j -1.28605e-05-0.000282912j 0.00135276-0.0010485j -0.007023+0.0138979j 0.0125461-0.0153963j -0.00845726-0.00460303j -0.00713508+0.00607887j 0.0148969-0.0119873j 0.0105112-0.00938573j -0.0340842+0.00748832j -0.0130815+0.00607786j -0.00309816+0.0027627j -0.00354021-0.00106967j -0.00596669-0.0166205j 0.00440867+0.00721376j -0.045826+0.00404173j -0.00235892+0.00450592j -0.0187603-0.00848192j 0.015806+0.000344575j -0.0154061+0.0129221j 0.00703277-0.00480005j -0.0147919-0.0121j 0.0231449+0.0189473j 0.0167639+0.00855228j -0.0118897+0.0115348j -0.000361287+0.00674278j -0.0070385-0.00853459j 0.0119396+0.01506j -0.00696121-0.00108288j -0.00845314-0.00965283j -0.00898214-0.00950934j 0.00099883+0.00467235j 0.00265731-0.00201492j 0.0071924-0.00145816j -0.000154154-0.000424613j -0.00168593-0.00639937j 0.000317129-0.00574756j -0.00151028-0.000720742j -0.00016399+0.00259269j -0.00157397-0.00123674j 0.0014637+0.00188388j 0.000685724-0.000905311j 0.00204493+0.00269835j -0.00304714+0.00332269j 0.00386937-0.00200611j -0.00672269-0.00375923j 0.000736219+0.00053464j 0.00229548-0.00225037j -0.00309932+0.00253114j 0.0110846-0.00546352j -0.00116865-0.000695109j -0.000396021+3.32263e-06j -0.00100297+0.000835519j -0.000367405+0.00142022j -0.00194313+0.00118471j -0.00177918+0.00231775j -0.00222713+0.00133581j 0.000578136+0.000182287j -0.00030301+0.000607975j -0.000120477+0.000499053j 0.000476304-0.00013557j 0.000572045-0.000804635j -0.00138759+0.000925437j 0.000879588+0.000160368j -2.53324e-05-0.000351806j -0.000106922-0.000509539j -0.000256772-0.000121328j 
0.00306452+0.00820587j -0.00330238+0.000779077j -0.000693344+0.0271071j -0.00214126-0.0235944j 0.00585178-0.00153191j -0.00735026+0.00575897j -0.00425519+0.000614234j 0.00451742-0.000757714j 0.00973873-0.00316311j -0.0318697+0.0123501j -0.00859427+0.00808806j 0.0241981+0.00305305j 0.0149861+0.00144851j -0.0222779-0.00743487j -0.0312026-0.00267926j -0.00995838-0.00513052j -0.000476228+0.0127987j -0.0204098-0.00247168j -0.00714931+0.00335932j 0.0178759-0.00787308j 0.00427705-0.000391111j 0.00105639+0.00521128j 0.00494973+0.00623174j -0.000209715-0.00301985j 0.000991548-0.00256162j -0.00461833-0.00175311j 0.00626165+0.00560022j 0.00735682-0.00208711j -0.000520567-0.000666765j 0.0083506+0.00311068j -0.000551591-0.00636833j 0.00403679+0.021204j 1.11509e-05-0.0321383j 0.00138396-0.0103601j -0.0101716+0.00807406j -0.00512566-0.0110861j -0.00284154-0.0017084j -0.00140616+0.0033308j -0.000371832-0.0187125j 0.00250522+0.0076035j -0.0127047-0.00214903j -0.00368705+0.0026807j -0.00679593-0.00418169j 0.00249991+0.0113138j 0.00166067-0.00617202j -0.001232+0.0097966j -0.00110598-0.00414999j 0.00910914+0.00513054j 0.00789947+0.00391466j -0.000951578-0.0251667j -0.00199278+0.024074j -0.00334761+0.00604673j 0.00301433-0.00714768j -0.00409938+0.00773108j -0.00366557-0.00729542j -0.00346661+0.0176578j -0.00208835+0.00176052j 0.00178537-0.000851347j 0.00607485-0.00677058j 0.00103146-0.00268735j -0.00255473+0.00257747j 0.00172515-0.00221481j -0.00263993+0.00668938j -0.00274592+0.00222902j -0.00317992-0.000958732j 0.000316476-0.000410436j 0.00217712+0.000325553j 4.3216e-06+0.000346385j 0.000261461-0.000301645j 0.00121179-0.000687711j -0.00141251+0.000644956j 0.00105339-0.00117829j 0.00197946+0.00116882j -0.000819032+0.000758693j 0.00266538-7.88507e-05j -0.0010126+0.00256955j -0.00123703+0.00119315j 0.00139486-0.00344145j 0.00414168-0.00183547j 0.00164485-0.0013153j 0.0021492-0.000650586j 0.00126381+0.00148914j -9.25092e-06-0.000532081j -0.0014456+0.00129749j 9.45923e-05+0.000201613j -0.00119489-8.22262e-05j 5.85811e-05-0.000282917j 0.000169831+0.000559694j -0.000490889+0.000228189j 0.000553815+0.00121549j 0.00144373-0.000470814j 5.86715e-05+0.000569315j 
-0.000979162+0.00727439j 0.00305554-0.00623057j 0.00298439+0.00470274j 0.000809182+0.02198j -0.00311263+0.00286804j 0.00252247+0.00022906j -0.0105251-0.00471994j 0.00432675-0.00190822j -0.00914468+0.0067016j 0.00493888-0.00850897j -0.0565881-0.00955701j 0.0320482-0.00938162j -0.0139906+0.00334841j 0.00835885+0.0123944j 0.000415233-0.000754104j -0.005096+0.00833039j 0.0128444-0.0144715j 0.00666129-0.00245597j -0.00221006-0.0052021j -0.0176581-0.000111826j -0.000808089+0.000255575j 0.000506238-0.00115396j -0.000404133-0.000284318j -0.00130164-0.00834879j -0.00278314-0.00687006j -0.00108429-0.00667508j 9.00341e-05+0.0156749j -0.000826275-0.0120934j -0.00122991-0.0130283j 0.00406945-0.00201165j -0.00307754-0.00832205j -0.000711167-0.0169909j 0.000124783-0.0263773j -0.00308078+0.00848593j 0.000981191-0.00257222j 0.00153737+0.00706585j -0.00149107-0.00813952j 0.000692733+0.0101895j -0.00117882-0.0137519j 0.00278622+0.00186319j 0.000655339-0.00610324j 0.00247791-0.00183631j -0.000202565+0.00698874j -0.00299723+0.00141938j -0.000115069+0.0029008j -0.000672783-0.00747095j -6.3424e-05+0.00932404j 0.000494284-0.00241786j -0.00195992+0.0125867j 0.000517354+0.0113607j -0.002825+0.00111758j 0.00151534-0.007082j -0.000130722-0.000946995j 0.00047159-0.00209747j -0.00127049+0.00788932j -0.00130975-0.00561726j 0.00118602+0.00278139j -0.000691591+0.00291288j -0.00219904+0.00626774j -0.000721468+0.001169j 0.00124638-2.75332e-05j -8.75888e-05-0.000301094j -0.00248201-0.000358143j -0.00164855-0.00249627j -0.00267509+0.000898204j -0.00136748+0.000945793j 0.00143278+0.00166501j -0.0010751-0.00499494j -0.00189955-0.000967427j -0.000928132+0.000902579j -0.000173804-0.000792107j 0.000141408+0.000250543j -0.000554184-0.000856895j 0.00227925-0.00115298j 0.00116105-0.00133309j 0.00168269-0.00296907j -0.000267834+0.00248848j 0.00132539+0.00105888j -0.00248968+0.0020886j 3.484e-05-0.000466357j 0.000384952-0.00264061j -0.00167511-0.000786921j -0.000535448+0.000465168j 0.000458852-0.00111104j 0.000351392-0.000993374j 0.000633901-0.000200478j 0.000883063-0.000122126j 0.000455319-0.00191976j 0.000335175-1.17379e-05j -0.00144716+9.1452e-05j -0.000832957+0.000967936j -0.000684588-0.00017078j 
0.00568122-0.0217787j -0.00236657+0.00421823j -0.000863855-0.0293949j -0.00156359-0.034212j -0.00102898-0.00501549j -0.00718458+0.000368011j -0.0143694+0.00940691j -0.0193117+0.00274176j -0.0245028-0.0109331j 0.0231886+0.0101469j -0.011527+0.0181708j 0.0206184+0.0236209j 0.000733953-0.00475083j 0.000369746-0.0232966j 0.00552151+0.00643094j 0.0052495-0.017745j -0.0138412+0.0245039j -0.0090309-0.00201652j 0.00176792+0.0115494j 0.0192951+0.00454182j 0.00345938-0.000758089j -0.00535676-0.0119874j -0.00803363-0.00488585j -0.00666069-0.00546152j -0.00403383-0.0261581j -0.00157346-0.0137534j -0.00245432+0.0287439j 0.00314917-0.00505175j 0.00287034+0.00794507j -0.00525591+0.000282028j 0.00307827+0.00188859j -0.00248102+0.002458j -0.00366946-0.0129413j -0.0047488+0.0148942j 0.00821083-0.00752197j 0.00220174+0.00139501j 0.000198388-0.00857915j -0.00136696-0.00105319j 0.000163092+0.00112609j 0.00144188-0.00101812j 0.0105959+0.000798224j -0.000762808+0.00532587j -0.00142089+0.00989663j -0.00253001-0.00331469j 0.00233304-0.0048935j -0.000439219+0.00387055j 0.00453959+0.00322826j -0.00647062-0.00134812j -0.000309618-0.00106554j 0.00433231-0.00799727j 0.00295846+0.0079304j 0.00175725+0.00876642j -0.00732061+0.00454642j 0.00331237-0.000196754j 0.00372918-0.00588184j 0.00305965+0.00279273j -0.00194034-0.00533502j 0.00146646-0.00276045j 0.00219606-0.00646177j 0.00246411+0.00121273j -0.000260073+0.00320828j 0.00153118+0.00176657j -0.00141684+0.00701507j 0.000262681+0.00334736j -0.00210382-0.000333398j 0.000616361-0.00246101j 0.00143993+0.000791589j -0.00085666-0.00390452j 7.83385e-05+0.00199794j -0.00126244+0.00171379j 0.00235528+0.000437292j 0.000278092-0.00107047j 0.000458442-3.06681e-05j 0.00101652-0.000260455j -0.00208481+0.00152058j 0.000340829+0.0037089j -0.000917963-0.00230544j 0.000600396-0.0027334j 0.00359616-7.61133e-06j 0.000771295-0.00160849j -0.000179049+0.00326605j 0.00245458+0.000649992j 0.00040775+0.000229498j -0.000481299+0.000351746j 0.000253435+0.000519661j -0.00162023+0.000729672j 0.000363697-0.000702016j 0.000747121+0.000887042j -0.00107307+0.0003593j 0.00161329-0.000165211j 0.000809726-0.000791725j 0.000993623+1.63709e-05j 
-0.00482042+0.0156697j -0.00583367+0.0013233j 0.00225746+0.0487586j 0.00341187+0.00115708j -0.00792289+0.00982343j 0.0144781+0.00391194j 0.0009275+0.00805542j -0.042538+0.00972725j -0.0151811+0.00650015j 0.00950502-0.00520894j 0.00433236+0.00078973j -0.00752304-0.00477877j -0.0143114-0.00494866j -0.0184931+0.00964276j 0.00757447+0.00467834j -0.0143006+0.00539318j -0.0168033-0.00713769j -0.00130673+0.00445387j -0.0186425-0.00220209j -0.0223894+0.0015842j -0.00172599+0.00198812j -0.00247488-0.0111906j -0.016946-0.0226207j 0.00821257+0.00535289j -0.00639773-0.0176696j 0.00260137-0.0169202j -0.00195226+0.011664j -0.00306923+0.0148707j -0.00351884+0.00860935j -0.00853884+0.00877471j 0.00115553-0.000118152j 0.00115205+0.021996j -0.00788866+0.00323365j -0.00677365-0.00151877j 0.0167147-0.0015475j 0.0071479+0.00441659j 0.000958295-0.00141164j 0.00302724-0.00288569j 0.000924176+0.000574946j -0.00143336+0.00164078j 0.0196632+0.00434511j 0.00041683-0.00794026j 0.00667405-0.0010836j -0.00665043+0.000710494j 0.00201321+0.0069231j -0.00258059-0.00504928j 0.00543564-0.00375316j -0.0152876-0.00549605j -0.00986707+0.00304242j 0.00238082-0.00387752j -0.00149606-0.000700987j 0.00251888+0.00553419j -0.00362235+0.00465707j 0.00305692-0.00559123j 0.00690412-0.00169497j 0.00218399+0.00109382j -3.80721e-05+0.00518184j 0.00389531-0.00716817j -0.0060343+1.2515e-05j -0.00189577+0.00344592j 0.00283339-0.00661536j 0.000411593-0.00901084j -0.00351307-0.000459918j 0.0012068+0.00262349j 0.0021211-0.00370745j -4.5345e-05+0.00235212j 0.000506153+0.000595509j -0.000150007+0.000855819j -0.00279866+0.00316465j -0.00262923+0.000897586j 0.00246162-0.00521798j 0.00131913+0.000767688j -0.00485377-0.00284501j 0.00250753-5.82348e-05j -0.00248143-0.00248781j -0.00191637+0.000736588j 0.00214401-0.00164462j 2.04369e-05-0.000515098j 0.000408376-0.00101921j -0.00117716+0.0022407j 0.000857347-0.000659704j -0.0020392-0.000955501j 0.000218256+0.000978085j -9.60888e-05-0.00046462j -0.000168356+0.000301522j 0.000413775+7.94643e-05j 0.000468994+4.97833e-05j -0.00119983+0.000719846j 0.00158622+0.000161444j -0.000527329-0.00069672j -0.0002803+4.73598e-05j -0.00080465-0.000514911j 
0.0144894+0.0123302j -0.0344331+0.00568754j -0.0101195-0.0122154j -0.0113161+0.0217409j 0.0246352+0.00124024j -0.00288478+0.016j 0.00161579-0.00559984j 0.00146295-0.00229335j -0.00709247+0.000374634j -0.00652187-0.00734065j -0.00291422-0.00483009j 6.87366e-05-0.0112025j 0.0068054-0.000804345j 0.00243644+0.0151359j 0.00345168+0.00343189j -0.00248397+0.00482242j 0.00403233-0.0130258j -0.0142646-0.020969j 0.000393746+0.00182581j 0.0234064-0.0223466j -0.00601505-0.00660367j -0.00184421+0.00118549j 0.00426952-0.00183149j 0.00203214+0.00546685j -0.00279233-0.00866j -0.00150269-0.00776581j 0.000531677+0.00465264j 0.00162435-0.0128041j 0.00673029+0.00251052j -0.000881924+0.00437044j 0.00741829+0.00539018j -0.00111913-0.000149656j 0.000198899+0.00798848j 0.000663429+0.000892866j 0.00350108+0.000915349j 0.00965095+0.00220129j 0.0028332+0.00164337j -0.001085+0.00302344j 0.00146394+0.00032281j -0.000519487-0.00299368j 0.00540117-0.00531249j 0.00183065+0.00295184j -0.00205457-0.00330014j -0.00306584+0.0006442j 0.00811119+0.00651723j -0.00220903-0.00596464j 0.00316633-0.00836703j 0.00109133-0.00102723j -0.00225545-0.023928j 0.00700539-0.00236287j 0.0113805+0.00604357j 0.000793448-0.00574767j 0.0028096+0.0263552j 0.0122407+0.0022749j 0.0168087-0.00264372j 0.0414199+0.0110677j -0.0309046+0.0125696j 0.00865008-0.0308747j 0.0354311-0.00622315j 0.00674284-0.00525442j -0.0204108+0.00290443j 0.00973049+0.00265549j 0.00834093-0.0017883j -0.00276442+0.000931027j -0.0033375+0.0113342j 0.00518067-0.0097938j -2.41585e-05-0.0036647j -0.00215857-0.0055645j 0.00770069-0.00434918j -0.0022548-0.00124368j 0.0104671+0.0104313j -0.00129636-0.00517417j 0.00365624+0.010607j 0.00505162+0.000804976j 0.00164789+0.00755528j 0.00415729+0.00490168j -0.00357415-0.00879822j -0.0131453-0.00150582j 0.00867047-0.0216969j 0.0127874-0.00491473j -0.00882299+0.0219255j 0.0159662+0.0192375j 0.00435546-0.00317027j -0.0117347+0.0131199j -0.00781922+0.00619263j -0.00878194-0.00182125j 5.40456e-05-0.000184011j -0.00162873+0.0212127j -0.00692808-0.000387885j 0.0147419+0.00807149j 0.0161618-0.00982502j 0.00624636+0.00536482j 
