-0.0149554+0.0237707j 0.00944394+0.000311402j 0.00988995+0.0134423j -0.00416854+0.000412609j 0.0259435-0.00301747j -0.0158129-0.00766283j -0.00915889+0.00876978j -0.0613088+0.0142865j -0.017337-0.00747214j -0.0691334-0.0285426j -0.00373819+0.00787871j -0.000661349-0.0085692j 0.00886088+0.0134447j -0.00632112+0.00195872j 0.00275138-0.00118818j 0.00345328+0.0127777j 0.00456108+0.00723519j -0.0011899+0.0155346j -0.00198969-0.00822684j 0.00794453+0.0159339j 0.00890197+0.0317605j -0.00173335-0.00780396j -0.00425583-0.00858813j -0.0043649-0.01407j -0.00499509-0.007044j -0.00284139-0.0177501j 0.00912879-0.0112702j -0.00262768+0.0104257j 0.00348054+0.0117366j -0.0168736-0.00313379j 0.00445678+0.0160101j 0.0128268-0.0323007j 0.00590039-0.0272559j 0.00848856+0.0140646j 0.00394231+0.00414282j 0.000386426+0.00577673j 0.00507474+0.00057856j 0.00436649-0.00557468j -0.00258251+0.00535152j -0.00126099+0.00281917j 0.000190822-0.00536113j 0.00236601+0.00209252j 0.000624113-0.00158555j 0.00178966-0.00119626j -0.000892028-0.00155989j 0.000682909+0.000113677j -0.00952217+0.000818294j 0.00145402-0.000930994j 0.00305601+0.00087048j 0.00297817-0.0027431j 0.00266013+0.00481824j -0.0034677+0.00140271j 0.000337064+0.00474027j 0.00370582-0.00551801j -0.00304103-0.000187731j -0.00443661+0.00784789j 0.00278476+0.00393671j 0.00759945+0.0109532j -0.00535571+0.00480434j -0.00230629+0.00508754j 0.00253714+0.000128605j -0.000262731+0.00107043j -0.00174238-0.000197506j -0.000369339+0.00367025j -0.00142983+0.00353603j -0.000133196-0.00106969j -0.00808164-3.70358e-05j 0.00131081-0.00395077j 0.00324373+0.000680547j 
-0.00883807-0.0203985j 0.0141977+0.00236161j -0.0199629-0.004866j 0.00526548-0.00464305j -0.0671121-0.000414085j -0.0298568+0.00309903j -0.0263843-0.00652941j 0.00416374+0.00920038j 0.0058451+0.00913022j 0.0152094-0.0140114j -0.00871264-0.00591321j -0.00290288-0.0113274j -0.020447-0.0286046j 0.00594701+0.00525343j 0.00370659+0.00121242j -0.00259697+0.0201877j -0.000259925+0.000673277j 0.00382117+0.0134285j 0.00606071-0.0245476j -0.00630172+0.000316214j 8.68964e-05-0.0212729j -0.00462416+0.0147823j -0.00153803-0.00031869j 0.00070417+0.00214419j -0.00403943+0.0156226j 0.00218542-0.0116904j 0.0027051-0.0108452j -0.000215453-0.00579734j -0.00236784-0.0088168j 0.0026022-0.0159806j -3.58297e-05+0.00546065j -0.000723472+0.00500721j 0.0069156+0.0143248j 0.00268988+0.00444408j -0.00231707-0.0026988j -0.000876385+0.00222098j -0.000946022-0.00394814j -0.00108799+0.00561937j 0.00255677-0.00230578j -0.00189521-0.00550355j 0.000927898-0.00227809j -0.000990723-0.00187419j 0.000433743-0.000791143j 0.000297038-0.00251321j 0.00223648-0.000121647j 0.00129669+0.000951376j -0.00462631-0.00219572j 0.00603593-0.00374271j -0.00288332-0.00225215j -0.00163163-0.000648883j -0.000127999+0.00323531j 0.00152638-0.000664493j -0.00201415+0.000854529j -0.000650837+0.00397078j 0.0029207+0.0025934j 0.00190734-0.00322266j -0.00425419+0.00280468j -0.00262559+0.00226693j -0.000744999-0.0026834j -0.0023526-0.00138834j 3.19303e-05+0.00045826j 0.000722487+0.000208842j -0.000563292-0.000882039j -0.000131443-0.00143966j 0.000625508-0.000514468j -0.00111342+0.00139959j 0.00131894-0.00294045j 0.00302529+0.000292976j -0.000930183+0.00052581j 
-0.0633271+0.0328912j 0.0304854+0.00607944j -0.0267807+0.0280757j 0.0136168-0.00472593j 0.0105556+0.00293283j 0.00282815-0.0108309j -0.0150625+0.0145974j 0.0156383+0.0439161j 0.0189385+0.00762652j -0.017939-0.106134j -0.0308385-0.00703338j 0.0113911-0.0117606j -0.00367195+0.0123841j -0.00392186-0.014691j 0.0030407+0.0162932j -0.00664177+0.0224514j -0.00935298-0.0326605j -0.00834083-0.0331289j -0.00246144-0.0150205j 0.00191554+0.01693j 0.0109576+0.0227145j -0.00137118-0.00262348j -0.00304713-0.0131812j -0.0031131-0.00917753j -0.00840803-0.010734j 0.0142002-0.000195682j 0.0131927-0.00344137j -0.00213964+0.00783839j -0.00188016+0.0385211j -0.0371819-0.0311627j 0.0186732-0.00935839j 0.0569032-0.00457488j 0.0642147-0.0732507j 0.0732089-1.35554e-05j 0.0188268+0.0259648j -0.00766357+0.0268968j 0.0232947-0.00326845j 0.0159946+0.00586657j 0.00345801+0.00427926j -0.00938394+0.0120124j 0.00706101-0.0141914j -0.00406572+0.00764384j 0.00150669-0.0204288j 0.00646073-0.016779j 0.00634262-0.00477957j 0.00562412+0.00567401j -0.0166476-0.0197894j -0.0152893-0.0118979j -0.000621822-0.00590653j 0.00421743-0.00842172j 0.0136109+0.0200756j -0.00839703-0.000596906j -0.0119975-0.00191307j 0.0150246-0.0017631j 0.00933426-0.0062211j -0.011526+0.0275685j -0.0111082+0.0446819j 0.031815+0.0482893j -0.034051+0.0146971j -0.0245671+0.0235002j 0.0132015-0.00170108j 0.00298835+0.00265068j -0.0150333+0.000603793j -0.00215451+0.0135541j -0.00153095+0.0126452j -0.00512312+0.00131783j -0.0429521-0.0082311j 0.024363-0.0207794j 0.0150607+0.00486794j 
-0.0194623-0.0980749j -0.0115872+0.0562561j 0.000372607-0.0341753j 0.000350093+0.0154608j 0.00206569+0.0131903j 0.0226833+0.015336j 0.00195607-0.0139429j -0.0486288-0.0122335j -0.01268+0.0452014j 0.0599563-0.0658711j 0.0174806-0.0415667j 0.00970331+0.00985134j -0.00646571-0.00212813j 0.0136425+0.00701861j -0.0194421-0.0063068j -0.00931642-0.0165542j 0.0160773+0.00340401j 0.02295-0.0141113j 0.0164878-0.00974402j -0.0151733-0.00465806j -0.0186285-0.0211472j 0.0126944+0.0202638j 0.0174034-0.0027996j 0.00667677+0.00815359j 0.0140667-0.0351343j 0.00124017+0.00994393j 0.0031508+0.0257506j -0.00266755+0.0136908j 0.0157794-0.00726966j 0.0312755-0.0413052j 0.00228037+0.00782953j 0.00479285+0.0237558j 0.0657003+0.0687208j 0.00216502+0.0665308j -0.0289996+0.0163622j -0.0108409-0.00963917j -0.0131529+0.00583124j -0.00461896+0.0239579j -0.00211586-0.002796j -0.00522566-0.000784692j 0.00141763+0.0217503j -0.00154778-0.020106j 0.0071093-0.00080458j 0.00355217+0.00386772j -0.00442744+0.00375862j -0.00699046+0.00545206j 0.00864607-0.0189795j 0.00492584-0.0123151j -0.00395098-0.0066603j 0.00319822+0.00388246j -0.000236668+0.0284138j -0.00349247-0.0100756j 0.00333663-0.0306284j 0.00834778+0.0334969j 0.0107245+0.0308982j 0.00488637-0.0124548j -0.045009+0.0261757j -0.0466623+0.0154173j -0.00507055-0.0344624j -0.0252309-0.0128139j -0.000937308-0.00200463j 0.000274846+0.0021676j -0.00556122-0.00779495j -0.00430823-0.00941619j -0.00204541-0.00185818j -0.00221078+0.0150079j 0.0228576-0.0271508j 0.0344584+0.00420772j -0.0167285+0.00382614j 
-0.00419028-0.0203323j -0.00263059-0.00427164j -0.00636924-0.00897822j 0.00277768+0.00673209j -0.0116595+0.0216441j 0.00281216+0.0220184j -0.00458842+0.00342497j -0.00763234-0.0507558j 0.00280715+0.0149909j 0.00619449-0.0165806j 0.0110385+0.00743904j 0.00135953-0.00191342j -0.00386487-0.00134023j 0.00105098-0.00384227j -0.00216328-0.0108248j -0.000262079+0.000489689j 0.00734938+0.00963601j -0.00273629-0.0097226j 0.00528172+0.00823222j -0.00228278+0.0110131j -0.0115114+0.00457416j 0.00610095+0.01707j -0.00358365-0.0130603j -0.00220062+0.0159275j 0.0120352+0.000515226j -0.00797793+0.0176764j 0.0150311+0.00188148j 0.0067409+0.000151596j 0.000920744+0.0560007j 0.00956696-0.0178737j -0.00134846+0.0198537j -0.0231761-0.0281763j -0.00830133-0.0224194j -0.0200666-0.0104619j -0.0119156+0.00202645j -0.0030146-0.0181879j -0.00803846+0.00097487j -0.00574599-0.00326475j -0.00234491+0.00098737j 0.00187233+0.00120884j 0.00146028+0.0139783j -0.0026696-0.0107484j -0.00175094+0.0139503j 0.00142014+0.0161j -0.00421894+0.00185764j -0.0113221-0.00760976j 0.00401909+0.0175089j 0.00449168+0.0158217j 0.00087189+0.0220502j 0.00363828+0.0034726j -0.00207594-0.00334352j 0.00769689+0.0010605j 0.00828296+0.00641466j -0.0040502-0.0165599j -0.0013571+0.0129675j 0.000222604-0.000261458j 0.0169004-0.0358998j -0.00687068-0.0142838j -0.00312494+0.00661417j 0.00304184-0.00173298j 0.000417344-2.37183e-05j -0.00128814+0.0006999j -0.00236059+0.00503678j 0.00085048-0.000389404j -0.00200525+0.00349408j 0.0112533-0.00545145j 0.00100624+0.0129064j -0.0109628+0.00419226j -0.00137365-0.00352738j 
0.00648534+0.0154583j -0.0032691-0.00506731j -0.00471609+0.00252651j -0.000728834-0.00625713j 0.0124628-0.023764j 0.00340199+0.0242237j -0.00482341-0.0145323j -0.00335368+0.0263661j -0.00340402+0.0216595j 0.0105629+0.0232185j -0.00871047+0.00150199j 0.000388456+0.00465876j -0.0034158-0.00243113j -0.0086294+0.0120876j 0.00679898+0.000175818j -0.0118354-0.00968075j 0.0159571+0.00504962j -0.0147571-0.000773705j -0.0122998-0.00775739j 0.00533955-0.000632566j -0.0173833-0.0199458j -0.0132932+0.0426309j -0.0094956-0.0180476j -0.00424591+0.0369912j -0.0121748-0.0249283j 0.0144811+0.00870544j 0.014054+0.00852978j -0.0053557+0.00554331j -0.0465172+0.00789018j -0.022505-0.0178546j 0.0149219-0.0146629j -0.0161004-0.027055j -0.0198991-0.00497164j -0.0144314-0.0147374j 0.00314819-0.0114291j 0.00383158+0.00892407j 0.00211629-0.0102392j 0.00914602+0.0182229j 1.03092e-05+0.0105703j -0.00333825-0.00504981j 0.0073203-0.00014723j -0.00279733+0.00142232j 0.003605-0.0121953j 0.00327196-0.0100007j 0.00191628-0.00984974j 0.000618052-0.00138242j -0.00574052+0.00757052j -0.00489599+0.0110723j -0.00376651+0.00320212j -0.00223414-0.00836223j -0.00202308+0.0174139j 0.00336871+0.00745084j 0.000358394+0.017385j -0.00456942+0.0071285j -0.0033097+0.0166926j -0.00552118-0.0140842j 0.00696782+0.00372977j 0.00455389+0.0136321j -0.00100156+0.00881499j 0.000196028+0.00519167j -0.00183998+0.00295138j -0.00113673+0.00111884j -0.00021096-0.00133157j 0.00194208-0.00470069j -0.000249052+0.000470808j -0.00702493+0.000810395j -0.00201564-0.000758137j -0.000159463-0.00394972j 0.00305512+0.00109557j 
0.00322911+0.00871163j 0.00319329-0.00848087j 0.00144127+0.00385384j -0.00157328-0.0154366j -0.00312188-0.00217932j -0.000613586-0.00121511j 0.00184509-0.0166331j 0.00876528+0.0013829j 0.00165921-0.00776108j -0.00930085+0.00341035j -0.00373978+0.00416859j -0.00344024-0.000443921j 0.00510828+0.00418305j -0.00406873-0.00363152j 0.00210887+0.00958098j 0.00404069+0.0011116j -0.0123092-0.00138562j 0.00725446+0.00537995j -0.00302709-0.000255967j -0.00166347+0.00183776j 0.00645461+0.00907909j 0.0187927+0.00129994j -0.00451093-0.000460545j -0.0290138+0.00356139j 0.0294294+0.00978674j -0.00236391-0.00315341j 0.0420031+0.00218757j 0.00677675+0.00143852j 0.0162003-0.00751356j -0.012813+0.00543837j -0.015413-0.000439954j 0.000984198+0.00840712j 0.00303991-0.00459683j 0.0121789-0.00184908j 0.00676928+0.000454989j 0.00330852+0.00189599j 0.00358314+0.00590286j -0.00321391-0.0123474j -0.0008285-0.00014782j -0.00115457+0.0107562j -0.0035356+0.00371221j -0.000517111+0.00396708j -0.0141582+0.00626126j 0.00971612-0.000769481j -0.00577507-0.00100982j -0.0449345-0.000733852j -0.0156543-0.000495106j -0.0091823+0.00190739j 0.00583604+0.00685044j 0.0130403-0.0206857j 0.00379913+0.0264702j -0.00622048-0.0371146j -0.00180336+0.00430325j -0.00376767-0.033799j 0.00146871+0.00738557j 0.00156234+0.00461902j 0.00204449+0.0106608j 0.00748159-0.00915849j 0.00423349-0.00344919j 0.0050007-0.00193573j -0.000485817-0.000240794j -0.00359685+0.0018967j 0.000758863+0.000718379j 0.00372572-0.000570026j -0.0027314+0.00134343j -0.00155249-3.25704e-05j -0.00101005+0.0004656j -0.0043467+0.000793898j 0.0017329-0.000155105j 
-0.00537616+0.0101218j 0.00955129-0.00366788j -0.0122063-0.00754764j 0.00320503+0.00721987j -0.00119337+0.00471108j -0.00376575-0.0169931j -0.0111019+0.00681105j -0.00436391+0.00550716j 0.00438312-0.0159665j -0.00727663+0.0361642j -0.0108107-0.00180328j -0.00158465+0.00363647j 0.00240829-0.00542565j -0.00245807-0.00927646j -0.0063753-0.00732985j -0.00220482+0.0100898j -0.00658606-0.000960553j 0.00288537-0.0202219j -0.00722164-0.00363077j 0.00316182+0.0109795j -0.0125837+0.00968811j 0.00218424+0.010694j 0.00488726-0.0156032j 0.00511339+0.015648j -0.000937817-0.00676171j -0.0187064+0.00587536j -0.000601486-0.00479638j 0.0310298+0.0184705j 0.00225396+0.0499853j 0.00596661-0.0214953j -0.0139645+0.014763j 0.0119853-0.00788367j 0.0171834-0.0104313j 0.0147742+0.00665993j -0.00266399+0.00444596j 0.0033534-0.00125942j 0.00347356+0.00901268j 0.00334738+0.0038162j -0.00132573-0.00666971j 0.00159263+0.0216214j 0.00210415+0.00545123j -0.000460885-0.000420611j 0.00407775-0.0102808j -0.00609537+0.00504656j -0.00143049-0.00444167j 0.0147528+0.00387738j 0.00799617-0.00201957j 0.00507306-0.00277685j -0.000730025-0.00310287j -0.00238427-0.00550892j 0.00312793+0.00519256j -0.000284443+0.00265319j -0.00345702-0.0308435j 0.00775739-0.000908825j 0.00409435-0.0100923j -0.00123705+0.00883637j 0.00139878+0.00804847j 0.00607725-0.00732749j 0.000853595-0.0058625j 0.00255148+0.000214949j 0.000445028-0.00155616j 0.000558874+0.000549004j -0.00180169-0.00060341j 0.0016971+0.000223239j 0.000744602+0.0024822j 0.000256439-0.00016921j -0.00181965+0.000523386j -0.00238679+0.00180031j 0.000968205-0.000469684j 
-0.0134571-0.00579411j 0.00411682+0.0186097j -0.00456961-0.011342j 7.79447e-05+0.0380095j 0.00645612+0.0123065j 0.00398035-0.0203928j -0.00792143+0.0499185j -0.00402575-0.00697242j -0.000642181-0.0156981j 0.00177758+0.0011499j -0.0018102-0.0101585j 0.00479184+0.000777127j -0.00453881-0.00794807j 0.0117724-0.000900699j -7.95217e-05-0.015827j -0.00261469+0.00369515j 0.0169276-0.00441513j -0.00592951-0.00923868j 0.00373276+0.00278573j -0.0039259-0.0106503j -0.0195113-0.0124j 0.0073573-0.0199443j 0.00530407+0.0130518j -0.00465484-0.024479j -0.00316201-0.00557434j 0.0055919-0.00176167j 0.0197922-0.00206839j -0.0131603-0.0108815j -0.0225691-0.00123758j -0.00645558+0.000796574j -0.00215943+0.00115695j -0.0155049+0.00318165j 0.00120313+0.00494334j -0.00583021-0.000882142j -0.00592603+0.00270628j -0.00552804-0.00435669j -0.00938305-0.0133157j 0.00436829+0.0237597j -0.00248344+0.00897888j -0.00249103-0.0112923j 0.00279215+0.00907138j -0.00527879-0.00154288j -0.00201888-0.000271338j 0.00785332-0.0073521j -0.00557519+0.00562813j -0.0240934-0.00351908j -0.00723615+0.0046583j -0.00394768+0.00821165j -0.00228563+0.00354288j 0.00556205+0.00222124j 0.00104291+0.02367j 0.00071204-0.00389337j 0.00245412+0.00944484j -0.00202067-0.000638594j 0.00329364+0.0170133j 0.00222159-0.0181749j -0.00107754-0.00143675j -0.00643836+0.000732146j -0.000297018-0.00414106j -0.00165419-0.00447363j -0.00121205+0.00238302j 3.25862e-05+0.00019119j -0.00259564+0.000316659j 0.00413971-0.00538965j 0.00183882-0.00325983j -0.00124221+6.95065e-05j 0.00588819-0.00168272j 0.00101013+0.00206588j -0.00268244+0.000183576j 
0.00189621-0.00651223j -0.00556165+0.00902488j 0.00433627-0.0149284j -0.00718011+0.0140345j -0.00484861-0.0163175j 0.000763288-0.00246167j 0.000125324+0.00175823j -0.000528854+0.016088j 0.00146824+0.0167151j 0.00094992+0.0252094j 0.00566699-0.0119465j 0.00384729-0.0016396j 0.00217926-0.0176204j 0.00532273+0.00275372j 0.00549183-0.0404772j 0.0116068+0.0053332j 0.0025923-0.0152111j -0.00985106-0.0203563j 0.0199433-0.00762012j 0.0163305-0.0100829j 0.0226605-0.0219121j -4.9102e-05-0.011832j 0.000510888+0.0124158j 0.00554874-0.0240503j 0.0173889-0.02495j -0.00140792+0.00782391j 0.000412373-0.000365987j -0.00747139-0.0057562j 0.0205624+0.0368715j 0.0019529-0.0236087j 0.0117962-0.00983153j -0.0020561-0.00462911j -0.0139791+0.0014575j -0.000520512+0.0102008j 0.00470654+0.00479017j -0.00343273-0.00101018j -0.00657153-0.00507514j -0.00844533-0.0116982j 0.00398255+0.00553427j -0.000121987-0.00484169j -0.00267225-0.0094532j 0.00427799+0.0180253j -0.00302407+0.013176j -0.00198368+0.0233947j 6.11721e-05+0.00491294j 0.00198354+0.00581608j -0.000733874-0.000828152j -0.000377896-0.00536564j 0.00247017+0.00975475j 0.000274209-0.0097148j 0.00164285+0.00499348j 0.00170375+0.00123169j -0.00186912+0.0245611j 0.00155398-0.00635622j 0.000481319-0.00370783j -0.000827324+0.0173662j -0.00302661-0.00989791j -0.00849658+0.00555829j 0.00239463+0.00161753j -0.000638578-0.00346049j -0.00114897-0.00185911j -0.00298138+0.00362949j 0.00258216-0.00297661j -0.00444736+0.00478905j -0.00671031+0.00650154j 0.00482057-2.71875e-05j 0.00297391-0.00213468j 0.0024836+0.000130972j -0.00295871+0.000445519j 
-0.000814043-0.00111723j 0.000199173+0.000904987j 0.000766034+0.00147378j -0.000774527-0.000165767j -0.000755498+0.00702789j 0.00148889-0.00110241j 0.000479368+0.00404245j 0.00201163-0.00504247j -0.0007156-0.00605901j 0.000390802-0.00826555j 0.0005507+0.000328666j 0.00131947-0.00148033j 0.0019003+0.00248541j 0.00909025+0.0019516j 0.00126271+0.00634153j -0.00492514-0.00414616j -0.00437541-0.000887639j 0.00488057+0.00732756j -0.000628962-0.00083257j 0.0293771-8.25299e-05j -0.00369008+0.00385852j -0.00107929-0.00115651j 0.0148062+0.000112464j -0.00365724+0.00722832j 0.0158253+0.00332874j 0.00593336-0.000588391j 0.025303-0.000816916j -0.00520066-0.002451j 0.00817822-0.0103192j -0.00851479+0.00418244j -0.00693694-0.00199429j -0.00716599+0.00480862j 0.0016517+0.00383009j 0.0038065-8.10797e-05j 0.000717452+0.00126708j -0.00107109-0.000635488j -0.0017617-0.00240137j -0.0011708+0.00291691j 0.00605201-0.00180798j 0.00428098-0.00174407j 0.00634477+0.0134611j 0.00835134+0.0129464j 0.018215-0.0250373j -0.0212667+0.0384669j 0.00709785-0.00814034j 0.0861603+0.00228205j 0.0264678+0.00899625j 0.0148279+0.00794997j -0.0059909+0.00219965j -0.0200835-0.0385276j -0.00303321+0.0192514j 0.00953365+0.00123402j -0.00295944+0.00582913j 0.00643699+0.00437223j -0.00318634-0.0057041j 0.00122798-0.00496946j -0.00155869-0.00250208j -0.00138768-0.000144563j 0.000767254-0.000778301j -3.22024e-05-0.00150664j -0.000267807+0.00048872j -0.00382607+0.00200506j -0.00116721+0.00104914j 0.0035086-0.00244794j -0.00347185+0.000826614j -0.000317994+0.000434776j 0.0017975-0.000939145j 0.000186093+0.000577206j -0.000800891+0.000109564j 
