0.00483882+0.0634774j -0.0954564-0.0281838j 0.0128874-0.14213j 0.0886769-0.0728462j -0.0331905+0.0574561j 0.0539902+0.0133286j 0.1246-0.0473546j 0.00789359+0.00300934j -0.013373+0.0534129j 0.0264454-0.0448682j -0.0148872+0.0135478j 0.0360351-0.105703j 0.0304009+0.0718177j 0.00308963-0.0467322j -0.0335673-0.0522522j 0.0551892-0.0638014j 0.0055492-0.0194139j -0.0350555-0.0376265j -0.00938135+0.0673746j -0.0363344-0.134608j 0.00537139+0.11629j 0.021609+0.0120919j -0.0112987-0.0245691j -0.0193262-0.0755763j -0.0344139-0.029261j 0.032978-0.0372372j -0.0755813+0.0927675j -0.00997977+0.0462594j 0.0213826-0.048178j -0.00543749+0.0747749j -0.0190815+0.0209552j 0.0237894+0.0970426j -0.0932107-0.104525j -0.0567077+0.00492423j -0.100979-0.103682j 0.0290463+0.0575926j 0.0261996-0.0629674j 0.153706+0.131676j -0.155402-0.000365898j -0.0321906+0.122179j -0.111557+0.176386j -0.0298945+0.102505j 0.00927093+0.0224026j 0.238984-0.101937j -0.296323+0.24495j -0.0224379+0.0311486j 0.132804+0.188876j 0.0590711-0.0939544j 0.0800502+0.0700663j 0.0854459+0.152424j -0.0307533+0.0636942j 0.180182+0.289721j 0.0398554+0.277179j 0.233669-0.0244194j -0.0660792+0.15021j 0.233269+0.14304j 0.112585-0.218714j -0.0888138+0.165126j -0.490322-0.0760036j -0.185591-0.105702j 0.119023-0.336906j -0.182187+0.217324j -0.130741-0.184664j -0.28742+0.0147781j -0.0710272+0.133504j 0.156551-0.294832j 0.306214+0.303353j 0.300981+0.24043j -0.0359536-0.776155j 0.657856+0.743747j 
-0.0403523+0.0863533j -0.0962144-0.124381j 0.086042-0.180465j -0.0499075-0.0522004j 0.033394+0.0742234j -0.0809965-0.0157639j 0.0473446+0.00310383j 0.0595934-0.0177012j -0.108065+0.000950518j -0.254754-0.113517j 0.118455+0.0369045j -0.0779301-0.0359576j -0.0908688+0.0553539j -0.0652843-0.0513332j 0.0761716-0.0208721j -0.0484496-0.02155j -0.0104457-0.0916244j -0.00744005+0.0202041j 0.106635-0.012435j -0.177583-0.0930734j 0.169036+0.119285j 0.0739091-0.038428j -0.0702339+0.0143643j -0.161162+0.0716947j -0.189269+0.0175485j 0.119486-0.147147j 0.0355673+0.104152j -0.0207207-0.00851144j -0.00120404+0.0199403j 0.023086+0.13291j 0.0247419-0.189468j -0.0220823+0.238795j 0.0171867-0.070342j 0.167959+0.0494201j 0.189746+0.244832j 0.0205313+0.105778j 0.055859-0.135297j 0.152243+0.118159j -0.0923073-0.247671j 0.161773-0.173039j -0.0758721-0.264425j -0.249745+0.0944333j -0.181697+0.214064j -0.0523006-0.0167039j -0.0247016-0.300818j -0.0150703+0.0561693j -0.045317+0.248612j 0.161774-0.000393507j -0.2227-0.224578j 0.00774768+0.22684j -0.15922-0.217651j -0.427274+0.0457084j -0.283377+0.0336041j 0.135887-0.167823j 0.171463-0.261901j -0.33943+0.224287j -0.122607-0.180612j -0.242918-0.262314j 0.186904-0.308486j 0.00612976-0.234114j 0.178811+0.267399j -0.149942-0.0840917j 0.327956-0.104095j 0.277205-0.0664046j 0.320094+0.164389j 0.252723-0.0743832j 0.0312195+0.241716j 0.0132058-0.698721j 0.0290238-0.0942113j 0.0850322-0.00710571j 
-0.069733+0.0450932j -0.124392-0.0906781j -0.0349451-0.0334164j -0.091642+0.0493853j 0.0611079+0.0190685j 0.0747591-0.0173157j 0.00520364+0.0387308j -0.0307871-0.0403932j 0.0879605-0.0622169j -0.0354396+0.0327967j 0.0387922-0.0358741j -0.000953454+0.174591j -0.0568448-0.00408615j 0.0354108+0.0359049j -0.0785184-0.00863652j 0.046423+0.105995j 0.081945+0.0608768j 0.0472344+0.0604023j 0.17465-0.0235958j 0.0673255+0.195966j -0.0680961-0.160125j 0.176912+0.0633676j -0.154389+0.0407388j -0.0130931+0.0220664j -0.0570064-0.0163266j 0.303681-0.185611j -0.0370476+0.167374j -0.0403381-0.072618j -0.0880911+0.0819508j -0.392043-0.0269737j 0.341969-0.0240045j -0.0784826+0.124275j -0.160839-0.0740858j 0.1235+0.0295507j 0.156062+0.063258j -0.0833713-0.000815768j 0.091556+0.0548002j -0.184987+0.389555j 0.136162-0.0750426j 0.105743-0.00939571j -0.000458712-0.150434j -0.0438616-0.158962j -0.0619826-0.152797j -0.171938-0.209671j 0.525947+0.137455j -0.131363+0.119249j -0.0791853-0.265362j -0.102029-0.0210692j 0.482377-0.00859198j 0.299782-0.11279j 0.126156+0.030753j 0.0521196-0.18002j 0.104404-0.0906411j 0.174918-0.0801381j -0.16711+0.217021j -0.0501933-0.254623j 0.0351285+0.0688704j -0.0597599-0.0519316j -0.00423807+0.128408j 0.502822-0.170529j 0.149656+0.343112j -0.207702-0.0961958j 0.0357846-0.289086j 0.0218982-0.388439j -0.247656+0.418941j 0.756935-0.428748j -0.466527-0.103007j 0.355066-0.437204j -0.141195-0.20206j 0.398836+0.0618231j 
0.0515524+0.0165156j -0.0933908-0.133485j -0.103248-0.0545541j -0.0996451+0.0683382j 0.0467434+0.0685794j -0.0180859-0.0178826j -0.0674048+0.0852895j 0.0787041-0.112406j -0.0520217+0.0304733j -0.0677831-0.124645j 0.0868616+0.000706888j -0.278585+0.270019j -0.145895+0.0523375j 0.0729117+0.11029j -0.0664102+0.0788588j -0.197921+0.329381j 0.174544-0.180495j -0.231111+0.432405j 0.127058-0.232725j -0.0844497-0.116989j -0.277644+0.113074j 0.296213-0.416583j -0.310702+0.381786j -0.147219+0.309451j -0.287835+0.2684j 0.493192-0.564752j -0.233733+0.093719j -0.157602+0.0173381j 0.217587+0.182549j 0.077988+0.423065j 0.291408-0.133672j -0.295037+0.514296j 0.114345-0.0756258j -0.0029458-0.117511j 0.205569+0.191047j -0.289311+0.239673j 0.324607-0.0768633j -0.432275+0.438j 0.472277-0.559551j 0.0155889-0.0735421j 0.457064-0.620485j 0.173067-0.331767j -0.185751+0.00348757j -0.0502485+0.221867j 0.843293-0.463616j 0.016608+0.207341j -0.0678343-0.132948j -0.160271+0.504557j 0.454231-0.459944j 0.142415-0.425355j -0.00521365-0.0321014j 0.125435+0.00817947j -0.161881+0.39815j 0.206728+0.0780461j 0.0646633+0.407037j -0.0828448+0.146627j 0.415503-0.412665j -0.0773227-0.0538418j -0.0636596-0.452658j -0.394163-0.175161j 0.0487001+0.277811j 0.566041+0.447085j -0.4218+0.451006j 0.167193-0.339505j 0.366858-0.22149j -0.163302+0.494295j -0.0173585+0.342795j 0.174435+0.284871j -0.261457-0.320302j 0.150595+0.444039j 
0.0901617+0.00226004j 0.15039+0.127025j -0.0218745+0.0607998j 0.079859+0.000374588j -0.082147+0.0358807j -0.0296817-0.0389048j 0.00159553-0.136074j -0.00100349-0.0270457j -0.0611573+0.111019j 0.192974-0.136117j -0.0900069+0.0292338j 0.0932093+0.0694776j 0.0581057-0.0222284j 0.146203+0.0186871j -0.0378974+0.0464446j 0.1104+0.157507j 0.0752822+0.0466234j -0.0519227+0.436375j 0.00638696-0.0128812j -0.00240379-0.130292j -0.11301+0.10835j -0.00771347-0.18745j 0.0318971+0.191979j 0.125291-0.0802724j 0.132202-0.00420579j -0.0210228-0.510749j -0.0517814-0.185618j -0.0472252+0.120512j 0.121373+0.0339888j 0.125015+0.049058j -0.0623612-0.17946j 0.026933+0.179454j -0.365459+0.0253803j -0.0564128-0.0808461j 0.1271+0.195946j 0.258998-0.0171859j -0.151221-0.297035j 0.182883+0.297305j -0.0683713+0.276541j 0.105875-0.108306j 0.0075294-0.185268j 0.0022439+0.0797245j -0.104773+0.238358j 0.0826867-0.163331j 0.064642-0.131352j 0.0359239+0.0836419j 0.0368141-0.118685j -0.0200716-0.268992j -0.370624-0.155068j 0.187927-0.0576501j 0.0963061+0.212101j 0.0115165+0.164333j -0.117907+0.451159j -0.429972-0.467233j -0.0557056+0.088954j -0.213497-0.271988j -0.414339+0.227928j -0.255576-0.0739748j -0.202196-0.0120272j -0.224337-0.241449j 0.393389-0.122886j 0.312047-0.155933j 0.0180592+0.321841j 0.135713+0.0678981j 0.386771+0.0608172j 0.124956-0.102231j -0.555976+0.268451j 0.519293-0.104365j 0.166152-0.0202206j -0.178255-0.138551j 
0.11868-0.0120636j 0.0664284-0.0404907j -0.0700421-0.0223079j -0.0402414-0.0655079j -0.00561399+0.127696j -0.0128033-0.138528j -0.00534158+0.00120456j 0.0702696-0.100268j -0.00915165-0.00453761j -0.0215492-0.159223j 0.0496267+0.0793311j -0.223705+0.154141j -0.0651829-0.00940358j 0.0203907+0.0445618j -0.214125+0.0179668j -0.269231+0.504697j 0.120799-0.262651j -0.265406+0.393961j 0.105658-0.328872j 0.150602-0.0721028j 0.117757+0.142971j 0.320205-0.474182j -0.309976+0.176235j 0.0986253+0.193982j -0.25646+0.24533j 0.2218-0.559671j -0.209058+0.0801041j -0.0475602-0.0467045j 0.107975+0.0989151j -0.396032+0.19507j 0.215157-0.369435j -0.225358+0.286436j 0.293702-0.503327j 0.145793-0.100923j 0.100681+0.203448j -0.329707+0.225781j 0.223282+0.171227j -0.286819+0.72364j 0.502755-0.583491j 0.190659-0.321063j -0.0960457-0.301228j 0.0115166+0.0180035j -0.289891-0.0897282j 0.0996446+0.0710592j 0.455094-0.792705j -0.0358437+0.367543j 0.133394-0.0297373j -0.087772-0.00508929j 0.343481-0.63585j -0.108633-0.302835j -0.556414-0.315527j 0.117186-0.196597j -0.108782-0.0271485j -0.111389-0.537162j -0.648297+0.561529j 0.470112+0.124645j -0.502155+0.0908636j 0.00750558-0.0272762j -0.0166622-0.672252j 0.193949-0.274975j 0.0870287-0.150035j -0.367498+0.412039j 0.0153253+0.224781j 0.234209+0.595043j -0.546501+0.00126295j -0.11322-0.13819j 0.384764-0.134029j 0.101091+0.149428j -0.0793096+0.0338936j -0.176112+0.306353j 
-0.0230596+0.0234476j 0.0302973+0.00684365j -0.0489191+0.0252697j -0.00568562-0.12058j -0.0764536-0.0664402j 0.0654508-0.082781j 0.0169868+0.00564616j 0.0299215-0.151984j -0.0434719-0.0812835j 0.137348-0.18051j -0.0710985+0.0286397j -0.0429732+0.398602j 0.107738+0.0537209j -0.0465312-0.246155j -0.0308149+0.12281j -0.0354249+0.42424j -0.0184764-0.175128j 0.18968+0.209931j 0.225293-0.274989j -0.0215698-0.263509j -0.039074-0.135126j 0.165285-0.361294j -0.0989353+0.300052j -0.155737+0.183162j -0.108516+0.340314j 0.230203-0.655771j 0.0697979+0.128938j -0.122017+0.195453j 0.112102+0.0354408j 0.250269+0.466913j 0.0716491-0.245897j -0.11814+0.0944618j 0.130794-0.217029j -0.220949-0.0371487j 0.281191-0.111488j -0.229099+0.136595j 0.0141993-0.331455j -0.460571+0.417338j 0.130422-0.35471j 0.350293-0.315864j -0.0942125-0.319173j 0.0882991-0.119125j -0.224362+0.00848866j 0.0696747+0.157339j -0.0584236-0.388871j -0.156478+0.151166j 0.411703-0.00615232j -0.207431+0.24562j -0.247132-0.696998j -0.0920597-0.0827592j 0.205133-0.288635j 0.00880568-0.353175j 0.221408+0.197743j -0.272564+0.0031702j -0.00367863+0.242333j -0.155028+0.343251j 0.0317628+0.104117j 0.476159+0.281428j -0.282657+0.147182j 0.141991+0.781109j 0.201603+0.192962j 0.0940163+0.0771227j 1.01993-0.378277j -0.405453-0.110378j 0.255947+0.0050367j 0.190872-0.00622519j -0.265547-0.105077j 0.0320235+0.178619j -0.0210197-0.133043j -0.00575387+0.00471121j 
0.0821587+0.00610831j 0.191625-0.0316241j -0.127594+0.0501712j 0.00285374-0.290707j -0.0945075-0.046504j 0.101907-0.21953j -0.184394-0.00479548j 0.0976444-0.336627j -0.0112918-0.44138j 0.137578-0.333633j -0.0745889+0.0852074j -0.118214+0.725547j 0.084792+0.17057j -0.0708261+0.0602948j -0.18404+0.0676116j -0.309765+0.844481j 0.299404-0.687626j -0.265129+0.977342j 0.0623886-0.534805j -0.0399599-0.139733j -0.267378+0.118944j 0.511371-0.90773j -0.082506+0.661792j 0.0198634+0.387141j -0.416565+0.67361j 0.620954-1.26802j -0.0764829+0.219459j -0.193325+0.289504j 0.096035+0.201758j -0.218255+0.829014j 0.478671-0.700484j -0.342651+1.29865j 0.356216-0.755261j 0.218623-0.368429j 0.756516+0.449951j -0.408941+0.610646j 0.300184-0.364907j -0.309303+0.819906j -0.0130359-0.876694j -0.16067-0.495505j -0.060529-0.721568j -0.0761917-0.160318j 0.354732+0.690111j 0.198702+0.212195j 0.618163-1.63164j -0.114813+0.352417j 0.00937575-0.425797j 0.0120666+0.626886j 0.26108-0.738095j -0.321948-0.173745j -0.338496+0.0338724j 0.423193-0.701729j -0.0271659+0.595031j 0.274969-0.9387j 0.436417+0.499779j -0.0894069+0.635083j 0.256694+0.139524j -0.547412+0.166656j 0.249499-0.23175j -0.19399+0.261659j -0.0929708+0.226289j -0.267684-0.00656757j -0.310226+0.314544j -0.148542-0.225271j -0.343121+0.532892j 9.22354e-05-0.0470331j 0.0622427-0.201483j 0.23208+0.0599382j -0.0955703-0.207763j -0.31729+0.0784669j 
0.0280896-0.0378945j -0.0716255+0.00931656j -0.0289651-0.0904168j 0.0184699-0.0165892j 0.01942-0.0378326j 0.0658474+0.0232949j 0.0493065+0.0509744j -0.175425+0.184506j 0.0868332+0.200466j -0.0604709+0.33844j 0.0859507-0.0609689j 0.118714-0.493711j -0.151072-0.0925749j -0.164078+0.00764214j -0.0241693-0.00748083j 0.108088-0.211066j -0.0244307+0.389347j 0.165089-0.394234j -0.287974+0.396274j -0.0200624-0.0875658j 0.0187479-0.177394j -0.383565+0.583663j 0.326394-0.316729j -0.169492-0.41076j 0.170336-0.346517j -0.243552+0.960831j 0.00489593-0.154773j 0.166538+0.0569906j 0.0704221+0.0242831j 0.175517-0.325016j 0.0564999+0.59491j 0.0437309-0.397545j -0.153669+0.45602j 0.20228+0.343773j -0.360111+0.0181392j 0.17519-0.34974j -0.135168-0.337813j -0.389556-0.537658j -0.359589+0.606921j 0.0241477+0.286596j -0.150339+0.475923j -0.270277+0.18723j 0.377506-0.42374j 0.00843594-0.127295j 0.172698+0.867648j 0.268022-0.180167j -0.502385+0.519884j 0.252022-0.704897j -0.430507+0.467353j -0.262325-0.304578j -0.460642-0.319716j 0.25457-0.0171438j 0.325377-0.355809j -0.0427887+0.324554j -0.111108-0.377509j -0.114072+0.335327j -0.00601345-0.363708j -0.199107-0.174914j -0.454135-0.0258406j -0.0205809-0.0237961j 0.186815-0.241466j 0.00082887-0.32228j -0.0910684-0.0755154j 0.0551228+0.283996j 0.231465-0.0623097j -0.00430952+0.227744j 0.102179-0.0268362j 0.14241+0.0449425j 0.0456164+0.228012j 0.0835086-0.0387403j 
-0.00327158+0.0212641j 0.00681575-0.0160846j 0.00821476+0.015031j -0.0584484+0.0139313j 0.185647-0.0773293j -0.0870945-0.178994j 0.0166126-0.00442199j -0.0211683+0.00840365j -0.134732-0.135013j 0.245172-0.219879j -0.0441593+0.0735086j 0.0977692+0.150993j -0.0053374+0.0441957j 0.134428-0.10332j -0.187116+0.00221638j -0.16729+0.251885j 0.225169-0.160312j 0.202938+0.272808j -0.00391413-0.316527j -0.0722955-0.132988j 0.163265-0.0187024j -0.149754-0.302657j 0.0492332+0.373141j -0.149313+0.393009j -0.0189878+0.406302j 0.215868-0.103762j -0.0055248+0.0245882j -0.115837+0.115836j 0.165117-0.0814543j 0.0392336+0.0383536j 0.368741-0.0721501j 0.301475+0.239767j 0.11057-0.543987j -0.520957+0.0271704j 0.258309-0.268109j 0.219035+0.157956j 0.0467694-0.363283j 0.210217+0.454668j 0.138002-0.213627j 0.0100338-0.310586j 0.203595+0.150579j -0.0637833+0.0773338j -0.172269+0.651313j -0.236663+0.398482j 0.148607-0.224351j -0.408679+0.214169j -0.555373-0.166711j 0.215363+0.309575j -0.416335+0.15503j 0.0722573-0.280988j 0.0531945-0.117937j -0.385068-0.0599198j 0.391668+0.220997j 0.138967-0.0437523j -0.0443676+0.223336j 0.458931-0.165056j -0.125272-0.293498j 0.17378-0.627625j -0.00183433-0.272638j 0.311195-0.180981j 0.0241824+0.201586j 0.211369+0.0514315j 0.355693+0.395717j 0.040953-0.185416j -0.0351093+0.378932j 0.0378111+0.232846j -0.0279007+0.0292647j 0.0450331+0.0131662j -0.00655135+0.00695022j -0.0710388-0.0288127j 
-0.173443+0.0652939j -0.203518-0.0358311j 0.0661443-0.0048241j -0.133818+0.141095j 0.0277264-0.202367j -0.132912+0.0920429j 0.0452121+0.164761j 0.000663591+0.0392936j -0.192446-0.123053j 0.0588385+0.343892j 0.0696472-0.0731482j 0.0188141+0.0752831j -0.154534-0.114502j -0.106446-0.0471466j 0.122788+0.124527j 0.0356339-0.220046j -0.243509+0.128167j 0.212794+0.112107j -0.239143-0.00389568j 0.0720651-0.190759j -0.158175+0.100148j -0.255356+0.24542j 0.0825994-0.314457j 0.185428-0.251539j -0.0841505-0.2487j -0.184954+0.243766j -0.0954186-0.287371j 0.0859013+0.126112j -0.119999-0.145965j 0.0404882-0.214324j -0.173027+0.167643j -0.0718561-0.00851256j -0.136354+0.0859034j -0.125459+0.254428j -0.244334-0.247156j 0.1585-0.524623j -0.245852+0.365079j 0.105767-0.445405j 0.338608+0.363221j 0.0845981-0.204049j 0.101624-0.0360951j -0.311854-0.199634j -0.110666+0.0462175j 0.146691-0.561065j -0.586048+0.330104j 0.103413-0.105666j -0.0345428+0.195349j 0.361494-0.336011j -0.2897+0.622202j -0.10579-0.261977j -0.246294+0.00690806j 0.134976-0.123136j 0.0512933-0.508972j -0.0699645+0.175246j 0.240402-0.0185477j -0.184014+0.148022j 0.0045748-0.0573954j -0.149619-0.0122753j -0.207981+0.112855j -0.0814198-0.159465j 0.229712-0.57752j 0.224289-0.158283j -0.0202319+0.0959051j 0.129341+0.125859j 0.0425248+0.116745j 0.447354-0.110431j -0.0117324+0.148185j -0.312288+0.202125j 0.169968+0.0259638j 0.233261+0.179357j 
