0.00075932-0.0360147j 0.0676793+0.0122881j 0.0307732+0.0689649j -0.0353609+0.04353j -0.0027176+0.0368634j 0.0353809-0.0217303j 0.0258061-0.0421054j 0.0253875-0.0325784j -0.0837067+0.074575j 0.0743406-0.127228j 0.0458644-0.0256797j -0.0367505+0.0251639j 0.0325719-0.023961j 0.00914626-0.0598955j 0.139538-0.0294364j -0.081669-0.027894j 0.0725161+0.0399332j -0.00579057+0.0210424j -0.0862128+0.0897842j -0.14585+0.0828479j -0.0236317+0.0279839j -0.116364+0.119035j -0.0658064+0.163896j -0.00749183+0.0982152j 0.0619207+0.0785199j -0.154128-0.221448j 0.152227+0.121591j 0.0402647+0.0342528j -0.127339-0.0409712j -0.153213+0.213396j 0.201296-0.0923415j 0.00838286+0.0257979j -0.0730253-0.0476016j -0.155795+0.25812j 0.0181759+0.12309j 0.136556-0.0372363j -0.278378-0.177731j -0.207825-0.144051j -0.0695608+0.111182j -0.115925-0.0221282j -0.0593396+0.26407j 0.125432+0.310002j 0.398823+0.144854j -0.0250551-0.11603j 0.340057-0.244349j 0.0177582+0.29653j 0.38386-0.0634631j -0.0211642+0.510006j 0.371374+0.119593j 0.257369-0.308402j -1.04337+0.115391j 0.350793-0.87643j 
0.0862762-0.019498j -0.00450875-0.00552624j -0.139281-0.0981908j 0.0947389+0.236616j 0.00736313+0.00310314j 0.0103576-0.0434914j 0.0080843-0.230603j 0.041818-0.00106061j -0.0972193-0.0222792j -0.0662624-0.186372j 0.0231424+0.0301352j 0.164259+0.135956j -0.0430634-0.104074j 0.00329056-0.138551j 0.129908-0.173094j -0.0513842-0.149941j 0.020646+0.162545j 0.00763176-0.0370367j 0.0294072+0.0865896j 0.224078+0.0117851j 0.0357108+0.0254955j -0.191361-0.0461169j 0.146448+0.2521j -0.0926283+0.092782j 0.0397816-0.189792j 0.0672737+0.0357732j 0.0384445+0.0892276j 0.102358+0.0468924j 0.0180065-0.0790916j -0.293421-0.12096j 0.0760741-0.0276694j 0.00332299+0.0471256j 0.367817-0.160658j 0.0450257-0.398768j 0.109149-0.256812j -0.0608584-0.137964j 0.122954-0.181375j 0.0959696+0.115796j 0.0215685+0.383597j -0.0150391-0.11912j -0.232388-0.30809j -0.228712+0.0738456j -0.487894+0.0953492j -0.106494-0.274034j 0.244786+0.387696j 0.179469-0.187469j 0.154999+0.0248758j -0.090209+0.216423j 0.172258+0.303337j -0.875305+0.318445j -0.33949-0.0325844j 0.121622-0.134226j 
0.0425278-0.0594053j -0.162803+0.0117041j -0.164012-0.059417j 0.181444-0.00781033j 0.106739+0.0181299j -0.0695347+0.0475652j 0.013552+0.000576972j 0.0745232+0.0944706j -0.00689732-0.202125j -0.147835+0.0574006j -0.172935+0.0625909j 0.115001-0.11585j -0.057906+0.0187028j -0.0703013-0.0981404j 0.209198+0.057244j -0.084449-0.0918328j 0.0167019+0.192934j -0.100111+0.142874j -0.1371+0.126223j 0.0963901-0.0706178j 0.0135545-0.171132j 0.152264+0.132499j -0.348236-0.0966551j -0.0161406-0.154183j 0.0455021+0.100797j -0.022424+0.0657872j 0.159366-0.144193j 0.114387-0.195058j 0.0860287+0.0824094j 0.417319-0.17516j -0.0704721-0.24602j 0.103982+0.205706j -0.180905+0.0804429j 0.203467+0.493226j 0.00643768+0.11272j 0.0970813+0.0325321j 0.273181-0.0121468j 0.0290288-0.13124j -0.252282+0.182489j -0.0722881-0.201787j 0.379175-0.00971734j 0.131705-0.124505j -0.324538+0.201187j -0.0948906+0.307273j -0.217783+0.562184j -0.323823+0.341265j 0.488889+0.183495j 0.316364+0.310003j 0.13359+0.57145j -0.463078-0.0858788j -0.241447+0.179115j 0.0713036-0.530341j 
-0.00376676+0.0470424j -0.171546+0.0950055j -0.120075-0.0862915j 0.201148+0.0709475j 0.0881486+0.00586861j -0.0770791-0.0480143j 0.0931982-0.267662j -0.00382282+0.0244134j -0.0609832+0.0204161j -0.178884+0.0772646j 0.0553826-0.111057j 0.189498+0.102579j 0.0948425-0.0309675j -0.14959-0.0195682j 0.126063-0.131358j 0.181294-0.0479527j -0.0648902-0.0318565j 0.026338-0.29371j -0.119202-0.272375j -0.0896125-0.177666j -0.0738171-0.09155j 0.149532-0.0201554j 0.0708141-0.116348j -0.266818-0.0870714j -0.00859142+0.137924j 0.0533226+0.0463272j -0.268328-0.0462363j 0.0950525+0.159569j -0.00117883-0.0753628j -0.274106+0.0759745j -0.0896679+0.275657j -0.214399+0.121958j -0.170863+0.126112j 0.0867284+0.222343j -0.035834+0.471964j 0.231151+0.0663378j 0.364899-0.319148j -0.232549-0.457254j -0.436759-0.0378765j -0.118336+0.239475j -0.274492-0.264393j 0.277499+0.230427j -0.0460689-0.575498j -0.326714-0.0778629j -0.318331-0.305453j 0.0474777+0.357292j -0.135329+0.123641j -0.238802+0.279757j -0.341498-0.353029j 0.376673+0.46899j -0.0475782-0.0279111j 0.192953-0.238931j 
-0.0253972+0.0568466j -0.104572+0.121279j 0.00124111-0.0661281j -0.123437-0.0586844j 0.192333+0.010375j 0.0930409+0.14223j 0.103672-0.123239j 0.068407-0.0501973j -0.133939-0.0246343j -0.229441-0.00485217j -0.117089+0.00367011j -0.0756025+0.183865j 0.0829728-0.0524733j 0.139609+0.348906j -0.0520387-0.0594584j 0.102632+0.034301j -0.00751172-0.298566j 0.105818+0.221447j -0.182355-0.295429j -0.0659884-0.0539699j -0.044978+0.0260081j -0.339967+0.0635796j 0.161334+0.0239605j 0.114691+0.246237j -0.219537-0.284769j -0.16462-0.381448j 0.0304098-0.0449177j -0.0827501-0.0160618j -0.0182547-0.275937j -0.0252971+0.39087j -0.145175-0.120872j -0.126619+0.0673425j 0.193612+0.108679j 0.031519+0.000497444j 0.0570569+0.0753192j -0.424144+0.17562j -0.0975634-0.0553063j 0.215126+0.126555j -0.172053-0.497789j 0.124269-0.246937j 0.550151+0.00422884j -0.0204808-0.44456j -0.0370674+0.261571j -0.054328-0.42133j -0.0476317-0.153503j 0.173831+0.00967132j 0.192732+0.607921j 0.49024+0.100578j -0.251738-0.038892j -0.242129+0.314798j 0.156125-0.339504j -0.288885+0.134266j 
-0.0258487+0.0788345j -0.132509+0.229539j -0.0335841+0.00728298j -0.123731-0.209541j 0.0607757-0.0626297j -0.112776+0.0575132j 0.175108-0.109068j 0.191812+0.0779658j -0.187529-0.0581115j 0.165811-0.0666572j -0.216895+0.0286976j -0.183432+0.105181j -0.0191418-0.0253264j -0.110863-0.00564034j -0.122768+0.0528891j -0.163767+0.262869j 0.145306-0.368036j -0.039324-0.0555218j 0.094299+0.217957j 0.0340835+0.0774522j 0.286909+0.00958738j -0.0152696+0.0821216j 0.422632+0.00704381j 0.281509+0.0980057j 0.192032+0.184569j -0.136273+0.330524j 0.00688469+0.312573j -0.0288711+0.0105643j -0.16498-0.011807j 0.108576+0.0783786j 0.175229+0.106968j -0.533858-0.0388634j -0.109513+0.463466j -0.48738+0.254484j 0.116021-0.334291j 0.107951+0.0478315j 0.121897+0.245383j 0.0931253-0.053265j 0.0700075-0.0439542j -0.13188-0.213715j 0.109247-0.617048j 0.361045+0.387503j -0.57802-0.194453j -0.141038+0.0149939j 0.049086+0.273543j -0.180954+0.261072j 0.0752806-0.4817j -0.153605+0.0312091j 0.312504+0.52584j -0.250708+0.0955684j -0.0654395-0.241668j -0.33384-0.124825j 
0.0182893+0.0244574j 0.00573084-0.0129052j -0.00483751-0.0367727j 0.0188717-0.129346j 0.0819562-0.169868j -0.0360402+0.0149312j -0.0553739+0.101639j -0.034363+0.0161339j 0.129848-0.0376136j 0.153066-0.172618j -0.0437226+0.067776j 0.0559975+0.0705115j -0.0568549-0.03718j 0.204009-0.277945j 0.121588-0.232906j -0.144829+0.0263255j 0.212899-0.206476j 0.180126-0.150733j 0.0691782+0.00298091j 0.00465874-0.0906971j -0.0801315-0.0272318j 0.367801-0.124789j -0.0992931-0.26215j -0.00208013-0.139603j -0.165069+0.18j 0.13651+0.0502253j 0.14738+0.327824j 0.0745068+0.112428j 0.198186-0.568113j -0.159728+0.383292j 0.296689-0.412124j 0.466446+0.000588882j 0.169944+0.247431j 0.386933-0.30038j -0.119551-0.206806j 0.0536891-0.0450131j 0.287579+0.314191j 0.134691+0.0115438j -0.228683-0.213507j -0.025623+0.639731j 0.165658+0.384715j 0.175113+0.144957j -0.05726+0.149058j -0.409081-0.283893j 0.774153+0.595546j -0.0209556+0.129943j -0.0347676-0.203976j 0.0928795+0.064355j -0.0580181+0.13634j 0.0426832-0.0786202j -0.13472+0.0319164j 0.0063914+0.0182452j 
-0.0581969-0.0671009j -0.148796+0.0915338j -0.0602797+0.118089j 0.00303498-0.0334361j -0.154609+0.164953j 0.0830235-0.0244439j -0.000364075-0.185872j -0.0220977+0.0529611j -0.130046-0.198007j -0.120943-0.0781509j -0.20112-0.202531j -0.148428+0.311343j 0.012025-0.0476524j -0.0829713+0.402016j -0.00839034+0.100146j -0.226742+0.101985j -0.186366-0.135311j 0.0522559+0.207936j -0.15255-0.0817084j -0.308078-0.0467029j 0.226408+0.365493j -0.00667652-0.184058j -0.154792+0.183254j -0.0548476-0.274106j -0.179263-0.215874j -0.0893528+0.337386j 0.0475211+0.0274976j 0.156495+0.535362j -0.0512495-0.265651j 0.238609+0.0489428j -0.0794025-0.0787525j 0.258863+0.178469j -0.238514-0.218073j 0.135632+0.204073j -0.23947-0.553158j 0.475161+0.341936j -0.0534544-0.07835j -0.156753+0.266149j -0.251569-0.110918j -0.30137+0.26582j -0.258947-0.0587468j -0.443875+0.247127j 0.143349-0.261425j -0.0670194+0.209322j -0.0711976-0.224474j 0.078389-0.309089j -0.392081+0.270583j -0.174225-0.153012j 0.202041+0.023685j -0.0182243+0.167252j 0.176459-0.179768j -0.0762453-0.248558j 
-0.0184737-0.147702j 0.164193-0.143086j 0.157931+0.151101j -0.22021-0.0416276j -0.0587449+0.203029j 0.18345-0.00949014j -0.0189391+0.116711j 0.0401956+0.225194j -0.110897-0.0899247j -0.264246-0.176017j -0.031208-0.126762j 0.0873284+0.0599131j 0.121033-0.346645j -0.157007-0.0232366j -0.0305062+0.000427393j -0.137851-0.0199489j 0.186571-0.190516j 0.0256254-0.183803j -0.182711-0.130915j -0.000650301-0.155763j -0.0538264-0.115559j 0.304765+0.082213j 0.0364601-0.295435j -0.28875+0.419113j -0.36836-0.0576759j -0.00815584+0.360917j -0.23843+0.0376166j -0.360236-0.40763j -0.12839+0.385648j 0.0317034-0.213156j -0.342192+0.0555197j -0.126412+0.278001j 0.539244+0.255744j 0.0821754+0.126461j -0.0164911-0.0571312j 0.416499-0.311924j -0.0494113-0.286641j -0.250157-0.0207304j 0.210633+0.0584284j -0.378487+0.487454j 0.0324024-0.0413775j -0.280175-0.03011j -0.264686+0.198998j -0.344213-0.236673j -0.112604-0.164242j -0.2688-0.047987j -0.134951-0.0500352j -0.281885-0.106895j -0.0819847-0.00500149j -0.017416-0.125317j 0.290191+0.282632j -0.141898+0.132027j 
0.0762136+0.0695238j 0.165906-0.00738303j 0.0273001-0.0684704j -0.109674+0.2123j -0.133606+0.0646813j -0.257314+0.0722466j -0.1312+0.0920729j 0.180182-0.0634562j 0.0444918+0.236569j -0.130501-0.102538j -0.0864149+0.30037j 0.0245993-0.332257j -0.220792-0.0286006j 0.112178+0.11568j 0.242812-0.0661057j -0.240208-0.0838023j -0.14213-0.171155j 0.19449+0.0467412j 0.452874-0.154709j 0.00671984-0.222192j -0.175482+0.226759j 0.106827+0.0634933j -0.264275+0.260159j 0.0175251-0.155556j -0.17701-0.189827j -0.190511-0.249622j -0.495244+0.0258797j 0.545303-0.130253j 0.0370385-0.157946j 0.282753+0.366358j -0.0598209+0.0619496j -0.672226-0.481732j -0.21652-0.0924331j -0.203169+0.398309j 0.468841-0.269931j 0.269959+0.448139j 0.180546-0.341343j 0.317425-0.015668j 0.483842+0.0299313j 0.0398642+0.291243j 0.495677-0.54511j 0.0593288+0.00524139j 0.0568206-0.0755055j -0.166885-0.136312j -0.0836622+0.112992j -0.140393+0.23162j 0.0145628+0.224975j 0.2377-0.132832j 0.249529-0.05862j -0.0193197+0.0234367j -0.220475+0.072713j 0.00625223+0.114872j 
-0.015378-0.215334j -0.0753181-0.180343j -0.0734934+0.0651525j 0.098551-0.215199j -0.0220416-0.0793899j -0.092406-0.0126212j 0.0437685-0.148823j 0.39162+0.198591j 0.0460839-0.323835j 0.18909-0.0405884j -0.0795801+0.0490637j -0.251762+0.210613j -0.344423-0.0942971j 0.194819+0.109631j -0.0276924-0.0600771j -0.0790995-0.128128j 0.0118499+0.0643213j 0.437015-0.226671j 0.02956-0.0853176j -0.548114-0.134899j -0.403913-0.405217j -0.168919-0.0578317j 0.0766762-0.286508j 0.531627-0.223545j 0.269411-0.15874j -0.0963075-0.232227j -0.138282-0.0816176j 0.531723+0.102432j -0.586092-0.301377j -0.048784-0.339335j -0.13249+0.249165j -0.388963+0.393938j 0.690277-0.0909273j 0.0836092-0.0992837j -0.334713-0.170258j 0.0232457-0.248391j -0.036913+0.261096j 0.0843854-0.157375j 0.325039+0.0674396j -0.290065+0.265161j -0.156519-0.143563j 0.081036+0.116951j 0.29563+0.131453j 0.0862747-0.315698j 0.472048-0.0937492j -0.0529208-0.233927j -0.000269043-0.0825683j 0.019065+0.0306543j 0.237292+0.217795j 0.106794+0.141285j 0.154934-0.111348j 0.164379-0.143043j 
