0.000946919-0.00289082j 0.00585887-0.00570771j 0.00337965-0.003897j 0.00300697-0.00247406j 0.00112456-0.00119683j -0.00022691-0.00351633j 0.00351319-0.00215815j 0.000961168-0.0024863j 0.000794324-0.00147694j -0.00526304-0.000713596j 0.000119866-0.000388881j -0.000517807-0.00127597j 0.000396459+0.00258334j 0.000973318+0.000420624j 0.00515012-6.40824e-05j 0.00213726+0.000368125j -0.000452725-0.000168739j 0.00134173+0.000151192j -0.00475626+0.000712234j -0.00309479+0.00025428j 0.00813292+0.000681185j 0.00355867-0.000816257j -0.00154451+0.00193656j 0.000496561+0.000956114j -0.000901656-6.2795e-05j 0.00211647-0.00176621j -0.00229068+0.000873364j 0.00324108+0.00130882j -0.00121529+0.00108082j 0.00127864+0.000183104j 0.000568044+0.000299621j -0.00219383-6.0067e-05j 0.00261046+0.00113456j -0.00472217+0.000217409j 0.00475094+0.00028579j 0.00135575+0.00102416j 0.000265147+0.000515801j -9.22029e-06+0.00100394j -0.00545969-0.00022462j 0.00453015+0.00168841j -0.00833862-0.000480107j 0.00627877-0.00383914j 0.00475975+0.0010417j -0.000136161-0.00260618j 0.000546827-0.00597658j 0.00864496-0.00841929j -0.0153974-1.9473e-05j -0.0263788-0.0112225j -0.00241685+0.0126971j 0.0510221-0.00110443j -0.00922125+0.00986634j 0.283036-0.00312656j 
0.00602881-0.00568273j -0.00194534+0.00238802j -0.00110004+0.002412j 0.000860473-0.00432077j 0.000362652+0.00304272j 0.000578811-0.00253798j 0.00352203+0.000970056j -0.000808976+0.000473675j 0.00177132-0.000506399j -0.000104592-0.000306677j -0.00223666+0.000555836j 0.00245943+0.00201357j -0.000716772+0.00215573j 0.00115297-0.000372664j -0.00290956+0.000322245j -0.00162101+6.38479e-05j 0.00326501+0.00192502j 0.000998401-5.17252e-05j 0.000876937-0.0013732j -0.00141012-0.000151524j 0.00167956+0.00137041j 0.00348477+0.000547915j -0.00156641-0.000180354j 0.000859769-0.00111625j 0.000787956+0.000376831j 0.00332536+0.00126395j -0.00160438+0.000720479j -0.00152077-0.00071617j 0.00294418+0.00180908j -0.000339317-0.000224368j -0.00378415+4.6909e-05j 0.002492-0.000138428j -0.00143902+7.38206e-06j 0.000274024+0.000563896j 0.00362743+0.00161965j -0.00198925-0.00202111j -0.00346231-0.000582373j 0.00264189+0.000754756j -0.00393449-0.00196244j -0.00381806+0.00162475j 0.00145404-0.00253952j 0.00376491-0.000706007j -0.00451398+0.000869895j 0.00331702-0.000692568j 0.0126696+0.0010939j 0.0110352+0.00244774j -0.0132575-0.0168755j 0.0152985-0.00268784j 0.0474844-0.000313459j 0.00862487-0.0104655j -0.290892+0.0031057j -0.00813909+0.00881036j 
0.00419712-0.00589112j -0.0040196+0.00345208j 0.000285822-0.00143926j -0.00565008-0.00134537j 0.00407288+0.00215001j 0.0036062-0.00125065j -0.00362133+0.00415807j -0.00178794+0.00184018j 0.00354856+0.00167197j 0.00192281-0.00428291j 0.00739935-0.00155311j -0.00386328-0.00254648j -0.000269891-0.00162887j -0.00312124-0.00135732j -0.00342618+0.00113836j 0.0054966-0.000980855j -0.00260103-0.000567897j -0.00181484+0.000491109j 0.00243533-0.0055861j 0.000542238-0.00171333j 0.00100029+0.00121853j -0.00344149-0.00305049j -0.00522367+0.000546923j 0.0020181+0.00206596j 0.0025342+0.000282136j -0.00411815-0.000590561j -0.0037753-0.000220249j 0.00180781-0.00127224j -0.00493556-0.00447191j 0.00231304-0.00141965j 0.00711641-0.00107875j -0.00301337+0.00185966j 0.00162603-0.000228402j -0.000600051-0.00491425j 0.00384466+0.00638408j 0.00854728+0.00378083j -0.00378263+0.00297707j 0.00659362+0.0037335j -0.000650599-0.00634625j -0.0123615-0.00222667j -0.00947742-0.00239873j -0.00314224+0.00681519j -0.0128023-0.00844967j -0.0182394-0.00656184j 0.0263528+0.00393684j 0.0163976-0.0172795j 0.0284441-0.00077547j -0.0269779-0.0017671j 0.00999289+0.0256392j -0.277747+0.00788404j -0.00099404+0.0076493j -0.0501768+0.00107059j 
0.00412984-0.00284732j 0.00256385-0.00550795j -0.00029758-0.000429006j -0.00392213+0.00527136j 0.00318106-0.00299242j -0.00411221+0.00154934j 0.00190917-0.00180088j -0.00105623+0.00491767j 0.000218979-0.000906199j -0.00442456+1.9645e-05j -0.000658502-0.00172428j -0.000520418-0.000770571j 0.000705809-0.000343795j -9.56006e-05+0.00150206j 0.000273904-0.000172235j -0.00300266+0.000405449j 0.00157445+0.000579483j 0.000896838-0.000422385j -0.00847297+0.00100134j -0.000253578-0.00177802j 0.000617111-0.00014785j -0.00118+0.0034607j -0.00129016-0.000410116j -0.000703167-0.00114109j 0.000953184-0.000830116j -0.00722079-0.000340767j 0.00558453-0.000463843j -0.00387795+0.00594248j -0.00942143-0.00221068j 0.000857915+0.00423779j -0.0052492-0.000768969j -0.00573547-0.000988201j -0.00345828+0.00378795j -0.00274418-0.00124122j -0.00435795+0.00271165j 0.00717582-0.00127231j 0.000874992-0.00312546j 0.00211324+0.00192303j 0.000433493-0.00245163j 0.00756954+0.00381573j -0.00512607-0.00796748j -0.0119945-0.00917655j -0.0124294-0.00874944j -0.0168705+0.00899798j -0.0900231+0.00112183j 0.051039+0.0136567j -0.000800491+0.0224821j 0.0375087-0.0127946j 0.237095-0.00180467j 0.00671453+0.0181259j -0.0511458+0.000225881j -0.0012219-0.00887207j 
0.00272185-0.00306036j -0.00456013+0.000682413j -0.00103557-0.00386645j 0.00418216-0.00894622j -0.0103626+0.0039978j -0.0131948-0.00567187j -0.00298622+0.00273616j -0.0039408-0.00442409j -0.00813149-0.00095521j 0.00299384+0.00379406j 2.48708e-05-0.000548771j 0.00160343+0.00193386j 0.00656543+0.00312312j -0.00501009-0.00062813j -0.012108-0.0006381j -0.00877123-0.00108518j 0.0114093+0.0029447j -0.00500529-0.00313988j 0.00243206-0.00370167j 0.00725625+0.00561472j -0.00643323-0.00492522j -0.00577834-0.00500263j -0.00358131-2.09302e-05j 3.71862e-05-0.00126051j 0.0030166+0.0027755j 0.00249041+0.00169786j -0.0111631-0.00058637j -0.0107731-0.00664663j -0.0166355+0.00211866j -0.0028191-0.00614584j 0.0165308+0.00152862j 0.00166134+0.00290866j -0.00211648+0.000587899j -0.00923523+0.00184622j -0.00783135-0.00055984j -0.0069265-0.0169577j 0.0094566-0.00309274j -0.00885772+0.0027549j 0.0132955+0.001998j -0.0206412+0.00212624j -0.0187924-0.00273338j 0.0131883-0.002917j -0.0495811-0.00854081j -0.0229248-0.00586744j 0.0141774+0.0154378j -0.0221042-0.00463812j 0.0504543-0.0116766j 0.237999-0.00475353j -0.0219694+0.015241j 0.0567511-0.00102486j -0.00299129+0.0092842j -0.0170383-0.00502357j 
-0.00201902-0.00689429j -0.00560035+0.00279525j -0.00619719+0.00422041j -0.00297598-0.00360567j 0.00646734+0.00506816j 0.00323742+0.00396086j -0.00853919+0.00100584j 0.00229611-0.00338145j 0.00184881-0.00488462j 0.00304393+0.00101995j 0.00674227-0.00170775j 0.000671479+0.00391966j -0.00177839-0.000554002j 0.00376465+0.002978j 0.000490538+0.00276957j 0.00258194-0.00646198j -0.00163256-0.000584235j -0.00145251+0.000591143j 0.00059985-0.00497861j 0.00171295+0.00738023j 0.0157391-0.000727484j 0.000816139+0.00541008j -0.00944435+0.000123704j -0.00822178-0.000924926j -0.00384603-0.00413897j 0.000179875+0.00302519j -0.0121948-0.000221863j -0.00509359-0.00505039j -3.18801e-05-0.00928428j 0.000936873-0.00443545j -0.000961045-0.0132882j 0.00216036-0.000781879j 0.0169605-0.00816859j -0.00179826-0.00711384j -0.00948391-0.011156j 0.00200764-0.0104041j -0.0109977-0.0109833j -0.0118972-0.00846471j 0.0251857+0.0169712j 0.000651046-0.0103012j 0.00610572-0.0036937j 0.0354567-0.0141927j 0.0406061+0.0142625j -0.0139173+0.00776469j 0.00769366-0.0136109j 0.0042438+0.0140289j 0.217497-0.00891911j -0.0653036+0.00472338j 0.0110707+0.00648935j -0.0319141-0.00586807j 0.00902824+0.0133247j -0.0268368+0.00499677j 
0.0111244-0.00519485j 0.00227863-0.0100134j -0.0045817-0.00288199j -0.000572397+0.000899727j -0.00790882-0.000178207j 0.00158212-0.00410361j -0.00186864+0.000530451j 0.00192039-0.000658289j 0.00252854-0.00469284j 0.00494184+0.000733267j -0.00462927-0.00471094j 0.00703363+3.14136e-05j -0.00858256-0.000459181j 0.00482146-0.000493553j 0.0149961+0.00106932j 0.00745148-0.00403986j -0.0144007-0.00334218j -0.000100751+0.00162037j -0.0146123-0.00471561j -0.00255627+0.000194001j -0.000147819+0.00169148j -0.00528539-0.00307102j -0.0160969+0.00451801j -0.0100504-3.80579e-05j 0.00110269-0.00454575j -0.00012642+0.000513755j 0.0021338+0.00243592j -0.00909697-0.00665499j 0.00667307+0.00975669j -0.00546068-0.00722511j -0.0110169+0.00207208j 0.00721816-0.00757705j 0.00189374+0.00373543j 0.011151+0.0065095j 0.00682246+0.00415816j -0.039836-0.00887547j -0.00653314-0.0046545j 0.0243002+0.010717j -0.0134554-0.00147469j 0.0303005-0.00109132j 0.0196348+0.0196247j 0.0454805+0.00349457j -0.0266972+0.0162993j -0.00742517-0.0115706j 0.0464669-0.0174708j 0.200755-0.00257661j -0.00349611+0.00584748j 0.0253917-0.0021494j 0.00798365+0.00204402j -0.0513934+0.0185892j -0.0383378+0.00299158j -0.0130504-0.020002j 
0.00399654-0.00476484j -0.00521519+0.00183116j 0.0015569-0.00495355j -0.00668708+0.000782952j -0.00618073+0.0045473j 0.000500834-0.00153413j -0.00594734+0.00275334j -0.0117364+0.0125975j 0.00353696-0.00250759j 0.00839259+0.00821056j 0.00522151-0.00370035j -0.0079084-0.00166274j 0.000663447-0.00433452j 0.0135928+0.00766322j 0.0041258-0.00548219j 0.00622213-0.000386043j -0.000844937+0.00816575j -0.00937371-0.00711103j -0.00339674-0.00740262j 0.000895503-7.3433e-05j 0.0169213-0.00688606j -0.00351302-0.00251073j -0.00426384-0.00390613j 0.00136669+0.00177858j -0.00633927+0.00443961j -0.00465919-0.00317578j 0.00714925+0.00735097j -0.0199916+0.00135391j 0.00193074-0.00913282j -0.00274233+0.00579248j -0.0274789+0.00439416j -0.00404466-0.00823819j -0.0177315-0.00189129j 0.00994431-0.000682282j 0.0393934+0.00365638j -0.0142304-0.000330677j 0.00658322+0.00830411j -0.0219026+0.000437006j -0.0419726-0.0246882j -0.071447-0.0039019j -0.0298489-0.0151071j 0.00196061-0.0358346j 0.0611344-0.021703j -0.0535039+0.00270633j 0.161505+0.00553417j -0.0565026+0.0234092j 0.0127481+0.00242853j -0.00524833-0.0231913j -0.0358152-0.000848455j -0.0287606+0.00184168j 0.0191125+0.0118413j -0.0199636+0.00392032j 
-0.00229399+0.00829488j 0.0136613-0.00110921j 0.0148499-0.00646459j 0.00745303+0.010911j 0.00629209-0.00306833j -0.00570756+0.00125957j -0.000875538+0.00498226j 0.0137943+0.00822178j 0.00826565+0.00229091j -0.0154585-0.00149795j 0.010541-0.0045693j 0.0161356+0.00556044j 0.0139557-0.00259451j -0.00356765-0.00274323j 0.00936618-0.0042085j 0.0103118+0.00213471j 0.0178424+0.00157254j -0.000817005-0.00351381j -0.00671818-0.00389647j -0.0100389+0.00735746j 0.0302664-0.00351615j 0.0229655+0.000663828j -0.00944137-0.00682695j -0.00515779+0.0031288j -0.00233227+0.0008402j 0.0145804+0.00013203j -0.0228182-0.00490206j 0.00191944+0.00605768j 0.00665352+0.00173199j 0.015-0.00761933j 0.00420442-0.00117471j -0.00841014-0.00852689j 0.0270922-0.0015306j -0.0168902-0.00726625j 0.0292741+0.00998199j 0.0152415-0.0181956j -0.0291784-0.0137654j -0.0307588+0.0132576j -0.00238945+0.0088495j -0.00400705+0.00274043j -0.0727896+0.00278j 0.0516847-0.00239744j 0.0235222-0.00869181j 0.0682139+0.0105142j 0.0143896+0.0200162j -0.000757855+0.0410531j 0.0177623+0.01712j -0.00899597-0.00479028j -0.031924-0.0692351j -0.0363979+0.0181374j -0.0145022-0.0514479j 0.0701582-0.000341747j 
0.0102313-0.00260179j 0.00147769-0.00588313j 0.000630876-0.0120829j 0.014513-0.00583035j 0.00492397-0.000424528j 0.00455351-0.00167353j 0.0204467-0.00374521j -0.00231376-0.0116062j 0.00750343+0.00400052j 0.00182371-0.00286902j -0.00781697-0.000508786j 0.00416721-0.00333922j -0.00781242+0.00414253j -0.00140569-0.0056372j -0.00938171+0.000992574j -0.00159574-0.0098291j 0.00452075-0.0052911j -0.000966751+0.00362749j 0.00703106+9.77764e-06j -0.000606558+0.000881328j -0.0169653-0.0129083j 0.00886559-0.000985262j -0.00547229+0.000245139j -0.00975389-0.00575622j 0.00856935+0.0041669j 0.0271673-0.0042511j 0.000378013-0.00288351j -0.00322807-0.00190619j 0.00417498-0.0139639j -0.0104718+0.0057483j 0.00787681-0.00584921j -0.000578403+0.0173416j -0.0158661+0.00516265j -0.00646915-0.000889571j -0.0135511+0.00626467j 0.00985007-0.00331917j -0.00829462-0.00717558j 0.0219855+0.00359032j -0.0212978+0.00146877j -0.0347027-0.0080809j 0.069015-0.0144756j 0.0197666-0.00540122j -0.0605037-0.0197683j 0.0266966+0.0102622j -0.0042899+0.0279214j -0.0526096+0.00906902j -0.00393398+0.0483496j -0.0262547-0.0229312j -0.0483593+0.02953j 0.0401397+0.061247j -0.0650007+0.00049471j -0.0128696-0.0482891j 
-0.00293346+0.00011068j -0.0087865+0.00418713j -0.00327723-0.0021501j 0.00225102-0.00348562j -0.00751039+0.000971755j 0.00160595-0.000394907j -0.00286967-0.00279534j -0.00469482-0.004437j 0.0080818-0.00625073j -0.00696903-0.00812992j -0.0204777+0.00276281j 0.00172422-0.00513927j -0.00165684+0.00525558j 0.003247+0.00534428j -0.0029845-0.00209181j -0.00861154-0.000825979j -0.0142842-0.00143218j 0.00497266-0.00557889j 0.0106939+0.000411489j 0.00426964+0.0119557j -0.0238306+0.00660932j -0.0207871+0.00275163j 0.0138306-0.00421383j -0.00316113+0.00925678j -0.0122184+0.00236958j -0.0254565-0.00778374j 0.00189071-0.0145881j -0.0128634+0.0194516j -0.00974063-0.0126135j 0.0107893-0.00961188j -0.00348526+0.00036208j -0.0148689-0.0168107j 0.0192852-0.00675738j 0.0194021-0.0284952j 0.0144764+0.023841j 0.00879114-0.00730857j -0.0584393-0.0100766j -0.0328242+0.0165745j 0.0544134+0.00251582j -0.0519658-0.0108361j -0.0390274-0.0056908j -0.0179417-0.000685012j -0.0140448+0.00522376j 0.10918-0.0105769j -0.0195619+0.0185235j 0.0203815-0.0204279j -0.0478939-0.0102141j 0.0111985-0.00867348j -0.0193103+0.0447385j 0.0538643-0.00634001j 0.0274863+0.0216486j -0.0235395+0.0124708j 
