-0.000548454+0.00788854j 0.00361647+0.0245311j 0.00248779+0.0261137j -0.00208354+0.00699777j 0.00356508+0.0141484j -0.00205931-0.02454j -0.00522746+0.00818801j 0.00369843+0.0293814j -0.00215281-0.0235349j 0.00604569-0.00951077j 0.00859208-0.0399008j -0.00351087-0.00295759j 0.00233502-0.00901919j -0.00914281-0.0343956j -0.00889659-0.0147091j 0.00424744-0.0143385j -0.00105149-0.0136131j 0.00171776-0.0181101j 3.28098e-06+0.0169789j -0.000731711-0.00521932j -0.00336941+0.0225874j 0.00407419+0.0182112j 0.00698013+0.0158907j 0.0103665+0.0359295j -0.00604772-0.0162065j -0.000575526-0.0232379j 0.00647924+0.0308828j -0.00157842+0.0042232j -0.00452269-0.0135539j 0.00217493+0.0139264j -0.00535573+0.0028761j -0.000575552-0.0185247j -0.00185779-0.00452404j -0.00037905-0.0232797j 0.00259661-0.00641237j 0.00432037+0.00245852j 0.0121443+0.0361837j -0.000893542-0.0178675j 0.00256885-0.00973794j -0.0052652-0.0144207j -0.00852588-0.0168818j -0.00606035-0.0015463j 0.000619423-0.00485729j -0.00738756+0.00195786j -0.00361262-0.00745809j 0.00836143+0.0144813j -0.0120551-0.0141295j 0.00170149+0.020341j 0.00699588+0.0091024j -0.0044555+0.00827213j -0.00931896-0.0143249j 0.00127918+0.0103643j 0.00493704+0.0291103j -0.00436943-0.0011469j -0.00154474-0.0108139j 0.00107567-0.00606233j 0.00466941+0.0114604j 0.00316559-0.0304497j -0.00231368-0.00783323j -0.00597212-0.00484652j 0.00853094-0.0391585j -0.00125618+0.0256985j -0.00050472-0.0207158j -0.00218304-0.0079186j -0.00224516+0.0109646j -0.0141252-0.0395446j -0.0126416+0.0128765j 0.0131189-0.00351879j -0.00579797+0.0457457j -0.00312054-0.0229232j -0.00165104+0.0976901j 0.0252649+0.00544919j 0.0168609-0.0354799j 0.00462367+0.123967j -0.0328017+0.0326033j -0.0284458-0.0576497j -0.0119551-0.147561j -0.11565-0.00739176j 0.0121584+0.340189j -0.0502781-0.19775j -0.0167504+0.12384j 0.0491654+0.11461j 0.04746-0.0658701j 0.0190347+0.0963151j 0.00304879+0.0227573j 0.0301291+0.0050474j -0.0157449-0.053064j 0.0102607-0.049326j -0.0158498-0.00126758j -0.00474184-0.0161125j 0.00211193-0.00157888j -0.00262359-0.433266j 
-0.00292834-0.0243127j -0.000743586+0.0126735j -0.00214482+0.00851702j -0.00240415-0.0236551j -0.000773284+0.0144545j 0.0048133-0.00805054j -0.00328521-0.0353041j -0.00280128+0.00921735j 0.00515369-0.0212047j 0.00109133+0.0202288j 0.0091161+0.0302156j 0.00435168-0.022817j 0.00521081+0.00892555j 0.00853045-0.0115634j 0.000518224-0.0347053j 0.00176669+0.0103577j 0.00772541+0.00358648j 0.00591941+0.00689552j -0.00395709-0.0143432j 0.00388717-0.0158313j -0.00382114-0.0114403j -0.00468309+0.0105816j -0.00145042+0.0239525j -0.0073336+0.0274021j 0.00361207-0.014269j 0.00747043+0.00782424j -0.00633541+0.00880292j 0.000172441-0.0134353j 0.00240182-0.00513977j -0.00477504+0.00329151j -0.0028335-0.0136485j 0.00403748+0.000673852j -0.00187595-0.0119695j 0.00500715+0.0002058j -0.000329558+0.00469666j 0.00153926+0.0254217j -0.0094802+0.0366038j 0.00817077+0.00276945j 0.00398417+0.00556842j 0.00108613-0.0112682j 0.00195574-0.0309639j -0.00101534-0.0178066j 0.000877668+0.0193649j -0.00491006-0.0307975j 0.002891-0.0160702j -0.00282259+0.0214038j 0.0026668-0.0284709j -0.0071264+0.00299116j -0.000697886+0.00884775j -0.00175494-0.0164144j 0.000754921-0.0279679j -0.00570911-0.00911599j -0.00348824-0.00179431j 0.00235204-0.0203383j 0.00449214+0.0085921j -0.00270826+0.0113901j 0.00398438+0.00988357j 0.0149858+0.0204965j 0.00200288-0.00341029j 0.00187692-0.0158836j 0.0120569+0.0267344j -0.00379558-0.00404091j 0.00766624+0.0235993j 0.00266921-0.0170764j 0.00132709-0.00106674j 0.00465398-0.0420556j -0.0135226-0.0343576j -0.00769092+0.0279967j -0.0133051-0.0547749j 0.007068-0.0213651j -0.0307931-0.00634274j -0.00281704+0.0603365j 0.0204462+0.052256j -0.0382373+0.00297315j -0.0205757-0.131645j 0.0133621-0.0851652j 0.0420825+0.0109988j -0.0307035-0.379558j -0.113062-0.0634891j 0.0549943-0.119725j -0.0506318-0.0871628j -0.0320175+0.128777j 0.0429442+0.15562j -0.0316148+0.0140089j -0.00226693+0.023981j 0.00167479+0.0748753j 0.0281326-0.0172857j 0.0316348+0.0214792j -0.00508415-0.021604j 0.0182083+0.00603128j -0.00234248-0.433415j 0.00125195+0.000577197j 
-0.0026689-0.0121073j 0.000408271-0.00246399j -0.00378699-0.0185143j 0.000303124+0.00963347j 0.0010109+0.00682398j 0.00601197-0.0023535j -0.0020286-0.00545596j -0.00148682-0.0428211j 0.00664267-0.013843j 0.00296674+0.017745j 0.00810162+0.0120894j 0.00509641-0.0208392j 0.00569845+0.00147938j 0.00317364+0.00328913j 0.000586007+0.0460035j 0.00185728+0.0320075j 0.0078647+0.0172841j 0.00188719+0.00697328j 0.00207884-0.00403842j -0.00651755-0.0290962j 0.00695383+0.0016827j -0.0131808-0.0115133j -0.00326138-0.0183493j -0.00315818-0.0278755j 0.00391522-0.0262284j -0.00349439-0.0295655j -0.00189643-0.0172905j -0.00307279-0.00561152j -0.00180627-0.0133322j 0.00506606+0.0301652j -0.00279018-0.000397068j 0.00646444-0.0203034j -0.0128216+0.0273171j 0.01118+0.0198589j -0.00223422-0.0180835j -0.00322511-0.0483562j 0.00994791+0.0331642j 0.00653086+0.00317411j 0.00645458-0.0234097j -0.0126938-0.00876001j 0.0103567+0.00139158j 0.0103086+0.0470792j 0.00698619+0.0275302j 0.00514195+0.0215635j 0.00234599-0.0173866j 0.00788248+0.00196916j -0.0278668-0.0162394j -0.00058271+0.060976j 0.000278767-0.0865346j -0.00469918+0.0372504j -0.00819247-0.0197795j 0.00129502-0.00653144j -0.0036291-0.00776145j 0.00410824-0.0368747j -0.00701756-0.0109279j 0.0229834+0.0942345j -0.021643-0.133341j 0.0205219+0.0394335j 0.0156301-0.023707j -0.0127613+0.026706j -0.00151269+0.111806j -0.00518166-0.0237404j -0.0371527+0.0490228j 0.023902+0.00232318j -0.0154868-0.0446129j -0.0339168-0.0180508j -0.0121883-0.0298517j 0.11121+0.0648153j -0.0206875-0.0936961j -0.00727544-0.168035j 0.0272101+0.264448j 0.0297495-0.0467975j -0.018606-0.13165j -0.0131074+0.0895962j 0.00672444+0.0678637j -0.0517165-0.0909077j 0.0402186+0.103527j 0.01333+0.0273597j -0.0246972-0.0797521j 0.0395297+0.0264943j -0.0132746+0.0132628j -0.0121887+0.0531923j -0.0199292-0.0484499j -0.00890853-0.0661444j -0.0379358-0.0301633j -0.00880512+0.0255527j 0.0140399+0.00994136j -0.00659474+0.0051257j -0.00339109+0.0135967j 0.00307109-0.399888j -0.00356325+0.000972054j 0.00624627+0.0593373j 
-0.00094186+0.00484134j -0.0047576-0.0128888j -0.00115772-0.0016497j 0.000382534+0.00774532j -0.00270943+0.00349385j 0.00679344+0.034417j 0.00456207+0.0142255j 0.0045901+0.0165965j 0.00514357+0.0328759j -0.00220837+0.0374071j -0.00448393+0.00449521j 0.00911779+0.0225276j 0.00539492+0.00321364j 0.00585336-0.00480336j -0.00656372-0.0145342j -0.00539465-0.000353311j -0.00358034+0.000912957j -0.00667873-0.00820629j -0.0080112+0.0043349j 0.0034254+0.00502228j -0.00615755+0.0246185j -0.00340661-0.0520552j -0.0105643+0.00731607j 0.0038873+0.00693037j 0.00985402+0.01556j 0.00774012+0.00227028j -0.00525608+0.00954505j -0.00628151-0.0133391j 0.00986133+0.00221042j -0.00669473+0.00118425j -0.00088727-0.0161048j 0.0100481+0.0428079j 2.42934e-05-0.0370455j 0.00376555+0.0398689j 0.00812257+0.0118785j 0.00269198-0.00487302j -0.0077962+0.0328036j 0.00128863+0.0175743j 0.011699+0.037072j 0.00873251-0.0479021j 0.00385527+0.0384446j -0.00992639+0.0235053j 0.00336165-0.0138988j -0.0105732+0.0297454j 0.0081167+0.00968087j 0.00464356+0.0325869j 0.00546851-0.111714j -0.0257325-0.0232313j 0.0227952+0.0297715j -0.0167907-0.0427315j 0.00047823-0.0288294j -0.00236779+0.00469453j -0.0170441+0.00832196j 0.0187774+0.0373713j 0.00132839-0.0309277j -0.0275264+0.0398738j 0.0277016-0.0271967j 0.00212146+0.0389115j 0.0397946+0.0761706j 0.0015067-0.0525622j -0.0534329-0.0240735j 0.0100703-0.0123103j -0.0308394-0.0993671j 0.00458297+0.101893j 0.00863757-0.0711476j -0.00166896-0.109348j 0.038363-0.0622369j 0.0164107+0.343207j 0.028699+0.0223642j 0.0654518+0.0668558j -0.102769-0.0206098j 0.0231183+0.121983j 0.0354631-0.00126048j -0.0506021-0.0567382j -0.0277065+0.013153j 0.0207352-0.0949887j -0.00908023+0.0169491j 0.024637+0.0481389j -0.00666003+0.0618705j 0.0179475+0.0730773j -0.0188246+0.0155759j -0.0396384-0.0340973j -0.000988243-0.0450559j 0.0224595+0.0259157j 0.000311451-0.00325282j -0.025789-0.00346579j -0.01053-0.00583131j 0.00852308+0.00492757j 0.0036513-0.362857j 0.0162685-0.0139724j 0.00374555+0.0775646j 0.00778907+0.00106154j 
-0.00954908+0.0246258j -0.0248993-0.0108237j -0.0226188-0.0151767j -0.00989173+0.0157161j -0.0143875-0.0139916j 0.0213415+0.00486569j -0.00825097+0.0183742j -0.0254862-0.012629j 0.0190874+0.00129597j 0.000161287-0.0240342j 0.0266048-0.00368398j -0.000726549+0.0075272j -0.00242093-0.00804221j 0.0366739-0.0058818j 0.0142089+0.0274492j 0.0062085-0.00252148j 0.00972569-0.0187436j 0.0145282-0.0119939j -0.00526011-0.00875277j 0.0048486+0.00238655j -0.0163226-0.00652187j -0.0176486+0.0145428j -0.0146316-0.029713j -0.0350868+0.00783528j 0.0177577-0.00824539j 0.0167223-0.0134067j -0.0294151-0.00761836j -0.00189451+0.00267286j 0.0158065+0.00166387j -0.0158744+0.00118744j 0.00459709+0.0386671j 0.00876914-0.00946926j -0.000821303+0.0197816j 0.0102698-0.0142058j 0.00366197+0.0034947j 0.0106893-0.00795459j -0.047185-0.0262217j 0.0116666-0.0241055j 0.00101306-0.0125885j 0.0255462+0.038772j 0.0143726+0.000438833j -0.000119746+0.00265928j -0.00250427+0.0253653j 0.00636343+0.00458163j 0.00881509-0.0056868j -0.0275437-0.0154445j 0.02537+0.0447902j -0.01958+9.97477e-05j -0.0121976-0.0333722j -0.00153082+0.0225063j 0.0325864+0.0230264j -0.0122564-0.0145248j -0.0296716-0.0489228j 0.00491362+0.00331603j 0.0123094+0.0104988j 0.0049531+0.0179149j -0.00953937-0.0090342j 0.011541-0.0232111j -0.00538067+0.0526728j 0.00300145+0.0251821j 0.0270858-0.0802735j -0.0307478-0.00936091j 0.0274749+0.0271234j -0.0125912-0.0526528j -0.00746675+0.00405655j 0.0594307+0.0230193j 0.00418521+0.114224j -0.0363095-0.0467288j -0.0425396-0.0141228j 0.0279981+0.00685784j -0.0935491+0.0253445j -0.0197958-0.0430058j 0.0320595-0.0409242j -0.115463+0.0337499j -0.0155967+0.0196186j 0.0812935+0.0296226j 0.13523-0.00983956j 0.0551782+0.113862j -0.315654+0.0627721j 0.196201-0.0152135j -0.111849+0.0244335j -0.133654-0.00614003j 0.0520068-0.0224624j -0.092751-0.00295856j -0.00862996+0.00822077j -0.0217888+0.00622085j 0.0669913-0.0469354j 0.0770671+0.0760228j 0.0303709+0.0632756j 0.0960629-0.00277798j 0.00807651+0.15894j 0.0723163-0.06363j 
0.0238722+0.0108279j -0.0112702+0.0242869j -0.00592019+0.0190863j 0.0213281+0.0134504j -0.011726+0.0104811j -0.00229979-0.0200741j 0.0297935+0.0149862j -0.00759725+0.0140117j 0.00690205-0.0108337j -0.0214896-0.00451248j -0.0325571-0.0277859j 0.0103706+0.0121518j -0.0139295+0.0163772j -0.00272545-0.0351579j 0.0302688+0.014179j -0.00740313+0.00568467j -0.00754871-0.0336621j -0.0125775-0.0136202j 0.0188835+0.00766498j 0.00427815+0.00319909j 0.0137023+0.00854495j -0.00502962+0.00601339j -0.016641-0.0334128j -0.0194351+0.0417972j 0.0103208-0.0321673j -0.025784-0.0303145j -0.0033955+0.0104957j 0.00756271-0.0139475j -0.00730683-0.0201196j 0.0118941+0.0179443j 0.00925836-0.000278584j -0.013312-0.0112422j 0.00865456+0.0115663j -0.0104539-0.0184321j -0.00333163+0.0289923j -0.0168204+0.0123799j -0.0179364+0.00380688j -0.0106552-0.0188137j -0.00845531+0.0199459j 0.0162614+0.0319095j 0.0185044-0.0205355j 0.00652742-0.0222845j -0.0169667-0.0109275j 0.0306087+0.0142446j -0.00209485-0.0359406j -0.0157189+0.00939742j 0.0266195-0.000121298j 0.0144395+0.0316213j -0.00325448+0.00540667j 0.0200502+0.0193475j 0.0297142+0.0220243j 0.0143287+0.000427225j -0.00565257-0.0427847j 0.00316147-0.0251916j -0.0146201-0.0383241j -0.00049002+0.0320554j -0.0341454-0.0712227j -0.0373352-0.0622822j -0.0169191+0.0187009j 0.00788683-0.0178007j -0.0193507-0.0134977j 0.00302572-0.0284436j -0.0347493-0.00995032j 0.00387939-0.0366796j 0.00227458-0.0366402j 0.0487245+0.0419879j 0.0577059+0.110538j -0.0254741+0.0847481j 0.0435124-0.0341901j -0.0137348-0.0178044j 0.0546973+0.0306782j -0.0497545+0.0652931j -0.0706519-0.021945j 0.0379003+0.0235286j 0.135101-0.0174404j 0.0521292-0.0479523j -0.0328888-0.0181712j 0.335497-0.0611366j 0.127641+0.0840034j 0.0421284-0.0874646j 0.111351+0.0189325j -0.0746278+0.0476525j -0.162721-0.0105156j -0.000313603-0.00489168j -0.00955708-0.013137j -0.0633619+0.024469j 0.0207194+0.0397317j -0.0575322+0.142535j 0.0912601-0.01084j -0.039142-0.0371699j 0.0622705-0.06656j -0.0164086-0.152199j 
0.00892154+0.00490769j -0.0159322+0.00376649j -0.0145207+0.00725427j 0.00982649+0.00542759j -0.0126065-0.00269452j 0.0147059+0.00405608j 0.0142869+0.00582771j -0.00971506+0.00742867j 0.0186649-0.00727669j -0.00336458+0.0160601j 0.00543245+0.000970929j 0.0125136-0.00601584j 0.000564543-0.0337199j 0.00944557+0.00709603j 0.0128289-0.029908j -0.00667768-0.0120075j 0.00456452+0.0457973j -0.0037849+0.0156666j -0.0139499+0.00505963j 0.00620372+0.00780593j -0.00397192+0.0106881j -0.0130143+0.00359119j -0.00516034+0.109106j -0.0169169-0.0386532j 0.0105905+0.0433638j 0.0219034+0.0365644j -0.0101429+0.00485573j 0.00862817+0.0416624j 0.0171372+0.0235836j -0.0158195-0.0102769j 0.0148868-0.0209969j 0.023247+0.0133926j 0.0224009-0.00948496j 0.00597479+0.023583j -0.00340476-0.0510036j -0.0306309-0.0168163j -0.0241139+0.0418452j 0.00687178+0.0238943j -0.00147971-0.0380891j -0.0121004-0.0853285j 0.0258616+0.0239584j 0.0286033+0.048129j 0.00559492-0.0112323j 0.00572559+0.00678879j 0.0175638+0.0532534j -0.00562754-0.00148822j 0.026468-0.0375886j -0.00495889+0.0135671j -0.0309571-0.0259789j -0.00156999-0.0630926j -0.00218224-0.0493118j -0.00983095+0.0377935j 0.00873396+0.121737j 0.0168497-0.00254818j 0.0141195+0.045249j -0.0296109-0.0490621j 0.0251518+0.0909382j 0.0152954+0.0319783j 0.0384093-0.115432j 0.0354582-0.00239784j -0.0154698+0.0923052j 0.0306877+0.0405352j 0.0412338+0.0559718j 0.0485847+0.0483756j 0.00359596+0.0169465j 0.00822454-0.0802271j -0.0279416-0.249031j -0.0132799-0.0948905j 0.0381251+0.0676951j 0.0258593-0.000114823j -0.0169764+0.0452735j -0.0710113-0.0563394j -0.00537532+0.0255127j -0.0265777+0.0448317j 0.0469014+0.0627737j 0.0716264+0.0272556j 0.00324271-0.0544239j 0.212587+0.00868365j -0.0408007+0.0337939j 0.1288+0.0184042j 0.0162036+0.0173899j -0.106657-0.00664042j -0.0617091+0.0198379j -0.0352401+0.00462235j -0.0105716+0.00152133j -0.058859+0.0330433j 0.0303277-0.0305557j 0.000322937-0.320057j 0.0502274+0.0100545j 0.0225296+0.0516163j 0.0372987-0.000876354j 0.0176345-0.0606161j 
0.00707707-0.00777093j 0.00206854-0.00171656j -0.000889672-0.00984138j 0.00591017-0.0162315j -0.00319023-0.00628597j 0.00199166+0.0170788j 0.00875719+0.000113701j -0.00195652-0.00490316j 0.00686623-0.0149651j -0.0100972+0.00488692j -0.00144086+0.0312282j 0.0118144-0.00289158j 0.00318498-0.00830218j -0.00639897+0.000688192j 0.0190098+0.00461492j -0.00317473+0.00716936j 0.000487382+0.0309086j 0.00088218-0.0249989j 0.00196517-0.0748596j 0.00883731-0.00760288j 0.00723874-0.0252034j 0.0213201+0.0222252j -0.0153696+0.00136445j 0.00663865-0.00301604j -0.0250091+0.00218501j -0.00498119-0.00686402j 0.00614732+0.00145282j 0.00685727+0.0250096j -0.00200119-0.0114029j 0.00755922+0.033726j 0.0331134+0.0517752j -0.0167715-0.00446805j 0.00917699+0.0269592j 0.0065384+0.0651929j -0.00496252-0.0306729j -0.00544782-0.0906403j -0.00371252+0.0343468j -0.0118007+0.00445998j -0.0131922+0.00914802j 0.0157159-0.00691055j 0.0130189+0.0189592j 0.0217501+0.00894649j 0.00239631+0.123674j 0.0100034-0.103995j 0.0131988+0.0235993j -0.0119003+0.0518962j -0.001727+0.0257773j -0.0133549-0.0901174j -0.0348394+0.00634274j 0.0241715-0.0135537j 0.00196044-0.0980233j -0.024162-0.017085j -0.00943568-0.0688708j 0.017204+0.0384372j 0.00693149+0.0812264j 0.0484311-0.0133649j 0.00127896+0.0949586j -0.0144184+0.154927j 0.0447011+0.17042j 0.00755649+0.0861466j -0.0731227-0.155678j -0.029698+0.0494156j 0.0387554-0.0386451j -0.0583534+0.0137776j -0.0020993+0.0768658j -0.0238013-0.165336j 0.060254+0.0534363j -0.0240744-0.0412902j -0.0384331+0.00576117j 0.0122876+0.00888522j 0.0427587+0.0303801j -0.0235952-0.0808125j -0.0438379-0.0379707j 0.0485955+0.0546655j -0.00353743-0.0558372j 0.0066464-0.0796376j 0.00510366+0.0379246j 0.0906312+0.0218133j 0.0738249-0.0104281j -0.00382035+0.0224581j 0.0210178-0.0296832j -0.0141221+0.0013022j -0.075502+0.00223786j -0.000257463-0.0120712j 0.00339529+0.026049j -0.00596401-0.0237991j -0.00604052-0.334315j -0.0238736+0.0394173j 0.0270679+0.000463049j -0.0214938-0.0316872j 0.0139416-0.0283557j -0.0114924+0.0148153j 
0.00279014+0.0113952j 0.00346578-0.00910667j 0.00631771-0.00748731j 0.00490979+0.00431502j -0.000905236-0.00774483j -0.00525288+0.00831852j 0.0117205+0.0141768j 0.0106989-0.00516588j 0.000698546+0.0318734j -0.00684551+0.0190938j -0.0265626+0.0142213j 0.0144444+0.0300872j 0.00630405-0.0128254j -0.00829602-0.0239501j 0.000607691+0.0309948j -0.0123398-0.0221019j -0.0159413-0.0245549j -0.00509845+0.024519j 0.0039292-0.0226287j -0.00343663+0.0445801j 0.0154312+0.0395248j -0.0106811+0.0137981j 0.0030418+0.0373371j 0.0237478+0.0641866j -0.0134288-0.0128817j 0.00532591+0.0708198j 0.0132461+0.025043j -0.0139071+0.0318894j 0.0142334+0.0546046j -0.00725169-0.0336949j 0.00218775+0.0916375j 0.00419886+0.0527113j -0.00275016+0.00668767j -0.0200785+0.0168055j 0.0192036-0.0147106j 0.0276246+0.0278335j 0.00445451-0.0584787j -0.00208688-0.0127373j 0.0123336-0.0224226j 0.00547291-0.00645338j -0.00272399+0.051414j 0.00905616+0.0866902j -0.0300797-0.0106162j 0.0320727+0.0398436j -0.0154345+0.0803672j -0.00670521-0.0217802j -0.0138599-0.0119968j 0.0177917+0.00855095j -0.00424201-0.160552j -0.0145633+0.00518038j 0.0384426-0.0173403j -0.0206867-0.0359596j -0.00328367-0.0155211j -0.00306428-0.000418711j -0.0113909+0.0269749j -0.00254781+0.091791j -0.0180259+0.0236258j -0.072915-0.0498691j 0.00269647+0.115953j -0.0282603+0.0387254j -0.00432232-0.0341629j -0.000715301-0.0722215j 0.0501108+0.262624j 0.0100649-0.108192j -0.0372238-0.102207j 0.0675884-0.0339965j 0.0160765-0.0331116j 0.0529343-0.00806756j 0.00454033-0.0797827j 0.0211081+0.091342j -0.021378-0.015007j 0.0370419-0.0176512j 0.0240189+0.0224946j -0.00302683+0.00358423j 0.00188453-0.0514528j 0.0252753+0.0488118j -0.0584951-0.0269888j -0.0113042+0.00857034j 0.104987+0.0577811j -0.0676535+0.00946326j 0.0406173-0.00784608j 0.00940833-0.00239624j -0.0149994+0.00646873j 0.0522839+0.0060759j 0.00325067-0.0377029j -0.00796876+0.303295j -0.0186655-0.037511j -0.00843055+0.0296384j -0.00927161+0.0153166j -0.0171626+0.0590371j 0.000688619+0.0189933j -0.0200857+0.018049j 
0.00394423+0.0106228j -0.0028912+0.00800336j 0.0071971+0.00854982j -0.006956-0.0168186j -0.00584328-0.00933483j 0.00160174-0.0115683j -0.000672924-0.00179602j 0.00387163+0.0130699j 6.35665e-05+0.00359651j -0.00844107-0.0155289j -0.00680912-0.00515869j -0.00171717-0.00605851j 0.00449167+0.0227442j 0.000966268-0.0243455j -0.0036822+0.0199886j 0.00710627-0.00827921j -0.015863-0.0279024j -0.0106294-0.0172095j 0.0026569-0.0546928j 4.40305e-05-0.0122839j -0.0108559+0.000471725j -0.00492471-0.0624393j -0.0245214-0.0248271j 0.0154555+0.0561015j -0.0117922-0.0534776j -0.0266661+0.059147j 0.00690568+0.0379133j -0.0190774-0.0177512j -0.011363+0.0069012j -0.00303705-0.0310805j -0.00603481+0.00446019j -0.0146523+0.0356298j -0.0253032+0.0117034j -0.00891279-0.0392077j 0.0209691+0.014254j -0.00582526-0.0486897j -0.0211109-0.0311425j -0.0203033-0.0208j 0.0306977+0.0624255j 0.0395249-0.0527445j -0.0182579-0.00888929j -0.0433793+0.00796062j 0.00594647+0.00330451j -0.0186592-0.0274669j -0.0506045-0.0892818j 0.00544529+0.0244272j 0.0222327+0.126009j -0.0310319+0.0232872j 0.055776-0.0411148j -0.00474726-0.00230946j 0.0175408-0.0200253j -0.020433-0.0805843j -0.0537176-6.59041e-05j -0.00670518-0.0394198j -0.0089031+0.0108703j -0.0241776-0.133508j 0.0254245+0.0328591j 0.0252043-0.0244014j 0.0517261+0.128855j -0.00328242+0.0664883j -0.0360264+0.0658294j -0.0105378+0.10122j -0.0608637+0.14396j 0.0351533+0.196988j 0.0333663+0.0170115j 0.0275601+0.118356j 0.097086-0.034193j -0.026499-0.00680447j 0.0359001+0.0631539j 0.00230907-0.0739472j -0.0527828+0.0342108j 0.00596777-0.0926445j 0.0225759+0.0452272j -0.0269629-0.0136923j -0.00929757+0.00870402j 0.00305572+0.027416j -0.00655425-0.0261964j 0.00146751-0.0536138j -0.0228439+0.000276927j -0.0296793-0.0152178j -0.0309124+0.00721085j 0.0136505+0.0368726j -0.00199629-0.0290485j 0.0125607-0.0306349j 0.014423-0.252575j -0.0276921-0.0525193j -0.0133212-0.023047j 0.0304392-0.00388813j -0.00115859+0.0930824j 0.0107551+0.0427158j 0.000299817-0.026234j -0.00305544-0.0129947j 
0.0144843-0.0054538j 0.00636721+0.0119181j 0.00825836-0.0185289j -0.00676641+0.00860691j -0.0079285-0.0195542j -0.0162281-0.0215726j 0.00107862-0.00564364j 0.0137851-0.0420428j -0.0143069-0.0210684j -0.0339057-0.0273716j -0.00819022+0.0130861j 0.000470934-0.0188453j -0.0125226-0.0107451j -0.00324752+0.0139138j -0.0132931+0.0334016j -0.0162877+0.0120822j -0.000200177+0.0195147j -0.00582686+0.0184483j 0.00484623-0.010938j 0.0230245-0.0257458j -0.0167229-0.0109935j 0.0509038+0.0340963j 0.0056344+0.0288747j -0.00382545-0.0284639j 0.0206103+0.0028848j -0.0129894-0.0465565j -0.00791251+0.00272378j 0.0374255+0.0414427j -0.0112083-0.00761039j 0.000870149+0.0046592j 0.0136749+0.0197758j -0.0223312-0.0152326j 0.0268685+0.0161985j -0.0301211-0.0168009j -0.00549775+0.00423554j 0.0243545+0.0337478j -0.0299965+0.0205628j -0.0136624+0.0222915j -0.0242159-0.0315172j 0.0383639+0.00691808j -0.00430095+0.0379768j -0.0456618+0.0378181j 0.0172505-0.000317713j -0.0417712+0.0404914j 0.0212982-0.00473075j -0.0174173-0.0339369j 0.0834929-0.0238211j -0.0255872+0.0123421j 0.0355428-0.0129328j 0.0203567+0.00671287j 0.0083792+0.0599179j 0.0286385-0.00860306j -0.012979+0.00175779j -0.00157407-0.0318234j 0.0409583+0.0431665j -0.0751523+0.0573592j 0.0960471+0.0184403j -0.060106-0.0363169j -0.049816-0.0960489j 0.0191723-0.0485804j -0.085512+0.00744009j 0.0274997-0.0203908j 0.00458964+0.0751383j -0.0921463-0.00564511j 0.0693884+0.00097071j 0.0461039+0.020699j 0.0800153-0.0567295j -0.231473-0.0198763j 0.0296796-0.0726025j 0.0513848-0.0587058j -0.113422+0.0950359j -0.0441441-0.0294774j 0.0387969-0.0357476j 0.0165005+0.0447106j -0.0431132+0.0218718j 0.0757298-0.015055j -0.0673844+0.0237797j 0.010526+0.00502963j 0.0757203-0.00636344j -0.0901518+0.0291859j -1.56858e-05-0.0273287j 0.00603865+0.00357069j 0.0180958+0.0872631j 0.0341662+0.0327513j 0.124542+0.0144511j -0.00839776+0.0197626j -0.051177+0.0184297j 0.00769365-0.0311853j 0.0464565+0.098806j 0.013327-0.159888j -0.00499241+0.000549873j -0.024196+0.0249789j 
