-0.0174749-0.0951489j -0.0290077+0.0344049j -0.0534939+0.0841663j 0.0616521-0.0672151j -0.0211471+0.0761826j 0.0545159-0.0706049j 0.0613748+0.0226527j 0.0460691-0.100016j -0.0675218+0.0987224j 0.0374414+0.017547j -0.0106372-0.100014j -0.056337-0.0718458j 0.139602-0.0734755j 0.00612661+0.0451666j 0.284886-0.186695j 0.103035+0.0432411j 0.175503-0.225721j 0.0120027+0.116245j -0.0715756+0.0345553j 0.0427661-0.0455127j 0.0641071+0.00887815j 0.0486845-0.041452j -0.038738+0.0880354j -0.086847+0.0291731j 0.151935-0.173043j 0.0954626-0.000507526j 
0.0186291-0.0399012j -0.00949657-0.109468j 0.0106213-0.0867489j 0.0638258-0.103351j 0.00591876+0.0286532j 0.0257485+0.0366153j 0.0606103-0.027735j 0.0577136-0.0242263j 0.00252498+0.0290511j -0.0411243-0.0921994j 0.091147-0.031722j 0.118327-0.120062j -0.0345984+0.0838572j -0.0398504-0.00189626j 0.0257093+0.200022j -0.277976+0.227719j 0.181739-0.00946415j -0.186801+0.118184j -0.0297769+0.0214094j 0.0268327+0.00650261j -0.0829763+0.106013j 0.0039829+0.00761829j -0.0640405+0.0399904j 0.0371649-0.0863606j 0.109175-0.000619148j -0.152654+0.159882j 
0.056881+0.0516894j 0.0222346+0.039245j -0.0346382+0.0254467j 0.0699052+0.0201238j -0.0721152-0.0443185j 0.0446665+8.05324e-05j -0.0394512-0.0455738j 0.0172636+0.0358869j 0.0368094-0.0265917j 0.0684604+0.0549955j -0.0289721+0.0303991j 0.0118834+0.0738685j 0.0393108-0.00395952j -0.0441113-0.0370309j 0.0677-0.0894586j 0.0305214+0.0373183j 0.0529435-0.0137506j 0.0132238-0.0185836j -0.00988048+0.0150263j 0.0230632-0.00840867j 0.00669176-0.0625316j 0.0014925-0.0133636j 0.049182-0.0168107j -0.00726046-0.0634521j 0.0320714-0.0322439j -0.0232159-0.0677891j 
0.0656698+0.046473j -0.0579579-0.0399672j -0.0212563-0.0394974j -0.0490885-0.0456135j -0.00521664-0.0179399j 0.0716185+0.0848011j -0.148346-0.0620863j 0.0477002-0.0136119j -0.0221516+0.0473732j 0.0260503-0.115949j -0.0389547+0.0152826j -0.13449+0.00846249j -0.0273767-0.0606314j 0.038712-0.0246673j -0.0647087+0.0554697j 0.118869-0.0656243j -0.0446579+0.0986771j 0.0623372-0.0362501j -0.0211962+0.0238235j -0.00957888+0.0172104j 0.0319697-0.00376636j 0.0331402+0.00945489j 0.0222315+0.00943961j 0.00213873-0.028458j -0.0189423+0.0696245j 0.0318165-0.0126091j 
-0.0526815-0.0446306j -0.026874-0.00981912j 0.00951121-0.0405869j -0.00438836+0.164885j 0.0677875+0.0830482j -0.0119068+0.0705588j 0.0466098+0.0200307j 0.0324486-0.0806149j 0.0150246+0.0856724j -0.057135+0.0576143j -0.0530931-0.119382j -0.173943-0.120892j -0.0863843+0.00216745j 0.18224-0.0673914j 0.0375397+0.125405j -0.234911-0.204226j 0.0827163+0.0881948j -0.0645244-0.00752755j -0.0771831-0.0429247j -0.00922561+0.0313808j 0.04425-0.0191488j 0.0313121+0.0278047j -0.00553159+0.0696481j 0.0769285-0.0116429j 0.0238528+0.00237113j -0.0216302+0.0142101j 
-0.0576474-0.0262058j 0.00892982-0.0363458j 0.100276-0.0248899j 0.0042294-0.137334j 0.116528-0.0762934j -0.0259264-0.00232383j 0.07126+0.0843926j -0.0502805-0.0126526j -0.0576844-0.0385417j 0.0596501-0.101444j 0.0724094+0.00222908j 0.0124842+0.00494684j -0.00668254+0.064184j -0.0302693+0.100345j -0.167491+0.178124j 0.0764618+0.123628j -0.122529+0.0753498j 0.0425802+0.036882j 0.0368259-0.00547258j -0.0318101+0.00415546j -0.0554575+0.0830803j -0.00181319-0.00219226j -0.013311-0.0142651j -0.0158722+0.027065j -0.0599451+0.0831909j 0.0328464+0.0857738j 
0.0399911-0.0467709j 0.0869661+0.0141349j 0.13432+0.0625843j -0.0995008-0.0871499j -0.201904-0.0331283j 0.0894738+0.0930531j 0.166923+0.0259338j 0.0129986-0.0229204j -0.00745908+0.0866287j -0.0377917-0.0101041j -0.010653-0.109289j 0.30619-0.248651j -0.0348657-0.24514j 0.102666+0.241365j 0.0363788-0.0625407j 0.0337957-0.277567j 0.108359+0.0114654j -0.0894294-0.0102084j 0.0512262-0.0600629j 0.00825674+0.0213132j -0.00297255+0.0543977j -0.00497809-0.00842195j -0.0506277+0.0121285j 0.0285356+0.0952911j -0.0146615-0.00411365j -0.00484904+0.0399801j 
0.00637499+0.0307602j -0.115225+0.0391486j -0.0342372-0.0169359j -0.0297539+0.0332242j 0.13148+0.0168111j 0.0785315-0.067765j -0.0387795-0.00893535j -0.0237614-0.095963j -0.112284-0.138775j -0.255976+0.0455622j -0.11746+0.311726j 0.223571-0.00087081j -0.119627-0.0343381j -0.0323802-0.0885867j -0.0288792-0.205214j -0.183476-0.040223j 0.0689425-0.0875453j -0.0808648-0.0852727j -0.028712-0.00806483j -0.0461544+0.0158169j -0.0576117-0.0626349j -0.00329442+0.012488j 0.00705332+0.00920398j -0.00612495-0.0254134j 0.0648-0.0410467j -0.0794683-0.0929296j 
-0.0198548+0.0305578j 0.0704157-0.0223846j -0.0782474-0.0843442j 0.0327385+0.123178j -0.0954104+0.0959647j -0.14131-0.0498969j 0.0624851-0.166634j -0.0207653+0.00561922j -0.26843-0.247447j 0.00314554+0.138341j -0.12076+0.145559j 0.161558-0.192565j 0.142134+0.042505j 0.0646056-0.0770123j 0.159395-0.154366j 0.0535732+0.0216565j 0.0975811-0.0995928j -0.030737+0.00564019j -0.0974098-0.0718264j -0.0153768+0.0139233j 0.0267539-0.022838j 0.0343745+0.0540577j -0.105738-0.00689591j -0.01096+0.0513061j 0.0413517-0.0184976j 0.0364722-0.0153083j 
0.0199066-0.0678846j 0.0614622+0.0289794j -0.0182032-0.0171039j -0.00481034-0.0508988j -0.028512+0.00934795j -0.210102+0.0194739j -0.0428236-0.0314482j 0.0886694-0.211548j 0.245861+0.00723517j -0.123536-0.132271j -0.118469-0.28476j 0.125425+0.193637j 0.032469-0.055171j 0.000962661-0.0874227j -0.0714687-0.000488431j -0.184552+0.102738j -0.02377-0.172373j -0.00176557+0.108587j 0.0532232+0.023634j -0.037447-0.045395j -0.0785531+0.028464j -0.0601014-0.0316448j 0.0112259+0.0383642j 0.030172-0.00495994j -0.0284479-0.0752724j -0.0601688+0.029701j 
0.0564179+0.0299076j -0.0148673+0.0728893j 0.119179-0.0869365j 0.0226218+0.0757636j 0.0259037-0.0934139j 0.150334+0.0336236j -0.0219602-0.0187112j 0.21398-0.105103j 0.0431165-0.153955j 0.181914+0.0403882j -0.219251-0.115591j -0.199012+0.0923962j -0.0407575-0.0441057j 0.133761+0.0032046j 0.0183775+0.0410838j -0.0634601-0.0901184j 0.0590487+0.0900453j 0.0129622-0.0458212j -0.0718367-0.0646161j 0.0381043+0.00388202j 0.0528976-0.0134503j 0.0303763+0.0238398j -0.0384245-0.0267109j 0.0200463+0.0352183j 0.00554701+0.0403581j 0.0283015-0.0190991j 
0.094141-0.149514j 0.119803+0.026263j 0.057069-0.0372032j 0.00617901+0.0829981j -0.197984+0.0886394j 0.0979961-0.0978534j -0.104429+0.14642j -0.0192769-0.0793337j 0.0282761-0.280882j 0.248131+0.0934607j -0.0821405-0.0425638j -0.191041-0.0965738j -0.0214445+0.18508j 0.0813439+0.0667299j -0.0698493+0.157532j 0.173592+0.0674616j -0.0695276-0.0236664j 0.0992807+0.0983463j 0.00894775-0.117357j 0.00923883-0.0048019j 0.017963+0.00115698j 0.0221667-0.00377535j -0.0156806+0.00264961j 0.0416728+0.00531577j -0.0706687+0.016313j 0.0524658+0.0882847j 
0.105928+0.042325j -0.0376017+0.1324j -0.0359839-0.0672393j -0.0983089+0.0617506j -0.179546-0.108736j 0.214144-0.332778j -0.0705904-0.0210817j 0.00385255+0.123576j 0.0838447+0.0989063j 0.00331314+0.0659432j 0.241022+0.148011j -0.162162+0.0533141j -0.105942+0.195075j 0.0570416-0.0415926j 0.018666-0.0910948j -0.0118383-0.0221304j 0.0430796-0.0690214j -0.0750107-0.0342109j -0.00548313-0.0274433j 0.051137+0.0280866j -0.00508361-0.0308684j 0.00954056-0.000840476j -0.0211-0.0236085j -0.00454322+0.00744111j 0.0358453-0.0225653j -0.0162833-0.0419632j 
0.0726134+0.0221671j -0.086698-0.0435276j 0.0328055-0.0641102j -0.258735+0.0238506j 0.00683809+0.180284j -0.0345192-0.213683j -0.12307-0.0955778j 0.174135+0.18225j 0.170183-0.292704j -0.205695-0.00459697j 0.0210197+0.0122591j 0.0817779+0.000161381j -0.00988935+0.060248j -0.0105054+0.0393442j -0.107235-0.153132j 0.0912222-0.0468327j -0.0732934-0.0329724j 0.0220873-0.0115002j 0.104231-0.0480696j 0.00531983-0.0305942j 0.018988-0.0163595j -0.03905+0.00112625j -0.00125482-0.043155j -0.0141808+0.0202538j -0.0374526-0.013013j -0.0115986-0.0110183j 
0.129139-0.150379j 0.0969061+0.0596179j -0.0274267-0.0228317j 0.0164709-0.0543361j -0.162366-0.0566248j 0.188052+0.109906j -0.208506+0.18378j -0.146138-0.310424j -0.0654228+0.0729488j 0.120684-0.0687923j -0.165671+0.119859j -0.0536278+0.0471284j -0.159648-0.0961286j -0.0440461+0.00161207j -0.0817825+0.0582782j 0.0579091+0.032186j -0.103746-0.0789002j 0.0643151+0.00149312j 0.0362656+0.0234231j -0.000324541-0.0124618j -0.00680802-0.0145338j -0.0182973-0.0232066j -0.00901985+0.0142442j 0.0289974+0.00854398j -0.066206-0.0247587j -0.00597052+0.0308278j 
-0.0212564-0.0276951j -0.0163362-0.0134169j 0.0297717-0.280801j -0.170111-0.144604j 0.0855191-0.136696j -0.166675-0.139355j -0.0406732-0.214492j 0.0778048-0.168495j -0.227465+0.111584j -0.153205-0.285125j 0.0884251-0.00937102j -0.0961934+0.028723j 0.0108035+0.0321816j 0.196292-0.061752j -0.136403+0.0666043j 0.0516603+0.02556j -0.111138+0.0139388j 0.0211047+0.0449156j -0.0243325+0.00976826j -0.0414793-0.00481104j 0.0434187-0.00451944j 0.0161813+0.0146521j -0.0357782+0.0385997j 0.0504843-0.0121664j -0.051155+0.0111169j 0.0269854+0.0337743j 
0.0163655-0.147014j 0.113693+0.106804j -0.0307255-0.0182199j -0.0308395+0.0571015j -0.12661+0.0558104j -0.039187-0.0146843j 0.0810431+0.142587j -0.170299-0.144061j 0.0658358+0.143026j 0.00816876+0.0670569j 0.0139712-0.080641j 0.016346-0.0832422j -0.0606382+0.014236j 0.071614+0.0163807j -0.0559237+0.0633752j -0.119492-0.0559388j 0.0125623-0.0358931j -0.0414029+0.0579857j -0.0167846-0.0299142j -0.0262168+0.00842317j -0.0586993-0.00191957j -0.00119983-0.00842806j -0.0163626+0.0552782j 0.0388511+0.0137913j -0.00945244-0.026219j -0.0322273+0.0110989j 
-0.0240494-0.0055012j -0.0590022+0.0378909j 0.217788-0.01395j 0.0648273-0.163687j 0.164188-0.226824j 0.163293-0.0812551j 0.111411+0.0378807j 0.163256-0.0809537j -0.0359495-0.138838j 0.0692879-0.0668479j -0.0269837+0.00237401j 0.0605423+0.122927j -0.037628-0.00170897j -0.00488354+0.132366j -0.0292667+0.0183709j -0.0749943+0.110143j 0.0508616+0.00658995j -0.0365963+0.00572378j 0.0192389-0.0351781j 0.0284926-0.0193061j -0.0244058+0.0265863j -0.00975017-0.0192336j 0.0100989-0.0452051j 0.00064989+0.00428147j 0.0128816-0.00926774j -0.0281952+0.0208323j 
-0.0586584-0.0204455j -0.0473319-0.100451j -0.00395553-0.0284231j -0.0380073+0.0336769j 0.157594+0.105629j -0.0853985+0.00284551j -0.00571602+0.0324901j -0.0325065+0.0512169j -0.0309435-0.093768j -0.122377+0.00867335j 0.0244192+0.0827256j 0.0215397-0.0276709j -0.0526443+0.0853579j -0.051735-0.0305942j -0.08349+0.0799494j -0.0946654+0.0485659j -0.0787919+0.0526359j -0.0133533-0.0140576j 0.041558-0.00217953j -0.0199398-0.00364217j -0.00483132+0.00344169j -0.0308405+0.0150892j 0.0119878-0.00674329j 0.0177766-0.0114716j -0.0377812+0.0150553j -0.0336453+0.0309402j 
-0.0112853+0.0905902j -0.0482841-0.0388642j -0.0450883+0.0739849j 0.0408435+0.0656908j 0.0189818+0.0184548j 0.0101467+0.04095j -0.108832-0.033849j 0.0239193+0.077392j 0.0300066-0.0330111j -0.00531647+0.0104949j -0.0230937+0.0331567j -0.0922003+0.0441305j 0.00460946+0.00339604j -0.0151927-0.0672632j 0.0198722-0.0177397j 0.0662123-0.0615842j -0.0359701+0.0168462j 0.0560852-0.0480034j -0.00221058+0.0150584j -0.00770943+0.0147073j 0.0303853-0.0181037j 0.0103533+0.00380326j 0.0338801-0.00652791j -0.00987743-0.0137267j -0.00853535+0.0257572j 0.0356725-0.0254666j 
-0.216825-0.240778j -0.186111-0.00328751j 0.0894808+0.15659j -0.065003-0.0435743j 0.299445+0.14007j 0.0116994-0.0574196j 0.112197+0.195318j -0.0239951-0.12576j -0.045635+0.0685403j -0.152198-0.0402579j 0.0110986-0.0614673j -0.0758658-0.0812394j -0.0177178-0.0377161j -0.0144151+0.10021j 0.0468681-0.0268299j -0.0482909-0.0284611j -0.0100846-0.112437j 0.011142+0.074035j -0.00517675-0.00999996j -0.0127397-0.0374278j 0.0268463+0.019098j -0.000681173-0.0200733j 0.0144985+0.0341973j 0.00341194+0.046159j 0.007189-0.0663336j 0.00744824+0.0238024j 
-0.161975-0.00178037j 0.219009+0.264232j 0.0975358+0.0305219j 0.0993439+0.161435j -0.0391915-0.15158j -0.148511-0.0998281j 0.234292+0.0774299j -0.154146-0.0491013j -0.0330049+0.0183859j 0.0901884+0.184978j -0.0102791-0.0335058j 0.0649434+0.10605j 0.0556995-0.0041885j 0.0722562+0.0438998j 0.0167724-0.105721j -0.0117982-0.0871089j -0.0486367-0.0361284j 0.0283063-0.0265962j -0.0244779-0.0313631j -0.0120684-0.00657503j -0.014004-0.0750612j -0.00917884-0.0108198j -0.02057-0.0415366j 0.0152088+0.0313945j -0.0138121-0.0206627j 0.0115774-0.0584842j 
