-0.0170158-0.112184j -0.0240915+0.160689j -0.0271016+0.0448322j -0.0687612-0.196348j 0.0466138-0.150958j -0.0434013+0.0898245j 0.0169456-0.0133069j 0.0106102+0.179056j -0.00139012-0.0886389j -0.031047+0.114172j -0.0258197+0.059509j -0.0474971+0.0402414j 0.0107334-0.0208632j 0.0159158-0.116967j -0.0198811-0.0547854j -0.0253305-0.0118368j -0.0545537+0.0369884j 0.0337147-0.107747j 0.0924742-0.115202j 0.0101841+0.0955632j 0.0285744-0.0634045j -0.013437-0.0525013j -0.0513862-0.0306766j -0.0325944+0.130888j 0.0325842-0.0845918j -0.0307409+0.123341j -0.028044+0.0753226j -0.0117187+0.0152123j -0.0128024-0.00484065j 0.00915185+0.0151552j -0.0199353-0.0535849j -0.0260406-0.0188366j -0.0164007-0.0938141j -0.0447129+0.015057j 0.0924294+0.0487186j -0.0694448+0.197722j 
0.0134033+0.0393321j 0.0169688-0.0678025j -0.0815272-0.0114638j -0.0416995+0.0557313j 0.00543556+0.0562404j 0.0453314+0.0172392j 0.00859633+0.0670426j -0.00732581-0.0362553j 0.0110033+0.042993j 0.0418433-0.0694931j 0.00118126-0.0541287j 0.0377213-0.01789j 0.00158292-0.00519518j -0.00937814+0.0559327j -0.0108117-0.0116756j 0.00689985-0.0454749j -0.0142166-0.00628418j -0.0268482+0.0313078j -0.00243959+0.0425397j 0.0108168-0.0302068j -0.0118628-0.000983216j -0.0174203+0.0446043j 0.0067846+0.000850545j 0.00761366-0.049872j -0.00228335+0.0379024j 0.0115286-0.0327848j 0.00661407-0.0211866j 0.0179209+0.00800176j 0.0194193-0.021342j 0.0181902+0.0066902j 0.0101406+0.0111829j -0.0165174+0.0177709j 0.0197859+0.0340455j 0.01367+0.0192648j -0.0115195-0.0157101j 0.0289261-0.0669443j 
-0.0530973+0.127404j 0.0395383+0.0221427j -0.0474551-0.140046j 0.157657-0.0419487j 0.0143479-0.112706j 0.012104+0.108671j -0.0387387+0.0845266j 0.0280867+0.0374487j 0.0164357+0.0667874j 0.0711964-0.0164681j 0.109903-0.105693j 0.0122778+0.0614833j -0.0346762+0.0264116j -0.0594171+0.025729j -0.0478371+0.0597822j 0.00818506-0.0291676j -0.00447397+0.0421347j -0.0678802-0.0635771j 0.103202-0.215557j 0.0282546-0.0949601j 0.0628926-0.111483j -0.0702341+0.118032j -0.0432521+0.148302j 0.0417643+0.0603131j 0.00575971-0.0755064j 0.0243605+0.0167196j -0.00185507+0.0364757j 0.0214533+0.0162008j -4.02819e-05+0.00076948j -0.0120315-0.0093577j -0.00397831+0.015889j -0.0266227+0.0573101j -0.0329506-0.0288965j -0.0100287+0.0803654j 0.12287-0.138382j 0.0888978+0.0863477j 
-0.0268135+0.0311085j 0.0251139-0.0320348j -0.011624+0.051507j 0.00474948-0.103846j -0.0265482+0.00996598j 0.0151546-0.0823099j 0.00286084+0.0503533j 0.00936249-0.104961j 0.00762592+0.0114259j 0.0387576-0.0820596j 0.0128736-0.067736j 0.0315536-0.0041344j -0.0239679+0.0557064j 0.0382844+0.00657638j 0.0358874-0.0156575j 0.0542199-0.0495336j -0.0104756-0.0779116j -0.0441785+0.0175659j 0.0523967+0.0579341j -0.0415938+0.021038j 0.0321613+0.00513396j -0.0220478+0.0534178j -0.00147189+0.0301311j 0.0355968-0.0911924j -0.0300965+0.0595563j 0.0325558-0.0704778j -0.00800673-0.0291339j -0.00251769-0.0162513j 0.0347712-0.00715558j 0.00502575-0.00144978j 0.0363184+0.0393105j 0.0376422-0.0100245j 0.0619929+0.028472j 0.0018966+0.0402435j 0.0312053+0.00110528j 0.0331361-0.100086j 
-0.00323246-0.103806j -0.0124342+0.036344j -0.0497231+0.242737j 0.225512+0.0128369j -0.0162598-0.00892487j 0.0240528-0.0791635j -0.0396997-0.0863298j 0.0478478-0.140219j -0.0196343-0.116896j 0.0512157+0.0680673j 0.0332542+0.0610699j -0.0121781+0.0920052j 0.00434406-0.0480788j 0.0368693-0.0690025j 0.0760047-0.056987j 0.0909399+0.0250747j -0.00821895-0.192488j -0.0378139-0.126609j -0.00429048+0.164519j -0.081332+0.0550209j 0.0531434+0.113256j -0.0245451-0.020793j 0.0254045+0.00909227j 0.060065-0.0190701j -0.0106802+0.0514239j 0.0523357-0.00591613j 0.0249041-0.00780534j 0.0163701-0.00543571j 0.0183553+0.0237936j -0.0056745+0.0254605j -0.0198989+0.0440299j 0.0398643-0.0386677j 0.0197821+0.0668403j -0.0707848+0.0133131j 0.0162415+0.0946191j 0.0194098+0.0214795j 
0.0521742-0.019591j -0.101584-0.0326212j 0.333542+0.028701j 0.274361+0.162583j -0.108772+0.0101561j -0.0402847+0.0357525j -0.0600012-0.0323098j 0.0226475+0.0156374j -0.00760689-0.0272527j -0.0307253+0.0872536j 0.0186256+0.0507812j -0.0513067+0.0214747j 0.0139957-0.0208658j -0.017981-0.017653j 0.0318169+0.0641855j 0.0665394+0.100117j -0.0124599+0.0963316j 0.0658239+0.0100044j -0.0885273-0.0723153j -0.0425215-0.103291j -0.00762559+0.0301417j 0.0177426-0.021982j 0.0298473+0.010948j -0.031946+0.080512j -0.0221732-0.0713335j 0.00554823+0.0547114j -0.0117729+0.0400942j 0.013789+0.024651j 0.0250003+0.0169801j -0.0423661+2.38647e-05j -0.035363-0.0315485j -0.0177163+0.0214013j -0.0330376+0.00614476j 0.00370557-0.0568127j -0.0283806-0.0222651j 0.00283142+0.0611814j 
0.00765085+0.163463j -0.0480056-0.0665276j 0.348301-0.196574j 0.214788+0.318772j -0.122541+0.0524139j -0.0456754+0.067039j -0.0564068-0.120181j -0.0183504+0.0478339j -0.0383667+0.0223751j -0.0977844-0.050953j 0.0125219-0.0381114j 0.0422938+0.071298j 0.00506493-0.03634j -0.00480905+0.0200144j 0.0495519+0.0210341j 0.0484882+0.080928j 0.0234995-0.10032j -0.0172319+0.0552285j -0.102888+0.0583944j 0.018457-0.0627036j -0.0468151+0.00798143j 0.0464632+0.0470193j 0.10041+0.0599393j -0.0377831-0.0298003j -0.032572-0.00585901j 0.000542998-0.00353517j -0.00620165+0.0182653j 0.00306904+0.0041062j 0.00538642+0.00315391j -0.0259827-0.00490035j 0.0294763-0.020155j -0.0161681-0.00220505j 0.0111756+0.058291j 0.0347291+0.0150461j -0.0760356-0.0246466j 0.0151811-0.0675532j 
-0.125639-0.0300347j -0.00441157+0.0542066j 0.436838-0.0564285j 0.0190167-0.389574j -0.154971+0.0265342j -0.0873159+0.0126512j 0.0751116+0.0543605j -0.00905176-0.00746694j -0.0408842-0.0314432j 0.0259505-0.0258632j 0.0102075-0.132229j -0.0414739-0.096566j 0.0448164+0.00699292j -0.072422+0.0196319j 0.0290353-0.0729664j 0.0572883-0.0281012j 0.00498809-0.0844944j -0.0241211+0.0481401j 0.0168297+0.00255268j -0.0107416+0.00644577j 0.0871597-0.0248086j -0.0102829+0.0426516j -0.0220645-0.0249382j -0.0114943-0.0488026j -0.0150188+0.0270674j -0.00794157-0.059986j 0.00723252-0.015122j -0.0123667+0.00135991j -0.000287097-0.00822336j 0.0138097+0.0125795j 0.0309307+0.0484216j -0.0190176-0.0241231j 0.0439615-0.00979742j -0.00118266+0.0349428j 0.0227469-0.00366947j 0.00555891-0.0619571j 
0.047979+0.0222699j -0.0648022-0.0382135j -0.0270723+0.348044j 0.354538-0.00525017j 0.00430731-0.170652j 0.0260345-0.0618086j -0.0878388+0.12325j 0.027215+0.0896346j -0.0017648+0.047587j -0.0163992-0.129197j -0.039177-0.0193406j -0.0128965-0.0379005j 0.0105156+0.0385989j 0.0845385+0.00559724j -0.00332875+0.04705j 0.00840167-0.0742875j -0.0740984+0.0929212j 0.0114321+0.0836925j 0.084853-0.149381j -0.0357275+0.0318615j 0.0315537-0.075024j 0.00840267+0.0567107j 0.019222+0.0217705j -0.0492517-0.0378445j 0.0138798-0.0283207j -0.0426059-0.0090132j -0.0378721+0.00939124j -0.0335286-0.0161518j -0.00826343-0.0327258j 0.00209877-0.0179305j 0.0489935-0.034891j 0.0254484-0.0247404j 0.0392389-0.0635428j 0.0353907+0.0268754j 0.00737507-0.0567512j -0.055958-0.0371872j 
0.0733004-0.103596j 0.0386543+0.034144j -0.221572+0.242387j -0.112689-0.354295j 0.04834-0.0530348j 0.0629316-0.0622744j -0.0152506+0.0858455j -0.027303+0.0414888j -0.0106905-0.104257j 0.00926123+0.0398109j 0.0005213-0.0715533j 0.0314848+0.0274691j -0.0153355+0.00398664j 0.00534364+0.00179635j 0.0328664+0.0619735j -0.032847+0.0605531j 0.0113876-0.0261592j 0.009531+0.103504j -0.0968785+0.00299934j -0.0226781-0.0224041j -0.0655335+0.0288615j 0.0336729+0.00672224j 0.00801319+0.0259402j 0.0170457+0.0379418j -0.00857452-0.00949545j 0.0108297+0.00630216j 0.00425788+0.00355497j 0.000455386+0.017003j 0.0126249+0.00711066j -0.00926098+0.021643j -0.0135814-0.0147597j 0.0115628+0.00582808j -0.00765044+0.0188449j 0.038644-0.0202138j -0.0517694-0.0392096j 0.0309233-0.0169456j 
-0.0113933+0.0825314j 0.0115735+0.102784j -0.118857-0.0644289j 0.0345339-0.121782j -0.0574747-0.142451j -0.0182631-0.0218072j -0.0146593+0.0135118j 0.0862523+0.0966719j 0.0611837+0.122034j -0.0389593-0.0367259j -0.0771498-0.0204076j -0.0305039-0.052272j 0.0682388+0.0498355j 0.0432553+0.00634681j 0.0574929+0.0214398j 0.0782096+0.0826295j 0.0860611-0.0422644j -0.0196413-0.00678171j -0.0543397-0.129251j -0.0285733+0.0335998j -0.0471172-0.0674583j 0.0133297+0.0268452j 0.0510616+0.00804932j 0.0257531+0.0140632j -0.069519-0.0511778j -0.0100891+0.0553113j -0.00423443+0.0121782j 0.0124253-0.0115264j 0.00247381+0.00248522j 0.0164057+0.0397032j 0.0151079-0.00557768j 0.0404088-0.00714383j -0.0178708-0.0142352j -0.0185383+0.0255351j -0.0563193-0.0439011j 0.0204653+0.0154517j 
