-0.017902+0.0194856j 0.00104623-0.0807771j 0.00483024-0.00591335j 0.173307+0.0142842j 9.76653e-05-0.142958j 0.0448836-0.125356j -0.207747-0.0711361j 0.0572485+0.00453024j 0.0509942-0.0477645j 0.0131082+0.0174429j -0.0286086+0.15727j 0.014516+0.0728929j -0.00799232-0.100478j -0.0325149+0.0919725j -0.0973441-0.0484996j -0.106845+0.103514j 0.0393723-0.0418758j 0.0486032-0.135884j 0.00981123+0.0610032j 0.0899568+0.0329015j -0.0407204-0.0189027j -0.0190428-0.00567664j 0.0309462+0.0481667j 0.0753899+0.00710671j 0.0187243+0.00566108j 0.0589155-0.0576526j -0.00235117+0.0149336j -0.0259015+0.00524639j 0.00643776-0.00413105j 0.0244205-0.0179709j 0.0517274-0.0610463j 0.0275263-0.06097j 0.0602109-0.00439318j -0.0513907+0.0641474j 0.0104837-0.0297451j -0.0236477+0.0298677j 
-0.0402978-0.0346723j -0.0119858-0.0354798j -0.0869534-0.0381985j -0.101389+0.0249444j -0.0810126+0.00980586j 0.00439636-0.168525j -0.0552251+0.135388j 0.152553+0.129144j 0.171968+0.0235427j -0.0706891+0.16878j -0.0182445+0.0871989j -0.160834+0.114492j -0.0624196-0.0141034j -0.00857699-0.0142429j 0.012485-0.0304794j -0.0118331-0.108653j 0.0851254-0.0117113j 0.0704756+0.163136j -0.0162494+0.0401216j -0.0756986+0.0718775j 0.0519998-0.0422039j 0.0379648-0.0119451j -0.0733316+0.0244065j -0.0483682+0.0582474j 0.0166373-0.00158221j 0.00134068+0.0462155j -0.000915099-0.0162166j -0.000689887-0.0192441j 0.00639523+0.00118891j 0.0272272+0.0213603j 0.0134655+0.0250082j 0.03785+0.0281956j -0.0290077+0.0761161j -0.00765817-0.0531071j -0.039208+0.000830764j -0.0136931-0.00764755j 
-0.0792622+0.0270178j 0.0123301-0.0163957j 0.0630186-0.044757j 0.0398447-0.00156251j 0.0759843+0.0287368j -0.224156+0.0767316j -0.0704353-0.105992j -0.329143+0.120412j 0.182295+0.115024j 0.0146859-0.0284262j -0.0618695-0.0538293j 0.0408776-0.0702227j 0.043052+0.062075j 0.0768575-0.0543202j -0.0319042-0.0646887j 0.0473622-0.074157j 0.0237587+0.117817j -0.112112+0.0251906j 0.0363493+0.0263021j 0.00527863-0.024702j -0.0481443-0.0420885j 0.0215636+0.0321594j -0.0105467-0.0520978j -0.02733+0.0120175j -0.0485141+0.0198621j -0.0494744+0.0125288j 0.01656+0.0022668j -0.00549508-0.0133483j 0.0163243-0.000127407j 0.00544972+0.00654855j 0.00471592+0.0211187j 0.0185789+0.0304679j 0.0200359-0.00471787j -0.00496864-0.0272541j 0.0370638-0.0848541j 0.0234145-0.0146871j 
0.0432344+0.108243j 0.0312878-0.029491j 0.0358466+0.0508469j 0.041587+0.00314212j -0.0147437-0.012977j -0.098296+0.297594j -0.0299235+0.104448j 0.0155601+0.30387j 0.0635225-0.222296j 0.0823425-0.068492j 0.0625782+0.0436769j -0.0292727+0.0461132j -0.0586914+0.100316j 0.152401-0.108321j -0.00770371+0.0795737j -0.0356003+0.0118406j 0.00636536-0.122147j 0.0484462+0.0595593j 0.0444251+0.0583439j 0.0824406-0.0936228j -0.0544479+0.00496914j 0.00317979-0.0149444j -0.01337+0.0234655j 0.0276995-0.0113862j -0.0155212+0.0011743j -0.0198843+0.0406564j 0.022214-0.0163974j 0.00881391-0.00600379j -0.0068725+0.00177378j -0.00066229+0.0122155j -0.012572+0.00447586j -0.0180619+0.0287891j 0.057273-0.0281331j -0.0115041+0.0109072j -0.0613409+0.00442834j 0.0200022-0.0699428j 
-0.0471956-0.073277j -0.0276314+0.00770457j 0.01114+0.030405j -0.0263663+0.0239415j 0.0193981-0.0497563j 0.174374+0.0220211j -0.00999738+0.0264406j 0.104326+0.0144639j -0.026085+0.0021839j -0.125765-0.0370075j -0.0609583+0.0857279j -0.0129202-0.0826919j 0.129145+0.00944585j -0.0572661+0.172299j -0.00226745-0.0832571j -0.0790167+0.0302408j -0.11853+0.0185673j 0.0750014-0.0133733j 0.0603521-0.180334j -0.0699999+0.0643107j 0.0207587+0.0599196j -0.0261577-0.0276024j 0.0221111+0.0257114j -0.0442558-0.00182255j 0.00193042+0.0150894j 0.0129226-0.0323801j -0.00953956+0.0137516j -0.00227178+0.0039032j 0.0158919+0.0214575j 0.013307+0.0189978j -0.00565092-0.00410508j 0.00194679-0.0361771j -0.00472587+0.00435319j -0.00311066+0.0175102j -0.000513702+0.0685602j 0.0273988-0.046957j 
0.0467167-0.0228808j 0.0133428+0.0150086j 0.00763067+0.0563638j 0.0139463-0.00496982j 0.0281772+0.0163017j 0.100638-0.0337471j 0.0565217-0.076196j 0.00160459-0.0847557j -0.0738093+0.107328j 0.0810717+0.0180865j 0.121186-0.0111116j 0.0490805+0.0133543j 0.056305+0.0516192j 0.0295231-0.0995306j 0.10257+0.0913148j -0.00224611+0.107508j -0.0791012+0.0316039j -0.0498773-0.0341736j 0.0249003+0.0461615j 0.0708699-0.0482373j -0.0543654-0.0183633j -0.0245409+0.007724j 0.0229824-0.0259784j 0.00879794-0.0377494j -0.000713542-0.0298615j -0.0233978-0.000987485j -0.0180011-0.0188011j 0.00571845-0.00821609j -0.0154658-0.0022575j -0.0154893+0.0194019j -0.0245913+0.0247833j -0.0326419+0.0377831j 0.0222735+0.00332564j 0.028455-0.00509384j 0.00124984-0.0226495j 0.0075461-0.00207026j 
-0.0412268+0.0925119j -0.0545354+0.0549977j -0.0305028+0.0302166j 0.00823586+0.0278898j -0.0267452+0.180821j -0.183134+0.0570454j 0.199258+0.153459j 0.126991-0.142874j -0.0443184-0.25616j 0.029329+0.0497628j 0.100377-0.0620035j 0.236103-0.0381184j 0.000397113+0.0373595j -0.0831053+0.0591646j -0.0744614-0.0579543j 0.0379921+0.029208j 0.0897988+0.081725j 0.066911-0.00015669j -0.0795965-0.209247j -0.0765942+0.111964j 0.0934403+0.0278837j -0.039313-0.013275j 0.0856823-0.00599533j -0.00846127+0.0504848j 0.0340768+0.0205608j 0.00799006-0.00635263j -0.0463931+0.0205131j -0.0223927+0.0245729j 0.000338251-0.0129029j 0.00198494-0.0304206j 0.0095463-0.0448521j -0.00558873-0.0590766j -0.046646-0.0169008j -0.00157149-0.0476246j 0.0706823-0.00330292j 0.00210445+0.00373358j 
0.0711867-0.0274701j -0.0101013-0.0580145j -0.0688449-0.0835408j -0.0559867+0.0254837j 0.0960882+0.0487858j -0.0700134+0.019114j 0.0230082-0.0686809j 0.0550443-0.0236206j -0.195081+0.0348795j 0.0517882-0.0116026j 0.0123847-0.0889031j -0.181039+0.136956j -0.0170335+0.0379807j 0.16367-0.291428j -0.0184086-0.0981265j 0.16329-0.14984j 0.0237344-0.0557806j 0.0839299-0.080694j 0.0402376+0.226687j 0.0277456-0.0798341j -0.00561573-0.115442j 0.0361762+0.0234737j -0.0940127+0.0340144j -0.0379259-0.0185347j -0.0444369-0.0124293j -0.0679486+0.0403767j 0.0532576-0.0475733j 0.0168358-0.0162545j -0.0406395+0.00783207j -0.0203773+0.0066718j -0.0351795+0.0507647j 0.0171945+0.0462688j 0.00177269+0.0709001j -0.0390676+0.0238494j -0.0437314-0.0451231j 0.0512133-0.0540192j 
0.0311601-0.049397j -0.117685-0.0915589j 0.0370198+0.0281064j 0.0413813+0.0130094j -0.0145155+0.0195842j 0.0535752+0.041614j 0.112656+0.103253j 0.18742-0.0767259j -0.033498+0.00568224j 0.0539093-0.00243631j 0.0567709-0.0658717j -0.120113+0.0268981j 0.124491+0.127636j 0.241853-0.126262j 0.0235459+0.0170876j -0.0622919-0.0662694j -0.288731-0.0524401j 0.0942357-0.0575884j 0.120712+0.0407941j -0.0203625-0.0594363j -0.0686965-0.0291967j 0.0159946-0.0142955j -0.0457564+0.00734507j -0.0119556-0.0314493j -0.0614954-0.00440501j -0.047287+0.0131012j 0.0435324-0.0444815j 0.00898122-0.011727j 0.0211358+0.0269202j 0.0369387+0.0166303j -0.0349552+0.0428797j 0.00616506+0.0687958j 0.0447329+0.0407749j -0.00137525+0.0382085j -0.079344-0.00737808j 0.0240461-0.106193j 
-0.0644662-0.00693207j 0.0471634+0.0445922j 0.00767444-0.0625634j 0.0440488+0.0535215j 0.0149447+0.048268j 0.0875156-0.0224583j -0.120761+0.0143072j 0.082645+0.0304919j -0.0473301+0.131815j 0.0459513+0.0475216j -0.0815725+0.145831j 0.3495-0.372417j 0.00329664-0.0288982j 0.18042-0.283463j -0.038036-0.0872982j 0.0224861-0.358695j -0.0556091+0.0544299j 0.0793181+0.156702j 0.0627585-0.115329j 0.0725822+0.154615j -0.00213766-0.0789237j -0.0423879+0.000912922j 0.134786-0.120873j 0.110185-0.0681456j 0.0461252+0.016572j 0.044957-0.00554444j -0.032132+0.00335615j -0.0443028-0.0084623j 0.00160771+0.0450329j -0.0104673-0.0126601j 0.0299113-0.0150481j -0.0323429+0.0351415j 0.0307585-0.0125845j 0.00390653-0.0675787j 0.0258329+0.00270656j -0.0169954+0.0267052j 
