-0.0175996-0.0686181j 0.00811612+0.0183955j -0.000159523+0.0424277j -0.029679+0.046295j -0.012061-0.0590718j -0.0158942+0.0357751j -0.0655549+0.042207j 0.0179071-0.0375763j -0.0059704+0.0301911j 0.0518271-0.0196689j -0.0311502-0.028613j 0.0149703-0.00884535j 0.0102031-0.0377751j 0.0276392-0.044922j -0.0432161+0.034291j -0.0249528-0.0126614j 0.0172453-0.00545638j 0.0375589-0.038092j 0.00237773+0.00410912j 0.0335898-0.00220479j 0.0241802+0.00256684j -0.0233864+0.0180085j 0.00304954+0.0229627j 0.00207358-0.000796338j 0.0370306+0.00584814j -0.0241347-0.0235321j 0.0489027-0.028752j 0.0251996+0.0106391j -0.019567+0.00742962j -0.00665087-0.00523494j -0.00874238-0.0111303j 0.0537042-0.0887459j -0.0463559-0.0503402j 0.0388554-0.0977571j -0.00199163-0.0312614j 0.00551529+0.0185625j 0.0868219-0.0624311j -0.0808037+0.0569246j -0.0881882+0.0667686j 0.158144-0.101428j 0.114557-0.0580103j 0.0834468-0.0364155j -0.0633683+0.00710274j 0.0322214-0.130943j 0.0357397-0.0243796j -0.0330759-0.131035j 0.208632-0.194958j 0.0916125-0.017701j 0.174505-0.0899326j -0.00911899-0.000312632j -0.0505451+0.105379j 0.0109675-0.0227751j 0.0997921-0.0427435j -0.00708026+0.00232301j 0.0119653+0.00928449j 0.0160933-0.00910514j -0.00905927+0.0291415j -0.0618112+0.0555037j -0.0181325+0.0422504j -0.015454+0.00231368j -0.0344482+0.0173597j -0.0212885+0.00224593j 0.0275077-0.04593j 0.0334447-0.0493969j 0.0185835-0.0300502j -0.0230825+0.127024j -0.122964+0.0518105j 0.0876342-0.137616j 0.113978-0.0586005j 
0.0121984+0.00996109j 0.00755003+0.0730139j -0.0211302+0.0499442j -0.0179777-0.0505616j 0.0110791-0.0145566j -0.0307401+0.0762494j 0.0334644-0.0603099j 0.0148207+0.0155575j -0.0443493+0.00860037j -0.0307869+0.0543347j 0.0397192-0.0100814j 0.00767497+0.0480158j -0.0345914+0.015876j 0.0388365-0.0171511j -0.000561337-0.0458115j 0.0269732-0.0121307j 0.0158375+0.0187556j 0.00948754+0.0410165j -0.0106324+0.0273021j 0.0691103+0.0228926j 0.0132716+0.0451216j -0.0134046-0.0544862j -0.0125623-0.0370674j -0.00947212+0.00839908j 0.00337575-0.0290604j 0.00531184+0.0187329j -0.00783858+0.000101032j 0.0326796-0.0652069j -0.0234565+0.0171912j 0.0389161-0.0200077j 0.0141379+0.0678105j -0.00342955+0.00222221j -0.0205743+0.035242j -0.0573024+0.00132079j -0.00515364+0.0215326j 0.0861688-0.0519894j -0.0671418+0.0129832j -0.0372836+0.0553623j 0.0205866+0.0761168j 0.0215383-0.11053j 0.0399461-0.0851234j 0.0513098-0.1017j -0.0606188+0.0833788j -0.200323+0.120576j -0.00710792-0.00929022j -0.260095+0.183283j -0.0873676-0.0300502j 0.0671394-0.0983537j 0.0483723-0.101181j 0.00838805+0.00927835j 0.123783-0.0553928j -0.0369453+0.0226013j 0.051516-0.075768j -0.00810478+0.00192574j 0.014859-0.0139942j -0.0219611+0.00407117j 0.0448415-0.0194579j -0.00345161+0.0375424j 0.0447543-0.034778j -0.0484918+0.0338719j -0.0119073+0.00632809j 0.00503454+0.023347j -0.0301166+0.0347176j 0.0204673-0.00625718j 0.0289146-0.0438328j 0.116994-0.0448514j -0.0245694+0.140008j -0.0979481+0.0610445j 0.100518-0.142829j 
0.0130098+0.00343667j 0.0501455+0.0331689j 0.0151995+0.00983643j -0.0273924-0.0224008j -0.0101964+0.00775628j 0.00454841+0.0695331j -0.0714461-0.000397464j -0.0552767-0.0125725j -0.0356016-0.00477284j -0.00845755+0.0307892j -0.0888244+0.0170868j 0.0453115+0.0273939j -0.0265178+0.0131325j -0.0106161-0.000621746j 0.00184938-0.0114416j 0.030458+0.00808625j -0.0279777-0.011456j -0.0117899-0.0399362j 0.0113712+0.05564j 0.0137869+0.0275116j -0.0158842-0.0230507j -0.0145215-0.0469984j 0.0292884-0.0728338j 0.0403475+0.00622703j 0.00968875+0.0100325j -0.0180128+0.0361558j -0.0154144+0.0661493j -0.0381126+0.0024494j -0.0197324+0.0564158j -0.0203697+0.0263901j 0.0464566+0.0342078j -0.00687941+0.0143632j -0.107112+0.0405498j -0.00622654+0.1253j 0.0165054+0.0425795j -0.00351286-0.0941917j -0.0454922-0.0600291j 0.053418-0.0192264j -0.0897079-0.00460108j 0.0376627-0.01776j -0.0097011-0.030785j -0.0120129+0.00251496j 0.010595+0.0316825j -0.0464351+0.0397535j 0.00203091-0.0172972j -0.00546662+0.0528085j -0.0519285-0.0375793j 0.00512203-0.0481921j -0.0539557-0.0758068j 0.00474778-0.0133641j 0.0101149-0.024971j 0.00416501+0.00421221j -0.0243835-0.0576297j -0.00405428+0.0135782j -0.0187257-0.0198022j 0.0159363-0.00958793j -0.00109078-0.0162388j 0.0101259+0.00590028j -0.0229964-0.0214126j 0.0142749-0.0098714j 0.00850598+0.00942763j -0.0381724+0.0888349j -0.00715976+0.0172728j -0.0372536-0.041942j -0.0452857-0.0591529j 0.0674951-0.0563948j -0.0319525-0.045137j -0.0181938-0.0166602j -0.0682953-0.0831248j 
0.0684569+0.0281202j -0.0150997-0.00455344j 0.0014491+0.0157526j -0.0207194+0.0267506j 0.00188777+0.0603774j -0.0472247-0.0281032j -0.0326018-0.00648858j 0.00545501-0.0640054j -0.060756-0.0340012j -0.0702169-0.026362j 0.025746-0.0323433j -0.0100118-0.0230909j 0.00733336+0.0244771j -0.00403936+0.0259598j -0.0213056-0.0145868j 0.0251739+0.0152173j 0.0403079+0.000216093j 0.0685604-0.00302067j -0.00973681+0.0195713j 0.0150063-0.00793009j -0.0201602-0.0694552j -0.0253914+0.00190528j -0.0232575+0.0128418j -0.0334315-0.0314191j -0.0335963-0.0314034j -0.0183927-0.0283238j -0.00983736-0.0274842j -0.0511397-0.0389188j -0.0165892+0.050745j 0.0243775-0.0246891j -0.0156111+0.0390925j 0.0579915-0.0197567j -0.0294447-0.0440057j -0.11255+0.0322029j -0.0342265+0.0930244j 0.00370443+0.0484187j 0.037538-0.0561948j 0.0399786+0.0284003j 0.0567808-0.10989j -0.0497932+0.0838595j -0.0192441+0.043551j -0.0650535+0.00351034j 0.0177286+0.00170763j 0.0410375+0.0284584j 0.0161551+0.020896j 0.0663393+0.0649769j 0.025213+0.0846444j -0.0163336+0.0341514j 0.00619487+0.023571j 0.0196877+0.00292357j -0.0248578-0.0527253j 0.0192304+0.0204129j -0.00326818+0.0104771j -0.0109141+0.00192517j -0.00417276-0.0196197j 0.0132115+0.0289473j -0.00960314-0.0250138j -0.0100815-0.0453167j -0.0190456-0.00460835j -0.0020119+0.0168796j -0.0220529+0.032632j 0.00419053-0.00337744j -0.00806469+0.0935126j 0.0357519+0.0140715j -0.0848341+0.0312467j -0.0040526+0.0289124j 0.0372279-0.0541597j 0.0604328+0.0707688j -0.029898+0.00614832j 
-0.014449-0.0082192j -0.0114105+0.00150443j 0.0421867+0.0384746j 0.0298683+0.0393543j -0.000709214+0.0175947j -0.00820247-0.0511299j 0.0320626-0.0232186j -0.016454-0.0508246j 0.0161044-6.78384e-06j 0.0072955-0.0091685j 0.0146018-0.0623252j -0.0302669+0.00373209j 0.00904675+0.00844675j -0.0193841+0.0141548j -0.0171619+0.0349526j -0.0257947-0.0253176j 0.0322549-0.00604424j 0.00722192-0.0419131j -0.0177185+0.0512895j -0.0333517+0.0231085j -0.0318654-0.0649372j 0.0284542-0.0375709j 0.022115+0.0187679j 0.0107284-0.0401976j -0.0327426-0.00393506j 0.00949043-0.0745782j -0.0519269+0.034424j -0.0490026-0.0201351j 0.0319317+0.0488464j -0.0459058+0.106808j 0.0170812-0.127322j 0.0432801-0.0426147j 0.0890327-0.156349j -0.0323547-0.0605369j 0.0664059-0.152986j 0.107625-0.157075j -0.0263466+0.0837081j 0.00199979-0.0233707j 0.0286199-0.0133429j 0.00695628+0.00442648j 0.00864973+0.0131682j -0.0176728+0.0326412j -0.0089638-0.0135646j -0.0593706+0.0442494j -0.00401076+0.00644972j -0.00401691-0.0465782j -0.0165801+0.0313755j 0.00665493+0.0195661j 0.00543942+0.0239296j 0.0279483-0.0857593j 0.0373571-0.0260622j -0.0011937-0.00680271j -0.0219454+0.0490987j 0.000930164-0.0110172j -0.0138969-0.000226212j -0.00254813+0.00534857j -0.00279787+0.0159077j 0.00787696-0.0523483j -0.00608563+0.0127248j 0.00922456-0.0511338j 0.010167+0.0359453j 0.0114031-0.0200102j 0.0152529-0.0473988j 0.0483052-0.0304949j 0.0575281-0.103642j 0.0286901-0.039728j -0.00152366-0.0780066j -0.0351432-0.0181765j 0.0170384+0.0594078j 
0.0242414-0.0179465j 0.0168382+0.0169619j 0.0299239+0.00487349j -0.0533953-0.0844222j -0.00129957-0.119525j -0.0235561-0.0342191j -0.00645929-0.0284206j 0.0453708-0.0468738j -0.0541525+0.00189845j -0.00417157-0.0280133j -0.0518846-0.0203422j 0.0272906-0.0195643j -0.0156073-0.0560375j -0.0299914-0.00435846j -0.0482796-0.0490036j 0.0309776+0.0597942j -0.022174+0.0691151j 0.00653354-0.0467118j -0.0280916+0.0568783j -0.0756383+0.0884748j -0.0686402-0.0432059j 0.0352368-0.0525655j 0.0124071-0.0549639j 0.119437+0.00932107j 0.0228396+0.00433333j -0.0634398+0.14241j 0.0203987+0.0232741j 0.0612396+0.0808696j -0.0378106+0.0610107j -0.0291489+0.0706236j -0.156536+0.0370403j -0.0281658+0.186508j 0.0153013-0.158898j -0.0394875-0.0612931j -0.15461-0.0635021j -0.0521614-0.166893j 0.110197-0.0424819j -0.00388947+0.0361223j 0.0264725-0.0426405j -0.0451083+0.019342j -0.0270336-0.0628022j 0.00108278-0.00759854j -0.00287164-0.0537937j 0.027396-0.0261533j -0.0201302+0.00863275j 0.0586779-0.0886951j -0.00765142-0.0926652j -0.0340816-0.0216733j -0.00903901-0.0541904j -0.0393816-0.0371979j -0.0303337+0.0111012j -0.00204457+0.0157653j 0.00388326-0.014824j -0.00605629-0.0323574j 0.0191477-0.0118489j -0.0106589-0.00936078j -0.0172277+0.0308863j -0.0120384+0.0163249j -0.0170605-0.0238205j 0.0359788-0.0360718j -0.0132676+0.014676j -0.0102634+0.0709723j -0.0760933-0.00595094j -0.0159924+0.0298298j -0.0267641-0.0948075j -0.0296297+0.0684361j -0.0193289-0.0492313j -0.00131576-0.080822j -0.0547976-0.0328868j 
-0.0532394+0.00040895j 0.0429831-0.005786j 0.0329182-0.00281312j 0.0405463+0.0100576j 0.0176891+0.0257521j 0.045966-0.047421j 0.0187349-0.0226841j -0.0158943+0.0230318j 0.0350297+0.0167045j 0.128051+0.00800678j -0.000769422-0.00863153j 0.0115699+0.0654075j -0.0036134+0.0085341j -0.0557592+0.0100175j -0.0355557+0.0360675j -0.0629087-0.00681469j 0.0141995-0.0325868j 0.0310825+0.030481j -0.0370062-0.0203617j -0.0110961+0.0664844j 0.103583+0.00792448j 0.0269605-0.0175005j 0.0943287+0.0541975j -0.0139889+0.00330878j -0.0464059+0.0240009j 0.00260974-0.00511123j -0.0802388-0.0451758j -0.0920153-0.044394j 0.0272129-0.0558182j -0.0809482+0.025267j 0.12052-0.00658123j 0.00555626-0.0480874j 0.133637-0.0471761j -0.00252146-0.0534427j 0.128898-0.0645072j 0.131106+0.00324343j 0.0158935+0.089363j -0.0323362-0.0235435j 0.0465117+0.0427932j 0.0398573-0.0160896j 0.0233911+0.0186384j -0.000588325+0.00498385j 0.00486041+0.0139946j -0.0551404-0.00436098j -0.0117515+0.00210075j -0.00852915-0.0353242j 0.0208446+0.0132372j 0.0126874+0.0178694j 0.0295954+0.035938j 0.0515396-0.0170337j 0.0442267+0.0194916j -0.00505542-0.0153859j -0.0174464+0.0463864j 0.00575047-0.0103919j -0.016301+0.0197104j -0.0199236+0.013549j 0.00620449+0.0356972j 0.02122+0.0429982j 0.0261716+0.00912899j 0.0207921-0.000974029j 0.0362525-0.0327604j -0.0627295-0.0326447j 0.00408679+0.012215j 0.0404833-0.0131723j 0.0624369-9.9944e-05j -0.0123755-0.00239002j 0.0664567+0.0215706j -0.0521245-0.00166222j 0.0304454+0.0469166j 
-0.0309382+0.0150429j -0.0489722+0.0129266j -0.0137732-0.0116115j -0.0471967-0.000144422j -0.0818783-0.018301j -0.0038095-0.0127171j 0.0782737-0.00976001j -0.00225308+0.0566062j 0.0633936-0.052966j -0.0445273+0.0515132j 0.026523+0.0250762j -0.028557-0.000216809j -0.0432842+0.0249145j 0.0882715+0.0103923j -0.0321193-0.000238191j -0.0191662-0.0435428j 0.0445444+0.0887116j -0.0232113-0.0535753j 0.0208965+0.0332438j 0.0495853-0.0743131j -0.0426632+0.0320446j -0.00196054-0.0265091j -0.0923684-0.101082j 0.00620136-0.00412813j 0.0152555-0.0378316j 0.151564-0.0326765j -0.00993006-0.0162479j 0.145004+0.110406j 0.0139782+0.0168713j -0.0754141-0.106748j 0.0920617+0.066433j -0.0367618+0.0509594j -0.0637275+0.00424469j 0.00390419-0.0341725j 0.000222288+0.143688j -0.0665428+0.245361j 0.0481263-0.116983j 0.0247079+0.0636681j 0.0301935-0.0716365j -0.0166005+0.0465414j 0.0188646+0.0397422j -0.0181023-0.053458j -0.0291362-0.0480813j 0.0512989-0.0363703j 0.0370066+0.0347687j -0.0250812-0.00301605j 0.0439407+0.0301774j 0.0353734+0.0115694j 0.0631615+0.0313178j -0.0104633+0.0377367j 0.0149393-0.021615j 0.0044209+0.0380242j 0.02973+0.00661554j -0.00225624-0.0117697j 0.00473105+0.0211046j 0.0217371+0.0536072j 0.00769089-0.0245339j -0.00904889-0.0248989j 0.0206348+0.00335786j -0.00338463+0.0444841j -0.0316706+0.0109131j 0.0591349-0.00283428j 0.0188776+0.0263774j 0.0086354+0.0301412j -0.050965+0.0460183j 0.00685984+0.0649153j 0.00605742+0.0512672j 0.037623+0.0503053j 0.0532969-0.0110715j 
0.0228478-0.017083j -0.0306096+0.0336898j 0.0284275+0.0410106j -0.026817-0.0192622j 0.0272114+0.000938687j -0.0348794-7.36222e-05j -0.016338-0.0775176j 0.0595966+0.0670343j 0.0263999+0.084922j -0.0500213+0.0152245j -0.0197077-0.0245953j -0.00270105+0.0501272j 0.0294914-0.0537701j -0.00962278+0.00839825j -0.0149504+0.0969638j 0.031414-0.00269404j -0.00845742-0.0750119j -0.054638+0.0873561j 0.025195+0.00620678j -0.0898196+0.0539297j -0.0906393+0.0495214j 0.0553712+0.00122415j 0.117872+0.0880336j -0.0543226+0.0943067j 0.0131611+0.108661j -0.053136+0.00961791j -0.0536507-0.0210693j 0.135326-0.223998j 0.0395347-0.148917j 0.0413452+0.107652j 0.0272668+0.0321095j -0.131528-0.0408735j -0.0722326-0.00759197j -0.0472707+0.00247815j -0.0973268-0.0750039j -0.139789+0.0346115j 0.088368+0.0664052j 0.0668566-0.0167871j 0.00819569+0.0275681j -0.0848307-0.0310363j -0.0685773-0.0324521j -0.0804486+0.0107799j 0.0291964+0.0770254j 0.152378-0.0936538j -0.00188315-0.0318298j 0.202413-0.0372789j 0.0043739-0.118402j -0.050668-0.00978156j -0.0751606-0.0752893j -0.0379054-0.00666421j -0.0901237+0.0599124j 0.042269-0.0512715j -0.0345492-0.0292145j -0.0124736+0.0314445j -0.00877952-0.0327082j 0.0179637-0.0465873j -0.0131527+0.0186539j 0.033001+0.0506812j 0.0143002-0.00614939j 0.032691-0.0182772j 0.0207856-0.0357578j 0.00928439-0.057239j 0.00686595-0.035479j -0.0102762-0.0322444j -0.0884931+0.019652j -0.0217824+0.0491755j 0.0123005-0.00347877j 0.0531536-0.0722277j -0.0635073-0.0389352j 
0.00827186-0.0128891j 0.000844447+0.00100308j 0.0373594+0.0199867j -0.0469803+0.00286975j -0.0635512-0.0228351j 0.0339588+0.0284618j -0.0130971-0.0338313j 0.016453-0.00373431j -0.0452411-0.0580588j -0.076201-0.0763393j -0.00891895-0.102182j -0.0205674-0.070527j -0.0373233-0.0575j 0.0226723+0.0154071j -0.0394291-0.0911465j -0.0171547-0.011963j 0.0362781+0.00497825j 0.0428864-0.0356795j 0.0555029-0.0592262j -0.0551679-0.0399386j -0.0876467-0.00236638j -0.00635232+0.0936544j -0.065748+0.100036j -0.118872+0.0513971j -0.0189632-0.0692251j 0.055688-0.078623j 0.0825465+0.023632j 0.166415+0.175562j -0.0153083-0.0531382j 0.0100399-0.0204908j -0.0452863+0.124502j 0.0120133-0.0951118j -0.00558938-0.0574574j -0.0194006+0.0612171j 0.0467372-0.114257j 0.0815425-0.240113j -0.230169+0.100352j 0.0928828-0.0737362j -0.0591273-0.0850971j -0.0446105+0.127144j -0.0542567+0.06601j -0.0368283+0.121585j -0.0309995-0.09893j -0.125684-0.0855129j 0.0106123-0.00578898j -0.0648554-0.130889j -0.205459+0.024453j -0.023356+0.0950678j -0.14122+0.0518384j 0.0472672-0.0331868j 0.0301869+0.0627767j 0.00289934-0.0282442j -0.0630053+0.0512865j -0.0243322-0.0344362j 0.000918462-0.0412634j 0.0483943-0.0725642j -0.010763+0.0525125j 0.00933951-0.0295703j 0.0451442+0.0532452j -0.00883438+0.0207584j 0.0276364+0.000313229j 0.0370116+0.00481374j -0.00857935-0.0127061j -0.0229713+0.0221917j -0.0117048-0.0275185j 0.0983246-0.0219145j -0.0147322-0.120584j -0.034757-0.0599202j -0.0585414+0.0535573j 
0.0240085-0.0150574j 0.0185291+0.00261986j -0.0459614-0.0413128j -0.056228-0.0253335j -0.00069571-0.0429466j 0.0329928+0.00275813j -0.0238325-0.00457385j 0.0922484-0.0313821j -0.0134402+0.0540776j -0.0063803-0.0528146j 0.0219771-0.000502058j 0.0336886+0.0415462j -0.0252065-0.0537006j -0.0290082+0.0218493j -0.0758697+0.0809277j 0.0230313+0.0610818j -0.0541472-0.0160792j -0.016392-0.00994379j -0.0308944-0.0457094j 0.0177285-0.00670432j 0.109121+0.0305432j 0.0377931+0.0414354j 0.130323-0.0129194j -0.0437989+0.0526245j -0.0213216+0.00601734j 0.0685116+0.118794j -0.0643869-0.0666111j 0.186015-0.0140793j -0.052615-0.133267j -0.0256912-0.0196525j 0.251541+0.149869j -0.0647843+0.0317782j 0.0733688-0.00410131j 0.0696496+0.0739601j 0.104377+0.0325625j 0.0200889+0.00121617j -0.0480508-0.0696832j 0.0518263-0.00171515j -0.0492005-0.0268732j 0.00624369+0.00951978j -0.0383956-0.0270569j -0.0264694+0.025317j 0.0037994+0.00644541j -0.018957-0.127854j -0.0171423-0.0241137j 0.078607-0.10685j -0.0710071-0.146649j -0.00880461-0.0191373j -0.0786848-0.0887558j 0.0362109+0.0352069j 0.000251722+0.0859537j 0.0181205-0.0353709j -0.04334-0.0458695j -0.0101319+0.00489125j -0.0381192-0.0320939j 0.00132745-0.0510139j 0.0248928+0.0366648j 0.098875+0.0448461j 0.0417125+0.0333042j 0.069759-0.00593568j 0.00825854-0.042092j 0.0156235+0.0155342j 0.0418328-0.0217879j 0.0133929-0.00561636j -0.00885827-0.00463217j 0.00413003+0.021383j 0.0101856+9.11024e-05j -0.00251245-0.0644584j -0.0601355-0.0370405j 
