0.00186963-0.00373413j 0.00412246-0.00450346j 0.000400508-0.00131484j 0.00284894-0.00417175j 0.00174543-0.00123119j 0.000827831+0.00354479j 0.00257112-0.00105876j 0.000231709-0.00153964j -0.0024308+0.00115292j -0.0017296-0.00018194j -0.00276525-0.00128541j 0.000115798+0.000796966j -0.000677168+0.000206135j -0.000121532-0.00275051j -0.00141149+1.96681e-05j -0.00176254-0.000164412j 0.000150269-0.00108276j -0.00216828+0.000415029j 0.00318866+0.000343791j -0.00150255+0.000214874j -0.000208071+0.000766871j 0.000666377+1.45782e-05j 0.00489668+0.000344149j -0.00312891-0.0008094j -0.00255107-0.000470087j 0.0012944-0.000298471j 0.000989909-0.000656683j -0.00152848+0.000417859j -0.00302364+0.000330993j -0.00122484-0.00091954j -0.00195283+0.000343992j 0.00176512-0.000496478j 0.000484968+2.12135e-05j 0.0019005-0.00161869j 0.00186217-0.00115464j -0.000281616-0.00015995j -0.00160725+0.00063553j -0.000600184+0.00058693j 0.000162911-0.00153047j -0.00100657-0.000427767j -0.00405706-0.000812599j -0.00234196+0.000144971j -0.000261842+0.00082909j -0.0013428-0.000417684j -0.00203007-0.000706211j -0.000517558+0.000794437j -0.00371662-0.000426047j 0.00243555-0.000465368j 0.000455136-0.000295596j 0.000149996-8.75914e-05j 0.00262333+0.0013883j -0.00262796+0.000489286j 0.00186036-0.000989981j 6.86248e-05+1.82406e-05j -0.000951273-0.00030544j -0.000238444-0.00146616j -0.00526456-0.000889949j -0.00531057-0.000529196j -0.00624025+0.00228411j 0.00564864+0.00148818j 0.000554712+0.000502243j 0.00230282-0.0027028j 0.00118244+0.00310683j 0.00554437-0.009107j -0.0186336-0.00130989j -0.019005-0.00973028j -0.0471798+0.005612j 0.0221406+0.00896443j 0.00631312-0.00856841j -0.302355+0.00254497j 
-0.00409851+0.00475683j 0.00250555-0.0036328j 0.00155012-0.00420314j 0.000233995+0.0023443j -0.000660481-0.00350232j 0.00122434-0.00191953j -0.00202631-0.000327826j 0.00071955-0.000567599j 0.00106675-0.000523543j -0.00101957-0.00100305j -0.000196647+0.00203773j 0.00309813+0.000697959j -0.000981062-0.000174494j -0.000749277-0.000258663j -0.00125211+0.000254499j 0.000893058-8.67441e-05j -0.00101298+0.000471201j -0.000722425-0.00149464j -0.000296768-0.00114729j 0.00270318-0.000157406j 0.00176571+0.000637073j 0.00065708+0.000685475j 0.00204766-0.000597029j 0.000856239+0.00148436j -0.00115939-0.000164258j -2.11126e-05-0.000476494j -0.00236974-0.00101296j 0.00167254+0.000782229j 0.00161597+0.000136297j 0.000819858-0.000343009j 0.00219572+0.00125382j -0.000317587-0.000996428j -0.00115959-0.000742569j -0.00181538+0.000548134j -0.000783695-0.0002991j -0.00075685-0.000720389j 5.07716e-05-2.69169e-05j 0.00251559+0.000698098j 0.000774976+0.000130682j 0.001142-0.00108626j -0.000668511+0.000292445j 0.000193815-6.88697e-05j -0.00170246-0.00119847j -0.00138443+0.00020378j -0.00309441-0.00046203j 0.000316976+2.79046e-05j -0.00340914-0.00133261j -0.00166666-0.00057344j -0.000678107-0.000514415j 0.000296655+0.00202701j -0.00112446-0.000600953j -0.000796739-0.000438147j -0.000609207-0.00155395j 6.4844e-05-0.000294557j -0.000444678-0.000756099j -0.00493577-0.000607184j 0.000941359+0.00146908j -0.000895978+0.00119919j 0.00251831+0.000417734j 0.00373293-0.00200231j 0.00371902+0.000527422j -0.00256472+0.000379498j 0.00866711-0.000291264j -0.0142767-0.00337854j 0.00843831+0.0148437j -0.015953+0.00111709j -0.0194544-0.00830449j -0.053008+0.00412716j -0.307551+0.0024555j -0.00622052+0.00711508j 
-0.000853075+0.00327422j 0.00437323-0.00446871j -0.00224916+0.000450457j 0.00267872+0.00266413j -0.00167683-0.00213256j 0.00295026-0.00151266j 0.00329532-0.00307179j 0.000463689-0.000525977j -0.00175616+0.00446851j -0.00397303+0.00255546j -0.00178605-0.000776217j -0.00480349-0.000497369j 0.00145191+0.000890585j -0.000605066-0.000255313j -0.00589878-0.00109138j 0.00157922+0.00107715j -0.00106629-0.00151559j 0.000588652+0.000210156j 0.00199148-0.00375248j -0.0018447-0.000812571j -0.00165896-0.00122624j 0.00296024-0.00126546j 0.000518525-0.00151855j -0.000772671-0.00160714j -0.00359918+0.00167622j 8.68723e-05-0.00058343j 0.00425338+0.00105649j 0.00135059+0.00102439j -0.00223722+0.00130129j 0.00187018-0.000786524j -0.000946239+0.000560529j 0.000916331+0.0023648j 0.00223525+0.00165212j -0.00119305+0.00240939j 0.00183724-0.00255335j 0.00602399-0.00179014j 0.00119318+0.00250349j 0.000479072-0.000925775j -0.00223358+0.000384196j -0.00232994+5.7805e-06j 0.00112436+0.000627791j -0.00156386-0.000282723j -0.000382107-0.000820083j 0.000547878-0.00144548j 0.00277902+0.000683226j -0.00186603-8.41483e-05j 0.00369931+0.00112646j 0.00507409-0.000876375j 0.00295063-0.000560934j -0.00354137-0.00188102j -0.0020608+0.000639591j -0.00204444+0.00332589j 0.00406281+0.00374799j 0.00416849+0.00384335j -0.000434619-0.000132778j -0.0029817-0.00384742j -0.00797043+0.00210384j -0.0020132+0.00245221j 0.00867151+0.00855313j -0.0053671+0.00436705j 0.00695197+0.00342538j 0.0241829+0.00883544j 0.0451686+0.00780392j -0.0228313+0.0170807j -0.0305985+0.00667958j 0.0433251-0.00271043j -0.237202-0.0077511j 0.167236-0.0209225j 0.00879784+0.00885333j -0.0430421+0.00199156j 
0.00450548-0.00439958j 0.000167798-0.0030388j 0.00201459-0.00344787j -0.00412993+0.00257569j 0.00303724-0.00159576j 0.00134758-0.00015695j 0.00101562+4.05492e-05j -0.000919503+0.0046693j -0.00318053-0.00278498j 4.21947e-05-0.00366445j -0.000326754+0.00127843j 0.0014227+1.30082e-05j 0.00142292+0.000178963j -0.00140654-0.000209504j 9.10668e-05-8.50656e-05j -0.0010762-0.000405776j 0.000108342-0.00200208j 0.0018059+0.000123403j 0.000496265+0.000790909j 0.000272081-0.000986059j 0.000631413-0.000727823j 0.000488604+0.00108908j 0.00204732+0.000637485j 0.000807777+0.00051469j -0.00256513-0.000166813j -0.001144+0.000428246j 0.000975165+0.00133077j -0.00125036+0.000427808j -0.00186985-0.000257351j 0.00227894-0.00014488j -0.000897649+0.000289119j -0.001512-0.000747935j -0.00358008+0.000410942j -0.00091001+0.000595017j 0.00165533-0.000192165j -0.000157057+0.000438785j -0.0013458+0.000388122j 6.52439e-05+1.2119e-06j 0.00190685+0.0011166j -0.00233504-0.00344115j 0.000759131-0.00163624j 0.00149803-0.00286525j -0.000448142-0.000253901j -0.00609196-0.0017267j -0.000973145-0.00174963j -5.15812e-05+0.0041821j 0.00446276-8.08032e-05j 3.79107e-05+0.00298961j 0.000734944-0.000366557j 0.0107536+0.00234432j 0.00162941+0.00342583j -0.000377815-0.00144392j 0.00192936-0.000854036j -2.28321e-05+0.00426344j -0.000596791-0.00045099j 0.00131252+0.00187562j -0.0024749-0.00388075j -0.00535257-0.00722487j 0.000578795+0.00531933j -0.000880213+0.00191616j -0.00891973-0.0117521j -0.0277781+0.00269617j 0.0705804-0.00357177j 0.0410074+0.00513846j 0.0176243+0.0183297j -0.00487376-0.012658j 0.168579-0.0158709j 0.203255+0.0110411j 0.0412819-0.00202437j 0.0102711+0.00767774j 
-0.00184812+0.00347761j 0.00439936-0.000561572j 0.00317918-0.00105983j -0.00173403+0.00783463j 0.00666832-0.00380085j -0.00756177-0.00389064j 0.000735248-0.0022499j 0.00197773+0.00248052j -0.00754925-0.00237835j -0.00148061-0.00109215j 0.00401641-8.84172e-05j 0.00163234+0.000741989j 0.000541329-0.00174016j 0.00196945-0.000784268j -0.00662374+0.000667463j -0.00539285-0.00209493j -0.00122519+0.00257442j -0.0081427-0.00486132j -0.0011859-0.000602527j 0.000275221-0.00340757j -0.000111566-0.000335438j 0.00610554+0.000999586j 0.00446059+0.00120758j -0.00327319-0.00294139j -0.00286243-0.00179924j 0.00364754+0.0014509j -0.00717447-0.00259213j 0.00205333-0.00227486j -0.00365216+0.000296019j -0.000699005-0.00218648j 0.00244036+0.00169136j 0.000143102+0.000360446j 0.00591685+0.000773876j -0.00155025+0.00307346j -0.00253244+0.000741897j 0.00406601-0.00212074j 0.00608071-7.48006e-05j 0.000482742-0.00129717j -0.00578718-0.000561375j -0.00642395-0.00445491j -0.0050882-0.00337722j -0.000321224-0.00112627j 0.00584143-0.000679872j -0.00441599-0.00316606j 0.00141772-0.00367158j 0.00558011+0.00345596j 0.0122197-0.00202572j 0.00585996+0.000608608j 0.000982561-0.00469296j -0.00363622+0.00913448j 0.0155116+0.00118951j 0.0102519-0.000405108j -0.00127283-0.0049732j 0.00102389-0.00647978j -0.0102896-0.0101083j -0.00435244-0.00523745j -0.0304508-0.00611366j 0.000863528+0.00560117j 0.0318812-0.00588098j 0.0135261+0.00286772j 0.0435951+0.00271531j 0.0523247+0.00415718j 0.00303409+0.0136639j -0.010816-0.000532109j -0.0925945+0.0094505j -0.247128+0.00412641j 0.0423211-0.00443955j -0.00791846-0.0146429j -0.00831688+0.0102003j -0.0200869-0.00663873j 
-0.00324236-0.00419254j -0.00415736+0.00423958j -0.000896939+0.00598411j -0.00418308+0.000844159j 0.00513047+0.00381546j -0.0019159-0.00548496j -0.00660199-0.000686332j 0.00108545-0.0038819j -0.00144138+0.00349469j 0.00232579+0.00015489j 0.00137447-0.00341722j 0.00559678-0.00369066j 0.000388783+0.00239099j 0.00128675+0.00395997j 0.00409509-0.00320038j -0.00154788+0.00179773j -0.00219297+0.00241372j -0.00203914-0.000216698j -0.000931847-0.00110521j -0.00336701-0.000246222j 0.000809996+0.000562298j -0.00398161-0.000253569j 0.000592294+0.000932971j -0.00255619-0.00109372j -9.24132e-05-0.00201095j 0.00232669-0.00188925j 3.82904e-05+0.00280983j 0.00145291+0.00318818j 0.00205598+0.000113467j 0.00179456+0.00441447j -0.00615868+0.00112413j 0.00418605+0.00283163j -0.00135815-0.000977006j 0.00653461-0.000304125j -0.00265161+0.00403786j -0.00614387+0.0017976j -0.00128572-0.000282316j 0.000574745-0.00157476j 0.00131857-0.00185175j 0.000508615-0.00490149j -0.00845254+0.00186458j -0.0071342+0.0027486j -0.0108295-0.00855289j 0.00419397+0.002866j 0.00594445+0.0054931j -0.00120247-0.0127249j -0.0107954+0.000513127j -0.0112143+0.00173872j -0.000105065+0.00104017j 0.0110861+0.00901287j -0.00120969-0.00628523j -0.00767411-0.00183142j -0.00308575+0.00618638j 0.0105385+0.00751688j -0.00182426+0.00545578j -0.0113209+0.00128266j 0.0133583+0.016606j -0.00268137+0.00700035j -0.0202123+0.00805944j -0.00783254+0.0111416j 0.0703444+0.00663541j 0.00213164+0.00968027j -0.00662427+0.0162339j -0.0359062+0.00958268j 0.227061-0.00383024j -0.101752+0.00558659j 0.0214819+0.00731935j 0.00434512+0.00145573j -0.00917813-0.0111622j 0.0210448-0.00474438j 
0.00746753-0.00607904j -0.00147167-0.00506241j -0.00131555-0.00186128j -0.00370424-0.000831286j -0.00473911+0.00266428j -0.00180879+0.00263463j -0.00323131+0.00143943j 0.00148548+0.000723554j -0.001719+0.0025005j 0.00313097-0.00228594j 0.00430395-8.3909e-05j -0.00111299-0.00276446j 0.00140273+0.000303344j 0.00284936+7.25657e-06j -0.00806762-0.0027651j -0.00309221+0.00333056j -0.00425432+0.00199339j -0.00221153+0.00238817j -0.00208756-0.000174664j 0.00465582+0.001256j 0.00420647+0.00016052j 0.0059272+0.000586478j 0.00832643+4.6743e-06j 0.00322234+0.00292957j -0.00626919-0.00308763j 0.00504947+0.000264731j -0.00816876+0.000145967j 0.00425975-0.00474436j -0.0151671-0.000501512j 0.00474617-0.000624449j -0.00343132-0.000116408j -0.000471521-0.000103059j 0.000140349-0.0022926j 0.00355804-0.00180582j 0.00305615+0.0054023j 0.00242881+0.00301863j 0.00185647-0.0024021j 0.00631219+0.000205301j 0.00362618-0.00456794j 0.00472324+0.00388004j -0.00201405-0.00158209j 0.00139367+0.000899749j 0.000741885+0.00342724j -0.00118805-0.00147108j 0.00934889-0.00663603j 0.00515211-0.00201545j 0.0242076+0.00634928j 0.00867738-0.000934479j 0.0175999+0.0121373j -0.00938283-0.00625477j -0.00764705+0.00801334j -0.0062422+0.00780478j 0.0114396+0.00582697j 0.00757081-0.00602398j 0.0199585+0.00310457j 0.0254437+0.0039336j -0.0226797-0.00301924j -0.0224618+0.0165189j -0.0192464+0.00376956j -0.0319318+0.000727721j 0.0503701+0.0119529j 0.0194004-0.00797003j -0.0678883+0.0188999j 0.216082+0.00114963j 0.0335549+0.000212742j -0.0200713-0.00499703j 0.0471779-0.0111328j -0.0283562+0.00109614j 0.0220388-0.00396932j 0.011847+0.0116517j 
0.00286384+0.00198189j 0.0051983-0.00570959j -0.00302374+0.00362881j -0.000342849+0.00476053j 0.00323926-0.00402789j 0.00148002-0.00125866j 0.000966284-0.00163946j 0.00371662-0.00640415j -0.00209759+0.00249259j -0.00503204+0.00145942j -0.00421308-0.00306882j -0.00814159-9.64936e-05j -0.00208086-0.00540845j 0.00469807-0.00186617j -0.0018922-0.00078937j -0.00216697-0.00106828j 0.00633241+0.00468442j 0.00112198-0.00391449j 0.00408887-0.000971101j 0.00210297-0.000780084j -0.00655669-0.00171317j 0.00479167+0.00016498j 0.00326181-0.000531878j -0.000799522-0.00458608j -0.00294787-0.00083223j -0.000175064-0.000343986j -0.00207911-0.00358891j -0.00139967+0.000687603j 0.00478938-0.000202747j 0.00959146-0.0027375j 0.00345025+0.00290935j 0.000358525+0.00513441j -0.00602137+0.00162055j -0.00548393+0.00414061j -0.00641882-0.000652722j 0.00217313-4.56661e-05j 0.00717248+0.00337532j 0.00411742+0.000106695j 0.00189349-0.00462621j -0.00464385+0.00153832j 0.00164093-0.00595388j 0.00258123-0.00021792j -0.000646614-0.0010311j 0.00670841+0.00211747j -0.00280879+0.00581594j -0.0139025-0.00280927j -0.0163929-0.000652404j -0.0168838-0.00547366j -0.0189175+0.00474008j -0.0180561-0.00525056j 0.0270952+0.00406807j 0.0206003+0.00343874j -0.018645-0.000375869j 0.0167923-0.00105884j 0.00863678+0.00193605j -0.0133384+0.0011416j 0.00339466+0.00874831j -0.0708794+0.000133335j 0.00934914-0.015375j -0.0689469-0.0137503j -0.012086+0.0337025j 0.0028382+0.00686028j 0.214878+0.00661828j 0.0788379-0.0203542j -0.00154589+0.000342888j -0.00163139+0.0184312j 0.0104728-0.00259399j 0.0463121+0.00115135j 0.0269913+0.0076565j -0.0119299+0.0102334j 
0.00566997-0.00704138j -0.00715925-0.00104017j -0.00473977+0.00560225j -0.00681274-0.00409996j -0.00370966+0.00173275j -0.00436547+0.00159362j 0.00595134-0.00435359j -0.00750098-0.000551885j 0.00766578+0.00398682j -0.000620413+0.00661417j 0.0115488+0.00389202j -0.000396745-0.00184206j 0.00788134+0.00173713j 0.00248333-0.00344184j 0.00777566-0.000365178j 0.00789014+0.000895065j 0.0044611+0.00441167j 0.000665451-0.00253321j -0.00189379+0.000512214j -0.00058504-0.00020536j 0.00360324+0.000831103j -0.0010202-0.00141363j -0.00546605-0.0029281j 0.0135617-0.00625029j 0.000606495-0.00202388j -0.00267125+0.00371185j -0.00292138-0.00305824j 0.00731155-0.00367241j 0.00282052+0.00520146j 0.0085286+0.00714616j 0.00647728+0.00443955j -0.00805349+0.00122185j -0.00692235+0.00289984j -0.00537483-0.00444341j -0.000539255+0.00185917j 0.00142962+0.00113927j 0.0021755-0.00059002j -0.00139339-0.00333288j 0.0073324+0.00125433j -0.000170967+0.000805749j 0.0182358+0.00400391j 0.00230213-0.00231571j -0.000824351-0.00445442j 0.0188438+0.00459894j -0.0323968+0.00252084j -0.0139578+0.0140439j 0.0333497+0.0109627j 0.00378111-0.010987j -0.0123463-0.00833377j -0.000485998+0.0032191j -0.00654521-0.0135558j 0.0149752-0.00431354j -0.0134318-0.00266868j 0.00810335+0.00769465j 0.0339338-0.00777278j 0.0124474-0.0120667j -0.0354341-0.0132412j 0.0286626+0.00611645j 0.0425116-0.0026212j -0.123314+7.47376e-05j -0.00630963-0.00553116j -0.145496-0.00245239j -0.0264496+0.0103981j -0.00654692-0.0163735j -0.00604101+0.00680519j 0.000976428-0.00301833j -0.00516948+0.00722268j 0.0159363+0.0326275j 0.0202427-0.0292245j 0.0445248+0.019311j 
-0.00576526-0.000232906j -0.0033521+0.00463032j 0.00624406+0.00648171j -0.013611+0.00943916j -0.00480865+0.00452969j 8.74509e-05-0.00334275j -0.0124649-0.00082142j -0.00106323+0.00797375j 0.00879934+0.0059286j 0.0024612-0.00189722j 0.000920802+0.00403367j 0.011325-0.00344006j 0.00404903+0.00185863j -0.0021096+0.00316873j 0.00325043-0.00214364j 0.00693458+0.00129734j -0.00196105-0.00324416j 0.000568473-0.00304364j -0.00186401+0.00365754j -0.000254363-0.00573023j 0.0105813+0.00162448j -0.00385098-0.0045345j 0.00912004+0.00189512j 0.00263067+0.00419825j -0.00972104+0.00181539j -0.00374689+0.00298417j -0.00512385-0.000803981j 0.00506815-0.00455975j 0.000810692-0.00464338j -0.00809153-0.00722198j -0.00262391+0.00327126j -0.0128619-0.000715448j -0.0159347+0.000416136j -0.00672073+0.00254085j 0.00640201+0.000462207j 0.00760561+0.000538567j 0.00717015+0.00465796j 0.0144373+0.00739238j -0.0193659+0.00436052j -0.0191493+0.000495273j -0.0159731-0.000405514j 0.0152777-0.00426478j 0.0106129+0.00286416j -0.0051872-0.00702509j -0.00147486-0.0101996j 0.0188432-0.00166198j 0.00667434-0.00376556j 0.0143687-0.00100427j -0.00436833-0.00105505j -0.00281806+0.00361579j -0.0190849+0.00225208j -0.00229885+0.00422554j -0.00609867+0.0111244j -0.000464397+0.00135094j 0.0324523-0.00555642j -0.0382636-0.0151043j 0.000221997-0.00386877j -0.0449286+0.005887j 0.0267754+0.00678111j 0.11607-0.00729727j 0.0957717+0.00692111j -0.103673-0.00498727j -0.00111668+0.0246714j 0.0271517-0.00469821j 0.0025108-0.0267616j 0.00434365+0.00606663j 0.0445268+0.0350578j 0.0112788-0.0259819j -0.0478281-0.0154312j 0.016168-0.0305052j 
-0.00553723-0.00460952j -0.0150749+0.0065648j -0.00576708+0.0067604j -0.00602948-0.00606234j -0.00575872-0.00176573j -0.00806884-0.00100962j -0.00482988-0.00167249j -0.00722895-0.00495934j 0.00122784-0.000473641j -0.00334558-0.00093125j 0.0156593-0.00313117j -0.00687529+0.00777069j 0.00629719+0.000603874j -0.0165598-0.0032979j -0.00307849+0.000318223j 0.00592382-0.00239879j 0.00883765-0.00121266j 0.00372418-0.00430462j -0.014651+0.000140533j 0.0108092-0.00115468j 0.0178158+0.00183111j 0.0090095+0.000599647j -0.0186696+0.00226397j 0.0151928-0.000688709j -0.00228955-0.00157398j -0.012196+0.00042517j -0.0213445-0.00120279j 0.0145306+0.00504311j 0.00860472+1.35684e-05j 0.000278481+0.000601351j 0.0229204+0.00386047j -0.0109211+0.00102671j -0.00355401-0.00796579j -0.00865184+0.0030225j -0.00566321-0.00153527j 0.000881455-0.00174345j 0.00851707+0.0013407j 0.0170165+0.00673668j -0.000800754+0.00395364j 0.0011974-0.00375882j 0.0100467-0.00555014j 0.0182741+0.0012336j -0.00394735-0.00657563j -0.00442345+0.000898925j 0.0153789+0.000295401j 0.00312967-0.00349034j 0.000169289-0.0143852j -0.0205953+0.00305367j 0.000795718+0.0067021j 0.000482303-0.00293173j -0.0106729+0.00837622j 0.0259-0.001843j -0.0186088-0.000327483j -0.0149883-0.0073802j -0.00445592+0.0038427j -0.00976023+0.00771456j 0.0792769+0.00613065j 0.0472485-0.00628278j 0.0802726-0.00799066j 0.0045389+0.00274794j 0.0100927+0.00199809j 0.0589104-0.00733862j 0.0372626-0.0246028j 0.00160333-0.0266904j -0.0354099-0.0192436j -0.0105085-0.00574709j -0.0572199+0.0400267j 0.0178067+0.0599315j -0.0254729-0.0499257j 0.0606154-0.00826772j 
