0.822727-0j 0.00640777-0j -0.0155253-0j 0.00207229-0j -0.0194726-0j 0.011564-0j 0.0131899-0j 0.00142298-0j -0.00304038-0j -0.0010599-0j 0.00264866-0j -0.000760461-0j -0.000975392-0j 1.23831e-05-0j 0.00011982-0j 
-0.00640777-0j 0.888338-0j -0.00255278-0j -0.0047465-0j 4.67681e-05-0j 0.00122286-0j 0.000333039-0j -0.0141619-0j -0.000243712-0j 0.00678398-0j 0.000925338-0j 0.00360718-0j 0.00223409-0j 6.56856e-07-0j -0.000568358-0j 
0.0155253-0j -0.00255278-0j 0.755045-0j 0.0241181-0j 0.00159743-0j -0.000960884-0j 2.84787e-05-0j 0.00239701-0j -0.034948-0j -3.05048e-06-0j -0.00110224-0j 0.000199692-0j 0.000191041-0j 0.000118516-0j -1.54688e-05-0j 
0.00207229-0j 0.0047465-0j -0.0241181-0j 0.843054-0j -4.92979e-06-0j 0.0115533-0j -3.51054e-05-0j -2.46633e-05-0j 7.88174e-05-0j 1.18145e-05-0j -9.75392e-05-0j -0.00116658-0j -0.000235494-0j -6.92387e-08-0j 5.99102e-05-0j 
0.0194726-0j 4.67681e-05-0j 0.00159743-0j 4.92979e-06-0j 0.731666-0j 2.03979e-05-0j -0.0028283-0j 0.0087495-0j -0.0134439-0j 0.000111724-0j -0.00184178-0j -2.72843e-06-0j 0.000209153-0j -0.00568679-0j -1.26302e-05-0j 
-0.011564-0j 0.00122286-0j -0.000960884-0j -0.0115533-0j 2.03979e-05-0j 0.914324-0j 0.00123751-0j -3.05048e-06-0j 3.84307e-06-0j 0.00290267-0j -1.83029e-05-0j 0.0042361-0j -9.15144e-05-0j -3.62344e-09-0j -0.000328142-0j 
-0.0131899-0j 0.000333039-0j 2.84787e-05-0j 3.51054e-05-0j -0.0028283-0j 0.00123751-0j 0.893248-0j 0.000155984-0j 5.53023e-06-0j 0.00677815-0j 0.000616892-0j -8.18529e-05-0j 0.00148939-0j 4.37904e-07-0j -0.000378906-0j 
0.00142298-0j 0.0141619-0j -0.00239701-0j -2.46633e-05-0j -0.0087495-0j 3.05048e-06-0j -0.000155984-0j 0.794659-0j -0.00320318-0j -0.0010113-0j 0.00603721-0j 1.83029e-05-0j -0.00104637-0j -0.000649139-0j 8.47259e-05-0j 
-0.00304038-0j 0.000243712-0j 0.034948-0j 7.88174e-05-0j 0.0134439-0j -3.84307e-06-0j -5.53023e-06-0j -0.00320318-0j 0.667499-0j 3.52239e-07-0j 0.000439058-0j -1.13363e-05-0j -3.70979e-05-0j -0.0347881-0j 1.78618e-06-0j 
-0.0010599-0j -0.00678398-0j 3.05048e-06-0j 1.18145e-05-0j -0.000111724-0j -0.00290267-0j -0.00677815-0j -0.0010113-0j 3.52239e-07-0j 0.962294-0j 0.000100249-0j 0.000388263-0j 0.000501245-0j 1.98464e-08-0j 0.00179731-0j 
-0.00264866-0j 0.000925338-0j -0.00110224-0j 9.75392e-05-0j -0.00184178-0j -1.83029e-05-0j 0.000616892-0j -0.00603721-0j -0.000439058-0j -0.000100249-0j 0.858459-0j 0.00838934-0j 0.00413824-0j -5.2537e-05-0j -0.000508355-0j 
-0.000760461-0j -0.00360718-0j -0.000199692-0j -0.00116658-0j 2.72843e-06-0j -0.0042361-0j 8.18529e-05-0j 1.83029e-05-0j -1.13363e-05-0j 0.000388263-0j -0.00838934-0j 0.954587-0j 0.000549086-0j 2.17407e-08-0j 0.00196885-0j 
-0.000975392-0j -0.00223409-0j -0.000191041-0j -0.000235494-0j -0.000209153-0j 9.15144e-05-0j -0.00148939-0j -0.00104637-0j -3.70979e-05-0j 0.000501245-0j -0.00413824-0j 0.000549086-0j 0.92376-0j -2.93755e-06-0j 0.00254178-0j 
-1.23831e-05-0j 6.56856e-07-0j 0.000118516-0j 6.92387e-08-0j -0.00568679-0j -3.62344e-09-0j 4.37904e-07-0j 0.000649139-0j 0.0347881-0j -1.98464e-08-0j -5.2537e-05-0j -2.17407e-08-0j 2.93755e-06-0j 0.580672-0j -1.0064e-07-0j 
-0.00011982-0j -0.000568358-0j -1.54688e-05-0j -5.99102e-05-0j -1.26302e-05-0j -0.000328142-0j -0.000378906-0j -8.47259e-05-0j -1.78618e-06-0j -0.00179731-0j -0.000508355-0j -0.00196885-0j -0.00254178-0j -1.0064e-07-0j 0.990886-0j 
