-0.0614409-0j 0.138476-0j 0.0138604-0j 0.0101222-0j -0.109252-0j -0.042269-0j 0.192427-0j 0.140528-0j -0.408889-0j 0.322929-0j -0.044833-0j -0.387671-0j 0.0609697-0j -0.00808982-0j -0.0137541-0j 0.0646681-0j -0.13305-0j -0.0971662-0j 0.0990697-0j 0.108414-0j 0.00182498-0j -0.00858055-0j 0.0176539-0j 0.0128926-0j -0.0131452-0j -0.014385-0j 0.000769478-0j -0.0153776-0j -0.0091694-0j -0.197788-0j 0.00204039-0j 0.00121665-0j -0.00579924-0j 0.0262437-0j 
0.00132776-0j -0.00896306-0j -0.0105432-0j 0.0215392-0j 0.0131519-0j 0.111667-0j 0.0046151-0j -0.0094284-0j 0.113803-0j 0.0826088-0j 0.0706259-0j -0.0609697-0j -0.0160773-0j -0.000157116-0j 0.127663-0j -0.0101684-0j 0.130105-0j -0.265798-0j -0.344988-0j -0.159251-0j 0.0012476-0j -9.93714e-05-0j 0.00127146-0j -0.00259753-0j -0.00337142-0j -0.00155629-0j 0.00274874-0j -0.158819-0j 0.448129-0j 0.0793982-0j -0.00155206-0j 0.00437936-0j 0.281271-0j 0.000775923-0j 
-0.00514239-0j 0.0347138-0j 0.0408337-0j -0.0834211-0j -0.0509373-0j 0.0148166-0j 0.000612359-0j -0.00125102-0j 0.0151-0j 0.010961-0j 0.00937107-0j -0.00808982-0j 0.000157116-0j -0.0178776-0j -0.0012476-0j 9.93714e-05-0j -0.00127146-0j 0.00259753-0j 0.00337142-0j 0.00155629-0j 0.141959-0j -0.0113071-0j 0.144674-0j -0.295562-0j -0.383619-0j -0.177084-0j 0.312767-0j 0.00155206-0j -0.00437936-0j -0.000775923-0j -0.176603-0j 0.498309-0j -0.00274874-0j 0.088289-0j 
0.0105432-0j -0.00847497-0j -0.0251559-0j -0.0180612-0j 0.0039761-0j 0.0501792-0j 0.194581-0j 0.139703-0j -0.0576658-0j 0.0378476-0j -0.0592216-0j -0.0137541-0j -0.127663-0j -0.0012476-0j 0.304602-0j 0.150669-0j -0.350047-0j -0.251324-0j 0.0847032-0j -0.0481449-0j 0.00297674-0j 0.00147242-0j -0.00342086-0j -0.00245608-0j 0.000827767-0j -0.000470498-0j -0.00230489-0j 0.133173-0j 0.0794093-0j 0.0142856-0j 0.00130144-0j 0.000776031-0j -0.235853-0j 0.000139607-0j 
0.00075471-0j -0.0105782-0j 0.0111828-0j 0.00816674-0j -0.0139497-0j -0.0706259-0j -0.00489505-0j -0.00357484-0j 0.0646864-0j 0.0974951-0j 0.287438-0j 0.0646681-0j 0.0101684-0j 9.93714e-05-0j 0.150669-0j -0.041384-0j -0.137998-0j -0.100779-0j -0.196094-0j -0.187949-0j 0.00147242-0j -0.000404428-0j -0.00134859-0j -0.00098487-0j -0.00191634-0j -0.00183674-0j 0.000620825-0j 0.168453-0j 0.100446-0j -0.0842145-0j 0.00164621-0j 0.000981611-0j 0.0635274-0j -0.000822991-0j 
0.00965655-0j 0.00967702-0j 0.0259809-0j -0.00666811-0j -0.016972-0j 0.0576658-0j 0.178217-0j -0.0457402-0j -0.0591755-0j 0.0295617-0j 0.0611639-0j 0.13305-0j 0.130105-0j 0.00127146-0j 0.350047-0j 0.137998-0j -0.359212-0j 0.0921934-0j -0.0594582-0j -0.228669-0j 0.00342086-0j 0.00134859-0j -0.00351041-0j 0.000900965-0j -0.000581059-0j -0.00223468-0j -0.000506902-0j -0.137541-0j -0.0820136-0j -0.241668-0j -0.00134413-0j -0.000801482-0j -0.0518699-0j -0.00236171-0j 
-0.00705215-0j 0.0197697-0j 0.00666811-0j 0.00299663-0j 0.0123946-0j 0.117808-0j 0.0457402-0j 0.0205555-0j 0.0432157-0j 0.0603931-0j -0.0446678-0j -0.0971662-0j 0.265798-0j 0.00259753-0j -0.251324-0j -0.100779-0j -0.0921934-0j -0.0414314-0j 0.0434222-0j -0.467159-0j -0.00245608-0j -0.00098487-0j -0.000900965-0j -0.000404891-0j 0.000424345-0j -0.00456533-0j 0.00416031-0j 0.100446-0j 0.0598942-0j 0.176489-0j 0.000981611-0j 0.00058532-0j 0.425714-0j 0.00172475-0j 
0.0256054-0j 0.00455778-0j 0.00628676-0j 0.0045912-0j 0.00443386-0j 0.0740896-0j 0.0890005-0j 0.0649968-0j 0.0520079-0j -0.104568-0j -0.0421132-0j 0.0990697-0j 0.344988-0j 0.00337142-0j 0.0847032-0j -0.196094-0j 0.0594582-0j 0.0434222-0j -0.392463-0j 0.0597386-0j 0.000827767-0j -0.00191634-0j 0.000581059-0j 0.000424345-0j -0.00383536-0j 0.000583799-0j 0.000349017-0j 0.0947011-0j -0.267212-0j -0.372192-0j 0.000925471-0j -0.00261135-0j 0.035714-0j -0.00363727-0j 
0.0131519-0j 0.0157532-0j -0.0039761-0j 0.00812295-0j 0.0207587-0j -0.0225679-0j -0.0853035-0j 0.174271-0j 0.107189-0j -0.0266927-0j 0.0266347-0j -0.108414-0j -0.159251-0j -0.00155629-0j 0.0481449-0j 0.187949-0j -0.228669-0j 0.467159-0j -0.0597386-0j -0.251359-0j 0.000470498-0j 0.00183674-0j -0.00223468-0j 0.00456533-0j -0.000583799-0j -0.00245642-0j 0.00103661-0j -0.0598942-0j -0.035714-0j -0.132979-0j -0.00058532-0j -0.000349017-0j 0.106074-0j -0.00129954-0j 
-0.0408337-0j 0.0328234-0j 0.0974282-0j 0.0699507-0j -0.0153994-0j 0.00665808-0j 0.0258181-0j 0.0185367-0j -0.00765145-0j 0.00502184-0j -0.00785788-0j -0.00182498-0j 0.0012476-0j -0.141959-0j -0.00297674-0j -0.00147242-0j 0.00342086-0j 0.00245608-0j -0.000827767-0j 0.000470498-0j 0.33871-0j 0.16754-0j -0.389245-0j -0.279467-0j 0.0941881-0j -0.053536-0j -0.262263-0j -0.00130144-0j -0.000776031-0j -0.000139607-0j 0.148086-0j 0.0883014-0j 0.00230489-0j 0.0158853-0j 
