0.764162-0j 0.0195871-0j 0.00758495-0j -0.00179527-0j -0.00128807-0j -0.0245776-0j -0.00422805-0j 0.015613-0j -0.00139063-0j 0.00158743-0j -0.0173195-0j 3.30735e-05-0j 0.002453-0j 0.00246012-0j 0.000140435-0j -0.00115458-0j 0.000102837-0j 0.000202952-0j 1.99975e-05-0j 4.97156e-06-0j -2.1435e-06-0j -1.66035e-05-0j 
-0.0195871-0j 0.853751-0j 0.0016721-0j 0.00271037-0j 0.00395546-0j 4.50067e-05-0j 9.30962e-06-0j 0.00169214-0j 0.0134172-0j -5.99991e-06-0j -0.00188994-0j 0.00452932-0j -0.0157976-0j -3.10014e-05-0j -0.000666144-0j -0.000125134-0j -0.000992205-0j -0.000306403-0j -1.01638e-08-0j 0.00211971-0j 1.01675e-05-0j 7.87574e-05-0j 
-0.00758495-0j 0.0016721-0j 0.827399-0j 0.0092762-0j 0.00493235-0j 7.27179e-05-0j -0.000416516-0j 0.000310193-0j -8.90598e-05-0j -0.0195832-0j -0.00353-0j 0.0116297-0j -0.00442089-0j 0.00109533-0j 1.81882e-05-0j 0.00208083-0j -0.000597431-0j -0.000777155-0j 1.30126e-06-0j -2.88821e-05-0j -0.0015199-0j 9.64577e-05-0j 
-0.00179527-0j -0.00271037-0j -0.0092762-0j 0.898543-0j 0.000362541-0j -0.000246512-0j 8.53279e-07-0j -0.00926823-0j 0.00122976-0j -0.00198909-0j 5.99991e-06-0j 0.000870323-0j 1.61547e-05-0j 0.000169802-0j 0.00364862-0j 0.000685386-0j -9.09412e-05-0j 0.00167824-0j 5.56693e-08-0j -1.07175e-06-0j 0.00679718-0j -0.000431372-0j 
-0.00128807-0j -0.00395546-0j -0.00493235-0j 0.000362541-0j 0.891347-0j 6.02012e-06-0j -2.74615e-05-0j 0.000111923-0j 0.000436302-0j 3.59995e-05-0j -0.000392769-0j 0.000941288-0j -0.00159514-0j -0.0142099-0j 0.00680696-0j 0.000750803-0j 0.0029268-0j 0.00183842-0j 6.09827e-08-0j 0.000141493-0j -6.10052e-05-0j -0.000472544-0j 
0.0245776-0j 4.50067e-05-0j 7.27179e-05-0j 0.000246512-0j -6.02012e-06-0j 0.675167-0j -0.0142157-0j -0.00439762-0j -3.86477e-06-0j 0.00944671-0j 0.00172473-0j 4.5189e-08-0j 7.66514e-06-0j -0.00232462-0j -1.14665e-05-0j 0.000325205-0j 2.85801e-07-0j -2.78677e-05-0j -0.00707252-0j 3.36819e-09-0j 1.75016e-07-0j 1.35567e-06-0j 
-0.00422805-0j -9.30962e-06-0j 0.000416516-0j 8.53279e-07-0j -2.74615e-05-0j 0.0142157-0j 0.61358-0j -9.45145e-06-0j 1.61593e-07-0j -0.00383495-0j 0.0418409-0j 3.48625e-07-0j 0.000134703-0j 0.000610568-0j -3.30014e-08-0j -6.34022e-05-0j 1.084e-06-0j 4.32692e-06-0j -0.0392568-0j 5.24048e-08-0j -2.25945e-08-0j -1.75016e-07-0j 
-0.015613-0j 0.00169214-0j 0.000310193-0j 0.00926823-0j -0.000111923-0j -0.00439762-0j 9.45145e-06-0j 0.831972-0j 0.00813049-0j 0.000215696-0j 3.93805e-05-0j 2.1435e-06-0j 3.26972e-05-0j 0.000730223-0j -0.00109993-0j 0.00138722-0j 1.35567e-05-0j -0.000518103-0j 8.6751e-07-0j 1.59767e-07-0j 8.30176e-06-0j 6.43051e-05-0j 
-0.00139063-0j -0.0134172-0j 8.90598e-05-0j 0.00122976-0j 0.000436302-0j 3.86477e-06-0j 1.61593e-07-0j -0.00813049-0j 0.925134-0j -3.19535e-07-0j 3.48625e-06-0j 0.000496102-0j 2.88023e-05-0j -2.2138e-06-0j 0.00426003-0j -1.35567e-05-0j 0.00154256-0j -6.87451e-05-0j -2.68384e-10-0j 7.45734e-05-0j -3.21526e-05-0j -0.000249053-0j 
0.00158743-0j 5.99991e-06-0j 0.0195832-0j -0.00198909-0j 3.59995e-05-0j -0.00944671-0j -0.00383495-0j -0.000215696-0j -3.19535e-07-0j 0.735821-0j -0.00221953-0j 2.05137e-05-0j -3.41045e-05-0j 0.00673488-0j -1.91721e-06-0j -0.00144693-0j -2.1435e-06-0j 0.000166645-0j -0.000905775-0j -2.52614e-08-0j 0.000160211-0j -1.01675e-05-0j 
0.0173195-0j -0.00188994-0j -0.00353-0j -5.99991e-06-0j 0.000392769-0j 0.00172473-0j -0.0418409-0j 3.93805e-05-0j -3.48625e-06-0j 0.00221953-0j 0.69914-0j 0.000106757-0j 0.0333507-0j -0.00122962-0j 3.50033e-07-0j 0.000264173-0j -2.33865e-05-0j -3.04251e-05-0j 0.000165371-0j 4.9962e-05-0j 2.39651e-07-0j 1.85633e-06-0j 
