0.0219+0.0307017j 0.00647977+0.103501j -0.0152868+0.0922815j -0.0153431+0.0358173j 0.00281491+0.00506594j -0.0108709+0.00203369j -0.0117075+0.146609j -0.0148034-0.496343j -0.00432542+0.00175085j 0.0227288-0.0518969j -0.0141054+0.0243554j -0.0605957+0.0622971j 0.0250967+0.117704j -0.034963-0.0641216j -0.0298792+0.0732674j -0.123669+0.16567j 0.139291-0.184354j 0.0239984-0.364887j 
0.00538904-0.00240123j 0.00298509-0.148876j -0.0127153-0.0279122j -0.00532822-0.0405867j -0.00621461-0.0305528j -0.021535-0.127276j 0.00647425+0.317583j -0.00547938-0.0441632j 0.0199456-0.115161j -0.0128824-0.034752j -0.0121371-0.156061j -0.0228029-0.0182177j 0.0407467-0.29346j -0.00552404+0.158125j 0.0283577+0.026707j 0.0309504+0.1656j 0.00485579-0.410365j -0.156407+0.223745j 
-0.0231363-0.00890322j -0.0171184+0.0485523j 0.0293389+0.0115242j 0.0169915+0.0405245j 8.96194e-05-0.0652632j 0.0299685+0.0688707j 0.0133448+0.0374345j 0.000499845-0.101113j -0.00632484-0.0179258j -0.00961374+0.00154751j 0.00959157-0.0153123j 0.0651902+0.055887j -0.0503209+0.0547953j -0.000208325+0.012161j 0.00904937+0.0560692j 0.0342394+0.173515j -0.0423688-0.114011j 0.0247052-0.123218j 
-0.0158525+0.0140515j 0.0151295-0.0247474j 0.0357845-0.0440065j 0.00183285+0.0291091j 0.0151486-0.089772j 0.00796196+0.0513596j 0.0180645+0.0332057j 0.00188313+0.0603824j -0.0422122+0.000382826j 0.0716119-0.043095j -0.000448913+0.0160091j -0.0467851-0.0793996j 0.0162992-0.104418j 0.0174135+0.0137121j 0.0178-0.013137j 0.00412186-0.0448248j 0.0656386-0.0643979j 0.0120171+0.155673j 
-0.00664429+0.0532665j -0.00861364+0.0487336j 0.0181466+0.0162362j 0.00678855+0.10887j 0.00495846+0.574898j 0.00991575-0.106254j 0.00740767-0.0667606j 0.00395822-0.0202648j -0.0333579+0.213727j -0.022095-0.111963j 0.0100478+0.141437j 0.00488305-0.383965j 0.0385532+0.0054087j 0.010059+0.0718309j -0.0298489+0.0676681j 0.114919-0.156757j 0.0365079-0.130187j -0.0597921-0.09655j 
-0.00857389-0.00659626j 0.0144496-0.0382122j -0.000493944-0.00111897j 0.00277713+0.101101j 0.0018191+0.0339808j -0.00710736+0.00548939j -0.0135778+0.0154452j -0.00226895+0.0223914j -0.0449948-0.0212652j -0.0243739+0.027716j 0.0149984+0.0744843j 0.0136916+0.115981j -0.00940753-0.0172364j -0.00826094+0.0227981j -0.121174+0.00631373j 0.0663315+0.0686308j -0.0296063-0.0507116j 0.129648+0.0717213j 
-0.0122704-0.0515257j 0.0127207-0.124861j -0.0113794+0.227932j 0.00807346-0.32794j -0.00974013+0.48521j -0.00400078-0.364576j -0.00861192-0.0420184j 0.0110659-0.104336j 0.0131404-0.0281082j -0.0365009+0.0907749j 0.00469845-0.105314j 0.0581683+0.111163j -0.0674154+0.0341672j -0.0080809+0.0898622j -0.0283947+0.0461585j -0.0621783+0.032467j -0.0125006+0.00118794j 0.0800706+0.117485j 
-0.0129819+0.0337942j -0.0042789+0.00923379j 0.018237-0.246146j -0.00408475+0.328918j -0.00532312+0.173132j 0.00966262+0.0756249j 0.00892018+0.143106j 0.00315992+0.00933626j 0.0490742+0.0304896j 0.0434427+0.0527087j -0.00451343+0.0310321j -0.000924398+0.0743123j -0.0336223-0.0141623j -0.0396178+0.0154813j -0.0534499-0.0340418j -0.00327136-0.00275005j -0.0307335-0.00103961j 0.0187417+0.00439367j 
-0.0165116+0.0273662j -0.00197421-0.0140393j 0.0088829-0.441281j 0.0149389+0.406843j -0.0029041+0.231538j 0.0055272+0.0725244j 0.00716396+0.314771j 0.00109743-0.0055807j 0.00955183+0.0561745j -0.0011504+0.0869811j -0.000497801+0.163207j 0.021986+0.0393174j -0.0261267-0.0630733j 0.0251023-0.0113977j 0.0745721-0.0711998j -0.063479-0.0863178j 0.00268512-0.0226714j 0.0408641-0.0246763j 
0.00859154-0.126962j 0.014512-0.0459527j 0.00666802-0.424134j -0.00742101-0.368425j 0.00445293+0.105998j 0.00465456-0.133178j 0.00795233+0.440695j 0.0178107-0.180661j -0.00840464-0.0979565j 0.00233201+0.132751j -0.00372539-0.250672j -0.00224041+0.137111j 0.00541602+0.0157044j -0.0279775+0.0173736j -0.0276598-0.0528589j -0.0113427-0.0123154j -0.0239864+0.217573j 0.00907969-0.0341294j 
0.0207397-0.2339j 0.0195961-0.00938668j -0.00141206-0.0804634j -0.00561371+0.0308192j 0.00480549+0.365504j 0.000549138+0.201172j 0.0032297-0.181019j -0.00198005+0.397444j -0.00772587+0.0443033j 0.00409365+0.0727462j 0.00336148+0.0363394j 0.00672957+0.245767j 0.00232704+0.106009j 0.00195049+0.132438j 0.00286684+0.0608654j -0.0219829+0.302397j -0.0237547+0.0583846j 0.0463505-0.00119115j 
-0.0765266+0.310372j -0.0170867-0.329969j 0.00795394+0.281614j 0.0303338+0.367133j -0.0191044+0.00428458j -0.0172425-0.464725j 0.0159395+0.0549606j 0.00303938-0.0337043j 0.015672-0.117689j -0.0533372+0.16145j -0.00480705+0.163936j 0.00782483+0.210624j 0.0360973-0.0728396j 0.00103095-0.0807139j 0.0277714-0.0640425j 0.0147882-0.0181992j -0.0834634+0.107932j -0.000184651-0.0898957j 
-0.179087+0.020529j -0.0944657-0.0287964j 0.192916-0.0751325j 0.113819-0.0801124j 0.00448542-0.138908j 0.156528-0.0261799j 0.0656734+0.0542382j 0.0297806+0.0532832j -0.100027-0.0120678j -0.00745889+0.0038864j 0.0629046-0.0365698j 0.253541-0.0860278j -0.169311+0.0197588j 0.100871+0.0256821j 0.0691981+0.0281127j 0.268089+0.0555273j -0.265787-0.0864423j 0.133105-0.0990483j 
0.00568364+0.132089j 0.0371254-0.260984j -0.0580782-0.186002j -0.0186825-0.0725805j -0.00941868-0.215386j -0.0621229-0.239785j -0.0307046+0.0176799j -0.0063845+0.57185j 0.0373593-0.00644705j -0.001252+0.151048j -0.0174656-0.0755205j -0.0573907-0.186842j 0.0253883+0.0194991j -0.0400482+0.111226j -0.0312199+0.0516793j -0.097045+0.0436717j 0.0998953-0.0784197j -0.0296666-0.210103j 
0.000740588+0.131576j -0.0357725+0.0787636j 0.00789921+0.036535j -7.58423e-05+0.325811j -0.00858298+0.0884274j 0.00995157+0.0450087j 0.0268972-0.154829j 0.000734154-0.0289218j 0.0416496+0.0416149j -0.0234157+0.0429272j -0.010419-0.803983j -0.0167659+0.0672064j 0.0933819+0.0877916j 0.0142214+0.0546193j 0.0577515-0.00160983j 0.102891+0.0371835j -0.0507676+0.0460834j -0.192424-8.02385e-05j 
