0.0152905-0.0886951j 0.0171586+0.12606j 0.000885753-0.0140545j 0.014198-0.39237j -0.0312935-0.0459682j 0.00804719+0.0358732j -0.0802248+0.0066567j 0.0323373-0.032896j 0.0434751+0.10539j -0.0460941-0.0896274j -0.0564499-0.0807298j 0.0894916+0.110785j -0.0287536-0.0333557j 0.0534288+0.0501986j 0.0428504-0.0529851j 0.0240236+0.0164595j -0.0157861+0.00192637j 0.0274813-0.0462753j -0.0123166-0.00565869j 0.015592+0.0023532j -0.0161848-0.0302491j 0.0116891-0.0338503j 0.0105323+0.0208339j -0.0384169-0.017262j 0.00791174+0.0269291j 0.0130531-0.00543295j -0.00426947-0.0375638j 0.00214743-0.0239595j 0.017608+0.0221161j -0.00231792-0.00262272j -0.0213425+0.00779326j -0.00958776+0.035049j 0.036256+0.0148209j 0.00214581+0.0485221j 
-0.0200236-0.128406j 0.00686797+0.148734j -0.0062409-0.0970738j -0.00237272-0.555057j 0.0294277-0.0425018j 0.00481478+0.0915834j 0.0507952+0.0450973j -0.00972085-0.039406j -0.0204247+0.144985j -0.0210956-0.128063j 0.0134711-0.153437j 0.0554524+0.20717j 0.0213176-0.0221774j 0.0286329+0.140192j 0.0121204-0.0200848j -0.00100399+0.0413635j 0.00808424-0.00389582j -0.0266288-0.0411457j 0.0159163-0.0174212j -0.0352194-0.00518881j -0.0458696-0.0885396j 0.0379343-0.032812j 0.00112581+0.0170775j -0.0127317-0.0507864j -0.00347298+0.0534538j 0.0295114+0.00262611j 0.0155404-0.0493946j 0.0323757-0.049544j 0.0022027+0.031042j 0.000210738+0.000357019j -0.00942932+0.00483152j -0.0127319+0.0211896j 0.0338153+0.0424488j -0.00377736+0.0603401j 
0.0278401+0.172052j -0.0354111+0.10287j 0.0145311-0.35789j -0.00296036-0.108708j 0.0166059+0.169806j -0.0134636-0.0284994j -0.0371243-0.280126j 0.00411039-0.236154j -0.00163743-0.100628j -8.32023e-05-0.103681j -0.00585595+0.0908681j -0.106251+0.177172j 0.000226208+0.0422868j -0.0495081-0.108164j 0.0459422+0.124793j 0.0405777+0.173395j -0.0137814-0.0528166j 0.00641163+0.051795j -0.0293135-0.0588026j 0.0148669-0.00555033j 0.0365209+0.0458156j 0.00668809-0.0123248j -0.00622114-0.000113035j 0.00756229-0.0610958j -0.0379207-0.0274178j 0.0194469-0.0398267j 0.021479+0.0116316j 0.0291187+0.035338j -0.0197701+0.00185994j 0.0367007-0.0141714j -0.0246586-0.0579787j -0.0256768-0.00981669j -0.0172545+0.0859778j -0.0492945-0.0396029j 
0.00498423+0.011727j 0.00523701+0.034709j -0.000596994-0.0344897j 0.00192049-0.0403546j -0.0495053+0.0036307j -0.0145577-0.04336j -0.00837822-0.00960357j -0.038872+0.0388478j -0.0539122-0.0528923j 0.0150258-0.0121022j -0.0339913+0.0036002j -0.0295015+0.0313169j 0.00667552+0.0036301j 0.0167203-0.0119708j -0.0502743-0.0132108j -0.0187908+0.0146355j 4.20036e-05-0.00293624j 0.00426828-0.00643162j 0.00792288-0.00767764j -0.000914953+0.00821938j 0.0130761+0.00970549j 0.00382927-0.0198005j -0.00173752+0.000133347j -0.00239518-0.0202868j 0.0349127+0.0239307j -0.0161695+0.0475663j 0.0542701+0.00973949j 0.0315391-0.0130411j 0.000883193-0.0142124j 0.0196541-0.0317253j 0.0318288+0.00958238j 0.0129474-0.0236766j -0.00444781+0.00456841j 0.000801631-0.00898899j 
-0.000506208-0.282564j -0.0137741+0.00840695j 0.00922978+0.607041j 0.00709395-0.0315829j -0.0253839-0.00643341j 0.0107419-0.110707j -0.0428884+0.0410259j 0.00905539+0.0893552j 0.00646757+0.026117j -0.0407861+0.065209j 0.0353377-0.0733746j -0.0326884+0.0532151j -0.00869554-0.104538j -0.0197635+0.0982857j -0.00563141-0.133602j 0.0108578-0.0127826j 0.00688714+0.0335771j -0.0130142-0.0241576j 0.022052+0.0276248j -0.00891343+0.0180876j 0.0134514-0.0215604j 0.0241316-0.00457426j 0.0159148+0.0201732j -0.0011213+0.0338819j -0.0149536+0.0243842j 0.0123923+0.0196579j 0.0147552-0.0098264j 0.0278567-0.0127672j -0.00115663+0.00258744j -0.0120637-0.0125666j -0.0165448+0.0449092j 0.0021172+0.0160444j 0.0154443+0.00428345j -0.00325947+0.044062j 
0.00146452+0.158687j -0.00552716-0.0519275j -0.0141917-0.475157j -0.0120524-0.0940684j 0.000500565-0.169319j -0.00276308+0.306182j 0.0545363+0.293769j -0.00515619+0.243704j 0.00197795-0.0663024j 0.0505014+0.0794128j -0.0187046-0.00693818j 0.0290748-0.170116j -0.0167914+0.0901691j -0.010782+0.101631j -0.0101179-0.0982511j -0.000640608-0.191192j 0.0280352+0.0625702j 0.041132+0.0044517j 0.0192075+0.0599809j -0.00757421-0.0522931j -0.0212381-0.0727377j 0.0239399-0.00388297j 0.00580599+0.0266224j -0.00695223+0.079244j -0.000606059+0.00769962j -0.0121915+0.0149808j 0.00605063-0.0114828j -0.014075-0.055727j -0.0126866+0.00330485j -0.0537798+0.0220891j 0.00788287+0.0297003j 0.0169253+0.0145837j 0.0139769-0.053018j 0.0210597+0.051678j 
-0.00459504-0.120374j -0.00930325+0.154444j 0.00657129+0.0271063j -0.000506654-0.435348j 0.0155208+0.188094j -0.00962136-0.0389371j -0.0189582-0.210942j -0.0150569+0.313192j -0.0183891-0.532265j -0.012868+0.123482j 0.0270273+0.00177433j -0.080198-0.163274j 0.0127589-0.0461048j 0.0093713-0.113006j -0.0115666-0.222511j -0.0113486+0.0264552j -0.0299528-0.0338348j -0.0354648-0.0732769j -0.0109914+0.00293518j -0.0086494-0.0429102j 0.0152725+0.0507293j 0.0221707-0.0295559j -0.0226088+0.00478336j -0.0225258+0.0233674j -9.9571e-05-0.0988386j -0.0250701+0.000261908j 0.0123056+0.0693191j -0.0540889+0.0222507j -0.0496093+0.00322056j 0.0121266-0.0225926j 0.00665868+0.0161554j 0.00687413+0.0342553j -0.00170338-0.000668641j 0.00756755-0.0213173j 
0.000588916-0.055231j -0.0177847+0.0213873j 0.00645064-0.000413724j -0.00495277-0.380232j -0.0110494-0.0803126j -0.000278807-0.0862024j -0.0156336-0.0324364j 0.00692198-0.487371j 0.00598825+0.419915j 0.0147688+0.0370129j 0.022235+0.118932j -0.0470987-0.367963j 0.00698478-0.0127413j -0.0174577-0.131893j -0.00186613-0.0292276j 0.00176854-0.0192582j -0.00319919+0.018052j 0.0052157+0.00421277j 0.00677573+0.0351116j -0.0130533+0.0381976j -0.00490721+0.00929972j -0.00227133-0.0109149j -0.0243376+0.0124341j 0.00876068+0.0182667j 0.0314245-0.00435557j -0.0198925-0.00733719j -0.0485791-0.0181846j -0.0194924+0.052828j 0.050835-0.0360587j 0.0163086-0.0050762j 0.0359354-0.00441396j -0.0484276+0.00250663j 0.00946809-0.0441735j 0.0153087-0.00868032j 
-0.00789271-0.0882508j -0.0043465-0.065119j -0.00408342+0.190662j -0.00041345+0.0552821j 0.00246893+0.152571j 0.00560296+0.790792j 0.0127101-0.131416j -0.011424-0.405406j -0.0212517-0.152889j -0.0464366+0.182712j 0.0144996-0.0567558j 0.0292954+0.0214106j -0.0174468-0.109216j -0.00633111+0.0385618j -0.0227675+0.0764j -0.00602929-0.013158j 0.0128441+0.0163789j -0.000292477-0.00626289j -0.0583091-0.00729918j 0.00231413-0.135768j -0.030685+0.0207599j 0.0294899-0.0198713j -0.00198703-0.0117054j -0.00320807+0.0444362j -0.00563722-0.00660497j -0.0204829-0.0131147j 0.0168865+0.0267288j -0.014491-0.024356j -0.0281+0.00914657j -0.0160768-0.0132647j 0.00458602-0.0105174j 0.00698408-0.00783573j -0.00209543-0.00912177j -0.00224084-0.00431219j 
-0.00551594+0.0296283j 0.0688226+0.0212157j -0.0126465-0.0422386j 0.0187498+0.097184j 0.0198837+0.0422707j 0.0355951-0.141036j -0.0398762-0.0432522j 0.0497884-0.105533j 0.041074-0.113593j -0.238563+0.0629049j -0.179313+0.0836768j 0.486872-0.0230192j -0.0109183+0.0297141j 0.160043-0.0461108j 0.149378-0.0752777j 0.116464+0.00475823j -0.0334192-0.0210133j 0.00503073-0.000317088j -0.0804335-0.000715105j 0.0241986-0.00597839j -0.0127427+0.0381755j -0.00889856+0.00973765j -0.000470781-0.0282427j -0.10032-0.00977862j 0.0579434+0.0156697j -0.00916717-0.0460811j -0.0323825-0.0305163j -0.0551431-0.0361175j 0.0520702+0.00985571j 0.00570812-0.0125797j -0.0261545+0.036147j -0.010391-0.00848401j 0.0942813+0.0175369j 0.0233253+0.0126083j 
-0.0380916-0.0115334j 0.0206758+0.109298j -0.0153823-0.0745614j -0.00647192+0.144554j -0.0227071+0.00518298j -0.0214025-0.301594j 0.0673162+0.152961j -0.0719813-0.472517j -0.0860174-0.158606j 0.0690149+0.0970803j 0.0309272+0.106955j -0.0995303+0.197633j -0.00196545+0.0669511j 0.0326367+0.047077j -0.0686763-0.268861j -0.0639087-0.0398955j 0.00626048-0.0192114j -0.0223586-0.0534751j 0.0149226+0.0395858j -0.00210006-0.0254035j 0.0494434-0.00492174j 0.0212826+0.0261253j 0.0415051+0.0181644j -0.0117386+0.00303014j -0.0201141+0.0203974j 0.00879196+0.00904602j -0.00207684-0.0253172j 0.0288352+0.0173265j 0.0288904-0.0313613j -0.0177562+0.00765471j 0.00468075+0.00865603j 0.0178796+0.0612563j -0.00556256+0.0219177j -0.020613+0.0336368j 
