0.84866+0.00297892j 0.0962769-0.00760208j 0.0776452+0.0581465j 0.0688649+0.0671207j -0.0625169+0.0319174j -0.075529+0.050375j -0.0215396+0.008067j -0.0211983-0.0307507j -0.0299077+0.065553j -0.0415128-0.0126477j 0.0537574-0.00747763j 0.0183506+0.0195129j -0.0646325-0.0286183j 0.0528959-0.0284242j -0.0418145-0.0033623j -0.0987431+0.0513693j 0.00861375+0.0400403j 0.0355322+0.00639153j -0.0477879-0.00456746j 0.026807-0.00912229j -0.0835053+0.0230693j -0.0453077+0.0681988j 0.0427128+0.00204693j 0.075056-0.0281169j 
-0.120791-0.00625409j -0.00195152+0.033438j -0.000948359+0.0888589j -0.014436-0.0401025j 0.0156762-0.00786617j 0.0175082-0.0194215j -0.0247549+0.00151871j 0.00889355+0.00844465j -0.0393917-0.000749144j -0.00335549-0.0594368j -0.0125976+0.00146775j 0.0226487-0.00910755j 0.0317447-0.0113164j 0.00480569-0.00513012j 0.00624494+0.00978756j 0.00720607+0.00340658j -0.0465543+0.0073213j -0.0117093+0.0105493j -0.00149829-0.0100801j 0.00300656+0.0242912j 0.0109832-0.0340784j 0.00500564+0.0168787j -0.000164427+0.00289937j 0.00238755+0.020505j 
0.464318-0.00762745j 0.281191+0.0417796j -0.149658-0.0794808j -0.00901706-0.0988521j -0.119545-0.011658j 0.151947-0.0866462j -0.0196765+0.016632j 0.0507842+0.0444526j 0.0220951-0.0808407j 0.02325-0.0059826j -0.0898996+0.0385494j -0.0559881-0.0108142j 0.0291628+0.0233543j -0.00480884+0.0376481j 0.0283122+0.00799768j 0.157775-0.106875j -0.0258183-0.0221935j -0.111217+0.0130629j -0.00116847-0.0023237j -0.000848505+0.0168824j 0.113566-0.0713063j 0.136012-0.11324j -0.0335922-0.0027794j -0.0496303+0.0790172j 
0.0080071+0.11236j -0.0904639-0.275151j -0.306281+0.150386j 0.0546766+0.062161j -0.0476396+0.0719767j -0.110979-0.0864492j 0.0243382-0.0677926j -0.0442235-0.0188477j -0.103137-0.0464649j 0.0108291-0.0309094j 0.0169423+0.156943j -0.0294113+0.0286605j 0.0742192-0.0362558j 0.0982188-0.0280255j 0.0404838-0.109299j 0.0560412-0.100074j -0.0869959+0.0371744j -0.0102734+0.160148j -0.00325392-0.0100138j 0.0254746+0.0161884j 0.0193667-0.106305j -0.176182+0.0729637j -0.00311368-0.00929158j -0.0122736+0.0811483j 
-0.0235312+0.0358923j 0.290392-0.0165783j 0.0508087+0.315599j -0.289701+0.169123j 0.24042+0.100317j -0.0253721-0.024993j -0.0488087+0.150792j -0.0203719-0.0515562j -0.0133487+0.0490919j -0.0716309-0.0283112j 0.0125101+0.179945j -0.0582724+0.0618732j -0.0150009-0.0100823j 0.00600239-0.0108777j 0.0546512-0.0544621j 0.00735479-0.0203714j 0.022862+0.0509439j -0.00690042+0.0571664j 0.00878304-0.0220982j -0.0091068+0.00357832j 0.00769163-0.0365879j 0.0423527-0.0812166j -0.0183472-0.0412274j -0.0225386+0.00760861j 
0.00326775+0.0569275j 0.135588-0.275219j 0.0475228-0.520572j -0.0797996+0.312821j 0.0874637+0.030758j 0.0062473+0.0700253j 0.0186115+0.0230218j -0.0202529-0.0346875j 0.000749063-0.0242985j 0.0165569+0.00436877j 0.0322894+0.0569344j -0.0123335+0.0664549j -0.00422545-0.00122841j 0.00584543-0.0151898j 0.00494931-0.00744711j 0.016427-0.00712911j 0.0111015-0.0964218j -0.00187523-0.0253296j 0.0429093-0.0123905j -0.042443+0.0361651j -0.0507693+0.0361663j 0.00794715-0.0356794j 0.00587236+0.0137294j 0.00855077+0.0130462j 
0.00550104-0.107013j -0.135322+0.320818j -0.387237-0.175095j -0.0431417-0.000302107j 0.211304+0.186123j -0.0193782+0.188658j -0.131368+0.0524571j -0.0115413-0.0872994j -0.00748773+0.0901267j -0.0480172-0.0413533j -0.0303537+0.0233686j 0.0409883+0.0365054j 0.027571-0.00411957j 0.0386612-0.0287705j -0.0381372-0.00770468j -0.107928+0.0508879j 0.0185988+0.0559376j 0.0406531-0.0129265j -0.0406996+0.0198757j 0.024414-0.0277477j 0.00811046-0.0256818j 0.0117849+0.0087058j 0.00938974+0.0114288j 0.0117992-0.0373572j 
0.0781511-0.000226675j -0.242604+0.0475942j 0.00384379+0.330211j 0.243163-0.0898226j -0.0648161-0.10176j -0.080775-0.182185j 0.064323+0.0842914j 0.0979989+0.0348915j 0.0705179-0.0373535j -0.0153979+0.0166211j -0.0166525-0.011201j 0.0526961-0.0242474j 0.0176524-0.0282894j 0.0504401+0.0712289j 0.0897735+0.0791701j 0.0299229+0.0370055j 0.0201562-0.0605106j -0.127637-0.0288189j 0.0231503+0.0450415j -0.0193316-0.015687j 0.0359117-0.0467374j 0.0283402-0.170766j -0.00529172+0.00771801j -0.00501818+0.00692854j 
0.0619403-0.042006j 0.342529+0.0645347j -0.289328+0.00467763j -0.0439292-0.0954132j -0.0512235-0.126055j 0.187324+0.0609216j 0.104369-0.0312421j -0.0403296-0.112059j -0.0352803-0.0541927j 0.0337004+0.0434445j 0.0939745-0.1271j -0.0295913-0.10004j 0.0171953+0.0323814j 0.00346422-0.0288092j -0.0395782-0.00750289j 0.0239363+0.0669651j -0.00805659-0.114172j 0.0631604-0.0228276j 0.0165014-0.00265243j -0.00544091-0.00881242j -0.0696503+0.0406615j -0.183042+0.0462203j 0.0343538+0.0467489j -0.00665847-0.0278955j 
-0.0264511-0.0371459j 0.0748423-0.0298975j 0.0438699-0.00948486j 0.168377+0.0103863j 0.0558837-0.22948j 0.0838008+0.065785j 0.0260295+0.100086j -0.0308012+0.0109356j -0.0112309+0.252452j -0.331199+0.00552762j 0.110444+0.0923241j -0.00135393-0.163166j -0.0161302-0.0365963j -0.101953-0.0364633j 0.00464565-0.106344j 0.0897485+0.00853285j 0.056595+0.0294961j 0.0531706+0.00596158j -0.00749848+0.0195059j 0.0199842-0.0163765j 0.00635545+0.0307115j -0.014277-0.00438799j -0.0454413-0.0239324j -0.035623-0.0353879j 
-0.0606205+0.047793j 0.0297808-0.0885715j -0.0622878-0.134808j -0.125736-0.16949j -0.248454+0.122414j 0.0323981-0.20477j -0.121718-0.0281877j 0.122574-0.00484919j -0.119412+0.186365j -0.201198-0.084882j -0.109524+0.0623919j -0.100015-0.161086j 0.0201688-0.00413015j -0.0740394+0.0517958j 0.0944708-0.0147583j -0.19391-0.0314824j 0.0646852+0.0132298j 0.0365032-0.0335096j -0.0290818+0.0218921j 0.0272627-0.0167405j -0.080938+0.0166365j 0.012212-0.0342929j 0.0704572-0.0157276j 0.0741288-0.0238283j 
