8.0724e-15-0.312447j 6.35908e-14-0.577287j 1.46765e-15+0.0967392j 1.75452e-14-0.367029j 8.56044e-15-0.414182j 1.00519e-14-0.120554j -1.18045e-14+0.34531j -1.25455e-15-0.0339425j 3.44224e-15-0.0753105j -3.61174e-15-0.0701931j 4.55095e-15-0.128204j 3.92805e-15-0.0906588j -5.9112e-16-0.0283002j 1.26175e-15+0.0658703j -5.53506e-16-0.0675358j -5.21378e-15+0.0346981j -5.05181e-15-0.00990517j 3.47354e-15+0.012884j 1.25606e-12+0.0112767j -3.58676e-15-0.0165768j 2.25761e-15-0.0367804j 1.22625e-14+0.0587139j 3.76092e-15-0.00679079j -2.20411e-15+0.00576773j -2.28768e-15+0.0055184j 5.03525e-16+0.046716j 1.72618e-14-0.0688015j -9.79719e-15-0.00944698j -2.59566e-14-0.00616686j 2.16875e-14-0.080773j 2.1708e-15-0.0212066j 3.56179e-15-0.01279j 6.14333e-15-7.04837e-05j -8.94894e-15-0.0424324j -5.01895e-15-0.0558077j -5.24636e-15-0.0422631j 9.5351e-16+0.0129093j -1.32683e-14+0.0171997j -7.98548e-15+0.0583736j 3.62495e-16-0.00290233j 6.25439e-15+0.0348042j 7.97501e-15-0.0131926j 3.25688e-15-0.0497146j -1.05686e-15+0.0130405j 1.66411e-15-0.106502j -3.15692e-16+0.0537332j -7.40598e-16-0.00296857j -1.20702e-15+0.0393715j 2.0752e-15-0.0264875j -3.78927e-15+0.093103j 1.38492e-15-0.0914464j 2.08292e-15-0.0294789j 3.81154e-15-0.108892j 3.06748e-15-0.0295432j -4.32492e-14-0.0376603j -4.56854e-15-0.13377j 
1.96839e-14-0.574839j -3.64104e-14+0.308929j 2.66667e-15-0.391022j 5.50418e-15-0.0601077j 4.88427e-15+0.112491j 9.38919e-15-0.532392j -2.2912e-15-0.0389649j 1.67291e-16+0.0652505j 1.32562e-15+0.0128718j 1.88412e-16+0.123101j 5.16856e-15-0.115222j -1.79346e-15+0.040024j 3.81388e-15-0.0415048j -6.15528e-16-0.0934165j 4.33563e-15-0.0475579j 8.20481e-15-0.0177142j 3.66401e-15+0.0341508j -7.36787e-15+0.0583507j -4.85589e-12-0.0437744j 2.76996e-15+0.0383121j -2.51883e-15+1.72461e-05j -1.19438e-14-0.0527305j 2.33078e-14-0.0173893j -5.71856e-15-0.014447j -2.08235e-15+0.0297484j 1.52767e-15+0.0291832j 1.3099e-14-0.0138917j -4.46232e-15+0.0538272j 3.17901e-14+0.0130578j 3.3439e-15-0.0035939j 1.2189e-15-0.0460863j -2.84477e-15+0.00517428j -6.00992e-15+0.0241007j 6.65668e-15+0.0647663j -4.35306e-16-0.0471154j 4.06969e-15+0.0346356j -4.42398e-15+0.00310946j 2.14654e-15+0.02617j 1.51429e-15-0.0349904j 2.89779e-14+0.0499913j 8.38876e-15-0.0105595j 5.347e-15+0.0351038j 1.27601e-15-0.0529514j -2.15887e-15+0.0724611j 2.28499e-15-0.0123938j -3.496e-16-0.0566783j 3.74576e-16-0.0322998j -1.09232e-15-0.0155556j -3.53446e-16-0.0839504j -2.70445e-15+0.0401387j 6.27613e-16+0.0634453j 1.24768e-15-0.093586j 1.57489e-15+0.0284259j 1.43643e-15-0.107796j 7.97951e-14+0.13511j 1.98827e-14-0.0379764j 
1.78968e-18+0.0556328j 1.72967e-15-0.000850106j -5.76124e-15-0.431682j 4.49403e-15-0.691208j 1.78608e-15+0.169719j -5.11501e-16-0.160896j -4.05225e-16+0.378666j 3.66407e-15+0.42449j -2.05788e-15-0.319934j 3.9564e-15+0.00623125j 1.12476e-15+0.260427j 7.79768e-16+0.0349166j 1.45937e-15+0.227185j -5.86652e-15+0.0169655j 2.21836e-14+0.128815j 6.29136e-14-0.257644j 9.20943e-15+0.0816166j -3.88451e-14+0.0204669j -1.00975e-11-0.0907912j 3.84903e-14+0.273861j 8.64405e-15-0.100866j -6.87327e-15+0.0155564j -1.55709e-13+0.104197j 1.24563e-14-0.023039j 4.6148e-15+0.0562038j 2.0946e-16-0.0324107j 6.49023e-15-0.0113808j -9.69897e-16-0.0497749j 8.26562e-14+0.0301354j -1.20309e-14+0.0390413j -3.28678e-15+0.0611874j -8.79268e-16+0.0320254j 1.28274e-14-0.0809478j 1.80302e-14+0.0271686j 1.68717e-14+0.0408155j 7.00345e-15+0.171129j 7.69009e-16+0.0804742j 1.30263e-14-0.10451j 8.40996e-15+0.0319891j -1.04712e-14-0.000398465j 5.45985e-15-0.0789238j 1.14634e-14+0.0898269j 1.01292e-15-0.048095j -5.82488e-16-0.0269836j 8.0683e-16+0.0436707j 1.4084e-15+0.0443639j -2.07619e-15-0.00311034j 6.23356e-17-0.145513j -1.78668e-15+0.0311454j -6.95816e-16-0.0916194j -3.8611e-16-0.0695416j -9.28801e-16-0.0115668j -1.25976e-16+0.0425047j -4.33216e-16+0.0170072j -7.3949e-14-0.121258j -1.61908e-14+0.0234669j 
1.03206e-15+0.000675954j -4.79481e-15+0.047656j -2.64157e-15+0.595282j 8.27311e-15-0.327764j 9.21385e-16+0.459678j -1.62542e-15+0.178866j -4.49452e-15+0.628435j 1.68536e-15-0.140941j 4.68017e-15-0.0407633j -6.31595e-15-0.183084j 1.18778e-15-0.00813893j -8.40374e-15+0.417356j 4.75401e-15+0.0152226j -2.70089e-15-0.35768j 2.65752e-15-0.175618j 2.19318e-14-0.0354592j -2.09343e-14-0.0449684j -1.09153e-14+0.0165733j -7.7115e-12-0.0694127j 3.09411e-15-0.000182899j 4.75838e-15-0.126268j -6.77719e-15-0.00606721j -2.01807e-13+0.134524j -8.60059e-15-0.0649182j -1.11111e-15+0.00988938j 6.3178e-15+0.0148988j 3.51213e-16+0.059232j -4.13213e-15+0.0269134j 1.32347e-13+0.0436536j 3.61008e-15-0.00962682j 3.59205e-15-0.0639589j 2.01692e-15-0.0187501j -3.29364e-15+0.0621625j -3.10146e-15+0.0121816j -4.31953e-15-0.00855994j -1.50891e-16-0.0748901j -9.02201e-16-0.0131389j 9.05737e-15+0.000422211j 8.51075e-15-0.0818964j -2.84869e-14-0.0412627j 1.19201e-14+0.00888207j 1.65192e-14+0.025889j -1.9609e-16+0.00507137j 1.85366e-16+0.0688092j 1.20674e-15+0.0579962j 7.35865e-16+0.0129477j -1.29914e-15+0.0836333j 4.08349e-16+0.105105j -4.28956e-16-0.107134j 1.95589e-16-0.0451255j 9.13241e-17+0.0203945j -1.28998e-17+0.07039j 4.65586e-16-0.025673j 8.04478e-16-0.0556352j 4.4357e-14+0.0430074j 9.57579e-15+0.124456j 
5.84642e-16-0.00749324j 8.42334e-16-0.00835986j 1.19639e-15+0.0968786j 1.87221e-15-0.0557573j 8.56164e-15-0.320647j -1.25016e-14+0.537837j -1.12821e-14-0.0743149j -3.10765e-15+0.635094j -3.94562e-15-0.0459013j 9.43472e-15+0.237375j 8.86856e-15-0.0665009j -6.85648e-15-0.159457j 6.6687e-15+0.33743j 5.78331e-15-0.192013j -2.9416e-14+0.0578528j -4.52459e-14+0.108719j -3.88426e-14-0.336481j 7.69175e-14+0.10022j 2.81431e-11+0.25305j -5.93701e-14-0.336786j -2.71292e-15-0.0965606j 1.5401e-14+0.12691j -9.8929e-14+0.056116j -3.13751e-16-0.0719525j -7.5529e-15-0.136316j 8.36985e-15-0.17789j -1.11716e-14+0.111103j 4.22116e-15+0.138078j 2.23247e-13+0.08218j 6.48268e-15+0.0299388j -7.78838e-17-0.10656j -2.81674e-15+0.0119968j 7.88645e-16+0.0399639j -3.78282e-15-0.012244j -7.26207e-15-0.102024j -2.82774e-15-0.0806107j -3.46229e-15+0.0226234j 5.93432e-15-0.014609j 3.83656e-15-0.0504368j -6.90907e-14-0.112508j 2.59788e-14+0.126626j 4.2457e-14-0.0380638j 2.3954e-15+0.0722519j 2.35628e-15+0.0216537j -1.84604e-16+0.052445j -2.14122e-15+0.0385365j 3.21459e-15+0.055475j -8.97891e-16+0.121526j 6.95119e-16-0.0524768j -1.50041e-15-0.0468491j 3.64488e-15-0.101633j -2.29407e-15+0.0968646j 3.02774e-15-0.0902188j 6.34385e-16-0.0715007j -1.50599e-14-0.0331918j -1.46901e-15+0.0322358j 
-1.24395e-15+0.0162331j 2.32722e-15-0.017069j 4.24414e-15+0.0148075j 1.69949e-15-0.0224178j -2.03822e-14+0.2783j -1.89671e-14+0.17553j 2.11936e-14-0.501875j 4.2479e-14-0.20253j -1.7671e-14+0.329608j 1.14643e-14-0.0343375j 1.60312e-14-0.0831576j 4.41048e-14-0.639111j 4.93108e-14-0.234678j 3.60905e-14-0.336636j -5.99918e-14+0.0781167j -1.90535e-13+0.558749j 3.81492e-14-0.235188j -6.52032e-14-0.290277j -3.29587e-11-0.296147j 4.12617e-14+0.189459j -9.79167e-15+0.171717j -3.4013e-14-0.238776j -9.04065e-14+0.0727361j 1.28055e-14+0.0720676j 5.83699e-15+0.0357246j -1.22702e-14-0.0156989j -6.16519e-14+0.160701j 1.73593e-14+0.300196j -5.34355e-13-0.19505j -1.16412e-14+0.110555j 4.66506e-15+0.0620134j 5.51448e-17-0.128563j -1.59704e-14+0.0309466j 7.71641e-15+0.0809887j -4.97992e-15+0.0798395j 3.37713e-15-0.0373599j -1.40789e-14+0.0275553j 3.03894e-14-0.035554j 2.013e-14-0.0717823j -6.30345e-15-0.00940718j -6.88887e-14-0.104646j -6.88104e-14-0.101032j -1.3203e-14+0.153744j -2.1863e-16+0.00688134j -3.64764e-15+0.0308692j -4.38486e-15+0.013255j 7.23702e-15-0.0100952j 7.73318e-16+0.00120917j -1.32711e-15+0.0236343j 5.59983e-15-0.029748j -6.71255e-15+0.132548j -6.47679e-15+0.0918785j 2.8765e-16+0.00789682j -9.23468e-15+0.0918689j -1.65491e-14-0.0506127j -5.59876e-15+0.0651385j 
9.51216e-16+0.0112763j -1.48134e-15+0.0156467j -3.64075e-15+0.114956j -2.26259e-15+0.0311467j 7.7922e-15-0.0540043j 3.29867e-14-0.311531j -1.93799e-14-0.237815j -1.68761e-14+0.542141j 4.98972e-15-0.0815682j 1.94164e-14+0.254393j -1.59467e-14+0.335843j -1.96216e-14-0.421905j -2.44378e-14+0.43358j -2.82947e-14+0.271346j 1.95138e-14-0.164405j -7.34262e-15+0.201004j 8.52311e-14+0.646367j -5.83556e-14+0.0158618j -3.30742e-11-0.29755j -3.19155e-15-0.124812j -2.28664e-14+0.079158j -3.01944e-14-0.144288j 2.64488e-13-0.169832j 9.36601e-15+0.155923j -2.0183e-14-0.103059j 1.36961e-14+0.116246j 8.95988e-15+0.0442253j 2.69898e-14+0.0920135j 7.86968e-14+0.023199j 9.30851e-15+0.00256255j 4.4658e-15-0.111901j -1.56662e-14+0.0220807j -1.79401e-14-0.015435j -4.1627e-16+0.0308238j -6.07024e-15-0.0287192j 2.78239e-15-0.0748114j 7.65185e-15-0.133287j -2.69602e-14+0.0864828j -2.24984e-14+0.0506006j 3.39562e-14+0.0744172j 5.12944e-14+0.0306927j 4.01842e-14+0.107443j 1.23588e-14-0.0409077j 5.05971e-15+0.0239587j 4.92308e-15-0.0194924j -1.26104e-15-0.0761966j -1.0995e-15+0.123933j -1.72276e-15-0.0106294j 1.47063e-15-0.04189j -5.1168e-15+0.077754j -1.64448e-15+0.0689447j 6.81953e-15-0.0601733j -6.15939e-16+0.0363832j 4.1269e-15-0.0597038j 5.98018e-14+0.0833849j 1.39448e-14+0.0865711j 
-2.16407e-16-0.00890007j -8.62377e-17+0.0107411j -2.85841e-15-0.0152911j -1.71644e-16+0.109044j 9.861e-15+0.158857j -5.06706e-16-0.0846204j 3.84503e-15+0.180891j -1.03611e-14+0.169032j 1.73423e-14+0.547002j -3.92211e-14-0.480035j -1.28776e-14-0.340717j -4.34928e-15+0.405217j 1.78996e-15+0.444019j -1.38967e-14-0.361973j -6.27046e-15+0.209966j -2.35705e-14+0.00925302j -3.08461e-14-0.171419j 1.17175e-14-0.176467j 1.86111e-11+0.167824j 3.37238e-14+0.107738j 1.17095e-14+0.260473j 2.66109e-14+0.0206386j 4.19283e-13-0.284027j -6.06037e-14-0.0886651j -5.79704e-15+0.0679406j -8.36151e-15+0.136021j -4.43812e-15-0.145748j 4.83453e-15-0.181539j -3.81492e-13-0.130199j -6.64342e-16-0.0530644j -7.86497e-15+0.0673809j -1.13398e-15+0.0530402j -1.8307e-14+0.0642123j -2.85332e-14-0.15551j -3.08208e-15+0.162403j 3.38834e-15-0.0717941j -5.94731e-15-0.0440937j -1.04799e-14+0.066609j -7.58406e-15+0.0183161j 1.82116e-14+0.0427737j -5.11055e-14-0.151046j -6.41878e-14+0.00778201j 9.08031e-16-0.153695j 4.43949e-15-0.0677157j -5.4044e-15-0.145449j 8.69203e-16+0.00996727j -2.99884e-15+0.0126663j -2.97476e-15+0.0051097j 1.52326e-15-0.0527686j -2.15603e-15+0.0556507j 8.12224e-16+0.0946942j 2.56096e-16-0.0554684j -2.77925e-15-0.0232247j 3.44297e-15+0.0741508j 3.44421e-14+0.0649952j 6.30826e-15-0.0348813j 
2.14362e-16+0.0123134j -4.05195e-16+0.0139355j 5.34212e-15+0.0600077j -1.70421e-15-0.0100498j -7.42687e-15-0.0260376j -8.06804e-15+0.0857943j -6.69306e-15-0.07505j 1.57069e-14+0.0936141j 4.50209e-15-0.251765j -2.67305e-14-0.379453j 1.10403e-14-0.29935j 4.24434e-14-0.146566j -4.1146e-14-0.194226j 2.65811e-14-0.308665j 5.51776e-14+0.387227j 8.53914e-14-0.499879j -2.39047e-14+0.149553j -3.17076e-14-0.377649j -2.14298e-12-0.0184773j 3.61658e-14-0.0929928j 7.60436e-14+0.0840822j 1.10807e-13+0.483913j -8.02567e-14+0.0326514j -7.66434e-14-0.39654j -3.9646e-14+0.0105301j 5.28847e-14+0.0643734j 3.60524e-14-0.0726066j -1.01371e-14+0.139705j -2.01665e-13-0.0626831j -2.49471e-14+0.117649j 3.02798e-15-0.197391j 9.34433e-15+0.0116251j 2.54287e-14-0.0421596j -1.98531e-14+0.0425695j -6.76304e-16-0.0693181j -1.89302e-14-0.117142j -9.38351e-15+0.0667104j 3.87554e-15+0.0222105j 9.07983e-15-0.0312743j -5.71328e-14-0.0978176j 1.08688e-14+0.0239622j 1.92101e-14-0.00429945j -6.5909e-16+0.00372507j 5.39464e-15+0.0279783j 3.70889e-15-0.0772009j 2.99508e-15+0.0720407j 1.51197e-14+0.0295809j 5.45371e-15-0.00349537j -8.61613e-15-0.0888133j 6.72434e-15+0.00810546j -2.42993e-15-0.00532779j 6.49198e-16-0.00701599j 1.17836e-16-0.0154975j -8.52352e-15-0.110732j 1.722e-14+0.0212023j 9.53711e-15+0.0252016j 
5.15907e-15-0.00834042j -4.30591e-15+0.00826033j -3.43233e-14+0.0688931j 8.55952e-15-0.0193908j 2.54509e-14-0.0562633j 6.076e-14-0.103787j 7.79075e-14-0.126525j -6.63061e-14+0.126641j -1.9899e-14+0.00076563j 8.03605e-14-0.205359j -1.89935e-13+0.28681j -1.6359e-13+0.288791j 2.05586e-13-0.461649j -2.56217e-13+0.438637j -2.95224e-15+0.0503294j 2.70234e-14-0.137202j 1.99932e-13-0.565489j -1.63223e-13+0.175896j -1.74092e-11-0.157485j -1.07451e-13+0.254032j -2.4155e-13+0.548875j 5.44146e-14+0.00109772j -3.50721e-13+0.192656j -6.77649e-14+0.18033j 1.37576e-13-0.280305j -4.13047e-14+0.116592j -1.39243e-13+0.160872j 3.24569e-14-0.0882499j 1.83139e-13+0.0543247j 1.04441e-13-0.12399j -2.94064e-14+0.0139219j 2.37933e-14-0.025661j -7.16542e-14+0.0978879j 2.89441e-14-0.0825503j -5.11134e-14+0.0496078j 8.4573e-14-0.189471j 9.2215e-14-0.125533j -2.93218e-14+0.0450977j -1.82935e-14+0.00714498j 6.56509e-15+0.0478409j 5.47586e-15+0.0813334j 1.97426e-14+0.0545431j -2.09748e-14+0.0311983j -2.857e-14+0.0538354j -7.56863e-15+0.0101471j -2.47165e-14+0.0559105j -1.05664e-13+0.194855j -3.45204e-14+0.0711957j 3.1037e-14-0.0656229j -5.39078e-14+0.0947726j -1.46782e-16-0.0121344j -4.73548e-15+0.00877222j 1.11401e-14-0.0231658j 3.5502e-14-0.087745j 8.39028e-15-0.0074595j -3.48201e-14+0.0676418j 
-3.40823e-15-0.0235766j 9.38589e-17+0.0152562j -9.28219e-15-0.0229722j 4.21704e-15+0.0116715j 1.39708e-14+0.08002j 4.3599e-15+0.0369618j -5.36445e-15-0.0870417j -1.11103e-14-0.00646785j 2.20573e-14+0.0533762j -2.60668e-14-0.355391j 2.07729e-14+0.33541j -3.10475e-14-0.32628j 4.10723e-14+0.254293j 8.56986e-15+0.0953309j -3.98479e-14-0.102706j -2.48441e-14+0.265648j 6.59242e-14+0.227871j 1.59636e-13+0.4965j 2.04797e-11+0.183291j -1.3424e-13-0.364376j -3.48111e-14-0.188635j -1.40449e-13-0.365067j -2.90782e-13+0.190324j -1.33134e-13-0.371819j -1.02988e-14-0.0089535j -3.80813e-14-0.244081j -7.22918e-14+0.23616j 6.03998e-14+0.246521j -9.92017e-13-0.33609j 4.21911e-14-0.18846j 5.15274e-14+0.230085j -1.63301e-14-0.349492j 3.03662e-14-0.0919615j -9.89061e-15-0.12442j -1.7517e-14+0.0253618j -1.12071e-14-0.14954j -4.93295e-16-0.0432118j 1.65252e-14-0.0157131j -3.94608e-15-0.0964848j -8.41875e-14-0.120302j -8.46688e-14-0.0562827j -9.32715e-14-0.151347j 5.73742e-15+0.0549051j -8.20031e-15-0.0195741j 3.70991e-15-0.0392931j 1.69472e-14+0.172194j 5.39687e-15+0.0996639j -1.6335e-15+0.0396219j 7.14566e-15-0.0346234j -1.87103e-15-0.00144666j -5.89412e-15-0.0454604j 3.36403e-15+0.0566327j -8.3884e-15-0.0953061j 8.25654e-15-0.00500697j -3.76264e-14-0.0425862j -1.72318e-14-0.0486761j 
