3.11364e-13+0.0756035j 2.491e-14+0.22774j 1.13626e-15-0.0886821j 1.85074e-15+0.113841j 1.73064e-15+0.129864j -2.72483e-15-0.16158j 2.37349e-15-0.0528401j 2.49373e-15+0.13957j 2.21017e-15+0.168982j -1.00658e-14-0.0727237j -1.35101e-14-0.111777j -3.1e-15-0.0553189j 3.97088e-15+0.146001j -4.32934e-15-0.0813682j 2.49869e-15-0.0726134j 4.95339e-15+0.0956212j 5.17112e-14-0.19462j 3.34734e-14-0.0438173j -2.69335e-14+0.122923j 2.06363e-15-0.143607j -2.95701e-14-0.0745272j -2.94875e-15-0.177633j 7.15554e-15-0.0862934j -6.45787e-15-0.0697366j 7.02305e-15+0.0544799j 7.351e-15+0.0730551j 7.02351e-15-0.112219j -3.44758e-14+0.0335618j -4.79128e-15+0.108741j 3.72517e-14+0.0773515j -1.87605e-14-0.0783797j 7.31778e-14+0.0644535j -1.04299e-12+0.11006j 5.62913e-14-0.0445127j 1.19471e-13-0.281734j 1.21973e-12+0.147224j 3.25415e-14+0.0771021j 8.5914e-14+0.0808054j -1.67348e-13+0.157936j -8.24247e-14+0.0863552j -1.22666e-14+0.0177192j -1.35726e-13+0.172135j 1.46778e-14+0.121672j 1.14663e-14-0.0126115j 3.03002e-15-0.00715894j 1.45278e-14-0.0434734j 1.322e-14-0.0639345j 6.22708e-15+0.097057j 3.14871e-15+0.158159j -9.11379e-14-0.0858737j -2.82241e-14+0.022573j -3.10948e-14-0.111316j -5.62898e-15+0.0141272j 6.03598e-14-0.194079j 2.57742e-14-0.01746j 3.31134e-15+0.0905426j 1.89979e-12+0.202863j 3.13608e-15+0.00625475j 1.3328e-15-0.026363j 1.44119e-14+0.108646j -4.28995e-15-0.00449946j 5.93054e-15+0.0816318j -4.89079e-15-0.0911967j -5.17383e-15-0.147727j -2.57789e-15+0.0888563j -2.42054e-15+0.0368119j 2.17439e-14-0.158283j 2.2516e-14+0.0339522j -1.95505e-15+0.0142305j -4.57944e-15-0.173117j -1.12394e-14-0.175119j 3.18572e-15+0.0502927j -5.95622e-16+0.000243615j 4.91677e-15-1.35671e-05j -1.5168e-14-0.168019j 2.51477e-14+0.141708j -3.1138e-13-0.173812j 
5.15837e-13+0.143533j 3.52423e-14+0.110016j -3.49146e-15+0.164972j 1.71533e-15+0.0359979j 1.33088e-15+0.0155411j -1.3968e-15-0.102934j -4.10832e-15+0.201728j 6.92865e-16+0.0467098j 1.01814e-15-0.0386529j 7.02537e-15+0.072323j -4.56179e-15-0.0429825j -5.41592e-16-0.0416747j 4.67987e-15-0.078921j -3.6596e-15+0.0181285j -1.10497e-15+0.0778208j -2.15879e-15+0.164572j -1.17238e-15-0.0133804j -4.0994e-15-0.0242589j 1.49436e-14-0.177924j 3.72442e-15+0.0782828j 5.72159e-14+0.113095j 5.60228e-15+0.0692255j 7.50439e-15-0.157921j -2.31642e-14-0.285242j -1.48534e-14+0.173801j 7.57408e-17-0.054108j -2.15801e-14+0.12018j 8.43561e-14-0.0914864j 1.02109e-14-0.129542j -9.76491e-15-0.0824771j 2.07003e-14-0.103696j 7.68894e-14-0.0210201j -1.53335e-12+0.153872j -2.64627e-14+0.202003j -7.32153e-14+0.0597068j -1.28729e-12-0.161835j 2.88816e-14+0.131991j -3.89904e-14+0.103806j 5.68215e-14-0.0132358j -5.44793e-14+0.0402873j -3.12507e-14+0.190144j 6.84034e-14-0.0745733j 1.38782e-14+0.0887129j -1.7432e-14+0.212083j -1.8676e-15+0.0878959j 3.07944e-14-0.170912j 3.29964e-14-0.0639898j 9.80802e-15-0.0399409j 5.57506e-15-0.154194j -7.2269e-15-0.00661147j -1.62471e-15-0.0161959j 2.40935e-14+0.0554351j 3.02106e-14+0.236017j 5.79002e-14-0.146661j 1.60261e-14-0.100005j -6.0031e-16-0.00595211j -8.32432e-13-0.0894006j 4.77564e-15+0.0731767j -8.44944e-15-0.0685345j -1.65971e-14-0.0760234j 1.63606e-14-0.173509j 1.35362e-14+0.129706j 4.03228e-15+0.0714577j 2.46521e-15+0.06638j -2.05283e-15-0.0493956j -7.38837e-17+0.0778565j -8.65119e-16-0.00579923j -2.24999e-14-0.0371802j -9.67433e-16-0.104835j -2.01447e-15-0.00604336j -2.10286e-15-0.0247118j 1.88157e-15+0.183716j -4.79079e-16-0.112948j -6.64534e-16+0.127785j -1.05299e-15+0.0416667j 1.04613e-14+0.173689j -1.22824e-13-0.0604742j 
3.32464e-13+0.0956602j 2.24645e-14+0.0239969j -1.4983e-15+0.129463j -1.27316e-15-0.0722078j 8.50425e-16-0.0486041j -2.29488e-16+0.0712276j -1.95708e-15+0.0969378j 3.76164e-16+0.158924j -2.64371e-16-0.036984j -8.65824e-15-0.0777647j -1.67813e-14-0.140072j -4.2161e-15+0.0463007j 8.26207e-16+0.181796j -9.67036e-16-0.163982j 3.94117e-15-0.100246j -2.81245e-15-0.0102422j -3.76809e-14+0.0573742j -1.81539e-14+0.197241j 7.81827e-15+0.0443585j 5.8469e-15+0.0235515j 7.13537e-14+0.20772j -7.68809e-16-0.11886j -1.63996e-14+0.00571755j -2.64673e-15-0.0137844j 4.50528e-15-0.214583j -3.19468e-14-0.0811118j 1.08205e-14+0.018048j -8.74517e-15+0.0730358j 3.43165e-15-0.204551j -2.49015e-14-0.0700609j 1.22563e-14+0.0233406j -4.02792e-14-0.0698949j 8.9872e-13-0.0947665j 1.53032e-14-0.195692j 9.83596e-14-0.106871j -1.2806e-12-0.154426j -4.79441e-14-0.0876929j 1.31889e-13-0.0839067j -2.63266e-13+0.147929j -8.47375e-14+0.0564791j 5.87086e-15-0.012226j 1.44731e-13-0.173615j 2.79591e-14+0.282065j -1.09405e-14-0.158743j -7.70472e-15-0.0101088j -1.97935e-14+0.0361092j -1.90939e-14+0.0231304j 7.68306e-15-0.0882119j -3.06037e-15-0.112172j 1.25148e-13+0.0618542j 4.83125e-14+0.174731j 2.86329e-14+0.0741811j -2.81349e-15-0.115828j -3.37065e-14+0.0881128j -3.70001e-15+0.0116573j 1.38161e-16+0.164068j -5.74489e-13-0.0627359j 1.22097e-14+0.160914j 2.29927e-14+0.150319j -5.45999e-16+0.009632j 2.11604e-14-0.13017j -7.9064e-15-0.0687288j 1.74453e-15-0.143796j -4.53189e-16-0.128473j 2.48231e-15+0.155596j -3.26695e-15+0.0329673j 1.0577e-14-0.0721448j 7.1709e-14+0.115414j -4.04977e-16-0.14135j -1.25394e-15-0.100093j 4.98289e-15+0.12979j 6.07271e-16+0.0470736j -6.99358e-16-0.0832015j -1.17155e-15+0.0510488j 9.6727e-15+0.136416j -1.72721e-16+0.1093j 3.95981e-15+0.0101369j 
3.53222e-14+0.0093416j 7.08576e-16+0.0190247j 1.20401e-16-0.00159731j -7.34751e-16+0.00883051j -8.29831e-16+0.00946504j 1.22036e-15-0.0139762j -1.58153e-16+0.00183832j -1.08783e-15+0.0114077j -9.62204e-16+0.0108058j -1.37578e-16-0.00336452j -5.73753e-17-0.00931071j 2.57864e-16-0.0049105j -5.99759e-16+0.00856932j 2.6731e-16-0.00559287j 5.57007e-16-0.00325723j -8.741e-16+0.0110921j 5.00068e-15-0.0139534j 2.47914e-15-0.00332413j -1.95813e-15+0.00402662j 1.11119e-15-0.00799195j -2.96704e-16-0.00181626j 1.16857e-15-0.010926j 1.74443e-15-0.0102673j 2.31488e-16-0.0125247j -6.31312e-16+0.00801421j 1.03207e-16+0.00354268j 4.52022e-16-0.00467758j -2.58839e-16+8.52852e-05j -3.93339e-16+0.00379707j 2.00092e-15+0.0031144j 1.0981e-16-0.00823182j 6.73471e-15+0.0038391j -1.13584e-13+0.0116501j 3.21213e-15+0.00182596j 8.70982e-15-0.0184911j 4.85283e-14+0.00575495j 2.08045e-15+0.00876039j 4.45697e-15+0.00828015j -1.20815e-14+0.0110861j -8.22992e-15+0.0072741j -2.32386e-15+0.00627713j -8.42911e-15+0.00979011j 1.18743e-16+0.0115178j -5.34813e-17+0.00441883j -2.97127e-17+0.00181058j 2.56854e-15-0.00753162j 2.40925e-15-0.00615885j 1.50171e-16+0.00559614j -3.36641e-16+0.0068163j -5.73151e-15-0.00609984j -2.17316e-15+0.00152266j -8.51854e-16-0.00621841j -2.69816e-16+0.00702845j 7.52551e-15-0.0173939j 2.62983e-15-0.00386434j -5.562e-16+0.00656328j 1.09336e-13+0.0117916j 2.21701e-17+0.00271926j 2.02824e-16-0.00336798j -4.55661e-17+0.00565674j 7.65985e-16-0.00519846j -1.60328e-16+0.00905823j 3.54067e-16-0.00482636j 7.17658e-16-0.00891377j -8.6899e-16+0.00527223j -6.89436e-16+0.00473209j 2.78739e-15-0.0114594j 9.06711e-16+0.00164399j 1.05338e-16-0.00207634j 1.00787e-15-0.0125693j 4.63872e-16-0.01273j -6.32102e-16+0.00852498j 3.02759e-16-0.00315722j -5.33283e-17+0.00350112j -1.31673e-17-0.0104517j 4.39579e-16+0.0148303j -2.37349e-14-0.0138364j 
2.48369e-14+0.00702902j 1.85958e-15+0.00331255j -2.67854e-16+0.00970729j 1.49201e-16-0.000524378j 1.77447e-16-0.00111397j -1.98716e-16-0.00194374j -2.72105e-16+0.0104477j 1.12391e-16+0.00353078j 1.70905e-16-0.00348757j 1.82288e-16+0.00229756j -4.4126e-16-0.0032717j -1.26595e-16-0.000575274j 2.70378e-16-0.00141087j -1.78294e-16-0.00132777j -4.11107e-17+0.00215798j -8.02965e-17+0.00602241j -1.2309e-15+0.00183102j -7.9178e-16+0.00254951j 1.04355e-15-0.00764971j 1.14252e-16+0.00474013j 3.70011e-15+0.00871165j 1.15919e-16+0.00227384j -9.21754e-17-0.00588727j -1.04111e-15-0.0116714j -5.08302e-16+0.00335866j -5.03246e-16-0.00414635j -8.7206e-16+0.00617328j 3.66257e-15-0.00288737j 6.4061e-16-0.00960431j -1.02279e-15-0.00518671j 1.13215e-15-0.00338221j 2.08412e-15-0.00251012j -4.16617e-14+0.00407732j -1.2713e-15+0.00558926j -2.56512e-15+0.00284695j -8.39772e-14-0.0104219j 2.69942e-16+0.00352122j -1.89074e-17+0.00237364j -5.85779e-16+0.000698935j -2.99648e-15+0.00197458j -1.09465e-15+0.00764266j 6.43066e-15-0.00726256j 9.94218e-16+0.00744909j -9.68088e-16+0.00638152j -2.26824e-16+0.00357399j 8.04916e-16-0.00625175j 9.09357e-16-0.00182779j 5.87078e-16-0.00384754j 3.05774e-16-0.00948863j 2.34738e-15+0.00137857j 9.24844e-16+0.00202337j 1.60783e-15+0.00437312j 1.30823e-15+0.00789137j 1.23529e-15-0.00325836j 3.96679e-16-0.0038731j 2.14538e-18+0.00177158j -5.83257e-14-0.00629162j 3.60073e-16+0.0056666j -3.84979e-17-0.000208559j -7.25275e-16-0.00383975j 1.07384e-15-0.00938297j 4.82872e-16+0.00370324j 1.84336e-16+0.00131398j 3.32146e-17+0.0017738j 2.10535e-17-0.000177275j -8.18085e-18+0.00353312j -1.48487e-16-0.00024963j 7.42541e-17+8.38546e-05j -2.74083e-18-0.00682566j -2.03049e-16-0.000608566j -9.6209e-17+0.00240027j 1.11084e-16+0.00810473j -1.94902e-17-0.00610638j -8.49261e-17+0.00619873j 6.29785e-17+0.00524046j 3.61946e-16+0.00802563j -2.92186e-15-0.00107541j 
2.52001e-15+0.000687244j 1.48186e-16+0.00147633j -2.64344e-16+1.87219e-05j 8.54168e-17+0.00116233j 6.83751e-17+0.00091294j -3.50789e-17-0.00182036j -2.54817e-16+0.000636468j -1.20184e-16-0.000212184j 1.16876e-16+0.000580825j 6.27984e-17+0.000785017j 1.49846e-16+0.000214721j -5.48216e-18-0.000817033j -8.76832e-18-0.00126226j 6.35426e-17+0.000933428j -2.12548e-17+0.000976157j -7.49422e-17+0.00162318j 3.50218e-16-0.00119206j 6.21822e-17-0.00165765j 8.90895e-17-0.00115201j -1.17583e-16-0.000107991j -4.39219e-16-0.000833469j 3.6485e-17+0.000654613j 2.87601e-16-0.00151014j 3.90319e-17-0.00225206j -6.06648e-17+0.00290827j 3.65811e-16+0.000412942j -3.38611e-16+0.000350327j 5.70072e-16-0.00103665j 3.25544e-16+0.000816581j 3.69576e-16+0.000146805j 4.37443e-17-0.00120192j 1.18791e-15+0.000548917j -2.10702e-14+0.00216315j -9.86149e-17+0.00262731j -7.84697e-16+0.000124837j 3.87341e-15+0.000384908j 6.38668e-16+0.00183525j -8.47906e-16+0.00161691j 1.49531e-15-0.000510798j -1.89205e-16+0.000232237j -4.45495e-16+0.0015396j -7.23939e-16+0.00124356j -3.00072e-16-0.000793868j -5.05288e-17+0.00257026j -1.23149e-17+0.000685526j 5.03339e-16-0.00165249j 4.33293e-16-0.000856894j 1.68279e-16+0.000651826j 3.19814e-16+0.000197996j -1.28827e-15-0.000775701j -5.61944e-16-0.00120571j -2.57604e-16-0.000496425j 1.34867e-16+0.00255597j 8.65944e-16-0.00237231j 2.99742e-16-0.000874428j -1.00213e-16-0.000811319j 4.84443e-15+0.000504964j -2.20561e-16-0.000517966j -2.86075e-16-0.00160433j 1.1038e-17-0.000225088j 2.00726e-16-0.000416497j 1.48661e-16+0.00170812j 3.99276e-17+0.0011532j 2.02995e-17+0.000807207j -1.08078e-16-0.00107907j -6.55487e-17+0.0004841j 2.78044e-17-0.000137127j -6.1945e-16-0.00092096j 1.87151e-16+0.000229813j 2.1857e-17-5.99017e-06j -2.17124e-16-0.00168858j -1.46544e-16+0.00121448j 1.53513e-16-0.00026982j -1.18943e-16+0.00059455j -3.1001e-16-0.00122068j -1.94671e-17+0.00105807j -2.06498e-15-0.00114504j 
1.91924e-15+0.00052111j 1.22683e-17+0.00125671j -1.34314e-16-0.000198932j -3.69234e-18+0.000802928j -1.58776e-17+0.000737248j 5.93531e-17-0.00122156j -1.46398e-16+0.000164746j -1.35318e-16+0.000296382j 2.24271e-18+0.000692449j 2.26554e-17+0.000148185j 1.02368e-16-0.000219619j 1.56952e-17-0.000500985j -5.71215e-17-0.000152542j 6.63589e-17+0.000176644j 2.13919e-17+0.000229944j -9.83827e-17+0.000972835j 3.6048e-16-0.00102886j 1.11055e-16-0.000820062j -4.24323e-17-0.000187857j -8.66041e-18-0.00041738j -2.82418e-16-0.000529322j 7.97467e-17-0.000190222j 2.16683e-16-0.000898832j 9.84636e-17-0.00119118j -4.5394e-17+0.00140412j 1.69851e-16+0.000360081j -1.15952e-16-0.000131753j 1.62798e-16-0.000363396j 1.45111e-16+0.000611272j 2.54146e-16+0.000254177j 2.70365e-17-0.000737222j 7.01505e-16+0.00040056j -1.20457e-14+0.00123676j 9.93058e-17+0.0010245j 9.19964e-17-0.000695663j 4.67067e-15+0.00052719j 3.09379e-16+0.00100567j -1.7992e-16+0.00091831j 1.06658e-16+0.000208567j -3.66154e-16+0.000338489j -2.81154e-16+0.000732591j -6.82347e-16+0.000972611j -1.96985e-16+1.17266e-05j -2.0481e-17+0.00108853j -1.57427e-17+0.000286241j 3.13482e-16-0.000845755j 2.63441e-16-0.000545367j 7.33048e-17+0.00052806j 1.3618e-16+0.000479578j -7.61489e-16-0.000559131j -3.43048e-16-0.000449353j -1.67487e-16-0.000498126j -2.50897e-18+0.00115934j 6.42087e-16-0.00154992j 2.29965e-16-0.000434461j -9.22396e-17-9.81561e-05j 6.94801e-15+0.000741965j -1.28146e-16-0.000186592j -1.1176e-16-0.000759255j 1.45264e-17+0.000183453j 1.41625e-16-0.000221353j 2.45305e-17+0.000963977j 4.36838e-17+0.000253027j 5.63419e-17-4.59463e-05j -9.85688e-17-0.000223834j -7.39323e-17+0.000318158j 1.46224e-16-0.000485723j -2.25057e-16-0.000303029j 1.15086e-16+0.000114449j 8.26203e-17-0.000470632j -6.35472e-17-0.0011873j -1.27374e-16+0.000682458j 1.04035e-16-0.000134987j -7.73359e-17+0.000275084j -1.34004e-16-0.000958348j -5.64574e-17+0.000861274j -1.64782e-15-0.000962213j 
3.34902e-15+0.000988373j 1.57423e-16-0.00014942j 4.84196e-17+0.0017248j -6.45236e-17-0.00101981j -4.39932e-17-0.000804735j 5.89818e-17+0.00106904j 2.60863e-17+0.00131083j -1.33461e-17+0.00149441j -7.38129e-17-0.000792254j -5.32068e-17-0.000663279j -1.52941e-16-0.00134209j -1.7734e-17+0.000604977j -1.94333e-17+0.00165701j -4.99618e-18-0.00163405j 5.11921e-17-0.000909344j -6.03875e-17-0.000215128j -4.54205e-16+0.00104066j -2.26439e-16+0.00226454j 1.02616e-16+0.000121483j 1.22574e-16+0.000613902j 9.63017e-16+0.00253037j 4.53297e-17-0.000898192j -1.7826e-16+0.000149273j -3.74955e-17-0.000180383j -1.43405e-17-0.00238738j -4.1423e-16-0.00108744j 1.44319e-16+0.000512086j 2.12625e-17+0.000682144j -3.2029e-17-0.00257795j -4.07832e-16-0.000991505j 2.08477e-16+0.000361212j -5.90782e-16-0.000924487j 1.11931e-14-0.00118934j 3.28839e-17-0.00195061j 8.71894e-16-0.000550298j -1.76691e-14-0.00212379j -6.11392e-16-0.00105447j 1.22382e-15-0.00103769j -2.55517e-15+0.00129667j -8.12396e-16+0.000467692j 8.25836e-17-5.61205e-05j 1.83796e-15-0.00233567j 3.07387e-16+0.0029233j -1.60227e-16-0.00160249j -8.37491e-17-4.27891e-05j -2.27149e-16+0.000387346j -2.00242e-16+0.00035267j 2.55778e-17-0.00120835j -1.25634e-16-0.00167388j 1.61548e-15+0.000863791j 6.17372e-16+0.00187913j 4.54324e-16+0.00109259j -3.20582e-18-0.00116876j -3.99897e-16+0.00129825j -8.77994e-17+0.00010473j -6.483e-18+0.00162303j -1.09988e-14-0.00118083j 1.66316e-16+0.00181557j 2.764e-16+0.00168011j -8.87455e-17-0.000170489j 2.14172e-16-0.00154022j -1.18799e-16-0.000855256j 4.32432e-17-0.00135661j 3.96263e-17-0.00106995j 2.58046e-17+0.00150596j -2.96091e-17+0.000335272j 1.09435e-16-0.000467542j 7.39504e-16+0.00118452j -4.19806e-17-0.00166163j 3.3204e-17-0.000746039j 1.57387e-16+0.00179508j 1.12428e-17+0.000528187j -3.33161e-17-0.000992347j -1.79663e-18+0.000644559j 2.23788e-16+0.00189431j -5.8705e-17+0.0010179j 6.82568e-16+0.000443889j 
-3.3039e-15-0.000538085j -9.94552e-16-0.00551857j 2.70372e-16+0.00439765j -4.46136e-16-0.0035638j -4.56746e-16-0.0039155j 6.09468e-16+0.00452555j 9.57349e-17+0.00332622j -3.78933e-16-0.00228088j -5.83859e-16-0.00518208j 3.99276e-16+0.00173532j 4.54646e-16+0.00169029j 2.48959e-16+0.00169956j -3.84256e-16-0.0029226j 2.24005e-16+0.00096838j 9.92091e-17+0.00157246j -4.84199e-16-0.00186951j -1.12884e-15+0.00578998j -8.32689e-16+0.00273827j 5.70804e-16-0.00395403j 4.47699e-16+0.00457501j 2.06294e-15+0.00439186j 5.48102e-16+0.00427394j -1.53792e-17+0.0016085j 2.6853e-16+0.000322777j -5.61085e-16-0.00239776j -7.37175e-16-0.00298162j 1.17673e-16+0.00388008j 1.27909e-15-0.000792686j -2.32556e-16-0.00539672j -1.55794e-15-0.00315578j 9.91744e-16+0.00182061j -2.196e-15-0.00247712j 2.79461e-14-0.00303317j -1.58722e-15+0.000643726j -2.09477e-15+0.00720184j -5.16924e-14-0.00620853j -1.45565e-15-0.00217722j -1.78227e-15-0.00239494j 2.34204e-15-0.00319356j 1.05769e-15-0.00170272j 1.41436e-16+0.000400322j 4.69922e-15-0.00660239j -2.84507e-16-0.000534385j -5.93228e-16+0.000124514j -1.53827e-16+0.000571903j -2.32269e-16+0.000612107j -1.38858e-16+0.0016269j -4.01258e-16-0.00363055j -6.13752e-16-0.00611654j 3.82963e-15+0.00285745j 1.22801e-15+0.000756772j 1.60146e-15+0.00398786j 1.41964e-16-0.000129681j -9.91468e-16+0.00533706j -5.87825e-16+5.82669e-05j -2.53893e-16-0.00115765j -6.23057e-14-0.00659927j 1.21006e-16+0.00155842j 2.99487e-16+0.00163131j -7.9921e-16-0.00331874j 3.28217e-16-0.00187288j -4.65165e-16-0.00215531j 3.39036e-16+0.00168766j 5.00275e-16+0.00335197j -7.45498e-17-0.00140886j -5.81711e-17-0.000334527j -9.07162e-17+0.00373927j -1.58368e-16-0.000164643j -7.9245e-17-0.00212579j 5.57288e-16+0.00391361j 9.55288e-16+0.00579911j -2.13824e-16-3.62263e-05j -3.49901e-17-0.00129399j -1.3006e-16+0.00109547j 1.08401e-15+0.00600494j -1.01326e-15-0.00209323j 8.53177e-15+0.00457298j 
2.6831e-14+0.00720643j 1.95094e-15+0.00972499j -1.91825e-16+0.00364181j 1.29734e-16+0.00350909j 1.3676e-16+0.00356888j -1.51662e-16-0.00680208j -1.71246e-16+0.00540344j 6.21508e-17+0.00670715j 1.50127e-16+0.0031566j -1.62604e-16-0.00059962j -6.33725e-16-0.00565617j -1.57578e-16-0.00231206j 2.52014e-16+0.00339796j -2.07453e-16-0.00324525j 6.74659e-17-0.000646218j 2.81201e-17+0.00737953j 9.71142e-16-0.00520209j 5.61257e-16-6.22535e-05j -1.64227e-16-0.00144646j 1.59316e-16-0.00141823j 1.43067e-15+0.00323901j 5.45422e-17-0.00396045j 2.83152e-16-0.00696987j -8.21043e-16-0.0104494j -1.6696e-16+0.00459763j -3.8959e-17-0.000350026j -4.05041e-16+0.000626801j 1.46438e-15-0.00108557j 3.26854e-16-0.00275358j 5.64094e-16-0.000963719j 2.11312e-16-0.00498904j 3.94003e-15+0.000493977j -6.53589e-14+0.0066655j 9.09645e-16+0.00288606j 2.00368e-15-0.00698859j -1.63339e-14-0.00217569j 1.30493e-15+0.0051818j 2.47177e-15+0.00448886j -5.40899e-15+0.00534228j -4.6759e-15+0.00409141j -1.2449e-15+0.00597357j -2.36313e-16+0.000898993j 9.9029e-16+0.00861177j -3.10026e-16+0.0044074j -6.60817e-17+0.00229759j 1.14375e-15-0.00588988j 1.15019e-15-0.00342431j 5.94037e-16+0.000660062j 3.36022e-16-0.00125241j -1.57758e-15-0.0019723j -4.14927e-16+0.00178775j 6.0206e-17-0.000727487j 6.8651e-16+0.00625119j 3.01222e-15-0.00882441j 1.16428e-15-0.00331626j 4.50778e-17+0.00385689j 2.23644e-14+0.00235015j 2.72396e-16+0.00384225j -3.19333e-17-0.00132866j -5.537e-17+0.000836429j 6.49908e-16-0.00646051j 4.94067e-16+0.00541746j 6.31463e-18-0.00175422j -8.51775e-17-0.00331298j -1.23629e-16+0.00245094j -1.21987e-16+0.00361553j 6.5888e-16-0.00519932j 6.11782e-16+0.000923917j -9.6606e-18-0.00402789j -2.04166e-16-0.00587718j -4.00056e-16-0.00431847j 9.66857e-17+0.00723743j 1.95883e-17-0.00410393j 5.42395e-17+0.00424473j -4.51016e-16-0.00210546j 9.49903e-16+0.0100397j -1.21656e-14-0.00646232j 
-4.70391e-15-0.00140684j -3.11293e-16+0.000328691j 9.61267e-17-0.0027479j -8.30447e-18+0.00113966j -2.94995e-17+0.00109897j 1.41595e-17-0.000998654j 1.06031e-16-0.00243412j 2.00824e-17-0.00116375j -2.40379e-17+0.00149738j 1.67118e-18+2.15006e-07j 1.12629e-16+0.00109563j 3.90309e-17-0.000530508j -1.35811e-17-0.000644652j -6.16011e-18+0.00115233j -1.77516e-17+0.000200599j 7.59778e-17-0.00033173j 7.00589e-16-0.00154464j 4.22239e-16-0.00212258j -3.4106e-16+0.00121498j -3.80262e-17-0.00145198j -1.16022e-15-0.00318069j -2.75442e-17-0.00011492j 1.5418e-16+0.000389566j 9.39555e-17+0.00140801j 5.73762e-17+0.00150001j 3.37408e-16+0.00153189j 8.29487e-17-0.00146932j -5.80956e-16-4.91312e-05j -1.83984e-16+0.00342365j 4.77186e-16+0.00160361j -3.44441e-16-6.0781e-05j 3.38793e-16+0.00118118j -5.98918e-15+0.000675849j 2.93245e-16+0.000619508j 6.67605e-17-0.000735184j 2.69543e-14+0.00329691j 4.93781e-16+0.000553938j -6.88372e-16+0.000696213j 1.4991e-15-0.000609586j 7.51449e-16-0.000354698j 7.51879e-17-0.000870636j -2.66077e-15+0.00312595j -2.46686e-16-0.00276651j 2.77427e-16+0.000350507j 1.17135e-16-0.000437913j 9.24304e-17+0.000378172j 8.05466e-17-0.000209776j -1.34421e-16+0.00165086j -4.29593e-17+0.00287624j -1.70901e-15-0.00105347j -6.13712e-16-0.00158549j -5.63804e-16-0.00167088j -1.63065e-16-8.66655e-05j 3.53788e-16-0.00109383j 7.33547e-17+0.000360996j 3.42188e-17-0.00117444j 2.07008e-14+0.00223284j -1.00949e-16-0.00204223j -1.62339e-16-0.00129341j 1.54737e-16+0.000912371j -3.78436e-16+0.00231051j 3.10518e-17+0.000395898j -6.94018e-17+0.000586755j -3.03298e-17+0.000158737j -1.98029e-17-0.000847085j 3.24643e-17-0.000590651j 1.8707e-17-6.29058e-05j -4.7995e-16-0.000794525j -3.97471e-17+0.00213098j 4.84562e-18+0.000147489j -5.86759e-17-0.0021215j 2.59638e-17-0.0012714j -2.21085e-17+0.00150507j 6.75077e-17-0.00125809j -1.24628e-16-0.00253269j 9.84359e-17-0.00136992j -9.70525e-16-0.000678311j 
