-0.038166-2.67639e-18j 0.0694875-1.50001e-18j -0.0705848-5.70987e-19j -0.213623+1.07593e-18j -0.0899743-3.15442e-18j -0.175608+6.36067e-18j -0.165095-4.71482e-18j -0.406243-2.85005e-18j 0.265296-9.87753e-18j 0.0332557+6.85838e-17j 0.186415-3.47061e-18j -0.0989029-3.20887e-18j -0.0403127+1.59851e-17j -0.184143+3.27216e-18j 0.382717+4.05835e-18j -0.14771+1.75944e-18j -0.00362404+1.69629e-16j 0.106107+2.38124e-17j -0.0818664+7.78019e-18j 0.171023-8.64841e-19j -0.0267717-2.88507e-17j -0.259744+2.14724e-18j -0.276446+1.85663e-17j 0.0648002+4.98823e-17j -0.269649-4.70293e-18j 0.212461+1.5768e-18j -0.151662+3.01569e-18j 0.0700434-2.08135e-17j -0.140833+1.82537e-16j -0.0505858-5.22429e-16j -0.0233468-3.37205e-16j 0.137035-5.8726e-17j 0.0417959+1.21526e-18j 0.0197943-5.65385e-18j -0.0270895+6.82641e-19j -0.0257354+8.80435e-20j -0.016425-1.48584e-18j -0.024588-5.43276e-19j 0.0107269-8.24869e-18j 0.00460907+4.03626e-18j -0.00473969-5.92491e-18j -0.00644385+3.41973e-18j -0.00232031-7.16127e-17j -0.00169366+4.51675e-16j -0.000139396-8.99777e-17j -0.000352926-8.12402e-17j -0.000981582-5.52794e-18j 0.00106524-1.06529e-18j -0.00132594+2.6589e-17j 0.000644912+1.2352e-16j -0.000638555-3.61001e-14j -0.00564697+2.16941e-17j 0.000872553+1.9311e-16j 0.000321634+6.26597e-17j 0.00307756-6.09052e-18j -0.00134288-4.21744e-18j 0.00128316+2.47007e-17j -0.000989403-2.8999e-17j 0.0024372-7.41325e-17j -0.00130387-4.7208e-17j 0.0013934-1.9241e-17j -0.00737259-1.36969e-17j 0.00125042-1.94558e-17j -0.0143213-8.13292e-19j 0.0265258-3.9892e-19j -0.0184368-1.36729e-19j 0.0192882+5.70582e-19j -0.00613935-1.09718e-19j 0.0302373+6.03022e-19j -0.0148905-6.75217e-19j 0.0183304-2.17349e-18j 0.0134049+3.24536e-18j 
0.0601186+5.48185e-16j -0.141756+2.82739e-16j 0.0330918+1.19831e-16j 0.100134-2.0286e-16j 0.00782761+6.37372e-16j 0.0364787-1.2776e-15j 0.0222826+9.54163e-16j 0.000650106+5.75294e-16j -0.00786725+1.99079e-15j 0.0243816-1.38289e-14j 0.00994735+7.01171e-16j -0.0166266+6.4496e-16j 0.0111659-3.22235e-15j -0.00198837-6.60041e-16j -0.002579-8.19233e-16j -0.0114713-3.56304e-16j -0.00731266-3.42124e-14j 0.0283204-4.79874e-15j 0.00776957-1.56798e-15j 0.0166195+1.76571e-16j -0.012801+5.81697e-15j -0.0160648-4.35047e-16j -0.0215022-3.74725e-15j 0.0410785-1.00548e-14j -0.0400898+9.43189e-16j 0.0134725-3.16347e-16j 0.0192143-6.05396e-16j 0.060489+4.2061e-15j 0.0445085-3.68085e-14j -0.0373673+1.0536e-13j 0.0035156+6.80095e-14j 0.203459+1.18723e-14j 0.199741-2.17351e-16j 0.0142244+1.14225e-15j -0.123149-1.54784e-16j -0.233349-5.01955e-17j -0.0795425+2.8862e-16j 0.0292219+1.13659e-16j 0.175473+1.68803e-15j -0.106251-8.28835e-16j -0.0225387+1.19183e-15j 0.290884-6.4923e-16j -0.00561882+1.44424e-14j 0.252799-9.10605e-14j -0.0361666+1.8142e-14j 0.0668827+1.63942e-14j -0.00834529+1.11374e-15j 0.0525874+2.22167e-16j 0.0858157-5.35063e-15j 0.0894778-2.48995e-14j 0.129194+7.28083e-12j 0.389439-4.32118e-15j -0.120733-3.8964e-14j -0.0990462-1.26512e-14j -0.0768112+1.21767e-15j 0.0571024+8.58537e-16j -0.0631739-4.99052e-15j 0.00989303+5.85e-15j -0.262584+1.49148e-14j 0.0611557+9.52961e-15j 0.203275+3.90888e-15j 0.0811555+2.77375e-15j 0.135441+3.94276e-15j 0.154533+1.8554e-16j -0.0588808+7.22387e-17j 0.1644+5.0465e-17j -0.217605-1.45369e-16j 0.0352456+2.70376e-17j -0.231467-1.53851e-16j 0.116725+1.52434e-16j -0.179374+4.13386e-16j -0.107891-6.6956e-16j 
0.00653276+5.74764e-17j -0.0152269+2.70931e-17j 0.00402384+1.28641e-17j 0.0121763-1.94451e-17j 0.00158434+6.59186e-17j 0.00527987-1.31329e-16j 0.0037243+9.88406e-17j 0.00357373+5.94372e-17j -0.00310178+2.05361e-16j 0.00222874-1.42717e-15j -0.000582696+7.25074e-17j -0.000861892+6.6343e-17j 0.00150012-3.32467e-16j 0.00138433-6.81447e-17j -0.00356968-8.46444e-17j 9.13555e-05-3.69341e-17j -0.000723272-3.53177e-15j 0.00200633-4.94956e-16j 0.00150836-1.61736e-16j 0.000238623+1.84541e-17j -0.00108978+6.00286e-16j 0.000584441-4.51186e-17j 0.000167549-3.87107e-16j 0.00367932-1.03734e-15j -0.00180908+9.68006e-17j -0.000443779-3.24792e-17j 0.00329175-6.21952e-17j 0.00563693+4.35068e-16j 0.00580824-3.79898e-15j -0.00341908+1.08755e-14j 0.000564283+7.0205e-15j 0.019811+1.22852e-15j 0.0202494-1.95013e-17j 0.00129688+1.18119e-16j -0.0124732-1.77876e-17j -0.0238559-8.6131e-18j -0.00806578+2.86246e-17j 0.00322749+1.21653e-17j 0.0180135+1.76832e-16j -0.0110033-8.71227e-17j -0.00228473+1.22698e-16j 0.0300704-6.27368e-17j -0.000559747+1.49076e-15j 0.0260996-9.39622e-15j -0.00373064+1.87222e-15j 0.00690432+1.69331e-15j -0.000852633+1.14845e-16j 0.00541702+2.37076e-17j 0.00886631-5.51069e-16j 0.00922716-2.569e-15j 0.0133363+7.51583e-13j 0.0402329-4.40332e-16j -0.0124654-4.02394e-15j -0.0102228-1.30741e-15j -0.0079523+1.24566e-16j 0.00590368+8.9465e-17j -0.00652965-5.16088e-16j 0.00102935+6.04026e-16j -0.0271157+1.53575e-15j 0.00632159+9.84617e-16j 0.0209628+4.06495e-16j 0.00843764+2.87522e-16j 0.0139647+4.08995e-16j 0.0160691+2.14286e-17j -0.00630456+6.58776e-18j 0.0171227+7.63073e-18j -0.02262-1.82105e-17j 0.0036898+3.31036e-18j -0.0241448-1.92912e-17j 0.0121728+1.74547e-17j -0.0186668+4.00311e-17j -0.0112484-7.07062e-17j 
1.28449e-17-2.5518e-17j -2.92865e-17+6.01098e-17j 9.49059e-18-1.41919e-17j 2.87199e-17-4.29442e-17j 5.82222e-18-3.57237e-18j 1.52363e-17-1.59319e-17j 1.21299e-17-9.90176e-18j 1.99508e-17-1.46879e-18j -1.43883e-17+4.10443e-18j 2.83023e-18-1.02058e-17j -7.28335e-18-3.65578e-18j 1.79111e-18+6.73561e-18j 4.00763e-18-4.83713e-18j 8.62631e-18+2.99029e-19j -1.91546e-17+2.21478e-18j 5.11548e-18+4.41354e-18j -1.15886e-18+3.07964e-18j -6.73023e-21-1.16562e-17j 5.4158e-18-3.52401e-18j -5.31318e-18-6.52062e-18j -1.03139e-18+5.33096e-18j 9.74568e-18+6.02543e-18j 9.56781e-18+8.27419e-18j 4.34028e-18-1.71691e-17j 5.84064e-18+1.61492e-17j -7.91094e-18-5.06894e-18j 1.09137e-17-8.56563e-18j 7.62997e-18-2.53565e-17j 1.50054e-17-1.9223e-17j -4.35628e-18+1.56425e-17j 1.78193e-18-1.5543e-18j 3.04755e-17-8.55779e-17j 3.44457e-17-8.42865e-17j 1.63201e-18-5.95298e-18j -2.11728e-17+5.19624e-17j -4.13688e-17+9.85364e-17j -1.3728e-17+3.3566e-17j 6.53821e-18-1.24213e-17j 3.15294e-17-7.41224e-17j -1.96337e-17+4.49149e-17j -3.8857e-18+9.5108e-18j 5.34495e-17-1.22945e-16j -9.131e-19+2.36766e-18j 4.62608e-17-1.06837e-16j -6.59965e-18+1.52834e-17j 1.22345e-17-2.82653e-17j -1.47649e-18+3.52379e-18j 9.55399e-18-2.222e-17j 1.57404e-17-3.62692e-17j 1.63132e-17-3.78109e-17j 2.36306e-17-5.45985e-17j 7.14134e-17-1.64592e-16j -2.20966e-17+5.10239e-17j -1.81082e-17+4.18574e-17j -1.41811e-17+3.24691e-17j 1.04963e-17-2.41351e-17j -1.16024e-17+2.67007e-17j 1.85543e-18-4.18365e-18j -4.80845e-17+1.10974e-16j 1.12348e-17-2.58479e-17j 3.70637e-17-8.58989e-17j 1.51844e-17-3.43176e-17j 2.46796e-17-5.72331e-17j 2.89273e-17-6.5347e-17j -1.20505e-17+2.49607e-17j 3.09305e-17-6.95287e-17j -4.06909e-17+9.20155e-17j 6.73793e-18-1.49127e-17j -4.37575e-17+9.79054e-17j 2.20488e-17-4.93712e-17j -3.36605e-17+7.58563e-17j -2.03625e-17+4.56336e-17j 
-0.000688204-2.89096e-17j 0.00156458+5.28927e-17j -0.000519445-1.42905e-17j -0.00157192-3.77798e-17j -0.00033073-9.46325e-18j -0.000850025-2.40045e-18j -0.000683257-1.83807e-17j -0.00115862-6.91693e-18j 0.000828427-1.54343e-17j -0.000140868+1.24153e-16j 0.000432823-1.01568e-17j -0.000120156+2.21511e-21j -0.000222064+2.66541e-17j -0.000503158+6.65318e-18j 0.00111049+9.96388e-18j -0.000308333+7.52634e-18j 6.02627e-05+3.33366e-16j 2.7785e-05+3.55729e-17j -0.000307171+1.18868e-17j 0.0003248-7.73984e-18j 4.75468e-05-5.12629e-17j -0.000581815+9.77866e-18j -0.000576739+4.38578e-17j -0.000212458+8.12488e-17j -0.000378151+5.8322e-18j 0.000472699-1.63455e-18j -0.000615557-2.07788e-18j -0.000384832-6.40982e-17j -0.000828842+3.37808e-16j 0.000216978-1.00338e-15j -0.000100139-6.58458e-16j -0.00157398-1.93886e-16j -0.00180827-7.5897e-17j -8.10695e-05-1.65437e-17j 0.00111113+4.95802e-17j 0.00217803+9.16683e-17j 0.000720727+2.82729e-17j -0.000351639-1.25924e-17j -0.0016623-8.48987e-17j 0.00103804+4.95703e-17j 0.000203978-2.71284e-18j -0.00282433-1.07498e-16j 4.7621e-05-1.37332e-16j -0.00244347+7.80845e-16j 0.000348491-1.61122e-16j -0.000646195-1.84535e-16j 7.77197e-05-7.49865e-18j -0.00050427-2.27082e-17j -0.000831595+1.81282e-17j -0.000861331+2.05558e-16j -0.0012481-7.03885e-14j -0.0037728-1.10564e-16j 0.00116715+4.23637e-16j 0.000956376+1.60954e-16j 0.0007497+1.82826e-17j -0.000554656-3.06282e-17j 0.000613056+7.29202e-17j -9.82411e-05-6.03866e-17j 0.00253997-4.13949e-17j -0.000593646-1.15982e-16j -0.00195697-1.17251e-16j -0.000803791-5.85531e-17j -0.00130301-9.10521e-17j -0.00153135-6.22631e-17j 0.000643245+2.24002e-17j -0.0016382-6.48278e-17j 0.00215387+8.65534e-17j -0.000357417-1.4061e-17j 0.00231865+9.20858e-17j -0.00116824-4.71596e-17j 0.00178235+6.6202e-17j 0.00107881+4.86967e-17j 
1.05917e-05+7.06147e-18j -3.16374e-05-1.60344e-17j -1.02782e-05+3.85678e-18j -3.11131e-05+1.14551e-17j -2.62405e-05+1.20208e-18j -4.31068e-05+3.79184e-18j -4.51201e-05+3.02244e-18j -0.000131747+6.1353e-19j 8.31904e-05-3.44046e-19j 2.01301e-05-2.52593e-18j 6.43738e-05+1.24877e-18j -3.84942e-05-1.56318e-18j -8.82789e-06+7.17741e-20j -6.05919e-05-3.31673e-19j 0.000123365-9.06764e-19j -5.23807e-05-1.32092e-18j -3.97426e-06-1.38565e-17j 4.53073e-05+1.30264e-18j -2.36283e-05+3.49199e-19j 6.19246e-05+1.81832e-18j -1.35944e-05+7.83749e-19j -9.05394e-05-1.78378e-18j -9.80458e-05-3.64909e-18j 3.67653e-05+7.81363e-19j -0.000102946-3.97756e-18j 7.41849e-05+1.24076e-18j -4.19292e-05+2.06969e-18j 4.58925e-05+8.41118e-18j -2.87367e-05-8.85601e-18j -3.07274e-05+3.59249e-17j -6.24124e-06+2.63182e-17j 0.000122339+2.75029e-17j 8.99716e-05+2.25519e-17j 1.18717e-05+2.03365e-18j -5.59005e-05-1.40131e-17j -9.76069e-05-2.64805e-17j -3.5758e-05-8.90402e-18j 3.18691e-06+3.37894e-18j 7.05954e-05+2.0548e-17j -3.91386e-05-1.23773e-17j -1.016e-05-2.10017e-18j 0.000109156+3.27688e-17j -2.90284e-06+4.86443e-18j 9.61336e-05-5.9893e-18j -1.38773e-05+2.80497e-18j 2.54648e-05+1.38341e-17j -3.51061e-06-5.22135e-19j 2.04583e-05+6.05167e-18j 3.23896e-05+7.70212e-18j 3.44306e-05+6.71112e-19j 4.92031e-05+2.78751e-15j 0.000147107+4.25544e-17j -4.58914e-05-2.85413e-17j -3.7776e-05-1.60587e-17j -2.83767e-05-8.25563e-18j 2.14027e-05+6.80831e-18j -2.37441e-05-9.07092e-18j 3.46215e-06+3.35142e-18j -9.96342e-05-2.41212e-17j 2.29655e-05+1.05706e-17j 7.81959e-05+2.45563e-17j 2.86427e-05+1.02721e-17j 5.22062e-05+1.68712e-17j 5.44484e-05+1.76192e-17j -1.39004e-05-6.67553e-18j 5.68847e-05+1.86907e-17j -7.69567e-05-2.47656e-17j 1.1485e-05+4.015e-18j -7.87004e-05-2.63505e-17j 3.98037e-05+1.33164e-17j -6.26461e-05-2.02133e-17j -3.69077e-05-1.25096e-17j 
-0.00273008-2.04295e-17j 0.00636221-1.97218e-17j -0.00168447-3.38603e-18j -0.00509727+1.4127e-17j -0.000667044-2.70246e-17j -0.00221535+5.70651e-17j -0.00156518-3.98858e-17j -0.00151707-2.46126e-17j 0.00131138-8.63228e-17j -0.000928571+5.97342e-16j 0.000254713-2.97641e-17j 0.000353828-2.86438e-17j -0.00062884+1.39499e-16j -0.000589297+2.8412e-17j 0.00151394+3.50335e-17j -4.71864e-05+1.48044e-17j 0.000301779+1.47426e-15j -0.000831244+2.083e-16j -0.000634824+6.80259e-17j -8.91685e-05-6.79331e-18j 0.000453397-2.51395e-16j -0.00025993+1.79964e-17j -8.68807e-05+1.60479e-16j -0.00153233+4.35542e-16j 0.000738871-4.26784e-17j 0.000198303+1.42708e-17j -0.00138375+2.71679e-17j -0.0023494-1.78116e-16j -0.00243384+1.58896e-15j 0.00142453-4.54328e-15j -0.000237044-2.9312e-15j -0.00826364-5.00999e-16j -0.00845253+1.99341e-17j -0.000540297-4.84878e-17j 0.00520651+1.57906e-19j 0.0099594-1.01884e-17j 0.00336684-1.66479e-17j -0.00134914-3.34196e-18j -0.00752084-6.34671e-17j 0.00459469+3.00948e-17j 0.000953696-5.25633e-17j -0.0125562+4.33952e-17j 0.000233579-6.22801e-16j -0.0108979+3.93834e-15j 0.00155771-7.83886e-16j -0.0028829-7.03089e-16j 0.000355955-4.84468e-17j -0.0022618-6.79064e-18j -0.00370219+2.35173e-16j -0.00385274+1.07798e-15j -0.00556859-3.13817e-13j -0.0167995+2.06887e-16j 0.00520494+1.67306e-15j 0.00426854+5.40056e-16j 0.00332065-5.65551e-17j -0.00246515-3.39798e-17j 0.00272652+2.11758e-16j -0.000429863-2.51626e-16j 0.0113222-6.56779e-16j -0.00263965-4.07512e-16j -0.00875291-1.57716e-16j -0.00352357-1.15254e-16j -0.00583084-1.62769e-16j -0.00671048+1.94219e-19j 0.00263408-6.24261e-18j -0.00715066+6.54053e-18j 0.00944611-5.26872e-18j -0.00154104+7.0397e-19j 0.0100835-5.64147e-18j -0.00508362-3.81422e-19j 0.00779542-2.7327e-17j 0.00469757+2.31395e-17j 
-2.64997e-18+5.49725e-18j 6.84332e-18-1.29492e-17j -2.05595e-20+3.05731e-18j -6.11624e-20+9.25132e-18j 2.12076e-18+7.69582e-19j 2.81426e-18+3.43214e-18j 3.39646e-18+2.1331e-18j 1.17435e-17+3.16416e-19j -7.20393e-18-8.84204e-19j -2.48838e-18+2.19859e-18j -6.0291e-18+7.87551e-19j 3.908e-18-1.45103e-18j 4.7157e-19+1.04205e-18j 5.46582e-18-6.44187e-20j -1.09405e-17-4.77122e-19j 5.0016e-18-9.50793e-19j 5.62125e-19-6.63436e-19j -4.84778e-18+2.51105e-18j 1.88919e-18+7.59164e-19j -5.99959e-18+1.40471e-18j 1.57658e-18-1.14843e-18j 8.5385e-18-1.29804e-18j 9.36281e-18-1.78248e-18j -4.44688e-18+3.69868e-18j 1.03273e-17-3.47896e-18j -7.00494e-18+1.09198e-18j 3.19857e-18+1.84526e-18j -5.81202e-18+5.46245e-18j 1.30369e-18+4.14114e-18j 3.80262e-18-3.36982e-18j 4.5753e-19+3.34837e-19j -1.66901e-17+1.84357e-17j -1.36951e-17+1.81575e-17j -1.46313e-18+1.28243e-18j 8.48192e-18-1.11941e-17j 1.53295e-17-2.12274e-17j 5.44741e-18-7.231e-18j -1.11297e-18+2.67587e-18j -1.12772e-17+1.59679e-17j 6.50643e-18-9.67585e-18j 1.54603e-18-2.04888e-18j -1.79917e-17+2.64856e-17j 4.18452e-19-5.10057e-19j -1.57494e-17+2.30154e-17j 2.26426e-18-3.29245e-18j -4.16956e-18+6.0891e-18j 5.50008e-19-7.59118e-19j -3.31732e-18+4.78678e-18j -5.32454e-18+7.81334e-18j -5.61057e-18+8.14548e-18j -8.05538e-18+1.1762e-17j -2.4174e-17+3.54574e-17j 7.51987e-18-1.09919e-17j 6.18051e-18-9.01719e-18j 4.711e-18-6.9947e-18j -3.52963e-18+5.19935e-18j 3.9108e-18-5.75204e-18j -5.8956e-19+9.01269e-19j 1.63394e-17-2.39067e-17j -3.78407e-18+5.56833e-18j -1.2744e-17+1.85049e-17j -4.85791e-18+7.39291e-18j -8.5006e-18+1.23295e-17j -9.24204e-18+1.40775e-17j 2.91028e-18-5.37719e-18j -9.73927e-18+1.49783e-17j 1.30396e-17-1.98226e-17j -2.02457e-18+3.21258e-18j 1.35883e-17-2.10914e-17j -6.86273e-18+1.06359e-17j 1.06781e-17-1.63414e-17j 6.35374e-18-9.83068e-18j 
-0.00018201-9.03603e-18j 0.000412818+1.73103e-17j -0.000139717-4.55813e-18j -0.000422806-1.23648e-17j -9.14788e-05-2.68072e-18j -0.000231999-1.55099e-18j -0.000187823-5.37861e-18j -0.000325566-1.89319e-18j 0.000231375-3.79651e-18j -3.49561e-05+3.18613e-17j 0.000123562-2.86684e-18j -3.69417e-05+3.91026e-19j -6.02968e-05+6.68683e-18j -0.000141818+1.75644e-18j 0.00031167+2.73289e-18j -8.88572e-05+2.22319e-18j 1.55477e-05+8.73186e-17j 1.32025e-05+8.62287e-18j -8.48674e-05+2.90286e-18j 9.44664e-05-2.40114e-18j 1.09283e-05-1.30908e-17j -0.000166608+2.90537e-18j -0.000166217+1.19438e-17j -5.19015e-05+2.02427e-17j -0.000113932+2.46063e-18j 0.000135442-7.21095e-19j -0.000169376-1.03967e-18j -9.66604e-05-1.82248e-17j -0.000224515+8.71868e-17j 5.38786e-05-2.61371e-16j -2.748e-05-1.72207e-16j -0.000403713-5.56416e-17j -0.00047028-2.47249e-17j -2.00806e-05-4.66951e-18j 0.000288895+1.59721e-17j 0.000567823+2.96735e-17j 0.000187454+9.33611e-18j -9.32829e-05-4.01161e-18j -0.000433867-2.64887e-17j 0.000271567+1.5561e-17j 5.30476e-05-1.57804e-19j -0.000738544-3.52263e-17j 1.23166e-05-3.57607e-17j -0.000638734+1.97915e-16j 9.10759e-05-4.12304e-17j -0.000168913-4.9875e-17j 2.02583e-05-1.75584e-18j -0.000131739-7.22384e-18j -0.000217425+2.63619e-18j -0.000225086+5.15399e-17j -0.000326246-1.84023e-14j -0.000986397-3.84417e-17j 0.000305101+1.13694e-16j 0.000249982+4.44988e-17j 0.000196118+6.66111e-18j -0.000145043-9.40509e-18j 0.000160304+2.06087e-17j -2.57323e-05-1.60272e-17j 0.000663998-4.38753e-18j -0.000155232-3.18154e-17j -0.000511407-3.56282e-17j -0.000210496-1.72948e-17j -0.000340491-2.71182e-17j -0.000401044-2.00632e-17j 0.000169607+7.30219e-18j -0.000429203-2.0976e-17j 0.000564028+2.79585e-17j -9.37602e-05-4.53993e-18j 0.000607708+2.9746e-17j -0.000306172-1.51892e-17j 0.000466872+2.1702e-17j 0.000282715+1.53743e-17j 
-0.00157292-1.11048e-17j 0.00358694-9.12895e-18j -0.00116059-2.02759e-18j -0.00351211+6.54133e-18j -0.000710245-1.4123e-17j -0.00186089+2.93812e-17j -0.00148054-2.09311e-17j -0.00243011-1.28289e-17j 0.00175361-4.48207e-17j -0.000348134+3.10494e-16j 0.000885726-1.55494e-17j -0.000215833-1.47716e-17j -0.000489693+7.24643e-17j -0.00105041+1.47831e-17j 0.0023334+1.8263e-17j -0.000621465+7.78286e-18j 0.000142173+7.66842e-16j -3.14102e-06+1.08121e-16j -0.000660735+3.53151e-17j 0.000644825-3.65573e-18j 0.000127414-1.30654e-16j -0.00118478+9.47331e-18j -0.00116236+8.36229e-17j -0.000534394+2.26209e-16j -0.000705788-2.18944e-17j 0.000961673+7.32728e-18j -0.00133198+1.39696e-17j -0.000937795-9.31167e-17j -0.00183389+8.26077e-16j 0.000535824-2.36273e-15j -0.000217532-1.52459e-15j -0.00374039-2.62183e-16j -0.00422344+8.7854e-18j -0.000200769-2.5331e-17j 0.00259608+1.0578e-18j 0.00507139-3.44897e-18j 0.0016832-8.02859e-18j -0.000800445-1.97143e-18j -0.00386485-3.44019e-17j 0.00240625+1.6496e-17j 0.000476433-2.71603e-17j -0.00655086+2.0262e-17j 0.000112002-3.23883e-16j -0.00566995+2.04638e-15j 0.0008089-4.07423e-16j -0.00149952-3.66217e-16j 0.000181005-2.51317e-17j -0.00117104-3.94912e-18j -0.0019292+1.21636e-16j -0.00199947+5.59961e-16j -0.0028963-1.63221e-13j -0.00875267+1.04514e-16j 0.00270827+8.7114e-16j 0.00221944+2.81676e-16j 0.00173801-2.88054e-17j -0.00128644-1.81265e-17j 0.00142202+1.1064e-16j -0.000227377-1.30953e-16j 0.00589345-3.39517e-16j -0.00137696-2.12438e-16j -0.00454281-8.36429e-17j -0.00186082-6.05897e-17j -0.00302494-8.57333e-17j -0.00354497-1.12596e-18j 0.001476-2.7782e-18j -0.00379035+2.09632e-18j 0.00498662-1.01262e-18j -0.000825613+8.61389e-20j 0.00536206-1.0959e-18j -0.00270188-1.1254e-18j 0.00412496-1.27888e-17j 0.00249526+1.2892e-17j 
3.89367e-18-8.89943e-19j -5.56905e-18+2.09634e-18j 1.08759e-17-4.94944e-19j 3.29163e-17-1.49768e-18j 1.54801e-17-1.24587e-19j 2.92158e-17-5.55626e-19j 2.80319e-17-3.45325e-19j 7.15269e-17-5.12242e-20j -4.63601e-17+1.43143e-19j -7.00515e-18-3.55928e-19j -3.3304e-17-1.27496e-19j 1.82036e-17+2.34905e-19j 6.57541e-18-1.68696e-19j 3.25294e-17+1.04287e-20j -6.7292e-17+7.72407e-20j 2.65581e-17+1.53923e-19j 9.82474e-19+1.07403e-19j -2.00229e-17-4.06511e-19j 1.40547e-17-1.229e-19j -3.09068e-17-2.27408e-19j 5.31807e-18+1.85918e-19j 4.65084e-17+2.10138e-19j 4.97063e-17+2.88563e-19j -1.33473e-17-5.98775e-19j 4.93837e-17+5.63205e-19j -3.80578e-17-1.7678e-19j 2.58103e-17-2.98727e-19j -1.51842e-17-8.8431e-19j 2.27124e-17-6.70404e-19j 1.06688e-17+5.45536e-19j 3.94698e-18-5.42063e-20j -3.37124e-17-2.98454e-18j -1.67615e-17-2.9395e-18j -4.15603e-18-2.07611e-19j 1.05668e-17+1.8122e-18j 1.55141e-17+3.43647e-18j 6.63628e-18+1.17062e-18j 2.95591e-18-4.33194e-19j -1.01469e-17-2.58503e-18j 4.18813e-18+1.56641e-18j 1.8955e-18+3.31691e-19j -1.25534e-17-4.28772e-18j 6.73121e-19+8.25726e-20j -1.15979e-17-3.72594e-18j 1.72649e-18+5.33012e-19j -3.08521e-18-9.85757e-19j 5.65614e-19+1.22893e-19j -2.6623e-18-7.74927e-19j -3.80477e-18-1.26489e-18j -4.32425e-18-1.31866e-18j -5.96714e-18-1.90413e-18j -1.73316e-17-5.74015e-18j 5.52779e-18+1.77947e-18j 4.60427e-18+1.45978e-18j 3.0725e-18+1.13236e-18j -2.45059e-18-8.41716e-19j 2.74682e-18+9.31192e-19j -2.9127e-19-1.45905e-19j 1.19274e-17+3.87023e-18j -2.6482e-18-9.0145e-19j -9.81118e-18-2.99574e-18j -2.52038e-18-1.19683e-18j -6.59386e-18-1.99601e-18j -4.74942e-18-2.27899e-18j -1.90155e-18+8.70507e-19j -4.48879e-18-2.42482e-18j 6.84258e-18+3.20905e-18j -5.7718e-19-5.20081e-19j 5.56624e-18+3.41447e-18j -2.86998e-18-1.72183e-18j 5.21219e-18+2.6455e-18j 2.71594e-18+1.59148e-18j 
