0.0144086+0.0496611j 0.0194111+0.0251715j 0.134166+0.0212184j 0.0961922+0.028123j -0.0376519-0.127623j -0.078293-0.261015j -0.13887-0.0328585j -0.047247-0.145366j -0.172147+0.00780137j -0.314649+0.139058j -0.0407886+0.161383j -0.0787225+0.120804j -0.0489635-0.360316j 0.0178189+0.282506j -0.702858-0.353568j 0.0989406-0.065494j 0.142359+7.64227e-05j -0.052319-0.111823j 0.0241034-0.0998486j 0.0934104-0.262443j -0.139988+0.376232j -0.0738265-0.0078165j -0.300368-0.0883067j 0.214174-0.257419j -0.300932-0.0510995j 0.523201-0.135878j -0.0741508+0.128722j -0.084902+0.228104j -0.137526-0.214849j -0.0761984+0.429681j -0.233923-0.425213j -0.118996-0.0949824j -0.366534-0.0576111j -0.144923+0.00766238j -0.20447+0.113219j -0.996732-0.387219j -0.0784088-1.95339j 0.0152927+0.00143063j 0.048158+0.0314379j 0.142287-0.227544j -0.099577-0.206942j 0.142773-0.0155372j 0.0455121-0.119716j -0.293095+0.0295698j 0.205108-0.0560296j 0.111015-0.200232j -0.0711086+0.237628j 0.0209844-0.000882273j 0.156526+0.0479637j -0.0413042-0.0367563j 0.139712-0.0512201j 0.0720296+0.328151j -0.210678-0.0862321j 0.245994+0.063224j -0.0478453-0.267392j 0.0975571+0.124402j 0.112028-0.00790093j -0.170584-0.0330147j 0.110021+0.434427j -0.238482-0.0941485j -0.166756+0.00789751j -0.499337-0.221314j -0.0277632-0.0885522j -0.35523+0.0716757j 0.0585373-0.00502268j -0.178619+0.180873j -0.358368+0.232553j 0.0900697-0.118989j 0.144932-0.183557j 0.0838885-0.584452j -0.215509+0.369818j -0.102436-0.0426013j 0.159058+0.459073j 0.0951142-0.10066j -0.0347883+0.280338j -0.360008-0.690336j -0.0718233+0.328978j -0.0636038+0.0091935j 0.391851+0.385525j 0.359346+0.271173j 0.124511+0.0917982j 0.74427-0.261366j 0.169077+0.123431j -0.0762867+0.100488j 0.24371-0.296559j 0.110454+0.654098j 0.144348-0.0659544j 0.356738+0.106857j -0.124819-0.613755j -0.506125-0.548513j -1.34877-0.052476j -0.0121265-0.168365j 0.38279-1.50636j -0.846796+0.0449243j 0.864651+1.32274j 
0.0849479+0.0208872j 0.119065-0.0360137j 0.172808-0.0148511j 0.156704-0.0175243j 0.0432262-0.00226567j 0.0346784-0.0908138j 0.0799334-0.189381j -0.10718+0.0419968j 0.0351344-0.164758j -0.00988168-0.331509j -0.117729-0.23628j -0.0762166-0.191069j 0.267284+0.281434j -0.140807+0.0884507j 0.13235+1.00344j 0.0402738-0.170961j -0.0527193-0.166911j -0.273112-0.298522j -0.18234-0.245446j 0.0463443-0.213961j -0.0169122+0.371181j 0.0603331-0.0799377j 0.057564-0.341452j -0.247204-0.171737j -0.084518-0.156413j 0.0669659+0.0899293j -0.224197-0.198013j -0.264838-0.115367j 0.693151+0.252253j -0.0366543-0.122854j 0.410213+0.0748115j 0.227069-0.0948052j 0.172382-0.411433j -0.886685+0.197793j 0.253457+0.0976415j -0.039812-0.0256449j -0.312183-0.620123j 0.166776+0.207404j 0.13977-0.00765146j -0.00454427-0.451512j -0.225118-0.166642j -0.0375469+0.0798146j 0.0171143+0.0320761j -0.268858+0.0726601j -0.0876611-0.148358j 0.0644149-0.181833j 0.0543679+0.0699889j 0.311521-0.0423906j 0.341864+0.0292109j 0.0620854-0.136252j 0.219112-0.243275j -0.198117+0.171444j 0.0464787-0.0973484j -0.035013+0.323837j -0.109791-0.234408j -0.211845-0.128115j 0.219829+0.0887649j -0.0620709+0.0685341j 0.358535+0.172347j -0.14783-0.417019j 0.243496-0.162805j -0.337752+0.111534j 0.139236-0.125041j -0.427545-0.435611j -0.0297076+0.0201689j -0.575847-0.14335j -0.0910917-0.0734651j 0.135195+0.0461115j 0.378693+0.141186j 0.224094+0.0834738j 0.411385+0.125962j -0.152991-0.317804j -0.460297+0.271624j -0.0149339-0.104579j -0.374485+0.0228926j -0.393376+0.33078j -0.517437-0.0697135j 0.108337-0.236607j -0.0885109+0.301639j -0.521451+0.141396j 0.0992547+0.35642j -0.499392+0.773496j 0.314429+0.220693j 0.16577+0.393163j 0.61983+0.533789j 0.209833-0.874994j -0.266578+0.293231j 0.689093+0.0384402j 0.51778+0.358317j 0.899851-0.333462j 0.753979-1.5473j 0.353924+0.0906488j 0.869735+0.698509j 1.05939+0.0276667j 0.00876584-1.32202j 
0.00443435-0.0722415j 0.0274645-0.176206j 0.0260749+0.021622j 0.128759-0.121571j 0.209137+0.135292j 0.108876+0.0181032j 0.144051-0.0886853j -0.135066-0.0635898j 0.114203+0.0767207j 0.115949+0.0670662j 0.452672-0.043443j -0.327117+0.180196j -0.231704+0.590053j -0.104367+0.698122j -0.188295+0.274703j -0.0764495-0.0041675j -0.28887+0.129804j -0.18293-0.0138648j -0.363229+0.0234147j 0.173948+0.355284j -0.0147915+0.0403442j 0.158606-0.136695j 0.273825-0.404487j -0.372715-0.0360679j 0.0738369+0.0788309j 0.120369-0.0230521j 0.145291-0.124582j 0.00954895-0.0596716j -0.518104+0.197052j 0.105313-0.128908j -0.500798+0.198853j -0.127877+0.343294j 0.236486+0.902609j 0.759839+0.34997j 0.900742-0.673645j -1.05399+0.222233j 1.01387+0.270447j 0.243384+0.0747464j 0.106835-0.0784574j -0.00051766+8.80032e-05j 0.00953679-0.0306424j -0.0161448+0.0904905j 0.0664364+0.04434j 0.193116-0.404883j 0.119271+0.114703j 0.14429+0.278195j -0.28141-0.0416786j 0.241209+0.121616j -0.090653-0.0461494j 0.166453-0.160922j -0.111018+0.0228268j -0.696807+0.0318303j 0.297735-0.373297j -0.368123+0.483441j 0.0264137+0.129167j 0.0473493+0.430432j -0.00305822+0.0935413j 0.165339+0.153629j -0.0163416-0.128229j 0.139265-0.211663j -0.38338-0.268692j 0.021487+0.0913443j -0.126996+0.0362036j -0.308314-0.288695j 0.128975-0.0300211j -0.427371+0.170855j 0.0419813-0.133867j 0.101559-0.141302j -0.341005+0.106838j 0.0330271+0.22703j -0.082985+0.402227j -0.118991+0.532143j 0.0401452-0.299928j -0.355215+0.181343j 0.426626-0.346215j -0.392767-0.0656761j 0.557918+0.679006j 0.317375+0.148862j 0.0324979-0.855829j 0.382656-0.201105j -0.209914-0.0341873j 0.0955364-0.984045j 0.29579+0.213749j -0.324232+0.421744j -0.574392+0.267733j 1.11958+0.61509j -0.295274-0.00409043j 0.703897+0.308494j 0.582558+0.379848j 0.208541+0.115047j 0.230951-0.792989j 1.23664-0.211953j 0.754504-0.750299j 0.250434-1.43148j -1.17596-0.107658j 
0.140921+0.0213477j 0.0554888-0.0373363j 0.13582-0.23595j -0.0334296+0.092715j -0.209254-0.0990111j 0.0379209-0.0502811j -0.133685+0.144254j 0.324125+0.0566652j -0.0491153-0.0583108j -0.131461+0.102368j 0.127951-0.164673j -0.200187-0.191212j -0.106688-0.139915j 0.228906+0.225259j 0.515396-0.0299783j -0.055317-0.252019j -0.124016-0.139071j -0.504831+0.0534435j 0.0436257-0.0984114j -0.308857-0.317172j -0.0263342-0.075605j -0.101008+0.0420948j -0.125338-0.0310874j 0.0677154+0.357908j -0.0424291-0.289247j 0.102228+0.397049j -0.0420416+0.247335j 0.187154+0.271734j 0.0777324-0.136821j 0.0590907-0.805058j -0.75932-0.589079j 0.151877+0.319977j 1.26531-0.462125j -0.113924-0.303797j -0.972128+0.143521j -0.138184-1.33721j -1.18179+0.0189584j 0.203082+0.0171827j 0.041007-0.124353j -0.25609-0.14436j -0.159328+0.135744j 0.126194+0.463369j 0.290256+0.0761585j -0.165712+0.45566j -0.420981+0.309379j -0.24907-0.245777j 0.0360075-0.289718j -0.0665674-0.374192j 0.19864-0.0279349j -0.0927034-0.00566316j -0.0279216-0.194024j -0.0200444+0.0403426j 0.0530301+0.012824j 0.0573158-0.0117621j 0.255191-0.309667j -0.399217+0.0661611j 0.0196328+0.0229944j -0.11354-0.264724j -0.240934+0.0631123j -0.275712-0.359044j 0.168923-0.367988j 0.157451-0.343141j 0.229488-0.137827j -0.257966-0.088946j 0.174702+0.222562j -0.0899354+0.0453196j -0.140455-0.202784j 0.329963+0.0227761j -0.602544+0.20429j 0.284673+0.0969303j -0.363499+0.480745j 0.431976+0.261459j 0.191567-0.721468j -0.358533-0.0604199j 0.0410821-0.268811j -0.0941428-0.865444j 0.451662-0.121674j 0.266606-0.031265j 0.261136-0.442399j -0.714172-0.188478j -0.921775-0.142345j -0.614831+0.499687j -0.554625+0.337236j 0.0113652+0.0100165j -0.726154+1.19313j -0.224083+0.829201j -0.110789+0.050524j -0.0483645+0.185867j -0.14026-0.117097j 0.180437+0.211093j 0.390724+0.188372j -0.3541-0.0588736j -0.398696+0.150343j -0.131241+0.52622j 0.306297+0.0426879j 
-0.0709047+0.0686898j -0.077516+0.106733j -0.0108898-0.108013j -0.0627943+0.0725405j -0.0153952-0.100952j -0.247811-0.20232j -0.000144529-0.352318j -0.232355+0.0151627j -0.135545-0.125501j -0.341243-0.0336696j 0.0715023-0.423178j -0.17794+0.144767j -0.238402+0.231608j -0.625205-0.218648j 0.381926-0.0232128j 0.125239+0.0809845j 0.278885-0.0246338j 0.144172+0.203539j 0.364446-0.015135j -0.211051-0.108723j 0.152936-0.105296j 0.0992925-0.212589j -0.0640842-0.287983j 0.335217-0.066414j -0.187437+0.130201j 0.339441-0.242309j -0.453953-0.114839j -0.48081+0.230148j -0.226425+0.565953j -0.360246+0.299197j -0.0795551-0.138571j 0.287793+0.162994j 0.594381-0.0167982j -0.628613+1.00422j 0.455651+0.777767j 0.774072+0.511811j 0.0907156-0.53378j -0.222492-0.129237j -0.104521+0.0833926j -0.0849545+0.162554j 0.026151+0.0913734j 0.182665-0.0645051j 0.0284968-0.116064j 0.221181+0.447991j 0.0377226-0.00386387j -0.307845-0.0776558j 0.0495052+0.0410548j -0.24717-0.0331283j -0.485746-0.055251j -0.0160515+0.0307861j -0.289061+0.287478j 0.255559-0.262987j 0.118988+0.42782j 0.281235+0.317009j 0.0634047+0.0898359j 0.184459-0.141659j 0.361617-0.0100078j 0.100909-0.0189306j -0.576922-0.170144j -0.3466-0.145096j -0.0609796+0.327329j 0.427408-0.210071j 0.0298181-0.254336j -0.503758+0.0248723j 0.000307487-0.03123j -0.496107+0.277241j 0.135169+0.335344j 0.0499322-0.0986734j 0.340308-0.276511j -0.364635+0.0973441j -0.318721+0.431876j 0.0227174+0.320963j 0.237361+0.552725j -0.222799-0.239727j 0.161072+0.112406j -0.318382-0.525542j 0.47193+0.187286j 0.0753826-0.16092j 0.745557-0.0433578j -0.287664-0.655183j 0.0459421+0.113397j -1.18946-0.0908323j 0.257908-0.325799j 0.651309+0.45415j 0.337481+0.423662j 0.502343-0.928709j -0.3605+0.422053j 0.951004-0.850985j -0.361967+0.620324j 0.000941304+0.0556612j 0.369438+0.134366j 0.573976+0.511574j 0.697839-0.14569j 0.146531+0.25496j 0.373819+0.193676j 
0.145692+0.124973j 0.00748471+0.194895j -0.0470084-0.074956j -0.0928725-0.0923112j 0.275815+0.00685431j -0.0675998+0.0413632j 0.203339-0.123841j -0.173261+0.137538j 0.154405+0.269293j -0.401157-0.235688j 0.325384+0.360916j -0.287896+0.548179j -0.619077-0.281373j -0.391733-0.188673j 0.00442811+0.598007j 0.0537992-0.308877j 0.225679-0.369438j 0.0406812+0.0737134j 0.109886-0.0375362j 0.135637+0.00476826j 0.33112-0.064834j 0.110639-0.404876j 0.14873-0.328553j -0.177723+0.205347j 0.105314+0.136909j 0.354582+0.456798j 0.324848-0.22309j -0.08624-0.0614558j 0.24256+0.00454161j 0.187246+0.187994j -0.0881513-0.727158j 0.183089-0.257113j -1.26278-0.263268j 0.389687-0.851044j 0.18367+0.181474j -0.204483+0.471914j -0.233199-0.840838j 0.12499-0.0872414j -0.0189179-0.0690554j -0.540945-0.0861707j -0.234286+0.271825j -0.0841742-0.115911j -0.077175+0.00317489j 0.214947+0.169792j -0.4348-0.272463j -0.177171+0.0184079j 0.17999+0.00463j 0.450236-0.390019j -0.358729-0.00135211j -0.017582-0.381788j -0.183349+0.136542j -0.00595687+0.0846318j 0.151882+0.0882563j 0.212565+0.295602j -0.237048+0.183342j -0.298407-0.239198j 0.344993-0.184505j 0.0773915+0.29951j -0.244125+0.0691623j 0.34164-0.229215j 0.373907+0.0268766j 0.100062-0.330827j -0.123525+0.0271158j -0.0673231-0.575731j 0.139245-0.255385j -0.407958-0.153053j -0.217798-0.201041j -0.0696544-0.213869j -0.166931+0.306368j 0.230551+0.00827279j -0.6648+0.229916j 0.00462829+0.222566j -0.282456-0.257379j -0.269238+0.91897j -0.611185-0.683187j 0.354693-0.857898j 0.122816+0.271405j 0.47826-0.584454j -1.49853-0.323509j 0.265219+0.69116j 0.333453+0.520343j 0.426741+0.00346549j 0.927153-0.43235j 0.684938-0.0541678j 1.07019+0.116406j 0.134072-0.892759j -0.0208731+0.404615j 0.234876-0.965483j 0.06521+1.01828j 0.0850037+0.0405631j 0.581906+0.39797j 1.23572+0.0945684j 0.217338-0.925253j -0.508638-0.339213j 0.0315628+0.635509j 
-0.0944726-0.013513j 0.0554936-0.0253929j 0.0167113+0.136994j 0.0115882-0.221337j -0.0745878+0.117768j -0.178279+0.20147j -0.0569842+0.162427j 0.0451629-0.256328j 0.0933267+0.485592j -0.340111-0.118487j 0.444546-0.136921j 0.0214931-0.255613j 0.616493-0.382625j -0.480234-0.532483j -0.403574+0.120787j 0.0697403+0.148029j -0.0254046-0.0213171j 0.105984-0.243124j -0.276205+0.269073j -0.10464+0.117021j 0.383253-0.0185358j 0.0450061+0.234496j 0.177533+0.383892j 0.100412-0.215517j 0.042172+0.263883j 0.258456+0.29384j 0.147162+0.357727j -0.220648+0.380895j -0.759232-0.314436j 0.225326+0.164854j 0.207025-0.0480996j 1.09476-0.724711j 0.0998876-0.372398j -0.539439-0.0504795j 0.851512-0.543361j 0.521802+0.604923j 0.402757-0.00422264j -0.0933944+0.143767j 0.0666631+0.0891959j 0.0391749-0.0243495j -0.00126685-0.0568296j -0.486747-0.105918j -0.213013+0.23413j -0.0584306-0.114207j 0.176002+0.022854j 0.123015-0.00424838j -0.0250331-0.0295976j -0.228826+0.0400962j -0.060446-0.650754j 0.00127576+0.18393j -0.400397-0.199326j 0.21148-0.302836j 0.0487846+0.175751j -0.158062-0.204089j 0.106468+0.351962j 0.0401212+0.425716j -0.173896-0.0226644j 0.12551+0.178969j -0.385781+0.156434j 0.184713+0.0855296j -0.306519-0.159608j -0.0296365-0.345401j -0.235764+0.100381j -0.14218-0.00964832j 0.209456+0.104147j -0.0385725+0.117899j -0.400216+0.807472j 0.245757-0.164649j -0.352867-0.217665j -0.572213-0.888634j 0.214213-0.0170865j -0.0263749-0.267604j 0.764502-0.34437j -0.639576-0.146116j -0.952314+0.207393j -0.187792-0.00516867j -0.342052-0.0127282j 0.612124-1.19479j 0.333792+0.362654j -0.416467-0.0198546j 0.43181+0.733721j -0.587187+0.384439j -0.767608-0.420373j 0.0892921-0.143333j 1.62838-0.359401j -0.0844795+0.0335353j 1.45749+0.223401j -0.268146-0.168164j 0.575351-0.514922j -0.430306+1.15357j 0.0481325-0.0687506j 0.183988-0.644075j -0.415-0.0385848j -0.332786-0.242499j -0.200269+0.117425j 
-0.141195+0.0911648j 0.116657+0.114562j -0.147568+0.186145j 0.111171-0.123411j -0.10698+0.357897j 0.199884+0.320377j -0.124295+0.0275897j -0.351048+0.178434j -0.200004-0.234425j -0.04919-0.0243308j 0.589642-0.481075j 0.297821+0.369766j -0.354884-0.0316804j 0.235309+0.0262338j -0.59696-0.55159j 0.272167+0.141147j 0.151747-0.318397j 0.330467-0.357196j -0.172114+0.0206844j -0.324238+0.322767j 0.174335-0.214827j 0.135845+0.164729j 0.0820016-0.120536j -0.558279-0.0914306j -0.331249-0.550286j -0.48374+0.194765j -0.378509+0.309282j 0.495766+0.429438j 0.237157-0.127253j -0.112654+0.114734j -1.12196+0.350199j -0.679988+0.662369j 0.593091+0.443116j 0.117667+0.670957j -1.28138-0.0315949j -0.52164-0.0747555j 0.609701+0.227052j -0.215861+0.348852j 0.145936+0.21665j -0.099836-0.170328j -0.132291-0.015258j -0.641106-0.343405j -0.433067+0.271097j 0.339735+0.132034j -0.0730723-0.241174j -0.133537+0.0999495j 0.273931-0.0901084j -0.0436239+0.332466j 0.035488-0.255439j 0.205782+0.216245j -0.0777204-0.0463896j 0.00260817-0.0314384j 0.238494+0.0775636j 0.203463+0.0895042j 0.219799-0.189583j -0.383642+0.315674j 0.085467-0.107988j -0.026549-0.516322j -0.410158-0.616704j -0.44183-0.256414j -0.177707-0.405358j 0.819226-0.00503051j 0.616984-0.0486992j 0.0235834+0.116225j 0.431084+0.0794689j 0.457097-0.328433j -0.666525+0.39486j 0.301023-0.280806j 0.185811+0.478072j 0.0777041-0.943868j 0.39506-0.305622j 0.377539+0.240305j -0.374605+0.173421j -0.169981+0.803168j 0.316022+0.447033j 0.0857209+0.593504j 0.570634-0.0611829j -0.897154-0.512801j -0.156261-0.604905j 0.586741+0.165549j -0.374065-0.665916j 0.668125-0.216139j 0.0818858-0.732778j 0.332103+0.552027j -0.493495+0.0507837j -0.855108+0.399675j 0.784958+0.192681j 0.959364+0.0614918j -0.218758-0.545964j -1.0255+0.509256j -0.390486+0.609585j 0.378568+0.468505j 0.378635-0.546266j -0.0650571-0.808337j -0.713434+0.195039j 
0.146667+0.0269302j -0.0888178+0.0870571j -0.0708723-0.0374863j -0.0300101-0.13366j -0.034768+0.175197j -0.24241-0.191549j 0.282735+0.273521j -0.0305774-0.331688j -0.50656+0.0159945j -0.497336-0.417214j 0.246766-0.283057j 0.598566-0.481972j 0.0282832-0.196887j 0.155185+0.168452j -0.0585048+0.310677j -0.138408-0.238069j 0.0709047-0.090149j 0.0547077+0.222222j -0.116774+0.235152j 0.121952+0.25766j 0.147245+0.210944j 0.00733674+0.109728j 0.19075+0.390035j 0.177699-0.369546j -0.692049+0.0557954j 0.802768+0.167158j 0.132695+0.16781j -0.163467-1.78726j 0.593346-0.216274j -0.156552-0.229458j -1.00179-0.563125j -1.37115+0.361341j 0.705165-0.329422j 0.712173-0.131873j 0.627991-0.758947j 0.09158+0.0265428j -0.0309479-0.561569j 0.193588-0.31004j -0.0958995-0.167845j -0.379465+0.285544j 0.00224783+0.259792j 0.0195251-0.186224j -0.076969-0.0838378j 0.0177412-0.374352j 0.171233-0.162097j 0.200178+0.143983j -0.110618+0.166333j 0.0633062-0.0707806j -0.372498-0.164621j -0.0794099-0.148905j -0.187235+0.140188j 0.195521-0.1392j -0.121147-0.0306468j -0.447975-0.49225j -0.127127-0.136991j 0.0121392+0.366421j -0.340563+0.127639j -0.237219+0.110323j 0.528544+0.327174j -0.195876+0.2498j -0.275177-0.26838j -0.82084+0.210523j 0.497471-0.644829j 0.697391-0.259251j 0.304637+0.623036j 0.22307-1.28359j -0.493317-0.0979789j 0.747489+0.259897j 0.195622+0.514257j 0.299752-0.484949j 0.193636+0.35849j 0.439529+0.169682j -0.687292+0.0832428j -0.898902-0.501441j 0.624121+0.0717167j -0.50424-0.3046j 0.424867-0.00817752j 0.358643-0.0712378j 0.836515-0.66959j -0.250672+0.153128j 0.429184-0.229361j -0.0558777+1.12813j -0.30147-0.677271j 0.495523+0.67984j 0.365742-0.454772j -1.11063-0.369771j 0.651295-0.147554j 0.782698-0.106075j 0.575303-0.166173j 0.25033+0.298773j 0.258231-0.728645j -0.155373-0.490809j 0.0264188+0.162845j -0.31956+0.387009j 0.388529+0.396131j 
0.0421768-0.00228767j -0.0962431+0.109175j 0.0276204-0.0830592j 0.216271+0.177089j -0.00253011-0.0340567j 0.161549+0.00267117j 0.356122+0.18548j -0.197372+0.436059j 0.096305-0.466165j -0.363921+0.485369j 0.15481-0.167281j 0.0344126-0.147248j 0.00727989+0.257598j 0.403774+0.375184j 0.114754-0.10989j -0.0919343-0.0602954j 0.16626+0.0377101j 0.0524221+0.0710406j -0.207164-0.43513j 0.196256-0.199494j -0.0672595+9.0323e-05j 0.124638-0.0177672j 0.642621+0.216018j -0.457534+0.748849j 0.193365-0.74303j 0.252852-0.777656j 0.424885-0.260651j 0.200943+0.100902j -0.725427-0.302516j 0.285917+0.367799j 0.15784-0.499285j 2.0417-0.746245j -0.0896153+0.310775j 0.407216-0.12114j 0.135732-0.0528625j -0.311508-0.178534j -0.0172688-0.0358845j -0.0216888-0.194707j -0.0945906-0.0389706j 0.0335191-0.196322j -0.0885839-0.0357139j 0.0726624-0.337567j -0.150469-0.158605j -0.0395096-0.156927j -0.57182+0.19663j 0.101436+0.0353718j 0.0146364-0.321105j 0.353127-0.351312j 0.254217+0.02934j -0.0522744-0.172176j 0.0579415-0.26394j -0.287309-0.273275j 0.119204+0.0337577j -0.437937+0.0314814j 0.587705+0.123538j 0.663415+0.0355785j -0.204418+0.283398j 0.290761-0.387498j -0.0102344-0.159803j 0.583163-0.332061j -0.338329+0.375198j -0.00844398+0.26484j 0.179538+0.675105j 0.24028-0.134105j 0.313783+0.0942803j 0.468537-0.325031j -0.265895+0.714747j 0.285794-0.168399j -0.50058+0.269437j -0.475088-0.787134j -0.0110745+0.0382716j -0.246339-0.231527j -0.015049-0.607155j 0.426619-0.326547j 0.653478+0.362751j -0.0942467-0.0952118j -0.202332+0.20314j -0.387103+1.26757j 0.566512-0.17689j -0.442595+0.734816j -0.989111-0.400615j 0.525158+0.477356j 1.10516+0.397636j 0.172222+0.124271j -0.803411+1.27264j -0.160449-0.256288j -0.0124525+0.547677j 0.394483-0.0202035j 0.207791+0.163193j -0.350215+0.140649j 0.15192-0.118466j 0.248191+0.124755j 0.221339-0.144528j 0.066694-0.0912208j -0.0440448+0.0480557j 
0.0669471-0.1381j -0.0094661-0.091396j -0.329612+0.0866169j -0.307685+0.145249j -0.148259-0.0692161j -0.360951+0.243412j 0.158893-0.202525j 0.103568+0.167601j -0.184682-0.0158444j -0.0422771-0.0200709j 0.169963-0.160037j -0.396898-0.0892714j -0.0189549-0.442543j 0.069985+0.552529j 0.0795401-0.172485j -0.284362+0.0338019j -0.248727+0.227691j -0.0384772-0.187391j -0.169426+0.32553j -0.285705+0.151472j 0.00461004-0.561965j 0.170919-0.144347j -0.16257+0.427297j 0.253794+0.634415j -0.0282471+0.333301j -0.0466158-0.234094j -0.349348-0.118307j -0.391647+0.247163j -0.24484+0.751218j -0.159471+1.43178j 0.593616+0.00994998j 0.169502+0.0721224j 0.0209844-0.0752645j -0.952234+0.564151j 0.772021-0.108983j 0.256982+0.360996j 0.130925+0.239284j 0.209711-0.0486561j -0.0191176-0.137711j 0.2014-0.000939668j 0.0923332-0.0968924j -0.374848+0.384578j 0.0568901+0.3218j -0.217096-0.393341j 0.0806807+0.217413j 0.17449-0.00787432j -0.0975525-0.177663j 0.00701082+0.162594j 0.62224-0.0857587j 0.083594+0.124792j 0.0880182-0.428781j -0.047801-0.604514j 0.451469+0.472862j 0.159356+0.218561j 0.399011-0.0785292j 0.143523-0.329212j 0.453761+0.0861471j 0.219025-0.442365j -0.168904-0.0410622j 0.0677421+0.528898j 0.0673656+0.180301j 0.291463-0.0285634j -0.225597+0.0812497j 0.485973+0.301054j -0.00292192-0.105993j 0.41392-0.140942j -0.200957-0.192323j -0.141784-0.00223256j 0.621919-0.088403j 0.383412+0.0627499j -0.945953+0.739974j 0.377704-0.304806j -0.301163+0.793002j 0.0708664+0.141589j 0.317452+0.0309261j -0.242557-1.48474j -0.087987-0.503921j -0.363385+0.0801955j 0.233694-0.0844376j -0.136688-0.377576j -0.020883+0.259994j -0.389265-0.118744j -0.318237+0.158993j -0.117761+0.275591j 0.315854+0.0374818j 0.367101+0.351115j 0.123539+0.317918j 0.441775+0.124766j -0.0777641+0.372814j -0.48458+0.352096j 0.42192+0.771485j 0.198196-0.0660376j -0.486427+0.0271133j -0.282819-0.102036j -0.117743+0.158956j 
