0.979167-0j -0.0148841-0j 0.204091-0j -0.00868236-0j 0.0721375-0j 0.0182902-0j -0.00859331-0j 0.0713976-0j 0.0181026-0j 
0.0148841-0j -0.0206163-0j 3.13233e-05-0j -0.0059498-0j 0.0999196-0j -8.76488e-05-0j 0.00613936-0j -0.103103-0j 9.04413e-05-0j 
0.204091-0j -3.13233e-05-0j -0.0199698-0j 0.000858779-0j -0.0144222-0j 0.171257-0j -0.00088614-0j 0.0148816-0j -0.176713-0j 
-0.00868236-0j 0.0059498-0j 0.000858779-0j -0.517001-0j 0.000639117-0j 5.32597e-05-0j 0.512125-0j -0.000633089-0j -5.27574e-05-0j 
-0.0721375-0j 0.0999196-0j 0.0144222-0j -0.000639117-0j -0.50446-0j 0.00134636-0j 0.000633089-0j 0.499702-0j -0.00133366-0j 
0.0182902-0j 8.76488e-05-0j 0.171257-0j 5.32597e-05-0j -0.00134636-0j -0.488416-0j -5.27574e-05-0j 0.00133366-0j 0.483809-0j 
0.00859331-0j 0.00613936-0j 0.00088614-0j -0.512125-0j 0.000633089-0j 5.27574e-05-0j 0.486183-0j -0.00060102-0j -5.0085e-05-0j 
0.0713976-0j 0.103103-0j 0.0148816-0j -0.000633089-0j -0.499702-0j 0.00133366-0j 0.00060102-0j 0.47439-0j -0.0012661-0j 
-0.0181026-0j 9.04413e-05-0j 0.176713-0j 5.27574e-05-0j -0.00133366-0j -0.483809-0j -5.0085e-05-0j 0.0012661-0j 0.459302-0j 
