0.993056-0j -0.00122762-0j -0.000102301-0j -0.00607639-0j -0.000620169-0j 0.144821-0j -0.000126591-0j -7.45947e-06-0j 
0.00122762-0j 0.968967-0j -0.00258608-0j 0.00107416-0j -0.0209396-0j -0.00841428-0j 0.201965-0j -0.000251864-0j 
-0.000102301-0j 0.00258608-0j 0.93815-0j -8.95137e-05-0j -9.13595e-06-0j 0.00213341-0j -0.0252447-0j 0.282615-0j 
0.00607639-0j 0.00107416-0j 8.95137e-05-0j -0.0207248-0j 1.10744e-05-0j 1.80845e-05-0j 2.26056e-06-0j 1.33205e-07-0j 
-0.000620169-0j 0.0209396-0j -9.13595e-06-0j -1.10744e-05-0j -0.0204004-0j -1.84574e-06-0j 4.40671e-05-0j -1.35952e-08-0j 
0.144821-0j 0.00841428-0j 0.00213341-0j -1.80845e-05-0j -1.84574e-06-0j -0.0202576-0j 3.57922e-05-0j 4.24035e-06-0j 
0.000126591-0j 0.201965-0j 0.0252447-0j 2.26056e-06-0j -4.40671e-05-0j -3.57922e-05-0j -0.0197618-0j 7.56631e-05-0j 
-7.45947e-06-0j 0.000251864-0j 0.282615-0j -1.33205e-07-0j -1.35952e-08-0j 4.24035e-06-0j -7.56631e-05-0j -0.0191242-0j 
