0.995833-0j -0.000549007-0j -0.000672393-0j -6.86258e-05-0j -7.92423e-05-0j -8.08763e-06-0j -3.69148e-07-0j 
0.000549007-0j 0.982711-0j 8.85955e-05-0j -0.00172707-0j -0.00149308-0j -0.000101236-0j 4.86395e-08-0j 
0.000672393-0j 8.85955e-05-0j 0.974067-0j -0.000520499-0j -0.00121483-0j -0.000186634-0j -1.42375e-05-0j 
-6.86258e-05-0j 0.00172707-0j 0.000520499-0j 0.95882-0j 0.000123988-0j -0.00363822-0j 1.45311e-06-0j 
-7.92423e-05-0j 0.00149308-0j 0.00121483-0j 0.000123988-0j 0.951894-0j -0.00208215-0j -0.000320142-0j 
8.08763e-06-0j -0.000101236-0j -0.000186634-0j 0.00363822-0j 0.00208215-0j 0.928377-0j -0.004656-0j 
-3.69148e-07-0j -4.86395e-08-0j 1.42375e-05-0j 1.45311e-06-0j -0.000320142-0j 0.004656-0j 0.897988-0j 
