-0.0208333-0j 0.100971-0j -0.104188-0j 0.0121508-0j 0.0841833-0j -0.0015191-0j -0.000219263-0j -0.0601532-0j -0.00868236-0j 
0.100971-0j -0.50977-0j 0.504962-0j 0.0540319-0j -0.00394047-0j 0.0073625-0j -0.100955-0j -0.00620298-0j 0.0850557-0j 
0.104188-0j -0.504962-0j 0.479384-0j -0.0607667-0j 0.00443162-0j -0.00728698-0j 0.0999196-0j 0.00613936-0j -0.0841833-0j 
0.0121508-0j 0.0540319-0j 0.0607667-0j -0.648604-0j -0.00101736-0j 0.000885997-0j 0.564858-0j -0.000369302-0j -0.235444-0j 
-0.0841833-0j 0.00394047-0j 0.00443162-0j 0.00101736-0j -0.669602-0j 0.583145-0j -0.000885997-0j -0.243067-0j 0.000369302-0j 
-0.0015191-0j 0.0073625-0j 0.00728698-0j 0.000885997-0j -0.583145-0j -0.0100934-0j 1.53353e-05-0j 0.416686-0j -0.000633089-0j 
0.000219263-0j 0.100955-0j 0.0999196-0j -0.564858-0j -0.000885997-0j -1.53353e-05-0j -0.00977688-0j 0.000633089-0j 0.403619-0j 
0.0601532-0j 0.00620298-0j 0.00613936-0j 0.000369302-0j -0.243067-0j -0.416686-0j 0.000633089-0j 0.65285-0j -0.000991903-0j 
-0.00868236-0j 0.0850557-0j 0.0841833-0j -0.235444-0j -0.000369302-0j -0.000633089-0j -0.403619-0j 0.000991903-0j 0.632377-0j 
