-0.00672967-0j 0.0487342-0j -0.000778808-0j 0.0107471-0j -0.000686844-0j -0.000651597-0j 0.00574338-0j 0.00145608-0j 0.00513704-0j 0.00351709-0j -6.65034e-05-0j 0.00129783-0j -8.58555e-05-0j 0.000153751-0j -3.30458e-05-0j 0.00118475-0j 0.000507648-0j 0.000478615-0j 0.00018201-0j -5.05908e-06-0j 0.00012134-0j 1.38845e-05-0j 0.000120919-0j 2.1152e-05-0j 2.02585e-05-0j 1.07251e-05-0j 1.13445e-06-0j 1.41708e-06-0j 8.84753e-08-0j 2.7383e-09-0j 
0.00477779-0j 0.000731447-0j -0.0531988-0j 7.98074e-05-0j 0.000487632-0j 0.000462608-0j -0.00829383-0j 7.18349e-06-0j 7.71013e-05-0j 5.27877e-05-0j -0.00913265-0j -0.000927278-0j -0.00586462-0j 5.67905e-07-0j 2.34612e-05-0j 8.79794e-06-0j -0.00147377-0j -0.000691152-0j -8.6394e-05-0j -0.00104391-0j 5.98624e-07-0j 4.0985e-08-0j -0.000173686-0j -0.000123132-0j -7.1995e-06-0j -1.53783e-05-0j 2.78868e-09-0j -8.09112e-07-0j -1.79272e-08-0j 4.48231e-12-0j 
-0.000689615-0j 0.0100935-0j -7.98074e-05-0j -0.0515377-0j -7.03836e-05-0j -6.67717e-05-0j 0.00118953-0j -0.0142152-0j 0.00106395-0j 0.000728438-0j -6.81486e-06-0j -0.00622376-0j -8.79794e-06-0j -0.00226337-0j -3.38633e-06-0j -0.00568149-0j 0.000105141-0j 9.91279e-05-0j -0.0017769-0j -5.18424e-07-0j -0.0011846-0j -0.00027319-0j -0.000579865-0j 4.38088e-06-0j -0.000298226-0j -0.000104705-0j -2.79405e-05-0j -2.78823e-05-0j -2.61722e-06-0j -1.08119e-07-0j 
0.00274118-0j 0.000419656-0j 0.00031723-0j 4.57882e-05-0j -0.0407738-0j 0.000265414-0j 4.9457e-05-0j 4.12141e-06-0j -0.00644691-0j 3.02861e-05-0j 2.70887e-05-0j 5.52946e-06-0j -0.00509673-0j 3.25826e-07-0j -0.00591212-0j -0.000735649-0j 4.37142e-06-0j -0.00120543-0j 5.15177e-07-0j -0.000300328-0j -0.000100453-0j 2.35145e-08-0j -7.50819e-05-0j 1.82142e-07-0j -6.25682e-06-0j 3.03571e-08-0j -2.33178e-07-0j 2.39994e-09-0j 1.06902e-10-0j 2.57166e-12-0j 
-0.00276959-0j -0.000424005-0j -0.000320518-0j -4.62628e-05-0j 0.0411964-0j -0.000268164-0j -4.99695e-05-0j -4.16412e-06-0j 0.00651372-0j -3.05999e-05-0j -2.73694e-05-0j -5.58676e-06-0j 0.00514954-0j -3.29203e-07-0j 0.00597338-0j 0.000743273-0j -4.41672e-06-0j 0.00121792-0j -5.20515e-07-0j 0.00030344-0j 0.000101494-0j -2.37582e-08-0j 7.586e-05-0j -1.8403e-07-0j 6.32166e-06-0j -3.06717e-08-0j 2.35594e-07-0j -2.42481e-09-0j -1.0801e-10-0j -2.59831e-12-0j 
-0.000484577-0j 0.00350916-0j 0.00539558-0j 0.000773856-0j -4.9457e-05-0j -4.6919e-05-0j -0.0397901-0j 0.000104847-0j 0.000369898-0j 0.000253252-0j 0.000926259-0j -0.00899139-0j 0.000594806-0j 1.1071e-05-0j -2.3795e-06-0j 8.53096e-05-0j -0.00707052-0j -0.00331584-0j -0.00126097-0j 0.000105876-0j 8.73723e-06-0j 9.99767e-07-0j -0.00168415-0j -0.000590733-0j -0.000140351-0j -0.000224454-0j 8.16872e-08-0j -1.97371e-05-0j -6.12956e-07-0j 1.97174e-10-0j 
4.03814e-05-0j -0.000889654-0j 4.67324e-06-0j 0.00924773-0j 4.12141e-06-0j 3.90992e-06-0j -0.000104847-0j -0.0385301-0j -9.37778e-05-0j -6.42053e-05-0j 3.99054e-07-0j 0.00111677-0j 5.15177e-07-0j -0.0125819-0j 1.98292e-07-0j 0.00101947-0j -9.26723e-06-0j -8.73723e-06-0j -0.00481627-0j 3.03571e-08-0j -0.00321085-0j -0.00229405-0j 0.000104049-0j -3.86135e-07-0j -0.00165781-0j -0.000283801-0j -0.000313816-0j -0.000234135-0j -3.68085e-05-0j -2.13273e-06-0j 
0.000489599-0j -0.00354553-0j -0.00545149-0j -0.000781875-0j 4.99695e-05-0j 4.74052e-05-0j 0.0402025-0j -0.000105933-0j -0.000373731-0j -0.000255876-0j -0.000935858-0j 0.00908456-0j -0.00060097-0j -1.11857e-05-0j 2.40416e-06-0j -8.61936e-05-0j 0.00714379-0j 0.0033502-0j 0.00127403-0j -0.000106974-0j -8.82777e-06-0j -1.01013e-06-0j 0.00170161-0j 0.000596855-0j 0.000141805-0j 0.00022678-0j -8.25337e-08-0j 1.99416e-05-0j 6.19308e-07-0j -1.99218e-10-0j 
-4.07999e-05-0j 0.000898874-0j -4.72167e-06-0j -0.00934357-0j -4.16412e-06-0j -3.95043e-06-0j 0.000105933-0j 0.0389294-0j 9.47496e-05-0j 6.48706e-05-0j -4.0319e-07-0j -0.00112834-0j -5.20515e-07-0j 0.0127123-0j -2.00346e-07-0j -0.00103003-0j 9.36327e-06-0j 8.82777e-06-0j 0.00486618-0j -3.06717e-08-0j 0.00324412-0j 0.00231782-0j -0.000105127-0j 3.90136e-07-0j 0.00167499-0j 0.000286742-0j 0.000317069-0j 0.000236562-0j 3.71899e-05-0j 2.15484e-06-0j 
0.00192617-0j 0.000294883-0j 0.000222911-0j 3.21744e-05-0j 0.000196589-0j -0.0365329-0j 3.47523e-05-0j 2.89603e-06-0j 3.10834e-05-0j -0.00835875-0j 1.90346e-05-0j 3.88543e-06-0j -0.00481364-0j 2.28951e-07-0j 9.45838e-06-0j -0.000694789-0j -0.000601705-0j 2.89603e-06-0j -7.09116e-05-0j 1.44801e-06-0j 2.41335e-07-0j -3.23666e-06-0j 3.62003e-07-0j 1.27987e-07-0j 3.01669e-08-0j 2.13312e-08-0j 1.12426e-09-0j 1.68638e-09-0j 7.51175e-11-0j 1.80705e-12-0j 
-0.00238351-0j -0.000364899-0j -0.000275838-0j -3.98138e-05-0j -0.000243266-0j 0.0452072-0j -4.30038e-05-0j -3.58365e-06-0j -3.84638e-05-0j 0.0103434-0j -2.35541e-05-0j -4.80797e-06-0j 0.00595657-0j -2.83312e-07-0j -1.17041e-05-0j 0.000859757-0j 0.000744572-0j -3.58365e-06-0j 8.77486e-05-0j -1.79182e-06-0j -2.98637e-07-0j 4.00516e-06-0j -4.47956e-07-0j -1.58376e-07-0j -3.73297e-08-0j -2.63961e-08-0j -1.39119e-09-0j -2.08679e-09-0j -9.29531e-11-0j -2.2361e-12-0j 
