-0.0650958-0j -0.0105048-0j -0.00857713-0j -0.001238-0j -0.00107214-0j -0.000126353-0j -5.7672e-06-0j -0.00118759-0j -0.000187775-0j -0.000148449-0j -9.8966e-05-0j -2.14268e-05-0j -2.47415e-05-0j -8.74744e-06-0j -2.06179e-06-0j -2.18686e-06-0j -1.82238e-07-0j -6.79162e-09-0j 
0.00663964-0j -0.0503913-0j 0.00087485-0j -0.0120036-0j -0.00514304-0j -0.00184412-0j -0.000140679-0j 0.0061201-0j -0.0455098-0j 0.000765013-0j 0.000510008-0j -0.0104966-0j -0.00599645-0j 4.50788e-05-0j -0.00152036-0j -0.0010713-0j -0.000179489-0j -1.00513e-05-0j 
-0.00670845-0j 0.0509135-0j -0.000883916-0j 0.012128-0j 0.00519634-0j 0.00186323-0j 0.000142137-0j 0.00593875-0j -0.0441613-0j 0.000742344-0j 0.000494896-0j -0.0101855-0j -0.00581876-0j 4.3743e-05-0j -0.00147531-0j -0.00103956-0j -0.000174171-0j -9.75342e-06-0j 
0.00383099-0j 0.000618224-0j -0.0480148-0j 7.28583e-05-0j -0.0120668-0j -0.000707325-0j 3.39409e-07-0j 0.00353122-0j 0.000558335-0j -0.0419866-0j 0.000294269-0j 6.3711e-05-0j -0.00699776-0j -0.00747426-0j 6.13059e-06-0j -0.00124354-0j -5.15434e-05-0j 2.01944e-08-0j 
-0.000552956-0j 0.00848251-0j -7.28583e-05-0j -0.0465097-0j 0.000865742-0j -0.0145478-0j -0.00223679-0j -0.000509688-0j 0.00766079-0j -6.3711e-05-0j -4.2474e-05-0j -0.0406704-0j 0.0010094-0j -3.75421e-06-0j -0.0119938-0j -0.00415091-0j -0.00213517-0j -0.000200048-0j 
-0.00474061-0j -0.000765013-0j 0.0594153-0j -9.01576e-05-0j 0.0149319-0j 0.00087527-0j -4.19997e-07-0j -8.64865e-05-0j -1.36747e-05-0j 0.00102833-0j -7.20721e-06-0j -1.56041e-06-0j 0.000171389-0j 0.000183059-0j -1.5015e-07-0j 3.04568e-05-0j 1.2624e-06-0j -4.946e-10-0j 
0.000684248-0j -0.0104966-0j 9.01576e-05-0j 0.0575528-0j -0.0010713-0j 0.018002-0j 0.00276789-0j 1.24832e-05-0j -0.000187628-0j 1.56041e-06-0j 1.04027e-06-0j 0.000996098-0j -2.47221e-05-0j 9.19478e-08-0j 0.000293751-0j 0.000101664-0j 5.22944e-05-0j 4.89957e-06-0j 
0.00276536-0j 0.000446257-0j -0.0346589-0j 5.25919e-05-0j -0.00871027-0j -0.000510574-0j 2.44998e-07-0j -0.00494659-0j -0.000782125-0j 0.0588154-0j -0.000412216-0j -8.92474e-05-0j 0.00980257-0j 0.0104701-0j -8.58783e-06-0j 0.00174197-0j 7.22027e-05-0j -2.82887e-08-0j 
-0.000399145-0j 0.006123-0j -5.25919e-05-0j -0.0335725-0j 0.000624926-0j -0.0105012-0j -0.0016146-0j 0.000713979-0j -0.0107314-0j 8.92474e-05-0j 5.94982e-05-0j 0.0569718-0j -0.00141398-0j 5.25895e-06-0j 0.0168011-0j 0.00581466-0j 0.00299098-0j 0.000280231-0j 
0.00270722-0j 0.000436876-0j -0.0511061-0j -0.00737653-0j 4.45884e-05-0j 5.2548e-06-0j 2.39848e-07-0j 0.00249538-0j 0.000394555-0j 0.000311923-0j -0.0597942-0j 4.50222e-05-0j -0.00744829-0j 1.83802e-05-0j -0.000620691-0j 4.59506e-06-0j 3.82922e-07-0j 1.42706e-08-0j 
-0.000478573-0j 0.00363211-0j 0.00599808-0j 0.000865199-0j -0.0708934-0j -0.0126435-0j 1.01399e-05-0j -0.000441126-0j 0.00328026-0j 0.00524502-0j -3.67605e-05-0j 0.000756573-0j -0.0411124-0j 0.000933696-0j 0.000109585-0j -0.0147672-0j -0.0012306-0j 7.24476e-07-0j 
-0.00315842-0j -0.000509688-0j 0.0596237-0j 0.00860595-0j -5.20198e-05-0j -6.13059e-06-0j -2.79822e-07-0j -5.76214e-05-0j -9.11075e-06-0j -7.20268e-06-0j 0.00138072-0j -1.03962e-06-0j 0.00017199-0j -4.24422e-07-0j 1.43325e-05-0j -1.06105e-07-0j -8.84212e-09-0j -3.29527e-10-0j 
3.98811e-05-0j -0.0009209-0j 5.2548e-06-0j 0.0102804-0j -9.39889e-05-0j -0.0482818-0j -0.0230029-0j 3.67605e-05-0j -0.000831691-0j 4.59506e-06-0j 3.06337e-06-0j 0.00898968-0j -0.000109585-0j 2.70766e-07-0j -0.0398054-0j 0.000917506-0j -0.0145353-0j -0.00275172-0j 
-0.00193413-0j -0.000312119-0j 0.0365119-0j 0.00527004-0j -3.18555e-05-0j -3.75421e-06-0j -1.71355e-07-0j -0.00178279-0j -0.000281884-0j -0.000222848-0j 0.0427191-0j -3.21654e-05-0j 0.00532131-0j -1.31315e-05-0j 0.000443443-0j -3.28287e-06-0j -2.73572e-07-0j -1.01954e-08-0j 
0.000558335-0j -0.00423746-0j -0.00699776-0j -0.0010094-0j 0.0827089-0j 0.0147507-0j -1.18298e-05-0j 1.01861e-05-0j -7.57453e-05-0j -0.000121114-0j 8.48844e-07-0j -1.74702e-05-0j 0.000949335-0j -2.15602e-05-0j -2.53045e-06-0j 0.000340992-0j 2.84161e-05-0j -1.6729e-08-0j 
0.00276362-0j 0.000445977-0j -0.0521708-0j -0.0075302-0j 4.55173e-05-0j 5.36427e-06-0j 2.44844e-07-0j -0.00244653-0j -0.000386831-0j -0.000305817-0j 0.0586237-0j -4.41408e-05-0j 0.00730248-0j -1.80204e-05-0j 0.00060854-0j -4.5051e-06-0j -3.75425e-07-0j -1.39913e-08-0j 
0.000341909-0j -0.00259491-0j -0.00428523-0j -0.000618128-0j 0.0506487-0j 0.00903294-0j -7.24427e-06-0j 0.000315155-0j -0.00234353-0j -0.00374723-0j 2.62629e-05-0j -0.000540522-0j 0.0293721-0j -0.000667065-0j -7.82912e-05-0j 0.0105502-0j 0.000879184-0j -5.17591e-07-0j 
-4.65279e-05-0j 0.00107438-0j -6.13059e-06-0j -0.0119938-0j 0.000109654-0j 0.0563287-0j 0.0268367-0j -8.48844e-07-0j 1.92048e-05-0j -1.06105e-07-0j -7.0737e-08-0j -0.000207583-0j 2.53045e-06-0j -6.25233e-09-0j 0.000919155-0j -2.11863e-05-0j 0.000335638-0j 6.35406e-05-0j 
-0.00113993-0j -0.000183956-0j 0.0215193-0j 0.00310605-0j -1.87749e-05-0j -2.21265e-06-0j -1.00993e-07-0j 0.00306902-0j 0.000485255-0j 0.000383628-0j -0.0735398-0j 5.53719e-05-0j -0.0091605-0j 2.26055e-05-0j -0.000763375-0j 5.65137e-06-0j 4.70948e-07-0j 1.75512e-08-0j 
-2.84924e-05-0j 0.000657922-0j -3.75421e-06-0j -0.00734466-0j 6.71489e-05-0j 0.0344942-0j 0.0164341-0j -2.62629e-05-0j 0.000594189-0j -3.28287e-06-0j -2.18858e-06-0j -0.00642254-0j 7.82912e-05-0j -1.93445e-07-0j 0.0284383-0j -0.000655498-0j 0.0103845-0j 0.00196592-0j 
-0.000488543-0j 0.00370778-0j 0.00612304-0j 0.000883224-0j -0.0723703-0j -0.0129069-0j 1.03511e-05-0j 0.00043249-0j -0.00321605-0j -0.00514234-0j 3.60408e-05-0j -0.000741762-0j 0.0403076-0j -0.000915418-0j -0.00010744-0j 0.0144781-0j 0.00120651-0j -7.10294e-07-0j 
4.0712e-05-0j -0.000940085-0j 5.36427e-06-0j 0.0104946-0j -9.5947e-05-0j -0.0492876-0j -0.0234821-0j -3.60408e-05-0j 0.000815409-0j -4.5051e-06-0j -3.0034e-06-0j -0.0088137-0j 0.00010744-0j -2.65466e-07-0j 0.0390262-0j -0.000899544-0j 0.0142508-0j 0.00269785-0j 
0.000201514-0j -0.00152938-0j -0.00252562-0j -0.000364311-0j 0.0298512-0j 0.00532382-0j -4.26962e-06-0j -0.000542532-0j 0.00403433-0j 0.00645075-0j -4.5211e-05-0j 0.000930495-0j -0.0505633-0j 0.00114833-0j 0.000134776-0j -0.0181619-0j -0.00151349-0j 8.91019e-07-0j 
-1.67928e-05-0j 0.000387765-0j -2.21265e-06-0j -0.00432878-0j 3.95761e-05-0j 0.0203301-0j 0.00968589-0j 4.5211e-05-0j -0.00102288-0j 5.65137e-06-0j 3.76758e-06-0j 0.0110562-0j -0.000134776-0j 3.3301e-07-0j -0.0489559-0j 0.00112842-0j -0.0178767-0j -0.00338429-0j 
