-0.000381097-0j 0.00279424-0j -4.60218e-05-0j 0.000631455-0j 0.00601912-0j 0.000349281-0j -0.0669556-0j 8.85579e-05-0j 0.000614324-0j -0.0119204-0j 2.05816e-05-0j -0.00141222-0j 9.03841e-06-0j 9.75096e-07-0j 4.30491e-08-0j 
0.00165054-0j 0.000257323-0j 0.000199322-0j 2.87696e-05-0j -0.0348413-0j -0.00615913-0j 2.14436e-05-0j -0.000513261-0j 1.85707e-05-0j 3.79073e-06-0j 1.89536e-06-0j 2.23371e-07-0j 2.73572e-07-0j 1.7659e-08-0j 5.56207e-10-0j 
-0.000233373-0j -3.63834e-05-0j 0.00538966-0j -4.06779e-06-0j -2.5727e-05-0j 0.000869752-0j -3.03195e-06-0j -3.78994e-07-0j -0.0475126-0j 0.000102501-0j -0.0147017-0j -3.15828e-08-0j -0.000699927-0j 4.775e-07-0j -7.86431e-11-0j 
0.000471583-0j -0.0034577-0j 5.69491e-05-0j -0.000781386-0j -0.00744829-0j -0.000432213-0j 0.0828533-0j -0.000109585-0j -0.000760188-0j 0.0147508-0j -2.54684e-05-0j 0.00174754-0j -1.11845e-05-0j -1.20662e-06-0j -5.32705e-08-0j 
4.76371e-05-0j -0.000705988-0j -0.000547203-0j 0.0036723-0j 5.25149e-06-0j 0.00839426-0j -5.88323e-05-0j 0.00104858-0j -0.000102501-0j -0.0460258-0j 0.00149431-0j 0.000175995-0j -0.0204667-0j -0.00221352-0j 1.54459e-06-0j 
0.000288784-0j 4.50222e-05-0j -0.00666936-0j 5.03363e-06-0j 3.18355e-05-0j -0.00107626-0j 3.75185e-06-0j 4.68981e-07-0j 0.0587939-0j -0.000126839-0j 0.0181925-0j 3.90818e-08-0j 0.000866116-0j -5.90876e-07-0j 9.73159e-11-0j 
-2.80704e-06-0j 8.36391e-05-0j -3.38983e-07-0j -0.00133571-0j -3.09447e-07-0j 1.04549e-05-0j 6.96993e-06-0j 0.0117463-0j -3.15828e-08-0j -0.000175995-0j 6.1606e-07-0j -0.0445416-0j 0.00119885-0j -0.0183887-0j -0.00414109-0j 
-0.00027509-0j 0.00201699-0j -3.32203e-05-0j 0.000455808-0j 0.00434483-0j 0.000252124-0j -0.0483311-0j 6.39245e-05-0j 0.000443443-0j -0.00860461-0j 1.48566e-05-0j -0.0010194-0j 6.52427e-06-0j 7.03862e-07-0j 3.10745e-08-0j 
-5.89479e-05-0j 0.000873616-0j 0.000677129-0j -0.00454424-0j -6.49839e-06-0j -0.0103874-0j 7.28013e-05-0j -0.00129755-0j 0.000126839-0j 0.0569541-0j -0.00184911-0j -0.000217783-0j 0.0253262-0j 0.00273909-0j -1.91133e-06-0j 
-0.000168458-0j -2.62629e-05-0j 0.00389046-0j -2.93629e-06-0j -1.85707e-05-0j 0.00062782-0j -2.18858e-06-0j -2.73572e-07-0j -0.0342964-0j 7.39893e-05-0j -0.0106123-0j -2.27977e-08-0j -0.000505234-0j 3.44677e-07-0j -5.67676e-11-0j 
3.47354e-06-0j -0.000103498-0j 4.19469e-07-0j 0.00165286-0j 3.82922e-07-0j -1.29373e-05-0j -8.62484e-06-0j -0.0145353-0j 3.90818e-08-0j 0.000217783-0j -7.62336e-07-0j 0.0551174-0j -0.0014835-0j 0.0227549-0j 0.00512434-0j 
3.43863e-05-0j -0.000509609-0j -0.000394992-0j 0.0026508-0j 3.79073e-06-0j 0.0060593-0j -4.24674e-05-0j 0.000756903-0j -7.39893e-05-0j -0.0332232-0j 0.00107865-0j 0.00012704-0j -0.0147736-0j -0.0015978-0j 1.11494e-06-0j 
-2.02623e-06-0j 6.03739e-05-0j -2.44691e-07-0j -0.000964166-0j -2.23371e-07-0j 7.54674e-06-0j 5.03116e-06-0j 0.00847894-0j -2.27977e-08-0j -0.00012704-0j 4.44696e-07-0j -0.0321518-0j 0.000865378-0j -0.0132737-0j -0.0029892-0j 
