-0.0145932-0j 0.201378-0j -0.0119634-0j 0.100038-0j 0.0253619-0j -0.00728015-0j -0.0073556-0j 0.057395-0j -0.000743028-0j 0.0579897-0j 0.0145004-0j -0.000750728-0j 0.0146507-0j 0.00171783-0j 0.00173563-0j -0.00528337-0j -0.00653784-0j -0.00381374-0j 0.0403302-0j -0.000696145-0j 0.049906-0j 0.00960639-0j 0.0291119-0j -0.000861436-0j 0.00411618-0j -0.000502504-0j 0.0118873-0j 0.0014758-0j 0.00509351-0j 0.00693426-0j 0.00011258-0j 0.00297122-0j 0.00182621-0j 0.000139311-0j 0.00106529-0j 8.12645e-05-0j -0.00415071-0j -0.0048425-0j -0.00296541-0j 0.0310439-0j -0.00423718-0j -0.00174775-0j -0.000518839-0j 0.0362179-0j -0.000345893-0j 0.00715967-0j 0.0221789-0j 0.0316907-0j 0.0040904-0j -0.000605312-0j 0.0130717-0j -0.000403541-0j -0.000370676-0j -3.05729e-05-0j 0.00103701-0j 0.00835294-0j -0.000247118-0j 0.00511511-0j -0.000529648-0j 0.00073073-0j -0.000353099-0j 0.00477213-0j -0.000218469-0j 0.00730883-0j 0.000122425-0j -3.56683e-05-0j 0.00292232-0j 0.00120985-0j -0.000145646-0j 0.00301474-0j 6.85565e-06-0j -2.18423e-05-0j 0.000852519-0j 0.00417562-0j 0.000740877-0j -3.12098e-05-0j 0.000522059-0j 0.00105862-0j 0.00172235-0j 0.00014283-0j 0.000745954-0j -1.28734e-05-0j 8.74649e-05-0j 0.000436657-0j 7.99826e-06-0j 4.89792e-06-0j 0.000124976-0j 0.00030769-0j 5.15499e-05-0j 6.99848e-06-0j 2.88673e-06-0j 
-0.996833-0j 0.00149542-0j 0.000120895-0j -0.00205623-0j 1.78095e-06-0j 0.00516862-0j -0.00507351-0j 0.000861436-0j -0.102037-0j -0.000845586-0j -0.0103603-0j 0.10016-0j 0.0101696-0j 6.34507e-06-0j -6.22833e-06-0j 0.00375098-0j 6.60678e-05-0j -0.00529958-0j 0.000605312-0j -0.0475523-0j 1.06616e-05-0j 7.13367e-05-0j -0.000855217-0j -0.000837561-0j -0.0119499-0j 0.0671844-0j 1.25649e-06-0j -0.000700512-0j -0.000210478-0j -0.000100788-0j 3.3232e-07-0j 0.0168834-0j -1.23384e-05-0j 5.85331e-09-0j 0.00098972-0j -4.6952e-07-0j 0.00294684-0j 4.89356e-05-0j 0.00210532-0j 0.000465936-0j -0.00292259-0j -0.00365185-0j -0.0354409-0j 7.73739e-06-0j 0.00024557-0j 5.31674e-05-0j 0.000332881-0j -0.000462102-0j -0.00590681-0j -0.000588536-0j -0.000577408-0j 4.07796e-06-0j -0.0253202-0j -0.00630853-0j 5.11604e-06-0j 8.82905e-07-0j 0.000175443-0j 3.79846e-05-0j 0.0351493-0j -0.00104961-0j -0.000243549-0j -9.80893e-05-0j 0.0439198-0j -5.273e-05-0j -4.35078e-05-0j -0.00010476-0j -0.00422003-0j 8.49576e-08-0j -0.000304321-0j -6.58873e-05-0j 1.68524e-08-0j -0.00450703-0j -1.743e-05-0j 0.00585821-0j 3.65507e-06-0j 0.00625663-0j -0.00074988-0j -5.07394e-06-0j 0.00731997-0j -7.22496e-07-0j 0.00104098-0j 0.0078178-0j -3.10835e-05-0j -6.34001e-06-0j 2.79854e-10-0j 1.204e-08-0j 4.31498e-05-0j 0.00130073-0j 5.39167e-05-0j -1.67138e-08-0j -2.08842e-08-0j 
-0.00149542-0j -0.965706-0j -1.74497e-05-0j 0.000294913-0j -0.00352427-0j -0.000746025-0j 0.000732299-0j 0.0118873-0j -7.61409e-05-0j -0.0116686-0j -0.0695367-0j 7.47399e-05-0j 0.0682573-0j -0.0252882-0j 0.0248229-0j -0.000541407-0j -9.53606e-06-0j 0.000764929-0j 0.00835294-0j -7.13367e-05-0j 0.000147124-0j -0.0460675-0j -0.0118015-0j -1.25649e-06-0j 0.000852519-0j 0.000100788-0j -0.000811408-0j -0.0144077-0j 1.50158e-05-0j 0.0650865-0j -0.00221512-0j -0.00120448-0j -0.000253769-0j -3.90159e-05-0j 0.0203559-0j 0.00312963-0j -0.000425339-0j -7.06324e-06-0j -0.000303877-0j 0.00642964-0j 0.00042184-0j 0.000527099-0j -5.31674e-05-0j 0.000106771-0j -3.54449e-05-0j -0.0343342-0j 0.00459355-0j -0.00637674-0j 0.000847179-0j -8.82905e-07-0j -0.00796788-0j -5.88603e-07-0j -3.79846e-05-0j -3.13292e-06-0j -0.010124-0j -0.000570158-0j -2.53231e-05-0j -0.0245295-0j 5.273e-05-0j -0.00350422-0j 3.51533e-05-0j 1.40684e-05-0j 6.58873e-05-0j 0.0340517-0j -0.00180223-0j -5.20257e-08-0j 0.000605254-0j -0.00016812-0j 4.39249e-05-0j 0.0425484-0j -0.000168849-0j -2.23827e-06-0j -5.81915e-05-0j -0.000840209-0j -0.00723291-0j 3.10714e-06-0j -0.00250353-0j 0.0100407-0j -0.00104986-0j -2.9928e-05-0j 0.00347539-0j 3.88245e-06-0j -0.00128757-0j 0.012546-0j -2.80392e-06-0j -0.000120631-0j 0.0017874-0j 0.00434258-0j 0.0022334-0j 0.00016746-0j 0.000209245-0j 
0.00594422-0j 0.000857974-0j -0.710194-0j 0.000861436-0j 7.17863e-05-0j -0.00291784-0j 0.00299614-0j 0.0708744-0j -0.000297801-0j -0.0727763-0j -6.07884e-05-0j 0.000305792-0j 6.24196e-05-0j -3.58199e-06-0j 3.67811e-06-0j 0.00215207-0j -0.00262033-0j 0.00155344-0j 0.000347288-0j -0.041326-0j -0.000422853-0j -0.00596489-0j 0.000250686-0j 0.050318-0j 3.54449e-05-0j -0.0298307-0j 0.00726277-0j 4.17723e-06-0j -4.31573e-05-0j -0.00430569-0j 1.90663e-07-0j 2.55855e-05-0j -5.08614e-06-0j -2.32149e-07-0j 3.01528e-06-0j 1.37628e-07-0j 0.0016907-0j 0.00197248-0j -0.00358493-0j 0.000267323-0j -0.00169824-0j 0.000711907-0j 0.000211338-0j 0.000311877-0j -0.041208-0j 3.0504e-05-0j -0.000566828-0j -0.000268515-0j -0.00513339-0j 0.000246561-0j 0.000112562-0j -0.048076-0j -0.000448117-0j 1.24532e-05-0j -0.000427783-0j 3.55879e-05-0j 0.0873768-0j -6.46801e-05-0j -0.00021228-0j 3.1133e-06-0j 0.0413917-0j -0.00598896-0j 8.89884e-05-0j -3.06399e-05-0j 2.59441e-07-0j 1.45287e-05-0j 0.0108848-0j -0.00049908-0j -0.0173516-0j 1.28444e-05-0j 9.66881e-09-0j -2.64055e-05-0j 3.63218e-06-0j 0.00515628-0j 0.000907063-0j -1.25087e-05-0j -6.60138e-06-0j 0.00042969-0j -0.00216153-0j 3.02682e-07-0j -3.12718e-06-0j 5.24369e-06-0j -5.50115e-07-0j -0.000180127-0j 1.12803e-08-0j -2.05016e-08-0j -2.60598e-07-0j 1.31092e-06-0j 1.09244e-07-0j -9.71191e-09-0j 4.07127e-09-0j 
-0.00600582-0j -0.000866866-0j -0.697127-0j 0.000845586-0j 7.04655e-05-0j -0.00299614-0j 0.00302596-0j 0.0727763-0j -0.000305792-0j -0.0735007-0j -6.24196e-05-0j 0.000308836-0j 6.30409e-05-0j -3.67811e-06-0j 3.71472e-06-0j -0.00217437-0j 0.00261405-0j -0.00143741-0j -0.000350887-0j 0.0417542-0j 0.00042184-0j 0.00602671-0j -0.00023196-0j -0.0501974-0j -3.58123e-05-0j 0.0276024-0j -0.00724537-0j -4.22051e-06-0j 4.30538e-05-0j 0.00398407-0j -1.92639e-07-0j -2.36744e-05-0j 5.07394e-06-0j 2.31593e-07-0j -2.79005e-06-0j -1.27348e-07-0j -0.00170822-0j 0.00193619-0j -0.00122041-0j -0.000270094-0j 0.0017431-0j -0.00343436-0j -0.000213528-0j 0.000306139-0j 0.0416351-0j -3.08201e-05-0j -0.000192964-0j 0.000275609-0j 0.00518659-0j 0.000242024-0j -0.00054302-0j -0.0471915-0j -0.000152552-0j -1.25822e-05-0j 0.000432216-0j 3.49331e-05-0j 0.0297455-0j -2.20189e-05-0j 0.000217888-0j -3.14556e-06-0j -0.0424852-0j -0.00587876-0j -0.000429295-0j 3.14494e-05-0j -2.6213e-07-0j 1.42614e-05-0j 0.00370548-0j -0.000489897-0j 0.0837069-0j -6.19634e-05-0j -9.76901e-09-0j -8.98919e-06-0j 3.56535e-06-0j -0.0052925-0j 0.00030879-0j 1.28392e-05-0j -2.2473e-06-0j -0.000441042-0j 0.0104276-0j 2.97112e-07-0j 3.20979e-06-0j -2.52965e-05-0j -1.87275e-07-0j 0.000868965-0j 1.10727e-08-0j -6.97932e-09-0j 2.67483e-07-0j -6.32411e-06-0j -5.2701e-07-0j 9.96849e-09-0j -1.96405e-08-0j 
0.101102-0j 0.0145004-0j -0.000861436-0j -0.69306-0j 0.00182621-0j 0.000515806-0j -0.000529648-0j -0.00406649-0j -0.0101829-0j 0.00417562-0j 0.0988473-0j 0.0104561-0j -0.1015-0j -0.00012171-0j 0.000124976-0j -0.000380435-0j 0.000463213-0j -0.000274613-0j 0.00290402-0j 0.00482289-0j -0.00353589-0j 0.000691719-0j 0.00209623-0j -0.00587229-0j -0.0573301-0j 0.00348135-0j -0.000842228-0j -0.0102243-0j 0.0698044-0j 0.000499309-0j 8.10644e-06-0j -0.0413831-0j 0.012449-0j -9.8703e-06-0j -0.00738031-0j 5.85154e-06-0j -0.000298876-0j -0.000348689-0j 0.000633733-0j 0.00223535-0j 0.000300209-0j -0.000125849-0j 0.00359451-0j 0.00260791-0j -2.49064e-05-0j 0.00051554-0j -0.00473981-0j -0.00224532-0j -0.0283383-0j 0.0041936-0j 0.000941245-0j -2.90574e-05-0j -0.00762174-0j 0.000639829-0j 7.46712e-05-0j 0.000601463-0j 5.2811e-05-0j -0.00109314-0j -0.00361054-0j -0.0101776-0j 2.50174e-05-0j -0.0330613-0j 0.00151355-0j -0.000517838-0j -0.000848162-0j 0.000746467-0j 0.060088-0j 8.71164e-05-0j -1.04874e-05-0j 0.000217079-0j 4.93649e-07-0j -0.00135668-0j -0.0118739-0j 0.0284646-0j -0.000158332-0j -0.000642681-0j 0.0215804-0j -7.50041e-05-0j -0.0119325-0j -0.000989522-0j 0.010223-0j 0.000269414-0j 0.00179843-0j 3.1442e-05-0j 5.75924e-07-0j -1.04672e-06-0j 0.000851943-0j -0.00428551-0j -0.000357137-0j -4.9585e-07-0j 2.07862e-07-0j 
-0.102149-0j -0.0146507-0j -0.000845586-0j -0.680308-0j 0.00179261-0j 0.000529648-0j -0.00053492-0j -0.00417562-0j -0.0104561-0j 0.00421718-0j 0.1015-0j 0.0105602-0j -0.10251-0j -0.000124976-0j 0.00012622-0j 0.000384377-0j -0.000462102-0j 0.0002541-0j -0.00293411-0j -0.00487287-0j 0.00352742-0j -0.000698887-0j -0.00193965-0j 0.00585821-0j 0.0579242-0j -0.0032213-0j 0.000840209-0j 0.0103303-0j -0.0696371-0j -0.000462012-0j -8.19045e-06-0j 0.0382919-0j -0.0124192-0j 9.84664e-06-0j 0.00682903-0j -5.41445e-06-0j 0.000301974-0j -0.000342273-0j 0.00021574-0j -0.00225852-0j -0.00030814-0j 0.000607115-0j -0.00363176-0j 0.00255993-0j 2.51645e-05-0j -0.000520882-0j -0.00161356-0j 0.00230464-0j 0.0286319-0j 0.00411644-0j -0.00454073-0j -2.85228e-05-0j -0.00259466-0j -0.000646459-0j -7.5445e-05-0j 0.000590396-0j 1.79784e-05-0j -0.000372136-0j 0.00370592-0j 0.0102831-0j -2.56783e-05-0j -0.032453-0j -0.00730162-0j 0.000531518-0j 0.000856951-0j 0.000732732-0j 0.0204556-0j 8.55135e-05-0j 5.05929e-05-0j -0.00104723-0j -4.98765e-07-0j -0.000461853-0j -0.0116554-0j -0.0292166-0j -5.39005e-05-0j 0.00065966-0j 0.00734659-0j 7.69856e-05-0j 0.0575642-0j -0.000971315-0j -0.0104931-0j -0.0012997-0j 0.000612236-0j -0.000151681-0j 5.65327e-07-0j -3.56335e-07-0j -0.00087445-0j 0.020674-0j 0.00172289-0j 5.08949e-07-0j -1.00276e-06-0j 
8.75666e-05-0j 0.173283-0j 7.17863e-05-0j -0.00182621-0j -0.671114-0j -4.29839e-05-0j 4.41373e-05-0j 0.00103095-0j -4.38702e-06-0j -0.00105862-0j -0.0122773-0j 4.50475e-06-0j 0.0126067-0j 0.13832-0j -0.142032-0j 3.17029e-05-0j -3.86011e-05-0j 2.28844e-05-0j -0.000736237-0j 4.17723e-06-0j 0.000896432-0j 0.00826618-0j -0.000531444-0j -5.08614e-06-0j -7.51418e-05-0j 3.01528e-06-0j -0.0100648-0j -0.0390519-0j 9.14917e-05-0j 0.00596684-0j -0.0186009-0j -5.42402e-05-0j 0.0475491-0j 0.0226482-0j -0.0281892-0j -0.0134268-0j 2.49064e-05-0j 2.90574e-05-0j -5.2811e-05-0j -0.000566714-0j -2.50174e-05-0j 1.04874e-05-0j 3.1133e-06-0j -0.000661167-0j 2.07553e-06-0j 0.0061608-0j 0.00120165-0j 0.000569241-0j -7.46712e-05-0j 3.63218e-06-0j -0.000238628-0j 2.42145e-06-0j -6.60138e-06-0j 1.83453e-07-0j -0.0274409-0j 0.0071876-0j -4.40092e-06-0j -0.0130633-0j -3.12718e-06-0j 0.000628784-0j -2.08478e-06-0j -8.71164e-05-0j 1.31092e-06-0j -0.00618827-0j -0.0100184-0j 2.14028e-07-0j 0.000158332-0j -0.0320144-0j 8.73949e-07-0j 0.00259414-0j -0.00189644-0j -3.8899e-07-0j 0.000733582-0j 7.50041e-05-0j 0.0581853-0j -1.84271e-07-0j -0.00133326-0j 0.0275633-0j -3.1442e-05-0j -0.0116882-0j -0.000631587-0j 7.72469e-08-0j 0.0212429-0j -0.0115546-0j -0.00221252-0j 0.00402119-0j 0.0100631-0j 0.000264764-0j -0.00421848-0j 0.0019049-0j -0.00079854-0j 
-8.84741e-05-0j -0.175079-0j 7.04655e-05-0j -0.00179261-0j -0.658766-0j -4.41373e-05-0j 4.45767e-05-0j 0.00105862-0j -4.50475e-06-0j -0.00106915-0j -0.0126067-0j 4.54959e-06-0j 0.0127322-0j 0.142032-0j -0.143445-0j -3.20315e-05-0j 3.85085e-05-0j -2.1175e-05-0j 0.000743866-0j -4.22051e-06-0j -0.000894283-0j -0.00835184-0j 0.000491747-0j 5.07394e-06-0j 7.59205e-05-0j -2.79005e-06-0j 0.0100407-0j 0.0394566-0j -9.12724e-05-0j -0.00552114-0j 0.0187937-0j 5.01887e-05-0j -0.0474351-0j -0.0225939-0j 0.0260835-0j 0.0124239-0j -2.51645e-05-0j 2.85228e-05-0j -1.79784e-05-0j 0.000572587-0j 2.56783e-05-0j -5.05929e-05-0j -3.14556e-06-0j -0.000649002-0j -2.09704e-06-0j -0.00622465-0j 0.000409076-0j -0.000584279-0j 7.5445e-05-0j 3.56535e-06-0j 0.00115118-0j 2.3769e-06-0j -2.2473e-06-0j -1.85354e-07-0j 0.0277253-0j 0.00705535-0j -1.4982e-06-0j -0.0044471-0j 3.20979e-06-0j -0.0006353-0j 2.13986e-06-0j -8.55135e-05-0j -6.32411e-06-0j 0.00635175-0j 0.0101222-0j 2.1009e-07-0j 5.39005e-05-0j -0.0314254-0j -4.21608e-06-0j -0.0125146-0j 0.0019161-0j -1.32423e-07-0j 0.000720084-0j -7.69856e-05-0j 0.0198079-0j 1.89139e-07-0j -0.00045388-0j -0.0282914-0j 0.000151681-0j -0.0114731-0j 0.000648273-0j -3.72652e-07-0j 0.00723168-0j 0.0557414-0j -0.00217181-0j 0.00136893-0j -0.0103289-0j -0.00127726-0j 0.0203507-0j -0.00195522-0j 0.00385229-0j 
0.00417687-0j 0.00060288-0j 0.00342416-0j 0.000605312-0j 5.04427e-05-0j -0.408175-0j -0.412404-0j 0.000347288-0j 0.00021267-0j 0.000350887-0j 4.3411e-05-0j 0.000214874-0j 4.38609e-05-0j 2.55802e-06-0j 2.58453e-06-0j -0.0030164-0j 0.00187126-0j 0.00109157-0j 0.0953515-0j -0.000397445-0j -0.0591526-0j -5.73662e-05-0j -0.0345057-0j 0.000246561-0j -4.96806e-05-0j 0.000143827-0j 3.55879e-05-0j -5.85492e-06-0j 3.08201e-05-0j 2.07596e-05-0j -2.67239e-07-0j 1.79784e-05-0j 3.63218e-06-0j 1.65786e-07-0j 2.11877e-06-0j 9.67082e-08-0j 0.00118802-0j -0.00276469-0j 0.000848761-0j 0.000187842-0j 0.00121277-0j 0.000500241-0j -0.0290896-0j -0.000437136-0j 9.90015e-05-0j -0.00419872-0j 0.000134201-0j 0.000191755-0j 2.47504e-05-0j 0.0676957-0j 7.90951e-05-0j -0.000230391-0j -0.0207826-0j 8.75058e-06-0j 2.06253e-06-0j 0.00977103-0j 7.07301e-05-0j -0.00299971-0j -0.0296956-0j 2.18764e-06-0j 0.000101064-0j -5.75977e-05-0j -0.0122488-0j -0.0042862-0j 1.82304e-07-0j -2.03639e-05-0j 1.76825e-05-0j -4.79981e-06-0j 4.16868e-05-0j -0.00176797-0j 6.79406e-09-0j 6.25171e-06-0j -5.09097e-06-0j 2.5266e-05-0j 1.47354e-06-0j 8.93288e-06-0j 1.56293e-06-0j 2.1055e-06-0j 1.04217e-05-0j -4.24247e-07-0j 2.23322e-06-0j 3.68463e-06-0j 1.30244e-07-0j 8.68475e-07-0j -1.58108e-08-0j 4.85391e-09-0j 1.86102e-07-0j 9.21156e-07-0j 7.6763e-08-0j 6.9356e-09-0j 2.86079e-09-0j 
-0.00516862-0j -0.000746025-0j -6.03113e-05-0j -1.06616e-05-0j -8.8847e-07-0j -0.496988-0j -0.495797-0j 0.000422853-0j 0.000258944-0j 0.00042184-0j 5.28567e-05-0j 0.000258323-0j 5.273e-05-0j 3.11461e-06-0j 3.10714e-06-0j -0.00187126-0j 3.24307e-05-0j 0.00264382-0j 0.0591526-0j -0.000246561-0j -0.00102517-0j -3.55879e-05-0j -0.0835739-0j 4.27312e-06-0j -3.08201e-05-0j 0.000348354-0j 6.16772e-07-0j -3.63218e-06-0j 5.3414e-07-0j 5.02805e-05-0j -1.65786e-07-0j 4.35442e-05-0j 6.2949e-08-0j 2.87322e-09-0j 5.13173e-06-0j 2.34231e-07-0j -0.0014701-0j -2.44126e-05-0j 0.00311717-0j -0.000232443-0j -0.00143461-0j 0.00182181-0j 0.0359965-0j -3.85998e-06-0j -0.000122508-0j 0.00519565-0j 0.000492868-0j -0.000226832-0j -3.0627e-05-0j 0.000597763-0j 0.000288053-0j -2.03439e-06-0j -0.0763265-0j -1.08283e-05-0j -2.55225e-06-0j 8.62797e-05-0j 0.000259764-0j -0.0110168-0j 0.0351277-0j -2.70707e-06-0j -0.000119551-0j -5.08596e-07-0j -0.0446085-0j 0.00507025-0j -2.25589e-07-0j -1.79816e-07-0j 6.4941e-05-0j -4.2383e-08-0j 0.000151817-0j -0.00643868-0j -8.40722e-09-0j 2.29601e-05-0j -4.4954e-08-0j -2.98878e-05-0j 5.41175e-06-0j -1.05669e-05-0j 5.74003e-06-0j -2.49065e-06-0j 3.79543e-05-0j -3.74617e-09-0j -2.64173e-06-0j 1.34189e-05-0j 4.78336e-07-0j 3.16286e-06-0j -1.39611e-10-0j 1.78265e-08-0j -2.20144e-07-0j 3.35472e-06-0j 2.7956e-07-0j -8.2043e-09-0j 1.04186e-08-0j 
