0.0104762+0.0512088j -0.0101553+0.0442012j 0.00815862+0.000309893j 0.00311486-0.0318044j 0.0080976+0.0146852j -0.00666641-0.0112706j -0.00971225+0.00883817j 0.000298688-0.0126684j -0.00446839+0.0100605j 0.00401399-0.000510631j 0.00534262+0.00239826j -0.00501728-0.00251588j 0.00929728+0.0241054j -0.00852353-0.0561552j -8.8848e-05+0.0261127j -0.0161075+0.0156826j 0.0192035+0.0302748j -0.00120691-0.0302567j 0.00759261-0.005198j -0.00260561+0.0178215j -0.00104897+0.0149332j -0.00397832-0.0162302j 0.000859199+0.0161354j 0.00115238+0.0102901j -0.000377912+0.0391293j -0.000444755-0.0228416j 0.00195912-0.0212306j 0.00131006-0.0185246j 0.000110195-0.0149969j 0.00114986-0.00968399j -0.00196158-0.0313191j 0.000236176-0.0116398j 0.00174948+0.0420032j -0.000884516-0.0106371j 0.00182528-0.103433j -0.0021111+0.111027j 0.00336008+0.0253205j 0.013856-0.0359596j -0.00135227-0.0923768j -0.0180428-0.0427424j 0.0200676-0.0402195j 0.0154026+0.0222023j -0.00294007-0.108589j -0.0163594-0.0140384j 0.0116062-0.00487706j -0.010838+0.0276039j 0.0102518-0.0368731j 0.00614497+0.0321521j 0.0157805+0.0100313j -0.012072-0.0406744j 0.00499905-0.0141778j 0.0114291-0.0106404j 0.000270572-0.0195723j -0.00097989+0.0178865j -0.0067968+0.00794207j 0.00603823-0.00372678j 0.0114532+0.00796541j 0.00010282-0.0349421j 0.00984286+0.0260536j 0.00512081-0.00440741j 0.00247558-0.0239635j 7.43188e-07+0.0123107j 0.00309844+0.0165977j 0.00676655-0.0283682j -0.00107549-0.00590884j -0.0112822+0.00352182j -0.0108341-0.00383307j -0.002634+0.0325825j -0.0107905+0.0110762j 0.00588567-0.00210188j -0.00726809-0.0065267j 0.0163072-0.00329204j 0.000787108-0.0121865j -0.00900245+0.00507798j 0.00266261-0.000977721j 0.00810356-0.0135775j -0.00809278-0.00273511j -0.00162835+0.0180402j -0.0031567-0.0175619j 0.00307002+0.00554554j -0.00211111-0.00100389j -0.0156681-0.0156141j 0.0152442-0.0116748j 0.00997483+0.013952j 0.00227086-0.0112057j 0.00895677+0.00930851j -0.00640007-0.00191293j -0.0487884-0.0175399j 0.0183356-0.0151726j 0.0287175+0.0227771j 0.0144533-0.0260297j 0.334355+0.00599821j 0.0123645+0.00626772j -0.0161584-0.0150728j 0.0589513-0.0508803j 0.13322+0.0673882j -0.0182988+0.264782j 
0.0100098-0.0426367j 0.0113195+0.052508j -0.00148513-0.0299396j -0.0102243-0.0159219j 0.00270035-0.0281888j -0.00126988+0.0201068j 0.00394362+0.0306101j -0.00273143-0.00275561j 0.00221983+0.0150719j -0.000421666-0.0170893j -0.000289289-0.0248213j -0.00121639+0.0180931j 0.00572277-0.031943j -0.0122976+0.0167843j 0.00751151+0.0237446j 0.0209962+0.0362044j 0.0157245-0.0112356j 0.00743206-0.00642106j -0.00221486+0.0309769j 0.00131208-0.0189712j -0.00237468-0.0246193j 0.000797395-0.0251688j 0.00163007+0.0228707j 0.000503424+0.00650085j 0.00296134+0.00342121j 0.000622855+0.0259226j 0.000787844+0.0249545j 9.44402e-05-0.00287414j 0.000762608+0.0182601j -0.00186795-0.029555j 0.00172371+0.0405957j 3.70468e-05+0.000878855j 0.00105384-0.0150946j -0.00237404+0.0332552j -0.00291411+0.0310454j -0.00218353+0.106873j 0.00867301+0.0458245j -0.00321497-0.0879858j -0.00992329+0.0978704j 0.0201993-0.0336027j 0.020333+0.0496693j -0.000764477+0.0937166j 0.0153726+0.0175606j 0.011162-0.00924459j 0.00137116+0.0488041j -0.0212104-0.0132963j 0.0129144+0.0635222j -0.00902064+0.0471338j -0.00428576+0.028194j 0.00627907-0.0348185j 0.00510039+0.0117652j 0.0044472+0.0146353j 0.000640894-0.0063358j -0.015796-0.0224288j 0.00946557-0.0114232j -0.00250236+0.0186425j -0.00714935+0.0352151j 0.0182134+0.00194498j -0.005317+0.00296032j 0.00554456+0.0184926j 0.00564094+0.00469661j 0.00227325-0.0162068j -0.00418132-0.0128131j 0.0199089-0.00782926j -0.00164746-0.00484731j -0.00354376-0.0127697j 0.00443529-0.0160015j -0.00802075-0.0116381j 0.00219401-0.0190996j 0.00170047+0.00651977j 0.0124277+0.00124306j -0.000703102+0.00673553j 0.00680907-0.0121172j 0.00781884+0.0055852j -0.000406322+0.00120015j 0.00699733+0.0108587j -0.006272-0.00336785j 0.00216398-0.00187712j 0.0155619-0.00214478j 0.0020713-0.000183645j 0.0121177+0.014539j 0.0104889-0.0248044j 0.00746003+0.00939869j -0.0157128+0.00752266j 0.000657468+0.0125515j -0.0146782-0.00722812j -0.0366875-0.0160028j 0.0128275+0.00625839j -0.00274915+0.0184029j -0.0127716+0.026627j 0.0378144+0.000385823j 0.0150903+0.00999886j -0.334044-0.00721434j -0.0643091+0.051581j -0.0208237-0.0162328j 0.0197556-0.267087j 0.132404+0.0673544j 
-0.00975545+0.0309465j -0.00595774-0.0731231j 0.00227339+0.044506j 0.00824717+0.013245j -0.00209132+0.023098j -0.00564376-0.0149415j -0.00368995-0.0458932j -0.000269172+0.0239944j 0.00305749-0.0264798j -0.00711872+0.0185709j -0.0152832-0.000630931j -0.00962768-0.0533389j 0.00860296+0.0700796j -0.0240864-0.0221315j 0.0298125+0.0795952j 0.0135356-0.00716529j -0.00678316+0.021724j 0.00244075-0.0244996j 0.0064119-0.00505818j -0.0142755+0.062296j -0.00125648+0.0577241j 0.000192184+0.0497305j -0.0049378-0.050052j -0.00172206-0.0229486j -0.0126525-0.0546503j 0.00411495-0.0611542j 0.0057251-0.0299651j 0.00318998+0.0652853j 0.00183598-0.0345661j -0.00183208+0.120885j 2.35616e-05-0.0259519j -0.00148441+0.0504141j 0.000626733-0.280838j 0.00495858-0.22611j 0.00913825-0.0257109j -0.0167309+0.166385j -0.0117547+0.0231078j 0.0172849+0.0479332j -0.00568626+0.327005j -0.0103538+0.0970611j -0.0167425+0.0100579j -0.00667425-0.10577j -0.00735157+0.0587846j -0.0246583+0.025545j 0.00960974+0.0161814j 0.00777425+0.048527j -0.0118901+0.00977034j 0.00312138-0.0909j 0.0138369+0.00249366j -0.00122806-0.0173167j -0.00328757+0.0213205j 0.0167258-0.0188509j 0.00825933+0.0507941j 0.0274704+0.0588401j -0.0265337+0.0206008j 0.0162938-0.0234638j 0.00487383-0.000282193j -0.0251492-0.0144286j 0.00157471+0.0079709j -0.0111717-0.0219951j 0.0118974+0.0085066j -0.0217361+0.0162211j 0.00466517+0.00932071j -0.018501-0.0272331j 0.000787531+0.0270912j 0.00306821+0.0165527j -0.0077918+0.0153881j -0.00603313-0.00620219j -0.0180284-0.0100091j 0.00356553-0.0284861j -0.0208522-0.0131671j -0.00197925+0.0201711j -0.0148438+0.0307957j -0.0205769-0.0324521j 0.00243134-0.0234239j -0.0222447-0.0200317j -0.012538-0.0505937j -0.0259651-0.0356885j -0.0481686-0.00523968j -0.0371514-0.0408036j -0.00798171+0.00129582j -0.033853-0.0464433j -0.0305886+0.0448738j 0.0104695-0.00694906j -0.0138833-0.0140628j 0.10184+0.054925j 0.24224+0.00106444j -0.154173-0.018352j 0.155486-0.0452679j 0.00105829-9.99329e-05j -0.080996+0.120379j -0.0696593-0.0174449j -0.105176-0.02688j 0.113396+0.102802j -0.00818159+0.244866j -0.0151123-0.0384114j 0.00693704-0.0489085j 
0.00685533+0.0688536j -0.00996319+0.0528105j 0.00580538-0.0248378j 0.00110815-0.0611782j -0.00094727+0.0128543j 0.00354197+0.0148177j -0.00715562+0.0329224j 0.0077353-0.0173319j -0.00662368+0.0024107j 0.00387129+0.0261841j -0.000930224+0.064587j -0.000994689+0.0505755j 0.000336691-0.010362j 0.0160648+0.0296885j 0.0358842+0.0294888j -0.00155025+0.0417689j -0.0101872+0.0126515j -0.00328815-0.0262826j -0.00615058+0.0322563j 0.00749706+0.0174795j 0.00653873+0.0212568j -0.0010312-0.0692189j -0.000727885-0.0562341j 0.000222159+0.067963j 1.95463e-05+0.00067484j -0.00331352-0.0547437j -0.00167805+0.0555854j 0.00296643+0.101811j -0.00024165-0.0126584j 0.00233252+0.00438457j -0.00173623-0.214271j 0.000972626-0.0765831j 0.00194111+0.107872j -0.00415581+0.0769768j -0.00619107-0.178316j 0.00474115-0.320016j 0.00497048+0.223625j 0.00637175+0.244309j -0.0333604+0.2196j -0.0113303+0.0053658j 0.0117392-0.114581j 0.010027-0.0422213j -0.0129857-0.0691068j 0.00341799+0.00807187j -0.00217936+0.0188817j -0.0483099-0.0466566j 0.00167549-0.111231j -0.00419386+0.0494953j 0.019952-0.0041646j -0.000319202+0.07253j 0.00631589-0.053823j 0.0301651+0.0164725j 0.00551448-0.0157337j -0.0197245-0.0205374j 0.00121689-0.0542995j -0.00219843-0.00501191j 0.0104499-0.0839668j 0.0149324+0.0157457j 0.0185809-0.0290603j 0.00847679+0.00244058j 0.0200533+0.0186891j 0.0196859-0.0141247j 0.00973971+0.0285192j 0.00690029+0.0320017j 0.00776019-0.024922j -0.0132677-0.0250635j 0.00909585+0.0298009j -0.00475409-0.0204278j 0.0113361-0.00434771j 0.0286256+0.00137048j 0.0128136-0.0357985j 0.0116044-0.0207148j -0.00906001-0.00510401j 0.00889224+0.0111282j 0.0378848-0.0251962j 0.0154439+0.00524763j 0.00805416-0.0184243j 0.0172426+0.0209898j 0.0387589-0.00318349j 0.0267723+0.0426703j -0.0374246-0.0625114j -0.0700852-0.0265524j 0.0413023-0.0169654j 0.0192664-0.0385545j -0.0530585+0.0402236j -0.0878975+0.117724j -0.114823-0.0285595j -0.270285-0.0095164j 0.0259089-0.0213339j -0.0256891-0.0171445j 0.0764777+0.0502157j -0.0863737-0.0233482j 0.0669277+0.0357499j 0.0373093-0.257453j 0.0849312+0.0888334j -0.00738564+0.0486936j -0.0159545-0.0374612j 
0.00228702+0.0123057j -0.00867754+0.0368652j 0.00174133+0.00549337j 0.00342005-0.0265522j -0.00417784-0.0212859j 0.00701976+0.0277805j -0.00243663+0.0317253j 0.00648518-0.00248755j -0.00418256+0.00148498j 0.00284924-0.00167074j -0.00124342+0.00662474j 0.00549902+0.0694978j -0.00495745-0.0565316j 0.0049843-0.0261541j -0.0228675-0.0719564j -0.0185963+0.0262858j -0.00549545+0.0360454j -0.00278768-0.095728j -0.00820019+0.0731918j 0.00803721+0.257705j 0.00528515+0.148806j 0.00230339-0.0109122j 0.0017925-0.314213j -0.00068625+0.0807467j 0.00520193-0.23869j -0.00523346-0.0431955j -0.00666409+0.232955j 0.00016268+0.355508j -0.00289111+0.0606835j 0.00445968+0.194983j -0.00601198-0.146026j 0.000694176+0.00669361j 0.00319586-0.328526j -0.00849919+0.143288j -0.00350673+0.346174j -0.0175082+0.185198j 0.0115198-0.0608636j 0.019721-0.017368j -0.00016711+0.036328j 0.0056669+0.0372447j 0.00995469-0.0072713j -0.00920332+0.0353603j -8.25916e-05+0.0992632j -0.0121018+0.0270531j -0.00509562+0.0671602j -0.0244717-0.0756199j -0.00377544+0.0228336j -0.0102353+0.0443298j -0.00128569+0.024881j 0.00403193+0.0394284j 0.00893265-0.00193261j 0.0391937+0.0311827j 0.00844072+0.00388124j 0.00645706-0.0394011j -0.00696999-0.0359412j 0.0223793+0.0175485j 0.0130268-0.0104805j -0.0144705+0.0425427j 0.000254983-0.0387205j 0.0004794+0.00670409j 0.0287611+0.00834788j -0.0149797-0.0120617j -0.00615629+0.000530694j -0.0293023-0.0224221j 0.00538354+0.00312303j 0.0118012-0.0224663j 0.0131718-0.0105102j 0.000993156-0.00263641j 0.0200297-0.00899921j 0.030793+0.0312205j 0.0220358+0.00776168j -0.0358463+0.0070316j -0.0277625-0.0161881j 0.0125433+0.0256471j 0.0374412+0.0252902j -0.0212285+0.0113323j 0.0115114+0.0517055j 0.000492475+0.0150032j 0.00873552+0.0314671j -0.0102851+0.0246686j -0.0229586-0.0195094j -0.0967736-0.00428117j -0.0250446-0.0346895j -0.0312926-0.000554117j -0.0865303+0.0139197j -0.105391+0.0139991j -0.0401306+0.0211804j 0.095114+0.0153281j -0.044037+0.00887936j 0.0190489-0.0529985j 0.0432483+0.0785504j -0.0158497-0.0317421j 0.0134778+0.0422177j -0.0316621+0.00395772j -0.00364419-0.0390002j -0.0109234+0.00524072j 0.0113204+0.000746984j 
-0.0137327+0.0219681j -0.00504491-0.00793097j -0.00207377+0.0225066j 0.00474795+0.0394607j -0.00781254-0.0659374j 0.00523935+0.0606834j -0.000358537+0.0528724j 0.00381057+0.00684982j -0.00144958-0.0124387j -0.000725854-0.00246663j -0.00431233+0.0134614j 0.00216121+0.0696482j 0.00349468+0.0355549j 0.0219872-0.0589208j 0.0165195+0.0250991j 0.00306816+0.0163448j -0.0240417+0.00404017j 0.00186365+0.0594581j -0.00260664-0.0673245j -0.00103075-0.15907j -0.00141244+0.0573117j 0.0017234+0.11311j -0.00365768+0.0622719j -0.00154694-0.136278j -0.00863299-0.235443j 0.00368899+0.228954j 0.00345913+0.108087j 0.00517281-0.123431j 0.00346503+0.0802329j 0.00149002+0.0062881j 0.00799605+0.181426j 0.00409618-0.00188453j -0.0039421-0.0680428j 0.00426066+0.413531j 0.0296714-0.372056j -0.0163614+0.314687j -0.0159476+0.110049j 0.0117238-0.205608j 0.0216057+0.123251j -0.0129188-0.0701765j -0.00212328+0.0565026j 0.000392967+0.12225j 0.0179878+0.0409941j -0.00383397+0.00380898j 0.000203477+0.115813j 0.00790047-0.0297928j -0.00394295+0.0383065j 0.00608801+0.0897871j 0.00283518+0.0412975j 0.0168565-0.0279368j 0.00143756-0.0238437j -0.0235111+0.023121j -0.00599928-0.0116063j 0.00288628+0.0195632j -0.0293785-0.0134974j 0.00961608+0.0292229j 0.00655377+0.00883593j -0.00223041-0.00608356j -0.0165699-0.0228423j 0.0038592+0.0056602j -0.0200758-0.0108439j -0.0322457-0.026832j -0.00906182+0.015262j -0.0261812-0.0528131j 0.0090548-0.00598577j 0.0382364-0.0183645j 0.0153009-0.0185397j 0.00864335+0.0208397j 0.0161802-0.0207775j -0.0377117+0.0287869j 0.0281005+0.00516151j -0.0431812-0.00144882j -0.00577113+0.00598513j 0.0224981+0.0185623j -0.0301272-0.0137286j -0.032469-0.00606784j -0.0115839-0.0173218j 0.0131699-0.0261666j -0.0317951+0.00554917j 0.0192189-0.0248009j 0.0330443+0.0110508j -0.0180699-0.0638465j -0.091317+0.00082473j -0.0669587-0.00496792j -0.0656139+0.0198712j -0.0689058+0.0138685j -0.063952-0.0461289j -0.128697+0.0256638j 0.00093155+0.0769234j 0.0288888+0.0668587j 0.0445491+0.0330237j -0.00694471-0.0719393j -0.0561883-0.0444188j 4.76988e-05-0.00192766j 0.033139-0.00685042j 0.01999-0.0179543j 0.0322589-0.00731448j 
0.000448842-0.0163328j 0.0120958+0.0225493j -0.00470649-0.0557854j -0.00694854-0.0346294j -0.00603414-0.0303752j 0.00329849-0.0024971j 0.00824686+0.053404j 0.00100671-0.0440149j 0.00695922+0.0379536j -0.00546675-0.00471921j -0.0156431+0.00069542j -0.0101919-0.0320884j 0.00462658+0.107392j 5.47535e-06-0.0302949j 0.00656084-0.0895645j 0.0134281+0.00062328j 0.00157538+0.0558666j 0.00366062-0.0412711j 0.00215385+0.0966981j -0.00364594+0.113845j -0.000313671-0.109207j -0.00391719-0.106232j 0.00242648-0.16159j 0.00197417+0.123061j 0.00057808+0.0434842j 0.00101077+0.0445688j 0.0025824+0.0471148j -0.000562058+0.257781j 0.00234849+0.054667j -0.00572639-0.183405j 0.000437708-0.0780816j -0.00296269-0.113725j 0.00418952-0.28952j 0.0110248-0.268532j 0.000809589-0.412764j 0.0172749+0.148617j 0.018089-0.00720287j -0.030485-0.0290082j 0.025079-0.34963j 0.0119037-0.0520433j -0.00285212-0.10205j 0.0112831+0.0701682j 0.00625531-0.18037j 0.0163132-0.0106329j 0.00337684+0.0201526j -0.00673968+0.0428204j 0.0119147-0.00355904j 0.00984953+0.0519833j -0.0129619+0.038378j 0.00331716-0.0837042j -0.00624087-0.0536692j 0.0108376-0.0160348j 0.00620916-0.0260362j -0.0270065+0.0289479j 0.0270025+0.0113381j -0.012708-0.0207168j -0.00501901+0.024708j 0.00984337-0.0697733j -0.0142583+0.046828j -0.00620889-0.0157427j 0.0207847-0.0419202j 0.0190966+0.011216j -0.0207864+0.0417483j -0.00314721-0.00577532j -0.0100825-0.00925501j -0.0109696+0.0163776j 0.029759+0.0377323j -0.007568+0.0374695j 0.0246796+0.0442378j -0.00427994+0.0123592j 0.0312198+0.0458135j -0.0109602-0.0172736j -0.00866609+0.0150879j 0.0590786+0.053708j 0.0264334-0.0073252j -0.00143686+0.0127314j -0.0148406+0.0155276j 0.0434348-0.0120652j 0.0583135-0.0026918j 0.0129207+0.0421318j 0.0741481+0.0162614j 0.0530722-0.030581j 0.0408328-0.0915625j -0.0720664+0.0379967j -0.0747789-0.0165091j 0.0408471+0.0357434j 0.077962+0.0193298j -0.068321-0.0414935j -0.00277034-0.0804699j 0.0177184+0.0784425j -0.0195223-0.0172289j 0.0719838+0.0323667j 0.00322748-0.074687j 0.0174631-0.0367696j 0.0197961-0.0528626j 0.0406664+0.00342894j -0.0151744+0.0335682j 
-0.00568472+0.0512898j -0.00668735+0.00634683j -0.00129169-0.00891844j 0.00431907-0.0175311j -0.0114277+0.00786136j -0.00437699+0.0617537j -0.00307444+0.0227106j -0.00181361+0.0221623j 0.00596302-0.0413006j -0.0080924+0.0596058j -0.0164274+0.0405964j -0.00155736+0.110298j -0.00641711-0.00661091j -0.00986435+0.0471055j -0.0116522-0.0210539j 0.00515166-0.0199534j -0.0155603-0.0094022j -0.000150787+0.114957j -0.00445352-0.113695j -0.00246264-0.352884j 0.00325954-0.0994267j 0.00369627-0.188614j -5.97685e-05+0.177111j -0.00283802-0.119042j -0.00351935-0.098788j -0.00346519+0.0434966j -0.0035557-0.335419j -0.000689025-0.0792065j -0.000829577-0.220288j 0.00523492-0.233658j -0.000450968-0.221178j 0.00211739-0.333949j -0.00384815-0.300888j -0.00423732-0.00350756j -0.0040155+0.20488j 0.00688183+0.0546937j -0.000144982-0.0759812j 0.0196975+0.0381288j 0.00496769-0.105968j -0.0143593+0.00481436j 0.00872422-0.0244905j 0.00452347-0.0577425j 0.00420347+0.0732801j -0.00569812+0.0497474j 0.00668983+0.15832j -0.00164261-0.0122709j -0.00917214+0.0029853j 0.0147371+0.0139878j -0.011171+0.016572j 0.00726382+0.0470737j 0.00764454+0.0243183j -0.0159254+0.000785598j -0.0222898+0.0333536j -0.0233687-0.0358983j -0.00292996-0.0111548j -0.0104951+0.0205177j -0.00490405-0.0492591j 0.0457333+0.0704169j 0.031674-0.0385494j -0.00370032+0.0285942j 0.0106433+0.00560572j 0.021562-0.0206794j 0.0285383+0.0202515j 0.0185638-0.0846836j 0.00450249+0.00964132j 0.00289543-0.0404919j -0.0137974-0.0155353j 0.0171354+0.0440606j 0.018171+0.00559422j -0.00421882+0.00527377j -0.0321501-0.00680082j -0.00925351+0.0298417j -0.00246303+0.0294501j 0.00170528-0.0184531j 0.0285215+0.00821429j 0.0365824-0.0116177j -0.0722801-0.000762773j -0.0229935-0.00833381j -0.0132762+0.0613236j 0.0660839+0.0122674j -0.0385504+0.0380138j -0.0288495-0.0144103j 0.0113423-0.0307904j -0.0838447+0.00973218j -0.102459+0.00825532j -0.0843231-0.0132108j 0.039297+0.0460842j 0.0165235+0.00836578j -0.0233872-0.0182076j 0.0271172-0.016901j 0.00102793+0.0820105j -0.0181216-0.0124579j 0.0133178+0.0192136j 0.0112326-0.02473j 0.00731344+0.0236587j -0.00751867+0.007508j -0.00274711-0.0143247j 
-0.00117577+0.0104568j 0.00402656-0.0304785j -0.000580729+0.0221995j -0.00264252-0.00295208j 0.00293723+0.0245608j 0.000136759+0.0094965j -0.00556766-0.00583067j 0.00165846+0.041622j -0.00511793-0.085105j -0.000803284+0.0299821j -0.0103133+0.0017586j 0.00875673+0.00146948j -0.00212073+0.060424j 0.0022418-0.0181526j -0.00449994-0.0428753j -0.00218793-0.0587458j -0.0112642+0.0268123j -0.00686357+0.0122843j 0.000237041-0.00831386j 0.000138942-0.0949295j -0.000523524+0.0540452j -0.0041599+0.110201j 0.00263844+0.177184j 0.00106209+0.0451769j 0.000563165+0.0792749j 0.000167428-0.0701781j 0.000321849+0.151629j 0.0016763-0.24838j 8.34476e-05+0.016271j -0.00238087+0.434165j -0.00129537-0.324958j -0.000860031+0.222219j 0.00720279-0.149113j -0.00148582+0.26513j -0.000504053-0.12257j 0.0167931-0.00982486j 0.016766-0.151165j -0.00599663+0.0789696j 0.01149-0.360757j 0.0043058+0.0384186j 5.60665e-05-0.0782597j 0.00455681-0.130078j -0.00621786-0.019829j 0.00222157+0.0276763j 0.00467365-0.0116109j -0.00988876+0.0129249j -0.0011929-0.119173j 0.00362945-0.0318334j 0.00427041-0.027224j -8.17987e-05+0.0225956j 0.00303539-0.00908248j -0.0109257-0.0271473j -0.00993118+0.012838j -0.00996315+0.059785j 0.00659868+0.0367662j 0.00352076-0.0182553j -0.00952765-0.034531j 0.00188756+0.0057161j -0.000204797-0.000709959j 0.0208723+0.00895598j -0.0138517-0.0301235j -0.00111719+0.0425953j 0.0145122+0.0236837j 0.0349453-0.0484109j 0.00235991-0.000492492j -0.00633898+0.0207703j 0.0010449+0.0153247j 0.00790036+0.0675428j -0.000870797+0.0330155j 0.0118973+0.0100942j 0.0256491-0.00916766j 0.0156133-0.00078697j 0.0267125+0.0302869j -0.0450155+0.00327359j -0.014697-0.00392384j -0.0354932-0.0433541j -0.0250742+0.0207508j 0.00873161+0.0165749j -0.053678-0.0136766j -0.0385692-0.0253084j -0.0316459-0.0337269j -0.0607764+0.0259158j -0.102809-0.0211092j -0.0266788+0.0128159j -0.0486591-0.0546997j -0.0221779+0.00996228j 0.0739142+0.0189809j 0.0359453-0.00674756j 0.025682-0.0254202j 0.0545085-0.0253312j -0.0153549+0.00809544j 0.0306487+0.0772966j 0.0260614-0.0102905j 0.0230737-0.0397276j 0.00574847+0.0155185j 0.00887698+0.0106676j -0.0398857+0.0088675j 
-0.00919447-0.00824003j 0.000197549-0.0434308j -0.00358648-0.0596836j 0.00391671+0.00577091j 2.23303e-05-0.005117j 0.00405475-0.0535839j -0.00512475-0.0202907j 0.00339492-0.0281883j -0.00813771-0.0144061j 0.00716307-0.00270937j 0.00239105+0.0670642j 0.00771523+0.0276979j -0.011129-0.0506286j -0.0112204-0.0773575j -0.00729872+0.10543j -0.00523776+0.0983854j 0.00137137-0.0134869j 0.000330843+0.0585407j 0.0057968+0.0385253j -0.00406879-0.0738629j -0.0064028-0.276672j -0.00342242-0.0401666j 0.00459697+0.000495357j -0.000136315+0.229617j -0.00410831+0.333525j 0.00743626+0.0135255j 0.0103389-0.0694768j 0.00538793+0.0574194j 0.00651015+0.168186j -0.00386668+0.0452263j 0.0134378-0.485459j 0.00187103-0.0234853j -0.00673426+0.238043j 0.00306652+0.0377578j 0.0157465+0.150502j -0.0265038+0.339077j -0.0155837+0.0964346j -0.00808575-0.1339j 0.00617406+0.104476j -0.00196375-0.064454j -0.0222403-0.0133316j -0.00117786+0.0592955j 0.00526454-0.0146567j -0.00114417-0.0166074j -0.0029822-0.00355096j 0.0288147-0.00411522j 0.00218897+0.0519155j 0.0133276+0.0505359j -0.0123878+0.00191854j 0.00653397-0.0112037j -0.00901419-0.00643463j -0.0102728-0.0116926j 0.0042394-0.0261684j -0.0127259-0.00369984j 0.0272339+0.0173141j -0.0130484+0.0116819j -0.00332385+0.0908348j -0.0084515-0.0288353j -0.0255611+0.0135504j -0.00599638+0.00745479j 0.00204327-0.0473185j 0.033546+0.00847176j -0.0271823-0.0378989j 0.000185638-0.0359334j -0.00244598+0.0152447j -0.0385774-0.0218315j 0.0064203-0.101395j -0.0112171+0.0136187j 0.00777482-0.0502781j -0.0047278-0.00598538j -0.0345638-0.0116957j 0.0109535+0.00274885j 0.0310154-0.087429j -0.0181465-0.000622688j -0.0101177+0.0175666j 0.0124431+0.00505031j 0.00128556-0.0286626j -0.0108222+0.0775001j -0.0150049-0.0309799j -0.00954986+0.0371981j -0.084644+0.0138003j -0.102753-0.0833142j 0.000265032+0.029678j 0.070851+0.0102514j 0.0140859+0.0280151j -0.0400359+0.0256167j -0.0128394-0.0455121j -0.030137+0.0186129j 0.0602746+0.0398894j -0.0161079+0.0272756j 0.0313603-0.00687081j 0.00104299-0.0363808j -0.0559107-0.0637134j -0.00540414+0.0405826j 0.00811671-0.0134732j 0.027811-0.0343566j 0.0259824-0.00452916j 
-0.000851419-0.0948342j 0.00879292-0.0608815j -0.00207533-0.04413j 0.000614105+0.0452447j 0.00157847-0.0348736j -0.00441778-0.103834j 0.00166733-0.0718579j 0.000600529-0.0435439j 0.00533136-0.0581543j -0.0049668-0.0626504j -0.00474019-0.0621761j 0.00587769+0.0477755j 0.00310172+0.0329772j 0.0057648-0.00297706j 0.00527765+0.0171461j 0.0117055+0.0346383j -0.000207356-0.0465818j 0.00392905-0.027952j 0.0013439+0.103364j -0.00494441+0.209436j 0.00142286-0.201397j -0.0013941-0.0194528j -0.00524359-0.223965j 0.00204679-0.0126486j -0.00468283+0.332598j 0.0011242+0.196098j 0.00569408-0.17227j -0.00024077+0.067342j 0.00105174-0.150709j -0.00359279+0.105536j -0.00157584+0.00429103j 0.000489419-0.3079j 0.00634041-0.187558j 0.00293892+0.408569j 0.00412862-0.148695j 0.00120074-0.268455j -0.0074845-0.0190368j -0.018182+0.0270318j -0.00143301+0.0643753j 0.0134064+0.0261074j -0.0176668+0.0619592j -0.00962653+0.0289478j 5.48601e-05+0.0943973j -0.00530931-0.024318j -0.00167841-0.101444j 0.0271466-0.0208388j 0.00153167+0.0515059j 0.00512212-0.0375487j -0.00643016-0.0476371j -0.00538755+0.0435455j -0.0119486-0.0549888j 0.0114274-0.0112538j 0.0283567+0.0154183j 0.0122026+0.0722065j 0.0178486+0.064175j -0.0200716-0.0146539j 0.0092883+0.0751944j -0.0309789+0.00948139j -0.0259235-0.00354447j -0.0329352-0.051226j 0.00600258-0.0212635j 0.0143395-0.00653328j -0.0395493+0.0108027j -0.00986962+0.0571105j -0.013675+0.0225914j -0.0308631-0.0221369j 9.86104e-05-0.0186776j 4.30412e-06-0.0300907j -0.0251324-0.0415392j -0.0666058+0.00993576j -0.0483913+0.028498j 0.061894-0.00565794j 0.0450065+0.0138697j -0.0377376+0.0119056j -0.0256224-0.00537491j -0.00837109-0.021578j 0.0235728-0.0477154j -0.036654-0.0299785j -0.0494975+0.0514789j 0.0568017+0.00451572j 0.00891054-0.00768541j 0.0418949+0.000387801j -0.0863471-0.0232454j -0.0851887-0.0135538j 0.00459459+0.0174173j 0.00540891-0.018532j 0.00318892-0.0361017j 0.0302499+0.0254881j -0.032855+0.0552922j 0.0299393+0.0159223j -0.0224389-0.0215285j -0.00457961+0.011081j -0.0116947+0.0292225j 0.00181966+0.0661973j -0.0190434+0.0197391j -0.0186328-0.0205639j 0.00102638-0.000578675j 
