-0.582784-0j -0.0849359-0j -0.0424413-0j -0.0428811-0j -0.00612587-0j -0.00618935-0j 0.0549784-0j -0.0349903-0j 0.0097189-0j -0.020411-0j 0.000809908-0j -0.00618547-0j -0.00360819-0j -0.000515456-0j -0.000300682-0j -0.021194-0j 0.0480759-0j -0.00353233-0j -0.0151417-0j -0.0021631-0j -0.0216355-0j -0.000441542-0j 0.00801265-0j -0.0089242-0j -2.60181e-05-0j 0.00490673-0j -0.00252362-0j -0.0015454-0j 0.00100158-0j -0.00360592-0j -0.000315453-0j -0.00220817-0j -0.00148737-0j 5.90187e-05-0j -0.000910823-0j -0.00045074-0j -1.85882e-05-0j -2.65601e-05-0j -0.000185921-0j -1.09555e-05-0j 
0.721158-0j 0.00208025-0j -0.0505042-0j -0.0509622-0j -0.00728965-0j -0.00735576-0j 0.0349903-0j -0.000824112-0j 0.00618547-0j -0.0490149-0j 0.000515456-0j -0.000145684-0j -0.0086647-0j -1.21403e-05-0j -0.000722058-0j 0.0262262-0j 0.000605596-0j 0.00437104-0j -0.0547735-0j 0.0026767-0j 0.0247267-0j 0.00054638-0j 0.000100933-0j -0.0322551-0j 3.21957e-05-0j 6.18083e-05-0j -0.00912892-0j -0.0055903-0j 1.26166e-05-0j 0.00412111-0j -0.00114112-0j 0.00252365-0j -0.00537585-0j 7.43439e-07-0j -0.00329203-0j 0.000515139-0j -6.72409e-05-0j 3.03548e-05-0j -0.000671982-0j -3.95969e-05-0j 
-0.420676-0j 0.11898-0j -0.0306357-0j -0.0273501-0j -0.00442189-0j -0.00394765-0j -0.020411-0j 0.0490149-0j -0.00360819-0j -0.0563099-0j -0.000300682-0j 0.0086647-0j -0.00995428-0j 0.000722058-0j -0.000829524-0j -0.0152986-0j 0.034637-0j -0.00254977-0j -0.0109299-0j -0.00156141-0j -0.0137994-0j -0.000318722-0j 0.00577284-0j -0.00788218-0j -1.87808e-05-0j 0.00353513-0j -0.00182165-0j -0.00111553-0j 0.000721605-0j -0.0022999-0j -0.000227706-0j -0.0014084-0j -0.0013137-0j 4.2521e-05-0j -0.000804472-0j -0.000287488-0j -1.34177e-05-0j -1.69404e-05-0j -0.000164212-0j -9.67629e-06-0j 
0.0728022-0j -0.499005-0j 0.00530183-0j 0.00535677-0j -0.0727452-0j -0.0734991-0j 0.00353233-0j 0.00437104-0j -0.0293672-0j 0.00254977-0j -0.00744588-0j -0.0363401-0j -0.0211984-0j -0.00921381-0j -0.00537472-0j -0.00775273-0j 0.00308885-0j 0.0607687-0j 0.00189153-0j -0.00079126-0j 0.00270274-0j 0.0153537-0j -0.0242115-0j 0.00111482-0j 0.00181897-0j 0.000315254-0j -0.0148265-0j 0.000193053-0j -0.00611723-0j -0.0211851-0j -0.00374602-0j 0.000275848-0j -0.0087384-0j -0.000724714-0j 0.000113781-0j -0.00535258-0j -0.000443795-0j -0.000634125-0j -0.00220783-0j -0.000261563-0j 
-0.0849359-0j 0.0115226-0j -0.00618547-0j 0.00600218-0j 0.0848694-0j -0.0823545-0j 0.00801265-0j -0.000100933-0j -0.0666159-0j 0.00577284-0j -0.01689-0j 0.000839137-0j -0.0479944-0j 0.000212758-0j -0.0121687-0j -0.00308885-0j 0.000138679-0j 0.0242115-0j -0.00220678-0j -0.000315254-0j 0.00302838-0j 0.00611723-0j -0.00108702-0j 0.00379892-0j 0.000724714-0j 1.41539e-05-0j 0.0172975-0j -0.000225229-0j -0.000274644-0j -0.0237375-0j 0.00437036-0j 0.000309083-0j -0.0297773-0j -3.25373e-05-0j 0.000387725-0j -0.00599748-0j 0.000517761-0j -0.000710527-0j -0.00752346-0j -0.000891312-0j 
-0.0520124-0j 0.356507-0j 0.0110729-0j -0.00382706-0j -0.151929-0j 0.0525103-0j -0.00252362-0j 0.00912892-0j 0.020981-0j -0.00182165-0j 0.00531959-0j -0.0758964-0j 0.0151449-0j -0.0192431-0j 0.00383989-0j -0.00189153-0j -0.00220678-0j 0.0148265-0j -0.00114803-0j -0.000193053-0j 0.00564469-0j 0.00374602-0j 0.0172975-0j -0.000796469-0j 0.000443795-0j -0.000225229-0j 0.00899869-0j -0.00011717-0j 0.00437036-0j -0.0442451-0j 0.00227359-0j 0.000576108-0j 0.00624301-0j 0.000517761-0j -8.12893e-05-0j -0.0111789-0j 0.000269354-0j -0.00132437-0j 0.00157735-0j 0.00018687-0j 
0.0743189-0j 0.489237-0j -0.00520471-0j -0.00546409-0j 0.0714126-0j 0.0749715-0j 0.00360592-0j 0.00412111-0j -0.0299791-0j 0.0022999-0j -0.007601-0j -0.0342622-0j -0.019121-0j -0.00868698-0j -0.00484802-0j 0.00270274-0j -0.00302838-0j -0.0211851-0j -0.00564469-0j 0.000275848-0j 0.00265115-0j -0.00535258-0j 0.0237375-0j 0.0053352-0j -0.000634125-0j -0.000309083-0j 0.0442451-0j -0.000576108-0j 0.00599748-0j -0.0207807-0j 0.0111789-0j 0.000270582-0j -0.0418193-0j 0.000710527-0j 0.000544522-0j -0.00525041-0j 0.00132437-0j -0.000622021-0j -0.010566-0j -0.00125176-0j 
-0.030655-0j -0.613717-0j -0.00223245-0j -0.0105742-0j 0.030631-0j 0.145087-0j -0.00148737-0j 0.00537585-0j 0.0123657-0j -0.0013137-0j 0.00313525-0j -0.044694-0j 0.0109219-0j -0.0113319-0j 0.00276917-0j -0.00111482-0j 0.00379892-0j 0.0087384-0j -0.000796469-0j -0.000113781-0j -0.0053352-0j 0.00220783-0j -0.0297773-0j 0.00645994-0j 0.000261563-0j 0.000387725-0j 0.00624301-0j -8.12893e-05-0j -0.00752346-0j 0.0418193-0j 0.00157735-0j -0.000544522-0j -0.0506353-0j -0.000891312-0j 0.000659315-0j 0.010566-0j 0.00018687-0j 0.00125176-0j -0.0127934-0j -0.00151565-0j 
0.0460152-0j 0.00670634-0j -0.318756-0j -0.322059-0j 0.000483685-0j 0.000488697-0j 0.00223264-0j 0.00276275-0j -0.0375421-0j 0.0016116-0j 3.28899e-05-0j -0.046456-0j -0.0270993-0j 4.06992e-05-0j 2.37412e-05-0j 0.00167343-0j 0.00195233-0j 0.000278905-0j 0.00119555-0j -0.0326628-0j 0.00170829-0j -0.0033162-0j 0.000325389-0j 0.000704634-0j 2.05433e-06-0j -0.0381066-0j 0.000199259-0j -0.0233354-0j -0.0038689-0j 0.000284715-0j -0.00236921-0j -0.0333433-0j 0.000117439-0j 2.39671e-06-0j -0.0137534-0j -0.00338529-0j 1.46768e-06-0j 2.09713e-06-0j -0.00139636-0j 8.6502e-07-0j 
-0.00664173-0j 0.0920162-0j -0.000483685-0j -0.000488697-0j -0.308764-0j -0.311964-0j -0.000322254-0j -0.000398769-0j 0.0054153-0j -0.000232615-0j -0.0643451-0j 0.00670109-0j 0.00390897-0j -0.079623-0j -0.0464468-0j -0.000241539-0j -0.000281795-0j 0.00382679-0j -0.000172563-0j -2.46519e-05-0j -0.000246571-0j -0.0222551-0j 0.00446459-0j -0.000101705-0j -0.00809476-0j -2.87606e-05-0j 0.00273399-0j -1.76122e-05-0j -0.0259643-0j 0.00390651-0j -0.0158998-0j -2.51655e-05-0j 0.00161135-0j -0.00944389-0j -1.03802e-05-0j -0.0227188-0j -0.00578318-0j -0.0082634-0j -0.00937102-0j -0.00340848-0j 
-0.0519797-0j -0.00014994-0j 0.360073-0j -0.349403-0j -0.00054638-0j 0.000530189-0j -0.00252203-0j -6.17695e-05-0j 0.0424083-0j 0.00353291-0j -3.71531e-05-0j 0.00103866-0j -0.0594062-0j -9.09951e-07-0j 5.20446e-05-0j 0.00553534-0j -4.36502e-05-0j 0.000922557-0j -0.00135052-0j -0.108042-0j 0.00185333-0j -0.0109693-0j -7.27504e-06-0j 0.00232489-0j 6.79527e-06-0j 0.000851986-0j -0.000225087-0j 0.0263602-0j 8.65008e-05-0j 0.000308889-0j 0.00267631-0j -0.0361743-0j 0.000387482-0j -5.35857e-08-0j -0.0453784-0j -0.00367271-0j -1.65792e-06-0j 2.27518e-06-0j -0.00460719-0j 2.85407e-06-0j 
