-0.0048966-0j -0.00077422-0j -0.000612075-0j 0.117332-0j -8.83454e-05-0j 0.0146155-0j -3.60669e-05-0j 0.00121796-0j -9.01672e-06-0j -7.51393e-07-0j -2.80028e-08-0j -0.00457747-0j -0.000713639-0j -0.000552782-0j -7.97873e-05-0j 0.0722976-0j -8.92049e-05-0j 0.0171002-0j -7.43374e-06-0j 0.00737884-0j 0.0015062-0j -5.25645e-06-0j 8.87537e-05-0j -7.58703e-07-0j -4.89741e-08-0j -1.54254e-09-0j 
0.000865605-0j -0.00643674-0j -0.0102921-0j 7.21337e-05-0j -0.0014846-0j 0.0806733-0j -0.00183216-0j -0.000215034-0j 0.0289771-0j 0.00241477-0j -1.42161e-06-0j 0.00080919-0j -0.00593308-0j -0.0092951-0j -0.00134078-0j 8.92049e-05-0j 0.0705448-0j -0.000494423-0j -0.000188037-0j -0.00174114-0j 0.0168044-0j 0.0125581-0j -2.09295e-05-0j 0.0036702-0j 0.000196942-0j -9.1407e-08-0j 
-7.21337e-05-0j 0.001632-0j -9.01672e-06-0j -6.01114e-06-0j -0.0176401-0j 0.000215034-0j -5.31315e-07-0j 0.0781087-0j -0.00180039-0j 0.0285221-0j 0.0053996-0j -6.74325e-05-0j 0.0015043-0j -8.14325e-06-0j -0.0159313-0j -7.43374e-06-0j 0.000188037-0j 0.000125358-0j 0.0683022-0j -7.58703e-07-0j -0.00209913-0j 1.10802e-05-0j 0.0235148-0j 0.00697106-0j 0.00469693-0j 0.000522157-0j 
0.00428183-0j 0.000677017-0j -0.102487-0j 0.000356819-0j -0.0147928-0j 8.92049e-05-0j 3.15387e-05-0j 7.43374e-06-0j 7.88467e-06-0j 6.57056e-07-0j 2.4487e-08-0j 7.92248e-05-0j 1.23513e-05-0j 9.5673e-06-0j 1.38092e-06-0j -0.00167236-0j -0.000295634-0j 1.02928e-06-0j -2.46362e-05-0j 8.91381e-07-0j 1.81952e-07-0j 9.09761e-08-0j 1.07216e-08-0j 1.31313e-08-0j 8.4762e-10-0j 2.66975e-11-0j 
-0.000713639-0j 0.00530671-0j -8.92049e-05-0j 0.0171002-0j 0.00122396-0j -0.100178-0j -5.25645e-06-0j -0.0253996-0j 0.00012492-0j 2.09295e-05-0j 1.17203e-06-0j -1.32041e-05-0j 9.68142e-05-0j -1.59455e-06-0j 2.18785e-05-0j 0.000208549-0j 1.21018e-05-0j -0.00231986-0j 3.06833e-06-0j 2.12849e-05-0j -0.000413015-0j 7.13104e-07-0j -4.89303e-05-0j 3.1316e-07-0j 3.37848e-08-0j 1.49155e-09-0j 
-0.000437013-0j -6.90978e-05-0j 0.0104469-0j -3.64177e-05-0j -7.88467e-06-0j 0.00174114-0j -0.176587-0j -7.58703e-07-0j -0.0145614-0j 1.28247e-05-0j -2.4992e-09-0j -8.08584e-06-0j -1.2606e-06-0j 0.000186739-0j -1.4094e-07-0j -8.91381e-07-0j 3.01349e-05-0j -1.0505e-07-0j -1.31313e-08-0j -0.0016462-0j 3.55144e-06-0j -0.000509381-0j -1.09427e-09-0j -2.42509e-05-0j 1.65443e-08-0j -2.7248e-12-0j 
8.92049e-05-0j -0.00134078-0j -0.00106065-0j 7.43374e-06-0j 0.00711808-0j 0.0168044-0j -0.000188813-0j 0.00209913-0j -0.138934-0j -0.035546-0j 3.50121e-05-0j 1.65052e-06-0j -2.44609e-05-0j -1.89593e-05-0j 0.000127237-0j 1.81952e-07-0j 0.000290842-0j -2.03841e-06-0j 3.63308e-05-0j -3.55144e-06-0j -0.00159469-0j 5.17744e-05-0j 6.09783e-06-0j -0.000709123-0j -7.66934e-05-0j 5.35164e-08-0j 
-5.25645e-06-0j 0.000158844-0j -6.57056e-07-0j -4.38037e-07-0j -0.00258903-0j 2.09295e-05-0j -3.87174e-08-0j 0.0235148-0j -0.000264242-0j -0.0945761-0j -0.0560051-0j -9.72576e-08-0j 2.8979e-06-0j -1.1745e-08-0j -4.62793e-05-0j -1.07216e-08-0j 3.62238e-07-0j 2.41492e-07-0j 0.000406983-0j -1.09427e-09-0j -6.09783e-06-0j 2.13451e-08-0j -0.00154327-0j 4.15375e-05-0j -0.000637127-0j -0.000143479-0j 
0.00270637-0j -0.102595-0j 0.000338296-0j 0.000225531-0j 4.88288e-05-0j 5.63827e-05-0j 1.99343e-05-0j 4.69856e-06-0j 4.98357e-06-0j 4.15298e-07-0j 1.54772e-08-0j 0.00252999-0j 0.000394431-0j -0.0732511-0j -0.0105729-0j 0.000278905-0j 4.93038e-05-0j 3.28692e-05-0j 4.10865e-06-0j 2.84656e-05-0j 5.81051e-06-0j 2.90526e-06-0j 3.42388e-07-0j 4.19338e-07-0j 2.70681e-08-0j 8.52566e-10-0j 
-0.00273441-0j 0.103658-0j -0.000341802-0j -0.000227868-0j -4.93348e-05-0j -5.6967e-05-0j -2.01409e-05-0j -4.74725e-06-0j -5.03522e-06-0j -4.19601e-07-0j -1.56376e-08-0j 0.00245502-0j 0.000382743-0j -0.0710805-0j -0.0102596-0j 0.00027064-0j 4.78429e-05-0j 3.18952e-05-0j 3.98691e-06-0j 2.76221e-05-0j 5.63834e-06-0j 2.81917e-06-0j 3.32242e-07-0j 4.06912e-07-0j 2.6266e-08-0j 8.27303e-10-0j 
-0.000436738-0j 0.00324764-0j 0.0104535-0j -3.63949e-05-0j -0.14343-0j 0.000427914-0j -3.21688e-06-0j 0.000108495-0j 7.64495e-05-0j 1.28086e-05-0j 7.17271e-07-0j -0.000408275-0j 0.00299352-0j -4.93038e-05-0j 0.000676487-0j 0.00861828-0j -0.071651-0j 0.00024946-0j -0.0181667-0j -4.59361e-06-0j 8.9135e-05-0j 2.20493e-05-0j 1.05599e-05-0j 9.68298e-06-0j 1.04464e-06-0j 4.61191e-08-0j 
