-0.02065+0.00412459j 0.0689939+0.10349j 0.0155173-0.0879698j -0.00409604+0.0288532j 0.0152428-0.0192838j -0.0223017+0.0437331j -0.0140373-0.00412672j -0.0551247+0.0354432j -0.0105078-0.0175538j -0.0151903+0.0112698j 0.0109327+0.00588557j -0.00434087+0.014136j -0.0114088+0.00681066j -0.00533979-0.00825107j -0.00191024-0.0312056j -0.00340497+0.0125395j -0.0553666-0.00204948j 0.0103977-0.0616967j 0.0470393+0.000528171j -0.0466279+0.00840916j 0.0212446-0.0435156j -0.00672921+0.0063563j -0.0183748+0.00134595j 0.0297045-0.0223749j 0.0549253+0.0599817j 0.048455-0.0349909j 0.0144141+0.0475978j -0.0131698+0.0190708j -0.0478103-0.0425489j 0.0363551+0.04014j -0.00892675-0.0695309j 0.0217015-0.00781361j 0.00644258-0.032725j -0.0205666+0.0472343j -0.0232337+0.0276424j 0.00409791+0.0083986j 0.0229611-0.0348106j -0.00873969-0.0148801j -0.00319565-0.00528743j 0.0321394-0.0132981j 0.0355902-0.0241568j -0.00641041+0.00622509j -0.00722972-0.0209624j 0.0314061+0.0141965j -0.05897-0.0159413j -0.00995548+0.013745j -0.0125394-0.00953602j -0.0185007+0.0036679j -0.015505-0.00253327j -0.0159585-0.0161032j -0.0412208-0.0267912j -0.0145551+0.00428672j -0.0127519-0.00329034j -0.0437324-0.0297917j 0.0455188+0.020309j 0.0295523+0.0244576j -0.0584303-0.0254881j 0.00750585-0.00134033j -0.0766516-0.0216389j -0.0391581+0.0328432j -0.0122687+0.0486759j -0.016204+0.157119j 0.0428966-0.0308636j -0.154066+0.0258654j 0.0474246+0.0761346j 0.0760062+0.0668149j -0.0961299+0.0143348j -0.0162504-0.0124415j -0.00407888-0.0532705j 0.131178+0.0381764j -0.0180602-0.0563807j -0.146143-0.12218j 
-0.0722927-0.10413j -0.0207806+0.00712198j -0.00322365+0.023958j -0.0194603+0.100317j -0.015715+0.0178545j 0.0211109-0.00508202j -0.0171979+0.0132669j 0.00878244+0.0174649j -0.0131961+0.0315029j -0.0254005+0.0218401j 0.0130447+0.0130693j -0.00966834+0.00956485j -0.047716-0.00541145j -0.0293449-0.000710193j -0.018156-0.00360439j -0.00188648+0.0268352j 0.0158075+0.018818j -0.0416042-0.00969134j -0.00884557-0.032827j 0.0124925+0.0607708j -0.0494267+0.00734986j 0.0119706-0.0109948j -0.0131479+0.0221419j 0.0146148-0.0242906j 0.0491015-0.0663301j -0.0373629-0.0260491j 0.0452683+0.0247074j 0.0746468+0.0208804j -0.0453703-0.021399j -0.00890427-0.0223648j -0.0103507+0.028714j -0.0054066-0.071978j -0.00845383+0.0318954j -0.00223418+0.0220573j -0.0204813+0.00783845j -0.0267841+0.00958674j 0.005316-0.0283232j -0.0595534+0.0373811j 0.0246326-0.00572973j -0.0272391+0.00485182j -0.027556+0.0138504j 0.00698239+0.00794481j -0.00743351+0.00580438j 0.0207218-0.0192268j 0.0198376+0.00936131j 0.0658942-0.0269922j -0.00701361-0.00164286j -0.0014815+0.0189262j -0.0076174+0.00605445j 0.0165213-0.00734034j -0.0716082-0.004938j -0.0115267+0.028879j -0.0225463-0.0227317j -0.0233515-0.0245995j 0.0360193+0.000400467j 0.049474+0.0269994j -0.0158991+0.0540458j 0.00837088-0.0239552j 0.0214097+0.0641097j 0.0532011+0.0621j 0.0491346+0.073262j 0.103068-0.0337893j -0.0881425-0.021584j -0.0135547+0.134165j 0.00414907-0.0509845j 0.123682-0.0556232j 0.0759461+0.0419584j -0.0157559-0.0627157j -0.124604-0.0105625j 0.0267268-0.0713111j -0.143854-0.113194j 0.00846842+0.0602417j 
-0.120687-0.0220258j -0.0856188-0.0112692j 0.0157755+0.0288324j 0.0568403-0.0137711j -0.0171169-0.0519856j 0.00333965+0.0736223j 0.0656111+0.0490322j 0.0222046+0.0447239j -0.131312+0.0818206j 0.00609465+0.0424824j 0.0489889-0.0904977j 0.0441443-0.0113449j 0.0382609-0.0145893j 0.069585-0.153415j -0.043439+0.00410949j -0.0106724+0.0463151j 0.00348916-0.0498121j -0.106965-0.0507389j 0.0075873-0.0100002j 0.00340704-0.0804087j -0.0653861-0.0259348j -0.0493717+0.126073j 0.102325+0.0364098j 0.052939-0.0559741j -0.140569-0.0913303j 0.10579+0.0276368j -0.0717868-0.067358j 0.128878+5.18547e-05j -0.0097641-0.058717j 0.0705194+0.0636989j -0.0189481-0.143054j -0.121908+0.214564j -0.132765+0.130408j 0.044699-0.10513j 0.0150617-0.034631j -0.00509363-0.0665287j 0.0234895+0.00662827j -0.0624075+0.0373712j -0.0195874+0.0337617j -0.0298071-0.01776j -0.00434151+0.0130619j -0.00803003-0.0336685j 0.0221422+0.0272661j 0.046281-0.0200157j 0.00352433+0.0445207j 0.0956764-0.0257561j -0.0210596-0.0197972j -0.0617216+0.0427888j 0.0120751+0.00205922j 0.00464135+0.0986882j -0.0527963+0.0803805j -0.0264715+0.000730968j -0.0341413+0.0249111j -0.0136016-0.0829033j -0.00661149-0.00280763j -0.0746116-0.0326641j -0.0566118+0.0326655j 0.0148568-0.0608636j -0.0326532-0.068227j -0.0513944-0.0557003j -0.00894509-0.027468j -0.0106585+0.0174348j -0.0838477+0.115995j 0.0498362-0.0116334j 0.0362767-0.0352502j -0.0221795-0.0046747j 0.0110527+0.0244814j 0.132182+0.0966685j 0.021845-0.0350753j 0.0478992+0.118206j -0.242957+0.212525j -0.0982743-0.188385j 
0.0748579+0.0123897j -0.134679+0.00326538j -0.00288182-0.0375935j 0.0717556-0.0572892j 0.0732975-0.0360338j 0.0523154+0.105675j -0.0146377+0.0474894j -0.0258718+0.0427351j 0.0257918-0.013491j 0.0334179+0.0036154j -0.027809-0.0514814j 0.0490451+0.0203268j 0.0134618+0.0286013j -0.0652896+0.0220446j -0.00954415+0.0506094j 0.126948+0.0964552j -0.0351051-0.126438j -0.0798672+0.0486407j -0.0419879+0.0269052j 0.0323251-0.00887058j 0.0567581+0.0933657j 0.0498146+0.0597968j -0.0828114-0.160383j 0.119088-0.0676153j -0.0824977+0.120068j -0.0624593+0.0715698j -0.129505+0.149424j 0.0607961+0.0489657j 0.0387978+0.0485297j 0.147907-0.00461977j 0.181319-0.170535j 0.125648-0.172396j -0.0050435-0.124588j 0.135289-0.125897j 0.0583697-0.00259133j 0.0178775-0.0230689j -0.0250927+0.0912454j -0.0451278+0.0455479j -0.0665633+0.0538475j -0.0343954+0.0399685j -0.0785243+0.032465j 0.0313157-0.0801889j -0.0181771-0.0017428j -0.0394486+0.0434326j -0.0125214-0.00800162j 0.0034314-0.0266952j -0.0319201+0.00936868j 0.00735306-0.0133883j 0.0177391-0.0161638j 0.029041+0.0509559j 0.0537552-0.0607442j 0.0231125-0.023033j -0.0209976+0.0310545j -0.0547966+0.081644j -0.0122102+0.00622115j 0.0190337+0.045088j 0.0873666+0.00828656j -0.0419915+0.00948216j -0.0131324+0.0187406j -0.0204754+0.00978325j -0.055316-0.0378536j 0.0416643+0.044324j 0.0853876+0.144579j 0.029074+0.0178217j 0.0695404+0.00843691j 0.0136674+0.0669989j -0.0079329-0.0546803j 0.00331594-0.0540063j 0.0216966+0.00307529j 0.140847-0.114851j -0.0914383-0.153994j 0.211549-0.205679j 
-0.0527928+0.00960428j 0.0337135-0.0496936j 0.147373+0.0998942j -0.0444963-0.0374675j -0.0921791+0.0133261j -0.257739-0.0840049j 0.153141-0.15617j -0.113647-0.0484021j -0.269931+0.0576323j -0.137379+0.0233673j -0.180112-0.0245884j 0.106184+0.0484244j -0.0574104+0.0273009j 0.0700367-0.00925426j -0.110891+0.0283259j 0.0332077-0.0219418j 0.136723+0.00650352j -0.258201+0.125596j -0.0834221-0.0194127j 0.0478941-0.0578018j 0.0310976-0.0200859j -0.0199895+0.00239835j 0.248119+0.00104585j 0.0610912-0.0663297j -0.101193+0.0711448j 0.105289+0.0191298j -0.0251659+0.0462904j 0.0227523-0.0198605j 0.306893-0.0401193j 0.114657-0.214832j 0.145732+0.0100123j -0.0734468-0.0720682j -0.0376496+0.128522j -0.00430482+0.0387362j -0.01387-0.00532586j 0.0066867+0.0560085j -0.0138257-0.0640432j -0.0144831+0.0108526j 0.0405764-0.0595175j -0.0081659-0.0119188j -0.0104739+0.0167383j 0.00498831+0.0750989j 0.00141638+0.043799j -0.022831-0.0450433j 0.0721236+0.0304652j -0.0319757+0.0134577j 0.0196182+0.00557503j 0.0411182-0.0254169j 0.00427721+0.0137188j 0.00242649-0.011871j 0.00557829+0.0190031j -0.0210218-0.0271759j 0.0209872-0.0225939j 0.00435169+0.00560139j -0.0099127-0.0349234j -0.036166-0.0301555j -0.00533131+0.0490169j -0.0157313-0.0209361j 0.0547812+0.0167017j 6.33561e-05-0.00774622j -0.0429007+0.0245019j 0.032504+0.00888924j 0.0092465-0.00945987j -0.00486558-0.0177541j 0.00575389-0.0460414j 0.0290095+0.0404306j -0.00357993-0.0257532j -0.000867206-0.0290287j 0.109513-0.0774143j -0.0724643-0.117585j 0.0577257-0.0313623j 0.023016+0.094428j 
0.0660017+0.0444394j -0.00487124-0.0064808j -0.0783977+0.0115026j -0.0840132-0.110098j 0.0707242-0.0296865j 0.04786-0.0189192j -0.101988-0.17054j -0.0671876+0.0798069j 0.0811965+0.067185j 0.112461+0.0953926j 0.112472-0.224642j 0.216091+0.0526756j 0.0137735+0.0295117j -0.0114695+0.023165j 0.0682345+3.44868e-06j 0.125606+0.107447j -0.126108-0.1281j 0.250511-0.110305j -0.082954-0.042445j -0.00547464-0.195109j 0.136703-0.0273411j 0.0781204-0.0517604j 0.00769664-0.00834293j 0.11232+0.090134j 0.0930085-0.0017179j 0.148626+0.0895765j -0.02059+0.0213949j -0.193634+0.089317j 0.0809165+0.151168j -0.0148726+0.100069j 0.0399796-0.00965122j 0.0744185+0.128371j 0.0518346+0.0886042j -0.0142369-0.0924814j 0.0409654-0.0256591j 0.0119087-0.0252779j -0.0422019-0.00106942j 0.0869239+0.0439195j 0.0114298-0.0114107j -0.0155223+0.00372925j -0.0222526+0.00589489j -0.034135+0.0224831j 0.0145099+0.0240946j -0.00845143-0.0103105j 0.0626129-0.00878056j -0.0343812-0.00320453j 0.027469+0.0195235j -0.0367374+0.00392049j 0.0293349-0.0216763j -0.0575088+0.0201361j 0.016412+0.0713018j 0.0146032-0.00221713j 0.0334519+0.00124722j -0.0346522-0.0129183j -0.0244015+0.0116064j -0.0325352-0.0576963j 0.0116514-0.0173157j -0.0340575-0.0126856j 0.0114981+0.00442795j -0.0349737-0.0597197j -0.0126716+0.0196607j -0.0260978-0.0301972j 0.00324335-0.0412039j -0.0210509+0.0408794j 0.00477812+0.0178862j 0.00120825-0.0101811j -0.0395835+0.0448842j -0.0405748+0.046981j 0.0167007+0.0483874j -0.0353998-0.0100508j 0.0456932+0.0929543j -0.0571493+0.0835605j 
0.0316552+0.00410965j -0.110584-0.0198911j -0.0465681+0.0987723j -0.0241186-0.0217381j 0.0527761+0.0298641j 0.187087-0.0145578j -0.100605-0.097343j 0.00309555-0.0479808j 0.108225-0.127689j 0.079581+0.0138934j 0.0759162-0.0266834j 0.0487407+0.110181j 0.185725-0.0414674j -0.0665065+0.118997j -0.0333208+0.0800139j -0.0147764-0.0136197j 0.0218082+0.111798j 0.0562905+0.0357087j 0.0170145-0.144954j 0.194581+0.0197343j 0.0573165+0.082006j 0.089275+0.0974219j 0.0592278+0.173089j -0.130386+0.0181377j -0.11602+0.0181405j -0.00537107+0.149335j -0.0943507-0.0334423j -0.00888959-0.0767138j 0.00272913+0.100681j -0.170855-0.144559j 0.0638934+0.0639714j -0.0414009-0.051842j 0.0069139+0.0764502j 0.0559753+0.0444029j 0.0193074+0.0427784j -0.017539+0.0330447j -0.0177112-0.0315302j -0.0327865+0.025553j -0.0361908-0.00621394j -0.0592991-0.0254733j -0.0310333-0.0229504j 0.00164561+0.0117369j 0.0104489-0.000637256j -0.0493897+0.00887595j 0.00795902+0.0968382j 0.0204618-0.0236265j -0.00262601+0.0301136j -0.0033454+0.0124077j 0.0389034+0.00841911j -0.0141132-0.0479358j -0.0101905-0.0336959j -0.00562331+0.0128695j 0.00776245+0.0142764j -0.0386576-0.00518125j -0.0352484-0.00401212j -0.010617-0.000968562j 0.0468701-0.0124957j -0.0110438-0.0132529j 0.000565453+0.0593402j 0.0513276+0.0215124j -0.0145325-0.0218902j 0.025163+0.0162078j -0.00745491-0.0389063j 0.0201425-0.00332372j -0.0239239-0.0182083j -0.0241842+0.0299614j -0.01254-0.0105321j 0.00770619-0.019472j -0.00745504-0.0181577j 0.0101016-0.0561384j 0.00672549-0.0576316j 0.0425993+0.0263375j 
-0.0147157-0.0757765j 0.0188901+0.0375475j 0.181398-0.0416917j 0.219926+0.0614279j -0.0168693+0.0476824j -0.0302368-0.0543441j 0.0760104-0.0416854j -0.0344808-0.00553045j -0.283697-0.0570872j -0.0723809-0.0471611j -0.0383355-0.0507654j 0.0244694-0.105233j -0.0388318-0.145185j -0.0826741+0.0405028j 0.0870746+0.0901103j -0.0583813-0.0700584j 0.119307-0.0285075j -0.096536-0.0909957j 0.00174951-0.0161833j 0.0280039+0.023438j 0.0261336-0.00658235j 0.166465-0.11187j -0.15357+0.0459567j -0.137956+0.206533j 0.0300375+0.129055j 0.0330364+0.024288j -0.117107+0.0687317j 0.0334184-0.0317524j -0.0923119-0.0835822j -0.0885631+0.22634j -0.104502+0.0565026j -0.0542512+0.0913615j -0.00578293-0.0674006j 0.0814435+0.0508799j -0.0263253+0.0354451j -0.057518+0.101296j -0.0309047+0.0800092j -0.0499881-0.0221308j 0.0375808+0.00444054j -0.0246145+0.01391j 0.0319283-0.00140069j -0.0166031+0.000917823j 0.00324465-0.0311556j 0.00942756-0.0185844j 0.00919569+0.00361748j -0.0167734-0.00923415j -0.0110428-0.00911547j 0.0162697+0.0392885j 0.0414549-0.0193783j 0.0154631-0.0280023j -0.0107247+0.00395431j -0.00403557-0.0333367j -0.0337436+0.0375823j -0.00447783-0.00693243j -0.00783747+0.0265735j 0.017836+0.00839201j -0.00528056-0.0727904j 0.00765926-0.00785728j -0.036634+0.00535511j 0.0311408+0.012573j -0.0172432+0.0292942j -0.0404831-0.00659864j 0.0374706-0.00880558j 0.0149792+0.00777737j -0.03779+0.0090534j -0.0161554-0.0218867j 0.00746215+0.00978706j 0.0443884-0.0254015j -0.119851+0.0461916j 0.0213965+0.0864497j -0.018053-0.0578959j 0.0380634-0.019541j 
-0.0515935-0.000891659j -0.0442391-0.00286101j 0.00131375+0.0314217j -0.0167886+0.0610124j 0.032225+0.0184237j 0.0264399-0.0126382j -0.096353-0.0394462j -0.0266845+0.0609133j -0.0101837-0.0723478j -0.0240561+0.158257j 0.0229123+0.0202215j 0.0414737+0.0459442j 0.0579407-0.0741134j -0.0200729+0.0702931j 0.0465735+0.00584146j -0.0707836+0.0361364j 0.0211606+0.0468966j -0.0472564+0.0775742j -0.128214-0.227002j -0.0359098+0.0341241j 0.0437884-0.0489616j 0.0361523-0.0338789j 0.0790696-0.0202123j 0.122408-0.0822118j 0.0882134+0.0399377j 0.11654-0.144134j 0.00630978+0.195795j -0.0150643+0.000686336j -0.0466202+0.0364977j 0.0749956-0.147713j 0.0137124-0.0370023j 0.0946643-0.127981j -0.000218795-0.0332463j 0.00533992+0.0452423j 0.0137095+0.0184055j 0.011266-0.014571j 0.0315385+0.0129371j 0.0158061-0.0573986j -0.012595+0.000645043j 0.023723-0.0481447j -0.000853029+0.0075014j -0.00294326-0.0219368j -0.0123266+0.0214943j -0.0222608+0.0380632j -0.0188618+7.30164e-05j 0.0365158+0.00929341j 0.00319522+0.0181781j -0.000575115-0.00812621j 0.00417015-0.0316291j -0.0115721-0.0220901j -0.0339798-0.0298995j -0.0446913-0.0414023j 0.0148608+0.0445019j -0.048853-0.0399669j -0.0268675-0.00290512j -0.0388591-0.00881347j 0.0127891+0.0287273j -0.0332-0.0435662j 0.015972+0.0229481j -0.0206128-0.0247934j -0.0183277+0.0293265j -0.0221447+0.0487997j 0.0040051+0.00979356j -0.00825469+0.0274428j 0.0224824-0.0281015j -0.00371438+0.0252314j -0.0124017-0.0353267j 0.0169612+0.0057853j 0.0714582-0.00274122j -0.00150898-0.0280884j -0.0250032+0.0386204j 0.0124414-0.0498048j 
0.0231312+0.0035423j 0.0452249+0.0161615j -0.00127403-0.127281j 0.0414611-0.0520689j 0.0491621-0.0196332j -0.0383674+0.072979j -0.11727+0.110012j 0.158932+0.0496208j 0.0497403-0.0664159j 0.0698631+0.0510601j -0.0680843+0.314976j -0.153771-0.0615012j 0.0064585-0.0952432j 0.0769218+0.139006j 0.128709-0.113539j -0.203234-0.0217717j -0.118184+0.157826j -0.0439366+0.137607j 0.0597261-0.0384483j 0.0753431+0.11623j 0.109868-0.172018j -0.174276+0.0622187j 0.1401+0.119541j -0.0163606+0.105663j -0.158954+0.16857j 0.130026+0.0318993j -0.198552+0.0321793j -0.0920194-0.0835786j 0.0707569-0.0313123j 0.0186706-0.0740149j -0.0411739-0.0355503j 0.0625705+0.00897751j 0.0830453-0.00738091j -0.0159516-0.0811915j 0.0366644-0.0161127j 0.0268825-0.00482383j -0.00552425+0.0257583j 0.0382889+0.00412592j -0.0176694+0.0386918j 0.0495139-0.0223141j -0.00941726-0.00131641j 0.00711971-0.0210714j -0.0201193+0.00926612j -0.0206082+0.0162298j 0.0508934-0.010865j -0.0214105-0.0220373j -0.0261278+0.0448966j 0.0148001-0.0173378j 0.0168864-0.0124051j -0.008109-0.0193801j 0.0105471-0.0125129j -0.0257211-0.00444724j -0.0142562+0.0463607j 0.00697177-0.0236002j -0.00179839+0.000725413j -0.018009+0.00178577j -0.0287591+0.0198066j 0.00643249+0.000294136j -0.00067488+0.010937j 0.0140038-0.0134269j -0.0171227-0.0145103j 0.0112584+0.0139645j -0.0065468-0.00543904j 0.020663-0.0453399j -0.00293617-0.0136288j -0.00366318-0.0210641j 0.00240061-0.0112806j 0.0287009+0.00465353j -0.0116663-0.0159047j -0.0290852-0.0242655j -0.0167713+0.0278608j 0.00240078+0.0119281j 
-0.0564211+0.0522822j 0.0129017-0.0180613j -0.117939+0.0615886j -0.128124-0.000143465j 0.00735695-0.0270389j 0.132852+0.0113485j -0.0404307-0.119356j -0.156921+0.00834986j -0.0467033-0.0353226j 0.00529-0.00246153j -0.00745806-0.0207006j 0.0138659+0.00163162j 0.0458181+0.186329j -0.152939-0.0772602j -0.0821652+0.0654531j 0.012458+0.0236903j -0.0157175-0.0657953j -0.0692708-0.0422661j 0.187155+0.14071j 0.148284+0.02246j -0.0542956-0.0979112j -0.0681942+0.1075j -0.0850156-0.00054268j -0.0528892+0.0271535j -0.0502571+0.245859j 0.0283842+0.18145j -0.0548302-0.100045j -0.0031214+0.0997338j -0.0179708-0.0780244j 0.0595556-0.0790026j 0.151388-0.0954583j -0.0128532+0.00361696j -0.0907988+0.0232879j -0.0095734-0.0101054j 0.00314746-0.0315155j -0.01013-0.0580217j 0.0522116+0.00661078j 0.0316127-0.00301278j 0.0120619+0.0158545j -0.026-0.041751j 0.027976+0.0544414j -0.00132238+0.0427551j 0.0245188-0.0149313j -0.0492261-0.01293j 0.0012871-0.0368243j -0.022328+0.0264854j 0.0206408-0.0080719j 0.00719506+0.00691561j 0.0639705+0.0129789j -0.002314+0.00034571j -0.00544717-0.0219879j -0.0176029+0.000573627j -0.0647049+0.0125721j 0.0207813+0.0118203j -0.0278862-0.00823124j -0.0122853-0.012964j -0.039356-0.00666936j 0.0481056+0.0321591j -0.028819-0.017517j 0.0396387+0.00491667j 0.0161047+0.00684384j -0.00139282+0.00502362j -0.0230925-0.0264456j 0.0228696-0.0461151j 0.0248066-0.00624933j -0.012266-0.0130905j 0.00469979+0.0034328j 0.00226449+0.0504988j 0.0174852-0.0482731j -0.0631318-0.00819096j 0.0120146+0.0366923j -0.0394605+0.0633961j 
