-0.407689-0j -0.00642271-0j -0.356728-0j -0.237818-0j 0.350164-0j -0.00592387-0j -0.147143-0j 0.475179-0j 0.250169-0j 0.442072-0j 0.192581-0j -0.0541384-0j -0.000840966-0j -0.0457649-0j 0.0449228-0j -0.0417774-0j -0.000735845-0j -0.000490563-0j 0.0590253-0j -0.0298472-0j 0.0414337-0j -0.000303521-0j 0.0517724-0j 0.0421697-0j 0.0382472-0j 0.0126643-0j -0.0355849-0j -0.00513624-0j -0.000547093-0j -7.89661e-05-0j -0.0293561-0j 0.0288159-0j -0.00423718-0j 0.00415922-0j -0.0262569-0j -0.0179768-0j -0.00378985-0j -0.00259473-0j -0.000462474-0j 0.0370971-0j -6.67524e-05-0j -0.000422179-0j 0.0053545-0j -0.0181631-0j -6.09364e-05-0j -0.0171244-0j 0.0252139-0j -0.00262162-0j -0.00247169-0j 0.0168093-0j 0.00363932-0j 0.0315054-0j -0.00030162-0j 0.00242621-0j 0.00454741-0j -0.00529758-0j -4.3535e-05-0j 0.0342158-0j 0.0104002-0j -0.00076464-0j 0.0219437-0j 0.00493862-0j 0.00150114-0j 0.0225085-0j 0.0031673-0j 0.00324883-0j 0.013867-0j 0.00200153-0j 0.00370995-0j 0.000535485-0j 
0.0413489-0j 0.0457649-0j -0.0355999-0j 0.0241202-0j 0.0365552-0j -0.0415333-0j -0.0738999-0j 0.0246227-0j -0.0775111-0j -0.0149901-0j 0.0039743-0j -0.259732-0j -0.28345-0j 0.216038-0j -0.221835-0j -0.20043-0j 0.24404-0j -0.165346-0j -0.144678-0j 0.424987-0j 0.201323-0j 0.50659-0j -0.0843953-0j 0.306772-0j 0.0459551-0j -0.0102973-0j 0.00360912-0j -0.0498038-0j 0.0038983-0j -0.0537942-0j -0.00292961-0j 0.00300823-0j 0.0404269-0j -0.0415118-0j 0.00266305-0j 0.00182326-0j -0.0367484-0j -0.0251599-0j -0.00324249-0j 0.00192229-0j 0.0447444-0j 0.00300823-0j -0.0265264-0j -0.00546737-0j -0.0415118-0j -0.00170894-0j -0.00258998-0j 0.0754464-0j 0.0235824-0j 0.0017548-0j 0.0357401-0j 0.00108573-0j -0.0063786-0j -0.0242152-0j -0.0149824-0j -0.00372659-0j 0.0880209-0j -0.00174454-0j -0.00537639-0j 0.0514248-0j 0.000566477-0j 0.0240737-0j 0.074191-0j -0.00230216-0j -0.00781705-0j 0.0317684-0j -0.000281583-0j 0.00388568-0j 5.46422e-05-0j -0.00075403-0j 
-0.0417774-0j 0.0449228-0j -0.0365552-0j -0.0243702-0j 0.0369191-0j 0.0414337-0j -0.0150783-0j -0.0227835-0j 0.0263763-0j -0.0734939-0j -0.0735752-0j 0.262424-0j -0.278235-0j 0.221835-0j -0.224043-0j 0.202507-0j -0.243455-0j -0.162304-0j 0.133871-0j 0.144678-0j -0.206642-0j -0.10042-0j 0.407137-0j 0.0956419-0j 0.499112-0j 0.291439-0j -0.00364652-0j 0.0503199-0j 0.00382657-0j -0.0528044-0j -0.00300823-0j 0.00303817-0j 0.0415118-0j -0.041925-0j -0.00269064-0j -0.00184216-0j 0.0371293-0j 0.0254207-0j 0.00323472-0j -0.0017787-0j -0.0446372-0j 0.00295288-0j 0.024545-0j -0.00186125-0j -0.040748-0j -0.0017548-0j 0.0026584-0j 0.0256841-0j 0.0242152-0j 0.00177227-0j -0.0366843-0j -0.00523773-0j 0.00210964-0j -0.0244562-0j 0.0722776-0j -0.000542864-0j -0.0291118-0j -0.00164055-0j 0.00109653-0j 0.0074912-0j -0.00605374-0j 0.0226386-0j -0.0151315-0j -0.00374202-0j 0.0835381-0j 0.0516376-0j -0.00529786-0j 0.0731073-0j -0.00218873-0j 0.0302032-0j 
0.0237233-0j 0.0262569-0j 0.0207579-0j -0.0690461-0j 0.020973-0j -0.0483066-0j 0.00856219-0j -0.0281788-0j 0.0149838-0j 0.00874057-0j 0.00228019-0j 0.0031503-0j 0.00343798-0j 0.00266305-0j 0.00269064-0j -0.00484914-0j 0.00300823-0j -0.0100062-0j 0.0017548-0j -0.00346439-0j -0.00495016-0j 0.00124083-0j -0.00204184-0j 0.00125369-0j 0.000566477-0j 0.000124897-0j -0.199228-0j 0.000298876-0j -0.215191-0j 0.000322823-0j -0.164355-0j -0.166058-0j 0.000246561-0j 0.000249116-0j 0.293227-0j -0.100646-0j -0.000439891-0j 0.000150987-0j -0.181907-0j -0.106113-0j 0.000272892-0j 0.331235-0j 0.000159187-0j -0.101689-0j -0.00049691-0j 0.478351-0j -0.145301-0j 0.000152552-0j -0.000717609-0j 0.483308-0j 0.000217976-0j -0.0599335-0j 0.236646-0j -0.000725046-0j 8.99106e-05-0j -0.0296594-0j -0.000355009-0j 0.195223-0j -0.0599335-0j 4.44942e-05-0j 0.0623746-0j -0.000292868-0j 8.99106e-05-0j -0.0428186-0j -9.35727e-05-0j 6.42352e-05-0j -0.0157972-0j 2.36985e-05-0j -0.00301632-0j 4.525e-06-0j 
-0.00342416-0j -0.00378985-0j -0.00299614-0j 0.00996595-0j -0.00302719-0j 0.00697245-0j -0.00123585-0j 0.00406726-0j -0.00216273-0j -0.00126159-0j -0.000329117-0j 0.0434723-0j 0.047442-0j 0.0367484-0j 0.0371293-0j -0.0669152-0j 0.0415118-0j -0.138079-0j 0.0242152-0j -0.0478065-0j -0.0683093-0j 0.0171227-0j -0.0281761-0j 0.0173002-0j 0.00781705-0j 0.0017235-0j -0.000298876-0j -0.193007-0j -0.000322823-0j -0.208471-0j -0.000246561-0j -0.000249116-0j -0.159223-0j -0.160873-0j 0.000439891-0j -0.000150987-0j 0.284071-0j -0.0975036-0j -0.000272892-0j -0.000159187-0j -0.176227-0j 0.00049691-0j -0.102799-0j -0.000152552-0j 0.320892-0j 0.000717609-0j -0.000217976-0j -0.098514-0j 0.463414-0j 0.000725046-0j -0.140764-0j -8.99106e-05-0j 0.000355009-0j 0.468216-0j -0.058062-0j -4.44942e-05-0j 0.229256-0j 0.000292868-0j -8.99106e-05-0j -0.0287332-0j 9.35727e-05-0j 0.189127-0j -0.058062-0j -6.42352e-05-0j 0.0604269-0j -0.0414815-0j -2.36985e-05-0j -0.0153039-0j -4.525e-06-0j -0.00292213-0j 
-0.0293561-0j -0.000462474-0j 0.0252745-0j -0.0171244-0j 0.0252139-0j 0.000419712-0j 0.0524659-0j 0.0342158-0j -0.0534632-0j -0.0313213-0j 0.013867-0j -0.0038983-0j -6.05547e-05-0j 0.00324249-0j 0.00323472-0j -0.00300823-0j 5.21354e-05-0j -3.53236e-05-0j 0.00425019-0j 0.0063786-0j -0.00293562-0j 0.000108225-0j 0.00372793-0j -0.00901202-0j -0.00270985-0j 0.00091191-0j 0.246532-0j -0.000369841-0j 0.00379026-0j -5.68604e-06-0j -0.200116-0j -0.199637-0j 0.000300209-0j 0.000299489-0j 0.181907-0j 0.124543-0j -0.000272892-0j -0.000186837-0j -0.00315262-0j -0.257008-0j 4.72948e-06-0j 0.00292486-0j 0.000385557-0j -0.373465-0j -4.38779e-06-0j -0.116734-0j 0.17188-0j 0.000560262-0j 0.000175122-0j -0.116455-0j -0.000257849-0j -0.218269-0j -0.00620182-0j 0.000174702-0j 0.000327441-0j -0.254556-0j 9.30379e-06-0j 0.233244-0j 0.356796-0j 0.000381878-0j -0.152026-0j -0.000349907-0j -0.000535255-0j 0.462814-0j 0.000228065-0j -0.000694301-0j 0.0945294-0j -0.00014181-0j -0.0257025-0j 3.85582e-05-0j 
0.0171244-0j -0.0370971-0j 0.0149838-0j 0.00998922-0j 0.0138646-0j -0.0342158-0j 0.00618051-0j 0.0394832-0j 0.00990534-0j 0.00734135-0j -0.0728094-0j 0.00227401-0j -0.00485735-0j 0.00192229-0j 0.0017787-0j 0.0017548-0j -0.00425019-0j -0.00283346-0j 0.00490448-0j 0.00125369-0j 0.00164055-0j -0.00175311-0j 0.000859768-0j 0.00350393-0j -0.00529802-0j -0.00887326-0j -0.14381-0j 0.00021574-0j 0.304033-0j -0.000456102-0j -0.118638-0j -0.109776-0j 0.000177977-0j 0.000164682-0j -0.106113-0j -0.0726504-0j 0.000159187-0j 0.000108988-0j 0.257008-0j -0.296574-0j -0.000385557-0j 0.234615-0j 0.000444912-0j -0.0734032-0j -0.000351964-0j -0.0692052-0j -0.0960537-0j 0.000110118-0j 0.00010382-0j -0.0640358-0j 0.000144097-0j -0.0503392-0j 0.167617-0j 9.60648e-05-0j 7.55175e-05-0j -0.0214093-0j -0.000251455-0j -0.273539-0j -0.0396201-0j 3.21176e-05-0j 0.292457-0j 0.000410356-0j 5.94371e-05-0j -0.0359641-0j -0.000438736-0j 5.39523e-05-0j 0.504423-0j -0.000756722-0j 0.394662-0j -0.000592061-0j 
0.00423718-0j 6.67524e-05-0j -0.00364806-0j 0.00247169-0j -0.00363932-0j -6.05802e-05-0j -0.00757281-0j -0.00493862-0j 0.00771675-0j 0.00452084-0j -0.00200153-0j -0.0537942-0j -0.000835619-0j 0.0447444-0j 0.0446372-0j -0.0415118-0j 0.000719437-0j -0.000487444-0j 0.05865-0j 0.0880209-0j -0.0405098-0j 0.00149344-0j 0.0514432-0j -0.124361-0j -0.0373944-0j 0.0125838-0j 0.000369841-0j 0.238834-0j 5.68604e-06-0j 0.0036719-0j -0.000300209-0j -0.000299489-0j -0.193867-0j -0.193403-0j 0.000272892-0j 0.000186837-0j 0.176227-0j 0.120654-0j -4.72948e-06-0j -0.000385557-0j -0.00305418-0j 4.38779e-06-0j -0.248983-0j -0.000560262-0j 0.00283352-0j -0.000175122-0j 0.000257849-0j -0.361803-0j -0.113089-0j -0.000174702-0j 0.166513-0j -0.000327441-0j -9.30379e-06-0j -0.112818-0j -0.211454-0j -0.000381878-0j -0.00600816-0j 0.000349907-0j 0.000535255-0j -0.246608-0j -0.000228065-0j 0.225961-0j 0.345654-0j 0.000694301-0j -0.147279-0j 0.448362-0j 0.00014181-0j 0.0915776-0j -3.85582e-05-0j -0.0248999-0j 
-0.00247169-0j 0.0053545-0j -0.00216273-0j -0.00144182-0j -0.00200118-0j 0.00493862-0j -0.00089208-0j -0.0056989-0j -0.00142971-0j -0.00105963-0j 0.0105091-0j 0.03138-0j -0.0670286-0j 0.0265264-0j 0.024545-0j 0.0242152-0j -0.05865-0j -0.0391-0j 0.0676789-0j 0.0173002-0j 0.0226386-0j -0.0241919-0j 0.0118643-0j 0.0483522-0j -0.0731095-0j -0.122446-0j -0.00021574-0j -0.13932-0j 0.000456102-0j 0.294539-0j -0.000177977-0j -0.000164682-0j -0.114933-0j -0.106348-0j -0.000159187-0j -0.000108988-0j -0.102799-0j -0.0703818-0j 0.000385557-0j -0.000444912-0j 0.248983-0j 0.000351964-0j -0.287313-0j -0.000110118-0j 0.227289-0j -0.00010382-0j -0.000144097-0j -0.0711111-0j -0.0670442-0j -9.60648e-05-0j -0.0930544-0j -7.55175e-05-0j 0.000251455-0j -0.0620362-0j -0.0487673-0j -3.21176e-05-0j 0.162383-0j -0.000410356-0j -5.94371e-05-0j -0.0207408-0j 0.000438736-0j -0.264998-0j -0.038383-0j -5.39523e-05-0j 0.283325-0j -0.034841-0j 0.000756722-0j 0.488672-0j 0.000592061-0j 0.382338-0j 
0.0166698-0j 0.0184501-0j -0.0440222-0j 0.00972407-0j -0.0444784-0j 0.0170171-0j 0.00601646-0j 0.00992665-0j 0.0105288-0j 0.0061418-0j 0.00160224-0j 0.00221365-0j 0.00241579-0j 0.00187126-0j 0.00189065-0j -0.00515557-0j -0.0063797-0j 0.00140921-0j -0.00372149-0j 0.00122041-0j 0.00174381-0j 0.000871905-0j 0.000719285-0j 0.00088094-0j 0.000398051-0j 8.7762e-05-0j 0.00145502-0j 0.000210014-0j 0.0015716-0j 0.000226841-0j 0.00120033-0j 0.00121277-0j 0.000173253-0j 0.000175048-0j 0.00107361-0j -0.00517194-0j 0.000154962-0j -0.000746505-0j 0.00132852-0j 0.000774971-0j 0.000191755-0j -0.00366025-0j 0.000111857-0j -0.00224144-0j -0.000528311-0j 0.000700192-0j -0.00320272-0j -0.000323523-0j 0.000101064-0j 0.000707448-0j -0.000462273-0j -0.00132105-0j 0.000866443-0j 0.000102111-0j -0.000190678-0j 0.000216611-0j 0.00012506-0j 0.000714779-0j 0.000437711-0j 3.12651e-05-0j 0.000228375-0j 0.00010317-0j 6.31782e-05-0j 0.000312716-0j 3.29632e-05-0j 4.51367e-05-0j 0.000115371-0j 1.66524e-05-0j 2.2029e-05-0j 3.17962e-06-0j 
-0.00294684-0j -0.00326155-0j 0.0077821-0j -0.00171899-0j 0.00786275-0j -0.00300823-0j -0.00106357-0j -0.0017548-0j -0.00186125-0j -0.00108573-0j -0.000283239-0j 0.0185105-0j 0.0202008-0j 0.0156475-0j 0.0158096-0j -0.0431108-0j -0.0533469-0j 0.0117838-0j -0.031119-0j 0.0102051-0j 0.0145817-0j 0.00729086-0j 0.00601465-0j 0.00736641-0j 0.0033285-0j 0.000733865-0j 0.0247475-0j 0.00354939-0j 0.0267304-0j 0.00383378-0j 0.0204157-0j 0.0206272-0j 0.0029281-0j 0.00295844-0j 0.0182603-0j -0.0879664-0j 0.00261897-0j -0.0126165-0j 0.022596-0j 0.013181-0j 0.00324081-0j -0.0622549-0j 0.00189047-0j -0.0381232-0j -0.00892886-0j 0.0119091-0j -0.0544731-0j -0.00546779-0j 0.00170806-0j 0.0120326-0j -0.00781275-0j -0.022469-0j 0.0147368-0j 0.00172576-0j -0.0032226-0j 0.0036842-0j 0.00211361-0j 0.0121572-0j 0.00744476-0j 0.000528403-0j 0.0038843-0j 0.00174364-0j 0.00106776-0j 0.0053188-0j 0.000557102-0j 0.000762844-0j 0.00196228-0j 0.000281438-0j 0.000374678-0j 5.37379e-05-0j 
