-0.192254-0j -0.20981-0j -0.162518-0j -0.164202-0j 0.434426-0j 0.537575-0j -0.122389-0j 0.313585-0j -0.105992-0j -0.151449-0j -0.0757244-0j -0.0624694-0j -0.0765091-0j -0.0345705-0j -0.00762208-0j 
0.224296-0j 0.00484476-0j 0.189604-0j -0.183986-0j -0.336531-0j 0.00423917-0j -0.0138158-0j -0.242459-0j -0.24043-0j 0.329943-0j 0.00174857-0j 0.413893-0j -0.173221-0j -0.157338-0j -0.0521225-0j 
0.137353-0j 0.149895-0j -0.339419-0j 0.117312-0j 0.105992-0j -0.383415-0j 0.087439-0j 0.0765091-0j 0.0643302-0j -0.316301-0j 0.666431-0j 0.0446303-0j 0.046436-0j -0.0722005-0j 0.00544547-0j 
-0.196259-0j 0.205703-0j 0.159541-0j 0.167492-0j -0.151449-0j -0.173087-0j 0.119993-0j -0.096596-0j 0.316301-0j -0.148558-0j -0.362668-0j -0.298959-0j 0.201741-0j 0.353424-0j -0.214993-0j 
0.0809528-0j -0.258041-0j 0.0684318-0j 0.324134-0j 0.0624694-0j -0.225786-0j -0.150524-0j 0.0551753-0j 0.0446303-0j 0.298959-0j -0.0931319-0j -0.361984-0j 0.0394191-0j -0.270157-0j 0.641952-0j 
0.0248043-0j 0.0270693-0j -0.0820548-0j -0.0829051-0j 0.0191409-0j 0.0236857-0j 0.0157904-0j 0.0138166-0j 0.0136749-0j 0.0195397-0j 0.00976983-0j 0.0080597-0j 0.00987108-0j 0.00446023-0j 0.000983388-0j 
-0.0280194-0j -0.000605215-0j -0.0236857-0j 0.0229838-0j 0.063314-0j 0.00155068-0j -0.000353042-0j -0.0886912-0j -0.0154475-0j 0.0211987-0j -0.000218434-0j 0.0265924-0j 0.021639-0j 0.0196548-0j 0.00651122-0j 
-0.0228778-0j -0.0249669-0j 0.0185975-0j -0.0195397-0j 0.0343255-0j 0.0210082-0j 0.0711982-0j -0.0127435-0j -0.0716889-0j -0.0336967-0j 0.0440183-0j 0.0144535-0j 0.0266148-0j 0.00395603-0j -0.000907009-0j 
0.0231148-0j -0.024227-0j 0.0195397-0j -0.0197267-0j -0.0346812-0j -0.0211987-0j 0.0690884-0j 0.0113768-0j -0.0247775-0j 0.035376-0j -0.008744-0j -0.0684606-0j 0.00812798-0j 0.0432854-0j 0.0253213-0j 
0.020018-0j 0.000432387-0j -0.0494675-0j -0.0164204-0j 0.0154475-0j -0.00110599-0j 0.000252226-0j -0.021639-0j 0.00937559-0j 0.0442735-0j 0.00192238-0j -0.0189985-0j -0.0131335-0j 0.0410492-0j -0.00465184-0j 
-0.016514-0j 0.034974-0j 0.0134244-0j -0.0124627-0j -0.0127435-0j -0.0294286-0j 0.0204015-0j -0.0351568-0j 0.0266148-0j 0.0110538-0j -0.0616615-0j -0.00656572-0j 0.0734251-0j -0.0358725-0j 0.063048-0j 
0.00527631-0j -0.0224627-0j 0.00446023-0j 0.0469304-0j 0.00407161-0j -0.0196548-0j -0.0131032-0j -0.0369206-0j 0.0029089-0j 0.0432854-0j -0.00810721-0j -0.0318183-0j -0.0263774-0j 0.0463821-0j -0.00221569-0j 
0.016001-0j -0.0855604-0j 0.0135262-0j 0.0136663-0j 0.0123476-0j 0.0152794-0j 0.0101863-0j 0.008913-0j 0.00882158-0j 0.0126049-0j 0.00630244-0j 0.00519925-0j 0.00636775-0j 0.00287726-0j 0.000634375-0j 
-0.00230955-0j 0.0123496-0j -0.00195233-0j -0.00197256-0j -0.00178223-0j -0.00220539-0j -0.00147026-0j -0.00128648-0j -0.00127329-0j -0.00181936-0j -0.000909679-0j -0.000750447-0j -0.000919106-0j -0.000415296-0j -9.15642e-05-0j 
-0.0177099-0j -0.000382531-0j 0.058586-0j -0.0568499-0j -0.0136663-0j -0.000334715-0j -0.000223143-0j 0.019144-0j -0.0097637-0j 0.0133988-0j -0.000138063-0j 0.016808-0j 0.0136771-0j 0.012423-0j 0.00411547-0j 
0.0025562-0j 5.52136e-05-0j -0.00845615-0j 0.00820558-0j 0.00197256-0j 4.83119e-05-0j 3.2208e-05-0j -0.0027632-0j 0.00140927-0j -0.00193395-0j 1.99277e-05-0j -0.00242602-0j -0.00197412-0j -0.00179311-0j -0.000594017-0j 
-0.0140009-0j -0.0152794-0j 0.0113815-0j -0.011958-0j 0.0316371-0j -0.0376474-0j -0.008913-0j 0.0228369-0j 0.0225646-0j 0.0106063-0j 0.0269387-0j -0.00454934-0j 0.016288-0j 0.00242104-0j -0.000555078-0j 
-0.00933394-0j -0.0101863-0j -0.00789026-0j -0.00797203-0j 0.0352118-0j -0.008913-0j -0.038984-0j -0.00519925-0j 0.0251566-0j 0.0359454-0j -0.00367642-0j 0.0148267-0j -0.00371452-0j -0.0016784-0j -0.000370052-0j 
0.014146-0j -0.0148267-0j 0.011958-0j -0.0120725-0j -0.031965-0j 0.0379889-0j -0.00864888-0j -0.0203877-0j 0.00779887-0j -0.0111348-0j -0.00535122-0j 0.0215484-0j 0.00497422-0j 0.0264901-0j 0.0154963-0j 
0.00202086-0j 0.00220539-0j -0.00164277-0j 0.00172599-0j -0.00456642-0j 0.00543394-0j 0.00128648-0j -0.00329622-0j -0.00325691-0j -0.00153088-0j -0.00388826-0j 0.000656641-0j -0.00235096-0j -0.000349447-0j 8.01187e-05-0j 
0.00134724-0j 0.00147026-0j 0.00113886-0j 0.00115066-0j -0.00508239-0j 0.00128648-0j 0.00562686-0j 0.000750447-0j -0.00363104-0j -0.00518827-0j 0.000530646-0j -0.00214005-0j 0.000536145-0j 0.000242256-0j 5.34124e-05-0j 
-0.0020418-0j 0.00214004-0j -0.00172599-0j 0.00174251-0j 0.00461374-0j -0.00548322-0j 0.00124836-0j 0.00294271-0j -0.00112567-0j 0.00160717-0j 0.000772383-0j -0.00311025-0j -0.000717967-0j -0.00382352-0j -0.0022367-0j 
0.0163344-0j 0.00035282-0j -0.0132784-0j -0.0133988-0j -0.0245079-0j -0.000296878-0j -0.00100614-0j -0.0176571-0j 0.0511849-0j -0.0231066-0j -0.000622047-0j 0.0301418-0j 0.0368769-0j 0.0110187-0j -0.00379583-0j 
0.00577508-0j 0.00630244-0j -0.0238475-0j 0.00493244-0j 0.0044565-0j -0.0269387-0j 0.00367642-0j 0.00321687-0j 0.0392205-0j -0.0222233-0j 0.0166484-0j 0.00187651-0j 0.0283109-0j -0.0050728-0j 0.000228958-0j 
-0.00952839-0j 0.0201796-0j -0.00805464-0j -0.0071908-0j 0.0142963-0j 0.0176571-0j -0.0575462-0j -0.0202851-0j 0.0102138-0j 0.0128953-0j 0.00728319-0j 0.00736575-0j -0.0144923-0j 0.0215235-0j 0.0363779-0j 
-0.00235767-0j -5.09252e-05-0j 0.00191657-0j 0.00193395-0j 0.00353741-0j 4.28506e-05-0j 0.000145224-0j 0.00254858-0j -0.0073879-0j 0.00333515-0j 8.97847e-05-0j -0.0043506-0j -0.00532272-0j -0.00159041-0j 0.00054788-0j 
-0.0101064-0j 0.0105927-0j 0.0249744-0j 0.00862501-0j -0.00779887-0j -0.0270948-0j 0.00617906-0j -0.00497422-0j -0.0047334-0j -0.0232551-0j 0.0470947-0j -0.0153949-0j -0.00301902-0j 0.0553247-0j -0.0110711-0j 
-0.000833561-0j -0.000909679-0j 0.0034421-0j -0.000711936-0j -0.00064324-0j 0.00388826-0j -0.000530646-0j -0.000464315-0j -0.00566099-0j 0.00320765-0j -0.00240299-0j -0.000270851-0j -0.00408632-0j 0.000732196-0j -3.30473e-05-0j 
0.00137531-0j -0.00291267-0j 0.00116259-0j 0.0010379-0j -0.00206349-0j -0.00254858-0j 0.00830607-0j 0.0029279-0j -0.00147423-0j -0.00186128-0j -0.00105124-0j -0.00106315-0j 0.00209179-0j -0.00310665-0j -0.0052507-0j 
0.00145873-0j -0.00152892-0j -0.00360474-0j -0.00124491-0j 0.00112567-0j 0.0039108-0j -0.000891871-0j 0.000717967-0j 0.000683207-0j 0.00335659-0j -0.00679754-0j 0.00222207-0j 0.000435759-0j -0.00798543-0j 0.00159797-0j 
0.00589539-0j -0.0187919-0j -0.00479242-0j 0.0236051-0j 0.00454934-0j 0.0158122-0j -0.0109619-0j 0.00401814-0j -0.00950131-0j -0.0209367-0j 0.0331313-0j -0.0263615-0j -0.0083919-0j 0.0189197-0j 0.0467502-0j 
-0.00153796-0j 0.00819268-0j -0.00130008-0j -0.0237251-0j -0.00118681-0j 0.00716859-0j 0.00477906-0j 0.0369967-0j -0.000847896-0j -0.0218824-0j 0.00295689-0j -0.0153392-0j 0.0264317-0j -0.0386742-0j 0.0591525-0j 
-0.000850927-0j 0.00271237-0j 0.000691726-0j -0.00340711-0j -0.000656641-0j -0.0022823-0j 0.00158222-0j -0.000579969-0j 0.0013714-0j 0.00302196-0j -0.0047821-0j 0.00380496-0j 0.00121127-0j -0.00273082-0j -0.00674781-0j 
