-0.322107-0j -0.363858-0j 0.285695-0j -0.300168-0j 0.759919-0j 0.206225-0j -0.0685179-0j -0.0424146-0j -0.0469444-0j 0.0356894-0j -0.0247419-0j -0.0374974-0j 0.0416377-0j 0.0747799-0j -0.0252573-0j 0.0783134-0j 0.0150278-0j -0.00407673-0j 
0.325445-0j -0.353076-0j 0.300168-0j -0.303041-0j -0.25225-0j 0.191451-0j 0.720944-0j 0.0428542-0j -0.0455533-0j 0.0374974-0j 0.0249983-0j -0.0378563-0j -0.0420152-0j 0.0154669-0j 0.0225485-0j -0.0270458-0j 0.0740197-0j 0.0743958-0j 
0.0379368-0j 0.0428542-0j -0.0680323-0j -0.0687373-0j 0.0306165-0j 0.0252573-0j 0.00806984-0j -0.234938-0j -0.260029-0j -0.205571-0j 0.669974-0j -0.207701-0j 0.466311-0j -0.0847936-0j 0.272015-0j -0.148389-0j -0.0865601-0j -0.0225813-0j 
-0.0469444-0j -0.00104958-0j 0.0416377-0j 0.0420152-0j 0.00219205-0j -0.0583267-0j 0.0389554-0j 0.290721-0j 0.0063686-0j -0.244625-0j 0.169587-0j -0.246843-0j -0.00564868-0j -0.512561-0j -0.335961-0j 0.515532-0j 0.300859-0j -0.136397-0j 
0.0273842-0j -0.0600308-0j 0.0252573-0j 0.0225485-0j -0.0428881-0j 0.06968-0j -0.0731757-0j -0.169587-0j 0.364252-0j -0.148389-0j -0.0989258-0j -0.132474-0j 0.335961-0j -0.0612072-0j -0.385963-0j -0.0946443-0j -0.076453-0j 0.703934-0j 
0.0232169-0j -0.0767964-0j 0.0214136-0j 0.0216355-0j 0.0187369-0j 0.0154572-0j 0.00493864-0j 0.00305717-0j 0.00338366-0j -0.00783307-0j 0.00178335-0j -0.00791425-0j 0.00312086-0j 0.00110339-0j 0.0018205-0j 0.00193093-0j 0.00112638-0j 0.000293843-0j 
-0.00335106-0j 0.0110846-0j -0.00309079-0j -0.00312282-0j -0.00270444-0j -0.00223105-0j -0.000712831-0j 0.0419467-0j 0.0464265-0j -0.107476-0j 0.0244689-0j -0.10859-0j 0.0428206-0j 0.0151394-0j 0.0249787-0j 0.0264939-0j 0.0154548-0j 0.00403176-0j 
-0.0270863-0j -0.000605596-0j 0.0485741-0j -0.0471347-0j -0.000432658-0j 0.034996-0j 0.0224768-0j -0.0035667-0j -7.81329e-05-0j -0.00312086-0j 0.0101712-0j 0.00302838-0j 0.000140116-0j -0.00128729-0j -0.00801395-0j 0.00216358-0j 0.00383828-0j 0.00167337-0j 
-0.0165869-0j -0.0187369-0j 0.0447224-0j -0.0154572-0j -0.0113721-0j 0.0322823-0j -0.00352834-0j -0.00218415-0j -0.00241741-0j 0.00558679-0j -0.00127409-0j -0.00193093-0j 0.00651792-0j -0.00971066-0j -0.00130063-0j -0.00117195-0j 0.00235244-0j -0.000209932-0j 
0.00390958-0j 8.74102e-05-0j -0.00701107-0j 0.00680331-0j 6.24489e-05-0j -0.00505123-0j -0.00324425-0j -0.0489378-0j -0.00107204-0j -0.0428206-0j 0.139556-0j 0.0415517-0j 0.00192251-0j -0.0176626-0j -0.109958-0j 0.029686-0j 0.0526642-0j 0.02296-0j 
0.00239412-0j 0.00270444-0j -0.00645512-0j 0.00223105-0j 0.00164142-0j -0.00465955-0j 0.000509271-0j -0.0299682-0j -0.0331687-0j 0.0766551-0j -0.0174814-0j -0.0264939-0j 0.089431-0j -0.133238-0j -0.0178456-0j -0.0160801-0j 0.0322773-0j -0.00288043-0j 
0.0237005-0j -0.0257128-0j -0.0210214-0j -0.022069-0j 0.0537013-0j -0.0134077-0j 0.0525028-0j 0.00312086-0j -0.00331743-0j -0.00262602-0j 0.0018205-0j -0.00275689-0j 0.00294241-0j -0.00550229-0j 0.0016421-0j 0.00575777-0j -0.00518375-0j 0.00541788-0j 
-0.00342088-0j 0.00371133-0j 0.00303417-0j 0.00318538-0j -0.00775111-0j 0.00193523-0j -0.00757813-0j 0.0428206-0j -0.0455177-0j -0.036031-0j 0.0249787-0j -0.0378267-0j 0.0403722-0j -0.0754957-0j 0.0225309-0j 0.0790011-0j -0.0711251-0j 0.0743376-0j 
-0.00977597-0j 0.0322551-0j -0.00901668-0j -0.0427085-0j 0.0230442-0j -0.00796386-0j 0.0385939-0j -0.00128729-0j 0.0041615-0j -0.00112638-0j -0.000750918-0j -0.0053352-0j 0.00383828-0j -0.000464607-0j -0.000937961-0j -0.00381165-0j 0.00652688-0j -0.00379786-0j 
0.00141104-0j -0.00465563-0j 0.00130145-0j 0.00616443-0j -0.00332614-0j 0.00114948-0j -0.00557055-0j -0.0176626-0j 0.0570991-0j -0.0154548-0j -0.0103032-0j -0.0732031-0j 0.0526642-0j -0.00637477-0j -0.0128695-0j -0.0522989-0j 0.0895539-0j -0.0521096-0j 
-0.0663103-0j 0.0191409-0j 0.0156285-0j 0.0157904-0j 0.0136749-0j 0.0112812-0j 0.00360441-0j 0.00223124-0j -0.00966418-0j 0.00195233-0j 0.00130156-0j 0.00197256-0j 0.00227772-0j 0.000805296-0j 0.00132867-0j 0.00140927-0j 0.000822073-0j 0.000214458-0j 
0.0117221-0j -0.00338366-0j -0.00276275-0j -0.00279138-0j -0.00241741-0j -0.00199426-0j -0.000637175-0j 0.0185501-0j -0.0803464-0j 0.0162314-0j 0.0108209-0j 0.0163996-0j 0.0189366-0j 0.0066951-0j 0.0110464-0j 0.0117164-0j 0.00683458-0j 0.00178297-0j 
-0.000976843-0j 0.000281972-0j 0.000230229-0j 0.000232615-0j 0.000201451-0j 0.000166188-0j 5.30979e-05-0j -0.00470327-0j 0.0203713-0j -0.00411537-0j -0.00274358-0j -0.00415801-0j -0.00480126-0j -0.0016975-0j -0.00280073-0j -0.00297063-0j -0.00173287-0j -0.000452061-0j 
-0.0191409-0j 0.00125314-0j -0.0176542-0j 0.0171311-0j -0.000305744-0j 0.0247303-0j 0.0158835-0j -0.00252045-0j -5.52136e-05-0j 0.0064579-0j -0.00147026-0j -0.00626654-0j -5.09252e-05-0j -0.000909679-0j 0.00291267-0j 0.00152892-0j 0.00271237-0j 0.00118251-0j 
-0.0156285-0j -0.0176542-0j -0.0269518-0j 0.0283171-0j 0.0368709-0j 0.010006-0j -0.00332446-0j -0.00205794-0j -0.00227772-0j 0.00173164-0j 0.00586864-0j -0.00181936-0j -0.003928-0j 0.00362829-0j 0.00238271-0j 0.00379973-0j 0.000729144-0j -0.000197801-0j 
0.00338366-0j -0.000221526-0j 0.00312086-0j -0.00302838-0j 5.40483e-05-0j -0.00437175-0j -0.00280783-0j -0.0209546-0j -0.000459037-0j 0.0536899-0j -0.0122235-0j -0.052099-0j -0.000423384-0j -0.00756292-0j 0.0242154-0j 0.0127112-0j 0.0225502-0j 0.00983121-0j 
0.0157904-0j -0.0171311-0j -0.0283171-0j 0.0285881-0j -0.0122391-0j 0.00928911-0j 0.0349799-0j 0.00207927-0j -0.00221023-0j 0.00181936-0j -0.00592946-0j -0.00183677-0j 0.00396362-0j 0.000750447-0j -0.00212717-0j -0.00131225-0j 0.0035914-0j 0.00360965-0j 
-0.000281972-0j 1.84605e-05-0j -0.000260072-0j 0.000252365-0j -4.50403e-06-0j 0.000364312-0j 0.000233986-0j 0.00531291-0j 0.000116386-0j -0.0136127-0j 0.0030992-0j 0.0132094-0j 0.000107346-0j 0.00191753-0j -0.00613968-0j -0.00322285-0j -0.00571747-0j -0.00249264-0j 
0.00276275-0j 0.00312086-0j 0.00476444-0j -0.0050058-0j -0.00651792-0j -0.00176882-0j 0.000587687-0j -0.0171094-0j -0.0189366-0j 0.0143965-0j 0.0487909-0j -0.0151258-0j -0.0326567-0j 0.030165-0j 0.0198095-0j 0.0315904-0j 0.00606198-0j -0.00164449-0j 
0.0136749-0j 0.000305744-0j -0.0368709-0j -0.0122391-0j 0.000185566-0j 0.0516494-0j -0.0113477-0j 0.0018007-0j 3.94465e-05-0j -0.00460597-0j 0.00105041-0j -0.00152892-0j -0.000106358-0j 0.00800585-0j -0.00208091-0j -0.000927954-0j 0.00566479-0j -0.000844827-0j 
-0.00279138-0j 0.00302838-0j 0.0050058-0j -0.00505371-0j 0.00216358-0j -0.0016421-0j -0.00618363-0j 0.0172867-0j -0.0183755-0j 0.0151258-0j -0.0492965-0j -0.0152706-0j 0.0329529-0j 0.00623909-0j -0.017685-0j -0.0109099-0j 0.0298584-0j 0.0300101-0j 
-0.000230229-0j -0.000260072-0j -0.000397037-0j 0.00041715-0j 0.00054316-0j 0.000147402-0j -4.89739e-05-0j 0.00433798-0j 0.00480126-0j -0.00365015-0j -0.0123706-0j 0.00383506-0j 0.00827991-0j -0.00764815-0j -0.00502258-0j -0.00800954-0j -0.00153698-0j 0.00041695-0j 
