-0.0660802-0.0510563j -0.0618746+0.0721768j -0.013956+0.14376j -0.116894-0.046763j 0.0650266-0.0436856j 0.0168815+0.00249965j -0.0168828-0.0645164j -0.174217-0.0195394j -0.0543033-0.0578146j -0.0518399+0.11383j -0.024479-0.129505j 0.0453745-0.0332118j 0.0781679-0.0488559j -0.0306933-0.0168844j 0.0631107-0.00799214j 0.0907029-0.0123663j 0.00839901+0.0377013j 0.0664225-0.0319326j -0.0302487+0.0445982j -0.066384+0.0135767j -0.059023-0.0048433j 0.0323897-0.0362599j 0.0266836+0.00838023j 0.00407816-0.0846734j 0.027147+0.00245831j 0.0232832+0.0353005j -0.00663831+0.0211907j 0.00328956+0.0402933j -0.0192123+0.0587116j 0.00429818+0.0346356j -0.0276415-0.0421759j -0.00559265-0.0211304j -0.0251764-0.0354992j 0.0324589-0.0539876j -0.0115132-0.0223433j -0.0833242-0.00321256j 0.0262616+0.0307342j 0.0216036+0.00723007j 0.0654774+0.0677713j -0.0195889+0.063501j 0.00806968-0.0186668j -0.0189437-0.0179102j -0.0295485-0.0101835j -0.0204199-0.04623j 0.0111894-0.069364j -0.0152591-0.012419j 0.00326942+0.034712j 0.0381626+0.0287623j 0.0795294+0.0710173j 0.00978462-0.0295267j -0.0651366-0.0408321j 0.0843033-0.0715599j 0.112293+0.0367985j 0.04349-0.128801j 0.133201-0.00403998j 0.00590534+0.132679j 
0.0358139-0.0891629j -0.0914548-0.0268185j -0.0277191+0.013751j -0.0411034-0.0635665j -0.00914732-0.070537j 0.0237839+0.130207j 0.0916298-0.0205645j 0.0674127+0.00542023j -0.107519+0.0109085j 0.113432-0.0418062j -0.0843911-9.32653e-05j 0.15193-0.0308267j -0.0277214+0.117035j 0.0752219+0.154481j -0.0249138-0.0638798j -0.0212761+0.0519621j -0.00972819+0.053634j 0.0133923-0.0182056j -0.00539262+0.000297844j 0.0573259+0.0628111j -0.00405704+0.0177096j 0.0172433+0.0836278j 0.00437618-0.0444395j 0.0587263-0.0475745j 0.011267+0.0126617j -0.00221935-0.0733224j -0.00861878+0.047524j -0.0155386-0.0468575j -0.1403-0.0401979j -0.0420098+0.000731782j 0.0251231+0.0709333j 0.0204527-0.0600927j 0.042728+0.0202568j 0.0405376-0.0255646j -0.00869317+0.0166355j -0.0477546+0.0171138j 0.0996545-0.0626217j -0.0243851+0.0357894j -0.0504277+0.0522629j -0.0170093-0.022923j 0.0501761-0.0550496j -0.0471226+0.0344228j -0.0214589-0.0552813j -0.0234652+0.041084j -0.034209-0.0639457j -0.013104+0.0499065j 0.0227959+0.08602j -0.037633-0.0416737j 0.117187-0.0922416j -0.0368365-0.0768048j 0.020282+0.0697921j -0.109673-0.0526932j 0.0579236-0.0506838j -0.0749623-0.0622287j 0.0355403+0.127917j -0.126991+0.0328059j 
0.0520998-0.0800645j -0.0817077-0.0474126j 0.0539752-0.04169j 0.0245876+0.0498853j -0.074143-0.196634j -0.159021+0.0230643j -0.0368949+0.0408474j -0.0855986+0.0556181j -0.104698+0.0634376j -0.00102398+0.159679j 0.103344+0.115068j -0.179656+0.0510865j -0.0855238-0.0415321j 0.0886711-0.121458j 0.0512275+0.263336j 0.176946-0.0344057j -0.0904709-0.0803484j -0.0959471+0.124564j -0.158703-0.0671379j -0.0891345-0.0809591j 0.147575+0.0417322j -0.154327+0.028988j 0.000235886+0.0937425j -0.102195-0.0229208j -0.109901-0.0573675j -0.06837+0.00841348j -0.00935164+0.0420055j 0.0827675-0.0564223j 0.0903926-0.0675331j -0.0343637+0.148681j 0.0875581-0.10779j 0.0158624+0.0691778j 0.0181071+0.0303759j -0.0218232-0.0506135j 0.0294948-0.0369341j 0.0735794-0.0522043j 0.1571-0.0883791j 0.0706649+0.0792072j 0.0159729-0.25695j -0.0789485-0.122273j -0.00525543-0.0433299j -0.0338903+0.014816j 0.166253+0.0334682j 0.0248588-0.0882025j -0.0331765-0.0955762j 0.205593+0.000275266j 0.11763+0.0383863j -0.0432864+0.132295j -0.0939232-0.0796145j -0.0849971-0.0135318j 0.111321-0.0760842j 0.0101232+0.165223j 0.158267+0.031098j 0.0316892-0.13759j -0.0516564+0.00622611j -0.00663729-0.0526897j 
0.0566614+0.0163301j 0.016301-0.0554448j 0.0204894-0.0808238j 0.0757376+0.0197034j -0.093046+0.0897406j 0.249961-0.0394516j -0.103865-0.336774j -0.142465+0.123006j -0.0994317+0.00275522j -0.0864922+0.0914767j 0.0043081+0.0710583j -0.024832+0.149459j -0.0959933-0.0164438j -0.0512617+0.0260002j 0.0534215+0.030714j -0.0850898+0.0948229j 0.160767+0.0898381j -0.0409845-0.0313232j -0.0618782+0.0359534j -0.0410546+0.0417289j -0.0332569+0.077124j -0.0147786-0.0255602j 0.102783+0.0789752j 0.128569+0.104229j -0.0515995-0.0532882j -0.169796+0.0940399j -0.0312996-0.117061j 0.0679486+0.0269994j -0.0165916+0.0742787j -0.0468107+0.00877512j -0.098125+0.0435809j -0.0320329+0.0224362j 0.0840323-0.106461j -0.0257047-0.0622602j -1.21042e-05-0.0976264j 0.147289-0.0396565j -0.0220622-0.0691294j -0.0237671-0.00728567j 0.043648-0.000830523j -0.0332376-0.0178412j -0.0676588-0.0547026j -0.0100511+0.0158595j 0.0485942+0.126154j 0.0506503+0.184946j -0.124742+0.028621j -0.0191025-0.121343j -0.250551+0.0187778j 0.090245-0.0607581j 0.1523+0.07938j -0.091828-0.296742j 0.228677-0.167068j 0.128719+0.0254926j -0.062338+0.00415537j 0.0149055+0.0561877j -0.0165566-0.0264546j 0.0260642-0.0169433j 
0.071334+0.0764124j 0.0753993-0.0664961j -0.0431956+0.140623j -0.163293-0.0319873j -0.124341-0.0365617j -0.0170116+0.0176319j -0.0968695-0.0141074j -0.0189359-0.023385j 0.0178675+0.232448j -0.0195535+0.0771822j 0.0913674-0.0796256j -0.0607667+0.0380652j 0.18553-0.137159j -0.0735107-0.0937124j -0.144396-0.0728581j -0.0567848+0.0570275j -0.0207319-0.0510791j 0.151847+0.01224j 0.0108039-0.0451125j -0.135377+0.00606235j 0.0922517+0.0119601j 0.017312+0.0195424j 0.077502+0.230982j -0.00484716-0.0477358j 0.0526439-0.0271173j 0.139187+0.00442547j -0.107902-0.100369j 0.0567406+0.0457524j 0.0480025+0.0612045j 0.0584175-0.187733j -0.0276957-0.0349785j -0.112863-0.100827j 0.123773+0.0333642j -0.101116+0.0195506j 0.068664+0.137586j 0.123425-0.0734574j -0.069107+0.0635696j -0.0455972+0.0120428j 0.076541-0.0438454j -0.0996515+0.191405j 0.0590422+0.000453989j 0.111543-0.0853664j 0.0556621-0.128472j -0.162076-0.0253927j 0.0601807+0.276828j -0.233644-0.024012j 0.120825-0.096098j 0.0656179+0.012408j -0.00359694-0.070273j 0.0103955-0.0764056j 0.101679+0.0340447j -0.044477+0.0888446j 0.120772+0.104121j 0.100232-0.111841j -0.0102245-0.0261023j 0.0252216-0.0114107j 
-0.118661+0.0400681j 0.0287083+0.111936j 0.0230651+0.0814975j -0.00674562+0.0258508j 0.107151+0.0649707j -0.0314192-0.12974j -0.0725021+0.0178987j -0.19051-0.0241316j 0.0733615-0.151401j -0.152894+0.10479j 0.0310681-0.110671j -0.0882999-0.0188226j 0.063074-0.114224j -0.100052-0.11086j 0.119207+0.0458986j 0.108709-0.111992j 0.0316608-0.00719618j 0.0332777-0.0232302j -0.0225844+0.0243084j -0.0499527-0.0374095j -0.0886691-0.0358377j 0.0402798-0.150395j -0.00748981-0.0322202j -0.0782034-0.0342899j 0.0365368-0.00201908j 0.02236+0.105021j 0.0316328+0.0067196j 0.0211389+0.0813808j 0.109331+0.0843501j 0.0603741+0.074132j -0.0508734-0.0975298j 0.0135483+0.0579659j -0.122725-0.0542544j 0.0247019-0.0211965j -0.0234145-0.0658669j -0.0916269+0.0361273j -0.086193+0.0788038j 0.0543061-0.0466823j 0.0963781+0.0308162j 0.0405148+0.0621298j -0.0560791+0.0557851j 0.0043995-0.026301j -0.051313+0.0626515j 0.0444785-0.0749115j 0.0478688-0.0459958j 0.0621073-0.0526581j -0.0535367-0.0389081j 0.0333434+0.0727142j -0.0646879+0.174644j 0.0507968+0.120075j -0.122751-0.102563j 0.161548-0.0154776j -0.0114668+0.0598137j 0.0885718+0.00669072j 0.0911782-0.112199j 0.112638+0.0886692j 
-0.0279364-0.115996j -0.131889+0.0487813j -0.00545119+0.156323j -0.153732-0.0796812j 0.0342153-0.118972j 0.0313985+0.104754j 0.00895827-0.0918519j -0.159589+0.0174553j -0.184184-0.00833647j 0.0347186+0.140416j -0.0840377-0.127123j 0.108773-0.0359631j 0.0573288-0.00819087j 0.0409805+0.0814373j 0.0542574-0.00938574j 0.119612+0.0143301j -0.00176856+0.0960739j 0.0852029-0.0318217j -0.0673953+0.0341456j -0.0513532+0.0390457j -0.0289116+0.0366684j 0.0369529+0.0381572j 0.0347803+0.00665507j 0.0216365-0.156344j 0.00440488-0.00214914j -0.00929849-0.0167593j -0.0255232+0.0536988j 0.0127751+0.015399j -0.121587+0.0407361j -0.0316779+0.0619918j -0.00450846-0.0109775j 0.00478662-0.0619941j 0.0277475-0.0318888j 0.0426956-0.0808352j -0.00861453-0.016921j -0.104062-0.00799897j 0.124893-0.0280779j 0.0176995+0.0541152j 0.044189+0.0801827j -0.0778363+0.0303129j 0.047129-0.077256j -0.0506846+0.00480614j -0.0142537-0.0487116j -0.0269665-0.0280429j 0.00504074-0.115423j -0.0300101+0.00127944j 0.0266022+0.118059j 0.0204281+0.0320195j 0.157771+0.0117761j -0.00604428-0.111084j -0.0161289-0.0218364j 0.0453656-0.0531583j 0.180444+0.0308441j 0.0275765-0.195972j 0.141283+0.0859663j -0.0883948+0.13755j 
-0.00729643+0.00212616j 0.00151883+0.00254599j -0.0136619+0.00890945j 0.00184488-0.0130616j 0.022462+0.0176866j -0.00371873-0.00810138j 0.0172329+0.00103449j -0.00434609+0.00488008j 0.0124712-0.0506875j -0.00544326+0.00222222j 0.0085639-0.0195852j 0.00732876+0.0164294j -0.0219828+0.00262647j -0.0281608+0.000871813j -0.00618384-0.0169355j -0.00879863-0.00748065j 0.0279245-0.000400489j -0.00522307-0.0192292j 0.0376028-0.00825199j -0.00335694-0.0287242j -0.0179149+0.0246572j 0.012712+0.00480104j -0.032535-0.0385498j 0.00148747+0.0109421j -0.0318216+0.0139525j -0.0149803-0.00411254j -0.00192873+0.00216586j -0.016581+0.00906387j -0.011775+0.0235332j 0.00477392-0.00168701j 0.0102571+0.0259792j -0.000389943+0.0145432j -0.000799627-0.00597528j -0.019609+0.0516465j 0.00250415+0.00503234j -0.0147871+0.0222048j -0.0322258-0.0180351j -0.0102154-0.00926642j 0.0187384+0.0297866j 0.00779812-0.00573134j -0.00947726-0.0115423j 0.00190712+0.00785666j -0.0296451+0.0297139j 0.016016+0.0140433j 0.00443648+0.0333792j 0.00874134-0.010257j -0.0108844-0.0127934j 0.018086+0.0310307j 0.00758641-0.00299659j -0.00101152+0.0175781j -0.0179683-0.00652295j 0.0156744-0.00369443j 0.012086-0.0248056j -0.0176944-0.0108338j 0.0012575-0.00174841j 0.00251569+0.00213278j 
0.0129716-0.00316595j -0.00386731-0.0137225j 0.00731651+0.00457155j -0.005561-0.000633481j 0.0274627-0.0156427j -0.00745649-0.0171133j 0.00458657+0.000866886j 0.0105392+0.00374564j -0.0341164-0.0244706j 0.0063745-0.00659894j -0.00842531+0.0203051j -0.0184834-0.00741187j 0.00716332-0.00070864j 0.039432+0.00795813j 0.0150385-0.0124458j -0.0243411+0.0125738j -0.00923778+0.00973416j -0.0200021+0.0368386j 0.0294516+0.0290486j 0.00859299-0.00482471j 0.0234347-0.0143732j 0.00350361+0.00395277j 0.0342343+0.00184729j 0.00271459-0.00298353j -0.0184406-0.0252113j -0.0216774-0.00666765j 0.0180766-0.00455806j -0.0460415-0.00136778j 0.0112047-0.015063j 0.00305016+0.0133567j -0.0233086-0.00925543j -0.0209895+0.00786907j 0.0061396-0.000782292j 0.0401519+0.00689801j -0.0165543-0.0122808j 0.00446725-0.00943165j 0.0105228-0.0269668j 0.00806109-0.0238916j -0.0287275+0.0174896j -0.0167365-0.00385666j -0.0254728+0.0182828j 0.0162751+0.00459792j -0.0139983-0.0169356j 0.024168+0.0204292j 0.0348104-0.010795j -0.00551284+0.010381j 0.00182757-0.00708749j 0.0341599-0.00960404j 0.00631813-0.0241482j -0.00058768-0.0127216j 0.0071554+0.0166939j -0.0112579-0.00704434j 0.012925-0.00141326j -0.00079136-0.0160822j -0.00199728-1.57426e-06j 0.00016602-0.00163317j 
-0.0036426+0.00568189j 0.0067236+0.00308675j 0.00188648+0.00332849j -0.00665169+0.00570357j 0.0040195-0.00562857j -0.00709787-0.0187119j 0.00842734-0.00692914j -0.01497-0.0149838j 0.0247335+0.00730788j 0.0235498-0.0192082j 0.0289434-0.00737583j -0.00315833+0.0670464j -0.000162408+0.00668825j 0.00123261+0.00799594j 0.0364032+0.0141637j -0.023206+0.00453217j 0.0211546-0.0246104j -0.00103392+0.0153756j -0.0222646+0.021195j 0.0205876+0.0110689j 0.0237873+1.05826e-05j -0.00271169-0.0155579j 0.00795321-0.00450949j 0.0382854-0.00190416j -0.0178613+0.000873872j -0.00639479+0.0164059j -0.0196775-0.0154306j 0.0201597-0.00655213j 0.00673009+0.0119966j 0.0043297+0.0158145j 0.0119072+0.0040885j -0.0110641-0.015374j 0.00904125+0.0140918j 0.00338304-0.0276023j -0.0105987-0.0210108j 0.0119458-0.0121063j -0.00524541-0.00702684j 0.0167817-0.00132526j 0.0291518-0.00562688j 0.0124641+0.00899587j -0.0196015-0.0107341j 0.022086+0.0166154j -0.00700116+0.0312124j 0.00337492+0.0162203j -0.00977392+0.0182557j -0.00349168+0.0297615j -0.0273732-0.00614526j -0.0259671-0.0119723j -0.00703463+0.0141184j 0.0330124+0.0129463j -0.0011713+0.0417618j -0.0304482+0.00802775j 0.00675289-0.00957365j -0.0144469-0.00421011j 0.00608004-0.000451099j 0.000642467+0.00619993j 
0.0049575+0.010036j 0.0103597-0.00575552j 0.0170758-0.00739226j 0.00715651+0.0152624j -0.0113728+0.00268987j 0.0290315+0.024416j 0.0229936-0.0190838j -8.34867e-05-0.0204057j -0.0146426+0.00282638j 0.016142+0.0182418j 0.0415984-0.00835555j 0.00598199-0.0202585j 0.004659+0.0286732j 0.0139458-0.0264513j 0.0155684+0.00610227j 0.000853201-0.0173294j -0.0166044+0.00410392j -0.0167813+0.00460175j 0.0208935+0.0168087j -0.000606559+0.00436765j -0.00296434+0.00469429j 0.00313165-0.0148718j -0.0131812-0.0157125j -0.00521488-0.0132256j -0.0177025+0.00757435j 0.00352545+0.000148998j 0.0013757-0.0284709j -0.0288946-0.0192546j 0.0282998-0.0238343j -0.0120529+0.0214298j 0.010485+0.0260876j -0.00412263-0.0171228j -0.0157392+0.0138617j 0.0186246+0.0144863j -0.0280113+0.0193552j 0.0116235+0.00726515j -0.00662251-0.00415317j 0.00895754+0.0103108j 0.0169645-0.0104166j -0.00701995-0.0165378j 0.0231252+0.00818105j -0.0303771-0.00815884j -0.000386889+0.0103941j -0.0345999-0.00486303j 0.0230476+0.0290706j -0.0239783+0.0490771j -0.00836721-0.010486j -0.0349723-0.00897707j 0.0104876+0.0187205j -0.0139869-0.0154129j 0.00500435-0.0246607j 0.0232294-0.0160844j -0.0078109-0.00715561j -0.00439446+0.00402366j -6.30425e-05-0.00596746j 0.00606326+0.000423782j 
